"DATE","RGSL65M11","RGSL65M12","RGSL66M1","RGSL66M2","RGSL66M3","RGSL66M4","RGSL66M5","RGSL66M6","RGSL66M7","RGSL66M8","RGSL66M9","RGSL66M10","RGSL66M11","RGSL66M12","RGSL67M1","RGSL67M2","RGSL67M3","RGSL67M4","RGSL67M5","RGSL67M6","RGSL67M7","RGSL67M8","RGSL67M9","RGSL67M10","RGSL67M11","RGSL67M12","RGSL68M1","RGSL68M2","RGSL68M3","RGSL68M4","RGSL68M5","RGSL68M6","RGSL68M7","RGSL68M8","RGSL68M9","RGSL68M10","RGSL68M11","RGSL68M12","RGSL69M1","RGSL69M2","RGSL69M3","RGSL69M4","RGSL69M5","RGSL69M6","RGSL69M7","RGSL69M8","RGSL69M9","RGSL69M10","RGSL69M11","RGSL69M12"
"1949:Q3","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1"
"1949:Q4","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7"
"1950:Q1","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2"
"1950:Q2","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5"
"1950:Q3","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7"
"1950:Q4","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7"
"1951:Q1","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7"
"1951:Q2","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8"
"1951:Q3","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0"
"1951:Q4","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1"
"1952:Q1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1"
"1952:Q2","28.6","28.6","28.6","28.6","28.6","28.6","28.6","28.6","28.6","28.6","28.6","28.6","28.6","28.6","28.6","28.6","28.6","28.6","28.6","28.6","28.6","28.6","28.6","28.6","28.6","28.6","28.6","28.6","28.6","28.6","28.6","28.6","28.6","28.6","28.6","28.6","28.6","28.6","28.6","28.6","28.6","28.6","28.6","28.6","28.6","28.6","28.6","28.6","28.6","28.6"
"1952:Q3","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0"
"1952:Q4","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8"
"1953:Q1","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2"
"1953:Q2","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1"
"1953:Q3","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9"
"1953:Q4","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5"
"1954:Q1","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4"
"1954:Q2","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6"
"1954:Q3","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6"
"1954:Q4","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7"
"1955:Q1","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0"
