"DATE","RCON90M1","RCON90M2","RCON90M3","RCON90M4","RCON90M5","RCON90M6","RCON90M7","RCON90M8","RCON90M9","RCON90M10","RCON90M11","RCON90M12","RCON91M1","RCON91M2","RCON91M3","RCON91M4","RCON91M5","RCON91M6","RCON91M7","RCON91M8","RCON91M9","RCON91M10","RCON91M11","RCON91M12","RCON92M1","RCON92M2","RCON92M3","RCON92M4","RCON92M5","RCON92M6","RCON92M7","RCON92M8","RCON92M9","RCON92M10","RCON92M11","RCON92M12","RCON93M1","RCON93M2","RCON93M3","RCON93M4","RCON93M5","RCON93M6","RCON93M7","RCON93M8","RCON93M9","RCON93M10","RCON93M11","RCON93M12","RCON94M1","RCON94M2","RCON94M3","RCON94M4","RCON94M5","RCON94M6","RCON94M7","RCON94M8","RCON94M9","RCON94M10","RCON94M11","RCON94M12","RCON95M1","RCON95M2","RCON95M3","RCON95M4","RCON95M5","RCON95M6","RCON95M7","RCON95M8","RCON95M9","RCON95M10","RCON95M11","RCON95M12","RCON96M1","RCON96M2","RCON96M3","RCON96M4","RCON96M5","RCON96M6","RCON96M7","RCON96M8","RCON96M9","RCON96M10","RCON96M11","RCON96M12","RCON97M1","RCON97M2","RCON97M3","RCON97M4","RCON97M5","RCON97M6","RCON97M7","RCON97M8","RCON97M9","RCON97M10","RCON97M11","RCON97M12","RCON98M1","RCON98M2","RCON98M3","RCON98M4","RCON98M5","RCON98M6","RCON98M7","RCON98M8","RCON98M9","RCON98M10","RCON98M11","RCON98M12","RCON99M1","RCON99M2","RCON99M3","RCON99M4","RCON99M5","RCON99M6","RCON99M7","RCON99M8","RCON99M9","RCON99M10","RCON99M11","RCON99M12"
"1949:Q3","695.3","695.3","695.3","695.3","695.3","695.3","695.3","695.3","695.3","695.3","695.3","695.3","695.3","695.3","695.3","695.3","695.3","695.3","695.3","695.3","695.3","695.3","695.3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","831.3","831.3","831.3","831.3","831.3","831.3","831.3","831.3","831.3","831.3","831.3","831.3","831.3","831.3","831.3","831.3","831.3","831.3","831.3","831.3","831.3","831.3","831.3","831.3","831.3","831.3","831.3","831.3","831.3","831.3","831.3","831.3","831.3","831.3","831.3","831.3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","973.3","973.3","973.3","973.3","973.3","973.3","973.3","973.3","973.3","973.3","973.3","973.3","973.3","973.3","973.3","973.3","973.3","973.3","973.3","973.3","973.3","973.3","973.3","973.3","973.3","973.3","973.3","973.3","973.3","973.3","#N/A","#N/A"
"1949:Q4","700.8","700.8","700.8","700.8","700.8","700.8","700.8","700.8","700.8","700.8","700.8","700.8","700.8","700.8","700.8","700.8","700.8","700.8","700.8","700.8","700.8","700.8","700.8","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","836.2","836.2","836.2","836.2","836.2","836.2","836.2","836.2","836.2","836.2","836.2","836.2","836.2","836.2","836.2","836.2","836.2","836.2","836.2","836.2","836.2","836.2","836.2","836.2","836.2","836.2","836.2","836.2","836.2","836.2","836.2","836.2","836.2","836.2","836.2","836.2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","986.8","986.8","986.8","986.8","986.8","986.8","986.8","986.8","986.8","986.8","986.8","986.8","986.8","986.8","986.8","986.8","986.8","986.8","986.8","986.8","986.8","986.8","986.8","986.8","986.8","986.8","986.8","986.8","986.8","986.8","#N/A","#N/A"
"1950:Q1","711.9","711.9","711.9","711.9","711.9","711.9","711.9","711.9","711.9","711.9","711.9","711.9","711.9","711.9","711.9","711.9","711.9","711.9","711.9","711.9","711.9","711.9","711.9","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","848.8","848.8","848.8","848.8","848.8","848.8","848.8","848.8","848.8","848.8","848.8","848.8","848.8","848.8","848.8","848.8","848.8","848.8","848.8","848.8","848.8","848.8","848.8","848.8","848.8","848.8","848.8","848.8","848.8","848.8","848.8","848.8","848.8","848.8","848.8","848.8","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1003.6","1003.6","1003.6","1003.6","1003.6","1003.6","1003.6","1003.6","1003.6","1003.6","1003.6","1003.6","1003.6","1003.6","1003.6","1003.6","1003.6","1003.6","1003.6","1003.6","1003.6","1003.6","1003.6","1003.6","1003.6","1003.6","1003.6","1003.6","1003.6","1003.6","#N/A","#N/A"
"1950:Q2","725.8","725.8","725.8","725.8","725.8","725.8","725.8","725.8","725.8","725.8","725.8","725.8","725.8","725.8","725.8","725.8","725.8","725.8","725.8","725.8","725.8","725.8","725.8","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","865.0","865.0","865.0","865.0","865.0","865.0","865.0","865.0","865.0","865.0","865.0","865.0","865.0","865.0","865.0","865.0","865.0","865.0","865.0","865.0","865.0","865.0","865.0","865.0","865.0","865.0","865.0","865.0","865.0","865.0","865.0","865.0","865.0","865.0","865.0","865.0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1019.9","1019.9","1019.9","1019.9","1019.9","1019.9","1019.9","1019.9","1019.9","1019.9","1019.9","1019.9","1019.9","1019.9","1019.9","1019.9","1019.9","1019.9","1019.9","1019.9","1019.9","1019.9","1019.9","1019.9","1019.9","1019.9","1019.9","1019.9","1019.9","1019.9","#N/A","#N/A"
"1950:Q3","754.8","754.8","754.8","754.8","754.8","754.8","754.8","754.8","754.8","754.8","754.8","754.8","754.8","754.8","754.8","754.8","754.8","754.8","754.8","754.8","754.8","754.8","754.8","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1072.2","1072.2","1072.2","1072.2","1072.2","1072.2","1072.2","1072.2","1072.2","1072.2","1072.2","1072.2","1072.2","1072.2","1072.2","1072.2","1072.2","1072.2","1072.2","1072.2","1072.2","1072.2","1072.2","1072.2","1072.2","1072.2","1072.2","1072.2","1072.2","1072.2","#N/A","#N/A"
"1950:Q4","740.5","740.5","740.5","740.5","740.5","740.5","740.5","740.5","740.5","740.5","740.5","740.5","740.5","740.5","740.5","740.5","740.5","740.5","740.5","740.5","740.5","740.5","740.5","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","884.3","884.3","884.3","884.3","884.3","884.3","884.3","884.3","884.3","884.3","884.3","884.3","884.3","884.3","884.3","884.3","884.3","884.3","884.3","884.3","884.3","884.3","884.3","884.3","884.3","884.3","884.3","884.3","884.3","884.3","884.3","884.3","884.3","884.3","884.3","884.3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1040.7","1040.7","1040.7","1040.7","1040.7","1040.7","1040.7","1040.7","1040.7","1040.7","1040.7","1040.7","1040.7","1040.7","1040.7","1040.7","1040.7","1040.7","1040.7","1040.7","1040.7","1040.7","1040.7","1040.7","1040.7","1040.7","1040.7","1040.7","1040.7","1040.7","#N/A","#N/A"
"1951:Q1","754.4","754.4","754.4","754.4","754.4","754.4","754.4","754.4","754.4","754.4","754.4","754.4","754.4","754.4","754.4","754.4","754.4","754.4","754.4","754.4","754.4","754.4","754.4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","899.8","899.8","899.8","899.8","899.8","899.8","899.8","899.8","899.8","899.8","899.8","899.8","899.8","899.8","899.8","899.8","899.8","899.8","899.8","899.8","899.8","899.8","899.8","899.8","899.8","899.8","899.8","899.8","899.8","899.8","899.8","899.8","899.8","899.8","899.8","899.8","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1063.7","1063.7","1063.7","1063.7","1063.7","1063.7","1063.7","1063.7","1063.7","1063.7","1063.7","1063.7","1063.7","1063.7","1063.7","1063.7","1063.7","1063.7","1063.7","1063.7","1063.7","1063.7","1063.7","1063.7","1063.7","1063.7","1063.7","1063.7","1063.7","1063.7","#N/A","#N/A"
"1951:Q2","740.3","740.3","740.3","740.3","740.3","740.3","740.3","740.3","740.3","740.3","740.3","740.3","740.3","740.3","740.3","740.3","740.3","740.3","740.3","740.3","740.3","740.3","740.3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","884.9","884.9","884.9","884.9","884.9","884.9","884.9","884.9","884.9","884.9","884.9","884.9","884.9","884.9","884.9","884.9","884.9","884.9","884.9","884.9","884.9","884.9","884.9","884.9","884.9","884.9","884.9","884.9","884.9","884.9","884.9","884.9","884.9","884.9","884.9","884.9","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1034.4","1034.4","1034.4","1034.4","1034.4","1034.4","1034.4","1034.4","1034.4","1034.4","1034.4","1034.4","1034.4","1034.4","1034.4","1034.4","1034.4","1034.4","1034.4","1034.4","1034.4","1034.4","1034.4","1034.4","1034.4","1034.4","1034.4","1034.4","1034.4","1034.4","#N/A","#N/A"
"1951:Q3","747.8","747.8","747.8","747.8","747.8","747.8","747.8","747.8","747.8","747.8","747.8","747.8","747.8","747.8","747.8","747.8","747.8","747.8","747.8","747.8","747.8","747.8","747.8","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","894.2","894.2","894.2","894.2","894.2","894.2","894.2","894.2","894.2","894.2","894.2","894.2","894.2","894.2","894.2","894.2","894.2","894.2","894.2","894.2","894.2","894.2","894.2","894.2","894.2","894.2","894.2","894.2","894.2","894.2","894.2","894.2","894.2","894.2","894.2","894.2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1046.0","1046.0","1046.0","1046.0","1046.0","1046.0","1046.0","1046.0","1046.0","1046.0","1046.0","1046.0","1046.0","1046.0","1046.0","1046.0","1046.0","1046.0","1046.0","1046.0","1046.0","1046.0","1046.0","1046.0","1046.0","1046.0","1046.0","1046.0","1046.0","1046.0","#N/A","#N/A"
"1951:Q4","752.3","752.3","752.3","752.3","752.3","752.3","752.3","752.3","752.3","752.3","752.3","752.3","752.3","752.3","752.3","752.3","752.3","752.3","752.3","752.3","752.3","752.3","752.3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","899.9","899.9","899.9","899.9","899.9","899.9","899.9","899.9","899.9","899.9","899.9","899.9","899.9","899.9","899.9","899.9","899.9","899.9","899.9","899.9","899.9","899.9","899.9","899.9","899.9","899.9","899.9","899.9","899.9","899.9","899.9","899.9","899.9","899.9","899.9","899.9","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1052.4","1052.4","1052.4","1052.4","1052.4","1052.4","1052.4","1052.4","1052.4","1052.4","1052.4","1052.4","1052.4","1052.4","1052.4","1052.4","1052.4","1052.4","1052.4","1052.4","1052.4","1052.4","1052.4","1052.4","1052.4","1052.4","1052.4","1052.4","1052.4","1052.4","#N/A","#N/A"
