"DATE","RCONS10M1","RCONS10M2","RCONS10M3","RCONS10M4","RCONS10M5","RCONS10M6","RCONS10M7","RCONS10M8","RCONS10M9","RCONS10M10","RCONS10M11","RCONS10M12","RCONS11M1","RCONS11M2","RCONS11M3","RCONS11M4","RCONS11M5","RCONS11M6","RCONS11M7","RCONS11M8","RCONS11M9","RCONS11M10","RCONS11M11","RCONS11M12","RCONS12M1","RCONS12M2","RCONS12M3","RCONS12M4","RCONS12M5","RCONS12M6","RCONS12M7","RCONS12M8","RCONS12M9","RCONS12M10","RCONS12M11","RCONS12M12","RCONS13M1","RCONS13M2","RCONS13M3","RCONS13M4","RCONS13M5","RCONS13M6","RCONS13M7","RCONS13M8","RCONS13M9","RCONS13M10","RCONS13M11","RCONS13M12","RCONS14M1","RCONS14M2","RCONS14M3","RCONS14M4","RCONS14M5","RCONS14M6","RCONS14M7","RCONS14M8","RCONS14M9","RCONS14M10","RCONS14M11","RCONS14M12","RCONS15M1","RCONS15M2","RCONS15M3","RCONS15M4","RCONS15M5","RCONS15M6","RCONS15M7","RCONS15M8","RCONS15M9","RCONS15M10","RCONS15M11"
"1977:Q4","2403.8","2403.8","2403.8","2403.8","2403.8","2403.8","2403.8","2403.8","2403.8","2403.8","2403.8","2403.8","2403.8","2403.8","2403.8","2403.8","2403.8","2403.8","2403.8","2405.8","2405.8","2405.8","2405.8","2405.8","2405.8","2405.8","2405.8","2405.8","2405.8","2405.8","2405.8","2405.8","2405.8","2405.8","2405.8","2405.8","2405.8","2405.8","2405.8","2405.8","2405.8","2405.8","2405.8","2583.0","2583.0","2583.0","2583.0","2583.0","2583.0","2583.0","2583.0","2583.0","2583.0","2583.0","2583.0","2583.0","2583.0","2583.0","2583.0","2583.0","2583.0","2583.0","2583.0","2583.0","2583.0","2583.0","2583.0","2583.0","2583.0","2583.0","2583.0"
"1978:Q1","2442.1","2442.1","2442.1","2442.1","2442.1","2442.1","2442.1","2442.1","2442.1","2442.1","2442.1","2442.1","2442.1","2442.1","2442.1","2442.1","2442.1","2442.1","2442.1","2444.3","2444.3","2444.3","2444.3","2444.3","2444.3","2444.3","2444.3","2444.3","2444.3","2444.3","2444.3","2444.3","2444.3","2444.3","2444.3","2444.3","2444.3","2444.3","2444.3","2444.3","2444.3","2444.3","2444.3","2624.1","2624.1","2624.1","2624.1","2624.1","2624.1","2624.1","2624.1","2624.1","2624.1","2624.1","2624.1","2624.0","2624.0","2624.0","2624.0","2624.0","2624.0","2624.0","2624.0","2624.0","2624.0","2624.0","2624.0","2624.0","2624.0","2624.0","2624.0"
"1978:Q2","2478.9","2478.9","2478.9","2478.9","2478.9","2478.9","2478.9","2478.9","2478.9","2478.9","2478.9","2478.9","2478.9","2478.9","2478.9","2478.9","2478.9","2478.9","2478.9","2481.1","2481.1","2481.1","2481.1","2481.1","2481.1","2481.1","2481.1","2481.1","2481.1","2481.1","2481.1","2481.1","2481.1","2481.1","2481.1","2481.1","2481.1","2481.1","2481.1","2481.1","2481.1","2481.1","2481.1","2663.4","2663.4","2663.4","2663.4","2663.4","2663.4","2663.4","2663.4","2663.4","2663.4","2663.4","2663.4","2663.3","2663.3","2663.3","2663.3","2663.3","2663.3","2663.3","2663.3","2663.3","2663.3","2663.3","2663.3","2663.3","2663.3","2663.3","2663.3"
"1978:Q3","2496.6","2496.6","2496.6","2496.6","2496.6","2496.6","2496.6","2496.6","2496.6","2496.6","2496.6","2496.6","2496.6","2496.6","2496.6","2496.6","2496.6","2496.6","2496.6","2498.8","2498.8","2498.8","2498.8","2498.8","2498.8","2498.8","2498.8","2498.8","2498.8","2498.8","2498.8","2498.8","2498.8","2498.8","2498.8","2498.8","2498.8","2498.8","2498.8","2498.8","2498.8","2498.8","2498.8","2682.4","2682.4","2682.4","2682.4","2682.4","2682.4","2682.4","2682.4","2682.4","2682.4","2682.4","2682.4","2682.3","2682.3","2682.3","2682.3","2682.3","2682.3","2682.3","2682.3","2682.3","2682.3","2682.3","2682.3","2682.3","2682.3","2682.3","2682.3"
"1978:Q4","2509.7","2509.7","2509.7","2509.7","2509.7","2509.7","2509.7","2509.7","2509.7","2509.7","2509.7","2509.7","2509.7","2509.7","2509.7","2509.7","2509.7","2509.7","2509.7","2511.9","2511.9","2511.9","2511.9","2511.9","2511.9","2511.9","2511.9","2511.9","2511.9","2511.9","2511.9","2511.9","2511.9","2511.9","2511.9","2511.9","2511.9","2511.9","2511.9","2511.9","2511.9","2511.9","2511.9","2696.3","2696.3","2696.3","2696.3","2696.3","2696.3","2696.3","2696.3","2696.3","2696.3","2696.3","2696.3","2696.2","2696.2","2696.2","2696.2","2696.2","2696.2","2696.2","2696.2","2696.2","2696.2","2696.2","2696.2","2696.2","2696.2","2696.2","2696.2"
"1979:Q1","2535.3","2535.3","2535.3","2535.3","2535.3","2535.3","2535.3","2535.3","2535.3","2535.3","2535.3","2535.3","2535.3","2535.3","2535.3","2535.3","2535.3","2535.3","2535.3","2537.4","2537.4","2537.4","2537.4","2537.4","2537.4","2537.4","2537.4","2537.4","2537.4","2537.4","2537.4","2537.4","2537.4","2537.4","2537.4","2537.4","2537.4","2537.4","2537.4","2537.4","2537.4","2537.4","2537.4","2723.8","2723.8","2723.8","2723.8","2723.8","2723.8","2723.8","2723.8","2723.8","2723.8","2723.8","2723.8","2723.7","2723.7","2723.7","2723.7","2723.7","2723.7","2723.7","2723.7","2723.7","2723.7","2723.7","2723.7","2723.7","2723.7","2723.7","2723.7"
"1979:Q2","2551.0","2551.0","2551.0","2551.0","2551.0","2551.0","2551.0","2551.0","2551.0","2551.0","2551.0","2551.0","2551.0","2551.0","2551.0","2551.0","2551.0","2551.0","2551.0","2553.2","2553.2","2553.2","2553.2","2553.2","2553.2","2553.2","2553.2","2553.2","2553.2","2553.2","2553.2","2553.2","2553.2","2553.2","2553.2","2553.2","2553.2","2553.2","2553.2","2553.2","2553.2","2553.2","2553.2","2740.8","2740.8","2740.8","2740.8","2740.8","2740.8","2740.8","2740.8","2740.8","2740.8","2740.8","2740.8","2740.7","2740.7","2740.7","2740.7","2740.7","2740.7","2740.7","2740.7","2740.7","2740.7","2740.7","2740.7","2740.7","2740.7","2740.7","2740.7"
"1979:Q3","2561.3","2561.3","2561.3","2561.3","2561.3","2561.3","2561.3","2561.3","2561.3","2561.3","2561.3","2561.3","2561.3","2561.3","2561.3","2561.3","2561.3","2561.3","2561.3","2563.4","2563.4","2563.4","2563.4","2563.4","2563.4","2563.4","2563.4","2563.4","2563.4","2563.4","2563.4","2563.4","2563.4","2563.4","2563.4","2563.4","2563.4","2563.4","2563.4","2563.4","2563.4","2563.4","2563.4","2751.7","2751.7","2751.7","2751.7","2751.7","2751.7","2751.7","2751.7","2751.7","2751.7","2751.7","2751.7","2751.6","2751.6","2751.6","2751.6","2751.6","2751.6","2751.6","2751.6","2751.6","2751.6","2751.6","2751.6","2751.6","2751.6","2751.6","2751.6"
"1979:Q4","2583.3","2583.3","2583.3","2583.3","2583.3","2583.3","2583.3","2583.3","2583.3","2583.3","2583.3","2583.3","2583.3","2583.3","2583.3","2583.3","2583.3","2583.3","2583.3","2585.5","2585.5","2585.5","2585.5","2585.5","2585.5","2585.5","2585.5","2585.5","2585.5","2585.5","2585.5","2585.5","2585.5","2585.5","2585.5","2585.5","2585.5","2585.5","2585.5","2585.5","2585.5","2585.5","2585.5","2775.6","2775.6","2775.6","2775.6","2775.6","2775.6","2775.6","2775.6","2775.6","2775.6","2775.6","2775.6","2775.5","2775.5","2775.5","2775.5","2775.5","2775.5","2775.5","2775.5","2775.5","2775.5","2775.5","2775.5","2775.5","2775.5","2775.5","2775.5"
"1980:Q1","2586.1","2586.1","2586.1","2586.1","2586.1","2586.1","2586.1","2586.1","2586.1","2586.1","2586.1","2586.1","2586.1","2586.1","2586.1","2586.1","2586.1","2586.1","2586.1","2588.5","2588.5","2588.5","2588.5","2588.5","2588.5","2588.5","2588.5","2588.5","2588.5","2588.5","2588.5","2588.5","2588.5","2588.5","2588.5","2588.5","2588.5","2588.5","2588.5","2588.5","2588.5","2588.5","2588.5","2779.7","2779.7","2779.7","2779.7","2779.7","2779.7","2779.7","2779.7","2779.7","2779.7","2779.7","2779.7","2779.7","2779.7","2779.7","2779.7","2779.7","2779.7","2779.7","2779.7","2779.7","2779.7","2779.7","2779.7","2779.7","2779.7","2779.7","2779.7"
