"DATE","RINVCHI10M1","RINVCHI10M2","RINVCHI10M3","RINVCHI10M4","RINVCHI10M5","RINVCHI10M6","RINVCHI10M7","RINVCHI10M8","RINVCHI10M9","RINVCHI10M10","RINVCHI10M11","RINVCHI10M12","RINVCHI11M1","RINVCHI11M2","RINVCHI11M3","RINVCHI11M4","RINVCHI11M5","RINVCHI11M6","RINVCHI11M7","RINVCHI11M8","RINVCHI11M9","RINVCHI11M10","RINVCHI11M11","RINVCHI11M12","RINVCHI12M1","RINVCHI12M2","RINVCHI12M3","RINVCHI12M4","RINVCHI12M5","RINVCHI12M6","RINVCHI12M7","RINVCHI12M8","RINVCHI12M9","RINVCHI12M10","RINVCHI12M11","RINVCHI12M12","RINVCHI13M1","RINVCHI13M2","RINVCHI13M3","RINVCHI13M4","RINVCHI13M5","RINVCHI13M6","RINVCHI13M7","RINVCHI13M8","RINVCHI13M9","RINVCHI13M10","RINVCHI13M11","RINVCHI13M12","RINVCHI14M1","RINVCHI14M2","RINVCHI14M3","RINVCHI14M4","RINVCHI14M5","RINVCHI14M6","RINVCHI14M7","RINVCHI14M8","RINVCHI14M9","RINVCHI14M10","RINVCHI14M11","RINVCHI14M12","RINVCHI15M1","RINVCHI15M2","RINVCHI15M3","RINVCHI15M4","RINVCHI15M5"
"2001:Q3","-30.8","-30.8","-30.8","-30.8","-30.8","-30.8","-30.8","-30.8","-30.8","-30.8","-30.8","-30.8","-30.8","-30.8","-30.8","-30.8","-30.8","-30.8","-30.8","-30.8","-30.8","-30.8","-30.8","-30.8","-30.8","-30.8","-30.8","-30.8","-30.8","-30.8","-30.8","-30.8","-30.8","-30.8","-30.8","-30.8","-30.8","-30.8","-30.8","-30.8","-30.8","-30.8","-30.8","-36.9","-36.9","-36.9","-36.9","-36.9","-36.9","-36.9","-36.9","-36.9","-36.9","-36.9","-36.9","-36.9","-36.9","-36.9","-36.9","-36.9","-36.9","-36.9","-36.9","-36.9","-36.9"
"2001:Q4","-90.7","-90.7","-90.7","-90.7","-90.7","-90.7","-90.7","-90.7","-90.7","-90.7","-90.7","-90.7","-90.7","-90.7","-90.7","-90.7","-90.7","-90.7","-90.7","-90.7","-90.7","-90.7","-90.7","-90.7","-90.7","-90.7","-90.7","-90.7","-90.7","-90.7","-90.7","-90.7","-90.7","-90.7","-90.7","-90.7","-90.7","-90.7","-90.7","-90.7","-90.7","-90.7","-90.7","-97.4","-97.4","-97.4","-97.4","-97.4","-97.4","-97.4","-97.4","-97.4","-97.4","-97.4","-97.4","-97.4","-97.4","-97.4","-97.4","-97.4","-97.4","-97.4","-97.4","-97.4","-97.4"
"2002:Q1","-15.1","-15.1","-15.1","-15.1","-15.1","-15.1","-15.1","-15.1","-15.1","-15.1","-15.1","-15.1","-15.1","-15.1","-15.1","-15.1","-15.1","-15.1","-15.1","-15.1","-15.1","-15.1","-15.1","-15.1","-15.1","-15.1","-15.1","-15.1","-15.1","-15.1","-15.1","-15.1","-15.1","-15.1","-15.1","-15.1","-15.1","-15.1","-15.1","-15.1","-15.1","-15.1","-15.1","-3.8","-3.8","-3.8","-3.8","-3.8","-3.8","-3.8","-3.8","-3.8","-3.8","-3.8","-3.8","-3.8","-3.8","-3.8","-3.8","-3.8","-3.8","-3.8","-3.8","-3.8","-3.8"
"2002:Q2","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5"
"2002:Q3","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","32.4","32.4","32.4","32.4","32.4","32.4","32.4","32.4","32.4","32.4","32.4","32.4","32.4","32.4","32.4","32.4","32.4","32.4","32.4","32.4","32.4","32.4"
"2002:Q4","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1"
"2003:Q1","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3"
"2003:Q2","-3.5","-3.5","-3.5","-3.5","-3.5","-3.5","-3.5","-3.5","-3.5","-3.5","-3.5","-3.5","-3.5","-3.5","-3.5","-3.5","-3.5","-3.5","-3.5","-3.5","-3.5","-3.5","-3.5","-3.5","-3.5","-3.5","-3.5","-3.5","-3.5","-3.5","-3.5","-3.5","-3.5","-3.5","-3.5","-3.5","-3.5","-3.5","-3.5","-3.5","-3.5","-3.5","-3.5","-0.2","-0.2","-0.2","-0.2","-0.2","-0.2","-0.2","-0.2","-0.2","-0.2","-0.2","-0.2","-0.2","-0.2","-0.2","-0.2","-0.2","-0.2","-0.2","-0.2","-0.2","-0.2"
"2003:Q3","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6"
"2003:Q4","38.3","38.3","38.3","38.3","38.3","38.3","38.3","38.3","38.3","38.3","38.3","38.3","38.3","38.3","38.3","38.3","38.3","38.3","38.3","38.3","38.3","38.3","38.3","38.3","38.3","38.3","38.3","38.3","38.3","38.3","38.3","38.3","38.3","38.3","38.3","38.3","38.3","38.3","38.3","38.3","38.3","38.3","38.3","46.6","46.6","46.6","46.6","46.6","46.6","46.6","46.6","46.6","46.6","46.6","46.6","46.6","46.6","46.6","46.6","46.6","46.6","46.6","46.6","46.6","46.6"
