"DATE","RINVCHI10M1","RINVCHI10M2","RINVCHI10M3","RINVCHI10M4","RINVCHI10M5","RINVCHI10M6","RINVCHI10M7","RINVCHI10M8","RINVCHI10M9","RINVCHI10M10","RINVCHI10M11","RINVCHI10M12","RINVCHI11M1","RINVCHI11M2","RINVCHI11M3","RINVCHI11M4","RINVCHI11M5","RINVCHI11M6","RINVCHI11M7","RINVCHI11M8","RINVCHI11M9","RINVCHI11M10","RINVCHI11M11","RINVCHI11M12","RINVCHI12M1","RINVCHI12M2","RINVCHI12M3","RINVCHI12M4","RINVCHI12M5","RINVCHI12M6","RINVCHI12M7","RINVCHI12M8","RINVCHI12M9","RINVCHI12M10","RINVCHI12M11","RINVCHI12M12","RINVCHI13M1","RINVCHI13M2","RINVCHI13M3","RINVCHI13M4","RINVCHI13M5","RINVCHI13M6","RINVCHI13M7","RINVCHI13M8","RINVCHI13M9","RINVCHI13M10","RINVCHI13M11","RINVCHI13M12","RINVCHI14M1","RINVCHI14M2","RINVCHI14M3","RINVCHI14M4","RINVCHI14M5","RINVCHI14M6","RINVCHI14M7","RINVCHI14M8","RINVCHI14M9","RINVCHI14M10","RINVCHI14M11","RINVCHI14M12","RINVCHI15M1","RINVCHI15M2","RINVCHI15M3","RINVCHI15M4","RINVCHI15M5"
"2006:Q3","67.5","67.5","67.5","67.5","67.5","67.5","67.5","67.5","67.5","67.5","67.5","67.5","67.5","67.5","67.5","67.5","67.5","67.5","67.5","67.5","67.5","67.5","67.5","67.5","67.5","67.5","67.5","67.5","67.5","67.5","67.5","67.5","67.5","67.5","67.5","67.5","67.5","67.5","67.5","67.5","67.5","67.5","67.5","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9"
"2006:Q4","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4"
"2007:Q1","14.5","14.5","14.5","14.5","14.5","14.5","14.5","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.3","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6"
"2007:Q2","23.3","23.3","23.3","23.3","23.3","23.3","23.3","44.9","44.9","44.9","44.9","44.9","44.9","44.9","44.9","44.9","44.9","44.9","44.9","44.9","44.9","44.9","44.9","44.9","44.9","44.9","44.9","44.9","44.9","44.9","44.9","44.9","44.9","44.9","44.9","44.9","44.9","44.9","44.9","44.9","44.9","44.9","44.9","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4"
"2007:Q3","29.8","29.8","29.8","29.8","29.8","29.8","29.8","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","50.2","50.2","50.2","50.2","50.2","50.2","50.2","50.2","50.2","50.2","50.2","50.2","50.2","50.2","50.2","50.2","50.2","50.2","50.2","50.2","50.2","50.2"
"2007:Q4","10.3","10.3","10.3","10.3","10.3","10.3","10.3","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0"
"2008:Q1","0.6","0.6","0.6","0.6","0.6","0.6","0.6","-8.2","-8.2","-8.2","-8.2","-8.2","-8.2","-8.2","-8.2","-8.2","-8.2","-8.2","-8.2","-12.5","-12.5","-12.5","-12.5","-12.5","-12.5","-12.5","-12.5","-12.5","-12.5","-12.5","-12.5","-12.5","-12.5","-12.5","-12.5","-12.5","-12.5","-12.5","-12.5","-12.5","-12.5","-12.5","-12.5","-20.2","-20.2","-20.2","-20.2","-20.2","-20.2","-20.2","-20.2","-20.2","-20.2","-20.2","-20.2","-20.2","-20.2","-20.2","-20.2","-20.2","-20.2","-20.2","-20.2","-20.2","-20.2"
"2008:Q2","-37.1","-37.1","-37.1","-37.1","-37.1","-37.1","-37.1","-20.6","-20.6","-20.6","-20.6","-20.6","-20.6","-20.6","-20.6","-20.6","-20.6","-20.6","-20.6","-14.2","-14.2","-14.2","-14.2","-14.2","-14.2","-14.2","-14.2","-14.2","-14.2","-14.2","-14.2","-14.2","-14.2","-14.2","-14.2","-14.2","-14.2","-14.2","-14.2","-14.2","-14.2","-14.2","-14.2","-26.4","-26.4","-26.4","-26.4","-26.4","-26.4","-26.4","-26.4","-26.4","-26.4","-26.4","-26.4","-26.4","-26.4","-26.4","-26.4","-26.4","-26.4","-26.4","-26.4","-26.4","-26.4"
"2008:Q3","-29.7","-29.7","-29.7","-29.7","-29.7","-29.7","-29.7","-27.4","-27.4","-27.4","-27.4","-27.4","-27.4","-27.4","-27.4","-27.4","-27.4","-27.4","-27.4","-38.1","-38.1","-38.1","-38.1","-38.1","-38.1","-38.1","-38.1","-38.1","-38.1","-38.1","-38.1","-38.1","-38.1","-38.1","-38.1","-38.1","-38.1","-38.1","-38.1","-38.1","-38.1","-38.1","-38.1","-20.7","-20.7","-20.7","-20.7","-20.7","-20.7","-20.7","-20.7","-20.7","-20.7","-20.7","-20.7","-20.7","-20.7","-20.7","-20.7","-20.7","-20.7","-20.7","-20.7","-20.7","-20.7"
"2008:Q4","-37.4","-37.4","-37.4","-37.4","-37.4","-37.4","-37.4","-94.3","-94.3","-94.3","-94.3","-94.3","-94.3","-94.3","-94.3","-94.3","-94.3","-94.3","-94.3","-80.3","-80.3","-80.3","-80.3","-80.3","-80.3","-80.3","-80.3","-80.3","-80.3","-80.3","-80.3","-80.3","-80.3","-80.3","-80.3","-80.3","-80.3","-80.3","-80.3","-80.3","-80.3","-80.3","-80.3","-67.4","-67.4","-67.4","-67.4","-67.4","-67.4","-67.4","-67.4","-67.4","-67.4","-67.4","-67.4","-67.4","-67.4","-67.4","-67.4","-67.4","-67.4","-67.4","-67.4","-67.4","-67.4"
"2009:Q1","-113.9","-113.9","-113.9","-113.9","-113.9","-113.9","-113.9","-125.8","-125.8","-125.8","-125.8","-125.8","-125.8","-125.8","-125.8","-125.8","-125.8","-125.8","-125.8","-161.6","-161.6","-161.6","-161.6","-161.6","-161.6","-161.6","-161.6","-161.6","-161.6","-161.6","-161.6","-150.2","-150.2","-150.2","-150.2","-150.2","-150.2","-150.2","-150.2","-150.2","-150.2","-150.2","-150.2","-144.5","-144.5","-144.5","-144.5","-144.5","-144.5","-144.5","-144.5","-144.5","-144.5","-144.5","-144.5","-144.5","-144.5","-144.5","-144.5","-144.5","-144.5","-144.5","-144.5","-144.5","-144.5"
"2009:Q2","-160.2","-160.2","-160.2","-160.2","-160.2","-160.2","-160.2","-161.8","-161.8","-161.8","-161.8","-161.8","-161.8","-161.8","-161.8","-161.8","-161.8","-161.8","-161.8","-183.0","-183.0","-183.0","-183.0","-183.0","-183.0","-183.0","-183.0","-183.0","-183.0","-183.0","-183.0","-185.5","-185.5","-185.5","-185.5","-185.5","-185.5","-185.5","-185.5","-185.5","-185.5","-185.5","-185.5","-190.1","-190.1","-190.1","-190.1","-190.1","-190.1","-190.1","-190.1","-190.1","-190.1","-190.1","-190.1","-190.1","-190.1","-190.1","-190.1","-190.1","-190.1","-190.1","-190.1","-190.1","-190.1"
"2009:Q3","-139.2","-139.2","-139.2","-139.2","-139.2","-139.2","-139.2","-128.2","-128.2","-128.2","-128.2","-128.2","-128.2","-128.2","-128.2","-128.2","-128.2","-128.2","-128.2","-178.7","-178.7","-178.7","-178.7","-178.7","-178.7","-178.7","-178.7","-178.7","-178.7","-178.7","-178.7","-181.5","-181.5","-181.5","-181.5","-181.5","-181.5","-181.5","-181.5","-181.5","-181.5","-181.5","-181.5","-206.1","-206.1","-206.1","-206.1","-206.1","-206.1","-206.1","-206.1","-206.1","-206.1","-206.1","-206.1","-206.1","-206.1","-206.1","-206.1","-206.1","-206.1","-206.1","-206.1","-206.1","-206.1"
"2009:Q4","#N/A","-33.5","-16.9","-19.7","-19.7","-19.7","-19.7","-36.7","-36.7","-36.7","-36.7","-36.7","-36.7","-36.7","-36.7","-36.7","-36.7","-36.7","-36.7","-56.5","-56.5","-56.5","-56.5","-56.5","-56.5","-56.5","-56.5","-56.5","-56.5","-56.5","-56.5","-38.8","-38.8","-38.8","-38.8","-38.8","-38.8","-38.8","-38.8","-38.8","-38.8","-38.8","-38.8","-49.6","-49.6","-49.6","-49.6","-49.6","-49.6","-49.6","-49.6","-49.6","-49.6","-49.6","-49.6","-49.6","-49.6","-49.6","-49.6","-49.6","-49.6","-49.6","-49.6","-49.6","-49.6"
"2010:Q1","#N/A","#N/A","#N/A","#N/A","31.1","33.9","41.2","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","39.9","39.9","39.9","39.9","39.9","39.9","39.9","39.9","39.9","39.9","39.9","39.9","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8"
"2010:Q2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","75.7","63.2","68.8","68.8","68.8","68.8","68.8","68.8","68.8","68.8","68.8","68.8","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","33.2","33.2","33.2","33.2","33.2","33.2","33.2","33.2","33.2","33.2","33.2","33.2","48.8","48.8","48.8","48.8","48.8","48.8","48.8","48.8","48.8","48.8","48.8","48.8","48.8","48.8","48.8","48.8","48.8","48.8","48.8","48.8","48.8","48.8"
"2010:Q3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","115.5","111.5","121.4","121.4","121.4","121.4","121.4","121.4","121.4","92.3","92.3","92.3","92.3","92.3","92.3","92.3","92.3","92.3","92.3","92.3","92.3","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2"
"2010:Q4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","7.2","7.1","16.2","16.2","16.2","16.2","38.3","38.3","38.3","38.3","38.3","38.3","38.3","38.3","38.3","38.3","38.3","38.3","45.0","45.0","45.0","45.0","45.0","45.0","45.0","45.0","45.0","45.0","45.0","45.0","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1"
"2011:Q1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","43.8","52.2","55.7","49.1","49.1","49.1","49.1","49.1","49.1","49.1","49.1","49.1","49.1","49.1","49.1","30.3","30.3","30.3","30.3","30.3","30.3","30.3","30.3","30.3","30.3","30.3","30.3","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1"
"2011:Q2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","49.6","40.6","39.1","39.1","39.1","39.1","39.1","39.1","39.1","39.1","39.1","39.1","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","42.9","42.9","42.9","42.9","42.9","42.9","42.9","42.9","42.9","42.9","42.9","42.9","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5"
"2011:Q3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","5.4","-8.5","-2.0","-2.0","-2.0","-2.0","-2.0","-2.0","-2.0","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-11.0","-11.0","-11.0","-11.0","-11.0","-11.0","-11.0","-11.0","-11.0","-11.0","-11.0","-11.0","-13.0","-13.0","-13.0","-13.0","-13.0","-13.0","-13.0","-13.0","-13.0","-13.0"
"2011:Q4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","56.0","54.3","52.2","52.2","52.2","52.2","70.5","70.5","70.5","70.5","70.5","70.5","70.5","70.5","70.5","70.5","70.5","70.5","80.6","80.6","80.6","80.6","80.6","80.6","80.6","80.6","80.6","80.6","80.6","80.6","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8"
"2012:Q1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","69.5","57.7","54.4","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","89.2","89.2","89.2","89.2","89.2","89.2","89.2","89.2","89.2","89.2","89.2","89.2","70.9","70.9","70.9","70.9","70.9","70.9","70.9","70.9","70.9","70.9"
"2012:Q2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","66.3","49.9","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","56.8","56.8","56.8","56.8","56.8","56.8","56.8","56.8","56.8","56.8","56.8","56.8","78.9","78.9","78.9","78.9","78.9","78.9","78.9","78.9","78.9","78.9"
"2012:Q3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","34.1","61.3","60.3","60.3","60.3","60.3","60.3","60.3","60.3","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","71.2","71.2","71.2","71.2","71.2","71.2","71.2","71.2","71.2","71.2"
"2012:Q4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","20.0","12.0","13.3","13.3","13.3","13.3","7.3","7.3","7.3","7.3","7.3","7.3","7.3","7.3","7.3","7.3","7.3","7.3","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2"
"2013:Q1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","50.3","38.3","36.7","42.2","42.2","42.2","42.2","42.2","42.2","42.2","42.2","42.2","42.2","42.2","42.2","33.4","33.4","33.4","33.4","33.4","33.4","33.4","33.4","33.4","33.4"
"2013:Q2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","56.7","62.6","56.6","56.6","56.6","56.6","56.6","56.6","56.6","56.6","56.6","56.6","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4"
"2013:Q3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","86.0","116.5","115.7","115.7","115.7","115.7","115.7","115.7","115.7","95.6","95.6","95.6","95.6","95.6","95.6","95.6","95.6","95.6","95.6"
"2013:Q4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","127.2","117.4","111.7","111.7","111.7","111.7","81.8","81.8","81.8","81.8","81.8","81.8","81.8","81.8","81.8","81.8"
"2014:Q1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","87.4","49.0","45.9","35.2","35.2","35.2","35.2","35.2","35.2","35.2","35.2","35.2","35.2"
"2014:Q2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","93.4","83.9","84.8","84.8","84.8","84.8","84.8","84.8","84.8","84.8"
"2014:Q3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","62.8","79.1","82.2","82.2","82.2","82.2","82.2"
"2014:Q4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","113.1","88.4","80.0","80.0"
"2015:Q1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","110.3"
