"DATE","NCPROFATW10M1","NCPROFATW10M2","NCPROFATW10M3","NCPROFATW10M4","NCPROFATW10M5","NCPROFATW10M6","NCPROFATW10M7","NCPROFATW10M8","NCPROFATW10M9","NCPROFATW10M10","NCPROFATW10M11","NCPROFATW10M12","NCPROFATW11M1","NCPROFATW11M2","NCPROFATW11M3","NCPROFATW11M4","NCPROFATW11M5","NCPROFATW11M6","NCPROFATW11M7","NCPROFATW11M8","NCPROFATW11M9","NCPROFATW11M10","NCPROFATW11M11","NCPROFATW11M12","NCPROFATW12M1","NCPROFATW12M2","NCPROFATW12M3","NCPROFATW12M4","NCPROFATW12M5","NCPROFATW12M6","NCPROFATW12M7","NCPROFATW12M8","NCPROFATW12M9","NCPROFATW12M10","NCPROFATW12M11","NCPROFATW12M12","NCPROFATW13M1","NCPROFATW13M2","NCPROFATW13M3","NCPROFATW13M4","NCPROFATW13M5","NCPROFATW13M6","NCPROFATW13M7","NCPROFATW13M8","NCPROFATW13M9","NCPROFATW13M10","NCPROFATW13M11","NCPROFATW13M12","NCPROFATW14M1","NCPROFATW14M2","NCPROFATW14M3","NCPROFATW14M4","NCPROFATW14M5","NCPROFATW14M6","NCPROFATW14M7","NCPROFATW14M8","NCPROFATW14M9","NCPROFATW14M10","NCPROFATW14M11","NCPROFATW14M12","NCPROFATW15M1","NCPROFATW15M2","NCPROFATW15M3","NCPROFATW15M4","NCPROFATW15M5","NCPROFATW15M6","NCPROFATW15M7","NCPROFATW15M8","NCPROFATW15M9","NCPROFATW15M10","NCPROFATW15M11"
"2010:Q3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1221.1","1210.7","1210.7","1210.7","1210.7","1210.7","1210.7","1210.7","1402.8","1402.8","1402.8","1402.8","1402.8","1402.8","1402.8","1402.8","1402.8","1402.8","1402.8","1402.8","1362.1","1362.1","1362.1","1362.1","1362.1","1362.1","1362.1","1362.1","1362.1","1362.1","1362.1","1362.1","1419.6","1419.6","1419.6","1419.6","1419.6","1419.6","1419.6","1419.6","1419.6","1419.6","1419.6","1419.6","1426.6","1426.6","1426.6","1426.6","1426.6","1426.6","1426.6","1426.6","1426.6","1426.6","1426.6","1426.6","1426.6","1426.6","1426.6","1426.6"
"2010:Q4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1250.2","1250.2","1250.2","1250.2","1452.7","1452.7","1452.7","1452.7","1452.7","1452.7","1452.7","1452.7","1452.7","1452.7","1452.7","1452.7","1382.3","1382.3","1382.3","1382.3","1382.3","1382.3","1382.3","1382.3","1382.3","1382.3","1382.3","1382.3","1440.9","1440.9","1440.9","1440.9","1440.9","1440.9","1440.9","1440.9","1440.9","1440.9","1440.9","1440.9","1448.4","1448.4","1448.4","1448.4","1448.4","1448.4","1448.4","1448.4","1448.4","1448.4","1448.4","1448.4","1448.4","1448.4","1448.4","1448.4"
"2011:Q1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1238.6","1265.7","1454.1","1454.1","1454.1","1454.1","1454.1","1454.1","1454.1","1454.1","1454.1","1454.1","1454.1","1454.1","1324.6","1324.6","1324.6","1324.6","1324.6","1324.6","1324.6","1324.6","1324.6","1324.6","1324.6","1324.6","1362.0","1362.0","1362.0","1362.0","1362.0","1362.0","1362.0","1362.0","1362.0","1362.0","1362.0","1362.0","1279.9","1279.9","1279.9","1279.9","1279.9","1279.9","1279.9","1279.9","1279.9","1279.9","1279.9","1279.9","1279.9","1279.9","1279.9","1279.9"
"2011:Q2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1514.4","1517.1","1517.1","1517.1","1517.1","1517.1","1517.1","1517.1","1517.1","1517.1","1517.1","1415.8","1415.8","1415.8","1415.8","1415.8","1415.8","1415.8","1415.8","1415.8","1415.8","1415.8","1415.8","1484.4","1484.4","1484.4","1484.4","1484.4","1484.4","1484.4","1484.4","1484.4","1484.4","1484.4","1484.4","1406.6","1406.6","1406.6","1406.6","1406.6","1406.6","1406.6","1406.6","1406.6","1406.6","1406.6","1406.6","1406.6","1406.6","1406.6","1406.6"
"2011:Q3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1562.6","1558.7","1558.7","1558.7","1558.7","1558.7","1558.7","1558.7","1468.5","1468.5","1468.5","1468.5","1468.5","1468.5","1468.5","1468.5","1468.5","1468.5","1468.5","1468.5","1542.8","1542.8","1542.8","1542.8","1542.8","1542.8","1542.8","1542.8","1542.8","1542.8","1542.8","1542.8","1475.6","1475.6","1475.6","1475.6","1475.6","1475.6","1475.6","1475.6","1475.6","1475.6","1475.6","1475.6","1475.6","1475.6","1475.6","1475.6"
"2011:Q4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1576.2","1576.2","1576.2","1576.2","1582.8","1582.8","1582.8","1582.8","1582.8","1582.8","1582.8","1582.8","1582.8","1582.8","1582.8","1582.8","1624.8","1624.8","1624.8","1624.8","1624.8","1624.8","1624.8","1624.8","1624.8","1624.8","1624.8","1624.8","1588.0","1588.0","1588.0","1588.0","1588.0","1588.0","1588.0","1588.0","1588.0","1588.0","1588.0","1588.0","1588.0","1588.0","1588.0","1588.0"
"2012:Q1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1511.8","1486.5","1446.6","1446.6","1446.6","1446.6","1446.6","1446.6","1446.6","1446.6","1446.6","1446.6","1446.6","1446.6","1542.7","1542.7","1542.7","1542.7","1542.7","1542.7","1542.7","1542.7","1542.7","1542.7","1542.7","1542.7","1526.6","1526.6","1526.6","1526.6","1526.6","1526.6","1526.6","1526.6","1526.6","1526.6","1526.6","1526.6","1573.3","1573.3","1573.3","1573.3"
"2012:Q2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1462.2","1478.5","1478.5","1478.5","1478.5","1478.5","1478.5","1478.5","1478.5","1478.5","1478.5","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1551.2","1551.2","1551.2","1551.2","1551.2","1551.2","1551.2","1551.2","1551.2","1551.2","1551.2","1551.2","1543.7","1543.7","1543.7","1543.7"
"2012:Q3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1526.6","1515.2","1515.2","1515.2","1515.2","1515.2","1515.2","1515.2","1573.2","1573.2","1573.2","1573.2","1573.2","1573.2","1573.2","1573.2","1573.2","1573.2","1573.2","1573.2","1600.4","1600.4","1600.4","1600.4","1600.4","1600.4","1600.4","1600.4","1600.4","1600.4","1600.4","1600.4","1548.1","1548.1","1548.1","1548.1"
"2012:Q4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1565.0","1565.0","1565.0","1565.0","1614.0","1614.0","1614.0","1614.0","1614.0","1614.0","1614.0","1614.0","1614.0","1614.0","1614.0","1614.0","1593.8","1593.8","1593.8","1593.8","1593.8","1593.8","1593.8","1593.8","1593.8","1593.8","1593.8","1593.8","1537.1","1537.1","1537.1","1537.1"
