"DATE","ROUTPUT80M1","ROUTPUT80M2","ROUTPUT80M3","ROUTPUT80M4","ROUTPUT80M5","ROUTPUT80M6","ROUTPUT80M7","ROUTPUT80M8","ROUTPUT80M9","ROUTPUT80M10","ROUTPUT80M11","ROUTPUT80M12","ROUTPUT81M1","ROUTPUT81M2","ROUTPUT81M3","ROUTPUT81M4","ROUTPUT81M5","ROUTPUT81M6","ROUTPUT81M7","ROUTPUT81M8","ROUTPUT81M9","ROUTPUT81M10","ROUTPUT81M11","ROUTPUT81M12","ROUTPUT82M1","ROUTPUT82M2","ROUTPUT82M3","ROUTPUT82M4","ROUTPUT82M5","ROUTPUT82M6","ROUTPUT82M7","ROUTPUT82M8","ROUTPUT82M9","ROUTPUT82M10","ROUTPUT82M11","ROUTPUT82M12","ROUTPUT83M1","ROUTPUT83M2","ROUTPUT83M3","ROUTPUT83M4","ROUTPUT83M5","ROUTPUT83M6","ROUTPUT83M7","ROUTPUT83M8","ROUTPUT83M9","ROUTPUT83M10","ROUTPUT83M11","ROUTPUT83M12","ROUTPUT84M1","ROUTPUT84M2","ROUTPUT84M3","ROUTPUT84M4","ROUTPUT84M5","ROUTPUT84M6","ROUTPUT84M7","ROUTPUT84M8","ROUTPUT84M9","ROUTPUT84M10","ROUTPUT84M11","ROUTPUT84M12","ROUTPUT85M1","ROUTPUT85M2","ROUTPUT85M3","ROUTPUT85M4","ROUTPUT85M5","ROUTPUT85M6","ROUTPUT85M7","ROUTPUT85M8","ROUTPUT85M9","ROUTPUT85M10","ROUTPUT85M11","ROUTPUT85M12","ROUTPUT86M1","ROUTPUT86M2","ROUTPUT86M3","ROUTPUT86M4","ROUTPUT86M5","ROUTPUT86M6","ROUTPUT86M7","ROUTPUT86M8","ROUTPUT86M9","ROUTPUT86M10","ROUTPUT86M11","ROUTPUT86M12","ROUTPUT87M1","ROUTPUT87M2","ROUTPUT87M3","ROUTPUT87M4","ROUTPUT87M5","ROUTPUT87M6","ROUTPUT87M7","ROUTPUT87M8","ROUTPUT87M9","ROUTPUT87M10","ROUTPUT87M11","ROUTPUT87M12","ROUTPUT88M1","ROUTPUT88M2","ROUTPUT88M3","ROUTPUT88M4","ROUTPUT88M5","ROUTPUT88M6","ROUTPUT88M7","ROUTPUT88M8","ROUTPUT88M9","ROUTPUT88M10","ROUTPUT88M11","ROUTPUT88M12","ROUTPUT89M1","ROUTPUT89M2","ROUTPUT89M3","ROUTPUT89M4","ROUTPUT89M5","ROUTPUT89M6","ROUTPUT89M7","ROUTPUT89M8","ROUTPUT89M9","ROUTPUT89M10","ROUTPUT89M11","ROUTPUT89M12"
"1947:Q1","464.0","464.0","464.0","464.0","464.0","464.0","464.0","464.0","464.0","464.0","464.0","464.0","466.0","466.0","466.0","466.0","466.0","466.0","466.0","466.0","466.0","466.0","466.0","466.0","466.0","466.0","466.0","466.0","466.0","466.0","466.0","466.0","466.0","466.0","466.0","466.0","466.0","466.0","466.0","466.0","466.0","466.0","466.0","466.0","466.0","466.0","466.0","466.0","466.0","466.0","466.0","466.0","466.0","466.0","466.0","466.0","466.0","466.0","466.0","466.0","466.0","466.0","466.0","466.0","466.0","466.0","466.0","466.0","466.0","466.0","466.0","466.0","1056.5","1056.5","1056.5","1056.5","1056.5","1056.5","1056.5","1056.5","1056.5","1056.5","1056.5","1056.5","1056.5","1056.5","1056.5","1056.5","1056.5","1056.5","1056.5","1056.5","1056.5","1056.5","1056.5","1056.5","1056.5","1056.5","1056.5","1056.5","1056.5","1056.5","1056.5","1056.5","1056.5","1056.5","1056.5","1056.5","1056.5","1056.5","1056.5","1056.5","1056.5","1056.5","1056.5","1056.5","1056.5","1056.5","1056.5","1056.5"
"1947:Q2","467.5","467.5","467.5","467.5","467.5","467.5","467.5","467.5","467.5","467.5","467.5","467.5","469.5","469.5","469.5","469.5","469.5","469.5","469.5","469.5","469.5","469.5","469.5","469.5","469.5","469.5","469.5","469.5","469.5","469.5","469.5","469.5","469.5","469.5","469.5","469.5","469.5","469.5","469.5","469.5","469.5","469.5","469.5","469.5","469.5","469.5","469.5","469.5","469.5","469.5","469.5","469.5","469.5","469.5","469.5","469.5","469.5","469.5","469.5","469.5","469.5","469.5","469.5","469.5","469.5","469.5","469.5","469.5","469.5","469.5","469.5","469.5","1063.2","1063.2","1063.2","1063.2","1063.2","1063.2","1063.2","1063.2","1063.2","1063.2","1063.2","1063.2","1063.2","1063.2","1063.2","1063.2","1063.2","1063.2","1063.2","1063.2","1063.2","1063.2","1063.2","1063.2","1063.2","1063.2","1063.2","1063.2","1063.2","1063.2","1063.2","1063.2","1063.2","1063.2","1063.2","1063.2","1063.2","1063.2","1063.2","1063.2","1063.2","1063.2","1063.2","1063.2","1063.2","1063.2","1063.2","1063.2"
"1947:Q3","468.0","468.0","468.0","468.0","468.0","468.0","468.0","468.0","468.0","468.0","468.0","468.0","470.2","470.2","470.2","470.2","470.2","470.2","470.2","470.2","470.2","470.2","470.2","470.2","470.2","470.2","470.2","470.2","470.2","470.2","470.2","470.2","470.2","470.2","470.2","470.2","470.2","470.2","470.2","470.2","470.2","470.2","470.2","470.2","470.2","470.2","470.2","470.2","470.2","470.2","470.2","470.2","470.2","470.2","470.2","470.2","470.2","470.2","470.2","470.2","470.2","470.2","470.2","470.2","470.2","470.2","470.2","470.2","470.2","470.2","470.2","470.2","1067.1","1067.1","1067.1","1067.1","1067.1","1067.1","1067.1","1067.1","1067.1","1067.1","1067.1","1067.1","1067.1","1067.1","1067.1","1067.1","1067.1","1067.1","1067.1","1067.1","1067.1","1067.1","1067.1","1067.1","1067.1","1067.1","1067.1","1067.1","1067.1","1067.1","1067.1","1067.1","1067.1","1067.1","1067.1","1067.1","1067.1","1067.1","1067.1","1067.1","1067.1","1067.1","1067.1","1067.1","1067.1","1067.1","1067.1","1067.1"
"1947:Q4","473.7","473.7","473.7","473.7","473.7","473.7","473.7","473.7","473.7","473.7","473.7","473.7","475.7","475.7","475.7","475.7","475.7","475.7","475.7","475.7","475.7","475.7","475.7","475.7","475.7","475.7","475.7","475.7","475.7","475.7","475.7","475.7","475.7","475.7","475.7","475.7","475.7","475.7","475.7","475.7","475.7","475.7","475.7","475.7","475.7","475.7","475.7","475.7","475.7","475.7","475.7","475.7","475.7","475.7","475.7","475.7","475.7","475.7","475.7","475.7","475.7","475.7","475.7","475.7","475.7","475.7","475.7","475.7","475.7","475.7","475.7","475.7","1080.0","1080.0","1080.0","1080.0","1080.0","1080.0","1080.0","1080.0","1080.0","1080.0","1080.0","1080.0","1080.0","1080.0","1080.0","1080.0","1080.0","1080.0","1080.0","1080.0","1080.0","1080.0","1080.0","1080.0","1080.0","1080.0","1080.0","1080.0","1080.0","1080.0","1080.0","1080.0","1080.0","1080.0","1080.0","1080.0","1080.0","1080.0","1080.0","1080.0","1080.0","1080.0","1080.0","1080.0","1080.0","1080.0","1080.0","1080.0"
"1948:Q1","477.3","477.3","477.3","477.3","477.3","477.3","477.3","477.3","477.3","477.3","477.3","477.3","479.4","479.4","479.4","479.4","479.4","479.4","479.4","479.4","479.4","479.4","479.4","479.4","479.4","479.4","479.4","479.4","479.4","479.4","479.4","479.4","479.4","479.4","479.4","479.4","479.4","479.4","479.4","479.4","479.4","479.4","479.4","479.4","479.4","479.4","479.4","479.4","479.4","479.4","479.4","479.4","479.4","479.4","479.4","479.4","479.4","479.4","479.4","479.4","479.4","479.4","479.4","479.4","479.4","479.4","479.4","479.4","479.4","479.4","479.4","479.4","1086.8","1086.8","1086.8","1086.8","1086.8","1086.8","1086.8","1086.8","1086.8","1086.8","1086.8","1086.8","1086.8","1086.8","1086.8","1086.8","1086.8","1086.8","1086.8","1086.8","1086.8","1086.8","1086.8","1086.8","1086.8","1086.8","1086.8","1086.8","1086.8","1086.8","1086.8","1086.8","1086.8","1086.8","1086.8","1086.8","1086.8","1086.8","1086.8","1086.8","1086.8","1086.8","1086.8","1086.8","1086.8","1086.8","1086.8","1086.8"
"1948:Q2","486.0","486.0","486.0","486.0","486.0","486.0","486.0","486.0","486.0","486.0","486.0","486.0","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","1106.1","1106.1","1106.1","1106.1","1106.1","1106.1","1106.1","1106.1","1106.1","1106.1","1106.1","1106.1","1106.1","1106.1","1106.1","1106.1","1106.1","1106.1","1106.1","1106.1","1106.1","1106.1","1106.1","1106.1","1106.1","1106.1","1106.1","1106.1","1106.1","1106.1","1106.1","1106.1","1106.1","1106.1","1106.1","1106.1","1106.1","1106.1","1106.1","1106.1","1106.1","1106.1","1106.1","1106.1","1106.1","1106.1","1106.1","1106.1"
"1948:Q3","490.8","490.8","490.8","490.8","490.8","490.8","490.8","490.8","490.8","490.8","490.8","490.8","492.9","492.9","492.9","492.9","492.9","492.9","492.9","492.9","492.9","492.9","492.9","492.9","492.9","492.9","492.9","492.9","492.9","492.9","492.9","492.9","492.9","492.9","492.9","492.9","492.9","492.9","492.9","492.9","492.9","492.9","492.9","492.9","492.9","492.9","492.9","492.9","492.9","492.9","492.9","492.9","492.9","492.9","492.9","492.9","492.9","492.9","492.9","492.9","492.9","492.9","492.9","492.9","492.9","492.9","492.9","492.9","492.9","492.9","492.9","492.9","1116.3","1116.3","1116.3","1116.3","1116.3","1116.3","1116.3","1116.3","1116.3","1116.3","1116.3","1116.3","1116.3","1116.3","1116.3","1116.3","1116.3","1116.3","1116.3","1116.3","1116.3","1116.3","1116.3","1116.3","1116.3","1116.3","1116.3","1116.3","1116.3","1116.3","1116.3","1116.3","1116.3","1116.3","1116.3","1116.3","1116.3","1116.3","1116.3","1116.3","1116.3","1116.3","1116.3","1116.3","1116.3","1116.3","1116.3","1116.3"
"1948:Q4","495.9","495.9","495.9","495.9","495.9","495.9","495.9","495.9","495.9","495.9","495.9","495.9","497.9","497.9","497.9","497.9","497.9","497.9","497.9","497.9","497.9","497.9","497.9","497.9","497.9","497.9","497.9","497.9","497.9","497.9","497.9","497.9","497.9","497.9","497.9","497.9","497.9","497.9","497.9","497.9","497.9","497.9","497.9","497.9","497.9","497.9","497.9","497.9","497.9","497.9","497.9","497.9","497.9","497.9","497.9","497.9","497.9","497.9","497.9","497.9","497.9","497.9","497.9","497.9","497.9","497.9","497.9","497.9","497.9","497.9","497.9","497.9","1125.5","1125.5","1125.5","1125.5","1125.5","1125.5","1125.5","1125.5","1125.5","1125.5","1125.5","1125.5","1125.5","1125.5","1125.5","1125.5","1125.5","1125.5","1125.5","1125.5","1125.5","1125.5","1125.5","1125.5","1125.5","1125.5","1125.5","1125.5","1125.5","1125.5","1125.5","1125.5","1125.5","1125.5","1125.5","1125.5","1125.5","1125.5","1125.5","1125.5","1125.5","1125.5","1125.5","1125.5","1125.5","1125.5","1125.5","1125.5"
"1949:Q1","490.9","490.9","490.9","490.9","490.9","490.9","490.9","490.9","490.9","490.9","490.9","490.9","492.6","492.6","492.6","492.6","492.6","492.6","492.6","492.6","492.6","492.6","492.6","492.6","492.6","492.6","492.6","492.6","492.6","492.6","492.6","492.6","492.6","492.6","492.6","492.6","492.6","492.6","492.6","492.6","492.6","492.6","492.6","492.6","492.6","492.6","492.6","492.6","492.6","492.6","492.6","492.6","492.6","492.6","492.6","492.6","492.6","492.6","492.6","492.6","492.6","492.6","492.6","492.6","492.6","492.6","492.6","492.6","492.6","492.6","492.6","492.6","1112.4","1112.4","1112.4","1112.4","1112.4","1112.4","1112.4","1112.4","1112.4","1112.4","1112.4","1112.4","1112.4","1112.4","1112.4","1112.4","1112.4","1112.4","1112.4","1112.4","1112.4","1112.4","1112.4","1112.4","1112.4","1112.4","1112.4","1112.4","1112.4","1112.4","1112.4","1112.4","1112.4","1112.4","1112.4","1112.4","1112.4","1112.4","1112.4","1112.4","1112.4","1112.4","1112.4","1112.4","1112.4","1112.4","1112.4","1112.4"
"1949:Q2","488.9","488.9","488.9","488.9","488.9","488.9","488.9","488.9","488.9","488.9","488.9","488.9","490.3","490.3","490.3","490.3","490.3","490.3","490.3","490.3","490.3","490.3","490.3","490.3","490.3","490.3","490.3","490.3","490.3","490.3","490.3","490.3","490.3","490.3","490.3","490.3","490.3","490.3","490.3","490.3","490.3","490.3","490.3","490.3","490.3","490.3","490.3","490.3","490.3","490.3","490.3","490.3","490.3","490.3","490.3","490.3","490.3","490.3","490.3","490.3","490.3","490.3","490.3","490.3","490.3","490.3","490.3","490.3","490.3","490.3","490.3","490.3","1105.9","1105.9","1105.9","1105.9","1105.9","1105.9","1105.9","1105.9","1105.9","1105.9","1105.9","1105.9","1105.9","1105.9","1105.9","1105.9","1105.9","1105.9","1105.9","1105.9","1105.9","1105.9","1105.9","1105.9","1105.9","1105.9","1105.9","1105.9","1105.9","1105.9","1105.9","1105.9","1105.9","1105.9","1105.9","1105.9","1105.9","1105.9","1105.9","1105.9","1105.9","1105.9","1105.9","1105.9","1105.9","1105.9","1105.9","1105.9"
