"DATE","RCONNDM98M11","RCONNDM98M12","RCONNDM99M1","RCONNDM99M2","RCONNDM99M3","RCONNDM99M4","RCONNDM99M5","RCONNDM99M6","RCONNDM99M7","RCONNDM99M8","RCONNDM99M9","RCONNDM99M10","RCONNDM99M11","RCONNDM99M12","RCONNDM00M1","RCONNDM00M2","RCONNDM00M3","RCONNDM00M4","RCONNDM00M5","RCONNDM00M6","RCONNDM00M7","RCONNDM00M8","RCONNDM00M9","RCONNDM00M10","RCONNDM00M11","RCONNDM00M12","RCONNDM01M1","RCONNDM01M2","RCONNDM01M3","RCONNDM01M4","RCONNDM01M5","RCONNDM01M6","RCONNDM01M7","RCONNDM01M8","RCONNDM01M9","RCONNDM01M10","RCONNDM01M11","RCONNDM01M12","RCONNDM02M1","RCONNDM02M2","RCONNDM02M3","RCONNDM02M4","RCONNDM02M5","RCONNDM02M6","RCONNDM02M7","RCONNDM02M8","RCONNDM02M9","RCONNDM02M10","RCONNDM02M11","RCONNDM02M12","RCONNDM03M1","RCONNDM03M2","RCONNDM03M3","RCONNDM03M4","RCONNDM03M5","RCONNDM03M6","RCONNDM03M7","RCONNDM03M8","RCONNDM03M9","RCONNDM03M10","RCONNDM03M11","RCONNDM03M12","RCONNDM04M1","RCONNDM04M2","RCONNDM04M3","RCONNDM04M4","RCONNDM04M5","RCONNDM04M6","RCONNDM04M7","RCONNDM04M8","RCONNDM04M9","RCONNDM04M10","RCONNDM04M11","RCONNDM04M12","RCONNDM05M1","RCONNDM05M2","RCONNDM05M3","RCONNDM05M4","RCONNDM05M5","RCONNDM05M6","RCONNDM05M7","RCONNDM05M8","RCONNDM05M9","RCONNDM05M10","RCONNDM05M11","RCONNDM05M12","RCONNDM06M1","RCONNDM06M2","RCONNDM06M3","RCONNDM06M4","RCONNDM06M5","RCONNDM06M6","RCONNDM06M7","RCONNDM06M8","RCONNDM06M9","RCONNDM06M10","RCONNDM06M11","RCONNDM06M12","RCONNDM07M1","RCONNDM07M2","RCONNDM07M3","RCONNDM07M4","RCONNDM07M5","RCONNDM07M6","RCONNDM07M7","RCONNDM07M8","RCONNDM07M9","RCONNDM07M10","RCONNDM07M11","RCONNDM07M12","RCONNDM08M1","RCONNDM08M2","RCONNDM08M3","RCONNDM08M4","RCONNDM08M5","RCONNDM08M6","RCONNDM08M7","RCONNDM08M8","RCONNDM08M9","RCONNDM08M10","RCONNDM08M11","RCONNDM08M12","RCONNDM09M1","RCONNDM09M2","RCONNDM09M3","RCONNDM09M4","RCONNDM09M5","RCONNDM09M6","RCONNDM09M7","RCONNDM09M8","RCONNDM09M9","RCONNDM09M10","RCONNDM09M11","RCONNDM09M12","RCONNDM10M1","RCONNDM10M2","RCONNDM10M3","RCONNDM10M4","RCONNDM10M5","RCONNDM10M6","RCONNDM10M7","RCONNDM10M8","RCONNDM10M9","RCONNDM10M10","RCONNDM10M11","RCONNDM10M12","RCONNDM11M1","RCONNDM11M2","RCONNDM11M3","RCONNDM11M4","RCONNDM11M5","RCONNDM11M6","RCONNDM11M7","RCONNDM11M8","RCONNDM11M9","RCONNDM11M10","RCONNDM11M11","RCONNDM11M12","RCONNDM12M1","RCONNDM12M2","RCONNDM12M3","RCONNDM12M4","RCONNDM12M5","RCONNDM12M6","RCONNDM12M7","RCONNDM12M8","RCONNDM12M9","RCONNDM12M10","RCONNDM12M11","RCONNDM12M12","RCONNDM13M1","RCONNDM13M2","RCONNDM13M3","RCONNDM13M4","RCONNDM13M5","RCONNDM13M6","RCONNDM13M7","RCONNDM13M8","RCONNDM13M9","RCONNDM13M10","RCONNDM13M11","RCONNDM13M12","RCONNDM14M1","RCONNDM14M2","RCONNDM14M3","RCONNDM14M4","RCONNDM14M5","RCONNDM14M6","RCONNDM14M7","RCONNDM14M8","RCONNDM14M9","RCONNDM14M10","RCONNDM14M11","RCONNDM14M12","RCONNDM15M1","RCONNDM15M2","RCONNDM15M3","RCONNDM15M4","RCONNDM15M5","RCONNDM15M6","RCONNDM15M7","RCONNDM15M8","RCONNDM15M9","RCONNDM15M10","RCONNDM15M11"
"1977:03","1002.647","1002.647","1002.647","1002.647","1002.647","1002.647","1002.647","1002.647","1002.647","1002.647","1002.647","1002.647","#N/A","995.041","995.041","995.041","995.041","995.0","995.0","995.0","995.0","995.0","995.0","995.0","995.0","995.0","995.0","995.0","995.0","995.0","995.0","995.0","995.0","995.0","995.0","995.0","995.0","995.0","995.0","995.0","995.0","995.0","995.0","995.0","995.0","995.0","995.0","995.0","995.0","995.0","995.0","995.0","995.0","995.0","995.0","995.0","995.0","995.0","995.0","995.0","995.0","995.0","#N/A","1075.1","1075.1","1075.1","1075.1","1075.1","1075.1","1075.1","1075.1","1075.1","1075.1","1075.1","1075.1","1075.1","1075.1","1075.1","1075.1","1075.1","1075.1","1075.1","1075.1","1075.1","1075.1","1075.1","1075.1","1075.1","1075.1","1075.1","1075.1","1075.1","1075.1","1075.1","1075.1","1075.1","1075.1","1075.1","1075.1","1075.1","1075.1","1075.1","1075.1","1075.1","1075.1","1075.1","1075.1","1075.1","1075.1","1075.1","1075.1","1075.1","1075.1","1075.1","1075.1","1075.1","1075.1","1075.1","1075.1","1075.1","1075.1","1075.1","1075.1","1075.1","1075.1","1075.1","1075.1","1075.1","1075.1","947.232","947.232","947.232","947.232","947.232","947.232","947.232","947.232","947.232","947.232","947.232","947.232","947.232","947.232","947.232","947.232","947.232","947.232","947.232","947.232","947.232","947.232","947.232","947.232","947.212","947.212","947.212","947.212","947.212","947.212","947.212","947.212","947.212","947.212","947.212","947.212","947.212","947.212","947.212","947.212","947.212","947.212","947.212","947.212","947.212","947.212","947.212","947.212","1031.096","1031.096","1031.096","1031.096","1031.096","1031.096","1031.096","1031.096","1031.096","1031.096","1031.096","1031.096","1031.096","1031.096","1031.096","1031.096","1031.096","1031.096","1031.096","1031.096","1031.096","1031.096","1031.096","1031.096","1031.096","1031.096","1031.096","1031.096"
"1977:04","1006.375","1006.375","1006.375","1006.375","1006.375","1006.375","1006.375","1006.375","1006.375","1006.375","1006.375","1006.375","#N/A","998.031","998.031","998.031","998.031","998.0","998.0","998.0","998.0","998.0","998.0","998.0","998.0","998.0","998.0","998.0","998.0","998.0","998.0","998.0","998.0","998.0","998.0","998.0","998.0","998.0","998.0","998.0","998.0","998.0","998.0","998.0","998.0","998.0","998.0","998.0","998.0","998.0","998.0","998.0","998.0","998.0","998.0","998.0","998.0","998.0","998.0","998.0","998.0","998.0","#N/A","1078.4","1078.4","1078.4","1078.4","1078.4","1078.4","1078.4","1078.4","1078.4","1078.4","1078.4","1078.4","1078.4","1078.4","1078.4","1078.4","1078.4","1078.4","1078.4","1078.4","1078.4","1078.4","1078.4","1078.4","1078.4","1078.4","1078.4","1078.4","1078.4","1078.4","1078.4","1078.4","1078.4","1078.4","1078.4","1078.4","1078.4","1078.4","1078.4","1078.4","1078.4","1078.4","1078.4","1078.4","1078.4","1078.4","1078.4","1078.4","1078.4","1078.4","1078.4","1078.4","1078.4","1078.4","1078.4","1078.4","1078.4","1078.4","1078.4","1078.4","1078.4","1078.4","1078.4","1078.4","1078.4","1078.4","952.883","952.883","952.883","952.883","952.883","952.883","952.883","952.883","952.883","952.883","952.883","952.883","952.883","952.883","952.883","952.883","952.883","952.883","952.883","952.883","952.883","952.883","952.883","952.883","952.876","952.876","952.876","952.876","952.876","952.876","952.876","952.876","952.876","952.876","952.876","952.876","952.876","952.876","952.876","952.876","952.876","952.876","952.876","952.876","952.876","952.876","952.876","952.876","1037.274","1037.274","1037.274","1037.274","1037.274","1037.274","1037.274","1037.274","1037.274","1037.274","1037.274","1037.274","1037.274","1037.274","1037.274","1037.274","1037.274","1037.274","1037.274","1037.274","1037.274","1037.274","1037.274","1037.274","1037.274","1037.274","1037.274","1037.274"
"1977:05","1007.961","1007.961","1007.961","1007.961","1007.961","1007.961","1007.961","1007.961","1007.961","1007.961","1007.961","1007.961","#N/A","999.228","999.228","999.228","999.228","999.2","999.2","999.2","999.2","999.2","999.2","999.2","999.2","999.2","999.2","999.2","999.2","999.2","999.2","999.2","999.2","999.2","999.2","999.2","999.2","999.2","999.2","999.2","999.2","999.2","999.2","999.2","999.2","999.2","999.2","999.2","999.2","999.2","999.2","999.2","999.2","999.2","999.2","999.2","999.2","999.2","999.2","999.2","999.2","999.2","#N/A","1079.7","1079.7","1079.7","1079.7","1079.7","1079.7","1079.7","1079.7","1079.7","1079.7","1079.7","1079.7","1079.7","1079.7","1079.7","1079.7","1079.7","1079.7","1079.7","1079.7","1079.7","1079.7","1079.7","1079.7","1079.7","1079.7","1079.7","1079.7","1079.7","1079.7","1079.7","1079.7","1079.7","1079.7","1079.7","1079.7","1079.7","1079.7","1079.7","1079.7","1079.7","1079.7","1079.7","1079.7","1079.7","1079.7","1079.7","1079.7","1079.7","1079.7","1079.7","1079.7","1079.7","1079.7","1079.7","1079.7","1079.7","1079.7","1079.7","1079.7","1079.7","1079.7","1079.7","1079.7","1079.7","1079.7","953.708","953.708","953.708","953.708","953.708","953.708","953.708","953.708","953.708","953.708","953.708","953.708","953.708","953.708","953.708","953.708","953.708","953.708","953.708","953.708","953.708","953.708","953.708","953.708","953.716","953.716","953.716","953.716","953.716","953.716","953.716","953.716","953.716","953.716","953.716","953.716","953.716","953.716","953.716","953.716","953.716","953.716","953.716","953.716","953.716","953.716","953.716","953.716","1038.187","1038.187","1038.187","1038.187","1038.187","1038.187","1038.187","1038.187","1038.187","1038.187","1038.187","1038.187","1038.187","1038.187","1038.187","1038.187","1038.187","1038.187","1038.187","1038.187","1038.187","1038.187","1038.187","1038.187","1038.187","1038.187","1038.187","1038.187"
"1977:06","1000.664","1000.664","1000.664","1000.664","1000.664","1000.664","1000.664","1000.664","1000.664","1000.664","1000.664","1000.664","#N/A","991.767","991.767","991.767","991.767","991.8","991.8","991.8","991.8","991.8","991.8","991.8","991.8","991.8","991.8","991.8","991.8","991.8","991.8","991.8","991.8","991.8","991.8","991.8","991.8","991.8","991.8","991.8","991.8","991.8","991.8","991.8","991.8","991.8","991.8","991.8","991.8","991.8","991.8","991.8","991.8","991.8","991.8","991.8","991.8","991.8","991.8","991.8","991.8","991.8","#N/A","1071.6","1071.6","1071.6","1071.6","1071.6","1071.6","1071.6","1071.6","1071.6","1071.6","1071.6","1071.6","1071.6","1071.6","1071.6","1071.6","1071.6","1071.6","1071.6","1071.6","1071.6","1071.6","1071.6","1071.6","1071.6","1071.6","1071.6","1071.6","1071.6","1071.6","1071.6","1071.6","1071.6","1071.6","1071.6","1071.6","1071.6","1071.6","1071.6","1071.6","1071.6","1071.6","1071.6","1071.6","1071.6","1071.6","1071.6","1071.6","1071.6","1071.6","1071.6","1071.6","1071.6","1071.6","1071.6","1071.6","1071.6","1071.6","1071.6","1071.6","1071.6","1071.6","1071.6","1071.6","1071.6","1071.6","948.277","948.277","948.277","948.277","948.277","948.277","948.277","948.277","948.277","948.277","948.277","948.277","948.277","948.277","948.277","948.277","948.277","948.277","948.277","948.277","948.277","948.277","948.277","948.277","948.305","948.305","948.305","948.305","948.305","948.305","948.305","948.305","948.305","948.305","948.305","948.305","948.305","948.305","948.305","948.305","948.305","948.305","948.305","948.305","948.305","948.305","948.305","948.305","1032.293","1032.293","1032.293","1032.293","1032.293","1032.293","1032.293","1032.293","1032.293","1032.293","1032.293","1032.293","1032.293","1032.293","1032.293","1032.293","1032.293","1032.293","1032.293","1032.293","1032.293","1032.293","1032.293","1032.293","1032.293","1032.293","1032.293","1032.293"
"1977:07","1009.758","1009.758","1009.758","1009.758","1009.758","1009.758","1009.758","1009.758","1009.758","1009.758","1009.758","1009.758","#N/A","1001.006","1001.006","1001.006","1001.006","1001.0","1001.0","1001.0","1001.0","1001.0","1001.0","1001.0","1001.0","1001.0","1001.0","1001.0","1001.0","1001.0","1001.0","1001.0","1001.0","1001.0","1001.0","1001.0","1001.0","1001.0","1001.0","1001.0","1001.0","1001.0","1001.0","1001.0","1001.0","1001.0","1001.0","1001.0","1001.0","1001.0","1001.0","1001.0","1001.0","1001.0","1001.0","1001.0","1001.0","1001.0","1001.0","1001.0","1001.0","1001.0","#N/A","1081.5","1081.5","1081.5","1081.5","1081.5","1081.5","1081.5","1081.5","1081.5","1081.5","1081.5","1081.5","1081.5","1081.5","1081.5","1081.5","1081.5","1081.5","1081.5","1081.5","1081.5","1081.5","1081.5","1081.5","1081.5","1081.5","1081.5","1081.5","1081.5","1081.5","1081.5","1081.5","1081.5","1081.5","1081.5","1081.5","1081.5","1081.5","1081.5","1081.5","1081.5","1081.5","1081.5","1081.5","1081.5","1081.5","1081.5","1081.5","1081.5","1081.5","1081.5","1081.5","1081.5","1081.5","1081.5","1081.5","1081.5","1081.5","1081.5","1081.5","1081.5","1081.5","1081.5","1081.5","1081.5","1081.5","958.333","958.333","958.333","958.333","958.333","958.333","958.333","958.333","958.333","958.333","958.333","958.333","958.333","958.333","958.333","958.333","958.333","958.333","958.333","958.333","958.333","958.333","958.333","958.333","958.346","958.346","958.346","958.346","958.346","958.346","958.346","958.346","958.346","958.346","958.346","958.346","958.346","958.346","958.346","958.346","958.346","958.346","958.346","958.346","958.346","958.346","958.346","958.346","1043.233","1043.233","1043.233","1043.233","1043.233","1043.233","1043.233","1043.233","1043.233","1043.233","1043.233","1043.233","1043.233","1043.233","1043.233","1043.233","1043.233","1043.233","1043.233","1043.233","1043.233","1043.233","1043.233","1043.233","1043.233","1043.233","1043.233","1043.233"
"1977:08","1003.903","1003.903","1003.903","1003.903","1003.903","1003.903","1003.903","1003.903","1003.903","1003.903","1003.903","1003.903","#N/A","995.482","995.482","995.482","995.482","995.5","995.5","995.5","995.5","995.5","995.5","995.5","995.5","995.5","995.5","995.5","995.5","995.5","995.5","995.5","995.5","995.5","995.5","995.5","995.5","995.5","995.5","995.5","995.5","995.5","995.5","995.5","995.5","995.5","995.5","995.5","995.5","995.5","995.5","995.5","995.5","995.5","995.5","995.5","995.5","995.5","995.5","995.5","995.5","995.5","#N/A","1075.5","1075.5","1075.5","1075.5","1075.5","1075.5","1075.5","1075.5","1075.5","1075.5","1075.5","1075.5","1075.5","1075.5","1075.5","1075.5","1075.5","1075.5","1075.5","1075.5","1075.5","1075.5","1075.5","1075.5","1075.5","1075.5","1075.5","1075.5","1075.5","1075.5","1075.5","1075.5","1075.5","1075.5","1075.5","1075.5","1075.5","1075.5","1075.5","1075.5","1075.5","1075.5","1075.5","1075.5","1075.5","1075.5","1075.5","1075.5","1075.5","1075.5","1075.5","1075.5","1075.5","1075.5","1075.5","1075.5","1075.5","1075.5","1075.5","1075.5","1075.5","1075.5","1075.5","1075.5","1075.5","1075.5","953.67","953.67","953.67","953.67","953.67","953.67","953.67","953.67","953.67","953.67","953.67","953.67","953.67","953.67","953.67","953.67","953.67","953.67","953.67","953.67","953.67","953.67","953.67","953.67","953.697","953.697","953.697","953.697","953.697","953.697","953.697","953.697","953.697","953.697","953.697","953.697","953.697","953.697","953.697","953.697","953.697","953.697","953.697","953.697","953.697","953.697","953.697","953.697","1038.165","1038.165","1038.165","1038.165","1038.165","1038.165","1038.165","1038.165","1038.165","1038.165","1038.165","1038.165","1038.165","1038.165","1038.165","1038.165","1038.165","1038.165","1038.165","1038.165","1038.165","1038.165","1038.165","1038.165","1038.165","1038.165","1038.165","1038.165"
"1977:09","1005.859","1005.859","1005.859","1005.859","1005.859","1005.859","1005.859","1005.859","1005.859","1005.859","1005.859","1005.859","#N/A","997.606","997.606","997.606","997.606","997.6","997.6","997.6","997.6","997.6","997.6","997.6","997.6","997.6","997.6","997.6","997.6","997.6","997.6","997.6","997.6","997.6","997.6","997.6","997.6","997.6","997.6","997.6","997.6","997.6","997.6","997.6","997.6","997.6","997.6","997.6","997.6","997.6","997.6","997.6","997.6","997.6","997.6","997.6","997.6","997.6","997.6","997.6","997.6","997.6","#N/A","1077.8","1077.8","1077.8","1077.8","1077.8","1077.8","1077.8","1077.8","1077.8","1077.8","1077.8","1077.8","1077.8","1077.8","1077.8","1077.8","1077.8","1077.8","1077.8","1077.8","1077.8","1077.8","1077.8","1077.8","1077.8","1077.8","1077.8","1077.8","1077.8","1077.8","1077.8","1077.8","1077.8","1077.8","1077.8","1077.8","1077.8","1077.8","1077.8","1077.8","1077.8","1077.8","1077.8","1077.8","1077.8","1077.8","1077.8","1077.8","1077.8","1077.8","1077.8","1077.8","1077.8","1077.8","1077.8","1077.8","1077.8","1077.8","1077.8","1077.8","1077.8","1077.8","1077.8","1077.8","1077.8","1077.8","956.955","956.955","956.955","956.955","956.955","956.955","956.955","956.955","956.955","956.955","956.955","956.955","956.955","956.955","956.955","956.955","956.955","956.955","956.955","956.955","956.955","956.955","956.955","956.955","956.998","956.998","956.998","956.998","956.998","956.998","956.998","956.998","956.998","956.998","956.998","956.998","956.998","956.998","956.998","956.998","956.998","956.998","956.998","956.998","956.998","956.998","956.998","956.998","1041.754","1041.754","1041.754","1041.754","1041.754","1041.754","1041.754","1041.754","1041.754","1041.754","1041.754","1041.754","1041.754","1041.754","1041.754","1041.754","1041.754","1041.754","1041.754","1041.754","1041.754","1041.754","1041.754","1041.754","1041.754","1041.754","1041.754","1041.754"
"1977:10","1017.848","1017.848","1017.848","1017.848","1017.848","1017.848","1017.848","1017.848","1017.848","1017.848","1017.848","1017.848","#N/A","1009.727","1009.727","1009.727","1009.727","1009.7","1009.7","1009.7","1009.7","1009.7","1009.7","1009.7","1009.7","1009.7","1009.7","1009.7","1009.7","1009.7","1009.7","1009.7","1009.7","1009.7","1009.7","1009.7","1009.7","1009.7","1009.7","1009.7","1009.7","1009.7","1009.7","1009.7","1009.7","1009.7","1009.7","1009.7","1009.7","1009.7","1009.7","1009.7","1009.7","1009.7","1009.7","1009.7","1009.7","1009.7","1009.7","1009.7","1009.7","1009.7","#N/A","1090.9","1090.9","1090.9","1090.9","1090.9","1090.9","1090.9","1090.9","1090.9","1090.9","1090.9","1090.9","1090.9","1090.9","1090.9","1090.9","1090.9","1090.9","1090.9","1090.9","1090.9","1090.9","1090.9","1090.9","1090.9","1090.9","1090.9","1090.9","1090.9","1090.9","1090.9","1090.9","1090.9","1090.9","1090.9","1090.9","1090.9","1090.9","1090.9","1090.9","1090.9","1090.9","1090.9","1090.9","1090.9","1090.9","1090.9","1090.9","1090.9","1090.9","1090.9","1090.9","1090.9","1090.9","1090.9","1090.9","1090.9","1090.9","1090.9","1090.9","1090.9","1090.9","1090.9","1090.9","1090.9","1090.9","971.413","971.413","971.413","971.413","971.413","971.413","971.413","971.413","971.413","971.413","971.413","971.413","971.413","971.413","971.413","971.413","971.413","971.413","971.413","971.413","971.413","971.413","971.413","971.413","971.453","971.453","971.453","971.453","971.453","971.453","971.453","971.453","971.453","971.453","971.453","971.453","971.453","971.453","971.453","971.453","971.453","971.453","971.453","971.453","971.453","971.453","971.453","971.453","1057.481","1057.481","1057.481","1057.481","1057.481","1057.481","1057.481","1057.481","1057.481","1057.481","1057.481","1057.481","1057.481","1057.481","1057.481","1057.481","1057.481","1057.481","1057.481","1057.481","1057.481","1057.481","1057.481","1057.481","1057.481","1057.481","1057.481","1057.481"
"1977:11","1030.934","1030.934","1030.934","1030.934","1030.934","1030.934","1030.934","1030.934","1030.934","1030.934","1030.934","1030.934","#N/A","1022.744","1022.744","1022.744","1022.744","1022.7","1022.7","1022.7","1022.7","1022.7","1022.7","1022.7","1022.7","1022.7","1022.7","1022.7","1022.7","1022.7","1022.7","1022.7","1022.7","1022.7","1022.7","1022.7","1022.7","1022.7","1022.7","1022.7","1022.7","1022.7","1022.7","1022.7","1022.7","1022.7","1022.7","1022.7","1022.7","1022.7","1022.7","1022.7","1022.7","1022.7","1022.7","1022.7","1022.7","1022.7","1022.7","1022.7","1022.7","1022.7","#N/A","1104.9","1104.9","1104.9","1104.9","1104.9","1104.9","1104.9","1104.9","1104.9","1104.9","1104.9","1104.9","1104.9","1104.9","1104.9","1104.9","1104.9","1104.9","1104.9","1104.9","1104.9","1104.9","1104.9","1104.9","1104.9","1104.9","1104.9","1104.9","1104.9","1104.9","1104.9","1104.9","1104.9","1104.9","1104.9","1104.9","1104.9","1104.9","1104.9","1104.9","1104.9","1104.9","1104.9","1104.9","1104.9","1104.9","1104.9","1104.9","1104.9","1104.9","1104.9","1104.9","1104.9","1104.9","1104.9","1104.9","1104.9","1104.9","1104.9","1104.9","1104.9","1104.9","1104.9","1104.9","1104.9","1104.9","982.484","982.484","982.484","982.484","982.484","982.484","982.484","982.484","982.484","982.484","982.484","982.484","982.484","982.484","982.484","982.484","982.484","982.484","982.484","982.484","982.484","982.484","982.484","982.484","982.548","982.548","982.548","982.548","982.548","982.548","982.548","982.548","982.548","982.548","982.548","982.548","982.548","982.548","982.548","982.548","982.548","982.548","982.548","982.548","982.548","982.548","982.548","982.548","1069.574","1069.574","1069.574","1069.574","1069.574","1069.574","1069.574","1069.574","1069.574","1069.574","1069.574","1069.574","1069.574","1069.574","1069.574","1069.574","1069.574","1069.574","1069.574","1069.574","1069.574","1069.574","1069.574","1069.574","1069.574","1069.574","1069.574","1069.574"
"1977:12","1024.417","1024.417","1024.417","1024.417","1024.417","1024.417","1024.417","1024.417","1024.417","1024.417","1024.417","1024.417","#N/A","1016.448","1016.448","1016.448","1016.448","1016.4","1016.4","1016.4","1016.4","1016.4","1016.4","1016.4","1016.4","1016.4","1016.4","1016.4","1016.4","1016.4","1016.4","1016.4","1016.4","1016.4","1016.4","1016.4","1016.4","1016.4","1016.4","1016.4","1016.4","1016.4","1016.4","1016.4","1016.4","1016.4","1016.4","1016.4","1016.4","1016.4","1016.4","1016.4","1016.4","1016.4","1016.4","1016.4","1016.4","1016.4","1016.4","1016.4","1016.4","1016.4","#N/A","1098.1","1098.1","1098.1","1098.1","1098.1","1098.1","1098.1","1098.1","1098.1","1098.1","1098.1","1098.1","1098.1","1098.1","1098.1","1098.1","1098.1","1098.1","1098.1","1098.1","1098.1","1098.1","1098.1","1098.1","1098.1","1098.1","1098.1","1098.1","1098.1","1098.1","1098.1","1098.1","1098.1","1098.1","1098.1","1098.1","1098.1","1098.1","1098.1","1098.1","1098.1","1098.1","1098.1","1098.1","1098.1","1098.1","1098.1","1098.1","1098.1","1098.1","1098.1","1098.1","1098.1","1098.1","1098.1","1098.1","1098.1","1098.1","1098.1","1098.1","1098.1","1098.1","1098.1","1098.1","1098.1","1098.1","976.589","976.589","976.589","976.589","976.589","976.589","976.589","976.589","976.589","976.589","976.589","976.589","976.589","976.589","976.589","976.589","976.589","976.589","976.589","976.589","976.589","976.589","976.589","976.589","976.649","976.649","976.649","976.649","976.649","976.649","976.649","976.649","976.649","976.649","976.649","976.649","976.649","976.649","976.649","976.649","976.649","976.649","976.649","976.649","976.649","976.649","976.649","976.649","1063.136","1063.136","1063.136","1063.136","1063.136","1063.136","1063.136","1063.136","1063.136","1063.136","1063.136","1063.136","1063.136","1063.136","1063.136","1063.136","1063.136","1063.136","1063.136","1063.136","1063.136","1063.136","1063.136","1063.136","1063.136","1063.136","1063.136","1063.136"
"1978:01","1016.989","1016.989","1016.989","1016.989","1016.989","1016.989","1016.989","1016.989","1016.989","1016.989","1016.989","1016.989","#N/A","1009.27","1009.27","1009.27","1009.27","1009.3","1009.3","1009.3","1009.3","1009.3","1009.3","1009.3","1009.3","1009.3","1009.3","1009.3","1009.3","1009.3","1009.3","1009.3","1009.3","1009.3","1009.3","1009.3","1009.3","1009.3","1009.3","1009.3","1009.3","1009.3","1009.3","1009.3","1009.3","1009.3","1009.3","1009.3","1009.3","1009.3","1009.3","1009.3","1009.3","1009.3","1009.3","1009.3","1009.3","1009.3","1009.3","1009.3","1009.3","1009.3","#N/A","1090.3","1090.3","1090.3","1090.3","1090.3","1090.3","1090.3","1090.3","1090.3","1090.3","1090.3","1090.3","1090.3","1090.3","1090.3","1090.3","1090.3","1090.3","1090.3","1090.3","1090.3","1090.3","1090.3","1090.3","1090.3","1090.3","1090.3","1090.3","1090.3","1090.3","1090.3","1090.3","1090.3","1090.3","1090.3","1090.3","1090.3","1090.3","1090.3","1090.3","1090.3","1090.3","1090.3","1090.3","1090.3","1090.3","1090.3","1090.3","1090.3","1090.3","1090.3","1090.3","1090.3","1090.3","1090.3","1090.3","1090.3","1090.3","1090.3","1090.3","1090.3","1090.3","1090.3","1090.3","1090.3","1090.3","969.193","969.193","969.193","969.193","969.193","969.193","969.193","969.193","969.193","969.193","969.193","969.193","969.193","969.193","969.193","969.193","969.193","969.193","969.193","969.193","969.193","969.193","969.193","969.193","969.285","969.285","969.285","969.285","969.285","969.285","969.285","969.285","969.285","969.285","969.285","969.285","969.285","969.285","969.285","969.285","969.285","969.285","969.285","969.285","969.285","969.285","969.285","969.285","1055.11","1055.11","1055.11","1055.11","1055.11","1055.11","1055.11","1055.11","1055.11","1055.11","1055.11","1055.11","1055.11","1055.11","1055.11","1055.11","1055.11","1055.11","1055.11","1055.11","1055.11","1055.11","1055.11","1055.11","1055.11","1055.11","1055.11","1055.11"
"1978:02","1030.432","1030.432","1030.432","1030.432","1030.432","1030.432","1030.432","1030.432","1030.432","1030.432","1030.432","1030.432","#N/A","1024.051","1024.051","1024.051","1024.051","1024.1","1024.1","1024.1","1024.1","1024.1","1024.1","1024.1","1024.1","1024.1","1024.1","1024.1","1024.1","1024.1","1024.1","1024.1","1024.1","1024.1","1024.1","1024.1","1024.1","1024.1","1024.1","1024.1","1024.1","1024.1","1024.1","1024.1","1024.1","1024.1","1024.1","1024.1","1024.1","1024.1","1024.1","1024.1","1024.1","1024.1","1024.1","1024.1","1024.1","1024.1","1024.1","1024.1","1024.1","1024.1","#N/A","1106.2","1106.2","1106.2","1106.2","1106.2","1106.2","1106.2","1106.2","1106.2","1106.2","1106.2","1106.2","1106.2","1106.2","1106.2","1106.2","1106.2","1106.2","1106.2","1106.2","1106.2","1106.2","1106.2","1106.2","1106.2","1106.2","1106.2","1106.2","1106.2","1106.2","1106.2","1106.2","1106.2","1106.2","1106.2","1106.2","1106.2","1106.2","1106.2","1106.2","1106.2","1106.2","1106.2","1106.2","1106.2","1106.2","1106.2","1106.2","1106.2","1106.2","1106.2","1106.2","1106.2","1106.2","1106.2","1106.2","1106.2","1106.2","1106.2","1106.2","1106.2","1106.2","1106.2","1106.2","1106.2","1106.2","983.212","983.212","983.212","983.212","983.212","983.212","983.212","983.212","983.212","983.212","983.212","983.212","983.212","983.212","983.212","983.212","983.212","983.212","983.212","983.212","983.212","983.212","983.212","983.212","983.31","983.31","983.31","983.31","983.31","983.31","983.31","983.31","983.31","983.31","983.31","983.31","983.31","983.31","983.31","983.31","983.31","983.31","983.31","983.31","983.31","983.31","983.31","983.31","1070.401","1070.401","1070.401","1070.401","1070.401","1070.401","1070.401","1070.401","1070.401","1070.401","1070.401","1070.401","1070.401","1070.401","1070.401","1070.401","1070.401","1070.401","1070.401","1070.401","1070.401","1070.401","1070.401","1070.401","1070.401","1070.401","1070.401","1070.401"
