"DATE","RG10M1","RG10M2","RG10M3","RG10M4","RG10M5","RG10M6","RG10M7","RG10M8","RG10M9","RG10M10","RG10M11","RG10M12","RG11M1","RG11M2","RG11M3","RG11M4","RG11M5","RG11M6","RG11M7","RG11M8","RG11M9","RG11M10","RG11M11","RG11M12","RG12M1","RG12M2","RG12M3","RG12M4","RG12M5","RG12M6","RG12M7","RG12M8","RG12M9","RG12M10","RG12M11","RG12M12","RG13M1","RG13M2","RG13M3","RG13M4","RG13M5","RG13M6","RG13M7","RG13M8","RG13M9","RG13M10","RG13M11","RG13M12","RG14M1","RG14M2","RG14M3","RG14M4","RG14M5","RG14M6","RG14M7","RG14M8","RG14M9","RG14M10","RG14M11","RG14M12","RG15M1","RG15M2","RG15M3","RG15M4","RG15M5","RG15M6","RG15M7","RG15M8","RG15M9","RG15M10","RG15M11"
"1949:Q3","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","577.6","577.6","577.6","577.6","577.6","577.6","577.6","577.6","577.6","577.6","577.6","577.6","577.6","577.6","577.6","577.6","577.6","577.6","577.6","577.6","577.6","577.6","577.6","577.6","577.6","577.6","577.6","577.6"
"1949:Q4","491.8","491.8","491.8","491.8","491.8","491.8","491.8","491.8","491.8","491.8","491.8","491.8","491.8","491.8","491.8","491.8","491.8","491.8","491.8","491.8","491.8","491.8","491.8","491.8","491.8","491.8","491.8","491.8","491.8","491.8","491.8","491.8","491.8","491.8","491.8","491.8","491.8","491.8","491.8","491.8","491.8","491.8","491.8","565.8","565.8","565.8","565.8","565.8","565.8","565.8","565.8","565.8","565.8","565.8","565.8","565.8","565.8","565.8","565.8","565.8","565.8","565.8","565.8","565.8","565.8","565.8","565.8","565.8","565.8","565.8","565.8"
"1950:Q1","483.5","483.5","483.5","483.5","483.5","483.5","483.5","483.5","483.5","483.5","483.5","483.5","483.5","483.5","483.5","483.5","483.5","483.5","483.5","483.5","483.5","483.5","483.5","483.5","483.5","483.5","483.5","483.5","483.5","483.5","483.5","483.5","483.5","483.5","483.5","483.5","483.5","483.5","483.5","483.5","483.5","483.5","483.5","557.1","557.1","557.1","557.1","557.1","557.1","557.1","557.1","557.1","557.1","557.1","557.1","557.1","557.1","557.1","557.1","557.1","557.1","557.1","557.1","557.1","557.1","557.1","557.1","557.1","557.1","557.1","557.1"
"1950:Q2","491.4","491.4","491.4","491.4","491.4","491.4","491.4","491.4","491.4","491.4","491.4","491.4","491.4","491.4","491.4","491.4","491.4","491.4","491.4","491.4","491.4","491.4","491.4","491.4","491.4","491.4","491.4","491.4","491.4","491.4","491.4","491.4","491.4","491.4","491.4","491.4","491.4","491.4","491.4","491.4","491.4","491.4","491.4","566.6","566.6","566.6","566.6","566.6","566.6","566.6","566.6","566.6","566.6","566.6","566.6","566.6","566.6","566.6","566.6","566.6","566.6","566.6","566.6","566.6","566.6","566.6","566.6","566.6","566.6","566.6","566.6"
"1950:Q3","482.0","482.0","482.0","482.0","482.0","482.0","482.0","482.0","482.0","482.0","482.0","482.0","482.0","482.0","482.0","482.0","482.0","482.0","482.0","482.0","482.0","482.0","482.0","482.0","482.0","482.0","482.0","482.0","482.0","482.0","482.0","482.0","482.0","482.0","482.0","482.0","482.0","482.0","482.0","482.0","482.0","482.0","482.0","557.3","557.3","557.3","557.3","557.3","557.3","557.3","557.3","557.3","557.3","557.3","557.3","557.3","557.3","557.3","557.3","557.3","557.3","557.3","557.3","557.3","557.3","557.3","557.3","557.3","557.3","557.3","557.3"
"1950:Q4","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","512.7","597.2","597.2","597.2","597.2","597.2","597.2","597.2","597.2","597.2","597.2","597.2","597.2","597.2","597.2","597.2","597.2","597.2","597.2","597.2","597.2","597.2","597.2","597.2","597.2","597.2","597.2","597.2","597.2"
"1951:Q1","567.5","567.5","567.5","567.5","567.5","567.5","567.5","567.5","567.5","567.5","567.5","567.5","567.5","567.5","567.5","567.5","567.5","567.5","567.5","567.5","567.5","567.5","567.5","567.5","567.5","567.5","567.5","567.5","567.5","567.5","567.5","567.5","567.5","567.5","567.5","567.5","567.5","567.5","567.5","567.5","567.5","567.5","567.5","660.9","660.9","660.9","660.9","660.9","660.9","660.9","660.9","660.9","660.9","660.9","660.9","660.9","660.9","660.9","660.9","660.9","660.9","660.9","660.9","660.9","660.9","660.9","660.9","660.9","660.9","660.9","660.9"
"1951:Q2","645.6","645.6","645.6","645.6","645.6","645.6","645.6","645.6","645.6","645.6","645.6","645.6","645.6","645.6","645.6","645.6","645.6","645.6","645.6","645.6","645.6","645.6","645.6","645.6","645.6","645.6","645.6","645.6","645.6","645.6","645.6","645.6","645.6","645.6","645.6","645.6","645.6","645.6","645.6","645.6","645.6","645.6","645.6","748.8","748.8","748.8","748.8","748.8","748.8","748.8","748.8","748.8","748.8","748.8","748.8","748.8","748.8","748.8","748.8","748.8","748.8","748.8","748.8","748.8","748.8","748.8","748.8","748.8","748.8","748.8","748.8"
"1951:Q3","718.8","718.8","718.8","718.8","718.8","718.8","718.8","718.8","718.8","718.8","718.8","718.8","718.8","718.8","718.8","718.8","718.8","718.8","718.8","718.8","718.8","718.8","718.8","718.8","718.8","718.8","718.8","718.8","718.8","718.8","718.8","718.8","718.8","718.8","718.8","718.8","718.8","718.8","718.8","718.8","718.8","718.8","718.8","830.9","830.9","830.9","830.9","830.9","830.9","830.9","830.9","830.9","830.9","830.9","830.9","830.9","830.9","830.9","830.9","830.9","830.9","830.9","830.9","830.9","830.9","830.9","830.9","830.9","830.9","830.9","830.9"
"1951:Q4","758.9","758.9","758.9","758.9","758.9","758.9","758.9","758.9","758.9","758.9","758.9","758.9","758.9","758.9","758.9","758.9","758.9","758.9","758.9","758.9","758.9","758.9","758.9","758.9","758.9","758.9","758.9","758.9","758.9","758.9","758.9","758.9","758.9","758.9","758.9","758.9","758.9","758.9","758.9","758.9","758.9","758.9","758.9","874.8","874.8","874.8","874.8","874.8","874.8","874.8","874.8","874.8","874.8","874.8","874.8","874.8","874.8","874.8","874.8","874.8","874.8","874.8","874.8","874.8","874.8","874.8","874.8","874.8","874.8","874.8","874.8"
