"DATE","RG10M1","RG10M2","RG10M3","RG10M4","RG10M5","RG10M6","RG10M7","RG10M8","RG10M9","RG10M10","RG10M11","RG10M12","RG11M1","RG11M2","RG11M3","RG11M4","RG11M5","RG11M6","RG11M7","RG11M8","RG11M9","RG11M10","RG11M11","RG11M12","RG12M1","RG12M2","RG12M3","RG12M4","RG12M5","RG12M6","RG12M7","RG12M8","RG12M9","RG12M10","RG12M11","RG12M12","RG13M1","RG13M2","RG13M3","RG13M4","RG13M5","RG13M6","RG13M7","RG13M8","RG13M9","RG13M10","RG13M11","RG13M12","RG14M1","RG14M2","RG14M3","RG14M4","RG14M5","RG14M6","RG14M7","RG14M8","RG14M9","RG14M10","RG14M11","RG14M12","RG15M1","RG15M2","RG15M3","RG15M4","RG15M5","RG15M6","RG15M7","RG15M8","RG15M9","RG15M10","RG15M11"
"1954:Q3","792.9","792.9","792.9","792.9","792.9","792.9","792.9","792.9","792.9","792.9","792.9","792.9","792.9","792.9","792.9","792.9","792.9","792.9","792.9","792.9","792.9","792.9","792.9","792.9","792.9","792.9","792.9","792.9","792.9","792.9","792.9","792.9","792.9","792.9","792.9","792.9","792.9","792.9","792.9","792.9","792.9","792.9","792.9","914.3","914.3","914.3","914.3","914.3","914.3","914.3","914.3","914.3","914.3","914.3","914.3","914.3","914.3","914.3","914.3","914.3","914.3","914.3","914.3","914.3","914.3","914.3","914.3","914.3","914.3","914.3","914.3"
"1954:Q4","788.0","788.0","788.0","788.0","788.0","788.0","788.0","788.0","788.0","788.0","788.0","788.0","788.0","788.0","788.0","788.0","788.0","788.0","788.0","788.0","788.0","788.0","788.0","788.0","788.0","788.0","788.0","788.0","788.0","788.0","788.0","788.0","788.0","788.0","788.0","788.0","788.0","788.0","788.0","788.0","788.0","788.0","788.0","908.6","908.6","908.6","908.6","908.6","908.6","908.6","908.6","908.6","908.6","908.6","908.6","908.6","908.6","908.6","908.6","908.6","908.6","908.6","908.6","908.6","908.6","908.6","908.6","908.6","908.6","908.6","908.6"
"1955:Q1","787.1","787.1","787.1","787.1","787.1","787.1","787.1","787.1","787.1","787.1","787.1","787.1","787.1","787.1","787.1","787.1","787.1","787.1","787.1","787.1","787.1","787.1","787.1","787.1","787.1","787.1","787.1","787.1","787.1","787.1","787.1","787.1","787.1","787.1","787.1","787.1","787.1","787.1","787.1","787.1","787.1","787.1","787.1","909.2","909.2","909.2","909.2","909.2","909.2","909.2","909.2","909.2","909.2","909.2","909.2","909.2","909.2","909.2","909.2","909.2","909.2","909.2","909.2","909.2","909.2","909.2","909.2","909.2","909.2","909.2","909.2"
"1955:Q2","779.3","779.3","779.3","779.3","779.3","779.3","779.3","779.3","779.3","779.3","779.3","779.3","779.3","779.3","779.3","779.3","779.3","779.3","779.3","779.3","779.3","779.3","779.3","779.3","779.3","779.3","779.3","779.3","779.3","779.3","779.3","779.3","779.3","779.3","779.3","779.3","779.3","779.3","779.3","779.3","779.3","779.3","779.3","900.5","900.5","900.5","900.5","900.5","900.5","900.5","900.5","900.5","900.5","900.5","900.5","900.5","900.5","900.5","900.5","900.5","900.5","900.5","900.5","900.5","900.5","900.5","900.5","900.5","900.5","900.5","900.5"
"1955:Q3","784.0","784.0","784.0","784.0","784.0","784.0","784.0","784.0","784.0","784.0","784.0","784.0","784.0","784.0","784.0","784.0","784.0","784.0","784.0","784.0","784.0","784.0","784.0","784.0","784.0","784.0","784.0","784.0","784.0","784.0","784.0","784.0","784.0","784.0","784.0","784.0","784.0","784.0","784.0","784.0","784.0","784.0","784.0","906.1","906.1","906.1","906.1","906.1","906.1","906.1","906.1","906.1","906.1","906.1","906.1","906.1","906.1","906.1","906.1","906.1","906.1","906.1","906.1","906.1","906.1","906.1","906.1","906.1","906.1","906.1","906.1"
"1955:Q4","767.0","767.0","767.0","767.0","767.0","767.0","767.0","767.0","767.0","767.0","767.0","767.0","767.0","767.0","767.0","767.0","767.0","767.0","767.0","767.0","767.0","767.0","767.0","767.0","767.0","767.0","767.0","767.0","767.0","767.0","767.0","767.0","767.0","767.0","767.0","767.0","767.0","767.0","767.0","767.0","767.0","767.0","767.0","888.3","888.3","888.3","888.3","888.3","888.3","888.3","888.3","888.3","888.3","888.3","888.3","888.3","888.3","888.3","888.3","888.3","888.3","888.3","888.3","888.3","888.3","888.3","888.3","888.3","888.3","888.3","888.3"
"1956:Q1","766.6","766.6","766.6","766.6","766.6","766.6","766.6","766.6","766.6","766.6","766.6","766.6","766.6","766.6","766.6","766.6","766.6","766.6","766.6","766.6","766.6","766.6","766.6","766.6","766.6","766.6","766.6","766.6","766.6","766.6","766.6","766.6","766.6","766.6","766.6","766.6","766.6","766.6","766.6","766.6","766.6","766.6","766.6","888.1","888.1","888.1","888.1","888.1","888.1","888.1","888.1","888.1","888.1","888.1","888.1","888.1","888.1","888.1","888.1","888.1","888.1","888.1","888.1","888.1","888.1","888.1","888.1","888.1","888.1","888.1","888.1"
"1956:Q2","782.7","782.7","782.7","782.7","782.7","782.7","782.7","782.7","782.7","782.7","782.7","782.7","782.7","782.7","782.7","782.7","782.7","782.7","782.7","782.7","782.7","782.7","782.7","782.7","782.7","782.7","782.7","782.7","782.7","782.7","782.7","782.7","782.7","782.7","782.7","782.7","782.7","782.7","782.7","782.7","782.7","782.7","782.7","905.9","905.9","905.9","905.9","905.9","905.9","905.9","905.9","905.9","905.9","905.9","905.9","905.9","905.9","905.9","905.9","905.9","905.9","905.9","905.9","905.9","905.9","905.9","905.9","905.9","905.9","905.9","905.9"
"1956:Q3","775.3","775.3","775.3","775.3","775.3","775.3","775.3","775.3","775.3","775.3","775.3","775.3","775.3","775.3","775.3","775.3","775.3","775.3","775.3","775.3","775.3","775.3","775.3","775.3","775.3","775.3","775.3","775.3","775.3","775.3","775.3","775.3","775.3","775.3","775.3","775.3","775.3","775.3","775.3","775.3","775.3","775.3","775.3","898.3","898.3","898.3","898.3","898.3","898.3","898.3","898.3","898.3","898.3","898.3","898.3","898.3","898.3","898.3","898.3","898.3","898.3","898.3","898.3","898.3","898.3","898.3","898.3","898.3","898.3","898.3","898.3"
"1956:Q4","795.4","795.4","795.4","795.4","795.4","795.4","795.4","795.4","795.4","795.4","795.4","795.4","795.4","795.4","795.4","795.4","795.4","795.4","795.4","795.4","795.4","795.4","795.4","795.4","795.4","795.4","795.4","795.4","795.4","795.4","795.4","795.4","795.4","795.4","795.4","795.4","795.4","795.4","795.4","795.4","795.4","795.4","795.4","920.7","920.7","920.7","920.7","920.7","920.7","920.7","920.7","920.7","920.7","920.7","920.7","920.7","920.7","920.7","920.7","920.7","920.7","920.7","920.7","920.7","920.7","920.7","920.7","920.7","920.7","920.7","920.7"
"1957:Q1","811.7","811.7","811.7","811.7","811.7","811.7","811.7","811.7","811.7","811.7","811.7","811.7","811.7","811.7","811.7","811.7","811.7","811.7","811.7","811.7","811.7","811.7","811.7","811.7","811.7","811.7","811.7","811.7","811.7","811.7","811.7","811.7","811.7","811.7","811.7","811.7","811.7","811.7","811.7","811.7","811.7","811.7","811.7","940.7","940.7","940.7","940.7","940.7","940.7","940.7","940.7","940.7","940.7","940.7","940.7","940.7","940.7","940.7","940.7","940.7","940.7","940.7","940.7","940.7","940.7","940.7","940.7","940.7","940.7","940.7","940.7"
