"DATE","RGF80M1","RGF80M2","RGF80M3","RGF80M4","RGF80M5","RGF80M6","RGF80M7","RGF80M8","RGF80M9","RGF80M10","RGF80M11","RGF80M12","RGF81M1","RGF81M2","RGF81M3","RGF81M4","RGF81M5","RGF81M6","RGF81M7","RGF81M8","RGF81M9","RGF81M10","RGF81M11","RGF81M12","RGF82M1","RGF82M2","RGF82M3","RGF82M4","RGF82M5","RGF82M6","RGF82M7","RGF82M8","RGF82M9","RGF82M10","RGF82M11","RGF82M12","RGF83M1","RGF83M2","RGF83M3","RGF83M4","RGF83M5","RGF83M6","RGF83M7","RGF83M8","RGF83M9","RGF83M10","RGF83M11","RGF83M12","RGF84M1","RGF84M2","RGF84M3","RGF84M4","RGF84M5","RGF84M6","RGF84M7","RGF84M8","RGF84M9","RGF84M10","RGF84M11","RGF84M12","RGF85M1","RGF85M2","RGF85M3","RGF85M4","RGF85M5","RGF85M6","RGF85M7","RGF85M8","RGF85M9","RGF85M10","RGF85M11","RGF85M12","RGF86M1","RGF86M2","RGF86M3","RGF86M4","RGF86M5","RGF86M6","RGF86M7","RGF86M8","RGF86M9","RGF86M10","RGF86M11","RGF86M12","RGF87M1","RGF87M2","RGF87M3","RGF87M4","RGF87M5","RGF87M6","RGF87M7","RGF87M8","RGF87M9","RGF87M10","RGF87M11","RGF87M12","RGF88M1","RGF88M2","RGF88M3","RGF88M4","RGF88M5","RGF88M6","RGF88M7","RGF88M8","RGF88M9","RGF88M10","RGF88M11","RGF88M12","RGF89M1","RGF89M2","RGF89M3","RGF89M4","RGF89M5","RGF89M6","RGF89M7","RGF89M8","RGF89M9","RGF89M10","RGF89M11","RGF89M12"
"1949:Q3","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","122.1","122.1","122.1","122.1","122.1","122.1","122.1","122.1","122.1","122.1","122.1","122.1","122.1","122.1","122.1","122.1","122.1","122.1","122.1","122.1","122.1","122.1","122.1","122.1","122.1","122.1","122.1","122.1","122.1","122.1","122.1","122.1","122.1","122.1","122.1","122.1","122.1","122.1","122.1","122.1","122.1","122.1","122.1","122.1","122.1","122.1","122.1","122.1"
"1949:Q4","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.6","48.6","48.6","48.6","48.6","48.6","48.6","48.6","48.6","48.6","48.6","48.6","48.6","48.6","48.6","48.6","48.6","48.6","48.6","48.6","48.6","48.6","48.6","48.6","48.6","48.6","48.6","48.6","48.6","48.6","48.6","48.6","48.6","48.6","48.6","48.6","48.6","48.6","48.6","48.6","48.6","48.6","48.6","48.6","48.6","48.6","48.6","48.6","48.6","48.6","48.6","48.6","48.6","48.6","48.6","48.6","48.6","48.6","48.6","48.6","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2"
"1950:Q1","47.9","47.9","47.9","47.9","47.9","47.9","47.9","47.9","47.9","47.9","47.9","47.9","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","112.5","112.5","112.5","112.5","112.5","112.5","112.5","112.5","112.5","112.5","112.5","112.5","112.5","112.5","112.5","112.5","112.5","112.5","112.5","112.5","112.5","112.5","112.5","112.5","112.5","112.5","112.5","112.5","112.5","112.5","112.5","112.5","112.5","112.5","112.5","112.5","112.5","112.5","112.5","112.5","112.5","112.5","112.5","112.5","112.5","112.5","112.5","112.5"
"1950:Q2","45.1","45.1","45.1","45.1","45.1","45.1","45.1","45.1","45.1","45.1","45.1","45.1","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2"
"1950:Q3","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2"
"1950:Q4","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","131.7","131.7","131.7","131.7","131.7","131.7","131.7","131.7","131.7","131.7","131.7","131.7","131.7","131.7","131.7","131.7","131.7","131.7","131.7","131.7","131.7","131.7","131.7","131.7","131.7","131.7","131.7","131.7","131.7","131.7","131.7","131.7","131.7","131.7","131.7","131.7","131.7","131.7","131.7","131.7","131.7","131.7","131.7","131.7","131.7","131.7","131.7","131.7"
"1951:Q1","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","172.1","172.1","172.1","172.1","172.1","172.1","172.1","172.1","172.1","172.1","172.1","172.1","172.1","172.1","172.1","172.1","172.1","172.1","172.1","172.1","172.1","172.1","172.1","172.1","172.1","172.1","172.1","172.1","172.1","172.1","172.1","172.1","172.1","172.1","172.1","172.1","172.1","172.1","172.1","172.1","172.1","172.1","172.1","172.1","172.1","172.1","172.1","172.1"
"1951:Q2","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","202.7","202.7","202.7","202.7","202.7","202.7","202.7","202.7","202.7","202.7","202.7","202.7","202.7","202.7","202.7","202.7","202.7","202.7","202.7","202.7","202.7","202.7","202.7","202.7","202.7","202.7","202.7","202.7","202.7","202.7","202.7","202.7","202.7","202.7","202.7","202.7","202.7","202.7","202.7","202.7","202.7","202.7","202.7","202.7","202.7","202.7","202.7","202.7"
"1951:Q3","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","89.5","89.5","89.5","89.5","89.5","89.5","89.5","89.5","89.5","89.5","89.5","89.5","89.5","89.5","89.5","89.5","89.5","89.5","89.5","89.5","89.5","89.5","89.5","89.5","89.5","89.5","89.5","89.5","89.5","89.5","89.5","89.5","89.5","89.5","89.5","89.5","89.5","89.5","89.5","89.5","89.5","89.5","89.5","89.5","89.5","89.5","89.5","89.5","89.5","89.5","89.5","89.5","89.5","89.5","89.5","89.5","89.5","89.5","89.5","89.5","231.9","231.9","231.9","231.9","231.9","231.9","231.9","231.9","231.9","231.9","231.9","231.9","231.9","231.9","231.9","231.9","231.9","231.9","231.9","231.9","231.9","231.9","231.9","231.9","231.9","231.9","231.9","231.9","231.9","231.9","231.9","231.9","231.9","231.9","231.9","231.9","231.9","231.9","231.9","231.9","231.9","231.9","231.9","231.9","231.9","231.9","231.9","231.9"
"1951:Q4","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7","250.7"
