"DATE","RINVCHI00M1","RINVCHI00M2","RINVCHI00M3","RINVCHI00M4","RINVCHI00M5","RINVCHI00M6","RINVCHI00M7","RINVCHI00M8","RINVCHI00M9","RINVCHI00M10","RINVCHI00M11","RINVCHI00M12","RINVCHI01M1","RINVCHI01M2","RINVCHI01M3","RINVCHI01M4","RINVCHI01M5","RINVCHI01M6","RINVCHI01M7","RINVCHI01M8","RINVCHI01M9","RINVCHI01M10","RINVCHI01M11","RINVCHI01M12","RINVCHI02M1","RINVCHI02M2","RINVCHI02M3","RINVCHI02M4","RINVCHI02M5","RINVCHI02M6","RINVCHI02M7","RINVCHI02M8","RINVCHI02M9","RINVCHI02M10","RINVCHI02M11","RINVCHI02M12","RINVCHI03M1","RINVCHI03M2","RINVCHI03M3","RINVCHI03M4","RINVCHI03M5","RINVCHI03M6","RINVCHI03M7","RINVCHI03M8","RINVCHI03M9","RINVCHI03M10","RINVCHI03M11","RINVCHI03M12","RINVCHI04M1","RINVCHI04M2","RINVCHI04M3","RINVCHI04M4","RINVCHI04M5","RINVCHI04M6","RINVCHI04M7","RINVCHI04M8","RINVCHI04M9","RINVCHI04M10","RINVCHI04M11","RINVCHI04M12","RINVCHI05M1","RINVCHI05M2","RINVCHI05M3","RINVCHI05M4","RINVCHI05M5","RINVCHI05M6","RINVCHI05M7","RINVCHI05M8","RINVCHI05M9","RINVCHI05M10","RINVCHI05M11","RINVCHI05M12","RINVCHI06M1","RINVCHI06M2","RINVCHI06M3","RINVCHI06M4","RINVCHI06M5","RINVCHI06M6","RINVCHI06M7","RINVCHI06M8","RINVCHI06M9","RINVCHI06M10","RINVCHI06M11","RINVCHI06M12","RINVCHI07M1","RINVCHI07M2","RINVCHI07M3","RINVCHI07M4","RINVCHI07M5","RINVCHI07M6","RINVCHI07M7","RINVCHI07M8","RINVCHI07M9","RINVCHI07M10","RINVCHI07M11","RINVCHI07M12","RINVCHI08M1","RINVCHI08M2","RINVCHI08M3","RINVCHI08M4","RINVCHI08M5","RINVCHI08M6","RINVCHI08M7","RINVCHI08M8","RINVCHI08M9","RINVCHI08M10","RINVCHI08M11","RINVCHI08M12","RINVCHI09M1","RINVCHI09M2","RINVCHI09M3","RINVCHI09M4","RINVCHI09M5","RINVCHI09M6","RINVCHI09M7","RINVCHI09M8","RINVCHI09M9","RINVCHI09M10","RINVCHI09M11","RINVCHI09M12"
"1969:Q2","#N/A","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","31.2","31.2","31.2","31.2","31.2"
"1969:Q3","#N/A","30.4","30.4","30.4","30.4","30.4","30.4","30.4","30.4","30.4","30.4","30.4","30.4","30.4","30.4","30.4","30.4","30.4","30.4","30.4","30.4","30.4","30.4","30.4","30.4","30.4","30.4","30.4","30.4","30.4","30.4","30.4","30.4","30.4","30.4","30.4","30.4","30.4","30.4","30.4","30.4","30.4","30.4","30.4","30.4","30.4","30.4","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","34.9","34.9","34.9","34.9","34.9"
"1969:Q4","#N/A","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","16.0","18.0","18.0","18.0","18.0","18.0"
"1970:Q1","#N/A","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9"
"1970:Q2","#N/A","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","14.8","16.7","16.7","16.7","16.7","16.7"
"1970:Q3","#N/A","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","16.2","16.2","16.2","16.2","16.2"
"1970:Q4","#N/A","-13.2","-13.2","-13.2","-13.2","-13.2","-13.2","-13.2","-13.2","-13.2","-13.2","-13.2","-13.2","-13.2","-13.2","-13.2","-13.2","-13.2","-13.2","-13.2","-13.2","-13.2","-13.2","-13.2","-13.2","-13.2","-13.2","-13.2","-13.2","-13.2","-13.2","-13.2","-13.2","-13.2","-13.2","-13.2","-13.2","-13.2","-13.2","-13.2","-13.2","-13.2","-13.2","-13.2","-13.2","-13.2","-13.2","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-14.3","-14.3","-14.3","-14.3","-14.3"
"1971:Q1","#N/A","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","38.5","38.5","38.5","38.5","38.5"
"1971:Q2","#N/A","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","33.0","33.0","33.0","33.0","33.0"
"1971:Q3","#N/A","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","31.5","31.5","31.5","31.5","31.5"
"1971:Q4","#N/A","-0.9","-0.9","-0.9","-0.9","-0.9","-0.9","-0.9","-0.9","-0.9","-0.9","-0.9","-0.9","-0.9","-0.9","-0.9","-0.9","-0.9","-0.9","-0.9","-0.9","-0.9","-0.9","-0.9","-0.9","-0.9","-0.9","-0.9","-0.9","-0.9","-0.9","-0.9","-0.9","-0.9","-0.9","-0.9","-0.9","-0.9","-0.9","-0.9","-0.9","-0.9","-0.9","-0.9","-0.9","-0.9","-0.9","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-3.0","-3.0","-3.0","-3.0","-3.0"
"1972:Q1","#N/A","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","10.8","10.8","10.8","10.8","10.8"
