"DATE","ROUTPUT10M1","ROUTPUT10M2","ROUTPUT10M3","ROUTPUT10M4","ROUTPUT10M5","ROUTPUT10M6","ROUTPUT10M7","ROUTPUT10M8","ROUTPUT10M9","ROUTPUT10M10","ROUTPUT10M11","ROUTPUT10M12","ROUTPUT11M1","ROUTPUT11M2","ROUTPUT11M3","ROUTPUT11M4","ROUTPUT11M5","ROUTPUT11M6","ROUTPUT11M7","ROUTPUT11M8","ROUTPUT11M9","ROUTPUT11M10","ROUTPUT11M11","ROUTPUT11M12","ROUTPUT12M1","ROUTPUT12M2","ROUTPUT12M3","ROUTPUT12M4","ROUTPUT12M5","ROUTPUT12M6","ROUTPUT12M7","ROUTPUT12M8","ROUTPUT12M9","ROUTPUT12M10","ROUTPUT12M11","ROUTPUT12M12","ROUTPUT13M1","ROUTPUT13M2","ROUTPUT13M3","ROUTPUT13M4","ROUTPUT13M5","ROUTPUT13M6","ROUTPUT13M7","ROUTPUT13M8","ROUTPUT13M9","ROUTPUT13M10","ROUTPUT13M11","ROUTPUT13M12","ROUTPUT14M1","ROUTPUT14M2","ROUTPUT14M3","ROUTPUT14M4","ROUTPUT14M5","ROUTPUT14M6","ROUTPUT14M7","ROUTPUT14M8","ROUTPUT14M9","ROUTPUT14M10","ROUTPUT14M11","ROUTPUT14M12","ROUTPUT15M1","ROUTPUT15M2","ROUTPUT15M3","ROUTPUT15M4","ROUTPUT15M5","ROUTPUT15M6","ROUTPUT15M7","ROUTPUT15M8","ROUTPUT15M9","ROUTPUT15M10","ROUTPUT15M11"
"1964:Q3","3422.5","3422.5","3422.5","3422.5","3422.5","3422.5","3422.5","3422.5","3422.5","3422.5","3422.5","3422.5","3422.5","3422.5","3422.5","3422.5","3422.5","3422.5","3422.5","3419.5","3419.5","3419.5","3419.5","3419.5","3419.5","3419.5","3419.5","3419.5","3419.5","3419.5","3419.5","3419.5","3419.5","3419.5","3419.5","3419.5","3419.5","3419.5","3419.5","3419.5","3419.5","3419.5","3419.5","3763.3","3763.3","3763.3","3763.3","3763.3","3763.3","3763.3","3763.3","3763.3","3763.3","3763.3","3763.3","3766.9","3766.9","3766.9","3766.9","3766.9","3766.9","3766.9","3766.9","3766.9","3766.9","3766.9","3766.9","3766.9","3766.9","3766.9","3766.9"
"1964:Q4","3432.0","3432.0","3432.0","3432.0","3432.0","3432.0","3432.0","3432.0","3432.0","3432.0","3432.0","3432.0","3432.0","3432.0","3432.0","3432.0","3432.0","3432.0","3432.0","3429.0","3429.0","3429.0","3429.0","3429.0","3429.0","3429.0","3429.0","3429.0","3429.0","3429.0","3429.0","3429.0","3429.0","3429.0","3429.0","3429.0","3429.0","3429.0","3429.0","3429.0","3429.0","3429.0","3429.0","3776.6","3776.6","3776.6","3776.6","3776.6","3776.6","3776.6","3776.6","3776.6","3776.6","3776.6","3776.6","3780.2","3780.2","3780.2","3780.2","3780.2","3780.2","3780.2","3780.2","3780.2","3780.2","3780.2","3780.2","3780.2","3780.2","3780.2","3780.2"
"1965:Q1","3516.3","3516.3","3516.3","3516.3","3516.3","3516.3","3516.3","3516.3","3516.3","3516.3","3516.3","3516.3","3516.3","3516.3","3516.3","3516.3","3516.3","3516.3","3516.3","3513.3","3513.3","3513.3","3513.3","3513.3","3513.3","3513.3","3513.3","3513.3","3513.3","3513.3","3513.3","3513.3","3513.3","3513.3","3513.3","3513.3","3513.3","3513.3","3513.3","3513.3","3513.3","3513.3","3513.3","3869.8","3869.8","3869.8","3869.8","3869.8","3869.8","3869.8","3869.8","3869.8","3869.8","3869.8","3869.8","3873.5","3873.5","3873.5","3873.5","3873.5","3873.5","3873.5","3873.5","3873.5","3873.5","3873.5","3873.5","3873.5","3873.5","3873.5","3873.5"
"1965:Q2","3564.0","3564.0","3564.0","3564.0","3564.0","3564.0","3564.0","3564.0","3564.0","3564.0","3564.0","3564.0","3564.0","3564.0","3564.0","3564.0","3564.0","3564.0","3564.0","3560.9","3560.9","3560.9","3560.9","3560.9","3560.9","3560.9","3560.9","3560.9","3560.9","3560.9","3560.9","3560.9","3560.9","3560.9","3560.9","3560.9","3560.9","3560.9","3560.9","3560.9","3560.9","3560.9","3560.9","3922.7","3922.7","3922.7","3922.7","3922.7","3922.7","3922.7","3922.7","3922.7","3922.7","3922.7","3922.7","3926.4","3926.4","3926.4","3926.4","3926.4","3926.4","3926.4","3926.4","3926.4","3926.4","3926.4","3926.4","3926.4","3926.4","3926.4","3926.4"
"1965:Q3","3636.3","3636.3","3636.3","3636.3","3636.3","3636.3","3636.3","3636.3","3636.3","3636.3","3636.3","3636.3","3636.3","3636.3","3636.3","3636.3","3636.3","3636.3","3636.3","3633.2","3633.2","3633.2","3633.2","3633.2","3633.2","3633.2","3633.2","3633.2","3633.2","3633.2","3633.2","3633.2","3633.2","3633.2","3633.2","3633.2","3633.2","3633.2","3633.2","3633.2","3633.2","3633.2","3633.2","4002.4","4002.4","4002.4","4002.4","4002.4","4002.4","4002.4","4002.4","4002.4","4002.4","4002.4","4002.4","4006.2","4006.2","4006.2","4006.2","4006.2","4006.2","4006.2","4006.2","4006.2","4006.2","4006.2","4006.2","4006.2","4006.2","4006.2","4006.2"
"1965:Q4","3724.0","3724.0","3724.0","3724.0","3724.0","3724.0","3724.0","3724.0","3724.0","3724.0","3724.0","3724.0","3724.0","3724.0","3724.0","3724.0","3724.0","3724.0","3724.0","3720.8","3720.8","3720.8","3720.8","3720.8","3720.8","3720.8","3720.8","3720.8","3720.8","3720.8","3720.8","3720.8","3720.8","3720.8","3720.8","3720.8","3720.8","3720.8","3720.8","3720.8","3720.8","3720.8","3720.8","4096.7","4096.7","4096.7","4096.7","4096.7","4096.7","4096.7","4096.7","4096.7","4096.7","4096.7","4096.7","4100.6","4100.6","4100.6","4100.6","4100.6","4100.6","4100.6","4100.6","4100.6","4100.6","4100.6","4100.6","4100.6","4100.6","4100.6","4100.6"
"1966:Q1","3815.4","3815.4","3815.4","3815.4","3815.4","3815.4","3815.4","3815.4","3815.4","3815.4","3815.4","3815.4","3815.4","3815.4","3815.4","3815.4","3815.4","3815.4","3815.4","3812.2","3812.2","3812.2","3812.2","3812.2","3812.2","3812.2","3812.2","3812.2","3812.2","3812.2","3812.2","3812.2","3812.2","3812.2","3812.2","3812.2","3812.2","3812.2","3812.2","3812.2","3812.2","3812.2","3812.2","4197.9","4197.9","4197.9","4197.9","4197.9","4197.9","4197.9","4197.9","4197.9","4197.9","4197.9","4197.9","4201.9","4201.9","4201.9","4201.9","4201.9","4201.9","4201.9","4201.9","4201.9","4201.9","4201.9","4201.9","4201.9","4201.9","4201.9","4201.9"
"1966:Q2","3828.1","3828.1","3828.1","3828.1","3828.1","3828.1","3828.1","3828.1","3828.1","3828.1","3828.1","3828.1","3828.1","3828.1","3828.1","3828.1","3828.1","3828.1","3828.1","3824.9","3824.9","3824.9","3824.9","3824.9","3824.9","3824.9","3824.9","3824.9","3824.9","3824.9","3824.9","3824.9","3824.9","3824.9","3824.9","3824.9","3824.9","3824.9","3824.9","3824.9","3824.9","3824.9","3824.9","4215.1","4215.1","4215.1","4215.1","4215.1","4215.1","4215.1","4215.1","4215.1","4215.1","4215.1","4215.1","4219.1","4219.1","4219.1","4219.1","4219.1","4219.1","4219.1","4219.1","4219.1","4219.1","4219.1","4219.1","4219.1","4219.1","4219.1","4219.1"
"1966:Q3","3853.3","3853.3","3853.3","3853.3","3853.3","3853.3","3853.3","3853.3","3853.3","3853.3","3853.3","3853.3","3853.3","3853.3","3853.3","3853.3","3853.3","3853.3","3853.3","3850.0","3850.0","3850.0","3850.0","3850.0","3850.0","3850.0","3850.0","3850.0","3850.0","3850.0","3850.0","3850.0","3850.0","3850.0","3850.0","3850.0","3850.0","3850.0","3850.0","3850.0","3850.0","3850.0","3850.0","4245.2","4245.2","4245.2","4245.2","4245.2","4245.2","4245.2","4245.2","4245.2","4245.2","4245.2","4245.2","4249.2","4249.2","4249.2","4249.2","4249.2","4249.2","4249.2","4249.2","4249.2","4249.2","4249.2","4249.2","4249.2","4249.2","4249.2","4249.2"
"1966:Q4","3884.5","3884.5","3884.5","3884.5","3884.5","3884.5","3884.5","3884.5","3884.5","3884.5","3884.5","3884.5","3884.5","3884.5","3884.5","3884.5","3884.5","3884.5","3884.5","3881.2","3881.2","3881.2","3881.2","3881.2","3881.2","3881.2","3881.2","3881.2","3881.2","3881.2","3881.2","3881.2","3881.2","3881.2","3881.2","3881.2","3881.2","3881.2","3881.2","3881.2","3881.2","3881.2","3881.2","4281.6","4281.6","4281.6","4281.6","4281.6","4281.6","4281.6","4281.6","4281.6","4281.6","4281.6","4281.6","4285.6","4285.6","4285.6","4285.6","4285.6","4285.6","4285.6","4285.6","4285.6","4285.6","4285.6","4285.6","4285.6","4285.6","4285.6","4285.6"
"1967:Q1","3918.7","3918.7","3918.7","3918.7","3918.7","3918.7","3918.7","3918.7","3918.7","3918.7","3918.7","3918.7","3918.7","3918.7","3918.7","3918.7","3918.7","3918.7","3918.7","3915.4","3915.4","3915.4","3915.4","3915.4","3915.4","3915.4","3915.4","3915.4","3915.4","3915.4","3915.4","3915.4","3915.4","3915.4","3915.4","3915.4","3915.4","3915.4","3915.4","3915.4","3915.4","3915.4","3915.4","4320.9","4320.9","4320.9","4320.9","4320.9","4320.9","4320.9","4320.9","4320.9","4320.9","4320.9","4320.9","4324.9","4324.9","4324.9","4324.9","4324.9","4324.9","4324.9","4324.9","4324.9","4324.9","4324.9","4324.9","4324.9","4324.9","4324.9","4324.9"
"1967:Q2","3919.6","3919.6","3919.6","3919.6","3919.6","3919.6","3919.6","3919.6","3919.6","3919.6","3919.6","3919.6","3919.6","3919.6","3919.6","3919.6","3919.6","3919.6","3919.6","3916.2","3916.2","3916.2","3916.2","3916.2","3916.2","3916.2","3916.2","3916.2","3916.2","3916.2","3916.2","3916.2","3916.2","3916.2","3916.2","3916.2","3916.2","3916.2","3916.2","3916.2","3916.2","3916.2","3916.2","4324.7","4324.7","4324.7","4324.7","4324.7","4324.7","4324.7","4324.7","4324.7","4324.7","4324.7","4324.7","4328.7","4328.7","4328.7","4328.7","4328.7","4328.7","4328.7","4328.7","4328.7","4328.7","4328.7","4328.7","4328.7","4328.7","4328.7","4328.7"
"1967:Q3","3950.8","3950.8","3950.8","3950.8","3950.8","3950.8","3950.8","3950.8","3950.8","3950.8","3950.8","3950.8","3950.8","3950.8","3950.8","3950.8","3950.8","3950.8","3950.8","3947.5","3947.5","3947.5","3947.5","3947.5","3947.5","3947.5","3947.5","3947.5","3947.5","3947.5","3947.5","3947.5","3947.5","3947.5","3947.5","3947.5","3947.5","3947.5","3947.5","3947.5","3947.5","3947.5","3947.5","4362.0","4362.0","4362.0","4362.0","4362.0","4362.0","4362.0","4362.0","4362.0","4362.0","4362.0","4362.0","4366.1","4366.1","4366.1","4366.1","4366.1","4366.1","4366.1","4366.1","4366.1","4366.1","4366.1","4366.1","4366.1","4366.1","4366.1","4366.1"
"1967:Q4","3981.0","3981.0","3981.0","3981.0","3981.0","3981.0","3981.0","3981.0","3981.0","3981.0","3981.0","3981.0","3981.0","3981.0","3981.0","3981.0","3981.0","3981.0","3981.0","3977.6","3977.6","3977.6","3977.6","3977.6","3977.6","3977.6","3977.6","3977.6","3977.6","3977.6","3977.6","3977.6","3977.6","3977.6","3977.6","3977.6","3977.6","3977.6","3977.6","3977.6","3977.6","3977.6","3977.6","4397.1","4397.1","4397.1","4397.1","4397.1","4397.1","4397.1","4397.1","4397.1","4397.1","4397.1","4397.1","4401.2","4401.2","4401.2","4401.2","4401.2","4401.2","4401.2","4401.2","4401.2","4401.2","4401.2","4401.2","4401.2","4401.2","4401.2","4401.2"
"1968:Q1","4063.0","4063.0","4063.0","4063.0","4063.0","4063.0","4063.0","4063.0","4063.0","4063.0","4063.0","4063.0","4063.0","4063.0","4063.0","4063.0","4063.0","4063.0","4063.0","4059.5","4059.5","4059.5","4059.5","4059.5","4059.5","4059.5","4059.5","4059.5","4059.5","4059.5","4059.5","4059.5","4059.5","4059.5","4059.5","4059.5","4059.5","4059.5","4059.5","4059.5","4059.5","4059.5","4059.5","4486.4","4486.4","4486.4","4486.4","4486.4","4486.4","4486.4","4486.4","4486.4","4486.4","4486.4","4486.4","4490.6","4490.6","4490.6","4490.6","4490.6","4490.6","4490.6","4490.6","4490.6","4490.6","4490.6","4490.6","4490.6","4490.6","4490.6","4490.6"
"1968:Q2","4132.0","4132.0","4132.0","4132.0","4132.0","4132.0","4132.0","4132.0","4132.0","4132.0","4132.0","4132.0","4132.0","4132.0","4132.0","4132.0","4132.0","4132.0","4132.0","4128.5","4128.5","4128.5","4128.5","4128.5","4128.5","4128.5","4128.5","4128.5","4128.5","4128.5","4128.5","4128.5","4128.5","4128.5","4128.5","4128.5","4128.5","4128.5","4128.5","4128.5","4128.5","4128.5","4128.5","4562.2","4562.2","4562.2","4562.2","4562.2","4562.2","4562.2","4562.2","4562.2","4562.2","4562.2","4562.2","4566.4","4566.4","4566.4","4566.4","4566.4","4566.4","4566.4","4566.4","4566.4","4566.4","4566.4","4566.4","4566.4","4566.4","4566.4","4566.4"
"1968:Q3","4160.3","4160.3","4160.3","4160.3","4160.3","4160.3","4160.3","4160.3","4160.3","4160.3","4160.3","4160.3","4160.3","4160.3","4160.3","4160.3","4160.3","4160.3","4160.3","4156.7","4156.7","4156.7","4156.7","4156.7","4156.7","4156.7","4156.7","4156.7","4156.7","4156.7","4156.7","4156.7","4156.7","4156.7","4156.7","4156.7","4156.7","4156.7","4156.7","4156.7","4156.7","4156.7","4156.7","4595.0","4595.0","4595.0","4595.0","4595.0","4595.0","4595.0","4595.0","4595.0","4595.0","4595.0","4595.0","4599.3","4599.3","4599.3","4599.3","4599.3","4599.3","4599.3","4599.3","4599.3","4599.3","4599.3","4599.3","4599.3","4599.3","4599.3","4599.3"
"1968:Q4","4178.3","4178.3","4178.3","4178.3","4178.3","4178.3","4178.3","4178.3","4178.3","4178.3","4178.3","4178.3","4178.3","4178.3","4178.3","4178.3","4178.3","4178.3","4178.3","4174.7","4174.7","4174.7","4174.7","4174.7","4174.7","4174.7","4174.7","4174.7","4174.7","4174.7","4174.7","4174.7","4174.7","4174.7","4174.7","4174.7","4174.7","4174.7","4174.7","4174.7","4174.7","4174.7","4174.7","4615.4","4615.4","4615.4","4615.4","4615.4","4615.4","4615.4","4615.4","4615.4","4615.4","4615.4","4615.4","4619.8","4619.8","4619.8","4619.8","4619.8","4619.8","4619.8","4619.8","4619.8","4619.8","4619.8","4619.8","4619.8","4619.8","4619.8","4619.8"
"1969:Q1","4244.1","4244.1","4244.1","4244.1","4244.1","4244.1","4244.1","4244.1","4244.1","4244.1","4244.1","4244.1","4244.1","4244.1","4244.1","4244.1","4244.1","4244.1","4244.1","4240.5","4240.5","4240.5","4240.5","4240.5","4240.5","4240.5","4240.5","4240.5","4240.5","4240.5","4240.5","4240.5","4240.5","4240.5","4240.5","4240.5","4240.5","4240.5","4240.5","4240.5","4240.5","4240.5","4240.5","4687.1","4687.1","4687.1","4687.1","4687.1","4687.1","4687.1","4687.1","4687.1","4687.1","4687.1","4687.1","4691.6","4691.6","4691.6","4691.6","4691.6","4691.6","4691.6","4691.6","4691.6","4691.6","4691.6","4691.6","4691.6","4691.6","4691.6","4691.6"
"1969:Q2","4256.5","4256.5","4256.5","4256.5","4256.5","4256.5","4256.5","4256.5","4256.5","4256.5","4256.5","4256.5","4256.5","4256.5","4256.5","4256.5","4256.5","4256.5","4256.5","4252.8","4252.8","4252.8","4252.8","4252.8","4252.8","4252.8","4252.8","4252.8","4252.8","4252.8","4252.8","4252.8","4252.8","4252.8","4252.8","4252.8","4252.8","4252.8","4252.8","4252.8","4252.8","4252.8","4252.8","4702.1","4702.1","4702.1","4702.1","4702.1","4702.1","4702.1","4702.1","4702.1","4702.1","4702.1","4702.1","4706.7","4706.7","4706.7","4706.7","4706.7","4706.7","4706.7","4706.7","4706.7","4706.7","4706.7","4706.7","4706.7","4706.7","4706.7","4706.7"
"1969:Q3","4283.4","4283.4","4283.4","4283.4","4283.4","4283.4","4283.4","4283.4","4283.4","4283.4","4283.4","4283.4","4283.4","4283.4","4283.4","4283.4","4283.4","4283.4","4283.4","4279.7","4279.7","4279.7","4279.7","4279.7","4279.7","4279.7","4279.7","4279.7","4279.7","4279.7","4279.7","4279.7","4279.7","4279.7","4279.7","4279.7","4279.7","4279.7","4279.7","4279.7","4279.7","4279.7","4279.7","4731.5","4731.5","4731.5","4731.5","4731.5","4731.5","4731.5","4731.5","4731.5","4731.5","4731.5","4731.5","4736.1","4736.1","4736.1","4736.1","4736.1","4736.1","4736.1","4736.1","4736.1","4736.1","4736.1","4736.1","4736.1","4736.1","4736.1","4736.1"
"1969:Q4","4263.3","4263.3","4263.3","4263.3","4263.3","4263.3","4263.3","4263.3","4263.3","4263.3","4263.3","4263.3","4263.3","4263.3","4263.3","4263.3","4263.3","4263.3","4263.3","4259.6","4259.6","4259.6","4259.6","4259.6","4259.6","4259.6","4259.6","4259.6","4259.6","4259.6","4259.6","4259.6","4259.6","4259.6","4259.6","4259.6","4259.6","4259.6","4259.6","4259.6","4259.6","4259.6","4259.6","4711.0","4711.0","4711.0","4711.0","4711.0","4711.0","4711.0","4711.0","4711.0","4711.0","4711.0","4711.0","4715.5","4715.5","4715.5","4715.5","4715.5","4715.5","4715.5","4715.5","4715.5","4715.5","4715.5","4715.5","4715.5","4715.5","4715.5","4715.5"
"1970:Q1","4256.6","4256.6","4256.6","4256.6","4256.6","4256.6","4256.6","4256.6","4256.6","4256.6","4256.6","4256.6","4256.6","4256.6","4256.6","4256.6","4256.6","4256.6","4256.6","4252.9","4252.9","4252.9","4252.9","4252.9","4252.9","4252.9","4252.9","4252.9","4252.9","4252.9","4252.9","4252.9","4252.9","4252.9","4252.9","4252.9","4252.9","4252.9","4252.9","4252.9","4252.9","4252.9","4252.9","4702.8","4702.8","4702.8","4702.8","4702.8","4702.8","4702.8","4702.8","4702.8","4702.8","4702.8","4702.8","4707.1","4707.1","4707.1","4707.1","4707.1","4707.1","4707.1","4707.1","4707.1","4707.1","4707.1","4707.1","4707.1","4707.1","4707.1","4707.1"
"1970:Q2","4264.3","4264.3","4264.3","4264.3","4264.3","4264.3","4264.3","4264.3","4264.3","4264.3","4264.3","4264.3","4264.3","4264.3","4264.3","4264.3","4264.3","4264.3","4264.3","4260.7","4260.7","4260.7","4260.7","4260.7","4260.7","4260.7","4260.7","4260.7","4260.7","4260.7","4260.7","4260.7","4260.7","4260.7","4260.7","4260.7","4260.7","4260.7","4260.7","4260.7","4260.7","4260.7","4260.7","4711.1","4711.1","4711.1","4711.1","4711.1","4711.1","4711.1","4711.1","4711.1","4711.1","4711.1","4711.1","4715.4","4715.4","4715.4","4715.4","4715.4","4715.4","4715.4","4715.4","4715.4","4715.4","4715.4","4715.4","4715.4","4715.4","4715.4","4715.4"
"1970:Q3","4302.3","4302.3","4302.3","4302.3","4302.3","4302.3","4302.3","4302.3","4302.3","4302.3","4302.3","4302.3","4302.3","4302.3","4302.3","4302.3","4302.3","4302.3","4302.3","4298.6","4298.6","4298.6","4298.6","4298.6","4298.6","4298.6","4298.6","4298.6","4298.6","4298.6","4298.6","4298.6","4298.6","4298.6","4298.6","4298.6","4298.6","4298.6","4298.6","4298.6","4298.6","4298.6","4298.6","4752.8","4752.8","4752.8","4752.8","4752.8","4752.8","4752.8","4752.8","4752.8","4752.8","4752.8","4752.8","4757.2","4757.2","4757.2","4757.2","4757.2","4757.2","4757.2","4757.2","4757.2","4757.2","4757.2","4757.2","4757.2","4757.2","4757.2","4757.2"
"1970:Q4","4256.6","4256.6","4256.6","4256.6","4256.6","4256.6","4256.6","4256.6","4256.6","4256.6","4256.6","4256.6","4256.6","4256.6","4256.6","4256.6","4256.6","4256.6","4256.6","4253.0","4253.0","4253.0","4253.0","4253.0","4253.0","4253.0","4253.0","4253.0","4253.0","4253.0","4253.0","4253.0","4253.0","4253.0","4253.0","4253.0","4253.0","4253.0","4253.0","4253.0","4253.0","4253.0","4253.0","4703.9","4703.9","4703.9","4703.9","4703.9","4703.9","4703.9","4703.9","4703.9","4703.9","4703.9","4703.9","4708.3","4708.3","4708.3","4708.3","4708.3","4708.3","4708.3","4708.3","4708.3","4708.3","4708.3","4708.3","4708.3","4708.3","4708.3","4708.3"
"1971:Q1","4374.0","4374.0","4374.0","4374.0","4374.0","4374.0","4374.0","4374.0","4374.0","4374.0","4374.0","4374.0","4374.0","4374.0","4374.0","4374.0","4374.0","4374.0","4374.0","4370.3","4370.3","4370.3","4370.3","4370.3","4370.3","4370.3","4370.3","4370.3","4370.3","4370.3","4370.3","4370.3","4370.3","4370.3","4370.3","4370.3","4370.3","4370.3","4370.3","4370.3","4370.3","4370.3","4370.3","4829.9","4829.9","4829.9","4829.9","4829.9","4829.9","4829.9","4829.9","4829.9","4829.9","4829.9","4829.9","4834.3","4834.3","4834.3","4834.3","4834.3","4834.3","4834.3","4834.3","4834.3","4834.3","4834.3","4834.3","4834.3","4834.3","4834.3","4834.3"
"1971:Q2","4398.8","4398.8","4398.8","4398.8","4398.8","4398.8","4398.8","4398.8","4398.8","4398.8","4398.8","4398.8","4398.8","4398.8","4398.8","4398.8","4398.8","4398.8","4398.8","4395.1","4395.1","4395.1","4395.1","4395.1","4395.1","4395.1","4395.1","4395.1","4395.1","4395.1","4395.1","4395.1","4395.1","4395.1","4395.1","4395.1","4395.1","4395.1","4395.1","4395.1","4395.1","4395.1","4395.1","4857.4","4857.4","4857.4","4857.4","4857.4","4857.4","4857.4","4857.4","4857.4","4857.4","4857.4","4857.4","4861.9","4861.9","4861.9","4861.9","4861.9","4861.9","4861.9","4861.9","4861.9","4861.9","4861.9","4861.9","4861.9","4861.9","4861.9","4861.9"
"1971:Q3","4433.9","4433.9","4433.9","4433.9","4433.9","4433.9","4433.9","4433.9","4433.9","4433.9","4433.9","4433.9","4433.9","4433.9","4433.9","4433.9","4433.9","4433.9","4433.9","4430.2","4430.2","4430.2","4430.2","4430.2","4430.2","4430.2","4430.2","4430.2","4430.2","4430.2","4430.2","4430.2","4430.2","4430.2","4430.2","4430.2","4430.2","4430.2","4430.2","4430.2","4430.2","4430.2","4430.2","4895.3","4895.3","4895.3","4895.3","4895.3","4895.3","4895.3","4895.3","4895.3","4895.3","4895.3","4895.3","4900.0","4900.0","4900.0","4900.0","4900.0","4900.0","4900.0","4900.0","4900.0","4900.0","4900.0","4900.0","4900.0","4900.0","4900.0","4900.0"
"1971:Q4","4446.3","4446.3","4446.3","4446.3","4446.3","4446.3","4446.3","4446.3","4446.3","4446.3","4446.3","4446.3","4446.3","4446.3","4446.3","4446.3","4446.3","4446.3","4446.3","4442.5","4442.5","4442.5","4442.5","4442.5","4442.5","4442.5","4442.5","4442.5","4442.5","4442.5","4442.5","4442.5","4442.5","4442.5","4442.5","4442.5","4442.5","4442.5","4442.5","4442.5","4442.5","4442.5","4442.5","4909.5","4909.5","4909.5","4909.5","4909.5","4909.5","4909.5","4909.5","4909.5","4909.5","4909.5","4909.5","4914.3","4914.3","4914.3","4914.3","4914.3","4914.3","4914.3","4914.3","4914.3","4914.3","4914.3","4914.3","4914.3","4914.3","4914.3","4914.3"
"1972:Q1","4525.8","4525.8","4525.8","4525.8","4525.8","4525.8","4525.8","4525.8","4525.8","4525.8","4525.8","4525.8","4525.8","4525.8","4525.8","4525.8","4525.8","4525.8","4525.8","4521.9","4521.9","4521.9","4521.9","4521.9","4521.9","4521.9","4521.9","4521.9","4521.9","4521.9","4521.9","4521.9","4521.9","4521.9","4521.9","4521.9","4521.9","4521.9","4521.9","4521.9","4521.9","4521.9","4521.9","4997.0","4997.0","4997.0","4997.0","4997.0","4997.0","4997.0","4997.0","4997.0","4997.0","4997.0","4997.0","5002.4","5002.4","5002.4","5002.4","5002.4","5002.4","5002.4","5002.4","5002.4","5002.4","5002.4","5002.4","5002.4","5002.4","5002.4","5002.4"
"1972:Q2","4633.1","4633.1","4633.1","4633.1","4633.1","4633.1","4633.1","4633.1","4633.1","4633.1","4633.1","4633.1","4633.1","4633.1","4633.1","4633.1","4633.1","4633.1","4633.1","4629.1","4629.1","4629.1","4629.1","4629.1","4629.1","4629.1","4629.1","4629.1","4629.1","4629.1","4629.1","4629.1","4629.1","4629.1","4629.1","4629.1","4629.1","4629.1","4629.1","4629.1","4629.1","4629.1","4629.1","5112.7","5112.7","5112.7","5112.7","5112.7","5112.7","5112.7","5112.7","5112.7","5112.7","5112.7","5112.7","5118.3","5118.3","5118.3","5118.3","5118.3","5118.3","5118.3","5118.3","5118.3","5118.3","5118.3","5118.3","5118.3","5118.3","5118.3","5118.3"
"1972:Q3","4677.5","4677.5","4677.5","4677.5","4677.5","4677.5","4677.5","4677.5","4677.5","4677.5","4677.5","4677.5","4677.5","4677.5","4677.5","4677.5","4677.5","4677.5","4677.5","4673.5","4673.5","4673.5","4673.5","4673.5","4673.5","4673.5","4673.5","4673.5","4673.5","4673.5","4673.5","4673.5","4673.5","4673.5","4673.5","4673.5","4673.5","4673.5","4673.5","4673.5","4673.5","4673.5","4673.5","5159.8","5159.8","5159.8","5159.8","5159.8","5159.8","5159.8","5159.8","5159.8","5159.8","5159.8","5159.8","5165.4","5165.4","5165.4","5165.4","5165.4","5165.4","5165.4","5165.4","5165.4","5165.4","5165.4","5165.4","5165.4","5165.4","5165.4","5165.4"
"1972:Q4","4754.5","4754.5","4754.5","4754.5","4754.5","4754.5","4754.5","4754.5","4754.5","4754.5","4754.5","4754.5","4754.5","4754.5","4754.5","4754.5","4754.5","4754.5","4754.5","4750.5","4750.5","4750.5","4750.5","4750.5","4750.5","4750.5","4750.5","4750.5","4750.5","4750.5","4750.5","4750.5","4750.5","4750.5","4750.5","4750.5","4750.5","4750.5","4750.5","4750.5","4750.5","4750.5","4750.5","5245.5","5245.5","5245.5","5245.5","5245.5","5245.5","5245.5","5245.5","5245.5","5245.5","5245.5","5245.5","5251.2","5251.2","5251.2","5251.2","5251.2","5251.2","5251.2","5251.2","5251.2","5251.2","5251.2","5251.2","5251.2","5251.2","5251.2","5251.2"
"1973:Q1","4876.2","4876.2","4876.2","4876.2","4876.2","4876.2","4876.2","4876.2","4876.2","4876.2","4876.2","4876.2","4876.2","4876.2","4876.2","4876.2","4876.2","4876.2","4876.2","4872.0","4872.0","4872.0","4872.0","4872.0","4872.0","4872.0","4872.0","4872.0","4872.0","4872.0","4872.0","4872.0","4872.0","4872.0","4872.0","4872.0","4872.0","4872.0","4872.0","4872.0","4872.0","4872.0","4872.0","5374.7","5374.7","5374.7","5374.7","5374.7","5374.7","5374.7","5374.7","5374.7","5374.7","5374.7","5374.7","5380.5","5380.5","5380.5","5380.5","5380.5","5380.5","5380.5","5380.5","5380.5","5380.5","5380.5","5380.5","5380.5","5380.5","5380.5","5380.5"
"1973:Q2","4932.6","4932.6","4932.6","4932.6","4932.6","4932.6","4932.6","4932.6","4932.6","4932.6","4932.6","4932.6","4932.6","4932.6","4932.6","4932.6","4932.6","4932.6","4932.6","4928.4","4928.4","4928.4","4928.4","4928.4","4928.4","4928.4","4928.4","4928.4","4928.4","4928.4","4928.4","4928.4","4928.4","4928.4","4928.4","4928.4","4928.4","4928.4","4928.4","4928.4","4928.4","4928.4","4928.4","5435.6","5435.6","5435.6","5435.6","5435.6","5435.6","5435.6","5435.6","5435.6","5435.6","5435.6","5435.6","5441.5","5441.5","5441.5","5441.5","5441.5","5441.5","5441.5","5441.5","5441.5","5441.5","5441.5","5441.5","5441.5","5441.5","5441.5","5441.5"
