"DATE","ROUTPUT10M1","ROUTPUT10M2","ROUTPUT10M3","ROUTPUT10M4","ROUTPUT10M5","ROUTPUT10M6","ROUTPUT10M7","ROUTPUT10M8","ROUTPUT10M9","ROUTPUT10M10","ROUTPUT10M11","ROUTPUT10M12","ROUTPUT11M1","ROUTPUT11M2","ROUTPUT11M3","ROUTPUT11M4","ROUTPUT11M5","ROUTPUT11M6","ROUTPUT11M7","ROUTPUT11M8","ROUTPUT11M9","ROUTPUT11M10","ROUTPUT11M11","ROUTPUT11M12","ROUTPUT12M1","ROUTPUT12M2","ROUTPUT12M3","ROUTPUT12M4","ROUTPUT12M5","ROUTPUT12M6","ROUTPUT12M7","ROUTPUT12M8","ROUTPUT12M9","ROUTPUT12M10","ROUTPUT12M11","ROUTPUT12M12","ROUTPUT13M1","ROUTPUT13M2","ROUTPUT13M3","ROUTPUT13M4","ROUTPUT13M5","ROUTPUT13M6","ROUTPUT13M7","ROUTPUT13M8","ROUTPUT13M9","ROUTPUT13M10","ROUTPUT13M11","ROUTPUT13M12","ROUTPUT14M1","ROUTPUT14M2","ROUTPUT14M3","ROUTPUT14M4","ROUTPUT14M5","ROUTPUT14M6","ROUTPUT14M7","ROUTPUT14M8","ROUTPUT14M9","ROUTPUT14M10","ROUTPUT14M11","ROUTPUT14M12","ROUTPUT15M1","ROUTPUT15M2","ROUTPUT15M3","ROUTPUT15M4","ROUTPUT15M5","ROUTPUT15M6","ROUTPUT15M7","ROUTPUT15M8","ROUTPUT15M9","ROUTPUT15M10","ROUTPUT15M11"
"1949:Q3","1857.7","1857.7","1857.7","1857.7","1857.7","1857.7","1857.7","1857.7","1857.7","1857.7","1857.7","1857.7","1857.7","1857.7","1857.7","1857.7","1857.7","1857.7","1857.7","1856.1","1856.1","1856.1","1856.1","1856.1","1856.1","1856.1","1856.1","1856.1","1856.1","1856.1","1856.1","1856.1","1856.1","1856.1","1856.1","1856.1","1856.1","1856.1","1856.1","1856.1","1856.1","1856.1","1856.1","2020.8","2020.8","2020.8","2020.8","2020.8","2020.8","2020.8","2020.8","2020.8","2020.8","2020.8","2020.8","2022.8","2022.8","2022.8","2022.8","2022.8","2022.8","2022.8","2022.8","2022.8","2022.8","2022.8","2022.8","2022.8","2022.8","2022.8","2022.8"
"1949:Q4","1840.3","1840.3","1840.3","1840.3","1840.3","1840.3","1840.3","1840.3","1840.3","1840.3","1840.3","1840.3","1840.3","1840.3","1840.3","1840.3","1840.3","1840.3","1840.3","1838.7","1838.7","1838.7","1838.7","1838.7","1838.7","1838.7","1838.7","1838.7","1838.7","1838.7","1838.7","1838.7","1838.7","1838.7","1838.7","1838.7","1838.7","1838.7","1838.7","1838.7","1838.7","1838.7","1838.7","2002.7","2002.7","2002.7","2002.7","2002.7","2002.7","2002.7","2002.7","2002.7","2002.7","2002.7","2002.7","2004.7","2004.7","2004.7","2004.7","2004.7","2004.7","2004.7","2004.7","2004.7","2004.7","2004.7","2004.7","2004.7","2004.7","2004.7","2004.7"
"1950:Q1","1914.6","1914.6","1914.6","1914.6","1914.6","1914.6","1914.6","1914.6","1914.6","1914.6","1914.6","1914.6","1914.6","1914.6","1914.6","1914.6","1914.6","1914.6","1914.6","1913.0","1913.0","1913.0","1913.0","1913.0","1913.0","1913.0","1913.0","1913.0","1913.0","1913.0","1913.0","1913.0","1913.0","1913.0","1913.0","1913.0","1913.0","1913.0","1913.0","1913.0","1913.0","1913.0","1913.0","2082.5","2082.5","2082.5","2082.5","2082.5","2082.5","2082.5","2082.5","2082.5","2082.5","2082.5","2082.5","2084.6","2084.6","2084.6","2084.6","2084.6","2084.6","2084.6","2084.6","2084.6","2084.6","2084.6","2084.6","2084.6","2084.6","2084.6","2084.6"
"1950:Q2","1972.9","1972.9","1972.9","1972.9","1972.9","1972.9","1972.9","1972.9","1972.9","1972.9","1972.9","1972.9","1972.9","1972.9","1972.9","1972.9","1972.9","1972.9","1972.9","1971.2","1971.2","1971.2","1971.2","1971.2","1971.2","1971.2","1971.2","1971.2","1971.2","1971.2","1971.2","1971.2","1971.2","1971.2","1971.2","1971.2","1971.2","1971.2","1971.2","1971.2","1971.2","1971.2","1971.2","2145.5","2145.5","2145.5","2145.5","2145.5","2145.5","2145.5","2145.5","2145.5","2145.5","2145.5","2145.5","2147.6","2147.6","2147.6","2147.6","2147.6","2147.6","2147.6","2147.6","2147.6","2147.6","2147.6","2147.6","2147.6","2147.6","2147.6","2147.6"
"1950:Q3","2050.1","2050.1","2050.1","2050.1","2050.1","2050.1","2050.1","2050.1","2050.1","2050.1","2050.1","2050.1","2050.1","2050.1","2050.1","2050.1","2050.1","2050.1","2050.1","2048.4","2048.4","2048.4","2048.4","2048.4","2048.4","2048.4","2048.4","2048.4","2048.4","2048.4","2048.4","2048.4","2048.4","2048.4","2048.4","2048.4","2048.4","2048.4","2048.4","2048.4","2048.4","2048.4","2048.4","2228.2","2228.2","2228.2","2228.2","2228.2","2228.2","2228.2","2228.2","2228.2","2228.2","2228.2","2228.2","2230.4","2230.4","2230.4","2230.4","2230.4","2230.4","2230.4","2230.4","2230.4","2230.4","2230.4","2230.4","2230.4","2230.4","2230.4","2230.4"
"1950:Q4","2086.2","2086.2","2086.2","2086.2","2086.2","2086.2","2086.2","2086.2","2086.2","2086.2","2086.2","2086.2","2086.2","2086.2","2086.2","2086.2","2086.2","2086.2","2086.2","2084.4","2084.4","2084.4","2084.4","2084.4","2084.4","2084.4","2084.4","2084.4","2084.4","2084.4","2084.4","2084.4","2084.4","2084.4","2084.4","2084.4","2084.4","2084.4","2084.4","2084.4","2084.4","2084.4","2084.4","2271.2","2271.2","2271.2","2271.2","2271.2","2271.2","2271.2","2271.2","2271.2","2271.2","2271.2","2271.2","2273.4","2273.4","2273.4","2273.4","2273.4","2273.4","2273.4","2273.4","2273.4","2273.4","2273.4","2273.4","2273.4","2273.4","2273.4","2273.4"
"1951:Q1","2112.5","2112.5","2112.5","2112.5","2112.5","2112.5","2112.5","2112.5","2112.5","2112.5","2112.5","2112.5","2112.5","2112.5","2112.5","2112.5","2112.5","2112.5","2112.5","2110.7","2110.7","2110.7","2110.7","2110.7","2110.7","2110.7","2110.7","2110.7","2110.7","2110.7","2110.7","2110.7","2110.7","2110.7","2110.7","2110.7","2110.7","2110.7","2110.7","2110.7","2110.7","2110.7","2110.7","2302.3","2302.3","2302.3","2302.3","2302.3","2302.3","2302.3","2302.3","2302.3","2302.3","2302.3","2302.3","2304.5","2304.5","2304.5","2304.5","2304.5","2304.5","2304.5","2304.5","2304.5","2304.5","2304.5","2304.5","2304.5","2304.5","2304.5","2304.5"
"1951:Q2","2147.6","2147.6","2147.6","2147.6","2147.6","2147.6","2147.6","2147.6","2147.6","2147.6","2147.6","2147.6","2147.6","2147.6","2147.6","2147.6","2147.6","2147.6","2147.6","2145.7","2145.7","2145.7","2145.7","2145.7","2145.7","2145.7","2145.7","2145.7","2145.7","2145.7","2145.7","2145.7","2145.7","2145.7","2145.7","2145.7","2145.7","2145.7","2145.7","2145.7","2145.7","2145.7","2145.7","2342.3","2342.3","2342.3","2342.3","2342.3","2342.3","2342.3","2342.3","2342.3","2342.3","2342.3","2342.3","2344.5","2344.5","2344.5","2344.5","2344.5","2344.5","2344.5","2344.5","2344.5","2344.5","2344.5","2344.5","2344.5","2344.5","2344.5","2344.5"
"1951:Q3","2190.4","2190.4","2190.4","2190.4","2190.4","2190.4","2190.4","2190.4","2190.4","2190.4","2190.4","2190.4","2190.4","2190.4","2190.4","2190.4","2190.4","2190.4","2190.4","2188.5","2188.5","2188.5","2188.5","2188.5","2188.5","2188.5","2188.5","2188.5","2188.5","2188.5","2188.5","2188.5","2188.5","2188.5","2188.5","2188.5","2188.5","2188.5","2188.5","2188.5","2188.5","2188.5","2188.5","2390.5","2390.5","2390.5","2390.5","2390.5","2390.5","2390.5","2390.5","2390.5","2390.5","2390.5","2390.5","2392.8","2392.8","2392.8","2392.8","2392.8","2392.8","2392.8","2392.8","2392.8","2392.8","2392.8","2392.8","2392.8","2392.8","2392.8","2392.8"
"1951:Q4","2194.1","2194.1","2194.1","2194.1","2194.1","2194.1","2194.1","2194.1","2194.1","2194.1","2194.1","2194.1","2194.1","2194.1","2194.1","2194.1","2194.1","2194.1","2194.1","2192.2","2192.2","2192.2","2192.2","2192.2","2192.2","2192.2","2192.2","2192.2","2192.2","2192.2","2192.2","2192.2","2192.2","2192.2","2192.2","2192.2","2192.2","2192.2","2192.2","2192.2","2192.2","2192.2","2192.2","2395.8","2395.8","2395.8","2395.8","2395.8","2395.8","2395.8","2395.8","2395.8","2395.8","2395.8","2395.8","2398.1","2398.1","2398.1","2398.1","2398.1","2398.1","2398.1","2398.1","2398.1","2398.1","2398.1","2398.1","2398.1","2398.1","2398.1","2398.1"
"1952:Q1","2216.2","2216.2","2216.2","2216.2","2216.2","2216.2","2216.2","2216.2","2216.2","2216.2","2216.2","2216.2","2216.2","2216.2","2216.2","2216.2","2216.2","2216.2","2216.2","2214.3","2214.3","2214.3","2214.3","2214.3","2214.3","2214.3","2214.3","2214.3","2214.3","2214.3","2214.3","2214.3","2214.3","2214.3","2214.3","2214.3","2214.3","2214.3","2214.3","2214.3","2214.3","2214.3","2214.3","2421.1","2421.1","2421.1","2421.1","2421.1","2421.1","2421.1","2421.1","2421.1","2421.1","2421.1","2421.1","2423.5","2423.5","2423.5","2423.5","2423.5","2423.5","2423.5","2423.5","2423.5","2423.5","2423.5","2423.5","2423.5","2423.5","2423.5","2423.5"
