"DATE","PCONG09M8","PCONG09M9","PCONG09M10","PCONG09M11","PCONG09M12","PCONG10M1","PCONG10M2","PCONG10M3","PCONG10M4","PCONG10M5","PCONG10M6","PCONG10M7","PCONG10M8","PCONG10M9","PCONG10M10","PCONG10M11","PCONG10M12","PCONG11M1","PCONG11M2","PCONG11M3","PCONG11M4","PCONG11M5","PCONG11M6","PCONG11M7","PCONG11M8","PCONG11M9","PCONG11M10","PCONG11M11","PCONG11M12","PCONG12M1","PCONG12M2","PCONG12M3","PCONG12M4","PCONG12M5","PCONG12M6","PCONG12M7","PCONG12M8","PCONG12M9","PCONG12M10","PCONG12M11","PCONG12M12","PCONG13M1","PCONG13M2","PCONG13M3","PCONG13M4","PCONG13M5","PCONG13M6","PCONG13M7","PCONG13M8","PCONG13M9","PCONG13M10","PCONG13M11","PCONG13M12","PCONG14M1","PCONG14M2","PCONG14M3","PCONG14M4","PCONG14M5","PCONG14M6","PCONG14M7","PCONG14M8","PCONG14M9","PCONG14M10","PCONG14M11","PCONG14M12","PCONG15M1","PCONG15M2","PCONG15M3","PCONG15M4","PCONG15M5"
"1995:Q2","95.656","95.656","95.656","95.656","95.656","95.656","95.656","95.656","95.656","95.656","95.656","95.656","95.656","95.656","95.656","95.656","95.656","95.656","95.656","95.656","95.656","95.656","95.656","95.656","95.787","95.787","95.787","95.787","95.787","95.787","95.787","95.787","95.787","95.787","95.787","95.787","95.787","95.787","95.787","95.787","95.787","95.787","95.787","95.787","95.787","95.787","95.787","95.787","92.968","92.968","92.968","92.968","92.968","92.968","92.968","92.968","92.968","92.968","92.968","92.968","92.968","92.968","92.968","92.968","92.968","92.968","92.968","92.968","92.968","92.968"
"1995:Q3","95.681","95.681","95.681","95.681","95.681","95.681","95.681","95.681","95.681","95.681","95.681","95.681","95.681","95.681","95.681","95.681","95.681","95.681","95.681","95.681","95.681","95.681","95.681","95.681","95.813","95.813","95.813","95.813","95.813","95.813","95.813","95.813","95.813","95.813","95.813","95.813","95.813","95.813","95.813","95.813","95.813","95.813","95.813","95.813","95.813","95.813","95.813","95.813","92.993","92.993","92.993","92.993","92.993","92.993","92.993","92.993","92.993","92.993","92.993","92.993","92.993","92.993","92.993","92.993","92.993","92.993","92.993","92.993","92.993","92.993"
"1995:Q4","95.704","95.704","95.704","95.704","95.704","95.704","95.704","95.704","95.704","95.704","95.704","95.704","95.704","95.704","95.704","95.704","95.704","95.704","95.704","95.704","95.704","95.704","95.704","95.704","95.836","95.836","95.836","95.836","95.836","95.836","95.836","95.836","95.836","95.836","95.836","95.836","95.836","95.836","95.836","95.836","95.836","95.836","95.836","95.836","95.836","95.836","95.836","95.836","93.015","93.015","93.015","93.015","93.015","93.015","93.015","93.015","93.015","93.015","93.015","93.015","93.015","93.015","93.015","93.015","93.015","93.015","93.015","93.015","93.015","93.015"
"1996:Q1","96.341","96.341","96.341","96.341","96.341","96.341","96.341","96.341","96.341","96.341","96.341","96.341","96.341","96.341","96.341","96.341","96.341","96.341","96.341","96.341","96.341","96.341","96.341","96.341","96.474","96.474","96.474","96.474","96.474","96.474","96.474","96.474","96.474","96.474","96.474","96.474","96.474","96.474","96.474","96.474","96.474","96.474","96.474","96.474","96.474","96.474","96.474","96.474","93.635","93.635","93.635","93.635","93.635","93.635","93.635","93.635","93.635","93.635","93.635","93.635","93.635","93.635","93.635","93.635","93.635","93.635","93.635","93.635","93.635","93.635"
"1996:Q2","96.766","96.766","96.766","96.766","96.766","96.766","96.766","96.766","96.766","96.766","96.766","96.766","96.766","96.766","96.766","96.766","96.766","96.766","96.766","96.766","96.766","96.766","96.766","96.766","96.899","96.899","96.899","96.899","96.899","96.899","96.899","96.899","96.899","96.899","96.899","96.899","96.899","96.899","96.899","96.899","96.899","96.899","96.899","96.899","96.899","96.899","96.899","96.899","94.048","94.048","94.048","94.048","94.048","94.048","94.048","94.048","94.048","94.048","94.048","94.048","94.048","94.048","94.048","94.048","94.048","94.048","94.048","94.048","94.048","94.048"
"1996:Q3","96.583","96.583","96.583","96.583","96.583","96.583","96.583","96.583","96.583","96.583","96.583","96.583","96.583","96.583","96.583","96.583","96.583","96.583","96.583","96.583","96.583","96.583","96.583","96.583","96.716","96.716","96.716","96.716","96.716","96.716","96.716","96.716","96.716","96.716","96.716","96.716","96.716","96.716","96.716","96.716","96.716","96.716","96.716","96.716","96.716","96.716","96.716","96.716","93.87","93.87","93.87","93.87","93.87","93.87","93.87","93.87","93.87","93.87","93.87","93.87","93.87","93.87","93.87","93.87","93.87","93.87","93.87","93.87","93.87","93.87"
"1996:Q4","97.012","97.012","97.012","97.012","97.012","97.012","97.012","97.012","97.012","97.012","97.012","97.012","97.012","97.012","97.012","97.012","97.012","97.012","97.012","97.012","97.012","97.012","97.012","97.012","97.146","97.146","97.146","97.146","97.146","97.146","97.146","97.146","97.146","97.146","97.146","97.146","97.146","97.146","97.146","97.146","97.146","97.146","97.146","97.146","97.146","97.146","97.146","97.146","94.287","94.287","94.287","94.287","94.287","94.287","94.287","94.287","94.287","94.287","94.287","94.287","94.287","94.287","94.287","94.287","94.287","94.287","94.287","94.287","94.287","94.287"
"1997:Q1","97.125","97.125","97.125","97.125","97.125","97.125","97.125","97.125","97.125","97.125","97.125","97.125","97.125","97.125","97.125","97.125","97.125","97.125","97.125","97.125","97.125","97.125","97.125","97.125","97.259","97.259","97.259","97.259","97.259","97.259","97.259","97.259","97.259","97.259","97.259","97.259","97.259","97.259","97.259","97.259","97.259","97.259","97.259","97.259","97.259","97.259","97.259","97.259","94.397","94.397","94.397","94.397","94.397","94.397","94.397","94.397","94.397","94.397","94.397","94.397","94.397","94.397","94.397","94.397","94.397","94.397","94.397","94.397","94.397","94.397"
"1997:Q2","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.733","96.733","96.733","96.733","96.733","96.733","96.733","96.733","96.733","96.733","96.733","96.733","96.733","96.733","96.733","96.733","96.733","96.733","96.733","96.733","96.733","96.733","96.733","96.733","93.887","93.887","93.887","93.887","93.887","93.887","93.887","93.887","93.887","93.887","93.887","93.887","93.887","93.887","93.887","93.887","93.887","93.887","93.887","93.887","93.887","93.887"
"1997:Q3","96.328","96.328","96.328","96.328","96.328","96.328","96.328","96.328","96.328","96.328","96.328","96.328","96.328","96.328","96.328","96.328","96.328","96.328","96.328","96.328","96.328","96.328","96.328","96.328","96.46","96.46","96.46","96.46","96.46","96.46","96.46","96.46","96.46","96.46","96.46","96.46","96.46","96.46","96.46","96.46","96.46","96.46","96.46","96.46","96.46","96.46","96.46","96.46","93.622","93.622","93.622","93.622","93.622","93.622","93.622","93.622","93.622","93.622","93.622","93.622","93.622","93.622","93.622","93.622","93.622","93.622","93.622","93.622","93.622","93.622"
"1997:Q4","96.198","96.198","96.198","96.198","96.198","96.198","96.198","96.198","96.198","96.198","96.198","96.198","96.198","96.198","96.198","96.198","96.198","96.198","96.198","96.198","96.198","96.198","96.198","96.198","96.331","96.331","96.331","96.331","96.331","96.331","96.331","96.331","96.331","96.331","96.331","96.331","96.331","96.331","96.331","96.331","96.331","96.331","96.331","96.331","96.331","96.331","96.331","96.331","93.497","93.497","93.497","93.497","93.497","93.497","93.497","93.497","93.497","93.497","93.497","93.497","93.497","93.497","93.497","93.497","93.497","93.497","93.497","93.497","93.497","93.497"
"1998:Q1","95.449","95.449","95.449","95.449","95.449","95.449","95.449","95.449","95.449","95.449","95.449","95.449","95.449","95.449","95.449","95.449","95.449","95.449","95.449","95.449","95.449","95.449","95.449","95.449","95.581","95.581","95.581","95.581","95.581","95.581","95.581","95.581","95.581","95.581","95.581","95.581","95.581","95.581","95.581","95.581","95.581","95.581","95.581","95.581","95.581","95.581","95.581","95.581","92.77","92.77","92.77","92.77","92.77","92.77","92.77","92.77","92.77","92.77","92.77","92.77","92.77","92.77","92.77","92.77","92.77","92.77","92.77","92.77","92.77","92.77"
"1998:Q2","95.068","95.068","95.068","95.068","95.068","95.068","95.068","95.068","95.068","95.068","95.068","95.068","95.068","95.068","95.068","95.068","95.068","95.068","95.068","95.068","95.068","95.068","95.068","95.068","95.199","95.199","95.199","95.199","95.199","95.199","95.199","95.199","95.199","95.199","95.199","95.199","95.199","95.199","95.199","95.199","95.199","95.199","95.199","95.199","95.199","95.199","95.199","95.199","92.402","92.402","92.402","92.402","92.402","92.402","92.402","92.402","92.402","92.402","92.402","92.402","92.402","92.402","92.402","92.402","92.402","92.402","92.402","92.402","92.402","92.402"
"1998:Q3","95.04","95.04","95.04","95.04","95.04","95.04","95.04","95.04","95.04","95.04","95.04","95.04","95.04","95.04","95.04","95.04","95.04","95.04","95.04","95.04","95.04","95.04","95.04","95.04","95.171","95.171","95.171","95.171","95.171","95.171","95.171","95.171","95.171","95.171","95.171","95.171","95.171","95.171","95.171","95.171","95.171","95.171","95.171","95.171","95.171","95.171","95.171","95.171","92.376","92.376","92.376","92.376","92.376","92.376","92.376","92.376","92.376","92.376","92.376","92.376","92.376","92.376","92.376","92.376","92.376","92.376","92.376","92.376","92.376","92.376"
"1998:Q4","94.868","94.868","94.868","94.868","94.868","94.868","94.868","94.868","94.868","94.868","94.868","94.868","94.868","94.868","94.868","94.868","94.868","94.868","94.868","94.868","94.868","94.868","94.868","94.868","94.999","94.999","94.999","94.999","94.999","94.999","94.999","94.999","94.999","94.999","94.999","94.999","94.999","94.999","94.999","94.999","94.999","94.999","94.999","94.999","94.999","94.999","94.999","94.999","92.212","92.212","92.212","92.212","92.212","92.212","92.212","92.212","92.212","92.212","92.212","92.212","92.212","92.212","92.212","92.212","92.212","92.212","92.212","92.212","92.212","92.212"
"1999:Q1","94.768","94.768","94.768","94.768","94.768","94.768","94.768","94.768","94.768","94.768","94.768","94.768","94.768","94.768","94.768","94.768","94.768","94.768","94.768","94.768","94.768","94.768","94.768","94.768","94.898","94.898","94.898","94.898","94.898","94.898","94.898","94.898","94.898","94.898","94.898","94.898","94.898","94.898","94.898","94.898","94.898","94.898","94.898","94.898","94.898","94.898","94.898","94.898","92.118","92.118","92.118","92.118","92.118","92.118","92.118","92.118","92.118","92.118","92.118","92.118","92.118","92.118","92.118","92.118","92.118","92.118","92.118","92.118","92.118","92.118"
"1999:Q2","95.455","95.455","95.455","95.455","95.455","95.455","95.455","95.455","95.455","95.455","95.455","95.455","95.455","95.455","95.455","95.455","95.455","95.455","95.455","95.455","95.455","95.455","95.455","95.455","95.587","95.587","95.587","95.587","95.587","95.587","95.587","95.587","95.587","95.587","95.587","95.587","95.587","95.587","95.587","95.587","95.587","95.587","95.587","95.587","95.587","95.587","95.587","95.587","92.78","92.78","92.78","92.78","92.78","92.78","92.78","92.78","92.78","92.78","92.78","92.78","92.78","92.78","92.78","92.78","92.78","92.78","92.78","92.78","92.78","92.78"
"1999:Q3","95.93","95.93","95.93","95.93","95.93","95.93","95.93","95.93","95.93","95.93","95.93","95.93","95.93","95.93","95.93","95.93","95.93","95.93","95.93","95.93","95.93","95.93","95.93","95.93","96.062","96.062","96.062","96.062","96.062","96.062","96.062","96.062","96.062","96.062","96.062","96.062","96.062","96.062","96.062","96.062","96.062","96.062","96.062","96.062","96.062","96.062","96.062","96.062","93.241","93.241","93.241","93.241","93.241","93.241","93.241","93.241","93.241","93.241","93.241","93.241","93.241","93.241","93.241","93.241","93.241","93.241","93.241","93.241","93.241","93.241"
"1999:Q4","96.26","96.26","96.26","96.26","96.26","96.26","96.26","96.26","96.26","96.26","96.26","96.26","96.26","96.26","96.26","96.26","96.26","96.26","96.26","96.26","96.26","96.26","96.26","96.26","96.393","96.393","96.393","96.393","96.393","96.393","96.393","96.393","96.393","96.393","96.393","96.393","96.393","96.393","96.393","96.393","96.393","96.393","96.393","96.393","96.393","96.393","96.393","96.393","93.561","93.561","93.561","93.561","93.561","93.561","93.561","93.561","93.561","93.561","93.561","93.561","93.561","93.561","93.561","93.561","93.561","93.561","93.561","93.561","93.561","93.561"
"2000:Q1","97.02","97.02","97.02","97.02","97.02","97.02","97.02","97.02","97.02","97.02","97.02","97.02","97.02","97.02","97.02","97.02","97.02","97.02","97.02","97.02","97.02","97.02","97.02","97.02","97.154","97.154","97.154","97.154","97.154","97.154","97.154","97.154","97.154","97.154","97.154","97.154","97.154","97.154","97.154","97.154","97.154","97.154","97.154","97.154","97.154","97.154","97.154","97.154","94.289","94.289","94.289","94.289","94.289","94.289","94.289","94.289","94.289","94.289","94.289","94.289","94.289","94.289","94.289","94.289","94.289","94.289","94.289","94.289","94.289","94.289"
"2000:Q2","97.479","97.479","97.479","97.479","97.479","97.479","97.479","97.479","97.479","97.479","97.479","97.479","97.479","97.479","97.479","97.479","97.479","97.479","97.479","97.479","97.479","97.479","97.479","97.479","97.614","97.614","97.614","97.614","97.614","97.614","97.614","97.614","97.614","97.614","97.614","97.614","97.614","97.614","97.614","97.614","97.614","97.614","97.614","97.614","97.614","97.614","97.614","97.614","94.726","94.726","94.726","94.726","94.726","94.726","94.726","94.726","94.726","94.726","94.726","94.726","94.726","94.726","94.726","94.726","94.726","94.726","94.726","94.726","94.726","94.726"
"2000:Q3","97.74","97.74","97.74","97.74","97.74","97.74","97.74","97.74","97.74","97.74","97.74","97.74","97.74","97.74","97.74","97.74","97.74","97.74","97.74","97.74","97.74","97.74","97.74","97.74","97.875","97.875","97.875","97.875","97.875","97.875","97.875","97.875","97.875","97.875","97.875","97.875","97.875","97.875","97.875","97.875","97.875","97.875","97.875","97.875","97.875","97.875","97.875","97.875","94.978","94.978","94.978","94.978","94.978","94.978","94.978","94.978","94.978","94.978","94.978","94.978","94.978","94.978","94.978","94.978","94.978","94.978","94.978","94.978","94.978","94.978"
"2000:Q4","97.842","97.842","97.842","97.842","97.842","97.842","97.842","97.842","97.842","97.842","97.842","97.842","97.842","97.842","97.842","97.842","97.842","97.842","97.842","97.842","97.842","97.842","97.842","97.842","97.977","97.977","97.977","97.977","97.977","97.977","97.977","97.977","97.977","97.977","97.977","97.977","97.977","97.977","97.977","97.977","97.977","97.977","97.977","97.977","97.977","97.977","97.977","97.977","95.082","95.082","95.082","95.082","95.082","95.082","95.082","95.082","95.082","95.082","95.082","95.082","95.082","95.082","95.082","95.082","95.082","95.082","95.082","95.082","95.082","95.082"
"2001:Q1","97.831","97.831","97.831","97.831","97.831","97.831","97.831","97.831","97.831","97.831","97.831","97.831","97.831","97.831","97.831","97.831","97.831","97.831","97.831","97.831","97.831","97.831","97.831","97.831","97.965","97.965","97.965","97.965","97.965","97.965","97.965","97.965","97.965","97.965","97.965","97.965","97.965","97.965","97.965","97.965","97.965","97.965","97.965","97.965","97.965","97.965","97.965","97.965","95.075","95.075","95.075","95.075","95.075","95.075","95.075","95.075","95.075","95.075","95.075","95.075","95.075","95.075","95.075","95.075","95.075","95.075","95.075","95.075","95.075","95.075"
"2001:Q2","97.998","97.998","97.998","97.998","97.998","97.998","97.998","97.998","97.998","97.998","97.998","97.998","97.998","97.998","97.998","97.998","97.998","97.998","97.998","97.998","97.998","97.998","97.998","97.998","98.133","98.133","98.133","98.133","98.133","98.133","98.133","98.133","98.133","98.133","98.133","98.133","98.133","98.133","98.133","98.133","98.133","98.133","98.133","98.133","98.133","98.133","98.133","98.133","95.229","95.229","95.229","95.229","95.229","95.229","95.229","95.229","95.229","95.229","95.229","95.229","95.229","95.229","95.229","95.229","95.229","95.229","95.229","95.229","95.229","95.229"
"2001:Q3","97.484","97.484","97.484","97.484","97.484","97.484","97.484","97.484","97.484","97.484","97.484","97.484","97.484","97.484","97.484","97.484","97.484","97.484","97.484","97.484","97.484","97.484","97.484","97.484","97.619","97.619","97.619","97.619","97.619","97.619","97.619","97.619","97.619","97.619","97.619","97.619","97.619","97.619","97.619","97.619","97.619","97.619","97.619","97.619","97.619","97.619","97.619","97.619","94.75","94.75","94.75","94.75","94.75","94.75","94.75","94.75","94.75","94.75","94.75","94.75","94.75","94.75","94.75","94.75","94.75","94.75","94.75","94.75","94.75","94.75"
"2001:Q4","96.404","96.404","96.404","96.404","96.404","96.404","96.404","96.404","96.404","96.404","96.404","96.404","96.404","96.404","96.404","96.404","96.404","96.404","96.404","96.404","96.404","96.404","96.404","96.404","96.537","96.537","96.537","96.537","96.537","96.537","96.537","96.537","96.537","96.537","96.537","96.537","96.537","96.537","96.537","96.537","96.537","96.537","96.537","96.537","96.537","96.537","96.537","96.537","93.735","93.735","93.735","93.735","93.735","93.735","93.735","93.735","93.735","93.735","93.735","93.735","93.735","93.735","93.735","93.735","93.735","93.735","93.735","93.735","93.735","93.735"
"2002:Q1","95.956","95.956","95.956","95.956","95.956","95.956","95.956","95.956","95.956","95.956","95.956","95.956","95.956","95.956","95.956","95.956","95.956","95.956","95.956","95.956","95.956","95.956","95.956","95.956","96.089","96.089","96.089","96.089","96.089","96.089","96.089","96.089","96.089","96.089","96.089","96.089","96.089","96.089","96.089","96.089","96.089","96.089","96.089","96.089","96.089","96.089","96.089","96.089","93.325","93.325","93.325","93.325","93.325","93.325","93.325","93.325","93.325","93.325","93.325","93.325","93.325","93.325","93.325","93.325","93.325","93.325","93.325","93.325","93.325","93.325"
"2002:Q2","96.609","96.609","96.609","96.609","96.609","96.609","96.609","96.609","96.609","96.609","96.609","96.609","96.609","96.609","96.609","96.609","96.609","96.609","96.609","96.609","96.609","96.609","96.609","96.609","96.742","96.742","96.742","96.742","96.742","96.742","96.742","96.742","96.742","96.742","96.742","96.742","96.742","96.742","96.742","96.742","96.742","96.742","96.742","96.742","96.742","96.742","96.742","96.742","93.983","93.983","93.983","93.983","93.983","93.983","93.983","93.983","93.983","93.983","93.983","93.983","93.983","93.983","93.983","93.983","93.983","93.983","93.983","93.983","93.983","93.983"
"2002:Q3","96.585","96.585","96.585","96.585","96.585","96.585","96.585","96.585","96.585","96.585","96.585","96.585","96.585","96.585","96.585","96.585","96.585","96.585","96.585","96.585","96.585","96.585","96.585","96.585","96.718","96.718","96.718","96.718","96.718","96.718","96.718","96.718","96.718","96.718","96.718","96.718","96.718","96.718","96.718","96.718","96.718","96.718","96.718","96.718","96.718","96.718","96.718","96.718","93.972","93.972","93.972","93.972","93.972","93.972","93.972","93.972","93.972","93.972","93.972","93.972","93.972","93.972","93.972","93.972","93.972","93.972","93.972","93.972","93.972","93.972"
"2002:Q4","96.571","96.571","96.571","96.571","96.571","96.571","96.571","96.571","96.571","96.571","96.571","96.571","96.571","96.571","96.571","96.571","96.571","96.571","96.571","96.571","96.571","96.571","96.571","96.571","96.702","96.702","96.702","96.702","96.702","96.702","96.702","96.702","96.702","96.702","96.702","96.702","96.702","96.702","96.702","96.702","96.702","96.702","96.702","96.702","96.702","96.702","96.702","96.702","93.942","93.942","93.942","93.942","93.942","93.942","93.942","93.942","93.942","93.942","93.942","93.942","93.942","93.942","93.942","93.942","93.942","93.942","93.942","93.942","93.942","93.942"
"2003:Q1","97.189","97.189","97.189","97.189","97.189","97.189","97.189","97.189","97.189","97.189","97.189","97.189","97.189","97.189","97.189","97.189","97.189","97.189","97.189","97.189","97.189","97.189","97.189","97.189","97.317","97.317","97.317","97.317","97.317","97.317","97.317","97.317","97.317","97.317","97.317","97.317","97.317","97.317","97.317","97.317","97.317","97.317","97.317","97.317","97.317","97.317","97.317","97.317","94.475","94.475","94.475","94.475","94.475","94.475","94.475","94.475","94.475","94.475","94.475","94.475","94.475","94.475","94.475","94.475","94.475","94.475","94.475","94.475","94.475","94.475"
"2003:Q2","95.783","95.783","95.783","95.783","95.783","95.783","95.783","95.783","95.783","95.783","95.783","95.783","95.783","95.783","95.783","95.783","95.783","95.783","95.783","95.783","95.783","95.783","95.783","95.783","95.904","95.904","95.904","95.904","95.904","95.904","95.904","95.904","95.904","95.904","95.904","95.904","95.904","95.904","95.904","95.904","95.904","95.904","95.904","95.904","95.904","95.904","95.904","95.904","93.171","93.171","93.171","93.171","93.171","93.171","93.171","93.171","93.171","93.171","93.171","93.171","93.171","93.171","93.171","93.171","93.171","93.171","93.171","93.171","93.171","93.171"
"2003:Q3","96.289","96.289","96.289","96.289","96.289","96.289","96.289","96.289","96.289","96.289","96.289","96.289","96.289","96.289","96.289","96.289","96.289","96.289","96.289","96.289","96.289","96.289","96.289","96.289","96.397","96.397","96.397","96.397","96.397","96.397","96.397","96.397","96.397","96.397","96.397","96.397","96.397","96.397","96.397","96.397","96.397","96.397","96.397","96.397","96.397","96.397","96.397","96.397","93.616","93.616","93.616","93.616","93.616","93.616","93.616","93.616","93.616","93.616","93.616","93.616","93.616","93.616","93.616","93.616","93.616","93.616","93.616","93.616","93.616","93.616"
"2003:Q4","96.259","96.259","96.259","96.259","96.259","96.259","96.259","96.259","96.259","96.259","96.259","96.259","96.259","96.259","96.259","96.259","96.259","96.259","96.259","96.259","96.259","96.259","96.259","96.259","96.351","96.351","96.351","96.351","96.351","96.351","96.351","96.351","96.351","96.351","96.351","96.351","96.351","96.351","96.351","96.351","96.351","96.351","96.351","96.351","96.351","96.351","96.351","96.351","93.549","93.549","93.549","93.549","93.549","93.549","93.549","93.549","93.549","93.549","93.549","93.549","93.549","93.549","93.549","93.549","93.549","93.549","93.549","93.549","93.549","93.549"
"2004:Q1","97.11","97.11","97.11","97.11","97.11","97.11","97.11","97.11","97.11","97.11","97.11","97.11","97.11","97.11","97.11","97.11","97.11","97.11","97.11","97.11","97.11","97.11","97.11","97.11","97.193","97.193","97.193","97.193","97.193","97.193","97.193","97.193","97.193","97.193","97.193","97.193","97.193","97.193","97.193","97.193","97.193","97.193","97.193","97.193","97.193","97.193","97.193","97.193","94.315","94.315","94.315","94.315","94.315","94.315","94.315","94.315","94.315","94.315","94.315","94.315","94.315","94.315","94.315","94.315","94.315","94.315","94.315","94.315","94.315","94.315"
"2004:Q2","97.654","97.654","97.654","97.654","97.654","97.654","97.654","97.654","97.654","97.654","97.654","97.654","97.654","97.654","97.654","97.654","97.654","97.654","97.654","97.654","97.654","97.654","97.654","97.654","97.721","97.721","97.721","97.721","97.721","97.721","97.721","97.721","97.721","97.721","97.721","97.721","97.721","97.721","97.721","97.721","97.721","97.721","97.721","97.721","97.721","97.721","97.721","97.721","94.85","94.85","94.85","94.85","94.85","94.85","94.85","94.85","94.85","94.85","94.85","94.85","94.85","94.85","94.85","94.85","94.85","94.85","94.85","94.85","94.85","94.85"
"2004:Q3","97.751","97.751","97.751","97.751","97.751","97.751","97.751","97.751","97.751","97.751","97.751","97.751","97.751","97.751","97.751","97.751","97.751","97.751","97.751","97.751","97.751","97.751","97.751","97.751","97.812","97.812","97.812","97.812","97.812","97.812","97.812","97.812","97.812","97.812","97.812","97.812","97.812","97.812","97.812","97.812","97.812","97.812","97.812","97.812","97.812","97.812","97.812","97.812","94.925","94.925","94.925","94.925","94.925","94.925","94.925","94.925","94.925","94.925","94.925","94.925","94.925","94.925","94.925","94.925","94.925","94.925","94.925","94.925","94.925","94.925"
"2004:Q4","98.953","98.953","98.953","98.953","98.953","98.953","98.953","98.953","98.953","98.953","98.953","98.953","98.953","98.953","98.953","98.953","98.953","98.953","98.953","98.953","98.953","98.953","98.953","98.953","98.99","98.99","98.99","98.99","98.99","98.99","98.99","98.99","98.99","98.99","98.99","98.99","98.99","98.99","98.99","98.99","98.99","98.99","98.99","98.99","98.99","98.99","98.99","98.99","96.031","96.031","96.031","96.031","96.031","96.031","96.031","96.031","96.031","96.031","96.031","96.031","96.031","96.031","96.031","96.031","96.031","96.031","96.031","96.031","96.031","96.031"
"2005:Q1","98.847","98.847","98.847","98.847","98.847","98.847","98.847","98.847","98.847","98.847","98.847","98.847","98.847","98.847","98.847","98.847","98.847","98.847","98.847","98.847","98.847","98.847","98.847","98.847","98.874","98.874","98.874","98.874","98.874","98.874","98.874","98.874","98.874","98.874","98.874","98.874","98.874","98.874","98.874","98.874","98.874","98.874","98.874","98.874","98.874","98.874","98.874","98.874","95.86","95.86","95.86","95.86","95.86","95.86","95.86","95.86","95.86","95.86","95.86","95.86","95.86","95.86","95.86","95.86","95.86","95.86","95.86","95.86","95.86","95.86"
"2005:Q2","99.103","99.103","99.103","99.103","99.103","99.103","99.103","99.103","99.103","99.103","99.103","99.103","99.103","99.103","99.103","99.103","99.103","99.103","99.103","99.103","99.103","99.103","99.103","99.103","99.096","99.096","99.096","99.096","99.096","99.096","99.096","99.096","99.096","99.096","99.096","99.096","99.096","99.096","99.096","99.096","99.096","99.096","99.096","99.096","99.096","99.096","99.096","99.096","96.217","96.217","96.217","96.217","96.217","96.217","96.217","96.217","96.217","96.217","96.217","96.217","96.217","96.217","96.217","96.217","96.217","96.217","96.217","96.217","96.217","96.217"
"2005:Q3","100.846","100.846","100.846","100.846","100.846","100.846","100.846","100.846","100.846","100.846","100.846","100.846","100.846","100.846","100.846","100.846","100.846","100.846","100.846","100.846","100.846","100.846","100.846","100.846","100.84","100.84","100.84","100.84","100.84","100.84","100.84","100.84","100.84","100.84","100.84","100.84","100.84","100.84","100.84","100.84","100.84","100.84","100.84","100.84","100.84","100.84","100.84","100.84","97.814","97.814","97.814","97.814","97.814","97.814","97.814","97.814","97.814","97.814","97.814","97.814","97.814","97.814","97.814","97.814","97.814","97.814","97.814","97.814","97.814","97.814"
"2005:Q4","101.203","101.203","101.203","101.203","101.203","101.203","101.203","101.203","101.203","101.203","101.203","101.203","101.203","101.203","101.203","101.203","101.203","101.203","101.203","101.203","101.203","101.203","101.203","101.203","101.19","101.19","101.19","101.19","101.19","101.19","101.19","101.19","101.19","101.19","101.19","101.19","101.19","101.19","101.19","101.19","101.19","101.19","101.19","101.19","101.19","101.19","101.19","101.19","97.912","97.912","97.912","97.912","97.912","97.912","97.912","97.912","97.912","97.912","97.912","97.912","97.912","97.912","97.912","97.912","97.912","97.912","97.912","97.912","97.912","97.912"
"2006:Q1","101.116","101.116","101.116","101.116","101.116","101.116","101.116","101.116","101.116","101.116","101.116","101.116","101.116","101.116","101.116","101.116","101.116","101.116","101.116","101.116","101.116","101.116","101.116","101.116","101.09","101.09","101.09","101.09","101.09","101.09","101.09","101.09","101.09","101.09","101.09","101.09","101.09","101.09","101.09","101.09","101.09","101.09","101.09","101.09","101.09","101.09","101.09","101.09","97.845","97.845","97.845","97.845","97.845","97.845","97.845","97.845","97.845","97.845","97.845","97.845","97.845","97.845","97.845","97.845","97.845","97.845","97.845","97.845","97.845","97.845"
"2006:Q2","101.765","101.765","101.765","101.765","101.765","101.765","101.765","101.765","101.765","101.765","101.765","101.765","101.765","101.765","101.765","101.765","101.765","101.765","101.765","101.765","101.765","101.765","101.765","101.765","101.705","101.705","101.705","101.705","101.705","101.705","101.705","101.705","101.705","101.705","101.705","101.705","101.705","101.705","101.705","101.705","101.705","101.705","101.705","101.705","101.705","101.705","101.705","101.705","98.604","98.604","98.604","98.604","98.604","98.604","98.604","98.604","98.604","98.604","98.604","98.604","98.604","98.604","98.604","98.604","98.604","98.604","98.604","98.604","98.604","98.604"
"2006:Q3","102.329","102.329","102.329","102.329","102.329","102.329","102.329","102.329","102.329","102.329","102.329","102.329","102.329","102.329","102.329","102.329","102.329","102.329","102.329","102.329","102.329","102.329","102.329","102.329","102.242","102.242","102.242","102.242","102.242","102.242","102.242","102.242","102.242","102.242","102.242","102.242","102.242","102.242","102.242","102.242","102.242","102.242","102.242","102.242","102.242","102.242","102.242","102.242","99.178","99.178","99.178","99.178","99.178","99.178","99.178","99.178","99.178","99.178","99.178","99.178","99.178","99.178","99.178","99.178","99.178","99.178","99.178","99.178","99.178","99.178"
