"DATE","PCONG09M8","PCONG09M9","PCONG09M10","PCONG09M11","PCONG09M12","PCONG10M1","PCONG10M2","PCONG10M3","PCONG10M4","PCONG10M5","PCONG10M6","PCONG10M7","PCONG10M8","PCONG10M9","PCONG10M10","PCONG10M11","PCONG10M12","PCONG11M1","PCONG11M2","PCONG11M3","PCONG11M4","PCONG11M5","PCONG11M6","PCONG11M7","PCONG11M8","PCONG11M9","PCONG11M10","PCONG11M11","PCONG11M12","PCONG12M1","PCONG12M2","PCONG12M3","PCONG12M4","PCONG12M5","PCONG12M6","PCONG12M7","PCONG12M8","PCONG12M9","PCONG12M10","PCONG12M11","PCONG12M12","PCONG13M1","PCONG13M2","PCONG13M3","PCONG13M4","PCONG13M5","PCONG13M6","PCONG13M7","PCONG13M8","PCONG13M9","PCONG13M10","PCONG13M11","PCONG13M12","PCONG14M1","PCONG14M2","PCONG14M3","PCONG14M4","PCONG14M5","PCONG14M6","PCONG14M7","PCONG14M8","PCONG14M9","PCONG14M10","PCONG14M11","PCONG14M12","PCONG15M1","PCONG15M2","PCONG15M3","PCONG15M4","PCONG15M5"
"1989:Q3","86.439","86.439","86.439","86.439","86.439","86.439","86.439","86.439","86.439","86.439","86.439","86.439","86.439","86.439","86.439","86.439","86.439","86.439","86.439","86.439","86.439","86.439","86.439","86.439","86.558","86.558","86.558","86.558","86.558","86.558","86.558","86.558","86.558","86.558","86.558","86.558","86.558","86.558","86.558","86.558","86.558","86.558","86.558","86.558","86.558","86.558","86.558","86.558","84.01","84.01","84.01","84.01","84.01","84.01","84.01","84.01","84.01","84.01","84.01","84.01","84.01","84.01","84.01","84.01","84.01","84.01","84.01","84.01","84.01","84.01"
"1989:Q4","86.798","86.798","86.798","86.798","86.798","86.798","86.798","86.798","86.798","86.798","86.798","86.798","86.798","86.798","86.798","86.798","86.798","86.798","86.798","86.798","86.798","86.798","86.798","86.798","86.918","86.918","86.918","86.918","86.918","86.918","86.918","86.918","86.918","86.918","86.918","86.918","86.918","86.918","86.918","86.918","86.918","86.918","86.918","86.918","86.918","86.918","86.918","86.918","84.36","84.36","84.36","84.36","84.36","84.36","84.36","84.36","84.36","84.36","84.36","84.36","84.36","84.36","84.36","84.36","84.36","84.36","84.36","84.36","84.36","84.36"
"1990:Q1","88.392","88.392","88.392","88.392","88.392","88.392","88.392","88.392","88.392","88.392","88.392","88.392","88.392","88.392","88.392","88.392","88.392","88.392","88.392","88.392","88.392","88.392","88.392","88.392","88.514","88.514","88.514","88.514","88.514","88.514","88.514","88.514","88.514","88.514","88.514","88.514","88.514","88.514","88.514","88.514","88.514","88.514","88.514","88.514","88.514","88.514","88.514","88.514","85.909","85.909","85.909","85.909","85.909","85.909","85.909","85.909","85.909","85.909","85.909","85.909","85.909","85.909","85.909","85.909","85.909","85.909","85.909","85.909","85.909","85.909"
"1990:Q2","88.727","88.727","88.727","88.727","88.727","88.727","88.727","88.727","88.727","88.727","88.727","88.727","88.727","88.727","88.727","88.727","88.727","88.727","88.727","88.727","88.727","88.727","88.727","88.727","88.85","88.85","88.85","88.85","88.85","88.85","88.85","88.85","88.85","88.85","88.85","88.85","88.85","88.85","88.85","88.85","88.85","88.85","88.85","88.85","88.85","88.85","88.85","88.85","86.235","86.235","86.235","86.235","86.235","86.235","86.235","86.235","86.235","86.235","86.235","86.235","86.235","86.235","86.235","86.235","86.235","86.235","86.235","86.235","86.235","86.235"
"1990:Q3","89.981","89.981","89.981","89.981","89.981","89.981","89.981","89.981","89.981","89.981","89.981","89.981","89.981","89.981","89.981","89.981","89.981","89.981","89.981","89.981","89.981","89.981","89.981","89.981","90.105","90.105","90.105","90.105","90.105","90.105","90.105","90.105","90.105","90.105","90.105","90.105","90.105","90.105","90.105","90.105","90.105","90.105","90.105","90.105","90.105","90.105","90.105","90.105","87.453","87.453","87.453","87.453","87.453","87.453","87.453","87.453","87.453","87.453","87.453","87.453","87.453","87.453","87.453","87.453","87.453","87.453","87.453","87.453","87.453","87.453"
"1990:Q4","91.611","91.611","91.611","91.611","91.611","91.611","91.611","91.611","91.611","91.611","91.611","91.611","91.611","91.611","91.611","91.611","91.611","91.611","91.611","91.611","91.611","91.611","91.611","91.611","91.737","91.737","91.737","91.737","91.737","91.737","91.737","91.737","91.737","91.737","91.737","91.737","91.737","91.737","91.737","91.737","91.737","91.737","91.737","91.737","91.737","91.737","91.737","91.737","89.037","89.037","89.037","89.037","89.037","89.037","89.037","89.037","89.037","89.037","89.037","89.037","89.037","89.037","89.037","89.037","89.037","89.037","89.037","89.037","89.037","89.037"
"1991:Q1","91.556","91.556","91.556","91.556","91.556","91.556","91.556","91.556","91.556","91.556","91.556","91.556","91.556","91.556","91.556","91.556","91.556","91.556","91.556","91.556","91.556","91.556","91.556","91.556","91.682","91.682","91.682","91.682","91.682","91.682","91.682","91.682","91.682","91.682","91.682","91.682","91.682","91.682","91.682","91.682","91.682","91.682","91.682","91.682","91.682","91.682","91.682","91.682","88.983","88.983","88.983","88.983","88.983","88.983","88.983","88.983","88.983","88.983","88.983","88.983","88.983","88.983","88.983","88.983","88.983","88.983","88.983","88.983","88.983","88.983"
"1991:Q2","91.736","91.736","91.736","91.736","91.736","91.736","91.736","91.736","91.736","91.736","91.736","91.736","91.736","91.736","91.736","91.736","91.736","91.736","91.736","91.736","91.736","91.736","91.736","91.736","91.862","91.862","91.862","91.862","91.862","91.862","91.862","91.862","91.862","91.862","91.862","91.862","91.862","91.862","91.862","91.862","91.862","91.862","91.862","91.862","91.862","91.862","91.862","91.862","89.159","89.159","89.159","89.159","89.159","89.159","89.159","89.159","89.159","89.159","89.159","89.159","89.159","89.159","89.159","89.159","89.159","89.159","89.159","89.159","89.159","89.159"
"1991:Q3","91.904","91.904","91.904","91.904","91.904","91.904","91.904","91.904","91.904","91.904","91.904","91.904","91.904","91.904","91.904","91.904","91.904","91.904","91.904","91.904","91.904","91.904","91.904","91.904","92.03","92.03","92.03","92.03","92.03","92.03","92.03","92.03","92.03","92.03","92.03","92.03","92.03","92.03","92.03","92.03","92.03","92.03","92.03","92.03","92.03","92.03","92.03","92.03","89.322","89.322","89.322","89.322","89.322","89.322","89.322","89.322","89.322","89.322","89.322","89.322","89.322","89.322","89.322","89.322","89.322","89.322","89.322","89.322","89.322","89.322"
"1991:Q4","92.284","92.284","92.284","92.284","92.284","92.284","92.284","92.284","92.284","92.284","92.284","92.284","92.284","92.284","92.284","92.284","92.284","92.284","92.284","92.284","92.284","92.284","92.284","92.284","92.411","92.411","92.411","92.411","92.411","92.411","92.411","92.411","92.411","92.411","92.411","92.411","92.411","92.411","92.411","92.411","92.411","92.411","92.411","92.411","92.411","92.411","92.411","92.411","89.691","89.691","89.691","89.691","89.691","89.691","89.691","89.691","89.691","89.691","89.691","89.691","89.691","89.691","89.691","89.691","89.691","89.691","89.691","89.691","89.691","89.691"
"1992:Q1","92.391","92.391","92.391","92.391","92.391","92.391","92.391","92.391","92.391","92.391","92.391","92.391","92.391","92.391","92.391","92.391","92.391","92.391","92.391","92.391","92.391","92.391","92.391","92.391","92.518","92.518","92.518","92.518","92.518","92.518","92.518","92.518","92.518","92.518","92.518","92.518","92.518","92.518","92.518","92.518","92.518","92.518","92.518","92.518","92.518","92.518","92.518","92.518","89.795","89.795","89.795","89.795","89.795","89.795","89.795","89.795","89.795","89.795","89.795","89.795","89.795","89.795","89.795","89.795","89.795","89.795","89.795","89.795","89.795","89.795"
"1992:Q2","92.782","92.782","92.782","92.782","92.782","92.782","92.782","92.782","92.782","92.782","92.782","92.782","92.782","92.782","92.782","92.782","92.782","92.782","92.782","92.782","92.782","92.782","92.782","92.782","92.91","92.91","92.91","92.91","92.91","92.91","92.91","92.91","92.91","92.91","92.91","92.91","92.91","92.91","92.91","92.91","92.91","92.91","92.91","92.91","92.91","92.91","92.91","92.91","90.176","90.176","90.176","90.176","90.176","90.176","90.176","90.176","90.176","90.176","90.176","90.176","90.176","90.176","90.176","90.176","90.176","90.176","90.176","90.176","90.176","90.176"
"1992:Q3","93.257","93.257","93.257","93.257","93.257","93.257","93.257","93.257","93.257","93.257","93.257","93.257","93.257","93.257","93.257","93.257","93.257","93.257","93.257","93.257","93.257","93.257","93.257","93.257","93.385","93.385","93.385","93.385","93.385","93.385","93.385","93.385","93.385","93.385","93.385","93.385","93.385","93.385","93.385","93.385","93.385","93.385","93.385","93.385","93.385","93.385","93.385","93.385","90.637","90.637","90.637","90.637","90.637","90.637","90.637","90.637","90.637","90.637","90.637","90.637","90.637","90.637","90.637","90.637","90.637","90.637","90.637","90.637","90.637","90.637"
