"DATE","P00M1","P00M2","P00M3","P00M4","P00M5","P00M6","P00M7","P00M8","P00M9","P00M10","P00M11","P00M12","P01M1","P01M2","P01M3","P01M4","P01M5","P01M6","P01M7","P01M8","P01M9","P01M10","P01M11","P01M12","P02M1","P02M2","P02M3","P02M4","P02M5","P02M6","P02M7","P02M8","P02M9","P02M10","P02M11","P02M12","P03M1","P03M2","P03M3","P03M4","P03M5","P03M6","P03M7","P03M8","P03M9","P03M10","P03M11","P03M12","P04M1","P04M2","P04M3","P04M4","P04M5","P04M6","P04M7","P04M8","P04M9","P04M10","P04M11","P04M12","P05M1","P05M2","P05M3","P05M4","P05M5","P05M6","P05M7","P05M8","P05M9","P05M10","P05M11","P05M12","P06M1","P06M2","P06M3","P06M4","P06M5","P06M6","P06M7","P06M8","P06M9","P06M10","P06M11","P06M12","P07M1","P07M2","P07M3","P07M4","P07M5","P07M6","P07M7","P07M8","P07M9","P07M10","P07M11","P07M12","P08M1","P08M2","P08M3","P08M4","P08M5","P08M6","P08M7","P08M8","P08M9","P08M10","P08M11","P08M12","P09M1","P09M2","P09M3","P09M4","P09M5","P09M6","P09M7","P09M8","P09M9","P09M10","P09M11","P09M12"
"1947:Q1","#N/A","#N/A","#N/A","15.92","15.92","15.92","15.92","15.92","15.92","15.92","15.92","15.92","15.92","15.92","15.92","15.92","15.92","15.92","15.92","15.92","15.92","15.92","15.92","15.92","15.92","15.92","15.92","15.92","15.92","15.92","15.92","15.92","15.92","15.92","15.92","15.92","15.92","15.92","15.92","15.92","15.92","15.92","15.92","15.92","15.92","15.92","15.92","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","13.4","13.4","13.4","13.4","13.4"
"1947:Q2","#N/A","#N/A","#N/A","16.15","16.15","16.15","16.15","16.15","16.15","16.15","16.15","16.15","16.15","16.15","16.15","16.15","16.15","16.15","16.15","16.15","16.15","16.15","16.15","16.15","16.15","16.15","16.15","16.15","16.15","16.15","16.15","16.15","16.15","16.15","16.15","16.15","16.15","16.15","16.15","16.15","16.15","16.15","16.15","16.15","16.15","16.15","16.15","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","13.595","13.595","13.595","13.595","13.595"
"1947:Q3","#N/A","#N/A","#N/A","16.44","16.44","16.44","16.44","16.44","16.44","16.44","16.44","16.44","16.44","16.44","16.44","16.44","16.44","16.44","16.44","16.44","16.44","16.44","16.44","16.44","16.44","16.44","16.44","16.44","16.44","16.44","16.44","16.44","16.44","16.44","16.44","16.44","16.44","16.44","16.44","16.44","16.44","16.44","16.44","16.44","16.44","16.44","16.44","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","13.823","13.823","13.823","13.823","13.823"
"1947:Q4","#N/A","#N/A","#N/A","16.78","16.78","16.78","16.78","16.78","16.78","16.78","16.78","16.78","16.78","16.78","16.78","16.78","16.78","16.78","16.78","16.78","16.78","16.78","16.78","16.78","16.78","16.78","16.78","16.78","16.78","16.78","16.78","16.78","16.78","16.78","16.78","16.78","16.78","16.78","16.78","16.78","16.78","16.78","16.78","16.78","16.78","16.78","16.78","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","14.106","14.106","14.106","14.106","14.106"
"1948:Q1","#N/A","#N/A","#N/A","16.97","16.97","16.97","16.97","16.97","16.97","16.97","16.97","16.97","16.97","16.97","16.97","16.97","16.97","16.97","16.97","16.97","16.97","16.97","16.97","16.97","16.97","16.97","16.97","16.97","16.97","16.97","16.97","16.97","16.97","16.97","16.97","16.97","16.97","16.97","16.97","16.97","16.97","16.97","16.97","16.97","16.97","16.97","16.97","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","14.264","14.264","14.264","14.264","14.264"
"1948:Q2","#N/A","#N/A","#N/A","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","14.422","14.422","14.422","14.422","14.422"
"1948:Q3","#N/A","#N/A","#N/A","17.47","17.47","17.47","17.47","17.47","17.47","17.47","17.47","17.47","17.47","17.47","17.47","17.47","17.47","17.47","17.47","17.47","17.47","17.47","17.47","17.47","17.47","17.47","17.47","17.47","17.47","17.47","17.47","17.47","17.47","17.47","17.47","17.47","17.47","17.47","17.47","17.47","17.47","17.47","17.47","17.47","17.47","17.47","17.47","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","14.679","14.679","14.679","14.679","14.679"
"1948:Q4","#N/A","#N/A","#N/A","17.45","17.45","17.45","17.45","17.45","17.45","17.45","17.45","17.45","17.45","17.45","17.45","17.45","17.45","17.45","17.45","17.45","17.45","17.45","17.45","17.45","17.45","17.45","17.45","17.45","17.45","17.45","17.45","17.45","17.45","17.45","17.45","17.45","17.45","17.45","17.45","17.45","17.45","17.45","17.45","17.45","17.45","17.45","17.45","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","14.676","14.676","14.676","14.676","14.676"
"1949:Q1","#N/A","#N/A","#N/A","17.42","17.42","17.42","17.42","17.42","17.42","17.42","17.42","17.42","17.42","17.42","17.42","17.42","17.42","17.42","17.42","17.42","17.42","17.42","17.42","17.42","17.42","17.42","17.42","17.42","17.42","17.42","17.42","17.42","17.42","17.42","17.42","17.42","17.42","17.42","17.42","17.42","17.42","17.42","17.42","17.42","17.42","17.42","17.42","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","14.634","14.634","14.634","14.634","14.634"
"1949:Q2","#N/A","#N/A","#N/A","17.31","17.31","17.31","17.31","17.31","17.31","17.31","17.31","17.31","17.31","17.31","17.31","17.31","17.31","17.31","17.31","17.31","17.31","17.31","17.31","17.31","17.31","17.31","17.31","17.31","17.31","17.31","17.31","17.31","17.31","17.31","17.31","17.31","17.31","17.31","17.31","17.31","17.31","17.31","17.31","17.31","17.31","17.31","17.31","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","14.541","14.541","14.541","14.541","14.541"
"1949:Q3","#N/A","#N/A","#N/A","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","16.267","16.267","16.267","16.267","16.267","16.267","16.267","16.267","16.267","16.267","16.267","16.267","16.267","16.267","16.267","16.267","16.267","16.267","16.267","16.267","16.267","16.267","16.267","16.267","16.267","16.267","16.267","16.267","16.267","16.267","16.267","16.267","16.267","16.267","16.267","16.267","16.267","16.267","16.267","16.267","16.267","16.267","16.267","16.267","16.267","16.267","16.267","16.267","16.267","16.267","16.267","16.267","16.267","16.267","16.267","16.267","16.267","16.267","16.267","16.267","16.267","16.267","16.267","16.267","16.267","16.267","16.267","16.267","14.419","14.419","14.419","14.419","14.419"
"1949:Q4","#N/A","#N/A","#N/A","17.17","17.17","17.17","17.17","17.17","17.17","17.17","17.17","17.17","17.17","17.17","17.17","17.17","17.17","17.17","17.17","17.17","17.17","17.17","17.17","17.17","17.17","17.17","17.17","17.17","17.17","17.17","17.17","17.17","17.17","17.17","17.17","17.17","17.17","17.17","17.17","17.17","17.17","17.17","17.17","17.17","17.17","17.17","17.17","16.272","16.272","16.272","16.272","16.272","16.272","16.272","16.272","16.272","16.272","16.272","16.272","16.272","16.272","16.272","16.272","16.272","16.272","16.272","16.272","16.272","16.272","16.272","16.272","16.272","16.272","16.272","16.272","16.272","16.272","16.272","16.272","16.272","16.272","16.272","16.272","16.272","16.272","16.272","16.272","16.272","16.272","16.272","16.272","16.272","16.272","16.272","16.272","16.272","16.272","16.272","16.272","16.272","16.272","16.272","16.272","16.272","16.272","16.272","16.272","16.272","16.272","16.272","16.272","16.272","16.272","16.272","16.272","14.416","14.416","14.416","14.416","14.416"
