"DATE","RGF10M1","RGF10M2","RGF10M3","RGF10M4","RGF10M5","RGF10M6","RGF10M7","RGF10M8","RGF10M9","RGF10M10","RGF10M11","RGF10M12","RGF11M1","RGF11M2","RGF11M3","RGF11M4","RGF11M5","RGF11M6","RGF11M7","RGF11M8","RGF11M9","RGF11M10","RGF11M11","RGF11M12","RGF12M1","RGF12M2","RGF12M3","RGF12M4","RGF12M5","RGF12M6","RGF12M7","RGF12M8","RGF12M9","RGF12M10","RGF12M11","RGF12M12","RGF13M1","RGF13M2","RGF13M3","RGF13M4","RGF13M5","RGF13M6","RGF13M7","RGF13M8","RGF13M9","RGF13M10","RGF13M11","RGF13M12","RGF14M1","RGF14M2","RGF14M3","RGF14M4","RGF14M5","RGF14M6","RGF14M7","RGF14M8","RGF14M9","RGF14M10","RGF14M11","RGF14M12","RGF15M1","RGF15M2","RGF15M3","RGF15M4","RGF15M5"
"1958:Q2","468.7","468.7","468.7","468.7","468.7","468.7","468.7","468.7","468.7","468.7","468.7","468.7","468.7","468.7","468.7","468.7","468.7","468.7","468.7","469.1","469.1","469.1","469.1","469.1","469.1","469.1","469.1","469.1","469.1","469.1","469.1","469.1","469.1","469.1","469.1","469.1","469.1","469.1","469.1","469.1","469.1","469.1","469.1","492.7","492.7","492.7","492.7","492.7","492.7","492.7","492.7","492.7","492.7","492.7","492.7","492.7","492.7","492.7","492.7","492.7","492.7","492.7","492.7","492.7","492.7"
"1958:Q3","466.9","466.9","466.9","466.9","466.9","466.9","466.9","466.9","466.9","466.9","466.9","466.9","466.9","466.9","466.9","466.9","466.9","466.9","466.9","467.3","467.3","467.3","467.3","467.3","467.3","467.3","467.3","467.3","467.3","467.3","467.3","467.3","467.3","467.3","467.3","467.3","467.3","467.3","467.3","467.3","467.3","467.3","467.3","491.1","491.1","491.1","491.1","491.1","491.1","491.1","491.1","491.1","491.1","491.1","491.1","491.1","491.1","491.1","491.1","491.1","491.1","491.1","491.1","491.1","491.1"
"1958:Q4","477.9","477.9","477.9","477.9","477.9","477.9","477.9","477.9","477.9","477.9","477.9","477.9","477.9","477.9","477.9","477.9","477.9","477.9","477.9","478.2","478.2","478.2","478.2","478.2","478.2","478.2","478.2","478.2","478.2","478.2","478.2","478.2","478.2","478.2","478.2","478.2","478.2","478.2","478.2","478.2","478.2","478.2","478.2","501.8","501.8","501.8","501.8","501.8","501.8","501.8","501.8","501.8","501.8","501.8","501.8","501.8","501.8","501.8","501.8","501.8","501.8","501.8","501.8","501.8","501.8"
"1959:Q1","470.0","470.0","470.0","470.0","470.0","470.0","470.0","470.0","470.0","470.0","470.0","470.0","470.0","470.0","470.0","470.0","470.0","470.0","470.0","470.3","470.3","470.3","470.3","470.3","470.3","470.3","470.3","470.3","470.3","470.3","470.3","470.3","470.3","470.3","470.3","470.3","470.3","470.3","470.3","470.3","470.3","470.3","470.3","491.6","491.6","491.6","491.6","491.6","491.6","491.6","491.6","491.6","491.6","491.6","491.6","491.6","491.6","491.6","491.6","491.6","491.6","491.6","491.6","491.6","491.6"
"1959:Q2","481.3","481.3","481.3","481.3","481.3","481.3","481.3","481.3","481.3","481.3","481.3","481.3","481.3","481.3","481.3","481.3","481.3","481.3","481.3","481.5","481.5","481.5","481.5","481.5","481.5","481.5","481.5","481.5","481.5","481.5","481.5","481.5","481.5","481.5","481.5","481.5","481.5","481.5","481.5","481.5","481.5","481.5","481.5","500.6","500.6","500.6","500.6","500.6","500.6","500.6","500.6","500.6","500.6","500.6","500.6","500.6","500.6","500.6","500.6","500.6","500.6","500.6","500.6","500.6","500.6"
"1959:Q3","491.3","491.3","491.3","491.3","491.3","491.3","491.3","491.3","491.3","491.3","491.3","491.3","491.3","491.3","491.3","491.3","491.3","491.3","491.3","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","507.2","507.2","507.2","507.2","507.2","507.2","507.2","507.2","507.2","507.2","507.2","507.2","507.2","507.2","507.2","507.2","507.2","507.2","507.2","507.2","507.2","507.2"
"1959:Q4","484.1","484.1","484.1","484.1","484.1","484.1","484.1","484.1","484.1","484.1","484.1","484.1","484.1","484.1","484.1","484.1","484.1","484.1","484.1","484.3","484.3","484.3","484.3","484.3","484.3","484.3","484.3","484.3","484.3","484.3","484.3","484.3","484.3","484.3","484.3","484.3","484.3","484.3","484.3","484.3","484.3","484.3","484.3","502.2","502.2","502.2","502.2","502.2","502.2","502.2","502.2","502.2","502.2","502.2","502.2","502.2","502.2","502.2","502.2","502.2","502.2","502.2","502.2","502.2","502.2"
"1960:Q1","462.2","462.2","462.2","462.2","462.2","462.2","462.2","462.2","462.2","462.2","462.2","462.2","462.2","462.2","462.2","462.2","462.2","462.2","462.2","462.5","462.5","462.5","462.5","462.5","462.5","462.5","462.5","462.5","462.5","462.5","462.5","462.5","462.5","462.5","462.5","462.5","462.5","462.5","462.5","462.5","462.5","462.5","462.5","483.3","483.3","483.3","483.3","483.3","483.3","483.3","483.3","483.3","483.3","483.3","483.3","483.3","483.3","483.3","483.3","483.3","483.3","483.3","483.3","483.3","483.3"
"1960:Q2","460.4","460.4","460.4","460.4","460.4","460.4","460.4","460.4","460.4","460.4","460.4","460.4","460.4","460.4","460.4","460.4","460.4","460.4","460.4","460.8","460.8","460.8","460.8","460.8","460.8","460.8","460.8","460.8","460.8","460.8","460.8","460.8","460.8","460.8","460.8","460.8","460.8","460.8","460.8","460.8","460.8","460.8","460.8","484.2","484.2","484.2","484.2","484.2","484.2","484.2","484.2","484.2","484.2","484.2","484.2","484.2","484.2","484.2","484.2","484.2","484.2","484.2","484.2","484.2","484.2"
"1960:Q3","474.7","474.7","474.7","474.7","474.7","474.7","474.7","474.7","474.7","474.7","474.7","474.7","474.7","474.7","474.7","474.7","474.7","474.7","474.7","475.1","475.1","475.1","475.1","475.1","475.1","475.1","475.1","475.1","475.1","475.1","475.1","475.1","475.1","475.1","475.1","475.1","475.1","475.1","475.1","475.1","475.1","475.1","475.1","499.1","499.1","499.1","499.1","499.1","499.1","499.1","499.1","499.1","499.1","499.1","499.1","499.1","499.1","499.1","499.1","499.1","499.1","499.1","499.1","499.1","499.1"
"1960:Q4","476.4","476.4","476.4","476.4","476.4","476.4","476.4","476.4","476.4","476.4","476.4","476.4","476.4","476.4","476.4","476.4","476.4","476.4","476.4","476.8","476.8","476.8","476.8","476.8","476.8","476.8","476.8","476.8","476.8","476.8","476.8","476.8","476.8","476.8","476.8","476.8","476.8","476.8","476.8","476.8","476.8","476.8","476.8","500.9","500.9","500.9","500.9","500.9","500.9","500.9","500.9","500.9","500.9","500.9","500.9","500.9","500.9","500.9","500.9","500.9","500.9","500.9","500.9","500.9","500.9"
"1961:Q1","475.9","475.9","475.9","475.9","475.9","475.9","475.9","475.9","475.9","475.9","475.9","475.9","475.9","475.9","475.9","475.9","475.9","475.9","475.9","476.2","476.2","476.2","476.2","476.2","476.2","476.2","476.2","476.2","476.2","476.2","476.2","476.2","476.2","476.2","476.2","476.2","476.2","476.2","476.2","476.2","476.2","476.2","476.2","502.5","502.5","502.5","502.5","502.5","502.5","502.5","502.5","502.5","502.5","502.5","502.5","502.5","502.5","502.5","502.5","502.5","502.5","502.5","502.5","502.5","502.5"
"1961:Q2","480.3","480.3","480.3","480.3","480.3","480.3","480.3","480.3","480.3","480.3","480.3","480.3","480.3","480.3","480.3","480.3","480.3","480.3","480.3","480.6","480.6","480.6","480.6","480.6","480.6","480.6","480.6","480.6","480.6","480.6","480.6","480.6","480.6","480.6","480.6","480.6","480.6","480.6","480.6","480.6","480.6","480.6","480.6","506.8","506.8","506.8","506.8","506.8","506.8","506.8","506.8","506.8","506.8","506.8","506.8","506.8","506.8","506.8","506.8","506.8","506.8","506.8","506.8","506.8","506.8"
"1961:Q3","493.8","493.8","493.8","493.8","493.8","493.8","493.8","493.8","493.8","493.8","493.8","493.8","493.8","493.8","493.8","493.8","493.8","493.8","493.8","494.1","494.1","494.1","494.1","494.1","494.1","494.1","494.1","494.1","494.1","494.1","494.1","494.1","494.1","494.1","494.1","494.1","494.1","494.1","494.1","494.1","494.1","494.1","494.1","521.8","521.8","521.8","521.8","521.8","521.8","521.8","521.8","521.8","521.8","521.8","521.8","521.8","521.8","521.8","521.8","521.8","521.8","521.8","521.8","521.8","521.8"
"1961:Q4","502.5","502.5","502.5","502.5","502.5","502.5","502.5","502.5","502.5","502.5","502.5","502.5","502.5","502.5","502.5","502.5","502.5","502.5","502.5","502.8","502.8","502.8","502.8","502.8","502.8","502.8","502.8","502.8","502.8","502.8","502.8","502.8","502.8","502.8","502.8","502.8","502.8","502.8","502.8","502.8","502.8","502.8","502.8","531.4","531.4","531.4","531.4","531.4","531.4","531.4","531.4","531.4","531.4","531.4","531.4","531.4","531.4","531.4","531.4","531.4","531.4","531.4","531.4","531.4","531.4"
"1962:Q1","521.0","521.0","521.0","521.0","521.0","521.0","521.0","521.0","521.0","521.0","521.0","521.0","521.0","521.0","521.0","521.0","521.0","521.0","521.0","521.3","521.3","521.3","521.3","521.3","521.3","521.3","521.3","521.3","521.3","521.3","521.3","521.3","521.3","521.3","521.3","521.3","521.3","521.3","521.3","521.3","521.3","521.3","521.3","551.2","551.2","551.2","551.2","551.2","551.2","551.2","551.2","551.2","551.2","551.2","551.2","551.2","551.2","551.2","551.2","551.2","551.2","551.2","551.2","551.2","551.2"
"1962:Q2","523.1","523.1","523.1","523.1","523.1","523.1","523.1","523.1","523.1","523.1","523.1","523.1","523.1","523.1","523.1","523.1","523.1","523.1","523.1","523.4","523.4","523.4","523.4","523.4","523.4","523.4","523.4","523.4","523.4","523.4","523.4","523.4","523.4","523.4","523.4","523.4","523.4","523.4","523.4","523.4","523.4","523.4","523.4","553.1","553.1","553.1","553.1","553.1","553.1","553.1","553.1","553.1","553.1","553.1","553.1","553.1","553.1","553.1","553.1","553.1","553.1","553.1","553.1","553.1","553.1"
"1962:Q3","538.8","538.8","538.8","538.8","538.8","538.8","538.8","538.8","538.8","538.8","538.8","538.8","538.8","538.8","538.8","538.8","538.8","538.8","538.8","539.2","539.2","539.2","539.2","539.2","539.2","539.2","539.2","539.2","539.2","539.2","539.2","539.2","539.2","539.2","539.2","539.2","539.2","539.2","539.2","539.2","539.2","539.2","539.2","569.7","569.7","569.7","569.7","569.7","569.7","569.7","569.7","569.7","569.7","569.7","569.7","569.7","569.7","569.7","569.7","569.7","569.7","569.7","569.7","569.7","569.7"
"1962:Q4","535.9","535.9","535.9","535.9","535.9","535.9","535.9","535.9","535.9","535.9","535.9","535.9","535.9","535.9","535.9","535.9","535.9","535.9","535.9","536.3","536.3","536.3","536.3","536.3","536.3","536.3","536.3","536.3","536.3","536.3","536.3","536.3","536.3","536.3","536.3","536.3","536.3","536.3","536.3","536.3","536.3","536.3","536.3","572.4","572.4","572.4","572.4","572.4","572.4","572.4","572.4","572.4","572.4","572.4","572.4","572.4","572.4","572.4","572.4","572.4","572.4","572.4","572.4","572.4","572.4"
"1963:Q1","522.9","522.9","522.9","522.9","522.9","522.9","522.9","522.9","522.9","522.9","522.9","522.9","522.9","522.9","522.9","522.9","522.9","522.9","522.9","523.3","523.3","523.3","523.3","523.3","523.3","523.3","523.3","523.3","523.3","523.3","523.3","523.3","523.3","523.3","523.3","523.3","523.3","523.3","523.3","523.3","523.3","523.3","523.3","552.9","552.9","552.9","552.9","552.9","552.9","552.9","552.9","552.9","552.9","552.9","552.9","552.9","552.9","552.9","552.9","552.9","552.9","552.9","552.9","552.9","552.9"
"1963:Q2","518.1","518.1","518.1","518.1","518.1","518.1","518.1","518.1","518.1","518.1","518.1","518.1","518.1","518.1","518.1","518.1","518.1","518.1","518.1","518.4","518.4","518.4","518.4","518.4","518.4","518.4","518.4","518.4","518.4","518.4","518.4","518.4","518.4","518.4","518.4","518.4","518.4","518.4","518.4","518.4","518.4","518.4","518.4","550.4","550.4","550.4","550.4","550.4","550.4","550.4","550.4","550.4","550.4","550.4","550.4","550.4","550.4","550.4","550.4","550.4","550.4","550.4","550.4","550.4","550.4"
"1963:Q3","546.9","546.9","546.9","546.9","546.9","546.9","546.9","546.9","546.9","546.9","546.9","546.9","546.9","546.9","546.9","546.9","546.9","546.9","546.9","547.2","547.2","547.2","547.2","547.2","547.2","547.2","547.2","547.2","547.2","547.2","547.2","547.2","547.2","547.2","547.2","547.2","547.2","547.2","547.2","547.2","547.2","547.2","547.2","581.6","581.6","581.6","581.6","581.6","581.6","581.6","581.6","581.6","581.6","581.6","581.6","581.6","581.6","581.6","581.6","581.6","581.6","581.6","581.6","581.6","581.6"
"1963:Q4","532.4","532.4","532.4","532.4","532.4","532.4","532.4","532.4","532.4","532.4","532.4","532.4","532.4","532.4","532.4","532.4","532.4","532.4","532.4","532.6","532.6","532.6","532.6","532.6","532.6","532.6","532.6","532.6","532.6","532.6","532.6","532.6","532.6","532.6","532.6","532.6","532.6","532.6","532.6","532.6","532.6","532.6","532.6","566.6","566.6","566.6","566.6","566.6","566.6","566.6","566.6","566.6","566.6","566.6","566.6","566.6","566.6","566.6","566.6","566.6","566.6","566.6","566.6","566.6","566.6"
"1964:Q1","529.7","529.7","529.7","529.7","529.7","529.7","529.7","529.7","529.7","529.7","529.7","529.7","529.7","529.7","529.7","529.7","529.7","529.7","529.7","529.9","529.9","529.9","529.9","529.9","529.9","529.9","529.9","529.9","529.9","529.9","529.9","529.9","529.9","529.9","529.9","529.9","529.9","529.9","529.9","529.9","529.9","529.9","529.9","563.8","563.8","563.8","563.8","563.8","563.8","563.8","563.8","563.8","563.8","563.8","563.8","563.8","563.8","563.8","563.8","563.8","563.8","563.8","563.8","563.8","563.8"
"1964:Q2","526.2","526.2","526.2","526.2","526.2","526.2","526.2","526.2","526.2","526.2","526.2","526.2","526.2","526.2","526.2","526.2","526.2","526.2","526.2","526.4","526.4","526.4","526.4","526.4","526.4","526.4","526.4","526.4","526.4","526.4","526.4","526.4","526.4","526.4","526.4","526.4","526.4","526.4","526.4","526.4","526.4","526.4","526.4","563.5","563.5","563.5","563.5","563.5","563.5","563.5","563.5","563.5","563.5","563.5","563.5","563.5","563.5","563.5","563.5","563.5","563.5","563.5","563.5","563.5","563.5"
"1964:Q3","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.3","522.3","522.3","522.3","522.3","522.3","522.3","522.3","522.3","522.3","522.3","522.3","522.3","522.3","522.3","522.3","522.3","522.3","522.3","522.3","522.3","522.3","522.3","522.3","560.4","560.4","560.4","560.4","560.4","560.4","560.4","560.4","560.4","560.4","560.4","560.4","560.4","560.4","560.4","560.4","560.4","560.4","560.4","560.4","560.4","560.4"
"1964:Q4","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.6","514.9","514.9","514.9","514.9","514.9","514.9","514.9","514.9","514.9","514.9","514.9","514.9","514.9","514.9","514.9","514.9","514.9","514.9","514.9","514.9","514.9","514.9","514.9","514.9","555.7","555.7","555.7","555.7","555.7","555.7","555.7","555.7","555.7","555.7","555.7","555.7","555.7","555.7","555.7","555.7","555.7","555.7","555.7","555.7","555.7","555.7"
"1965:Q1","508.0","508.0","508.0","508.0","508.0","508.0","508.0","508.0","508.0","508.0","508.0","508.0","508.0","508.0","508.0","508.0","508.0","508.0","508.0","508.4","508.4","508.4","508.4","508.4","508.4","508.4","508.4","508.4","508.4","508.4","508.4","508.4","508.4","508.4","508.4","508.4","508.4","508.4","508.4","508.4","508.4","508.4","508.4","550.9","550.9","550.9","550.9","550.9","550.9","550.9","550.9","550.9","550.9","550.9","550.9","550.9","550.9","550.9","550.9","550.9","550.9","550.9","550.9","550.9","550.9"
"1965:Q2","508.9","508.9","508.9","508.9","508.9","508.9","508.9","508.9","508.9","508.9","508.9","508.9","508.9","508.9","508.9","508.9","508.9","508.9","508.9","509.4","509.4","509.4","509.4","509.4","509.4","509.4","509.4","509.4","509.4","509.4","509.4","509.4","509.4","509.4","509.4","509.4","509.4","509.4","509.4","509.4","509.4","509.4","509.4","552.0","552.0","552.0","552.0","552.0","552.0","552.0","552.0","552.0","552.0","552.0","552.0","552.0","552.0","552.0","552.0","552.0","552.0","552.0","552.0","552.0","552.0"
"1965:Q3","529.4","529.4","529.4","529.4","529.4","529.4","529.4","529.4","529.4","529.4","529.4","529.4","529.4","529.4","529.4","529.4","529.4","529.4","529.4","530.0","530.0","530.0","530.0","530.0","530.0","530.0","530.0","530.0","530.0","530.0","530.0","530.0","530.0","530.0","530.0","530.0","530.0","530.0","530.0","530.0","530.0","530.0","530.0","572.4","572.4","572.4","572.4","572.4","572.4","572.4","572.4","572.4","572.4","572.4","572.4","572.4","572.4","572.4","572.4","572.4","572.4","572.4","572.4","572.4","572.4"
"1965:Q4","544.1","544.1","544.1","544.1","544.1","544.1","544.1","544.1","544.1","544.1","544.1","544.1","544.1","544.1","544.1","544.1","544.1","544.1","544.1","544.7","544.7","544.7","544.7","544.7","544.7","544.7","544.7","544.7","544.7","544.7","544.7","544.7","544.7","544.7","544.7","544.7","544.7","544.7","544.7","544.7","544.7","544.7","544.7","585.3","585.3","585.3","585.3","585.3","585.3","585.3","585.3","585.3","585.3","585.3","585.3","585.3","585.3","585.3","585.3","585.3","585.3","585.3","585.3","585.3","585.3"
"1966:Q1","556.6","556.6","556.6","556.6","556.6","556.6","556.6","556.6","556.6","556.6","556.6","556.6","556.6","556.6","556.6","556.6","556.6","556.6","556.6","557.1","557.1","557.1","557.1","557.1","557.1","557.1","557.1","557.1","557.1","557.1","557.1","557.1","557.1","557.1","557.1","557.1","557.1","557.1","557.1","557.1","557.1","557.1","557.1","599.2","599.2","599.2","599.2","599.2","599.2","599.2","599.2","599.2","599.2","599.2","599.2","599.2","599.2","599.2","599.2","599.2","599.2","599.2","599.2","599.2","599.2"
"1966:Q2","571.4","571.4","571.4","571.4","571.4","571.4","571.4","571.4","571.4","571.4","571.4","571.4","571.4","571.4","571.4","571.4","571.4","571.4","571.4","571.9","571.9","571.9","571.9","571.9","571.9","571.9","571.9","571.9","571.9","571.9","571.9","571.9","571.9","571.9","571.9","571.9","571.9","571.9","571.9","571.9","571.9","571.9","571.9","615.6","615.6","615.6","615.6","615.6","615.6","615.6","615.6","615.6","615.6","615.6","615.6","615.6","615.6","615.6","615.6","615.6","615.6","615.6","615.6","615.6","615.6"
"1966:Q3","594.5","594.5","594.5","594.5","594.5","594.5","594.5","594.5","594.5","594.5","594.5","594.5","594.5","594.5","594.5","594.5","594.5","594.5","594.5","595.0","595.0","595.0","595.0","595.0","595.0","595.0","595.0","595.0","595.0","595.0","595.0","595.0","595.0","595.0","595.0","595.0","595.0","595.0","595.0","595.0","595.0","595.0","595.0","639.6","639.6","639.6","639.6","639.6","639.6","639.6","639.6","639.6","639.6","639.6","639.6","639.6","639.6","639.6","639.6","639.6","639.6","639.6","639.6","639.6","639.6"
"1966:Q4","599.5","599.5","599.5","599.5","599.5","599.5","599.5","599.5","599.5","599.5","599.5","599.5","599.5","599.5","599.5","599.5","599.5","599.5","599.5","600.0","600.0","600.0","600.0","600.0","600.0","600.0","600.0","600.0","600.0","600.0","600.0","600.0","600.0","600.0","600.0","600.0","600.0","600.0","600.0","600.0","600.0","600.0","600.0","646.9","646.9","646.9","646.9","646.9","646.9","646.9","646.9","646.9","646.9","646.9","646.9","646.9","646.9","646.9","646.9","646.9","646.9","646.9","646.9","646.9","646.9"
"1967:Q1","640.7","640.7","640.7","640.7","640.7","640.7","640.7","640.7","640.7","640.7","640.7","640.7","640.7","640.7","640.7","640.7","640.7","640.7","640.7","641.1","641.1","641.1","641.1","641.1","641.1","641.1","641.1","641.1","641.1","641.1","641.1","641.1","641.1","641.1","641.1","641.1","641.1","641.1","641.1","641.1","641.1","641.1","641.1","688.5","688.5","688.5","688.5","688.5","688.5","688.5","688.5","688.5","688.5","688.5","688.5","688.5","688.5","688.5","688.5","688.5","688.5","688.5","688.5","688.5","688.5"
"1967:Q2","631.4","631.4","631.4","631.4","631.4","631.4","631.4","631.4","631.4","631.4","631.4","631.4","631.4","631.4","631.4","631.4","631.4","631.4","631.4","631.8","631.8","631.8","631.8","631.8","631.8","631.8","631.8","631.8","631.8","631.8","631.8","631.8","631.8","631.8","631.8","631.8","631.8","631.8","631.8","631.8","631.8","631.8","631.8","681.1","681.1","681.1","681.1","681.1","681.1","681.1","681.1","681.1","681.1","681.1","681.1","681.1","681.1","681.1","681.1","681.1","681.1","681.1","681.1","681.1","681.1"
"1967:Q3","641.5","641.5","641.5","641.5","641.5","641.5","641.5","641.5","641.5","641.5","641.5","641.5","641.5","641.5","641.5","641.5","641.5","641.5","641.5","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","692.4","692.4","692.4","692.4","692.4","692.4","692.4","692.4","692.4","692.4","692.4","692.4","692.4","692.4","692.4","692.4","692.4","692.4","692.4","692.4","692.4","692.4"
"1967:Q4","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.5","640.5","640.5","640.5","640.5","640.5","640.5","640.5","640.5","640.5","640.5","640.5","640.5","640.5","640.5","640.5","640.5","640.5","640.5","640.5","640.5","640.5","640.5","640.5","692.9","692.9","692.9","692.9","692.9","692.9","692.9","692.9","692.9","692.9","692.9","692.9","692.9","692.9","692.9","692.9","692.9","692.9","692.9","692.9","692.9","692.9"
"1968:Q1","651.4","651.4","651.4","651.4","651.4","651.4","651.4","651.4","651.4","651.4","651.4","651.4","651.4","651.4","651.4","651.4","651.4","651.4","651.4","651.7","651.7","651.7","651.7","651.7","651.7","651.7","651.7","651.7","651.7","651.7","651.7","651.7","651.7","651.7","651.7","651.7","651.7","651.7","651.7","651.7","651.7","651.7","651.7","705.0","705.0","705.0","705.0","705.0","705.0","705.0","705.0","705.0","705.0","705.0","705.0","705.0","705.0","705.0","705.0","705.0","705.0","705.0","705.0","705.0","705.0"
"1968:Q2","646.1","646.1","646.1","646.1","646.1","646.1","646.1","646.1","646.1","646.1","646.1","646.1","646.1","646.1","646.1","646.1","646.1","646.1","646.1","646.5","646.5","646.5","646.5","646.5","646.5","646.5","646.5","646.5","646.5","646.5","646.5","646.5","646.5","646.5","646.5","646.5","646.5","646.5","646.5","646.5","646.5","646.5","646.5","701.2","701.2","701.2","701.2","701.2","701.2","701.2","701.2","701.2","701.2","701.2","701.2","701.2","701.2","701.2","701.2","701.2","701.2","701.2","701.2","701.2","701.2"
"1968:Q3","640.6","640.6","640.6","640.6","640.6","640.6","640.6","640.6","640.6","640.6","640.6","640.6","640.6","640.6","640.6","640.6","640.6","640.6","640.6","640.9","640.9","640.9","640.9","640.9","640.9","640.9","640.9","640.9","640.9","640.9","640.9","640.9","640.9","640.9","640.9","640.9","640.9","640.9","640.9","640.9","640.9","640.9","640.9","697.4","697.4","697.4","697.4","697.4","697.4","697.4","697.4","697.4","697.4","697.4","697.4","697.4","697.4","697.4","697.4","697.4","697.4","697.4","697.4","697.4","697.4"
"1968:Q4","636.7","636.7","636.7","636.7","636.7","636.7","636.7","636.7","636.7","636.7","636.7","636.7","636.7","636.7","636.7","636.7","636.7","636.7","636.7","637.0","637.0","637.0","637.0","637.0","637.0","637.0","637.0","637.0","637.0","637.0","637.0","637.0","637.0","637.0","637.0","637.0","637.0","637.0","637.0","637.0","637.0","637.0","637.0","694.0","694.0","694.0","694.0","694.0","694.0","694.0","694.0","694.0","694.0","694.0","694.0","694.0","694.0","694.0","694.0","694.0","694.0","694.0","694.0","694.0","694.0"
"1969:Q1","633.2","633.2","633.2","633.2","633.2","633.2","633.2","633.2","633.2","633.2","633.2","633.2","633.2","633.2","633.2","633.2","633.2","633.2","633.2","633.4","633.4","633.4","633.4","633.4","633.4","633.4","633.4","633.4","633.4","633.4","633.4","633.4","633.4","633.4","633.4","633.4","633.4","633.4","633.4","633.4","633.4","633.4","633.4","692.0","692.0","692.0","692.0","692.0","692.0","692.0","692.0","692.0","692.0","692.0","692.0","692.0","692.0","692.0","692.0","692.0","692.0","692.0","692.0","692.0","692.0"
"1969:Q2","623.2","623.2","623.2","623.2","623.2","623.2","623.2","623.2","623.2","623.2","623.2","623.2","623.2","623.2","623.2","623.2","623.2","623.2","623.2","623.3","623.3","623.3","623.3","623.3","623.3","623.3","623.3","623.3","623.3","623.3","623.3","623.3","623.3","623.3","623.3","623.3","623.3","623.3","623.3","623.3","623.3","623.3","623.3","683.3","683.3","683.3","683.3","683.3","683.3","683.3","683.3","683.3","683.3","683.3","683.3","683.3","683.3","683.3","683.3","683.3","683.3","683.3","683.3","683.3","683.3"
"1969:Q3","623.6","623.6","623.6","623.6","623.6","623.6","623.6","623.6","623.6","623.6","623.6","623.6","623.6","623.6","623.6","623.6","623.6","623.6","623.6","623.8","623.8","623.8","623.8","623.8","623.8","623.8","623.8","623.8","623.8","623.8","623.8","623.8","623.8","623.8","623.8","623.8","623.8","623.8","623.8","623.8","623.8","623.8","623.8","684.7","684.7","684.7","684.7","684.7","684.7","684.7","684.7","684.7","684.7","684.7","684.7","684.7","684.7","684.7","684.7","684.7","684.7","684.7","684.7","684.7","684.7"
"1969:Q4","606.9","606.9","606.9","606.9","606.9","606.9","606.9","606.9","606.9","606.9","606.9","606.9","606.9","606.9","606.9","606.9","606.9","606.9","606.9","607.1","607.1","607.1","607.1","607.1","607.1","607.1","607.1","607.1","607.1","607.1","607.1","607.1","607.1","607.1","607.1","607.1","607.1","607.1","607.1","607.1","607.1","607.1","607.1","669.2","669.2","669.2","669.2","669.2","669.2","669.2","669.2","669.2","669.2","669.2","669.2","669.2","669.2","669.2","669.2","669.2","669.2","669.2","669.2","669.2","669.2"
"1970:Q1","594.9","594.9","594.9","594.9","594.9","594.9","594.9","594.9","594.9","594.9","594.9","594.9","594.9","594.9","594.9","594.9","594.9","594.9","594.9","595.1","595.1","595.1","595.1","595.1","595.1","595.1","595.1","595.1","595.1","595.1","595.1","595.1","595.1","595.1","595.1","595.1","595.1","595.1","595.1","595.1","595.1","595.1","595.1","657.9","657.9","657.9","657.9","657.9","657.9","657.9","657.9","657.9","657.9","657.9","657.9","657.9","657.9","657.9","657.9","657.9","657.9","657.9","657.9","657.9","657.9"
"1970:Q2","576.3","576.3","576.3","576.3","576.3","576.3","576.3","576.3","576.3","576.3","576.3","576.3","576.3","576.3","576.3","576.3","576.3","576.3","576.3","576.4","576.4","576.4","576.4","576.4","576.4","576.4","576.4","576.4","576.4","576.4","576.4","576.4","576.4","576.4","576.4","576.4","576.4","576.4","576.4","576.4","576.4","576.4","576.4","640.7","640.7","640.7","640.7","640.7","640.7","640.7","640.7","640.7","640.7","640.7","640.7","640.7","640.7","640.7","640.7","640.7","640.7","640.7","640.7","640.7","640.7"
"1970:Q3","567.7","567.7","567.7","567.7","567.7","567.7","567.7","567.7","567.7","567.7","567.7","567.7","567.7","567.7","567.7","567.7","567.7","567.7","567.7","567.9","567.9","567.9","567.9","567.9","567.9","567.9","567.9","567.9","567.9","567.9","567.9","567.9","567.9","567.9","567.9","567.9","567.9","567.9","567.9","567.9","567.9","567.9","567.9","632.9","632.9","632.9","632.9","632.9","632.9","632.9","632.9","632.9","632.9","632.9","632.9","632.9","632.9","632.9","632.9","632.9","632.9","632.9","632.9","632.9","632.9"
