"DATE","RCOND65Q4","RCOND66Q1","RCOND66Q2","RCOND66Q3","RCOND66Q4","RCOND67Q1","RCOND67Q2","RCOND67Q3","RCOND67Q4","RCOND68Q1","RCOND68Q2","RCOND68Q3","RCOND68Q4","RCOND69Q1","RCOND69Q2","RCOND69Q3","RCOND69Q4","RCOND70Q1","RCOND70Q2","RCOND70Q3","RCOND70Q4","RCOND71Q1","RCOND71Q2","RCOND71Q3","RCOND71Q4","RCOND72Q1","RCOND72Q2","RCOND72Q3","RCOND72Q4","RCOND73Q1","RCOND73Q2","RCOND73Q3","RCOND73Q4","RCOND74Q1","RCOND74Q2","RCOND74Q3","RCOND74Q4","RCOND75Q1","RCOND75Q2","RCOND75Q3","RCOND75Q4","RCOND76Q1","RCOND76Q2","RCOND76Q3","RCOND76Q4","RCOND77Q1","RCOND77Q2","RCOND77Q3","RCOND77Q4","RCOND78Q1","RCOND78Q2","RCOND78Q3","RCOND78Q4","RCOND79Q1","RCOND79Q2","RCOND79Q3","RCOND79Q4","RCOND80Q1","RCOND80Q2","RCOND80Q3","RCOND80Q4","RCOND81Q1","RCOND81Q2","RCOND81Q3","RCOND81Q4","RCOND82Q1","RCOND82Q2","RCOND82Q3","RCOND82Q4","RCOND83Q1","RCOND83Q2","RCOND83Q3","RCOND83Q4","RCOND84Q1","RCOND84Q2","RCOND84Q3","RCOND84Q4","RCOND85Q1","RCOND85Q2","RCOND85Q3","RCOND85Q4","RCOND86Q1","RCOND86Q2","RCOND86Q3","RCOND86Q4","RCOND87Q1","RCOND87Q2","RCOND87Q3","RCOND87Q4","RCOND88Q1","RCOND88Q2","RCOND88Q3","RCOND88Q4","RCOND89Q1","RCOND89Q2","RCOND89Q3","RCOND89Q4","RCOND90Q1","RCOND90Q2","RCOND90Q3","RCOND90Q4","RCOND91Q1","RCOND91Q2","RCOND91Q3","RCOND91Q4","RCOND92Q1","RCOND92Q2","RCOND92Q3","RCOND92Q4","RCOND93Q1","RCOND93Q2","RCOND93Q3","RCOND93Q4","RCOND94Q1","RCOND94Q2","RCOND94Q3","RCOND94Q4","RCOND95Q1","RCOND95Q2","RCOND95Q3","RCOND95Q4","RCOND96Q1","RCOND96Q2","RCOND96Q3","RCOND96Q4","RCOND97Q1","RCOND97Q2","RCOND97Q3","RCOND97Q4","RCOND98Q1","RCOND98Q2","RCOND98Q3","RCOND98Q4","RCOND99Q1","RCOND99Q2","RCOND99Q3","RCOND99Q4","RCOND00Q1","RCOND00Q2","RCOND00Q3","RCOND00Q4","RCOND01Q1","RCOND01Q2","RCOND01Q3","RCOND01Q4","RCOND02Q1","RCOND02Q2","RCOND02Q3","RCOND02Q4","RCOND03Q1","RCOND03Q2","RCOND03Q3","RCOND03Q4","RCOND04Q1","RCOND04Q2","RCOND04Q3","RCOND04Q4","RCOND05Q1","RCOND05Q2","RCOND05Q3","RCOND05Q4","RCOND06Q1","RCOND06Q2","RCOND06Q3","RCOND06Q4","RCOND07Q1","RCOND07Q2","RCOND07Q3","RCOND07Q4","RCOND08Q1","RCOND08Q2","RCOND08Q3","RCOND08Q4","RCOND09Q1","RCOND09Q2","RCOND09Q3","RCOND09Q4","RCOND10Q1","RCOND10Q2","RCOND10Q3","RCOND10Q4","RCOND11Q1","RCOND11Q2","RCOND11Q3","RCOND11Q4","RCOND12Q1","RCOND12Q2","RCOND12Q3","RCOND12Q4","RCOND13Q1","RCOND13Q2","RCOND13Q3","RCOND13Q4","RCOND14Q1","RCOND14Q2","RCOND14Q3","RCOND14Q4","RCOND15Q1","RCOND15Q2"
"1955:Q1","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","49.2","49.2","49.2","49.2","49.2","49.2","49.2","49.2","49.2","49.2","49.2","49.2","49.2","49.2","49.2","49.2","49.2","49.2","49.2","49.2","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","#N/A","#N/A","#N/A","#N/A","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","#N/A","#N/A","#N/A","#N/A","#N/A","97.5","97.5","97.5","97.5","97.5","97.5","97.5","97.5","97.5","97.5","#N/A","#N/A","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.8","83.8","83.8","83.8","83.8","83.8","83.8","83.8","78.0","78.0","78.0","78.0","78.0","78.0","78.0","78.0"
"1955:Q2","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","52.4","52.4","52.4","52.4","52.4","52.4","52.4","52.4","52.4","52.4","52.4","52.4","52.4","52.4","52.4","52.4","52.4","52.4","52.4","52.4","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","97.2","97.2","97.2","97.2","97.2","97.2","97.2","97.2","97.2","97.2","97.2","97.2","97.2","97.2","97.2","97.2","97.2","97.2","97.2","97.2","97.2","97.2","97.2","97.2","#N/A","#N/A","#N/A","#N/A","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","#N/A","#N/A","#N/A","#N/A","#N/A","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","#N/A","#N/A","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","82.2","82.2","82.2","82.2","82.2","82.2","82.2","82.2"
"1955:Q3","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","53.9","53.9","53.9","53.9","53.9","53.9","53.9","53.9","53.9","53.9","53.9","53.9","53.9","53.9","53.9","53.9","53.9","53.9","53.9","53.9","52.7","52.7","52.7","52.7","52.7","52.7","52.7","52.7","52.7","52.7","52.7","52.7","52.7","52.7","52.7","52.7","52.7","52.7","52.7","52.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","#N/A","#N/A","#N/A","#N/A","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6","#N/A","#N/A","#N/A","#N/A","#N/A","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","#N/A","#N/A","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","97.2","97.2","97.2","97.2","97.2","97.2","97.2","97.2","97.2","97.2","97.2","97.2","97.2","97.2","97.2","97.2","97.2","97.2","97.2","97.2","97.2","97.2","91.3","91.3","91.3","91.3","91.3","91.3","91.3","91.3","91.2","91.2","91.2","91.2","91.2","91.2","91.2","91.2","84.9","84.9","84.9","84.9","84.9","84.9","84.9","84.9"
"1955:Q4","43.7","43.7","43.7","43.7","43.7","43.7","43.7","43.7","43.7","43.7","43.7","43.7","43.7","43.7","43.7","43.7","43.7","43.7","43.7","43.7","43.7","43.7","43.7","43.7","43.7","43.7","43.7","43.7","43.7","43.7","43.7","43.7","43.7","43.7","43.7","43.7","43.7","43.7","43.7","43.7","43.7","53.3","53.3","53.3","53.3","53.3","53.3","53.3","53.3","53.3","53.3","53.3","53.3","53.3","53.3","53.3","53.3","53.3","53.3","53.3","53.3","52.2","52.2","52.2","52.2","52.2","52.2","52.2","52.2","52.2","52.2","52.2","52.2","52.2","52.2","52.2","52.2","52.2","52.2","52.2","52.2","99.2","99.2","99.2","99.2","99.2","99.2","99.2","99.2","99.2","99.2","99.2","99.2","99.2","99.2","99.2","99.2","99.2","99.2","99.2","99.2","99.2","99.2","99.2","99.2","#N/A","#N/A","#N/A","#N/A","118.2","118.2","118.2","118.2","118.2","118.2","118.2","118.2","118.2","118.2","118.2","118.2","#N/A","#N/A","#N/A","#N/A","#N/A","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","#N/A","#N/A","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","88.9","88.9","88.9","88.9","88.9","88.9","88.9","88.9","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","82.7","82.7","82.7","82.7","82.7","82.7","82.7","82.7"
"1956:Q1","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","#N/A","#N/A","#N/A","#N/A","111.2","111.2","111.2","111.2","111.2","111.2","111.2","111.2","111.2","111.2","111.2","111.2","#N/A","#N/A","#N/A","#N/A","#N/A","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","#N/A","#N/A","97.8","97.8","97.8","97.8","97.8","97.8","97.8","97.8","97.8","97.8","97.8","97.8","97.8","97.8","97.8","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","84.8","84.8","84.8","84.8","84.8","84.8","84.8","84.8","84.7","84.7","84.7","84.7","84.7","84.7","84.7","84.7","78.9","78.9","78.9","78.9","78.9","78.9","78.9","78.9"
"1956:Q2","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","#N/A","#N/A","#N/A","#N/A","109.2","109.2","109.2","109.2","109.2","109.2","109.2","109.2","109.2","109.2","109.2","109.2","#N/A","#N/A","#N/A","#N/A","#N/A","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","#N/A","#N/A","98.0","98.0","98.0","98.0","98.0","98.0","98.0","98.0","98.0","98.0","98.0","98.0","98.0","98.0","98.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","84.9","84.9","84.9","84.9","84.9","84.9","84.9","84.9","79.0","79.0","79.0","79.0","79.0","79.0","79.0","79.0"
"1956:Q3","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","49.2","49.2","49.2","49.2","49.2","49.2","49.2","49.2","49.2","49.2","49.2","49.2","49.2","49.2","49.2","49.2","49.2","49.2","49.2","49.2","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","91.9","91.9","91.9","91.9","91.9","91.9","91.9","91.9","91.9","91.9","91.9","91.9","91.9","91.9","91.9","91.9","91.9","91.9","91.9","91.9","91.9","91.9","91.9","91.9","#N/A","#N/A","#N/A","#N/A","108.5","108.5","108.5","108.5","108.5","108.5","108.5","108.5","108.5","108.5","108.5","108.5","#N/A","#N/A","#N/A","#N/A","#N/A","96.7","96.7","96.7","96.7","96.7","96.7","96.7","96.7","96.7","96.7","#N/A","#N/A","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","83.5","83.5","83.5","83.5","83.5","83.5","83.5","83.5","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","77.6","77.6","77.6","77.6","77.6","77.6","77.6","77.6"
"1956:Q4","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","48.8","48.8","48.8","48.8","48.8","48.8","48.8","48.8","48.8","48.8","48.8","48.8","48.8","48.8","48.8","48.8","48.8","48.8","48.8","48.8","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","#N/A","#N/A","#N/A","#N/A","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","#N/A","#N/A","#N/A","#N/A","#N/A","99.3","99.3","99.3","99.3","99.3","99.3","99.3","99.3","99.3","99.3","#N/A","#N/A","99.3","99.3","99.3","99.3","99.3","99.3","99.3","99.3","99.3","99.3","99.3","99.3","99.3","99.3","99.3","91.2","91.2","91.2","91.2","91.2","91.2","91.2","91.2","91.2","91.2","91.2","91.2","91.2","91.2","91.2","91.2","91.2","91.2","91.2","91.2","91.2","91.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","80.1","80.1","80.1","80.1","80.1","80.1","80.1","80.1"
"1957:Q1","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","94.8","94.8","94.8","94.8","94.8","94.8","94.8","94.8","94.8","94.8","94.8","94.8","94.8","94.8","94.8","94.8","94.8","94.8","94.8","94.8","94.8","94.8","94.8","94.8","#N/A","#N/A","#N/A","#N/A","111.6","111.6","111.6","111.6","111.6","111.6","111.6","111.6","111.6","111.6","111.6","111.6","#N/A","#N/A","#N/A","#N/A","#N/A","101.3","101.3","101.3","101.3","101.3","101.3","101.3","101.3","101.3","101.3","#N/A","#N/A","101.3","101.3","101.3","101.3","101.3","101.3","101.3","101.3","101.3","101.3","101.3","101.3","101.3","101.3","101.3","93.1","93.1","93.1","93.1","93.1","93.1","93.1","93.1","93.1","93.1","93.1","93.1","93.1","93.1","93.1","93.1","93.1","93.1","93.1","93.1","93.1","93.1","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","81.6","81.6","81.6","81.6","81.6","81.6","81.6","81.6"
"1957:Q2","41.5","41.5","41.5","41.5","41.5","41.5","41.5","41.5","41.5","41.5","41.5","41.5","41.5","41.5","41.5","41.5","41.5","41.5","41.5","41.5","41.5","41.5","41.5","41.5","41.5","41.5","41.5","41.5","41.5","41.5","41.5","41.5","41.5","41.5","41.5","41.5","41.5","41.5","41.5","41.5","41.5","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","48.8","48.8","48.8","48.8","48.8","48.8","48.8","48.8","48.8","48.8","48.8","48.8","48.8","48.8","48.8","48.8","48.8","48.8","48.8","48.8","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","#N/A","#N/A","#N/A","#N/A","109.3","109.3","109.3","109.3","109.3","109.3","109.3","109.3","109.3","109.3","109.3","109.3","#N/A","#N/A","#N/A","#N/A","#N/A","98.8","98.8","98.8","98.8","98.8","98.8","98.8","98.8","98.8","98.8","#N/A","#N/A","98.7","98.7","98.7","98.7","98.7","98.7","98.7","98.7","98.7","98.7","98.7","98.7","98.7","98.7","98.7","90.7","90.7","90.7","90.7","90.7","90.7","90.7","90.7","90.7","90.7","90.7","90.7","90.7","90.7","90.7","90.7","90.7","90.7","90.7","90.7","90.7","90.7","85.7","85.7","85.7","85.7","85.7","85.7","85.7","85.7","85.6","85.6","85.6","85.6","85.6","85.6","85.6","85.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6"
"1957:Q3","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","#N/A","#N/A","#N/A","#N/A","106.8","106.8","106.8","106.8","106.8","106.8","106.8","106.8","106.8","106.8","106.8","106.8","#N/A","#N/A","#N/A","#N/A","#N/A","98.0","98.0","98.0","98.0","98.0","98.0","98.0","98.0","98.0","98.0","#N/A","#N/A","97.9","97.9","97.9","97.9","97.9","97.9","97.9","97.9","97.9","97.9","97.9","97.9","97.9","97.9","97.9","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","85.1","85.1","85.1","85.1","85.1","85.1","85.1","85.1","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1"
"1957:Q4","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","47.9","47.9","47.9","47.9","47.9","47.9","47.9","47.9","47.9","47.9","47.9","47.9","47.9","47.9","47.9","47.9","47.9","47.9","47.9","47.9","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","#N/A","#N/A","#N/A","#N/A","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","#N/A","#N/A","#N/A","#N/A","#N/A","97.1","97.1","97.1","97.1","97.1","97.1","97.1","97.1","97.1","97.1","#N/A","#N/A","96.7","96.7","96.7","96.7","96.7","96.7","96.7","96.7","96.7","96.7","96.7","96.7","96.7","96.7","96.7","88.9","88.9","88.9","88.9","88.9","88.9","88.9","88.9","88.9","88.9","88.9","88.9","88.9","88.9","88.9","88.9","88.9","88.9","88.9","88.9","88.9","88.9","84.1","84.1","84.1","84.1","84.1","84.1","84.1","84.1","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","78.2","78.2","78.2","78.2","78.2","78.2","78.2","78.2"
"1958:Q1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","46.1","46.1","46.1","46.1","46.1","46.1","46.1","46.1","46.1","46.1","46.1","46.1","46.1","46.1","46.1","46.1","46.1","46.1","46.1","46.1","45.1","45.1","45.1","45.1","45.1","45.1","45.1","45.1","45.1","45.1","45.1","45.1","45.1","45.1","45.1","45.1","45.1","45.1","45.1","45.1","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","#N/A","#N/A","#N/A","#N/A","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","#N/A","#N/A","#N/A","#N/A","#N/A","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","#N/A","#N/A","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.9","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.4","78.4","78.4","78.4","78.4","78.4","78.4","78.4","73.0","73.0","73.0","73.0","73.0","73.0","73.0","73.0"
"1958:Q2","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","44.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","#N/A","#N/A","#N/A","#N/A","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","#N/A","#N/A","#N/A","#N/A","#N/A","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","#N/A","#N/A","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","81.4","81.4","81.4","81.4","81.4","81.4","81.4","81.4","81.4","81.4","81.4","81.4","81.4","81.4","81.4","81.4","81.4","81.4","81.4","81.4","81.4","81.4","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","71.8","71.8","71.8","71.8","71.8","71.8","71.8","71.8"
