"DATE","RG80M1","RG80M2","RG80M3","RG80M4","RG80M5","RG80M6","RG80M7","RG80M8","RG80M9","RG80M10","RG80M11","RG80M12","RG81M1","RG81M2","RG81M3","RG81M4","RG81M5","RG81M6","RG81M7","RG81M8","RG81M9","RG81M10","RG81M11","RG81M12","RG82M1","RG82M2","RG82M3","RG82M4","RG82M5","RG82M6","RG82M7","RG82M8","RG82M9","RG82M10","RG82M11","RG82M12","RG83M1","RG83M2","RG83M3","RG83M4","RG83M5","RG83M6","RG83M7","RG83M8","RG83M9","RG83M10","RG83M11","RG83M12","RG84M1","RG84M2","RG84M3","RG84M4","RG84M5","RG84M6","RG84M7","RG84M8","RG84M9","RG84M10","RG84M11","RG84M12","RG85M1","RG85M2","RG85M3","RG85M4","RG85M5","RG85M6","RG85M7","RG85M8","RG85M9","RG85M10","RG85M11","RG85M12","RG86M1","RG86M2","RG86M3","RG86M4","RG86M5","RG86M6","RG86M7","RG86M8","RG86M9","RG86M10","RG86M11","RG86M12","RG87M1","RG87M2","RG87M3","RG87M4","RG87M5","RG87M6","RG87M7","RG87M8","RG87M9","RG87M10","RG87M11","RG87M12","RG88M1","RG88M2","RG88M3","RG88M4","RG88M5","RG88M6","RG88M7","RG88M8","RG88M9","RG88M10","RG88M11","RG88M12","RG89M1","RG89M2","RG89M3","RG89M4","RG89M5","RG89M6","RG89M7","RG89M8","RG89M9","RG89M10","RG89M11","RG89M12"
"1947:Q1","74.5","74.5","74.5","74.5","74.5","74.5","74.5","74.5","74.5","74.5","74.5","74.5","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9"
"1947:Q2","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4"
"1947:Q3","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3"
"1947:Q4","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7"
"1948:Q1","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6"
"1948:Q2","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3"
"1948:Q3","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1"
"1948:Q4","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2"
"1949:Q1","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6"
"1949:Q2","96.4","96.4","96.4","96.4","96.4","96.4","96.4","96.4","96.4","96.4","96.4","96.4","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6"
