"DATE","NCONSHHM09M8","NCONSHHM09M9","NCONSHHM09M10","NCONSHHM09M11","NCONSHHM09M12","NCONSHHM10M1","NCONSHHM10M2","NCONSHHM10M3","NCONSHHM10M4","NCONSHHM10M5","NCONSHHM10M6","NCONSHHM10M7","NCONSHHM10M8","NCONSHHM10M9","NCONSHHM10M10","NCONSHHM10M11","NCONSHHM10M12","NCONSHHM11M1","NCONSHHM11M2","NCONSHHM11M3","NCONSHHM11M4","NCONSHHM11M5","NCONSHHM11M6","NCONSHHM11M7","NCONSHHM11M8","NCONSHHM11M9","NCONSHHM11M10","NCONSHHM11M11","NCONSHHM11M12","NCONSHHM12M1","NCONSHHM12M2","NCONSHHM12M3","NCONSHHM12M4","NCONSHHM12M5","NCONSHHM12M6","NCONSHHM12M7","NCONSHHM12M8","NCONSHHM12M9","NCONSHHM12M10","NCONSHHM12M11","NCONSHHM12M12","NCONSHHM13M1","NCONSHHM13M2","NCONSHHM13M3","NCONSHHM13M4","NCONSHHM13M5","NCONSHHM13M6","NCONSHHM13M7","NCONSHHM13M8","NCONSHHM13M9","NCONSHHM13M10","NCONSHHM13M11","NCONSHHM13M12","NCONSHHM14M1","NCONSHHM14M2","NCONSHHM14M3","NCONSHHM14M4","NCONSHHM14M5","NCONSHHM14M6","NCONSHHM14M7","NCONSHHM14M8","NCONSHHM14M9","NCONSHHM14M10","NCONSHHM14M11","NCONSHHM14M12","NCONSHHM15M1","NCONSHHM15M2","NCONSHHM15M3","NCONSHHM15M4","NCONSHHM15M5","NCONSHHM15M6","NCONSHHM15M7","NCONSHHM15M8","NCONSHHM15M9","NCONSHHM15M10","NCONSHHM15M11"
"1983:10","1312.447","1312.447","1312.447","1312.447","1312.447","1312.447","1312.447","1312.447","1312.447","1312.447","1312.447","1312.447","1312.447","1312.447","1312.447","1312.447","1312.447","1312.447","1312.447","1312.447","1312.447","1312.447","1312.447","1312.447","1312.447","1312.447","1312.447","1312.447","1312.447","1312.447","1312.447","1312.447","1312.447","1312.447","1312.447","1312.447","1312.447","1312.447","1312.447","1312.447","1312.447","1312.447","1312.447","1312.447","1312.447","1312.447","1312.447","1312.447","1312.266","1312.266","1312.266","1312.266","1312.266","1312.266","1312.266","1312.266","1312.266","1312.266","1312.266","1312.266","1312.266","1312.266","1312.266","1312.266","1312.266","1312.266","1312.266","1312.266","1312.266","1312.266","1312.266","1312.266","1312.266","1312.266","1312.266","1312.266"
"1983:11","1315.903","1315.903","1315.903","1315.903","1315.903","1315.903","1315.903","1315.903","1315.903","1315.903","1315.903","1315.903","1315.903","1315.903","1315.903","1315.903","1315.903","1315.903","1315.903","1315.903","1315.903","1315.903","1315.903","1315.903","1315.903","1315.903","1315.903","1315.903","1315.903","1315.903","1315.903","1315.903","1315.903","1315.903","1315.903","1315.903","1315.903","1315.903","1315.903","1315.903","1315.903","1315.903","1315.903","1315.903","1315.903","1315.903","1315.903","1315.903","1315.63","1315.63","1315.63","1315.63","1315.63","1315.63","1315.63","1315.63","1315.63","1315.63","1315.63","1315.63","1315.63","1315.63","1315.63","1315.63","1315.63","1315.63","1315.63","1315.63","1315.63","1315.63","1315.63","1315.63","1315.63","1315.63","1315.63","1315.63"
"1983:12","1328.078","1328.078","1328.078","1328.078","1328.078","1328.078","1328.078","1328.078","1328.078","1328.078","1328.078","1328.078","1328.078","1328.078","1328.078","1328.078","1328.078","1328.078","1328.078","1328.078","1328.078","1328.078","1328.078","1328.078","1328.078","1328.078","1328.078","1328.078","1328.078","1328.078","1328.078","1328.078","1328.078","1328.078","1328.078","1328.078","1328.078","1328.078","1328.078","1328.078","1328.078","1328.078","1328.078","1328.078","1328.078","1328.078","1328.078","1328.078","1327.71","1327.71","1327.71","1327.71","1327.71","1327.71","1327.71","1327.71","1327.71","1327.71","1327.71","1327.71","1327.71","1327.71","1327.71","1327.71","1327.71","1327.71","1327.71","1327.71","1327.71","1327.71","1327.71","1327.71","1327.71","1327.71","1327.71","1327.71"
"1984:01","1333.716","1333.716","1333.716","1333.716","1333.716","1333.716","1333.716","1333.716","1333.716","1333.716","1333.716","1333.716","1333.716","1333.716","1333.716","1333.716","1333.716","1333.716","1333.716","1333.716","1333.716","1333.716","1333.716","1333.716","1333.716","1333.716","1333.716","1333.716","1333.716","1333.716","1333.716","1333.716","1333.716","1333.716","1333.716","1333.716","1333.716","1333.716","1333.716","1333.716","1333.716","1333.716","1333.716","1333.716","1333.716","1333.716","1333.716","1333.716","1333.25","1333.25","1333.25","1333.25","1333.25","1333.25","1333.25","1333.25","1333.25","1333.25","1333.25","1333.25","1333.25","1333.25","1333.25","1333.25","1333.25","1333.25","1333.25","1333.25","1333.25","1333.25","1333.25","1333.25","1333.25","1333.25","1333.25","1333.25"
"1984:02","1335.419","1335.419","1335.419","1335.419","1335.419","1335.419","1335.419","1335.419","1335.419","1335.419","1335.419","1335.419","1335.419","1335.419","1335.419","1335.419","1335.419","1335.419","1335.419","1335.419","1335.419","1335.419","1335.419","1335.419","1335.419","1335.419","1335.419","1335.419","1335.419","1335.419","1335.419","1335.419","1335.419","1335.419","1335.419","1335.419","1335.419","1335.419","1335.419","1335.419","1335.419","1335.419","1335.419","1335.419","1335.419","1335.419","1335.419","1335.419","1334.867","1334.867","1334.867","1334.867","1334.867","1334.867","1334.867","1334.867","1334.867","1334.867","1334.867","1334.867","1334.867","1334.867","1334.867","1334.867","1334.867","1334.867","1334.867","1334.867","1334.867","1334.867","1334.867","1334.867","1334.867","1334.867","1334.867","1334.867"
"1984:03","1357.682","1357.682","1357.682","1357.682","1357.682","1357.682","1357.682","1357.682","1357.682","1357.682","1357.682","1357.682","1357.682","1357.682","1357.682","1357.682","1357.682","1357.682","1357.682","1357.682","1357.682","1357.682","1357.682","1357.682","1357.682","1357.682","1357.682","1357.682","1357.682","1357.682","1357.682","1357.682","1357.682","1357.682","1357.682","1357.682","1357.682","1357.682","1357.682","1357.682","1357.682","1357.682","1357.682","1357.682","1357.682","1357.682","1357.682","1357.682","1357.052","1357.052","1357.052","1357.052","1357.052","1357.052","1357.052","1357.052","1357.052","1357.052","1357.052","1357.052","1357.052","1357.052","1357.052","1357.052","1357.052","1357.052","1357.052","1357.052","1357.052","1357.052","1357.052","1357.052","1357.052","1357.052","1357.052","1357.052"
"1984:04","1365.974","1365.974","1365.974","1365.974","1365.974","1365.974","1365.974","1365.974","1365.974","1365.974","1365.974","1365.974","1365.974","1365.974","1365.974","1365.974","1365.974","1365.974","1365.974","1365.974","1365.974","1365.974","1365.974","1365.974","1365.974","1365.974","1365.974","1365.974","1365.974","1365.974","1365.974","1365.974","1365.974","1365.974","1365.974","1365.974","1365.974","1365.974","1365.974","1365.974","1365.974","1365.974","1365.974","1365.974","1365.974","1365.974","1365.974","1365.974","1365.279","1365.279","1365.279","1365.279","1365.279","1365.279","1365.279","1365.279","1365.279","1365.279","1365.279","1365.279","1365.279","1365.279","1365.279","1365.279","1365.279","1365.279","1365.279","1365.279","1365.279","1365.279","1365.279","1365.279","1365.279","1365.279","1365.279","1365.279"
"1984:05","1374.311","1374.311","1374.311","1374.311","1374.311","1374.311","1374.311","1374.311","1374.311","1374.311","1374.311","1374.311","1374.311","1374.311","1374.311","1374.311","1374.311","1374.311","1374.311","1374.311","1374.311","1374.311","1374.311","1374.311","1374.311","1374.311","1374.311","1374.311","1374.311","1374.311","1374.311","1374.311","1374.311","1374.311","1374.311","1374.311","1374.311","1374.311","1374.311","1374.311","1374.311","1374.311","1374.311","1374.311","1374.311","1374.311","1374.311","1374.311","1373.566","1373.566","1373.566","1373.566","1373.566","1373.566","1373.566","1373.566","1373.566","1373.566","1373.566","1373.566","1373.566","1373.566","1373.566","1373.566","1373.566","1373.566","1373.566","1373.566","1373.566","1373.566","1373.566","1373.566","1373.566","1373.566","1373.566","1373.566"
"1984:06","1380.003","1380.003","1380.003","1380.003","1380.003","1380.003","1380.003","1380.003","1380.003","1380.003","1380.003","1380.003","1380.003","1380.003","1380.003","1380.003","1380.003","1380.003","1380.003","1380.003","1380.003","1380.003","1380.003","1380.003","1380.003","1380.003","1380.003","1380.003","1380.003","1380.003","1380.003","1380.003","1380.003","1380.003","1380.003","1380.003","1380.003","1380.003","1380.003","1380.003","1380.003","1380.003","1380.003","1380.003","1380.003","1380.003","1380.003","1380.003","1379.219","1379.219","1379.219","1379.219","1379.219","1379.219","1379.219","1379.219","1379.219","1379.219","1379.219","1379.219","1379.219","1379.219","1379.219","1379.219","1379.219","1379.219","1379.219","1379.219","1379.219","1379.219","1379.219","1379.219","1379.219","1379.219","1379.219","1379.219"
"1984:07","1393.856","1393.856","1393.856","1393.856","1393.856","1393.856","1393.856","1393.856","1393.856","1393.856","1393.856","1393.856","1393.856","1393.856","1393.856","1393.856","1393.856","1393.856","1393.856","1393.856","1393.856","1393.856","1393.856","1393.856","1393.856","1393.856","1393.856","1393.856","1393.856","1393.856","1393.856","1393.856","1393.856","1393.856","1393.856","1393.856","1393.856","1393.856","1393.856","1393.856","1393.856","1393.856","1393.856","1393.856","1393.856","1393.856","1393.856","1393.856","1393.042","1393.042","1393.042","1393.042","1393.042","1393.042","1393.042","1393.042","1393.042","1393.042","1393.042","1393.042","1393.042","1393.042","1393.042","1393.042","1393.042","1393.042","1393.042","1393.042","1393.042","1393.042","1393.042","1393.042","1393.042","1393.042","1393.042","1393.042"
"1984:08","1412.022","1412.022","1412.022","1412.022","1412.022","1412.022","1412.022","1412.022","1412.022","1412.022","1412.022","1412.022","1412.022","1412.022","1412.022","1412.022","1412.022","1412.022","1412.022","1412.022","1412.022","1412.022","1412.022","1412.022","1412.022","1412.022","1412.022","1412.022","1412.022","1412.022","1412.022","1412.022","1412.022","1412.022","1412.022","1412.022","1412.022","1412.022","1412.022","1412.022","1412.022","1412.022","1412.022","1412.022","1412.022","1412.022","1412.022","1412.022","1411.195","1411.195","1411.195","1411.195","1411.195","1411.195","1411.195","1411.195","1411.195","1411.195","1411.195","1411.195","1411.195","1411.195","1411.195","1411.195","1411.195","1411.195","1411.195","1411.195","1411.195","1411.195","1411.195","1411.195","1411.195","1411.195","1411.195","1411.195"
"1984:09","1417.81","1417.81","1417.81","1417.81","1417.81","1417.81","1417.81","1417.81","1417.81","1417.81","1417.81","1417.81","1417.81","1417.81","1417.81","1417.81","1417.81","1417.81","1417.81","1417.81","1417.81","1417.81","1417.81","1417.81","1417.81","1417.81","1417.81","1417.81","1417.81","1417.81","1417.81","1417.81","1417.81","1417.81","1417.81","1417.81","1417.81","1417.81","1417.81","1417.81","1417.81","1417.81","1417.81","1417.81","1417.81","1417.81","1417.81","1417.81","1416.984","1416.984","1416.984","1416.984","1416.984","1416.984","1416.984","1416.984","1416.984","1416.984","1416.984","1416.984","1416.984","1416.984","1416.984","1416.984","1416.984","1416.984","1416.984","1416.984","1416.984","1416.984","1416.984","1416.984","1416.984","1416.984","1416.984","1416.984"
"1984:10","1420.383","1420.383","1420.383","1420.383","1420.383","1420.383","1420.383","1420.383","1420.383","1420.383","1420.383","1420.383","1420.383","1420.383","1420.383","1420.383","1420.383","1420.383","1420.383","1420.383","1420.383","1420.383","1420.383","1420.383","1420.383","1420.383","1420.383","1420.383","1420.383","1420.383","1420.383","1420.383","1420.383","1420.383","1420.383","1420.383","1420.383","1420.383","1420.383","1420.383","1420.383","1420.383","1420.383","1420.383","1420.383","1420.383","1420.383","1420.383","1419.574","1419.574","1419.574","1419.574","1419.574","1419.574","1419.574","1419.574","1419.574","1419.574","1419.574","1419.574","1419.574","1419.574","1419.574","1419.574","1419.574","1419.574","1419.574","1419.574","1419.574","1419.574","1419.574","1419.574","1419.574","1419.574","1419.574","1419.574"
"1984:11","1436.762","1436.762","1436.762","1436.762","1436.762","1436.762","1436.762","1436.762","1436.762","1436.762","1436.762","1436.762","1436.762","1436.762","1436.762","1436.762","1436.762","1436.762","1436.762","1436.762","1436.762","1436.762","1436.762","1436.762","1436.762","1436.762","1436.762","1436.762","1436.762","1436.762","1436.762","1436.762","1436.762","1436.762","1436.762","1436.762","1436.762","1436.762","1436.762","1436.762","1436.762","1436.762","1436.762","1436.762","1436.762","1436.762","1436.762","1436.762","1435.987","1435.987","1435.987","1435.987","1435.987","1435.987","1435.987","1435.987","1435.987","1435.987","1435.987","1435.987","1435.987","1435.987","1435.987","1435.987","1435.987","1435.987","1435.987","1435.987","1435.987","1435.987","1435.987","1435.987","1435.987","1435.987","1435.987","1435.987"
"1984:12","1449.565","1449.565","1449.565","1449.565","1449.565","1449.565","1449.565","1449.565","1449.565","1449.565","1449.565","1449.565","1449.565","1449.565","1449.565","1449.565","1449.565","1449.565","1449.565","1449.565","1449.565","1449.565","1449.565","1449.565","1449.565","1449.565","1449.565","1449.565","1449.565","1449.565","1449.565","1449.565","1449.565","1449.565","1449.565","1449.565","1449.565","1449.565","1449.565","1449.565","1449.565","1449.565","1449.565","1449.565","1449.565","1449.565","1449.565","1449.565","1448.839","1448.839","1448.839","1448.839","1448.839","1448.839","1448.839","1448.839","1448.839","1448.839","1448.839","1448.839","1448.839","1448.839","1448.839","1448.839","1448.839","1448.839","1448.839","1448.839","1448.839","1448.839","1448.839","1448.839","1448.839","1448.839","1448.839","1448.839"
"1985:01","1475.713","1475.713","1475.713","1475.713","1475.713","1475.713","1475.713","1475.713","1475.713","1475.713","1475.713","1475.713","1475.713","1475.713","1475.713","1475.713","1475.713","1475.713","1475.713","1475.713","1475.713","1475.713","1475.713","1475.713","1475.713","1475.713","1475.713","1475.713","1475.713","1475.713","1475.713","1475.713","1475.713","1475.713","1475.713","1475.713","1475.713","1475.713","1475.713","1475.713","1475.713","1475.713","1475.713","1475.713","1475.713","1475.713","1475.713","1475.713","1476.977","1476.977","1476.977","1476.977","1476.977","1476.977","1476.977","1476.977","1476.977","1476.977","1476.977","1476.977","1476.977","1476.977","1476.977","1476.977","1476.977","1476.977","1476.977","1476.977","1476.977","1476.977","1476.977","1476.977","1476.977","1476.977","1476.977","1476.977"
"1985:02","1488.162","1488.162","1488.162","1488.162","1488.162","1488.162","1488.162","1488.162","1488.162","1488.162","1488.162","1488.162","1488.162","1488.162","1488.162","1488.162","1488.162","1488.162","1488.162","1488.162","1488.162","1488.162","1488.162","1488.162","1488.162","1488.162","1488.162","1488.162","1488.162","1488.162","1488.162","1488.162","1488.162","1488.162","1488.162","1488.162","1488.162","1488.162","1488.162","1488.162","1488.162","1488.162","1488.162","1488.162","1488.162","1488.162","1488.162","1488.162","1491.042","1491.042","1491.042","1491.042","1491.042","1491.042","1491.042","1491.042","1491.042","1491.042","1491.042","1491.042","1491.042","1491.042","1491.042","1491.042","1491.042","1491.042","1491.042","1491.042","1491.042","1491.042","1491.042","1491.042","1491.042","1491.042","1491.042","1491.042"
