"DATE","rcong09Q3","rcong09Q4","rcong10Q1","rcong10Q2","rcong10Q3","rcong10Q4","rcong11Q1","rcong11Q2","rcong11Q3","rcong11Q4","rcong12Q1","rcong12Q2","rcong12Q3","rcong12Q4","rcong13Q1","rcong13Q2","rcong13Q3","rcong13Q4","rcong14Q1","rcong14Q2","rcong14Q3","rcong14Q4","rcong15Q1","rcong15Q2"
"1954:Q1","493.5","493.5","493.5","493.5","493.5","493.5","493.5","493.5","493.0","493.0","493.0","493.0","493.0","493.0","493.0","493.0","507.9","507.9","507.9","507.9","507.9","507.9","507.9","507.9"
"1954:Q2","498.3","498.3","498.3","498.3","498.3","498.3","498.3","498.3","497.8","497.8","497.8","497.8","497.8","497.8","497.8","497.8","512.9","512.9","512.9","512.9","512.9","512.9","512.9","512.9"
"1954:Q3","503.6","503.6","503.6","503.6","503.6","503.6","503.6","503.6","503.0","503.0","503.0","503.0","503.0","503.0","503.0","503.0","518.3","518.3","518.3","518.3","518.3","518.3","518.3","518.3"
"1954:Q4","517.7","517.7","517.7","517.7","517.7","517.7","517.7","517.7","517.1","517.1","517.1","517.1","517.1","517.1","517.1","517.1","532.8","532.8","532.8","532.8","532.8","532.8","532.8","532.8"
"1955:Q1","533.5","533.5","533.5","533.5","533.5","533.5","533.5","533.5","532.9","532.9","532.9","532.9","532.9","532.9","532.9","532.9","549.1","549.1","549.1","549.1","549.1","549.1","549.1","549.1"
"1955:Q2","548.5","548.5","548.5","548.5","548.5","548.5","548.5","548.5","548.0","548.0","548.0","548.0","548.0","548.0","548.0","548.0","564.6","564.6","564.6","564.6","564.6","564.6","564.6","564.6"
"1955:Q3","556.1","556.1","556.1","556.1","556.1","556.1","556.1","556.1","555.6","555.6","555.6","555.6","555.6","555.6","555.6","555.6","572.4","572.4","572.4","572.4","572.4","572.4","572.4","572.4"
"1955:Q4","560.1","560.1","560.1","560.1","560.1","560.1","560.1","560.1","559.5","559.5","559.5","559.5","559.5","559.5","559.5","559.5","576.5","576.5","576.5","576.5","576.5","576.5","576.5","576.5"
"1956:Q1","557.6","557.6","557.6","557.6","557.6","557.6","557.6","557.6","557.0","557.0","557.0","557.0","557.0","557.0","557.0","557.0","574.0","574.0","574.0","574.0","574.0","574.0","574.0","574.0"
"1956:Q2","556.8","556.8","556.8","556.8","556.8","556.8","556.8","556.8","556.2","556.2","556.2","556.2","556.2","556.2","556.2","556.2","573.1","573.1","573.1","573.1","573.1","573.1","573.1","573.1"
"1956:Q3","554.5","554.5","554.5","554.5","554.5","554.5","554.5","554.5","553.9","553.9","553.9","553.9","553.9","553.9","553.9","553.9","570.7","570.7","570.7","570.7","570.7","570.7","570.7","570.7"
"1956:Q4","562.4","562.4","562.4","562.4","562.4","562.4","562.4","562.4","561.8","561.8","561.8","561.8","561.8","561.8","561.8","561.8","578.9","578.9","578.9","578.9","578.9","578.9","578.9","578.9"
"1957:Q1","567.7","567.7","567.7","567.7","567.7","567.7","567.7","567.7","567.1","567.1","567.1","567.1","567.1","567.1","567.1","567.1","584.3","584.3","584.3","584.3","584.3","584.3","584.3","584.3"
