"DATE","PCONX96Q1","PCONX96Q2","PCONX96Q3","PCONX96Q4","PCONX97Q1","PCONX97Q2","PCONX97Q3","PCONX97Q4","PCONX98Q1","PCONX98Q2","PCONX98Q3","PCONX98Q4","PCONX99Q1","PCONX99Q2","PCONX99Q3","PCONX99Q4","PCONX00Q1","PCONX00Q2","PCONX00Q3","PCONX00Q4","PCONX01Q1","PCONX01Q2","PCONX01Q3","PCONX01Q4","PCONX02Q1","PCONX02Q2","PCONX02Q3","PCONX02Q4","PCONX03Q1","PCONX03Q2","PCONX03Q3","PCONX03Q4","PCONX04Q1","PCONX04Q2","PCONX04Q3","PCONX04Q4","PCONX05Q1","PCONX05Q2","PCONX05Q3","PCONX05Q4","PCONX06Q1","PCONX06Q2","PCONX06Q3","PCONX06Q4","PCONX07Q1","PCONX07Q2","PCONX07Q3","PCONX07Q4","PCONX08Q1","PCONX08Q2","PCONX08Q3","PCONX08Q4","PCONX09Q1","PCONX09Q2","PCONX09Q3","PCONX09Q4","PCONX10Q1","PCONX10Q2","PCONX10Q3","PCONX10Q4","PCONX11Q1","PCONX11Q2","PCONX11Q3","PCONX11Q4","PCONX12Q1","PCONX12Q2","PCONX12Q3","PCONX12Q4","PCONX13Q1","PCONX13Q2","PCONX13Q3","PCONX13Q4","PCONX14Q1","PCONX14Q2","PCONX14Q3","PCONX14Q4","PCONX15Q1","PCONX15Q2"
"2008:Q2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","116.756","116.782","116.782","116.782","106.976","106.976","106.976","106.976","106.998","106.998","106.998","106.998","106.844","106.844","106.844","106.844","106.844","106.844","106.844","106.844","98.697","98.697","98.697","98.697","98.703","98.703","98.703","98.703"
"2008:Q3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","117.612","117.481","117.481","107.652","107.652","107.652","107.652","107.569","107.569","107.569","107.569","107.384","107.384","107.384","107.384","107.384","107.384","107.384","107.384","99.145","99.145","99.145","99.145","99.149","99.149","99.149","99.149"
"2008:Q4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","117.643","117.749","107.866","107.866","107.866","107.866","107.735","107.735","107.735","107.735","107.644","107.644","107.644","107.644","107.644","107.644","107.644","107.644","99.251","99.251","99.251","99.251","99.248","99.248","99.248","99.248"
"2009:Q1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","118.195","108.173","108.173","108.173","108.173","107.973","107.973","107.973","107.973","107.913","107.913","107.913","107.913","107.827","107.827","107.827","107.827","99.368","99.368","99.368","99.368","99.366","99.366","99.366","99.366"
"2009:Q2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","108.702","108.712","108.712","108.712","108.583","108.583","108.583","108.583","108.475","108.475","108.475","108.475","108.285","108.285","108.285","108.285","99.85","99.85","99.85","99.85","99.85","99.85","99.85","99.85"
"2009:Q3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","109.084","109.027","109.027","108.99","108.99","108.99","108.99","108.888","108.888","108.888","108.888","108.694","108.694","108.694","108.694","100.129","100.129","100.129","100.129","100.131","100.131","100.131","100.131"
"2009:Q4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","109.4","109.503","109.551","109.551","109.551","109.551","109.488","109.488","109.488","109.488","109.339","109.339","109.339","109.339","100.653","100.653","100.653","100.653","100.653","100.653","100.653","100.653"
"2010:Q1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","109.671","109.887","109.887","109.887","109.887","109.796","109.796","109.796","109.796","109.739","109.739","109.739","109.739","100.911","100.911","100.911","100.911","100.91","100.91","100.91","100.91"
"2010:Q2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","110.201","110.171","110.171","110.171","110.147","110.147","110.147","110.147","110.121","110.121","110.121","110.121","101.179","101.179","101.179","101.179","101.177","101.177","101.177","101.177"
"2010:Q3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","110.393","110.318","110.318","110.353","110.353","110.353","110.353","110.395","110.395","110.395","110.395","101.427","101.427","101.427","101.427","101.425","101.425","101.425","101.425"
