"DATE","RINVBF10M1","RINVBF10M2","RINVBF10M3","RINVBF10M4","RINVBF10M5","RINVBF10M6","RINVBF10M7","RINVBF10M8","RINVBF10M9","RINVBF10M10","RINVBF10M11","RINVBF10M12","RINVBF11M1","RINVBF11M2","RINVBF11M3","RINVBF11M4","RINVBF11M5","RINVBF11M6","RINVBF11M7","RINVBF11M8","RINVBF11M9","RINVBF11M10","RINVBF11M11","RINVBF11M12","RINVBF12M1","RINVBF12M2","RINVBF12M3","RINVBF12M4","RINVBF12M5","RINVBF12M6","RINVBF12M7","RINVBF12M8","RINVBF12M9","RINVBF12M10","RINVBF12M11","RINVBF12M12","RINVBF13M1","RINVBF13M2","RINVBF13M3","RINVBF13M4","RINVBF13M5","RINVBF13M6","RINVBF13M7","RINVBF13M8","RINVBF13M9","RINVBF13M10","RINVBF13M11","RINVBF13M12","RINVBF14M1","RINVBF14M2","RINVBF14M3","RINVBF14M4","RINVBF14M5","RINVBF14M6","RINVBF14M7","RINVBF14M8","RINVBF14M9","RINVBF14M10","RINVBF14M11","RINVBF14M12","RINVBF15M1","RINVBF15M2","RINVBF15M3","RINVBF15M4","RINVBF15M5"
"1958:Q2","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.2","125.2","125.2","125.2","125.2","125.2","125.2","125.2","125.2","125.2","125.2","125.2","125.2","125.2","125.2","125.2","125.2","125.2","125.2","125.2","125.2","125.2","125.2","125.2","165.3","165.3","165.3","165.3","165.3","165.3","165.3","165.3","165.3","165.3","165.3","165.3","165.3","165.3","165.3","165.3","165.3","165.3","165.3","165.3","165.3","165.3"
"1958:Q3","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","163.5","163.5","163.5","163.5","163.5","163.5","163.5","163.5","163.5","163.5","163.5","163.5","163.5","163.5","163.5","163.5","163.5","163.5","163.5","163.5","163.5","163.5"
"1958:Q4","128.4","128.4","128.4","128.4","128.4","128.4","128.4","128.4","128.4","128.4","128.4","128.4","128.4","128.4","128.4","128.4","128.4","128.4","128.4","127.9","127.9","127.9","127.9","127.9","127.9","127.9","127.9","127.9","127.9","127.9","127.9","127.9","127.9","127.9","127.9","127.9","127.9","127.9","127.9","127.9","127.9","127.9","127.9","169.7","169.7","169.7","169.7","169.7","169.7","169.7","169.7","169.7","169.7","169.7","169.7","169.7","169.7","169.7","169.7","169.7","169.7","169.7","169.7","169.7","169.7"
"1959:Q1","132.4","132.4","132.4","132.4","132.4","132.4","132.4","132.4","132.4","132.4","132.4","132.4","132.4","132.4","132.4","132.4","132.4","132.4","132.4","131.8","131.8","131.8","131.8","131.8","131.8","131.8","131.8","131.8","131.8","131.8","131.8","131.8","131.8","131.8","131.8","131.8","131.8","131.8","131.8","131.8","131.8","131.8","131.8","175.0","175.0","175.0","175.0","175.0","175.0","175.0","175.0","175.0","175.0","175.0","175.0","175.0","175.0","175.0","175.0","175.0","175.0","175.0","175.0","175.0","175.0"
"1959:Q2","136.5","136.5","136.5","136.5","136.5","136.5","136.5","136.5","136.5","136.5","136.5","136.5","136.5","136.5","136.5","136.5","136.5","136.5","136.5","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","180.0","180.0","180.0","180.0","180.0","180.0","180.0","180.0","180.0","180.0","180.0","180.0","180.0","180.0","180.0","180.0","180.0","180.0","180.0","180.0","180.0","180.0"
"1959:Q3","140.8","140.8","140.8","140.8","140.8","140.8","140.8","140.8","140.8","140.8","140.8","140.8","140.8","140.8","140.8","140.8","140.8","140.8","140.8","140.2","140.2","140.2","140.2","140.2","140.2","140.2","140.2","140.2","140.2","140.2","140.2","140.2","140.2","140.2","140.2","140.2","140.2","140.2","140.2","140.2","140.2","140.2","140.2","184.8","184.8","184.8","184.8","184.8","184.8","184.8","184.8","184.8","184.8","184.8","184.8","184.8","184.8","184.8","184.8","184.8","184.8","184.8","184.8","184.8","184.8"
"1959:Q4","140.2","140.2","140.2","140.2","140.2","140.2","140.2","140.2","140.2","140.2","140.2","140.2","140.2","140.2","140.2","140.2","140.2","140.2","140.2","139.6","139.6","139.6","139.6","139.6","139.6","139.6","139.6","139.6","139.6","139.6","139.6","139.6","139.6","139.6","139.6","139.6","139.6","139.6","139.6","139.6","139.6","139.6","139.6","184.3","184.3","184.3","184.3","184.3","184.3","184.3","184.3","184.3","184.3","184.3","184.3","184.3","184.3","184.3","184.3","184.3","184.3","184.3","184.3","184.3","184.3"
"1960:Q1","145.7","145.7","145.7","145.7","145.7","145.7","145.7","145.7","145.7","145.7","145.7","145.7","145.7","145.7","145.7","145.7","145.7","145.7","145.7","145.0","145.0","145.0","145.0","145.0","145.0","145.0","145.0","145.0","145.0","145.0","145.0","145.0","145.0","145.0","145.0","145.0","145.0","145.0","145.0","145.0","145.0","145.0","145.0","190.7","190.7","190.7","190.7","190.7","190.7","190.7","190.7","190.7","190.7","190.7","190.7","190.7","190.7","190.7","190.7","190.7","190.7","190.7","190.7","190.7","190.7"
"1960:Q2","147.9","147.9","147.9","147.9","147.9","147.9","147.9","147.9","147.9","147.9","147.9","147.9","147.9","147.9","147.9","147.9","147.9","147.9","147.9","147.2","147.2","147.2","147.2","147.2","147.2","147.2","147.2","147.2","147.2","147.2","147.2","147.2","147.2","147.2","147.2","147.2","147.2","147.2","147.2","147.2","147.2","147.2","147.2","193.5","193.5","193.5","193.5","193.5","193.5","193.5","193.5","193.5","193.5","193.5","193.5","193.5","193.5","193.5","193.5","193.5","193.5","193.5","193.5","193.5","193.5"
"1960:Q3","144.2","144.2","144.2","144.2","144.2","144.2","144.2","144.2","144.2","144.2","144.2","144.2","144.2","144.2","144.2","144.2","144.2","144.2","144.2","143.6","143.6","143.6","143.6","143.6","143.6","143.6","143.6","143.6","143.6","143.6","143.6","143.6","143.6","143.6","143.6","143.6","143.6","143.6","143.6","143.6","143.6","143.6","143.6","190.1","190.1","190.1","190.1","190.1","190.1","190.1","190.1","190.1","190.1","190.1","190.1","190.1","190.1","190.1","190.1","190.1","190.1","190.1","190.1","190.1","190.1"
"1960:Q4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","142.8","142.8","142.8","142.8","142.8","142.8","142.8","142.8","142.8","142.8","142.8","142.8","142.8","142.8","142.8","142.8","142.8","142.8","142.8","142.8","142.8","142.8","142.8","142.8","189.7","189.7","189.7","189.7","189.7","189.7","189.7","189.7","189.7","189.7","189.7","189.7","189.7","189.7","189.7","189.7","189.7","189.7","189.7","189.7","189.7","189.7"
"1961:Q1","140.4","140.4","140.4","140.4","140.4","140.4","140.4","140.4","140.4","140.4","140.4","140.4","140.4","140.4","140.4","140.4","140.4","140.4","140.4","139.8","139.8","139.8","139.8","139.8","139.8","139.8","139.8","139.8","139.8","139.8","139.8","139.8","139.8","139.8","139.8","139.8","139.8","139.8","139.8","139.8","139.8","139.8","139.8","187.0","187.0","187.0","187.0","187.0","187.0","187.0","187.0","187.0","187.0","187.0","187.0","187.0","187.0","187.0","187.0","187.0","187.0","187.0","187.0","187.0","187.0"
"1961:Q2","143.3","143.3","143.3","143.3","143.3","143.3","143.3","143.3","143.3","143.3","143.3","143.3","143.3","143.3","143.3","143.3","143.3","143.3","143.3","142.7","142.7","142.7","142.7","142.7","142.7","142.7","142.7","142.7","142.7","142.7","142.7","142.7","142.7","142.7","142.7","142.7","142.7","142.7","142.7","142.7","142.7","142.7","142.7","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1"
"1961:Q3","144.5","144.5","144.5","144.5","144.5","144.5","144.5","144.5","144.5","144.5","144.5","144.5","144.5","144.5","144.5","144.5","144.5","144.5","144.5","143.9","143.9","143.9","143.9","143.9","143.9","143.9","143.9","143.9","143.9","143.9","143.9","143.9","143.9","143.9","143.9","143.9","143.9","143.9","143.9","143.9","143.9","143.9","143.9","193.0","193.0","193.0","193.0","193.0","193.0","193.0","193.0","193.0","193.0","193.0","193.0","193.0","193.0","193.0","193.0","193.0","193.0","193.0","193.0","193.0","193.0"
"1961:Q4","149.4","149.4","149.4","149.4","149.4","149.4","149.4","149.4","149.4","149.4","149.4","149.4","149.4","149.4","149.4","149.4","149.4","149.4","149.4","148.7","148.7","148.7","148.7","148.7","148.7","148.7","148.7","148.7","148.7","148.7","148.7","148.7","148.7","148.7","148.7","148.7","148.7","148.7","148.7","148.7","148.7","148.7","148.7","198.9","198.9","198.9","198.9","198.9","198.9","198.9","198.9","198.9","198.9","198.9","198.9","198.9","198.9","198.9","198.9","198.9","198.9","198.9","198.9","198.9","198.9"
"1962:Q1","152.9","152.9","152.9","152.9","152.9","152.9","152.9","152.9","152.9","152.9","152.9","152.9","152.9","152.9","152.9","152.9","152.9","152.9","152.9","152.2","152.2","152.2","152.2","152.2","152.2","152.2","152.2","152.2","152.2","152.2","152.2","152.2","152.2","152.2","152.2","152.2","152.2","152.2","152.2","152.2","152.2","152.2","152.2","202.9","202.9","202.9","202.9","202.9","202.9","202.9","202.9","202.9","202.9","202.9","202.9","202.9","202.9","202.9","202.9","202.9","202.9","202.9","202.9","202.9","202.9"
"1962:Q2","157.4","157.4","157.4","157.4","157.4","157.4","157.4","157.4","157.4","157.4","157.4","157.4","157.4","157.4","157.4","157.4","157.4","157.4","157.4","156.7","156.7","156.7","156.7","156.7","156.7","156.7","156.7","156.7","156.7","156.7","156.7","156.7","156.7","156.7","156.7","156.7","156.7","156.7","156.7","156.7","156.7","156.7","156.7","208.4","208.4","208.4","208.4","208.4","208.4","208.4","208.4","208.4","208.4","208.4","208.4","208.4","208.4","208.4","208.4","208.4","208.4","208.4","208.4","208.4","208.4"
"1962:Q3","159.5","159.5","159.5","159.5","159.5","159.5","159.5","159.5","159.5","159.5","159.5","159.5","159.5","159.5","159.5","159.5","159.5","159.5","159.5","158.7","158.7","158.7","158.7","158.7","158.7","158.7","158.7","158.7","158.7","158.7","158.7","158.7","158.7","158.7","158.7","158.7","158.7","158.7","158.7","158.7","158.7","158.7","158.7","210.9","210.9","210.9","210.9","210.9","210.9","210.9","210.9","210.9","210.9","210.9","210.9","210.9","210.9","210.9","210.9","210.9","210.9","210.9","210.9","210.9","210.9"
"1962:Q4","158.4","158.4","158.4","158.4","158.4","158.4","158.4","158.4","158.4","158.4","158.4","158.4","158.4","158.4","158.4","158.4","158.4","158.4","158.4","157.6","157.6","157.6","157.6","157.6","157.6","157.6","157.6","157.6","157.6","157.6","157.6","157.6","157.6","157.6","157.6","157.6","157.6","157.6","157.6","157.6","157.6","157.6","157.6","210.2","210.2","210.2","210.2","210.2","210.2","210.2","210.2","210.2","210.2","210.2","210.2","210.2","210.2","210.2","210.2","210.2","210.2","210.2","210.2","210.2","210.2"
"1963:Q1","158.1","158.1","158.1","158.1","158.1","158.1","158.1","158.1","158.1","158.1","158.1","158.1","158.1","158.1","158.1","158.1","158.1","158.1","158.1","157.4","157.4","157.4","157.4","157.4","157.4","157.4","157.4","157.4","157.4","157.4","157.4","157.4","157.4","157.4","157.4","157.4","157.4","157.4","157.4","157.4","157.4","157.4","157.4","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7"
"1963:Q2","163.2","163.2","163.2","163.2","163.2","163.2","163.2","163.2","163.2","163.2","163.2","163.2","163.2","163.2","163.2","163.2","163.2","163.2","163.2","162.4","162.4","162.4","162.4","162.4","162.4","162.4","162.4","162.4","162.4","162.4","162.4","162.4","162.4","162.4","162.4","162.4","162.4","162.4","162.4","162.4","162.4","162.4","162.4","217.2","217.2","217.2","217.2","217.2","217.2","217.2","217.2","217.2","217.2","217.2","217.2","217.2","217.2","217.2","217.2","217.2","217.2","217.2","217.2","217.2","217.2"
"1963:Q3","168.1","168.1","168.1","168.1","168.1","168.1","168.1","168.1","168.1","168.1","168.1","168.1","168.1","168.1","168.1","168.1","168.1","168.1","168.1","167.3","167.3","167.3","167.3","167.3","167.3","167.3","167.3","167.3","167.3","167.3","167.3","167.3","167.3","167.3","167.3","167.3","167.3","167.3","167.3","167.3","167.3","167.3","167.3","223.2","223.2","223.2","223.2","223.2","223.2","223.2","223.2","223.2","223.2","223.2","223.2","223.2","223.2","223.2","223.2","223.2","223.2","223.2","223.2","223.2","223.2"
"1963:Q4","173.6","173.6","173.6","173.6","173.6","173.6","173.6","173.6","173.6","173.6","173.6","173.6","173.6","173.6","173.6","173.6","173.6","173.6","173.6","172.8","172.8","172.8","172.8","172.8","172.8","172.8","172.8","172.8","172.8","172.8","172.8","172.8","172.8","172.8","172.8","172.8","172.8","172.8","172.8","172.8","172.8","172.8","172.8","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7"
"1964:Q1","178.0","178.0","178.0","178.0","178.0","178.0","178.0","178.0","178.0","178.0","178.0","178.0","178.0","178.0","178.0","178.0","178.0","178.0","178.0","177.1","177.1","177.1","177.1","177.1","177.1","177.1","177.1","177.1","177.1","177.1","177.1","177.1","177.1","177.1","177.1","177.1","177.1","177.1","177.1","177.1","177.1","177.1","177.1","234.5","234.5","234.5","234.5","234.5","234.5","234.5","234.5","234.5","234.5","234.5","234.5","234.5","234.5","234.5","234.5","234.5","234.5","234.5","234.5","234.5","234.5"
"1964:Q2","182.5","182.5","182.5","182.5","182.5","182.5","182.5","182.5","182.5","182.5","182.5","182.5","182.5","182.5","182.5","182.5","182.5","182.5","182.5","181.7","181.7","181.7","181.7","181.7","181.7","181.7","181.7","181.7","181.7","181.7","181.7","181.7","181.7","181.7","181.7","181.7","181.7","181.7","181.7","181.7","181.7","181.7","181.7","240.0","240.0","240.0","240.0","240.0","240.0","240.0","240.0","240.0","240.0","240.0","240.0","240.0","240.0","240.0","240.0","240.0","240.0","240.0","240.0","240.0","240.0"
"1964:Q3","188.7","188.7","188.7","188.7","188.7","188.7","188.7","188.7","188.7","188.7","188.7","188.7","188.7","188.7","188.7","188.7","188.7","188.7","188.7","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","247.7","247.7","247.7","247.7","247.7","247.7","247.7","247.7","247.7","247.7","247.7","247.7","247.7","247.7","247.7","247.7","247.7","247.7","247.7","247.7","247.7","247.7"
"1964:Q4","192.6","192.6","192.6","192.6","192.6","192.6","192.6","192.6","192.6","192.6","192.6","192.6","192.6","192.6","192.6","192.6","192.6","192.6","192.6","191.7","191.7","191.7","191.7","191.7","191.7","191.7","191.7","191.7","191.7","191.7","191.7","191.7","191.7","191.7","191.7","191.7","191.7","191.7","191.7","191.7","191.7","191.7","191.7","253.0","253.0","253.0","253.0","253.0","253.0","253.0","253.0","253.0","253.0","253.0","253.0","253.0","253.0","253.0","253.0","253.0","253.0","253.0","253.0","253.0","253.0"
"1965:Q1","205.5","205.5","205.5","205.5","205.5","205.5","205.5","205.5","205.5","205.5","205.5","205.5","205.5","205.5","205.5","205.5","205.5","205.5","205.5","204.6","204.6","204.6","204.6","204.6","204.6","204.6","204.6","204.6","204.6","204.6","204.6","204.6","204.6","204.6","204.6","204.6","204.6","204.6","204.6","204.6","204.6","204.6","204.6","269.1","269.1","269.1","269.1","269.1","269.1","269.1","269.1","269.1","269.1","269.1","269.1","269.1","269.1","269.1","269.1","269.1","269.1","269.1","269.1","269.1","269.1"
"1965:Q2","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","212.3","212.3","212.3","212.3","212.3","212.3","212.3","212.3","212.3","212.3","212.3","212.3","212.3","212.3","212.3","212.3","212.3","212.3","212.3","212.3","212.3","212.3","212.3","212.3","279.0","279.0","279.0","279.0","279.0","279.0","279.0","279.0","279.0","279.0","279.0","279.0","279.0","279.0","279.0","279.0","279.0","279.0","279.0","279.0","279.0","279.0"
"1965:Q3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","220.4","220.4","220.4","220.4","220.4","220.4","220.4","220.4","220.4","220.4","220.4","220.4","220.4","220.4","220.4","220.4","220.4","220.4","220.4","220.4","220.4","220.4","220.4","220.4","289.1","289.1","289.1","289.1","289.1","289.1","289.1","289.1","289.1","289.1","289.1","289.1","289.1","289.1","289.1","289.1","289.1","289.1","289.1","289.1","289.1","289.1"
"1965:Q4","230.7","230.7","230.7","230.7","230.7","230.7","230.7","230.7","230.7","230.7","230.7","230.7","230.7","230.7","230.7","230.7","230.7","230.7","230.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","300.9","300.9","300.9","300.9","300.9","300.9","300.9","300.9","300.9","300.9","300.9","300.9","300.9","300.9","300.9","300.9","300.9","300.9","300.9","300.9","300.9","300.9"
"1966:Q1","240.8","240.8","240.8","240.8","240.8","240.8","240.8","240.8","240.8","240.8","240.8","240.8","240.8","240.8","240.8","240.8","240.8","240.8","240.8","239.7","239.7","239.7","239.7","239.7","239.7","239.7","239.7","239.7","239.7","239.7","239.7","239.7","239.7","239.7","239.7","239.7","239.7","239.7","239.7","239.7","239.7","239.7","239.7","313.5","313.5","313.5","313.5","313.5","313.5","313.5","313.5","313.5","313.5","313.5","313.5","313.5","313.5","313.5","313.5","313.5","313.5","313.5","313.5","313.5","313.5"
"1966:Q2","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","243.5","243.5","243.5","243.5","243.5","243.5","243.5","243.5","243.5","243.5","243.5","243.5","243.5","243.5","243.5","243.5","243.5","243.5","243.5","243.5","243.5","243.5","243.5","243.5","318.7","318.7","318.7","318.7","318.7","318.7","318.7","318.7","318.7","318.7","318.7","318.7","318.7","318.7","318.7","318.7","318.7","318.7","318.7","318.7","318.7","318.7"
"1966:Q3","247.5","247.5","247.5","247.5","247.5","247.5","247.5","247.5","247.5","247.5","247.5","247.5","247.5","247.5","247.5","247.5","247.5","247.5","247.5","246.4","246.4","246.4","246.4","246.4","246.4","246.4","246.4","246.4","246.4","246.4","246.4","246.4","246.4","246.4","246.4","246.4","246.4","246.4","246.4","246.4","246.4","246.4","246.4","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9"
"1966:Q4","246.9","246.9","246.9","246.9","246.9","246.9","246.9","246.9","246.9","246.9","246.9","246.9","246.9","246.9","246.9","246.9","246.9","246.9","246.9","245.8","245.8","245.8","245.8","245.8","245.8","245.8","245.8","245.8","245.8","245.8","245.8","245.8","245.8","245.8","245.8","245.8","245.8","245.8","245.8","245.8","245.8","245.8","245.8","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9"
"1967:Q1","241.7","241.7","241.7","241.7","241.7","241.7","241.7","241.7","241.7","241.7","241.7","241.7","241.7","241.7","241.7","241.7","241.7","241.7","241.7","240.6","240.6","240.6","240.6","240.6","240.6","240.6","240.6","240.6","240.6","240.6","240.6","240.6","240.6","240.6","240.6","240.6","240.6","240.6","240.6","240.6","240.6","240.6","240.6","317.6","317.6","317.6","317.6","317.6","317.6","317.6","317.6","317.6","317.6","317.6","317.6","317.6","317.6","317.6","317.6","317.6","317.6","317.6","317.6","317.6","317.6"
"1967:Q2","240.8","240.8","240.8","240.8","240.8","240.8","240.8","240.8","240.8","240.8","240.8","240.8","240.8","240.8","240.8","240.8","240.8","240.8","240.8","239.7","239.7","239.7","239.7","239.7","239.7","239.7","239.7","239.7","239.7","239.7","239.7","239.7","239.7","239.7","239.7","239.7","239.7","239.7","239.7","239.7","239.7","239.7","239.7","316.9","316.9","316.9","316.9","316.9","316.9","316.9","316.9","316.9","316.9","316.9","316.9","316.9","316.9","316.9","316.9","316.9","316.9","316.9","316.9","316.9","316.9"
"1967:Q3","239.6","239.6","239.6","239.6","239.6","239.6","239.6","239.6","239.6","239.6","239.6","239.6","239.6","239.6","239.6","239.6","239.6","239.6","239.6","238.5","238.5","238.5","238.5","238.5","238.5","238.5","238.5","238.5","238.5","238.5","238.5","238.5","238.5","238.5","238.5","238.5","238.5","238.5","238.5","238.5","238.5","238.5","238.5","316.3","316.3","316.3","316.3","316.3","316.3","316.3","316.3","316.3","316.3","316.3","316.3","316.3","316.3","316.3","316.3","316.3","316.3","316.3","316.3","316.3","316.3"
"1967:Q4","244.5","244.5","244.5","244.5","244.5","244.5","244.5","244.5","244.5","244.5","244.5","244.5","244.5","244.5","244.5","244.5","244.5","244.5","244.5","243.4","243.4","243.4","243.4","243.4","243.4","243.4","243.4","243.4","243.4","243.4","243.4","243.4","243.4","243.4","243.4","243.4","243.4","243.4","243.4","243.4","243.4","243.4","243.4","322.7","322.7","322.7","322.7","322.7","322.7","322.7","322.7","322.7","322.7","322.7","322.7","322.7","322.7","322.7","322.7","322.7","322.7","322.7","322.7","322.7","322.7"
"1968:Q1","252.2","252.2","252.2","252.2","252.2","252.2","252.2","252.2","252.2","252.2","252.2","252.2","252.2","252.2","252.2","252.2","252.2","252.2","252.2","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","332.2","332.2","332.2","332.2","332.2","332.2","332.2","332.2","332.2","332.2","332.2","332.2","332.2","332.2","332.2","332.2","332.2","332.2","332.2","332.2","332.2","332.2"
"1968:Q2","247.8","247.8","247.8","247.8","247.8","247.8","247.8","247.8","247.8","247.8","247.8","247.8","247.8","247.8","247.8","247.8","247.8","247.8","247.8","246.7","246.7","246.7","246.7","246.7","246.7","246.7","246.7","246.7","246.7","246.7","246.7","246.7","246.7","246.7","246.7","246.7","246.7","246.7","246.7","246.7","246.7","246.7","246.7","328.1","328.1","328.1","328.1","328.1","328.1","328.1","328.1","328.1","328.1","328.1","328.1","328.1","328.1","328.1","328.1","328.1","328.1","328.1","328.1","328.1","328.1"
"1968:Q3","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","250.0","250.0","250.0","250.0","250.0","250.0","250.0","250.0","250.0","250.0","250.0","250.0","250.0","250.0","250.0","250.0","250.0","250.0","250.0","250.0","250.0","250.0","250.0","250.0","332.6","332.6","332.6","332.6","332.6","332.6","332.6","332.6","332.6","332.6","332.6","332.6","332.6","332.6","332.6","332.6","332.6","332.6","332.6","332.6","332.6","332.6"
"1968:Q4","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","257.4","257.4","257.4","257.4","257.4","257.4","257.4","257.4","257.4","257.4","257.4","257.4","257.4","257.4","257.4","257.4","257.4","257.4","257.4","257.4","257.4","257.4","257.4","257.4","341.7","341.7","341.7","341.7","341.7","341.7","341.7","341.7","341.7","341.7","341.7","341.7","341.7","341.7","341.7","341.7","341.7","341.7","341.7","341.7","341.7","341.7"
"1969:Q1","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","265.0","265.0","265.0","265.0","265.0","265.0","265.0","265.0","265.0","265.0","265.0","265.0","265.0","265.0","265.0","265.0","265.0","265.0","265.0","265.0","265.0","265.0","265.0","265.0","350.4","350.4","350.4","350.4","350.4","350.4","350.4","350.4","350.4","350.4","350.4","350.4","350.4","350.4","350.4","350.4","350.4","350.4","350.4","350.4","350.4","350.4"
"1969:Q2","269.1","269.1","269.1","269.1","269.1","269.1","269.1","269.1","269.1","269.1","269.1","269.1","269.1","269.1","269.1","269.1","269.1","269.1","269.1","267.9","267.9","267.9","267.9","267.9","267.9","267.9","267.9","267.9","267.9","267.9","267.9","267.9","267.9","267.9","267.9","267.9","267.9","267.9","267.9","267.9","267.9","267.9","267.9","354.2","354.2","354.2","354.2","354.2","354.2","354.2","354.2","354.2","354.2","354.2","354.2","354.2","354.2","354.2","354.2","354.2","354.2","354.2","354.2","354.2","354.2"
"1969:Q3","276.4","276.4","276.4","276.4","276.4","276.4","276.4","276.4","276.4","276.4","276.4","276.4","276.4","276.4","276.4","276.4","276.4","276.4","276.4","275.1","275.1","275.1","275.1","275.1","275.1","275.1","275.1","275.1","275.1","275.1","275.1","275.1","275.1","275.1","275.1","275.1","275.1","275.1","275.1","275.1","275.1","275.1","275.1","362.3","362.3","362.3","362.3","362.3","362.3","362.3","362.3","362.3","362.3","362.3","362.3","362.3","362.3","362.3","362.3","362.3","362.3","362.3","362.3","362.3","362.3"
"1969:Q4","274.7","274.7","274.7","274.7","274.7","274.7","274.7","274.7","274.7","274.7","274.7","274.7","274.7","274.7","274.7","274.7","274.7","274.7","274.7","273.5","273.5","273.5","273.5","273.5","273.5","273.5","273.5","273.5","273.5","273.5","273.5","273.5","273.5","273.5","273.5","273.5","273.5","273.5","273.5","273.5","273.5","273.5","273.5","360.4","360.4","360.4","360.4","360.4","360.4","360.4","360.4","360.4","360.4","360.4","360.4","360.4","360.4","360.4","360.4","360.4","360.4","360.4","360.4","360.4","360.4"
"1970:Q1","273.2","273.2","273.2","273.2","273.2","273.2","273.2","273.2","273.2","273.2","273.2","273.2","273.2","273.2","273.2","273.2","273.2","273.2","273.2","271.9","271.9","271.9","271.9","271.9","271.9","271.9","271.9","271.9","271.9","271.9","271.9","271.9","271.9","271.9","271.9","271.9","271.9","271.9","271.9","271.9","271.9","271.9","271.9","357.9","357.9","357.9","357.9","357.9","357.9","357.9","357.9","357.9","357.9","357.9","357.9","357.9","357.9","357.9","357.9","357.9","357.9","357.9","357.9","357.9","357.9"
"1970:Q2","271.7","271.7","271.7","271.7","271.7","271.7","271.7","271.7","271.7","271.7","271.7","271.7","271.7","271.7","271.7","271.7","271.7","271.7","271.7","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","355.5","355.5","355.5","355.5","355.5","355.5","355.5","355.5","355.5","355.5","355.5","355.5","355.5","355.5","355.5","355.5","355.5","355.5","355.5","355.5","355.5","355.5"
