"DATE","P80M1","P80M2","P80M3","P80M4","P80M5","P80M6","P80M7","P80M8","P80M9","P80M10","P80M11","P80M12","P81M1","P81M2","P81M3","P81M4","P81M5","P81M6","P81M7","P81M8","P81M9","P81M10","P81M11","P81M12","P82M1","P82M2","P82M3","P82M4","P82M5","P82M6","P82M7","P82M8","P82M9","P82M10","P82M11","P82M12","P83M1","P83M2","P83M3","P83M4","P83M5","P83M6","P83M7","P83M8","P83M9","P83M10","P83M11","P83M12","P84M1","P84M2","P84M3","P84M4","P84M5","P84M6","P84M7","P84M8","P84M9","P84M10","P84M11","P84M12","P85M1","P85M2","P85M3","P85M4","P85M5","P85M6","P85M7","P85M8","P85M9","P85M10","P85M11","P85M12","P86M1","P86M2","P86M3","P86M4","P86M5","P86M6","P86M7","P86M8","P86M9","P86M10","P86M11","P86M12","P87M1","P87M2","P87M3","P87M4","P87M5","P87M6","P87M7","P87M8","P87M9","P87M10","P87M11","P87M12","P88M1","P88M2","P88M3","P88M4","P88M5","P88M6","P88M7","P88M8","P88M9","P88M10","P88M11","P88M12","P89M1","P89M2","P89M3","P89M4","P89M5","P89M6","P89M7","P89M8","P89M9","P89M10","P89M11","P89M12"
"1947:Q1","48.4698","48.4698","48.4698","48.4698","48.4698","48.4698","48.4698","48.4698","48.4698","48.4698","48.4698","48.4698","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334"
"1947:Q2","49.0053","49.0053","49.0053","49.0053","49.0053","49.0053","49.0053","49.0053","49.0053","49.0053","49.0053","49.0053","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739"
"1947:Q3","49.8504","49.8504","49.8504","49.8504","49.8504","49.8504","49.8504","49.8504","49.8504","49.8504","49.8504","49.8504","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066"
"1947:Q4","51.425","51.425","51.425","51.425","51.425","51.425","51.425","51.425","51.425","51.425","51.425","51.425","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787"
"1948:Q1","52.2942","52.2942","52.2942","52.2942","52.2942","52.2942","52.2942","52.2942","52.2942","52.2942","52.2942","52.2942","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241"
"1948:Q2","52.9012","52.9012","52.9012","52.9012","52.9012","52.9012","52.9012","52.9012","52.9012","52.9012","52.9012","52.9012","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789"
"1948:Q3","53.7897","53.7897","53.7897","53.7897","53.7897","53.7897","53.7897","53.7897","53.7897","53.7897","53.7897","53.7897","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825"
"1948:Q4","53.539","53.539","53.539","53.539","53.539","53.539","53.539","53.539","53.539","53.539","53.539","53.539","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028"
"1949:Q1","52.9843","52.9843","52.9843","52.9843","52.9843","52.9843","52.9843","52.9843","52.9843","52.9843","52.9843","52.9843","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156"
"1949:Q2","52.4852","52.4852","52.4852","52.4852","52.4852","52.4852","52.4852","52.4852","52.4852","52.4852","52.4852","52.4852","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379"
