"DATE","RCONS80M1","RCONS80M2","RCONS80M3","RCONS80M4","RCONS80M5","RCONS80M6","RCONS80M7","RCONS80M8","RCONS80M9","RCONS80M10","RCONS80M11","RCONS80M12","RCONS81M1","RCONS81M2","RCONS81M3","RCONS81M4","RCONS81M5","RCONS81M6","RCONS81M7","RCONS81M8","RCONS81M9","RCONS81M10","RCONS81M11","RCONS81M12","RCONS82M1","RCONS82M2","RCONS82M3","RCONS82M4","RCONS82M5","RCONS82M6","RCONS82M7","RCONS82M8","RCONS82M9","RCONS82M10","RCONS82M11","RCONS82M12","RCONS83M1","RCONS83M2","RCONS83M3","RCONS83M4","RCONS83M5","RCONS83M6","RCONS83M7","RCONS83M8","RCONS83M9","RCONS83M10","RCONS83M11","RCONS83M12","RCONS84M1","RCONS84M2","RCONS84M3","RCONS84M4","RCONS84M5","RCONS84M6","RCONS84M7","RCONS84M8","RCONS84M9","RCONS84M10","RCONS84M11","RCONS84M12","RCONS85M1","RCONS85M2","RCONS85M3","RCONS85M4","RCONS85M5","RCONS85M6","RCONS85M7","RCONS85M8","RCONS85M9","RCONS85M10","RCONS85M11","RCONS85M12","RCONS86M1","RCONS86M2","RCONS86M3","RCONS86M4","RCONS86M5","RCONS86M6","RCONS86M7","RCONS86M8","RCONS86M9","RCONS86M10","RCONS86M11","RCONS86M12","RCONS87M1","RCONS87M2","RCONS87M3","RCONS87M4","RCONS87M5","RCONS87M6","RCONS87M7","RCONS87M8","RCONS87M9","RCONS87M10","RCONS87M11","RCONS87M12","RCONS88M1","RCONS88M2","RCONS88M3","RCONS88M4","RCONS88M5","RCONS88M6","RCONS88M7","RCONS88M8","RCONS88M9","RCONS88M10","RCONS88M11","RCONS88M12","RCONS89M1","RCONS89M2","RCONS89M3","RCONS89M4","RCONS89M5","RCONS89M6","RCONS89M7","RCONS89M8","RCONS89M9","RCONS89M10","RCONS89M11","RCONS89M12"
"1950:Q3","134.5","134.5","134.5","134.5","134.5","134.5","134.5","134.5","134.5","134.5","134.5","134.5","134.6","134.6","134.6","134.6","134.6","134.6","134.6","134.6","134.6","134.6","134.6","134.6","134.6","134.6","134.6","134.6","134.6","134.6","134.6","134.6","134.6","134.6","134.6","134.6","134.6","134.6","134.6","134.6","134.6","134.6","134.6","134.6","134.6","134.6","134.6","134.6","134.6","134.6","134.6","134.6","134.6","134.6","134.6","134.6","134.6","134.6","134.6","134.6","134.6","134.6","134.6","134.6","134.6","134.6","134.6","134.6","134.6","134.6","134.6","134.6","303.6","303.6","303.6","303.6","303.6","303.6","303.6","303.6","303.6","303.6","303.6","303.6","303.6","303.6","303.6","303.6","303.6","303.6","303.6","303.6","303.6","303.6","303.6","303.6","303.6","303.6","303.6","303.6","303.6","303.6","303.6","303.6","303.6","303.6","303.6","303.6","303.6","303.6","303.6","303.6","303.6","303.6","303.6","303.6","303.6","303.6","303.6","303.6"
"1950:Q4","135.6","135.6","135.6","135.6","135.6","135.6","135.6","135.6","135.6","135.6","135.6","135.6","135.7","135.7","135.7","135.7","135.7","135.7","135.7","135.7","135.7","135.7","135.7","135.7","135.7","135.7","135.7","135.7","135.7","135.7","135.7","135.7","135.7","135.7","135.7","135.7","135.7","135.7","135.7","135.7","135.7","135.7","135.7","135.7","135.7","135.7","135.7","135.7","135.7","135.7","135.7","135.7","135.7","135.7","135.7","135.7","135.7","135.7","135.7","135.7","135.7","135.7","135.7","135.7","135.7","135.7","135.7","135.7","135.7","135.7","135.7","135.7","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0"
"1951:Q1","136.6","136.6","136.6","136.6","136.6","136.6","136.6","136.6","136.6","136.6","136.6","136.6","136.7","136.7","136.7","136.7","136.7","136.7","136.7","136.7","136.7","136.7","136.7","136.7","136.7","136.7","136.7","136.7","136.7","136.7","136.7","136.7","136.7","136.7","136.7","136.7","136.7","136.7","136.7","136.7","136.7","136.7","136.7","136.7","136.7","136.7","136.7","136.7","136.7","136.7","136.7","136.7","136.7","136.7","136.7","136.7","136.7","136.7","136.7","136.7","136.7","136.7","136.7","136.7","136.7","136.7","136.7","136.7","136.7","136.7","136.7","136.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7"
"1951:Q2","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","310.5","310.5","310.5","310.5","310.5","310.5","310.5","310.5","310.5","310.5","310.5","310.5","310.5","310.5","310.5","310.5","310.5","310.5","310.5","310.5","310.5","310.5","310.5","310.5","310.5","310.5","310.5","310.5","310.5","310.5","310.5","310.5","310.5","310.5","310.5","310.5","310.5","310.5","310.5","310.5","310.5","310.5","310.5","310.5","310.5","310.5","310.5","310.5"
"1951:Q3","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.6","137.6","137.6","137.6","137.6","137.6","137.6","137.6","137.6","137.6","137.6","137.6","137.6","137.6","137.6","137.6","137.6","137.6","137.6","137.6","137.6","137.6","137.6","137.6","137.6","137.6","137.6","137.6","137.6","137.6","137.6","137.6","137.6","137.6","137.6","137.6","137.6","137.6","137.6","137.6","137.6","137.6","137.6","137.6","137.6","137.6","137.6","137.6","137.6","137.6","137.6","137.6","137.6","137.6","137.6","137.6","137.6","137.6","137.6","137.6","312.0","312.0","312.0","312.0","312.0","312.0","312.0","312.0","312.0","312.0","312.0","312.0","312.0","312.0","312.0","312.0","312.0","312.0","312.0","312.0","312.0","312.0","312.0","312.0","312.0","312.0","312.0","312.0","312.0","312.0","312.0","312.0","312.0","312.0","312.0","312.0","312.0","312.0","312.0","312.0","312.0","312.0","312.0","312.0","312.0","312.0","312.0","312.0"
"1951:Q4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","312.2","312.2","312.2","312.2","312.2","312.2","312.2","312.2","312.2","312.2","312.2","312.2","312.2","312.2","312.2","312.2","312.2","312.2","312.2","312.2","312.2","312.2","312.2","312.2","312.2","312.2","312.2","312.2","312.2","312.2","312.2","312.2","312.2","312.2","312.2","312.2","312.2","312.2","312.2","312.2","312.2","312.2","312.2","312.2","312.2","312.2","312.2","312.2"
"1952:Q1","138.6","138.6","138.6","138.6","138.6","138.6","138.6","138.6","138.6","138.6","138.6","138.6","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.7","315.9","315.9","315.9","315.9","315.9","315.9","315.9","315.9","315.9","315.9","315.9","315.9","315.9","315.9","315.9","315.9","315.9","315.9","315.9","315.9","315.9","315.9","315.9","315.9","315.9","315.9","315.9","315.9","315.9","315.9","315.9","315.9","315.9","315.9","315.9","315.9","315.9","315.9","315.9","315.9","315.9","315.9","315.9","315.9","315.9","315.9","315.9","315.9"
"1952:Q2","139.9","139.9","139.9","139.9","139.9","139.9","139.9","139.9","139.9","139.9","139.9","139.9","140.0","140.0","140.0","140.0","140.0","140.0","140.0","140.0","140.0","140.0","140.0","140.0","140.0","140.0","140.0","140.0","140.0","140.0","140.0","140.0","140.0","140.0","140.0","140.0","140.0","140.0","140.0","140.0","140.0","140.0","140.0","140.0","140.0","140.0","140.0","140.0","140.0","140.0","140.0","140.0","140.0","140.0","140.0","140.0","140.0","140.0","140.0","140.0","140.0","140.0","140.0","140.0","140.0","140.0","140.0","140.0","140.0","140.0","140.0","140.0","319.6","319.6","319.6","319.6","319.6","319.6","319.6","319.6","319.6","319.6","319.6","319.6","319.6","319.6","319.6","319.6","319.6","319.6","319.6","319.6","319.6","319.6","319.6","319.6","319.6","319.6","319.6","319.6","319.6","319.6","319.6","319.6","319.6","319.6","319.6","319.6","319.6","319.6","319.6","319.6","319.6","319.6","319.6","319.6","319.6","319.6","319.6","319.6"
"1952:Q3","141.4","141.4","141.4","141.4","141.4","141.4","141.4","141.4","141.4","141.4","141.4","141.4","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","323.6","323.6","323.6","323.6","323.6","323.6","323.6","323.6","323.6","323.6","323.6","323.6","323.6","323.6","323.6","323.6","323.6","323.6","323.6","323.6","323.6","323.6","323.6","323.6","323.6","323.6","323.6","323.6","323.6","323.6","323.6","323.6","323.6","323.6","323.6","323.6","323.6","323.6","323.6","323.6","323.6","323.6","323.6","323.6","323.6","323.6","323.6","323.6"
"1952:Q4","143.3","143.3","143.3","143.3","143.3","143.3","143.3","143.3","143.3","143.3","143.3","143.3","143.4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","143.4","328.5","328.5","328.5","328.5","328.5","328.5","328.5","328.5","328.5","328.5","328.5","328.5","328.5","328.5","328.5","328.5","328.5","328.5","328.5","328.5","328.5","328.5","328.5","328.5","328.5","328.5","328.5","328.5","328.5","328.5","328.5","328.5","328.5","328.5","328.5","328.5","328.5","328.5","328.5","328.5","328.5","328.5","328.5","328.5","328.5","328.5","328.5","328.5"
