"DATE","NOUTPUT70M1","NOUTPUT70M2","NOUTPUT70M3","NOUTPUT70M4","NOUTPUT70M5","NOUTPUT70M6","NOUTPUT70M7","NOUTPUT70M8","NOUTPUT70M9","NOUTPUT70M10","NOUTPUT70M11","NOUTPUT70M12","NOUTPUT71M1","NOUTPUT71M2","NOUTPUT71M3","NOUTPUT71M4","NOUTPUT71M5","NOUTPUT71M6","NOUTPUT71M7","NOUTPUT71M8","NOUTPUT71M9","NOUTPUT71M10","NOUTPUT71M11","NOUTPUT71M12","NOUTPUT72M1","NOUTPUT72M2","NOUTPUT72M3","NOUTPUT72M4","NOUTPUT72M5","NOUTPUT72M6","NOUTPUT72M7","NOUTPUT72M8","NOUTPUT72M9","NOUTPUT72M10","NOUTPUT72M11","NOUTPUT72M12","NOUTPUT73M1","NOUTPUT73M2","NOUTPUT73M3","NOUTPUT73M4","NOUTPUT73M5","NOUTPUT73M6","NOUTPUT73M7","NOUTPUT73M8","NOUTPUT73M9","NOUTPUT73M10","NOUTPUT73M11","NOUTPUT73M12","NOUTPUT74M1","NOUTPUT74M2","NOUTPUT74M3","NOUTPUT74M4","NOUTPUT74M5","NOUTPUT74M6","NOUTPUT74M7","NOUTPUT74M8","NOUTPUT74M9","NOUTPUT74M10","NOUTPUT74M11","NOUTPUT74M12","NOUTPUT75M1","NOUTPUT75M2","NOUTPUT75M3","NOUTPUT75M4","NOUTPUT75M5","NOUTPUT75M6","NOUTPUT75M7","NOUTPUT75M8","NOUTPUT75M9","NOUTPUT75M10","NOUTPUT75M11","NOUTPUT75M12","NOUTPUT76M1","NOUTPUT76M2","NOUTPUT76M3","NOUTPUT76M4","NOUTPUT76M5","NOUTPUT76M6","NOUTPUT76M7","NOUTPUT76M8","NOUTPUT76M9","NOUTPUT76M10","NOUTPUT76M11","NOUTPUT76M12","NOUTPUT77M1","NOUTPUT77M2","NOUTPUT77M3","NOUTPUT77M4","NOUTPUT77M5","NOUTPUT77M6","NOUTPUT77M7","NOUTPUT77M8","NOUTPUT77M9","NOUTPUT77M10","NOUTPUT77M11","NOUTPUT77M12","NOUTPUT78M1","NOUTPUT78M2","NOUTPUT78M3","NOUTPUT78M4","NOUTPUT78M5","NOUTPUT78M6","NOUTPUT78M7","NOUTPUT78M8","NOUTPUT78M9","NOUTPUT78M10","NOUTPUT78M11","NOUTPUT78M12","NOUTPUT79M1","NOUTPUT79M2","NOUTPUT79M3","NOUTPUT79M4","NOUTPUT79M5","NOUTPUT79M6","NOUTPUT79M7","NOUTPUT79M8","NOUTPUT79M9","NOUTPUT79M10","NOUTPUT79M11","NOUTPUT79M12"
"1949:Q3","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6"
"1949:Q4","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","256.5","256.5","256.5","256.5","256.5","256.5","256.5","256.5","256.5","256.5","256.5","256.5","256.5","256.5","256.5","256.5","256.5","256.5","256.5","256.5","256.5","256.5","256.5","256.5","256.5","256.5","256.5","256.5","256.5","256.5","256.5","256.5","256.5","256.5","256.5","256.5","256.5","256.5","256.5","256.5","256.5","256.5","256.5","256.5","256.5","256.5","256.5"
"1950:Q1","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","267.4","267.4","267.4","267.4","267.4","267.4","267.4","267.4","267.4","267.4","267.4","267.4","267.4","267.4","267.4","267.4","267.4","267.4","267.4","267.4","267.4","267.4","267.4","267.4","267.4","267.4","267.4","267.4","267.4","267.4","267.4","267.4","267.4","267.4","267.4","267.4","267.4","267.4","267.4","267.4","267.4","267.4","267.4","267.4","267.4","267.4","267.4"
"1950:Q2","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","276.9","276.9","276.9","276.9","276.9","276.9","276.9","276.9","276.9","276.9","276.9","276.9","276.9","276.9","276.9","276.9","276.9","276.9","276.9","276.9","276.9","276.9","276.9","276.9","276.9","276.9","276.9","276.9","276.9","276.9","276.9","276.9","276.9","276.9","276.9","276.9","276.9","276.9","276.9","276.9","276.9","276.9","276.9","276.9","276.9","276.9","276.9"
"1950:Q3","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","294.5","294.5","294.5","294.5","294.5","294.5","294.5","294.5","294.5","294.5","294.5","294.5","294.5","294.5","294.5","294.5","294.5","294.5","294.5","294.5","294.5","294.5","294.5","294.5","294.5","294.5","294.5","294.5","294.5","294.5","294.5","294.5","294.5","294.5","294.5","294.5","294.5","294.5","294.5","294.5","294.5","294.5","294.5","294.5","294.5","294.5","294.5"
"1950:Q4","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","305.9","305.9","305.9","305.9","305.9","305.9","305.9","305.9","305.9","305.9","305.9","305.9","305.9","305.9","305.9","305.9","305.9","305.9","305.9","305.9","305.9","305.9","305.9","305.9","305.9","305.9","305.9","305.9","305.9","305.9","305.9","305.9","305.9","305.9","305.9","305.9","305.9","305.9","305.9","305.9","305.9","305.9","305.9","305.9","305.9","305.9","305.9"
"1951:Q1","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","319.9","319.9","319.9","319.9","319.9","319.9","319.9","319.9","319.9","319.9","319.9","319.9","319.9","319.9","319.9","319.9","319.9","319.9","319.9","319.9","319.9","319.9","319.9","319.9","319.9","319.9","319.9","319.9","319.9","319.9","319.9","319.9","319.9","319.9","319.9","319.9","319.9","319.9","319.9","319.9","319.9","319.9","319.9","319.9","319.9","319.9","319.9"
"1951:Q2","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","327.7","327.7","327.7","327.7","327.7","327.7","327.7","327.7","327.7","327.7","327.7","327.7","327.7","327.7","327.7","327.7","327.7","327.7","327.7","327.7","327.7","327.7","327.7","327.7","327.7","327.7","327.7","327.7","327.7","327.7","327.7","327.7","327.7","327.7","327.7","327.7","327.7","327.7","327.7","327.7","327.7","327.7","327.7","327.7","327.7","327.7","327.7"
"1951:Q3","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","334.4","334.4","334.4","334.4","334.4","334.4","334.4","334.4","334.4","334.4","334.4","334.4","334.4","334.4","334.4","334.4","334.4","334.4","334.4","334.4","334.4","334.4","334.4","334.4","334.4","334.4","334.4","334.4","334.4","334.4","334.4","334.4","334.4","334.4","334.4","334.4","334.4","334.4","334.4","334.4","334.4","334.4","334.4","334.4","334.4","334.4","334.4"
"1951:Q4","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","338.5","338.5","338.5","338.5","338.5","338.5","338.5","338.5","338.5","338.5","338.5","338.5","338.5","338.5","338.5","338.5","338.5","338.5","338.5","338.5","338.5","338.5","338.5","338.5","338.5","338.5","338.5","338.5","338.5","338.5","338.5","338.5","338.5","338.5","338.5","338.5","338.5","338.5","338.5","338.5","338.5","338.5","338.5","338.5","338.5","338.5","338.5"
