"DATE","NCPROFAT10M1","NCPROFAT10M2","NCPROFAT10M3","NCPROFAT10M4","NCPROFAT10M5","NCPROFAT10M6","NCPROFAT10M7","NCPROFAT10M8","NCPROFAT10M9","NCPROFAT10M10","NCPROFAT10M11","NCPROFAT10M12","NCPROFAT11M1","NCPROFAT11M2","NCPROFAT11M3","NCPROFAT11M4","NCPROFAT11M5","NCPROFAT11M6","NCPROFAT11M7","NCPROFAT11M8","NCPROFAT11M9","NCPROFAT11M10","NCPROFAT11M11","NCPROFAT11M12","NCPROFAT12M1","NCPROFAT12M2","NCPROFAT12M3","NCPROFAT12M4","NCPROFAT12M5","NCPROFAT12M6","NCPROFAT12M7","NCPROFAT12M8","NCPROFAT12M9","NCPROFAT12M10","NCPROFAT12M11","NCPROFAT12M12","NCPROFAT13M1","NCPROFAT13M2","NCPROFAT13M3","NCPROFAT13M4","NCPROFAT13M5","NCPROFAT13M6","NCPROFAT13M7","NCPROFAT13M8","NCPROFAT13M9","NCPROFAT13M10","NCPROFAT13M11","NCPROFAT13M12","NCPROFAT14M1","NCPROFAT14M2","NCPROFAT14M3","NCPROFAT14M4","NCPROFAT14M5","NCPROFAT14M6","NCPROFAT14M7","NCPROFAT14M8","NCPROFAT14M9","NCPROFAT14M10","NCPROFAT14M11","NCPROFAT14M12","NCPROFAT15M1","NCPROFAT15M2","NCPROFAT15M3","NCPROFAT15M4","NCPROFAT15M5"
"2010:Q2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1371.7","1382.6","1382.6","1382.6","1382.6","1382.6","1382.6","1382.6","1382.6","1382.6","1382.6","1465.9","1465.9","1465.9","1465.9","1465.9","1465.9","1465.9","1465.9","1465.9","1465.9","1465.9","1465.9","1405.1","1405.1","1405.1","1405.1","1405.1","1405.1","1405.1","1405.1","1405.1","1405.1","1405.1","1405.1","1431.2","1431.2","1431.2","1431.2","1431.2","1431.2","1431.2","1431.2","1431.2","1431.2","1431.2","1431.2","1436.8","1436.8","1436.8","1436.8","1436.8","1436.8","1436.8","1436.8","1436.8","1436.8"
"2010:Q3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1427.1","1416.3","1416.3","1416.3","1416.3","1416.3","1416.3","1416.3","1414.2","1414.2","1414.2","1414.2","1414.2","1414.2","1414.2","1414.2","1414.2","1414.2","1414.2","1414.2","1465.1","1465.1","1465.1","1465.1","1465.1","1465.1","1465.1","1465.1","1465.1","1465.1","1465.1","1465.1","1492.1","1492.1","1492.1","1492.1","1492.1","1492.1","1492.1","1492.1","1492.1","1492.1","1492.1","1492.1","1499.1","1499.1","1499.1","1499.1","1499.1","1499.1","1499.1","1499.1","1499.1","1499.1"
"2010:Q4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1369.3","1369.3","1369.3","1369.3","1337.8","1337.8","1337.8","1337.8","1337.8","1337.8","1337.8","1337.8","1337.8","1337.8","1337.8","1337.8","1467.6","1467.6","1467.6","1467.6","1467.6","1467.6","1467.6","1467.6","1467.6","1467.6","1467.6","1467.6","1486.9","1486.9","1486.9","1486.9","1486.9","1486.9","1486.9","1486.9","1486.9","1486.9","1486.9","1486.9","1494.5","1494.5","1494.5","1494.5","1494.5","1494.5","1494.5","1494.5","1494.5","1494.5"
"2011:Q1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1449.5","1476.4","1454.8","1454.8","1454.8","1454.8","1454.8","1454.8","1454.8","1454.8","1454.8","1454.8","1454.8","1454.8","1402.5","1402.5","1402.5","1402.5","1402.5","1402.5","1402.5","1402.5","1402.5","1402.5","1402.5","1402.5","1399.2","1399.2","1399.2","1399.2","1399.2","1399.2","1399.2","1399.2","1399.2","1399.2","1399.2","1399.2","1350.2","1350.2","1350.2","1350.2","1350.2","1350.2","1350.2","1350.2","1350.2","1350.2"
"2011:Q2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1466.5","1470.1","1470.1","1470.1","1470.1","1470.1","1470.1","1470.1","1470.1","1470.1","1470.1","1454.5","1454.5","1454.5","1454.5","1454.5","1454.5","1454.5","1454.5","1454.5","1454.5","1454.5","1454.5","1466.1","1466.1","1466.1","1466.1","1466.1","1466.1","1466.1","1466.1","1466.1","1466.1","1466.1","1466.1","1423.1","1423.1","1423.1","1423.1","1423.1","1423.1","1423.1","1423.1","1423.1","1423.1"
"2011:Q3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1506.6","1501.5","1501.5","1501.5","1501.5","1501.5","1501.5","1501.5","1477.3","1477.3","1477.3","1477.3","1477.3","1477.3","1477.3","1477.3","1477.3","1477.3","1477.3","1477.3","1482.1","1482.1","1482.1","1482.1","1482.1","1482.1","1482.1","1482.1","1482.1","1482.1","1482.1","1482.1","1430.4","1430.4","1430.4","1430.4","1430.4","1430.4","1430.4","1430.4","1430.4","1430.4"
"2011:Q4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1493.9","1493.9","1493.9","1493.9","1566.1","1566.1","1566.1","1566.1","1566.1","1566.1","1566.1","1566.1","1566.1","1566.1","1566.1","1566.1","1545.1","1545.1","1545.1","1545.1","1545.1","1545.1","1545.1","1545.1","1545.1","1545.1","1545.1","1545.1","1507.1","1507.1","1507.1","1507.1","1507.1","1507.1","1507.1","1507.1","1507.1","1507.1"
"2012:Q1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1669.3","1644.9","1670.9","1670.9","1670.9","1670.9","1670.9","1670.9","1670.9","1670.9","1670.9","1670.9","1670.9","1670.9","1724.9","1724.9","1724.9","1724.9","1724.9","1724.9","1724.9","1724.9","1724.9","1724.9","1724.9","1724.9","1669.7","1669.7","1669.7","1669.7","1669.7","1669.7","1669.7","1669.7","1669.7","1669.7"
"2012:Q2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1648.3","1664.9","1664.9","1664.9","1664.9","1664.9","1664.9","1664.9","1664.9","1664.9","1664.9","1730.3","1730.3","1730.3","1730.3","1730.3","1730.3","1730.3","1730.3","1730.3","1730.3","1730.3","1730.3","1645.9","1645.9","1645.9","1645.9","1645.9","1645.9","1645.9","1645.9","1645.9","1645.9"
"2012:Q3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1752.2","1742.0","1742.0","1742.0","1742.0","1742.0","1742.0","1742.0","1769.4","1769.4","1769.4","1769.4","1769.4","1769.4","1769.4","1769.4","1769.4","1769.4","1769.4","1769.4","1715.1","1715.1","1715.1","1715.1","1715.1","1715.1","1715.1","1715.1","1715.1","1715.1"
"2012:Q4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1773.7","1773.7","1773.7","1773.7","1796.4","1796.4","1796.4","1796.4","1796.4","1796.4","1796.4","1796.4","1796.4","1796.4","1796.4","1796.4","1694.6","1694.6","1694.6","1694.6","1694.6","1694.6","1694.6","1694.6","1694.6","1694.6"
"2013:Q1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1737.6","1749.5","1784.8","1784.8","1784.8","1784.8","1784.8","1784.8","1784.8","1784.8","1784.8","1784.8","1784.8","1784.8","1694.1","1694.1","1694.1","1694.1","1694.1","1694.1","1694.1","1694.1","1694.1","1694.1"
"2013:Q2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1830.4","1821.4","1821.4","1821.4","1821.4","1821.4","1821.4","1821.4","1821.4","1821.4","1821.4","1760.7","1760.7","1760.7","1760.7","1760.7","1760.7","1760.7","1760.7","1760.7","1760.7"
"2013:Q3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1871.7","1868.7","1868.7","1868.7","1868.7","1868.7","1868.7","1868.7","1803.4","1803.4","1803.4","1803.4","1803.4","1803.4","1803.4","1803.4","1803.4","1803.4"
"2013:Q4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1904.5","1904.5","1904.5","1904.5","1786.1","1786.1","1786.1","1786.1","1786.1","1786.1","1786.1","1786.1","1786.1","1786.1"
"2014:Q1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1879.7","1906.8","1734.9","1734.9","1734.9","1734.9","1734.9","1734.9","1734.9","1734.9","1734.9","1734.9"
"2014:Q2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1839.8","1842.2","1842.2","1842.2","1842.2","1842.2","1842.2","1842.2","1842.2"
"2014:Q3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1872.7","1894.6","1894.6","1894.6","1894.6","1894.6"
"2014:Q4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1837.5","1837.5"
"2015:Q1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
