"DATE","RCON70M1","RCON70M2","RCON70M3","RCON70M4","RCON70M5","RCON70M6","RCON70M7","RCON70M8","RCON70M9","RCON70M10","RCON70M11","RCON70M12","RCON71M1","RCON71M2","RCON71M3","RCON71M4","RCON71M5","RCON71M6","RCON71M7","RCON71M8","RCON71M9","RCON71M10","RCON71M11","RCON71M12","RCON72M1","RCON72M2","RCON72M3","RCON72M4","RCON72M5","RCON72M6","RCON72M7","RCON72M8","RCON72M9","RCON72M10","RCON72M11","RCON72M12","RCON73M1","RCON73M2","RCON73M3","RCON73M4","RCON73M5","RCON73M6","RCON73M7","RCON73M8","RCON73M9","RCON73M10","RCON73M11","RCON73M12","RCON74M1","RCON74M2","RCON74M3","RCON74M4","RCON74M5","RCON74M6","RCON74M7","RCON74M8","RCON74M9","RCON74M10","RCON74M11","RCON74M12","RCON75M1","RCON75M2","RCON75M3","RCON75M4","RCON75M5","RCON75M6","RCON75M7","RCON75M8","RCON75M9","RCON75M10","RCON75M11","RCON75M12","RCON76M1","RCON76M2","RCON76M3","RCON76M4","RCON76M5","RCON76M6","RCON76M7","RCON76M8","RCON76M9","RCON76M10","RCON76M11","RCON76M12","RCON77M1","RCON77M2","RCON77M3","RCON77M4","RCON77M5","RCON77M6","RCON77M7","RCON77M8","RCON77M9","RCON77M10","RCON77M11","RCON77M12","RCON78M1","RCON78M2","RCON78M3","RCON78M4","RCON78M5","RCON78M6","RCON78M7","RCON78M8","RCON78M9","RCON78M10","RCON78M11","RCON78M12","RCON79M1","RCON79M2","RCON79M3","RCON79M4","RCON79M5","RCON79M6","RCON79M7","RCON79M8","RCON79M9","RCON79M10","RCON79M11","RCON79M12"
"1947:Q1","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","302.7","302.7","302.7","302.7","302.7","302.7","302.7","302.7","302.7","302.7","302.7","302.7","302.7","302.7","302.7","302.7","302.7","302.7","302.7","302.7","302.7","302.7","302.7","302.7","302.7","302.7","302.7","302.7","302.7","302.7","302.7","302.7","302.7","302.7","302.7","302.7","302.7","302.7","302.7","302.7","302.7","302.7","302.7","302.7","302.7","302.7","302.7"
"1947:Q2","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","307.3","307.3","307.3","307.3","307.3","307.3","307.3","307.3","307.3","307.3","307.3","307.3","307.3","307.3","307.3","307.3","307.3","307.3","307.3","307.3","307.3","307.3","307.3","307.3","307.3","307.3","307.3","307.3","307.3","307.3","307.3","307.3","307.3","307.3","307.3","307.3","307.3","307.3","307.3","307.3","307.3","307.3","307.3","307.3","307.3","307.3","307.3"
"1947:Q3","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","307.6","307.6","307.6","307.6","307.6","307.6","307.6","307.6","307.6","307.6","307.6","307.6","307.6","307.6","307.6","307.6","307.6","307.6","307.6","307.6","307.6","307.6","307.6","307.6","307.6","307.6","307.6","307.6","307.6","307.6","307.6","307.6","307.6","307.6","307.6","307.6","307.6","307.6","307.6","307.6","307.6","307.6","307.6","307.6","307.6","307.6","307.6"
"1947:Q4","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2"
"1948:Q1","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","309.3","309.3","309.3","309.3","309.3","309.3","309.3","309.3","309.3","309.3","309.3","309.3","309.3","309.3","309.3","309.3","309.3","309.3","309.3","309.3","309.3","309.3","309.3","309.3","309.3","309.3","309.3","309.3","309.3","309.3","309.3","309.3","309.3","309.3","309.3","309.3","309.3","309.3","309.3","309.3","309.3","309.3","309.3","309.3","309.3","309.3","309.3"
"1948:Q2","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","312.5","312.5","312.5","312.5","312.5","312.5","312.5","312.5","312.5","312.5","312.5","312.5","312.5","312.5","312.5","312.5","312.5","312.5","312.5","312.5","312.5","312.5","312.5","312.5","312.5","312.5","312.5","312.5","312.5","312.5","312.5","312.5","312.5","312.5","312.5","312.5","312.5","312.5","312.5","312.5","312.5","312.5","312.5","312.5","312.5","312.5","312.5"
"1948:Q3","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","313.1","313.1","313.1","313.1","313.1","313.1","313.1","313.1","313.1","313.1","313.1","313.1","313.1","313.1","313.1","313.1","313.1","313.1","313.1","313.1","313.1","313.1","313.1","313.1","313.1","313.1","313.1","313.1","313.1","313.1","313.1","313.1","313.1","313.1","313.1","313.1","313.1","313.1","313.1","313.1","313.1","313.1","313.1","313.1","313.1","313.1","313.1"
"1948:Q4","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","316.1","316.1","316.1","316.1","316.1","316.1","316.1","316.1","316.1","316.1","316.1","316.1","316.1","316.1","316.1","316.1","316.1","316.1","316.1","316.1","316.1","316.1","316.1","316.1","316.1","316.1","316.1","316.1","316.1","316.1","316.1","316.1","316.1","316.1","316.1","316.1","316.1","316.1","316.1","316.1","316.1","316.1","316.1","316.1","316.1","316.1","316.1"
"1949:Q1","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","316.5","316.5","316.5","316.5","316.5","316.5","316.5","316.5","316.5","316.5","316.5","316.5","316.5","316.5","316.5","316.5","316.5","316.5","316.5","316.5","316.5","316.5","316.5","316.5","316.5","316.5","316.5","316.5","316.5","316.5","316.5","316.5","316.5","316.5","316.5","316.5","316.5","316.5","316.5","316.5","316.5","316.5","316.5","316.5","316.5","316.5","316.5"
"1949:Q2","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","320.5","320.5","320.5","320.5","320.5","320.5","320.5","320.5","320.5","320.5","320.5","320.5","320.5","320.5","320.5","320.5","320.5","320.5","320.5","320.5","320.5","320.5","320.5","320.5","320.5","320.5","320.5","320.5","320.5","320.5","320.5","320.5","320.5","320.5","320.5","320.5","320.5","320.5","320.5","320.5","320.5","320.5","320.5","320.5","320.5","320.5","320.5"
"1949:Q3","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","320.0","320.0","320.0","320.0","320.0","320.0","320.0","320.0","320.0","320.0","320.0","320.0","320.0","320.0","320.0","320.0","320.0","320.0","320.0","320.0","320.0","320.0","320.0","320.0","320.0","320.0","320.0","320.0","320.0","320.0","320.0","320.0","320.0","320.0","320.0","320.0","320.0","320.0","320.0","320.0","320.0","320.0","320.0","320.0","320.0","320.0","320.0"
