"DATE","PCONHH09M8","PCONHH09M9","PCONHH09M10","PCONHH09M11","PCONHH09M12","PCONHH10M1","PCONHH10M2","PCONHH10M3","PCONHH10M4","PCONHH10M5","PCONHH10M6","PCONHH10M7","PCONHH10M8","PCONHH10M9","PCONHH10M10","PCONHH10M11","PCONHH10M12","PCONHH11M1","PCONHH11M2","PCONHH11M3","PCONHH11M4","PCONHH11M5","PCONHH11M6","PCONHH11M7","PCONHH11M8","PCONHH11M9","PCONHH11M10","PCONHH11M11","PCONHH11M12","PCONHH12M1","PCONHH12M2","PCONHH12M3","PCONHH12M4","PCONHH12M5","PCONHH12M6","PCONHH12M7","PCONHH12M8","PCONHH12M9","PCONHH12M10","PCONHH12M11","PCONHH12M12","PCONHH13M1","PCONHH13M2","PCONHH13M3","PCONHH13M4","PCONHH13M5","PCONHH13M6","PCONHH13M7","PCONHH13M8","PCONHH13M9","PCONHH13M10","PCONHH13M11","PCONHH13M12","PCONHH14M1","PCONHH14M2","PCONHH14M3","PCONHH14M4","PCONHH14M5","PCONHH14M6","PCONHH14M7","PCONHH14M8","PCONHH14M9","PCONHH14M10","PCONHH14M11","PCONHH14M12","PCONHH15M1","PCONHH15M2","PCONHH15M3","PCONHH15M4","PCONHH15M5","PCONHH15M6"
"1999:Q1","86.875","86.875","86.875","86.875","86.875","86.875","86.875","86.875","86.875","86.875","86.875","86.875","86.875","86.875","86.875","86.875","86.875","86.875","86.875","86.875","86.875","86.875","86.875","86.875","86.915","86.915","86.915","86.915","86.915","86.915","86.915","86.915","86.915","86.915","86.915","86.915","86.915","86.915","86.915","86.915","86.915","86.915","86.915","86.915","86.915","86.915","86.915","86.915","80.19","80.19","80.19","80.19","80.19","80.19","80.19","80.19","80.19","80.19","80.19","80.19","80.191","80.191","80.191","80.191","80.191","80.191","80.191","80.191","80.191","80.191","80.191"
"1999:Q2","87.355","87.355","87.355","87.355","87.355","87.355","87.355","87.355","87.355","87.355","87.355","87.355","87.355","87.355","87.355","87.355","87.355","87.355","87.355","87.355","87.355","87.355","87.355","87.355","87.395","87.395","87.395","87.395","87.395","87.395","87.395","87.395","87.395","87.395","87.395","87.395","87.395","87.395","87.395","87.395","87.395","87.395","87.395","87.395","87.395","87.395","87.395","87.395","80.604","80.604","80.604","80.604","80.604","80.604","80.604","80.604","80.604","80.604","80.604","80.604","80.605","80.605","80.605","80.605","80.605","80.605","80.605","80.605","80.605","80.605","80.605"
"1999:Q3","87.79","87.79","87.79","87.79","87.79","87.79","87.79","87.79","87.79","87.79","87.79","87.79","87.79","87.79","87.79","87.79","87.79","87.79","87.79","87.79","87.79","87.79","87.79","87.79","87.83","87.83","87.83","87.83","87.83","87.83","87.83","87.83","87.83","87.83","87.83","87.83","87.83","87.83","87.83","87.83","87.83","87.83","87.83","87.83","87.83","87.83","87.83","87.83","81.008","81.008","81.008","81.008","81.008","81.008","81.008","81.008","81.008","81.008","81.008","81.008","81.009","81.009","81.009","81.009","81.009","81.009","81.009","81.009","81.009","81.009","81.009"
"1999:Q4","88.248","88.248","88.248","88.248","88.248","88.248","88.248","88.248","88.248","88.248","88.248","88.248","88.248","88.248","88.248","88.248","88.248","88.248","88.248","88.248","88.248","88.248","88.248","88.248","88.288","88.288","88.288","88.288","88.288","88.288","88.288","88.288","88.288","88.288","88.288","88.288","88.288","88.288","88.288","88.288","88.288","88.288","88.288","88.288","88.288","88.288","88.288","88.288","81.467","81.467","81.467","81.467","81.467","81.467","81.467","81.467","81.467","81.467","81.467","81.467","81.468","81.468","81.468","81.468","81.468","81.468","81.468","81.468","81.468","81.468","81.468"
"2000:Q1","89.044","89.044","89.044","89.044","89.044","89.044","89.044","89.044","89.044","89.044","89.044","89.044","89.044","89.044","89.044","89.044","89.044","89.044","89.044","89.044","89.044","89.044","89.044","89.044","89.085","89.085","89.085","89.085","89.085","89.085","89.085","89.085","89.085","89.085","89.085","89.085","89.085","89.085","89.085","89.085","89.085","89.085","89.085","89.085","89.085","89.085","89.085","89.085","82.156","82.156","82.156","82.156","82.156","82.156","82.156","82.156","82.156","82.156","82.156","82.156","82.157","82.157","82.157","82.157","82.157","82.157","82.157","82.157","82.157","82.157","82.157"
"2000:Q2","89.389","89.389","89.389","89.389","89.389","89.389","89.389","89.389","89.389","89.389","89.389","89.389","89.389","89.389","89.389","89.389","89.389","89.389","89.389","89.389","89.389","89.389","89.389","89.389","89.431","89.431","89.431","89.431","89.431","89.431","89.431","89.431","89.431","89.431","89.431","89.431","89.431","89.431","89.431","89.431","89.431","89.431","89.431","89.431","89.431","89.431","89.431","89.431","82.487","82.487","82.487","82.487","82.487","82.487","82.487","82.487","82.487","82.487","82.487","82.487","82.49","82.49","82.49","82.49","82.49","82.49","82.49","82.49","82.49","82.49","82.49"
"2000:Q3","89.916","89.916","89.916","89.916","89.916","89.916","89.916","89.916","89.916","89.916","89.916","89.916","89.916","89.916","89.916","89.916","89.916","89.916","89.916","89.916","89.916","89.916","89.916","89.916","89.957","89.957","89.957","89.957","89.957","89.957","89.957","89.957","89.957","89.957","89.957","89.957","89.957","89.957","89.957","89.957","89.957","89.957","89.957","89.957","89.957","89.957","89.957","89.957","83.007","83.007","83.007","83.007","83.007","83.007","83.007","83.007","83.007","83.007","83.007","83.007","83.011","83.011","83.011","83.011","83.011","83.011","83.011","83.011","83.011","83.011","83.011"
"2000:Q4","90.389","90.389","90.389","90.389","90.389","90.389","90.389","90.389","90.389","90.389","90.389","90.389","90.389","90.389","90.389","90.389","90.389","90.389","90.389","90.389","90.389","90.389","90.389","90.389","90.431","90.431","90.431","90.431","90.431","90.431","90.431","90.431","90.431","90.431","90.431","90.431","90.431","90.431","90.431","90.431","90.431","90.431","90.431","90.431","90.431","90.431","90.431","90.431","83.444","83.444","83.444","83.444","83.444","83.444","83.444","83.444","83.444","83.444","83.444","83.444","83.449","83.449","83.449","83.449","83.449","83.449","83.449","83.449","83.449","83.449","83.449"
"2001:Q1","90.992","90.992","90.992","90.992","90.992","90.992","90.992","90.992","90.992","90.992","90.992","90.992","90.992","90.992","90.992","90.992","90.992","90.992","90.992","90.992","90.992","90.992","90.992","90.992","91.034","91.034","91.034","91.034","91.034","91.034","91.034","91.034","91.034","91.034","91.034","91.034","91.034","91.034","91.034","91.034","91.034","91.034","91.034","91.034","91.034","91.034","91.034","91.034","83.972","83.972","83.972","83.972","83.972","83.972","83.972","83.972","83.972","83.972","83.972","83.972","83.977","83.977","83.977","83.977","83.977","83.977","83.977","83.977","83.977","83.977","83.977"
"2001:Q2","91.419","91.419","91.419","91.419","91.419","91.419","91.419","91.419","91.419","91.419","91.419","91.419","91.419","91.419","91.419","91.419","91.419","91.419","91.419","91.419","91.419","91.419","91.419","91.419","91.461","91.461","91.461","91.461","91.461","91.461","91.461","91.461","91.461","91.461","91.461","91.461","91.461","91.461","91.461","91.461","91.461","91.461","91.461","91.461","91.461","91.461","91.461","91.461","84.365","84.365","84.365","84.365","84.365","84.365","84.365","84.365","84.365","84.365","84.365","84.365","84.371","84.371","84.371","84.371","84.371","84.371","84.371","84.371","84.371","84.371","84.371"
