"DATE","REX80M1","REX80M2","REX80M3","REX80M4","REX80M5","REX80M6","REX80M7","REX80M8","REX80M9","REX80M10","REX80M11","REX80M12","REX81M1","REX81M2","REX81M3","REX81M4","REX81M5","REX81M6","REX81M7","REX81M8","REX81M9","REX81M10","REX81M11","REX81M12","REX82M1","REX82M2","REX82M3","REX82M4","REX82M5","REX82M6","REX82M7","REX82M8","REX82M9","REX82M10","REX82M11","REX82M12","REX83M1","REX83M2","REX83M3","REX83M4","REX83M5","REX83M6","REX83M7","REX83M8","REX83M9","REX83M10","REX83M11","REX83M12","REX84M1","REX84M2","REX84M3","REX84M4","REX84M5","REX84M6","REX84M7","REX84M8","REX84M9","REX84M10","REX84M11","REX84M12","REX85M1","REX85M2","REX85M3","REX85M4","REX85M5","REX85M6","REX85M7","REX85M8","REX85M9","REX85M10","REX85M11","REX85M12","REX86M1","REX86M2","REX86M3","REX86M4","REX86M5","REX86M6","REX86M7","REX86M8","REX86M9","REX86M10","REX86M11","REX86M12","REX87M1","REX87M2","REX87M3","REX87M4","REX87M5","REX87M6","REX87M7","REX87M8","REX87M9","REX87M10","REX87M11","REX87M12","REX88M1","REX88M2","REX88M3","REX88M4","REX88M5","REX88M6","REX88M7","REX88M8","REX88M9","REX88M10","REX88M11","REX88M12","REX89M1","REX89M2","REX89M3","REX89M4","REX89M5","REX89M6","REX89M7","REX89M8","REX89M9","REX89M10","REX89M11","REX89M12"
"1949:Q3","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6"
"1949:Q4","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0"
"1950:Q1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","56.8","56.8","56.8","56.8","56.8","56.8","56.8","56.8","56.8","56.8","56.8","56.8","56.8","56.8","56.8","56.8","56.8","56.8","56.8","56.8","56.8","56.8","56.8","56.8","56.8","56.8","56.8","56.8","56.8","56.8","56.8","56.8","56.8","56.8","56.8","56.8","56.8","56.8","56.8","56.8","56.8","56.8","56.8","56.8","56.8","56.8","56.8","56.8"
"1950:Q2","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4"
"1950:Q3","21.9","21.9","21.9","21.9","21.9","21.9","21.9","21.9","21.9","21.9","21.9","21.9","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7"
"1950:Q4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0"
"1951:Q1","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9"
"1951:Q2","25.5","25.5","25.5","25.5","25.5","25.5","25.5","25.5","25.5","25.5","25.5","25.5","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1"
"1951:Q3","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","30.0","30.0","30.0","30.0","30.0","30.0","30.0","30.0","30.0","30.0","30.0","30.0","30.0","30.0","30.0","30.0","30.0","30.0","30.0","30.0","30.0","30.0","30.0","30.0","30.0","30.0","30.0","30.0","30.0","30.0","30.0","30.0","30.0","30.0","30.0","30.0","30.0","30.0","30.0","30.0","30.0","30.0","30.0","30.0","30.0","30.0","30.0","30.0","30.0","30.0","30.0","30.0","30.0","30.0","30.0","30.0","30.0","30.0","30.0","30.0","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5"
"1951:Q4","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6"
"1952:Q1","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5"
"1952:Q2","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3"
"1952:Q3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9"
"1952:Q4","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9"
"1953:Q1","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","26.3","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0"
