"DATE","RCONND80M1","RCONND80M2","RCONND80M3","RCONND80M4","RCONND80M5","RCONND80M6","RCONND80M7","RCONND80M8","RCONND80M9","RCONND80M10","RCONND80M11","RCONND80M12","RCONND81M1","RCONND81M2","RCONND81M3","RCONND81M4","RCONND81M5","RCONND81M6","RCONND81M7","RCONND81M8","RCONND81M9","RCONND81M10","RCONND81M11","RCONND81M12","RCONND82M1","RCONND82M2","RCONND82M3","RCONND82M4","RCONND82M5","RCONND82M6","RCONND82M7","RCONND82M8","RCONND82M9","RCONND82M10","RCONND82M11","RCONND82M12","RCONND83M1","RCONND83M2","RCONND83M3","RCONND83M4","RCONND83M5","RCONND83M6","RCONND83M7","RCONND83M8","RCONND83M9","RCONND83M10","RCONND83M11","RCONND83M12","RCONND84M1","RCONND84M2","RCONND84M3","RCONND84M4","RCONND84M5","RCONND84M6","RCONND84M7","RCONND84M8","RCONND84M9","RCONND84M10","RCONND84M11","RCONND84M12","RCONND85M1","RCONND85M2","RCONND85M3","RCONND85M4","RCONND85M5","RCONND85M6","RCONND85M7","RCONND85M8","RCONND85M9","RCONND85M10","RCONND85M11","RCONND85M12","RCONND86M1","RCONND86M2","RCONND86M3","RCONND86M4","RCONND86M5","RCONND86M6","RCONND86M7","RCONND86M8","RCONND86M9","RCONND86M10","RCONND86M11","RCONND86M12","RCONND87M1","RCONND87M2","RCONND87M3","RCONND87M4","RCONND87M5","RCONND87M6","RCONND87M7","RCONND87M8","RCONND87M9","RCONND87M10","RCONND87M11","RCONND87M12","RCONND88M1","RCONND88M2","RCONND88M3","RCONND88M4","RCONND88M5","RCONND88M6","RCONND88M7","RCONND88M8","RCONND88M9","RCONND88M10","RCONND88M11","RCONND88M12","RCONND89M1","RCONND89M2","RCONND89M3","RCONND89M4","RCONND89M5","RCONND89M6","RCONND89M7","RCONND89M8","RCONND89M9","RCONND89M10","RCONND89M11","RCONND89M12"
"1947:Q1","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7"
"1947:Q2","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9"
"1947:Q3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8"
"1947:Q4","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2"
"1948:Q1","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1"
"1948:Q2","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2"
"1948:Q3","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9"
"1948:Q4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5"
"1949:Q1","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8"
"1949:Q2","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6"
