"DATE","P10M1","P10M2","P10M3","P10M4","P10M5","P10M6","P10M7","P10M8","P10M9","P10M10","P10M11","P10M12","P11M1","P11M2","P11M3","P11M4","P11M5","P11M6","P11M7","P11M8","P11M9","P11M10","P11M11","P11M12","P12M1","P12M2","P12M3","P12M4","P12M5","P12M6","P12M7","P12M8","P12M9","P12M10","P12M11","P12M12","P13M1","P13M2","P13M3","P13M4","P13M5","P13M6","P13M7","P13M8","P13M9","P13M10","P13M11","P13M12","P14M1","P14M2","P14M3","P14M4","P14M5","P14M6","P14M7","P14M8","P14M9","P14M10","P14M11","P14M12","P15M1","P15M2","P15M3","P15M4","P15M5"
"1977:Q1","36.901","36.901","36.901","36.901","36.901","36.901","36.901","36.901","36.901","36.901","36.901","36.901","36.901","36.901","36.901","36.901","36.901","36.901","36.901","36.933","36.933","36.933","36.933","36.933","36.933","36.933","36.933","36.933","36.933","36.933","36.933","36.933","36.933","36.933","36.933","36.933","36.933","36.933","36.933","36.933","36.933","36.933","36.933","34.416","34.416","34.416","34.416","34.416","34.416","34.416","34.416","34.416","34.416","34.416","34.416","34.411","34.411","34.411","34.411","34.411","34.411","34.411","34.411","34.411","34.411"
"1977:Q2","37.491","37.491","37.491","37.491","37.491","37.491","37.491","37.491","37.491","37.491","37.491","37.491","37.491","37.491","37.491","37.491","37.491","37.491","37.491","37.523","37.523","37.523","37.523","37.523","37.523","37.523","37.523","37.523","37.523","37.523","37.523","37.523","37.523","37.523","37.523","37.523","37.523","37.523","37.523","37.523","37.523","37.523","37.523","34.956","34.956","34.956","34.956","34.956","34.956","34.956","34.956","34.956","34.956","34.956","34.956","34.952","34.952","34.952","34.952","34.952","34.952","34.952","34.952","34.952","34.952"
"1977:Q3","38.009","38.009","38.009","38.009","38.009","38.009","38.009","38.009","38.009","38.009","38.009","38.009","38.009","38.009","38.009","38.009","38.009","38.009","38.009","38.042","38.042","38.042","38.042","38.042","38.042","38.042","38.042","38.042","38.042","38.042","38.042","38.042","38.042","38.042","38.042","38.042","38.042","38.042","38.042","38.042","38.042","38.042","38.042","35.442","35.442","35.442","35.442","35.442","35.442","35.442","35.442","35.442","35.442","35.442","35.442","35.437","35.437","35.437","35.437","35.437","35.437","35.437","35.437","35.437","35.437"
"1977:Q4","38.652","38.652","38.652","38.652","38.652","38.652","38.652","38.652","38.652","38.652","38.652","38.652","38.652","38.652","38.652","38.652","38.652","38.652","38.652","38.685","38.685","38.685","38.685","38.685","38.685","38.685","38.685","38.685","38.685","38.685","38.685","38.685","38.685","38.685","38.685","38.685","38.685","38.685","38.685","38.685","38.685","38.685","38.685","36.038","36.038","36.038","36.038","36.038","36.038","36.038","36.038","36.038","36.038","36.038","36.038","36.034","36.034","36.034","36.034","36.034","36.034","36.034","36.034","36.034","36.034"
"1978:Q1","39.29","39.29","39.29","39.29","39.29","39.29","39.29","39.29","39.29","39.29","39.29","39.29","39.29","39.29","39.29","39.29","39.29","39.29","39.29","39.324","39.324","39.324","39.324","39.324","39.324","39.324","39.324","39.324","39.324","39.324","39.324","39.324","39.324","39.324","39.324","39.324","39.324","39.324","39.324","39.324","39.324","39.324","39.324","36.642","36.642","36.642","36.642","36.642","36.642","36.642","36.642","36.642","36.642","36.642","36.642","36.637","36.637","36.637","36.637","36.637","36.637","36.637","36.637","36.637","36.637"
"1978:Q2","40.048","40.048","40.048","40.048","40.048","40.048","40.048","40.048","40.048","40.048","40.048","40.048","40.048","40.048","40.048","40.048","40.048","40.048","40.048","40.082","40.082","40.082","40.082","40.082","40.082","40.082","40.082","40.082","40.082","40.082","40.082","40.082","40.082","40.082","40.082","40.082","40.082","40.082","40.082","40.082","40.082","40.082","40.082","37.343","37.343","37.343","37.343","37.343","37.343","37.343","37.343","37.343","37.343","37.343","37.343","37.338","37.338","37.338","37.338","37.338","37.338","37.338","37.338","37.338","37.338"
"1978:Q3","40.741","40.741","40.741","40.741","40.741","40.741","40.741","40.741","40.741","40.741","40.741","40.741","40.741","40.741","40.741","40.741","40.741","40.741","40.741","40.776","40.776","40.776","40.776","40.776","40.776","40.776","40.776","40.776","40.776","40.776","40.776","40.776","40.776","40.776","40.776","40.776","40.776","40.776","40.776","40.776","40.776","40.776","40.776","37.992","37.992","37.992","37.992","37.992","37.992","37.992","37.992","37.992","37.992","37.992","37.992","37.987","37.987","37.987","37.987","37.987","37.987","37.987","37.987","37.987","37.987"
"1978:Q4","41.571","41.571","41.571","41.571","41.571","41.571","41.571","41.571","41.571","41.571","41.571","41.571","41.571","41.571","41.571","41.571","41.571","41.571","41.571","41.607","41.607","41.607","41.607","41.607","41.607","41.607","41.607","41.607","41.607","41.607","41.607","41.607","41.607","41.607","41.607","41.607","41.607","41.607","41.607","41.607","41.607","41.607","41.607","38.764","38.764","38.764","38.764","38.764","38.764","38.764","38.764","38.764","38.764","38.764","38.764","38.759","38.759","38.759","38.759","38.759","38.759","38.759","38.759","38.759","38.759"
"1979:Q1","42.334","42.334","42.334","42.334","42.334","42.334","42.334","42.334","42.334","42.334","42.334","42.334","42.334","42.334","42.334","42.334","42.334","42.334","42.334","42.37","42.37","42.37","42.37","42.37","42.37","42.37","42.37","42.37","42.37","42.37","42.37","42.37","42.37","42.37","42.37","42.37","42.37","42.37","42.37","42.37","42.37","42.37","42.37","39.475","39.475","39.475","39.475","39.475","39.475","39.475","39.475","39.475","39.475","39.475","39.475","39.47","39.47","39.47","39.47","39.47","39.47","39.47","39.47","39.47","39.47"
"1979:Q2","43.364","43.364","43.364","43.364","43.364","43.364","43.364","43.364","43.364","43.364","43.364","43.364","43.364","43.364","43.364","43.364","43.364","43.364","43.364","43.401","43.401","43.401","43.401","43.401","43.401","43.401","43.401","43.401","43.401","43.401","43.401","43.401","43.401","43.401","43.401","43.401","43.401","43.401","43.401","43.401","43.401","43.401","43.401","40.416","40.416","40.416","40.416","40.416","40.416","40.416","40.416","40.416","40.416","40.416","40.416","40.411","40.411","40.411","40.411","40.411","40.411","40.411","40.411","40.411","40.411"
