"DATE","P10M1","P10M2","P10M3","P10M4","P10M5","P10M6","P10M7","P10M8","P10M9","P10M10","P10M11","P10M12","P11M1","P11M2","P11M3","P11M4","P11M5","P11M6","P11M7","P11M8","P11M9","P11M10","P11M11","P11M12","P12M1","P12M2","P12M3","P12M4","P12M5","P12M6","P12M7","P12M8","P12M9","P12M10","P12M11","P12M12","P13M1","P13M2","P13M3","P13M4","P13M5","P13M6","P13M7","P13M8","P13M9","P13M10","P13M11","P13M12","P14M1","P14M2","P14M3","P14M4","P14M5","P14M6","P14M7","P14M8","P14M9","P14M10","P14M11","P14M12","P15M1","P15M2","P15M3","P15M4","P15M5"
"1984:Q3","60.111","60.111","60.111","60.111","60.111","60.111","60.111","60.111","60.111","60.111","60.111","60.111","60.111","60.111","60.111","60.111","60.111","60.111","60.111","60.163","60.163","60.163","60.163","60.163","60.163","60.163","60.163","60.163","60.163","60.163","60.163","60.163","60.163","60.163","60.163","60.163","60.163","60.163","60.163","60.163","60.163","60.163","60.163","55.833","55.833","55.833","55.833","55.833","55.833","55.833","55.833","55.833","55.833","55.833","55.833","55.827","55.827","55.827","55.827","55.827","55.827","55.827","55.827","55.827","55.827"
"1984:Q4","60.466","60.466","60.466","60.466","60.466","60.466","60.466","60.466","60.466","60.466","60.466","60.466","60.466","60.466","60.466","60.466","60.466","60.466","60.466","60.517","60.517","60.517","60.517","60.517","60.517","60.517","60.517","60.517","60.517","60.517","60.517","60.517","60.517","60.517","60.517","60.517","60.517","60.517","60.517","60.517","60.517","60.517","60.517","56.18","56.18","56.18","56.18","56.18","56.18","56.18","56.18","56.18","56.18","56.18","56.18","56.174","56.174","56.174","56.174","56.174","56.174","56.174","56.174","56.174","56.174"
"1985:Q1","61.157","61.157","61.157","61.157","61.157","61.157","61.157","61.157","61.157","61.157","61.157","61.157","61.157","61.157","61.157","61.157","61.157","61.157","61.157","61.209","61.209","61.209","61.209","61.209","61.209","61.209","61.209","61.209","61.209","61.209","61.209","61.209","61.209","61.209","61.209","61.209","61.209","61.209","61.209","61.209","61.209","61.209","61.209","56.845","56.845","56.845","56.845","56.845","56.845","56.845","56.845","56.845","56.845","56.845","56.845","56.839","56.839","56.839","56.839","56.839","56.839","56.839","56.839","56.839","56.839"
"1985:Q2","61.471","61.471","61.471","61.471","61.471","61.471","61.471","61.471","61.471","61.471","61.471","61.471","61.471","61.471","61.471","61.471","61.471","61.471","61.471","61.524","61.524","61.524","61.524","61.524","61.524","61.524","61.524","61.524","61.524","61.524","61.524","61.524","61.524","61.524","61.524","61.524","61.524","61.524","61.524","61.524","61.524","61.524","61.524","57.167","57.167","57.167","57.167","57.167","57.167","57.167","57.167","57.167","57.167","57.167","57.167","57.161","57.161","57.161","57.161","57.161","57.161","57.161","57.161","57.161","57.161"
"1985:Q3","61.763","61.763","61.763","61.763","61.763","61.763","61.763","61.763","61.763","61.763","61.763","61.763","61.763","61.763","61.763","61.763","61.763","61.763","61.763","61.816","61.816","61.816","61.816","61.816","61.816","61.816","61.816","61.816","61.816","61.816","61.816","61.816","61.816","61.816","61.816","61.816","61.816","61.816","61.816","61.816","61.816","61.816","61.816","57.534","57.534","57.534","57.534","57.534","57.534","57.534","57.534","57.534","57.534","57.534","57.534","57.528","57.528","57.528","57.528","57.528","57.528","57.528","57.528","57.528","57.528"
"1985:Q4","62.142","62.142","62.142","62.142","62.142","62.142","62.142","62.142","62.142","62.142","62.142","62.142","62.142","62.142","62.142","62.142","62.142","62.142","62.142","62.195","62.195","62.195","62.195","62.195","62.195","62.195","62.195","62.195","62.195","62.195","62.195","62.195","62.195","62.195","62.195","62.195","62.195","62.195","62.195","62.195","62.195","62.195","62.195","57.843","57.843","57.843","57.843","57.843","57.843","57.843","57.843","57.843","57.843","57.843","57.843","57.837","57.837","57.837","57.837","57.837","57.837","57.837","57.837","57.837","57.837"
"1986:Q1","62.457","62.457","62.457","62.457","62.457","62.457","62.457","62.457","62.457","62.457","62.457","62.457","62.457","62.457","62.457","62.457","62.457","62.457","62.457","62.511","62.511","62.511","62.511","62.511","62.511","62.511","62.511","62.511","62.511","62.511","62.511","62.511","62.511","62.511","62.511","62.511","62.511","62.511","62.511","62.511","62.511","62.511","62.511","58.124","58.124","58.124","58.124","58.124","58.124","58.124","58.124","58.124","58.124","58.124","58.124","58.118","58.118","58.118","58.118","58.118","58.118","58.118","58.118","58.118","58.118"
"1986:Q2","62.769","62.769","62.769","62.769","62.769","62.769","62.769","62.769","62.769","62.769","62.769","62.769","62.769","62.769","62.769","62.769","62.769","62.769","62.769","62.823","62.823","62.823","62.823","62.823","62.823","62.823","62.823","62.823","62.823","62.823","62.823","62.823","62.823","62.823","62.823","62.823","62.823","62.823","62.823","62.823","62.823","62.823","62.823","58.34","58.34","58.34","58.34","58.34","58.34","58.34","58.34","58.34","58.34","58.34","58.34","58.334","58.334","58.334","58.334","58.334","58.334","58.334","58.334","58.334","58.334"
"1986:Q3","63.165","63.165","63.165","63.165","63.165","63.165","63.165","63.165","63.165","63.165","63.165","63.165","63.165","63.165","63.165","63.165","63.165","63.165","63.165","63.219","63.219","63.219","63.219","63.219","63.219","63.219","63.219","63.219","63.219","63.219","63.219","63.219","63.219","63.219","63.219","63.219","63.219","63.219","63.219","63.219","63.219","63.219","63.219","58.612","58.612","58.612","58.612","58.612","58.612","58.612","58.612","58.612","58.612","58.612","58.612","58.606","58.606","58.606","58.606","58.606","58.606","58.606","58.606","58.606","58.606"
"1986:Q4","63.622","63.622","63.622","63.622","63.622","63.622","63.622","63.622","63.622","63.622","63.622","63.622","63.622","63.622","63.622","63.622","63.622","63.622","63.622","63.676","63.676","63.676","63.676","63.676","63.676","63.676","63.676","63.676","63.676","63.676","63.676","63.676","63.676","63.676","63.676","63.676","63.676","63.676","63.676","63.676","63.676","63.676","63.676","58.965","58.965","58.965","58.965","58.965","58.965","58.965","58.965","58.965","58.965","58.965","58.965","58.96","58.96","58.96","58.96","58.96","58.96","58.96","58.96","58.96","58.96"
"1987:Q1","64.122","64.122","64.122","64.122","64.122","64.122","64.122","64.122","64.122","64.122","64.122","64.122","64.122","64.122","64.122","64.122","64.122","64.122","64.122","64.177","64.177","64.177","64.177","64.177","64.177","64.177","64.177","64.177","64.177","64.177","64.177","64.177","64.177","64.177","64.177","64.177","64.177","64.177","64.177","64.177","64.177","64.177","64.177","59.312","59.312","59.312","59.312","59.312","59.312","59.312","59.312","59.312","59.312","59.312","59.312","59.306","59.306","59.306","59.306","59.306","59.306","59.306","59.306","59.306","59.306"
"1987:Q2","64.482","64.482","64.482","64.482","64.482","64.482","64.482","64.482","64.482","64.482","64.482","64.482","64.482","64.482","64.482","64.482","64.482","64.482","64.482","64.537","64.537","64.537","64.537","64.537","64.537","64.537","64.537","64.537","64.537","64.537","64.537","64.537","64.537","64.537","64.537","64.537","64.537","64.537","64.537","64.537","64.537","64.537","64.537","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.694","59.694","59.694","59.694","59.694","59.694","59.694","59.694","59.694","59.694"
"1987:Q3","64.99","64.99","64.99","64.99","64.99","64.99","64.99","64.99","64.99","64.99","64.99","64.99","64.99","64.99","64.99","64.99","64.99","64.99","64.99","65.046","65.046","65.046","65.046","65.046","65.046","65.046","65.046","65.046","65.046","65.046","65.046","65.046","65.046","65.046","65.046","65.046","65.046","65.046","65.046","65.046","65.046","65.046","65.046","60.141","60.141","60.141","60.141","60.141","60.141","60.141","60.141","60.141","60.141","60.141","60.141","60.135","60.135","60.135","60.135","60.135","60.135","60.135","60.135","60.135","60.135"
"1987:Q4","65.456","65.456","65.456","65.456","65.456","65.456","65.456","65.456","65.456","65.456","65.456","65.456","65.456","65.456","65.456","65.456","65.456","65.456","65.456","65.512","65.512","65.512","65.512","65.512","65.512","65.512","65.512","65.512","65.512","65.512","65.512","65.512","65.512","65.512","65.512","65.512","65.512","65.512","65.512","65.512","65.512","65.512","65.512","60.611","60.611","60.611","60.611","60.611","60.611","60.611","60.611","60.611","60.611","60.611","60.611","60.605","60.605","60.605","60.605","60.605","60.605","60.605","60.605","60.605","60.605"
"1988:Q1","65.982","65.982","65.982","65.982","65.982","65.982","65.982","65.982","65.982","65.982","65.982","65.982","65.982","65.982","65.982","65.982","65.982","65.982","65.982","66.039","66.039","66.039","66.039","66.039","66.039","66.039","66.039","66.039","66.039","66.039","66.039","66.039","66.039","66.039","66.039","66.039","66.039","66.039","66.039","66.039","66.039","66.039","66.039","61.081","61.081","61.081","61.081","61.081","61.081","61.081","61.081","61.081","61.081","61.081","61.081","61.075","61.075","61.075","61.075","61.075","61.075","61.075","61.075","61.075","61.075"
"1988:Q2","66.618","66.618","66.618","66.618","66.618","66.618","66.618","66.618","66.618","66.618","66.618","66.618","66.618","66.618","66.618","66.618","66.618","66.618","66.618","66.675","66.675","66.675","66.675","66.675","66.675","66.675","66.675","66.675","66.675","66.675","66.675","66.675","66.675","66.675","66.675","66.675","66.675","66.675","66.675","66.675","66.675","66.675","66.675","61.687","61.687","61.687","61.687","61.687","61.687","61.687","61.687","61.687","61.687","61.687","61.687","61.681","61.681","61.681","61.681","61.681","61.681","61.681","61.681","61.681","61.681"
"1988:Q3","67.408","67.408","67.408","67.408","67.408","67.408","67.408","67.408","67.408","67.408","67.408","67.408","67.408","67.408","67.408","67.408","67.408","67.408","67.408","67.466","67.466","67.466","67.466","67.466","67.466","67.466","67.466","67.466","67.466","67.466","67.466","67.466","67.466","67.466","67.466","67.466","67.466","67.466","67.466","67.466","67.466","67.466","67.466","62.432","62.432","62.432","62.432","62.432","62.432","62.432","62.432","62.432","62.432","62.432","62.432","62.426","62.426","62.426","62.426","62.426","62.426","62.426","62.426","62.426","62.426"
"1988:Q4","67.952","67.952","67.952","67.952","67.952","67.952","67.952","67.952","67.952","67.952","67.952","67.952","67.952","67.952","67.952","67.952","67.952","67.952","67.952","68.01","68.01","68.01","68.01","68.01","68.01","68.01","68.01","68.01","68.01","68.01","68.01","68.01","68.01","68.01","68.01","68.01","68.01","68.01","68.01","68.01","68.01","68.01","68.01","62.967","62.967","62.967","62.967","62.967","62.967","62.967","62.967","62.967","62.967","62.967","62.967","62.961","62.961","62.961","62.961","62.961","62.961","62.961","62.961","62.961","62.961"
"1989:Q1","68.662","68.662","68.662","68.662","68.662","68.662","68.662","68.662","68.662","68.662","68.662","68.662","68.662","68.662","68.662","68.662","68.662","68.662","68.662","68.72","68.72","68.72","68.72","68.72","68.72","68.72","68.72","68.72","68.72","68.72","68.72","68.72","68.72","68.72","68.72","68.72","68.72","68.72","68.72","68.72","68.72","68.72","68.72","63.609","63.609","63.609","63.609","63.609","63.609","63.609","63.609","63.609","63.609","63.609","63.609","63.602","63.602","63.602","63.602","63.602","63.602","63.602","63.602","63.602","63.602"
"1989:Q2","69.346","69.346","69.346","69.346","69.346","69.346","69.346","69.346","69.346","69.346","69.346","69.346","69.346","69.346","69.346","69.346","69.346","69.346","69.346","69.405","69.405","69.405","69.405","69.405","69.405","69.405","69.405","69.405","69.405","69.405","69.405","69.405","69.405","69.405","69.405","69.405","69.405","69.405","69.405","69.405","69.405","69.405","69.405","64.278","64.278","64.278","64.278","64.278","64.278","64.278","64.278","64.278","64.278","64.278","64.278","64.271","64.271","64.271","64.271","64.271","64.271","64.271","64.271","64.271","64.271"
"1989:Q3","69.816","69.816","69.816","69.816","69.816","69.816","69.816","69.816","69.816","69.816","69.816","69.816","69.816","69.816","69.816","69.816","69.816","69.816","69.816","69.876","69.876","69.876","69.876","69.876","69.876","69.876","69.876","69.876","69.876","69.876","69.876","69.876","69.876","69.876","69.876","69.876","69.876","69.876","69.876","69.876","69.876","69.876","69.876","64.75","64.75","64.75","64.75","64.75","64.75","64.75","64.75","64.75","64.75","64.75","64.75","64.744","64.744","64.744","64.744","64.744","64.744","64.744","64.744","64.744","64.744"
"1989:Q4","70.256","70.256","70.256","70.256","70.256","70.256","70.256","70.256","70.256","70.256","70.256","70.256","70.256","70.256","70.256","70.256","70.256","70.256","70.256","70.316","70.316","70.316","70.316","70.316","70.316","70.316","70.316","70.316","70.316","70.316","70.316","70.316","70.316","70.316","70.316","70.316","70.316","70.316","70.316","70.316","70.316","70.316","70.316","65.181","65.181","65.181","65.181","65.181","65.181","65.181","65.181","65.181","65.181","65.181","65.181","65.174","65.174","65.174","65.174","65.174","65.174","65.174","65.174","65.174","65.174"
"1990:Q1","71.109","71.109","71.109","71.109","71.109","71.109","71.109","71.109","71.109","71.109","71.109","71.109","71.109","71.109","71.109","71.109","71.109","71.109","71.109","71.17","71.17","71.17","71.17","71.17","71.17","71.17","71.17","71.17","71.17","71.17","71.17","71.17","71.17","71.17","71.17","71.17","71.17","71.17","71.17","71.17","71.17","71.17","71.17","65.908","65.908","65.908","65.908","65.908","65.908","65.908","65.908","65.908","65.908","65.908","65.908","65.901","65.901","65.901","65.901","65.901","65.901","65.901","65.901","65.901","65.901"
"1990:Q2","71.936","71.936","71.936","71.936","71.936","71.936","71.936","71.936","71.936","71.936","71.936","71.936","71.936","71.936","71.936","71.936","71.936","71.936","71.936","71.997","71.997","71.997","71.997","71.997","71.997","71.997","71.997","71.997","71.997","71.997","71.997","71.997","71.997","71.997","71.997","71.997","71.997","71.997","71.997","71.997","71.997","71.997","71.997","66.587","66.587","66.587","66.587","66.587","66.587","66.587","66.587","66.587","66.587","66.587","66.587","66.58","66.58","66.58","66.58","66.58","66.58","66.58","66.58","66.58","66.58"
"1990:Q3","72.604","72.604","72.604","72.604","72.604","72.604","72.604","72.604","72.604","72.604","72.604","72.604","72.604","72.604","72.604","72.604","72.604","72.604","72.604","72.666","72.666","72.666","72.666","72.666","72.666","72.666","72.666","72.666","72.666","72.666","72.666","72.666","72.666","72.666","72.666","72.666","72.666","72.666","72.666","72.666","72.666","72.666","72.666","67.187","67.187","67.187","67.187","67.187","67.187","67.187","67.187","67.187","67.187","67.187","67.187","67.18","67.18","67.18","67.18","67.18","67.18","67.18","67.18","67.18","67.18"
"1990:Q4","73.202","73.202","73.202","73.202","73.202","73.202","73.202","73.202","73.202","73.202","73.202","73.202","73.202","73.202","73.202","73.202","73.202","73.202","73.202","73.265","73.265","73.265","73.265","73.265","73.265","73.265","73.265","73.265","73.265","73.265","73.265","73.265","73.265","73.265","73.265","73.265","73.265","73.265","73.265","73.265","73.265","73.265","73.265","67.709","67.709","67.709","67.709","67.709","67.709","67.709","67.709","67.709","67.709","67.709","67.709","67.702","67.702","67.702","67.702","67.702","67.702","67.702","67.702","67.702","67.702"
"1991:Q1","73.985","73.985","73.985","73.985","73.985","73.985","73.985","73.985","73.985","73.985","73.985","73.985","73.985","73.985","73.985","73.985","73.985","73.985","73.985","74.049","74.049","74.049","74.049","74.049","74.049","74.049","74.049","74.049","74.049","74.049","74.049","74.049","74.049","74.049","74.049","74.049","74.049","74.049","74.049","74.049","74.049","74.049","74.049","68.379","68.379","68.379","68.379","68.379","68.379","68.379","68.379","68.379","68.379","68.379","68.379","68.373","68.373","68.373","68.373","68.373","68.373","68.373","68.373","68.373","68.373"
"1991:Q2","74.503","74.503","74.503","74.503","74.503","74.503","74.503","74.503","74.503","74.503","74.503","74.503","74.503","74.503","74.503","74.503","74.503","74.503","74.503","74.567","74.567","74.567","74.567","74.567","74.567","74.567","74.567","74.567","74.567","74.567","74.567","74.567","74.567","74.567","74.567","74.567","74.567","74.567","74.567","74.567","74.567","74.567","74.567","68.839","68.839","68.839","68.839","68.839","68.839","68.839","68.839","68.839","68.839","68.839","68.839","68.832","68.832","68.832","68.832","68.832","68.832","68.832","68.832","68.832","68.832"
"1991:Q3","75.067","75.067","75.067","75.067","75.067","75.067","75.067","75.067","75.067","75.067","75.067","75.067","75.067","75.067","75.067","75.067","75.067","75.067","75.067","75.131","75.131","75.131","75.131","75.131","75.131","75.131","75.131","75.131","75.131","75.131","75.131","75.131","75.131","75.131","75.131","75.131","75.131","75.131","75.131","75.131","75.131","75.131","75.131","69.335","69.335","69.335","69.335","69.335","69.335","69.335","69.335","69.335","69.335","69.335","69.335","69.328","69.328","69.328","69.328","69.328","69.328","69.328","69.328","69.328","69.328"
"1991:Q4","75.492","75.492","75.492","75.492","75.492","75.492","75.492","75.492","75.492","75.492","75.492","75.492","75.492","75.492","75.492","75.492","75.492","75.492","75.492","75.557","75.557","75.557","75.557","75.557","75.557","75.557","75.557","75.557","75.557","75.557","75.557","75.557","75.557","75.557","75.557","75.557","75.557","75.557","75.557","75.557","75.557","75.557","75.557","69.701","69.701","69.701","69.701","69.701","69.701","69.701","69.701","69.701","69.701","69.701","69.701","69.694","69.694","69.694","69.694","69.694","69.694","69.694","69.694","69.694","69.694"
"1992:Q1","75.919","75.919","75.919","75.919","75.919","75.919","75.919","75.919","75.919","75.919","75.919","75.919","75.919","75.919","75.919","75.919","75.919","75.919","75.919","75.984","75.984","75.984","75.984","75.984","75.984","75.984","75.984","75.984","75.984","75.984","75.984","75.984","75.984","75.984","75.984","75.984","75.984","75.984","75.984","75.984","75.984","75.984","75.984","70.02","70.02","70.02","70.02","70.02","70.02","70.02","70.02","70.02","70.02","70.02","70.02","70.014","70.014","70.014","70.014","70.014","70.014","70.014","70.014","70.014","70.014"
"1992:Q2","76.371","76.371","76.371","76.371","76.371","76.371","76.371","76.371","76.371","76.371","76.371","76.371","76.371","76.371","76.371","76.371","76.371","76.371","76.371","76.436","76.436","76.436","76.436","76.436","76.436","76.436","76.436","76.436","76.436","76.436","76.436","76.436","76.436","76.436","76.436","76.436","76.436","76.436","76.436","76.436","76.436","76.436","76.436","70.464","70.464","70.464","70.464","70.464","70.464","70.464","70.464","70.464","70.464","70.464","70.464","70.457","70.457","70.457","70.457","70.457","70.457","70.457","70.457","70.457","70.457"
"1992:Q3","76.71","76.71","76.71","76.71","76.71","76.71","76.71","76.71","76.71","76.71","76.71","76.71","76.71","76.71","76.71","76.71","76.71","76.71","76.71","76.776","76.776","76.776","76.776","76.776","76.776","76.776","76.776","76.776","76.776","76.776","76.776","76.776","76.776","76.776","76.776","76.776","76.776","76.776","76.776","76.776","76.776","76.776","76.776","70.792","70.792","70.792","70.792","70.792","70.792","70.792","70.792","70.792","70.792","70.792","70.792","70.785","70.785","70.785","70.785","70.785","70.785","70.785","70.785","70.785","70.785"
"1992:Q4","77.146","77.146","77.146","77.146","77.146","77.146","77.146","77.146","77.146","77.146","77.146","77.146","77.146","77.146","77.146","77.146","77.146","77.146","77.146","77.212","77.212","77.212","77.212","77.212","77.212","77.212","77.212","77.212","77.212","77.212","77.212","77.212","77.212","77.212","77.212","77.212","77.212","77.212","77.212","77.212","77.212","77.212","77.212","71.282","71.282","71.282","71.282","71.282","71.282","71.282","71.282","71.282","71.282","71.282","71.282","71.275","71.275","71.275","71.275","71.275","71.275","71.275","71.275","71.275","71.275"
"1993:Q1","77.62","77.62","77.62","77.62","77.62","77.62","77.62","77.62","77.62","77.62","77.62","77.62","77.62","77.62","77.62","77.62","77.62","77.62","77.62","77.687","77.687","77.687","77.687","77.687","77.687","77.687","77.687","77.687","77.687","77.687","77.687","77.687","77.687","77.687","77.687","77.687","77.687","77.687","77.687","77.687","77.687","77.687","77.687","71.712","71.712","71.712","71.712","71.712","71.712","71.712","71.712","71.712","71.712","71.712","71.712","71.704","71.704","71.704","71.704","71.704","71.704","71.704","71.704","71.704","71.704"
"1993:Q2","78.042","78.042","78.042","78.042","78.042","78.042","78.042","78.042","78.042","78.042","78.042","78.042","78.042","78.042","78.042","78.042","78.042","78.042","78.042","78.109","78.109","78.109","78.109","78.109","78.109","78.109","78.109","78.109","78.109","78.109","78.109","78.109","78.109","78.109","78.109","78.109","78.109","78.109","78.109","78.109","78.109","78.109","78.109","72.144","72.144","72.144","72.144","72.144","72.144","72.144","72.144","72.144","72.144","72.144","72.144","72.136","72.136","72.136","72.136","72.136","72.136","72.136","72.136","72.136","72.136"
"1993:Q3","78.409","78.409","78.409","78.409","78.409","78.409","78.409","78.409","78.409","78.409","78.409","78.409","78.409","78.409","78.409","78.409","78.409","78.409","78.409","78.476","78.476","78.476","78.476","78.476","78.476","78.476","78.476","78.476","78.476","78.476","78.476","78.476","78.476","78.476","78.476","78.476","78.476","78.476","78.476","78.476","78.476","78.476","78.476","72.512","72.512","72.512","72.512","72.512","72.512","72.512","72.512","72.512","72.512","72.512","72.512","72.504","72.504","72.504","72.504","72.504","72.504","72.504","72.504","72.504","72.504"
"1993:Q4","78.816","78.816","78.816","78.816","78.816","78.816","78.816","78.816","78.816","78.816","78.816","78.816","78.816","78.816","78.816","78.816","78.816","78.816","78.816","78.883","78.883","78.883","78.883","78.883","78.883","78.883","78.883","78.883","78.883","78.883","78.883","78.883","78.883","78.883","78.883","78.883","78.883","78.883","78.883","78.883","78.883","78.883","78.883","72.92","72.92","72.92","72.92","72.92","72.92","72.92","72.92","72.92","72.92","72.92","72.92","72.913","72.913","72.913","72.913","72.913","72.913","72.913","72.913","72.913","72.913"
"1994:Q1","79.25","79.25","79.25","79.25","79.25","79.25","79.25","79.25","79.25","79.25","79.25","79.25","79.25","79.25","79.25","79.25","79.25","79.25","79.25","79.318","79.318","79.318","79.318","79.318","79.318","79.318","79.318","79.318","79.318","79.318","79.318","79.318","79.318","79.318","79.318","79.318","79.318","79.318","79.318","79.318","79.318","79.318","79.318","73.299","73.299","73.299","73.299","73.299","73.299","73.299","73.299","73.299","73.299","73.299","73.299","73.291","73.291","73.291","73.291","73.291","73.291","73.291","73.291","73.291","73.291"
"1994:Q2","79.633","79.633","79.633","79.633","79.633","79.633","79.633","79.633","79.633","79.633","79.633","79.633","79.633","79.633","79.633","79.633","79.633","79.633","79.633","79.701","79.701","79.701","79.701","79.701","79.701","79.701","79.701","79.701","79.701","79.701","79.701","79.701","79.701","79.701","79.701","79.701","79.701","79.701","79.701","79.701","79.701","79.701","79.701","73.66","73.66","73.66","73.66","73.66","73.66","73.66","73.66","73.66","73.66","73.66","73.66","73.652","73.652","73.652","73.652","73.652","73.652","73.652","73.652","73.652","73.652"
"1994:Q3","80.08","80.08","80.08","80.08","80.08","80.08","80.08","80.08","80.08","80.08","80.08","80.08","80.08","80.08","80.08","80.08","80.08","80.08","80.08","80.149","80.149","80.149","80.149","80.149","80.149","80.149","80.149","80.149","80.149","80.149","80.149","80.149","80.149","80.149","80.149","80.149","80.149","80.149","80.149","80.149","80.149","80.149","80.149","74.029","74.029","74.029","74.029","74.029","74.029","74.029","74.029","74.029","74.029","74.029","74.029","74.021","74.021","74.021","74.021","74.021","74.021","74.021","74.021","74.021","74.021"
"1994:Q4","80.503","80.503","80.503","80.503","80.503","80.503","80.503","80.503","80.503","80.503","80.503","80.503","80.503","80.503","80.503","80.503","80.503","80.503","80.503","80.572","80.572","80.572","80.572","80.572","80.572","80.572","80.572","80.572","80.572","80.572","80.572","80.572","80.572","80.572","80.572","80.572","80.572","80.572","80.572","80.572","80.572","80.572","80.572","74.449","74.449","74.449","74.449","74.449","74.449","74.449","74.449","74.449","74.449","74.449","74.449","74.44","74.44","74.44","74.44","74.44","74.44","74.44","74.44","74.44","74.44"
"1995:Q1","80.985","80.985","80.985","80.985","80.985","80.985","80.985","80.985","80.985","80.985","80.985","80.985","80.985","80.985","80.985","80.985","80.985","80.985","80.985","81.054","81.054","81.054","81.054","81.054","81.054","81.054","81.054","81.054","81.054","81.054","81.054","81.054","81.054","81.054","81.054","81.054","81.054","81.054","81.054","81.054","81.054","81.054","81.054","74.899","74.899","74.899","74.899","74.899","74.899","74.899","74.899","74.899","74.899","74.899","74.899","74.89","74.89","74.89","74.89","74.89","74.89","74.89","74.89","74.89","74.89"
"1995:Q2","81.346","81.346","81.346","81.346","81.346","81.346","81.346","81.346","81.346","81.346","81.346","81.346","81.346","81.346","81.346","81.346","81.346","81.346","81.346","81.416","81.416","81.416","81.416","81.416","81.416","81.416","81.416","81.416","81.416","81.416","81.416","81.416","81.416","81.416","81.416","81.416","81.416","81.416","81.416","81.416","81.416","81.416","81.416","75.234","75.234","75.234","75.234","75.234","75.234","75.234","75.234","75.234","75.234","75.234","75.234","75.226","75.226","75.226","75.226","75.226","75.226","75.226","75.226","75.226","75.226"
"1995:Q3","81.691","81.691","81.691","81.691","81.691","81.691","81.691","81.691","81.691","81.691","81.691","81.691","81.691","81.691","81.691","81.691","81.691","81.691","81.691","81.76","81.76","81.76","81.76","81.76","81.76","81.76","81.76","81.76","81.76","81.76","81.76","81.76","81.76","81.76","81.76","81.76","81.76","81.76","81.76","81.76","81.76","81.76","81.76","75.556","75.556","75.556","75.556","75.556","75.556","75.556","75.556","75.556","75.556","75.556","75.556","75.548","75.548","75.548","75.548","75.548","75.548","75.548","75.548","75.548","75.548"
"1995:Q4","82.11","82.11","82.11","82.11","82.11","82.11","82.11","82.11","82.11","82.11","82.11","82.11","82.11","82.11","82.11","82.11","82.11","82.11","82.11","82.18","82.18","82.18","82.18","82.18","82.18","82.18","82.18","82.18","82.18","82.18","82.18","82.18","82.18","82.18","82.18","82.18","82.18","82.18","82.18","82.18","82.18","82.18","82.18","75.917","75.917","75.917","75.917","75.917","75.917","75.917","75.917","75.917","75.917","75.917","75.917","75.908","75.908","75.908","75.908","75.908","75.908","75.908","75.908","75.908","75.908"
"1996:Q1","82.554","82.554","82.554","82.554","82.554","82.554","82.554","82.554","82.554","82.554","82.554","82.554","82.554","82.554","82.554","82.554","82.554","82.554","82.554","82.625","82.625","82.625","82.625","82.625","82.625","82.625","82.625","82.625","82.625","82.625","82.625","82.625","82.625","82.625","82.625","82.625","82.625","82.625","82.625","82.625","82.625","82.625","82.625","76.305","76.305","76.305","76.305","76.305","76.305","76.305","76.305","76.305","76.305","76.305","76.305","76.296","76.296","76.296","76.296","76.296","76.296","76.296","76.296","76.296","76.296"
"1996:Q2","82.859","82.859","82.859","82.859","82.859","82.859","82.859","82.859","82.859","82.859","82.859","82.859","82.859","82.859","82.859","82.859","82.859","82.859","82.859","82.929","82.929","82.929","82.929","82.929","82.929","82.929","82.929","82.929","82.929","82.929","82.929","82.929","82.929","82.929","82.929","82.929","82.929","82.929","82.929","82.929","82.929","82.929","82.929","76.593","76.593","76.593","76.593","76.593","76.593","76.593","76.593","76.593","76.593","76.593","76.593","76.584","76.584","76.584","76.584","76.584","76.584","76.584","76.584","76.584","76.584"
"1996:Q3","83.269","83.269","83.269","83.269","83.269","83.269","83.269","83.269","83.269","83.269","83.269","83.269","83.269","83.269","83.269","83.269","83.269","83.269","83.269","83.34","83.34","83.34","83.34","83.34","83.34","83.34","83.34","83.34","83.34","83.34","83.34","83.34","83.34","83.34","83.34","83.34","83.34","83.34","83.34","83.34","83.34","83.34","83.34","76.941","76.941","76.941","76.941","76.941","76.941","76.941","76.941","76.941","76.941","76.941","76.941","76.932","76.932","76.932","76.932","76.932","76.932","76.932","76.932","76.932","76.932"
"1996:Q4","83.65","83.65","83.65","83.65","83.65","83.65","83.65","83.65","83.65","83.65","83.65","83.65","83.65","83.65","83.65","83.65","83.65","83.65","83.65","83.721","83.721","83.721","83.721","83.721","83.721","83.721","83.721","83.721","83.721","83.721","83.721","83.721","83.721","83.721","83.721","83.721","83.721","83.721","83.721","83.721","83.721","83.721","83.721","77.266","77.266","77.266","77.266","77.266","77.266","77.266","77.266","77.266","77.266","77.266","77.266","77.257","77.257","77.257","77.257","77.257","77.257","77.257","77.257","77.257","77.257"
