"DATE","RCONHH09M8","RCONHH09M9","RCONHH09M10","RCONHH09M11","RCONHH09M12","RCONHH10M1","RCONHH10M2","RCONHH10M3","RCONHH10M4","RCONHH10M5","RCONHH10M6","RCONHH10M7","RCONHH10M8","RCONHH10M9","RCONHH10M10","RCONHH10M11","RCONHH10M12","RCONHH11M1","RCONHH11M2","RCONHH11M3","RCONHH11M4","RCONHH11M5","RCONHH11M6","RCONHH11M7","RCONHH11M8","RCONHH11M9","RCONHH11M10","RCONHH11M11","RCONHH11M12","RCONHH12M1","RCONHH12M2","RCONHH12M3","RCONHH12M4","RCONHH12M5","RCONHH12M6","RCONHH12M7","RCONHH12M8","RCONHH12M9","RCONHH12M10","RCONHH12M11","RCONHH12M12","RCONHH13M1","RCONHH13M2","RCONHH13M3","RCONHH13M4","RCONHH13M5","RCONHH13M6","RCONHH13M7","RCONHH13M8","RCONHH13M9","RCONHH13M10","RCONHH13M11","RCONHH13M12","RCONHH14M1","RCONHH14M2","RCONHH14M3","RCONHH14M4","RCONHH14M5","RCONHH14M6","RCONHH14M7","RCONHH14M8","RCONHH14M9","RCONHH14M10","RCONHH14M11","RCONHH14M12","RCONHH15M1","RCONHH15M2","RCONHH15M3","RCONHH15M4","RCONHH15M5","RCONHH15M6"
"2009:Q2","8926.183","8931.739","8937.25","8937.25","8937.25","8937.25","8937.25","8937.25","8937.25","8937.25","8937.25","8937.25","8867.914","8867.914","8867.914","8867.914","8867.914","8867.914","8867.914","8867.914","8867.914","8867.914","8867.914","8867.914","8726.58","8726.58","8726.58","8726.58","8726.58","8726.58","8726.58","8726.58","8726.58","8726.58","8726.58","8726.58","8727.819","8727.819","8727.819","8727.819","8727.819","8727.819","8727.819","8727.819","8727.819","8727.819","8727.819","8727.819","9528.652","9528.652","9528.652","9528.652","9528.652","9528.652","9528.652","9528.652","9528.652","9528.652","9528.652","9528.652","9533.487","9533.487","9533.487","9533.487","9533.487","9533.487","9533.487","9533.487","9533.487","9533.487","9533.487"
"2009:Q3","#N/A","#N/A","#N/A","9015.154","9004.646","8996.454","8996.454","8996.454","8996.454","8996.454","8996.454","8996.454","8907.278","8907.278","8907.278","8907.278","8907.278","8907.278","8907.278","8907.278","8907.278","8907.278","8907.278","8907.278","8776.448","8776.448","8776.448","8776.448","8776.448","8776.448","8776.448","8776.448","8776.448","8776.448","8776.448","8776.448","8772.919","8772.919","8772.919","8772.919","8772.919","8772.919","8772.919","8772.919","8772.919","8772.919","8772.919","8772.919","9589.479","9589.479","9589.479","9589.479","9589.479","9589.479","9589.479","9589.479","9589.479","9589.479","9589.479","9589.479","9592.663","9592.663","9592.663","9592.663","9592.663","9592.663","9592.663","9592.663","9592.663","9592.663","9592.663"
"2009:Q4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","9039.332","9033.379","9029.691","9029.691","9029.691","9029.691","8923.641","8923.641","8923.641","8923.641","8923.641","8923.641","8923.641","8923.641","8923.641","8923.641","8923.641","8923.641","8781.784","8781.784","8781.784","8781.784","8781.784","8781.784","8781.784","8781.784","8781.784","8781.784","8781.784","8781.784","8766.677","8766.677","8766.677","8766.677","8766.677","8766.677","8766.677","8766.677","8766.677","8766.677","8766.677","8766.677","9584.989","9584.989","9584.989","9584.989","9584.989","9584.989","9584.989","9584.989","9584.989","9584.989","9584.989","9584.989","9585.887","9585.887","9585.887","9585.887","9585.887","9585.887","9585.887","9585.887","9585.887","9585.887","9585.887"
"2010:Q1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","9107.99","9104.604","9096.463","8965.341","8965.341","8965.341","8965.341","8965.341","8965.341","8965.341","8965.341","8965.341","8965.341","8965.341","8965.341","8841.064","8841.064","8841.064","8841.064","8841.064","8841.064","8841.064","8841.064","8841.064","8841.064","8841.064","8841.064","8824.038","8824.038","8824.038","8824.038","8824.038","8824.038","8824.038","8824.038","8824.038","8824.038","8824.038","8824.038","9636.283","9636.283","9636.283","9636.283","9636.283","9636.283","9636.283","9636.283","9636.283","9636.283","9636.283","9636.283","9638.539","9638.539","9638.539","9638.539","9638.539","9638.539","9638.539","9638.539","9638.539","9638.539","9638.539"
"2010:Q2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","9000.342","9007.814","9013.495","9013.495","9013.495","9013.495","9013.495","9013.495","9013.495","9013.495","9013.495","9013.495","8904.342","8904.342","8904.342","8904.342","8904.342","8904.342","8904.342","8904.342","8904.342","8904.342","8904.342","8904.342","8879.499","8879.499","8879.499","8879.499","8879.499","8879.499","8879.499","8879.499","8879.499","8879.499","8879.499","8879.499","9713.677","9713.677","9713.677","9713.677","9713.677","9713.677","9713.677","9713.677","9713.677","9713.677","9713.677","9713.677","9716.768","9716.768","9716.768","9716.768","9716.768","9716.768","9716.768","9716.768","9716.768","9716.768","9716.768"
"2010:Q3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","9069.69","9075.698","9067.711","9067.711","9067.711","9067.711","9067.711","9067.711","9067.711","8968.825","8968.825","8968.825","8968.825","8968.825","8968.825","8968.825","8968.825","8968.825","8968.825","8968.825","8968.825","8938.089","8938.089","8938.089","8938.089","8938.089","8938.089","8938.089","8938.089","8938.089","8938.089","8938.089","8938.089","9786.208","9786.208","9786.208","9786.208","9786.208","9786.208","9786.208","9786.208","9786.208","9786.208","9786.208","9786.208","9785.581","9785.581","9785.581","9785.581","9785.581","9785.581","9785.581","9785.581","9785.581","9785.581","9785.581"
"2010:Q4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","9167.247","9161.284","9163.855","9163.855","9163.855","9163.855","9054.933","9054.933","9054.933","9054.933","9054.933","9054.933","9054.933","9054.933","9054.933","9054.933","9054.933","9054.933","9030.634","9030.634","9030.634","9030.634","9030.634","9030.634","9030.634","9030.634","9030.634","9030.634","9030.634","9030.634","9893.951","9893.951","9893.951","9893.951","9893.951","9893.951","9893.951","9893.951","9893.951","9893.951","9893.951","9893.951","9891.101","9891.101","9891.101","9891.101","9891.101","9891.101","9891.101","9891.101","9891.101","9891.101","9891.101"
"2011:Q1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","9229.963","9216.732","9218.202","9102.791","9102.791","9102.791","9102.791","9102.791","9102.791","9102.791","9102.791","9102.791","9102.791","9102.791","9102.791","9101.284","9101.284","9101.284","9101.284","9101.284","9101.284","9101.284","9101.284","9101.284","9101.284","9101.284","9101.284","9947.461","9947.461","9947.461","9947.461","9947.461","9947.461","9947.461","9947.461","9947.461","9947.461","9947.461","9947.461","9944.38","9944.38","9944.38","9944.38","9944.38","9944.38","9944.38","9944.38","9944.38","9944.38","9944.38"
"2011:Q2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","9105.063","9113.19","9118.27","9118.27","9118.27","9118.27","9118.27","9118.27","9118.27","9118.27","9118.27","9118.27","9118.418","9118.418","9118.418","9118.418","9118.418","9118.418","9118.418","9118.418","9118.418","9118.418","9118.418","9118.418","9983.492","9983.492","9983.492","9983.492","9983.492","9983.492","9983.492","9983.492","9983.492","9983.492","9983.492","9983.492","9964.1","9964.1","9964.1","9964.1","9964.1","9964.1","9964.1","9964.1","9964.1","9964.1","9964.1"
"2011:Q3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","9176.443","9171.566","9153.142","9153.142","9153.142","9153.142","9153.142","9153.142","9153.142","9146.141","9146.141","9146.141","9146.141","9146.141","9146.141","9146.141","9146.141","9146.141","9146.141","9146.141","9146.141","10025.418","10025.418","10025.418","10025.418","10025.418","10025.418","10025.418","10025.418","10025.418","10025.418","10025.418","10025.418","10002.086","10002.086","10002.086","10002.086","10002.086","10002.086","10002.086","10002.086","10002.086","10002.086","10002.086"
