"DATE","CUM10M1","CUM10M2","CUM10M3","CUM10M4","CUM10M5","CUM10M6","CUM10M7","CUM10M8","CUM10M9","CUM10M10","CUM10M11","CUM10M12","CUM11M1","CUM11M2","CUM11M3","CUM11M4","CUM11M5","CUM11M6","CUM11M7","CUM11M8","CUM11M9","CUM11M10","CUM11M11","CUM11M12","CUM12M1","CUM12M2","CUM12M3","CUM12M4","CUM12M5","CUM12M6","CUM12M7","CUM12M8","CUM12M9","CUM12M10","CUM12M11","CUM12M12","CUM13M1","CUM13M2","CUM13M3","CUM13M4","CUM13M5","CUM13M6","CUM13M7","CUM13M8","CUM13M9","CUM13M10","CUM13M11","CUM13M12","CUM14M1","CUM14M2","CUM14M3","CUM14M4","CUM14M5","CUM14M6","CUM14M7","CUM14M8","CUM14M9","CUM14M10","CUM14M11","CUM14M12","CUM15M1","CUM15M2","CUM15M3","CUM15M4","CUM15M5"
"1949:09","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8","74.8"
"1949:10","71.7","71.7","71.7","71.7","71.7","71.7","71.7","71.7","71.7","71.7","71.7","71.7","71.7","71.7","71.7","71.7","71.7","71.7","71.7","71.7","71.7","71.7","71.7","71.7","71.7","71.7","71.7","71.7","71.7","71.7","71.7","71.7","71.7","71.7","71.7","71.7","71.7","71.7","71.7","71.7","71.7","71.7","71.7","71.7","71.7","71.7","71.7","71.7","71.7","71.7","71.7","71.7","71.7","71.7","71.7","71.7","71.7","71.7","71.7","71.7","71.7","71.7","71.7","71.7","71.7"
"1949:11","72.0","72.0","72.0","72.0","72.0","72.0","72.0","72.0","72.0","72.0","72.0","72.0","72.0","72.0","72.0","72.0","72.0","72.0","72.0","72.0","72.0","72.0","72.0","72.0","72.0","72.0","72.0","72.0","72.0","72.0","72.0","72.0","72.0","72.0","72.0","72.0","72.0","72.0","72.0","72.0","72.0","72.0","72.0","72.0","72.0","72.0","72.0","72.0","72.0","72.0","72.0","72.0","72.0","72.0","72.0","72.0","72.0","72.0","72.0","72.0","72.0","72.0","72.0","72.0","72.0"
"1949:12","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6"
"1950:01","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9"
"1950:02","75.4","75.4","75.4","75.4","75.4","75.4","75.4","75.4","75.4","75.4","75.4","75.4","75.4","75.4","75.4","75.4","75.4","75.4","75.4","75.4","75.4","75.4","75.4","75.4","75.4","75.4","75.4","75.4","75.4","75.4","75.4","75.4","75.4","75.4","75.4","75.4","75.4","75.4","75.4","75.4","75.4","75.4","75.4","75.4","75.4","75.4","75.4","75.4","75.4","75.4","75.4","75.4","75.4","75.4","75.4","75.4","75.4","75.4","75.4","75.4","75.4","75.4","75.4","75.4","75.4"
"1950:03","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4"
"1950:04","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2"
"1950:05","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0"
"1950:06","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1"
"1950:07","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5"
"1950:08","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4"
"1950:09","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2"
"1950:10","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5"
"1950:11","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0"
"1950:12","88.1","88.1","88.1","88.1","88.1","88.1","88.1","88.1","88.1","88.1","88.1","88.1","88.1","88.1","88.1","88.1","88.1","88.1","88.1","88.1","88.1","88.1","88.1","88.1","88.1","88.1","88.1","88.1","88.1","88.1","88.1","88.1","88.1","88.1","88.1","88.1","88.1","88.1","88.1","88.1","88.1","88.1","88.1","88.1","88.1","88.1","88.1","88.1","88.1","88.1","88.1","88.1","88.1","88.1","88.1","88.1","88.1","88.1","88.1","88.1","88.1","88.1","88.1","88.1","88.1"
"1951:01","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3"
"1951:02","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3","88.3"
"1951:03","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4"
"1951:04","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2"
"1951:05","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4"
"1951:06","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6"
"1951:07","84.9","84.9","84.9","84.9","84.9","84.9","84.9","84.9","84.9","84.9","84.9","84.9","84.9","84.9","84.9","84.9","84.9","84.9","84.9","84.9","84.9","84.9","84.9","84.9","84.9","84.9","84.9","84.9","84.9","84.9","84.9","84.9","84.9","84.9","84.9","84.9","84.9","84.9","84.9","84.9","84.9","84.9","84.9","84.9","84.9","84.9","84.9","84.9","84.9","84.9","84.9","84.9","84.9","84.9","84.9","84.9","84.9","84.9","84.9","84.9","84.9","84.9","84.9","84.9","84.9"
"1951:08","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6"
"1951:09","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7"
"1951:10","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1"
"1951:11","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6"
