"DATE","RINVRESID00M1","RINVRESID00M2","RINVRESID00M3","RINVRESID00M4","RINVRESID00M5","RINVRESID00M6","RINVRESID00M7","RINVRESID00M8","RINVRESID00M9","RINVRESID00M10","RINVRESID00M11","RINVRESID00M12","RINVRESID01M1","RINVRESID01M2","RINVRESID01M3","RINVRESID01M4","RINVRESID01M5","RINVRESID01M6","RINVRESID01M7","RINVRESID01M8","RINVRESID01M9","RINVRESID01M10","RINVRESID01M11","RINVRESID01M12","RINVRESID02M1","RINVRESID02M2","RINVRESID02M3","RINVRESID02M4","RINVRESID02M5","RINVRESID02M6","RINVRESID02M7","RINVRESID02M8","RINVRESID02M9","RINVRESID02M10","RINVRESID02M11","RINVRESID02M12","RINVRESID03M1","RINVRESID03M2","RINVRESID03M3","RINVRESID03M4","RINVRESID03M5","RINVRESID03M6","RINVRESID03M7","RINVRESID03M8","RINVRESID03M9","RINVRESID03M10","RINVRESID03M11","RINVRESID03M12","RINVRESID04M1","RINVRESID04M2","RINVRESID04M3","RINVRESID04M4","RINVRESID04M5","RINVRESID04M6","RINVRESID04M7","RINVRESID04M8","RINVRESID04M9","RINVRESID04M10","RINVRESID04M11","RINVRESID04M12","RINVRESID05M1","RINVRESID05M2","RINVRESID05M3","RINVRESID05M4","RINVRESID05M5","RINVRESID05M6","RINVRESID05M7","RINVRESID05M8","RINVRESID05M9","RINVRESID05M10","RINVRESID05M11","RINVRESID05M12","RINVRESID06M1","RINVRESID06M2","RINVRESID06M3","RINVRESID06M4","RINVRESID06M5","RINVRESID06M6","RINVRESID06M7","RINVRESID06M8","RINVRESID06M9","RINVRESID06M10","RINVRESID06M11","RINVRESID06M12","RINVRESID07M1","RINVRESID07M2","RINVRESID07M3","RINVRESID07M4","RINVRESID07M5","RINVRESID07M6","RINVRESID07M7","RINVRESID07M8","RINVRESID07M9","RINVRESID07M10","RINVRESID07M11","RINVRESID07M12","RINVRESID08M1","RINVRESID08M2","RINVRESID08M3","RINVRESID08M4","RINVRESID08M5","RINVRESID08M6","RINVRESID08M7","RINVRESID08M8","RINVRESID08M9","RINVRESID08M10","RINVRESID08M11","RINVRESID08M12","RINVRESID09M1","RINVRESID09M2","RINVRESID09M3","RINVRESID09M4","RINVRESID09M5","RINVRESID09M6","RINVRESID09M7","RINVRESID09M8","RINVRESID09M9","RINVRESID09M10","RINVRESID09M11","RINVRESID09M12"
"1947:Q1","#N/A","#N/A","#N/A","#N/A","76.8","76.8","76.8","76.8","76.8","76.8","76.8","76.8","76.8","76.8","76.8","76.8","76.8","76.8","76.8","76.8","76.8","76.8","76.8","76.8","76.8","76.8","76.8","76.8","76.8","76.8","76.8","76.8","76.8","76.8","76.8","76.8","76.8","76.8","76.8","76.8","76.8","76.8","76.8","76.8","76.8","76.8","76.8","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","112.7","112.7","112.7","112.7","112.7"
"1947:Q2","#N/A","#N/A","#N/A","#N/A","72.9","72.9","72.9","72.9","72.9","72.9","72.9","72.9","72.9","72.9","72.9","72.9","72.9","72.9","72.9","72.9","72.9","72.9","72.9","72.9","72.9","72.9","72.9","72.9","72.9","72.9","72.9","72.9","72.9","72.9","72.9","72.9","72.9","72.9","72.9","72.9","72.9","72.9","72.9","72.9","72.9","72.9","72.9","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","107.1","107.1","107.1","107.1","107.1"
"1947:Q3","#N/A","#N/A","#N/A","#N/A","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","123.7","123.7","123.7","123.7","123.7"
"1947:Q4","#N/A","#N/A","#N/A","#N/A","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","114.6","114.6","114.6","114.6","114.6","114.6","114.6","114.6","114.6","114.6","114.6","114.6","114.6","114.6","114.6","114.6","114.6","114.6","114.6","114.6","114.6","114.6","114.6","114.6","114.6","114.6","114.6","114.6","114.6","114.6","114.6","114.6","114.6","114.6","114.6","114.6","114.6","114.6","114.6","114.6","114.6","114.6","114.6","114.6","114.6","114.6","114.6","114.6","114.6","114.6","114.6","114.6","114.6","114.6","114.6","114.6","114.6","114.6","114.6","114.6","114.6","114.6","114.6","114.6","114.6","114.6","114.6","114.6","147.7","147.7","147.7","147.7","147.7"
"1948:Q1","#N/A","#N/A","#N/A","#N/A","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","146.1","146.1","146.1","146.1","146.1"
"1948:Q2","#N/A","#N/A","#N/A","#N/A","104.9","104.9","104.9","104.9","104.9","104.9","104.9","104.9","104.9","104.9","104.9","104.9","104.9","104.9","104.9","104.9","104.9","104.9","104.9","104.9","104.9","104.9","104.9","104.9","104.9","104.9","104.9","104.9","104.9","104.9","104.9","104.9","104.9","104.9","104.9","104.9","104.9","104.9","104.9","104.9","104.9","104.9","104.9","119.8","119.8","119.8","119.8","119.8","119.8","119.8","119.8","119.8","119.8","119.8","119.8","119.8","119.8","119.8","119.8","119.8","119.8","119.8","119.8","119.8","119.8","119.8","119.8","119.8","119.8","119.8","119.8","119.8","119.8","119.8","119.8","119.8","119.8","119.8","119.8","119.8","119.8","119.8","119.8","119.8","119.8","119.8","119.8","119.8","119.8","119.8","119.8","119.8","119.8","119.8","119.8","119.8","119.8","119.8","119.8","119.8","119.8","119.8","119.8","119.8","119.8","119.8","119.8","119.8","119.8","119.8","119.8","154.8","154.8","154.8","154.8","154.8"
"1948:Q3","#N/A","#N/A","#N/A","#N/A","101.6","101.6","101.6","101.6","101.6","101.6","101.6","101.6","101.6","101.6","101.6","101.6","101.6","101.6","101.6","101.6","101.6","101.6","101.6","101.6","101.6","101.6","101.6","101.6","101.6","101.6","101.6","101.6","101.6","101.6","101.6","101.6","101.6","101.6","101.6","101.6","101.6","101.6","101.6","101.6","101.6","101.6","101.6","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","150.0","150.0","150.0","150.0","150.0"
"1948:Q4","#N/A","#N/A","#N/A","#N/A","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","139.0","139.0","139.0","139.0","139.0"
"1949:Q1","#N/A","#N/A","#N/A","#N/A","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","128.5","128.5","128.5","128.5","128.5"
"1949:Q2","#N/A","#N/A","#N/A","#N/A","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","126.3","126.3","126.3","126.3","126.3"
