"DATE","P90M1","P90M2","P90M3","P90M4","P90M5","P90M6","P90M7","P90M8","P90M9","P90M10","P90M11","P90M12","P91M1","P91M2","P91M3","P91M4","P91M5","P91M6","P91M7","P91M8","P91M9","P91M10","P91M11","P91M12","P92M1","P92M2","P92M3","P92M4","P92M5","P92M6","P92M7","P92M8","P92M9","P92M10","P92M11","P92M12","P93M1","P93M2","P93M3","P93M4","P93M5","P93M6","P93M7","P93M8","P93M9","P93M10","P93M11","P93M12","P94M1","P94M2","P94M3","P94M4","P94M5","P94M6","P94M7","P94M8","P94M9","P94M10","P94M11","P94M12","P95M1","P95M2","P95M3","P95M4","P95M5","P95M6","P95M7","P95M8","P95M9","P95M10","P95M11","P95M12","P96M1","P96M2","P96M3","P96M4","P96M5","P96M6","P96M7","P96M8","P96M9","P96M10","P96M11","P96M12","P97M1","P97M2","P97M3","P97M4","P97M5","P97M6","P97M7","P97M8","P97M9","P97M10","P97M11","P97M12","P98M1","P98M2","P98M3","P98M4","P98M5","P98M6","P98M7","P98M8","P98M9","P98M10","P98M11","P98M12","P99M1","P99M2","P99M3","P99M4","P99M5","P99M6","P99M7","P99M8","P99M9","P99M10","P99M11","P99M12"
"1947:Q1","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","18.2896","18.2896","18.2896","18.2896","18.2896","18.2896","18.2896","18.2896","18.2896","18.2896","18.2896","18.2896","18.2896","18.2896","18.2896","18.2896","18.2896","18.2896","18.2896","18.2896","18.2896","18.2896","18.2896","18.2896","18.2896","18.2896","18.2896","18.2896","18.2896","18.2896","18.2896","18.2896","18.2896","18.2896","18.2896","18.2896","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","16.72","16.72","16.72","16.72","16.72","16.72","16.72","16.72","16.72","16.72","16.72","16.72","16.72","16.72","16.72","16.72","16.72","16.72","16.72","16.72","16.72","16.72","16.72","16.72","16.72","16.72","16.72","16.72","16.72","16.72","#N/A","#N/A"
"1947:Q2","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","18.4894","18.4894","18.4894","18.4894","18.4894","18.4894","18.4894","18.4894","18.4894","18.4894","18.4894","18.4894","18.4894","18.4894","18.4894","18.4894","18.4894","18.4894","18.4894","18.4894","18.4894","18.4894","18.4894","18.4894","18.4894","18.4894","18.4894","18.4894","18.4894","18.4894","18.4894","18.4894","18.4894","18.4894","18.4894","18.4894","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","16.91","16.91","16.91","16.91","16.91","16.91","16.91","16.91","16.91","16.91","16.91","16.91","16.91","16.91","16.91","16.91","16.91","16.91","16.91","16.91","16.91","16.91","16.91","16.91","16.91","16.91","16.91","16.91","16.91","16.91","#N/A","#N/A"
"1947:Q3","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","18.7171","18.7171","18.7171","18.7171","18.7171","18.7171","18.7171","18.7171","18.7171","18.7171","18.7171","18.7171","18.7171","18.7171","18.7171","18.7171","18.7171","18.7171","18.7171","18.7171","18.7171","18.7171","18.7171","18.7171","18.7171","18.7171","18.7171","18.7171","18.7171","18.7171","18.7171","18.7171","18.7171","18.7171","18.7171","18.7171","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","17.17","17.17","17.17","17.17","17.17","17.17","17.17","17.17","17.17","17.17","17.17","17.17","17.17","17.17","17.17","17.17","17.17","17.17","17.17","17.17","17.17","17.17","17.17","17.17","17.17","17.17","17.17","17.17","17.17","17.17","#N/A","#N/A"
"1947:Q4","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","19.2989","19.2989","19.2989","19.2989","19.2989","19.2989","19.2989","19.2989","19.2989","19.2989","19.2989","19.2989","19.2989","19.2989","19.2989","19.2989","19.2989","19.2989","19.2989","19.2989","19.2989","19.2989","19.2989","19.2989","19.2989","19.2989","19.2989","19.2989","19.2989","19.2989","19.2989","19.2989","19.2989","19.2989","19.2989","19.2989","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","17.53","17.53","17.53","17.53","17.53","17.53","17.53","17.53","17.53","17.53","17.53","17.53","17.53","17.53","17.53","17.53","17.53","17.53","17.53","17.53","17.53","17.53","17.53","17.53","17.53","17.53","17.53","17.53","17.53","17.53","#N/A","#N/A"
"1948:Q1","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","19.5561","19.5561","19.5561","19.5561","19.5561","19.5561","19.5561","19.5561","19.5561","19.5561","19.5561","19.5561","19.5561","19.5561","19.5561","19.5561","19.5561","19.5561","19.5561","19.5561","19.5561","19.5561","19.5561","19.5561","19.5561","19.5561","19.5561","19.5561","19.5561","19.5561","19.5561","19.5561","19.5561","19.5561","19.5561","19.5561","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","17.75","17.75","17.75","17.75","17.75","17.75","17.75","17.75","17.75","17.75","17.75","17.75","17.75","17.75","17.75","17.75","17.75","17.75","17.75","17.75","17.75","17.75","17.75","17.75","17.75","17.75","17.75","17.75","17.75","17.75","#N/A","#N/A"
"1948:Q2","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","19.9352","19.9352","19.9352","19.9352","19.9352","19.9352","19.9352","19.9352","19.9352","19.9352","19.9352","19.9352","19.9352","19.9352","19.9352","19.9352","19.9352","19.9352","19.9352","19.9352","19.9352","19.9352","19.9352","19.9352","19.9352","19.9352","19.9352","19.9352","19.9352","19.9352","19.9352","19.9352","19.9352","19.9352","19.9352","19.9352","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","17.97","17.97","17.97","17.97","17.97","17.97","17.97","17.97","17.97","17.97","17.97","17.97","17.97","17.97","17.97","17.97","17.97","17.97","17.97","17.97","17.97","17.97","17.97","17.97","17.97","17.97","17.97","17.97","17.97","17.97","#N/A","#N/A"
"1948:Q3","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","20.3482","20.3482","20.3482","20.3482","20.3482","20.3482","20.3482","20.3482","20.3482","20.3482","20.3482","20.3482","20.3482","20.3482","20.3482","20.3482","20.3482","20.3482","20.3482","20.3482","20.3482","20.3482","20.3482","20.3482","20.3482","20.3482","20.3482","20.3482","20.3482","20.3482","20.3482","20.3482","20.3482","20.3482","20.3482","20.3482","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","18.3","18.3","18.3","18.3","18.3","18.3","18.3","18.3","18.3","18.3","18.3","18.3","18.3","18.3","18.3","18.3","18.3","18.3","18.3","18.3","18.3","18.3","18.3","18.3","18.3","18.3","18.3","18.3","18.3","18.3","#N/A","#N/A"
"1948:Q4","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","20.2522","20.2522","20.2522","20.2522","20.2522","20.2522","20.2522","20.2522","20.2522","20.2522","20.2522","20.2522","20.2522","20.2522","20.2522","20.2522","20.2522","20.2522","20.2522","20.2522","20.2522","20.2522","20.2522","20.2522","20.2522","20.2522","20.2522","20.2522","20.2522","20.2522","20.2522","20.2522","20.2522","20.2522","20.2522","20.2522","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","18.3","18.3","18.3","18.3","18.3","18.3","18.3","18.3","18.3","18.3","18.3","18.3","18.3","18.3","18.3","18.3","18.3","18.3","18.3","18.3","18.3","18.3","18.3","18.3","18.3","18.3","18.3","18.3","18.3","18.3","#N/A","#N/A"
"1949:Q1","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","20.0414","20.0414","20.0414","20.0414","20.0414","20.0414","20.0414","20.0414","20.0414","20.0414","20.0414","20.0414","20.0414","20.0414","20.0414","20.0414","20.0414","20.0414","20.0414","20.0414","20.0414","20.0414","20.0414","20.0414","20.0414","20.0414","20.0414","20.0414","20.0414","20.0414","20.0414","20.0414","20.0414","20.0414","20.0414","20.0414","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","18.25","18.25","18.25","18.25","18.25","18.25","18.25","18.25","18.25","18.25","18.25","18.25","18.25","18.25","18.25","18.25","18.25","18.25","18.25","18.25","18.25","18.25","18.25","18.25","18.25","18.25","18.25","18.25","18.25","18.25","#N/A","#N/A"
"1949:Q2","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","19.8233","19.8233","19.8233","19.8233","19.8233","19.8233","19.8233","19.8233","19.8233","19.8233","19.8233","19.8233","19.8233","19.8233","19.8233","19.8233","19.8233","19.8233","19.8233","19.8233","19.8233","19.8233","19.8233","19.8233","19.8233","19.8233","19.8233","19.8233","19.8233","19.8233","19.8233","19.8233","19.8233","19.8233","19.8233","19.8233","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","18.13","18.13","18.13","18.13","18.13","18.13","18.13","18.13","18.13","18.13","18.13","18.13","18.13","18.13","18.13","18.13","18.13","18.13","18.13","18.13","18.13","18.13","18.13","18.13","18.13","18.13","18.13","18.13","18.13","18.13","#N/A","#N/A"
