"DATE","NOUTPUT65M11","NOUTPUT65M12","NOUTPUT66M1","NOUTPUT66M2","NOUTPUT66M3","NOUTPUT66M4","NOUTPUT66M5","NOUTPUT66M6","NOUTPUT66M7","NOUTPUT66M8","NOUTPUT66M9","NOUTPUT66M10","NOUTPUT66M11","NOUTPUT66M12","NOUTPUT67M1","NOUTPUT67M2","NOUTPUT67M3","NOUTPUT67M4","NOUTPUT67M5","NOUTPUT67M6","NOUTPUT67M7","NOUTPUT67M8","NOUTPUT67M9","NOUTPUT67M10","NOUTPUT67M11","NOUTPUT67M12","NOUTPUT68M1","NOUTPUT68M2","NOUTPUT68M3","NOUTPUT68M4","NOUTPUT68M5","NOUTPUT68M6","NOUTPUT68M7","NOUTPUT68M8","NOUTPUT68M9","NOUTPUT68M10","NOUTPUT68M11","NOUTPUT68M12","NOUTPUT69M1","NOUTPUT69M2","NOUTPUT69M3","NOUTPUT69M4","NOUTPUT69M5","NOUTPUT69M6","NOUTPUT69M7","NOUTPUT69M8","NOUTPUT69M9","NOUTPUT69M10","NOUTPUT69M11","NOUTPUT69M12"
"1950:Q1","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0","266.0"
"1950:Q2","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4"
"1950:Q3","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1","293.1"
"1950:Q4","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5"
"1951:Q1","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0"
"1951:Q2","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8"
"1951:Q3","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8","332.8"
"1951:Q4","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9"
"1952:Q1","339.5","339.5","339.5","339.5","339.5","339.5","339.5","339.5","339.5","339.5","339.5","339.5","339.5","339.5","339.5","339.5","339.5","339.5","339.5","339.5","339.5","339.5","339.5","339.5","339.5","339.5","339.5","339.5","339.5","339.5","339.5","339.5","339.5","339.5","339.5","339.5","339.5","339.5","339.5","339.5","339.5","339.5","339.5","339.5","339.5","339.5","339.5","339.5","339.5","339.5"
"1952:Q2","339.1","339.1","339.1","339.1","339.1","339.1","339.1","339.1","339.1","339.1","339.1","339.1","339.1","339.1","339.1","339.1","339.1","339.1","339.1","339.1","339.1","339.1","339.1","339.1","339.1","339.1","339.1","339.1","339.1","339.1","339.1","339.1","339.1","339.1","339.1","339.1","339.1","339.1","339.1","339.1","339.1","339.1","339.1","339.1","339.1","339.1","339.1","339.1","339.1","339.1"
