"DATE","RG70M1","RG70M2","RG70M3","RG70M4","RG70M5","RG70M6","RG70M7","RG70M8","RG70M9","RG70M10","RG70M11","RG70M12","RG71M1","RG71M2","RG71M3","RG71M4","RG71M5","RG71M6","RG71M7","RG71M8","RG71M9","RG71M10","RG71M11","RG71M12","RG72M1","RG72M2","RG72M3","RG72M4","RG72M5","RG72M6","RG72M7","RG72M8","RG72M9","RG72M10","RG72M11","RG72M12","RG73M1","RG73M2","RG73M3","RG73M4","RG73M5","RG73M6","RG73M7","RG73M8","RG73M9","RG73M10","RG73M11","RG73M12","RG74M1","RG74M2","RG74M3","RG74M4","RG74M5","RG74M6","RG74M7","RG74M8","RG74M9","RG74M10","RG74M11","RG74M12","RG75M1","RG75M2","RG75M3","RG75M4","RG75M5","RG75M6","RG75M7","RG75M8","RG75M9","RG75M10","RG75M11","RG75M12","RG76M1","RG76M2","RG76M3","RG76M4","RG76M5","RG76M6","RG76M7","RG76M8","RG76M9","RG76M10","RG76M11","RG76M12","RG77M1","RG77M2","RG77M3","RG77M4","RG77M5","RG77M6","RG77M7","RG77M8","RG77M9","RG77M10","RG77M11","RG77M12","RG78M1","RG78M2","RG78M3","RG78M4","RG78M5","RG78M6","RG78M7","RG78M8","RG78M9","RG78M10","RG78M11","RG78M12","RG79M1","RG79M2","RG79M3","RG79M4","RG79M5","RG79M6","RG79M7","RG79M8","RG79M9","RG79M10","RG79M11","RG79M12"
"1947:Q1","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","74.5","74.5","74.5","74.5","74.5","74.5","74.5","74.5","74.5","74.5","74.5","74.5","74.5","74.5","74.5","74.5","74.5","74.5","74.5","74.5","74.5","74.5","74.5","74.5","74.5","74.5","74.5","74.5","74.5","74.5","74.5","74.5","74.5","74.5","74.5","74.5","74.5","74.5","74.5","74.5","74.5","74.5","74.5","74.5","74.5","74.5","74.5"
"1947:Q2","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9"
"1947:Q3","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0"
"1947:Q4","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2"
"1948:Q1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0"
"1948:Q2","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5"
"1948:Q3","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5"
"1948:Q4","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9"
"1949:Q1","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5"
"1949:Q2","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","96.4","96.4","96.4","96.4","96.4","96.4","96.4","96.4","96.4","96.4","96.4","96.4","96.4","96.4","96.4","96.4","96.4","96.4","96.4","96.4","96.4","96.4","96.4","96.4","96.4","96.4","96.4","96.4","96.4","96.4","96.4","96.4","96.4","96.4","96.4","96.4","96.4","96.4","96.4","96.4","96.4","96.4","96.4","96.4","96.4","96.4","96.4"
