"DATE","RG90M1","RG90M2","RG90M3","RG90M4","RG90M5","RG90M6","RG90M7","RG90M8","RG90M9","RG90M10","RG90M11","RG90M12","RG91M1","RG91M2","RG91M3","RG91M4","RG91M5","RG91M6","RG91M7","RG91M8","RG91M9","RG91M10","RG91M11","RG91M12","RG92M1","RG92M2","RG92M3","RG92M4","RG92M5","RG92M6","RG92M7","RG92M8","RG92M9","RG92M10","RG92M11","RG92M12","RG93M1","RG93M2","RG93M3","RG93M4","RG93M5","RG93M6","RG93M7","RG93M8","RG93M9","RG93M10","RG93M11","RG93M12","RG94M1","RG94M2","RG94M3","RG94M4","RG94M5","RG94M6","RG94M7","RG94M8","RG94M9","RG94M10","RG94M11","RG94M12","RG95M1","RG95M2","RG95M3","RG95M4","RG95M5","RG95M6","RG95M7","RG95M8","RG95M9","RG95M10","RG95M11","RG95M12","RG96M1","RG96M2","RG96M3","RG96M4","RG96M5","RG96M6","RG96M7","RG96M8","RG96M9","RG96M10","RG96M11","RG96M12","RG97M1","RG97M2","RG97M3","RG97M4","RG97M5","RG97M6","RG97M7","RG97M8","RG97M9","RG97M10","RG97M11","RG97M12","RG98M1","RG98M2","RG98M3","RG98M4","RG98M5","RG98M6","RG98M7","RG98M8","RG98M9","RG98M10","RG98M11","RG98M12","RG99M1","RG99M2","RG99M3","RG99M4","RG99M5","RG99M6","RG99M7","RG99M8","RG99M9","RG99M10","RG99M11","RG99M12"
"1949:Q3","231.4","231.4","231.4","231.4","231.4","231.4","231.4","231.4","231.4","231.4","231.4","231.4","231.4","231.4","231.4","231.4","231.4","231.4","231.4","231.4","231.4","231.4","231.4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","275.9","275.9","275.9","275.9","275.9","275.9","275.9","275.9","275.9","275.9","275.9","275.9","275.9","275.9","275.9","275.9","275.9","275.9","275.9","275.9","275.9","275.9","275.9","275.9","275.9","275.9","275.9","275.9","275.9","275.9","275.9","275.9","275.9","275.9","275.9","275.9","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","353.2","353.2","353.2","353.2","353.2","353.2","353.2","353.2","353.2","353.2","353.2","353.2","353.2","353.2","353.2","353.2","353.2","353.2","353.2","353.2","353.2","353.2","353.2","353.2","353.2","353.2","353.2","353.2","353.2","353.2","#N/A","#N/A"
"1949:Q4","228.4","228.4","228.4","228.4","228.4","228.4","228.4","228.4","228.4","228.4","228.4","228.4","228.4","228.4","228.4","228.4","228.4","228.4","228.4","228.4","228.4","228.4","228.4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","272.0","272.0","272.0","272.0","272.0","272.0","272.0","272.0","272.0","272.0","272.0","272.0","272.0","272.0","272.0","272.0","272.0","272.0","272.0","272.0","272.0","272.0","272.0","272.0","272.0","272.0","272.0","272.0","272.0","272.0","272.0","272.0","272.0","272.0","272.0","272.0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","345.4","345.4","345.4","345.4","345.4","345.4","345.4","345.4","345.4","345.4","345.4","345.4","345.4","345.4","345.4","345.4","345.4","345.4","345.4","345.4","345.4","345.4","345.4","345.4","345.4","345.4","345.4","345.4","345.4","345.4","#N/A","#N/A"
"1950:Q1","225.9","225.9","225.9","225.9","225.9","225.9","225.9","225.9","225.9","225.9","225.9","225.9","225.9","225.9","225.9","225.9","225.9","225.9","225.9","225.9","225.9","225.9","225.9","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","271.5","271.5","271.5","271.5","271.5","271.5","271.5","271.5","271.5","271.5","271.5","271.5","271.5","271.5","271.5","271.5","271.5","271.5","271.5","271.5","271.5","271.5","271.5","271.5","271.5","271.5","271.5","271.5","271.5","271.5","271.5","271.5","271.5","271.5","271.5","271.5","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","339.2","339.2","339.2","339.2","339.2","339.2","339.2","339.2","339.2","339.2","339.2","339.2","339.2","339.2","339.2","339.2","339.2","339.2","339.2","339.2","339.2","339.2","339.2","339.2","339.2","339.2","339.2","339.2","339.2","339.2","#N/A","#N/A"
"1950:Q2","221.4","221.4","221.4","221.4","221.4","221.4","221.4","221.4","221.4","221.4","221.4","221.4","221.4","221.4","221.4","221.4","221.4","221.4","221.4","221.4","221.4","221.4","221.4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","276.6","276.6","276.6","276.6","276.6","276.6","276.6","276.6","276.6","276.6","276.6","276.6","276.6","276.6","276.6","276.6","276.6","276.6","276.6","276.6","276.6","276.6","276.6","276.6","276.6","276.6","276.6","276.6","276.6","276.6","276.6","276.6","276.6","276.6","276.6","276.6","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","344.4","344.4","344.4","344.4","344.4","344.4","344.4","344.4","344.4","344.4","344.4","344.4","344.4","344.4","344.4","344.4","344.4","344.4","344.4","344.4","344.4","344.4","344.4","344.4","344.4","344.4","344.4","344.4","344.4","344.4","#N/A","#N/A"
"1950:Q3","229.6","229.6","229.6","229.6","229.6","229.6","229.6","229.6","229.6","229.6","229.6","229.6","229.6","229.6","229.6","229.6","229.6","229.6","229.6","229.6","229.6","229.6","229.6","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","284.3","284.3","284.3","284.3","284.3","284.3","284.3","284.3","284.3","284.3","284.3","284.3","284.3","284.3","284.3","284.3","284.3","284.3","284.3","284.3","284.3","284.3","284.3","284.3","284.3","284.3","284.3","284.3","284.3","284.3","284.3","284.3","284.3","284.3","284.3","284.3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","337.0","337.0","337.0","337.0","337.0","337.0","337.0","337.0","337.0","337.0","337.0","337.0","337.0","337.0","337.0","337.0","337.0","337.0","337.0","337.0","337.0","337.0","337.0","337.0","337.0","337.0","337.0","337.0","337.0","337.0","#N/A","#N/A"
"1950:Q4","246.4","246.4","246.4","246.4","246.4","246.4","246.4","246.4","246.4","246.4","246.4","246.4","246.4","246.4","246.4","246.4","246.4","246.4","246.4","246.4","246.4","246.4","246.4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","305.5","305.5","305.5","305.5","305.5","305.5","305.5","305.5","305.5","305.5","305.5","305.5","305.5","305.5","305.5","305.5","305.5","305.5","305.5","305.5","305.5","305.5","305.5","305.5","305.5","305.5","305.5","305.5","305.5","305.5","305.5","305.5","305.5","305.5","305.5","305.5","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","358.0","358.0","358.0","358.0","358.0","358.0","358.0","358.0","358.0","358.0","358.0","358.0","358.0","358.0","358.0","358.0","358.0","358.0","358.0","358.0","358.0","358.0","358.0","358.0","358.0","358.0","358.0","358.0","358.0","358.0","#N/A","#N/A"
"1951:Q1","285.9","285.9","285.9","285.9","285.9","285.9","285.9","285.9","285.9","285.9","285.9","285.9","285.9","285.9","285.9","285.9","285.9","285.9","285.9","285.9","285.9","285.9","285.9","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","336.1","336.1","336.1","336.1","336.1","336.1","336.1","336.1","336.1","336.1","336.1","336.1","336.1","336.1","336.1","336.1","336.1","336.1","336.1","336.1","336.1","336.1","336.1","336.1","336.1","336.1","336.1","336.1","336.1","336.1","336.1","336.1","336.1","336.1","336.1","336.1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4","394.4","#N/A","#N/A"
"1951:Q2","318.3","318.3","318.3","318.3","318.3","318.3","318.3","318.3","318.3","318.3","318.3","318.3","318.3","318.3","318.3","318.3","318.3","318.3","318.3","318.3","318.3","318.3","318.3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","382.8","382.8","382.8","382.8","382.8","382.8","382.8","382.8","382.8","382.8","382.8","382.8","382.8","382.8","382.8","382.8","382.8","382.8","382.8","382.8","382.8","382.8","382.8","382.8","382.8","382.8","382.8","382.8","382.8","382.8","382.8","382.8","382.8","382.8","382.8","382.8","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","449.8","449.8","449.8","449.8","449.8","449.8","449.8","449.8","449.8","449.8","449.8","449.8","449.8","449.8","449.8","449.8","449.8","449.8","449.8","449.8","449.8","449.8","449.8","449.8","449.8","449.8","449.8","449.8","449.8","449.8","#N/A","#N/A"
"1951:Q3","348.0","348.0","348.0","348.0","348.0","348.0","348.0","348.0","348.0","348.0","348.0","348.0","348.0","348.0","348.0","348.0","348.0","348.0","348.0","348.0","348.0","348.0","348.0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","423.3","423.3","423.3","423.3","423.3","423.3","423.3","423.3","423.3","423.3","423.3","423.3","423.3","423.3","423.3","423.3","423.3","423.3","423.3","423.3","423.3","423.3","423.3","423.3","423.3","423.3","423.3","423.3","423.3","423.3","423.3","423.3","423.3","423.3","423.3","423.3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","501.0","501.0","501.0","501.0","501.0","501.0","501.0","501.0","501.0","501.0","501.0","501.0","501.0","501.0","501.0","501.0","501.0","501.0","501.0","501.0","501.0","501.0","501.0","501.0","501.0","501.0","501.0","501.0","501.0","501.0","#N/A","#N/A"
"1951:Q4","366.8","366.8","366.8","366.8","366.8","366.8","366.8","366.8","366.8","366.8","366.8","366.8","366.8","366.8","366.8","366.8","366.8","366.8","366.8","366.8","366.8","366.8","366.8","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","445.8","445.8","445.8","445.8","445.8","445.8","445.8","445.8","445.8","445.8","445.8","445.8","445.8","445.8","445.8","445.8","445.8","445.8","445.8","445.8","445.8","445.8","445.8","445.8","445.8","445.8","445.8","445.8","445.8","445.8","445.8","445.8","445.8","445.8","445.8","445.8","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","529.1","529.1","529.1","529.1","529.1","529.1","529.1","529.1","529.1","529.1","529.1","529.1","529.1","529.1","529.1","529.1","529.1","529.1","529.1","529.1","529.1","529.1","529.1","529.1","529.1","529.1","529.1","529.1","529.1","529.1","#N/A","#N/A"
"1952:Q1","377.1","377.1","377.1","377.1","377.1","377.1","377.1","377.1","377.1","377.1","377.1","377.1","377.1","377.1","377.1","377.1","377.1","377.1","377.1","377.1","377.1","377.1","377.1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","453.7","453.7","453.7","453.7","453.7","453.7","453.7","453.7","453.7","453.7","453.7","453.7","453.7","453.7","453.7","453.7","453.7","453.7","453.7","453.7","453.7","453.7","453.7","453.7","453.7","453.7","453.7","453.7","453.7","453.7","453.7","453.7","453.7","453.7","453.7","453.7","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","547.0","547.0","547.0","547.0","547.0","547.0","547.0","547.0","547.0","547.0","547.0","547.0","547.0","547.0","547.0","547.0","547.0","547.0","547.0","547.0","547.0","547.0","547.0","547.0","547.0","547.0","547.0","547.0","547.0","547.0","#N/A","#N/A"
"1952:Q2","387.6","387.6","387.6","387.6","387.6","387.6","387.6","387.6","387.6","387.6","387.6","387.6","387.6","387.6","387.6","387.6","387.6","387.6","387.6","387.6","387.6","387.6","387.6","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","466.8","466.8","466.8","466.8","466.8","466.8","466.8","466.8","466.8","466.8","466.8","466.8","466.8","466.8","466.8","466.8","466.8","466.8","466.8","466.8","466.8","466.8","466.8","466.8","466.8","466.8","466.8","466.8","466.8","466.8","466.8","466.8","466.8","466.8","466.8","466.8","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","566.1","566.1","566.1","566.1","566.1","566.1","566.1","566.1","566.1","566.1","566.1","566.1","566.1","566.1","566.1","566.1","566.1","566.1","566.1","566.1","566.1","566.1","566.1","566.1","566.1","566.1","566.1","566.1","566.1","566.1","#N/A","#N/A"
"1952:Q3","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","471.6","471.6","471.6","471.6","471.6","471.6","471.6","471.6","471.6","471.6","471.6","471.6","471.6","471.6","471.6","471.6","471.6","471.6","471.6","471.6","471.6","471.6","471.6","471.6","471.6","471.6","471.6","471.6","471.6","471.6","471.6","471.6","471.6","471.6","471.6","471.6","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","571.7","571.7","571.7","571.7","571.7","571.7","571.7","571.7","571.7","571.7","571.7","571.7","571.7","571.7","571.7","571.7","571.7","571.7","571.7","571.7","571.7","571.7","571.7","571.7","571.7","571.7","571.7","571.7","571.7","571.7","#N/A","#N/A"
"1952:Q4","398.3","398.3","398.3","398.3","398.3","398.3","398.3","398.3","398.3","398.3","398.3","398.3","398.3","398.3","398.3","398.3","398.3","398.3","398.3","398.3","398.3","398.3","398.3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","478.2","478.2","478.2","478.2","478.2","478.2","478.2","478.2","478.2","478.2","478.2","478.2","478.2","478.2","478.2","478.2","478.2","478.2","478.2","478.2","478.2","478.2","478.2","478.2","478.2","478.2","478.2","478.2","478.2","478.2","478.2","478.2","478.2","478.2","478.2","478.2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","579.8","579.8","579.8","579.8","579.8","579.8","579.8","579.8","579.8","579.8","579.8","579.8","579.8","579.8","579.8","579.8","579.8","579.8","579.8","579.8","579.8","579.8","579.8","579.8","579.8","579.8","579.8","579.8","579.8","579.8","#N/A","#N/A"
