"DATE","EMPLOY64M12","EMPLOY65M1","EMPLOY65M2","EMPLOY65M3","EMPLOY65M4","EMPLOY65M5","EMPLOY65M6","EMPLOY65M7","EMPLOY65M8","EMPLOY65M9","EMPLOY65M10","EMPLOY65M11","EMPLOY65M12","EMPLOY66M1","EMPLOY66M2","EMPLOY66M3","EMPLOY66M4","EMPLOY66M5","EMPLOY66M6","EMPLOY66M7","EMPLOY66M8","EMPLOY66M9","EMPLOY66M10","EMPLOY66M11","EMPLOY66M12","EMPLOY67M1","EMPLOY67M2","EMPLOY67M3","EMPLOY67M4","EMPLOY67M5","EMPLOY67M6","EMPLOY67M7","EMPLOY67M8","EMPLOY67M9","EMPLOY67M10","EMPLOY67M11","EMPLOY67M12","EMPLOY68M1","EMPLOY68M2","EMPLOY68M3","EMPLOY68M4","EMPLOY68M5","EMPLOY68M6","EMPLOY68M7","EMPLOY68M8","EMPLOY68M9","EMPLOY68M10","EMPLOY68M11","EMPLOY68M12","EMPLOY69M1","EMPLOY69M2","EMPLOY69M3","EMPLOY69M4","EMPLOY69M5","EMPLOY69M6","EMPLOY69M7","EMPLOY69M8","EMPLOY69M9","EMPLOY69M10","EMPLOY69M11","EMPLOY69M12"
"1939:11","31516.0","31516.0","31516.0","31516.0","31516.0","31516.0","31516.0","31516.0","31516.0","31516.0","31516.0","31516.0","31516.0","31516.0","31516.0","31516.0","31516.0","31516.0","31516.0","31516.0","31516.0","31516.0","31516.0","31516.0","31516.0","31516.0","31516.0","31516.0","31516.0","31516.0","31516.0","31516.0","31516.0","31516.0","31516.0","31516.0","31516.0","31516.0","31516.0","31516.0","31516.0","31516.0","31516.0","31516.0","31516.0","31516.0","31516.0","31516.0","31516.0","31516.0","31516.0","31516.0","31516.0","31516.0","31516.0","31516.0","31516.0","31516.0","31516.0","31516.0","31516.0"
"1939:12","31583.0","31583.0","31583.0","31583.0","31583.0","31583.0","31583.0","31583.0","31583.0","31583.0","31583.0","31583.0","31583.0","31583.0","31583.0","31583.0","31583.0","31583.0","31583.0","31583.0","31583.0","31583.0","31583.0","31583.0","31583.0","31583.0","31583.0","31583.0","31583.0","31583.0","31583.0","31583.0","31583.0","31583.0","31583.0","31583.0","31583.0","31583.0","31583.0","31583.0","31583.0","31583.0","31583.0","31583.0","31583.0","31583.0","31583.0","31583.0","31583.0","31583.0","31583.0","31583.0","31583.0","31583.0","31583.0","31583.0","31583.0","31583.0","31583.0","31583.0","31583.0"
"1940:01","31441.0","31441.0","31441.0","31441.0","31441.0","31441.0","31441.0","31441.0","31441.0","31441.0","31441.0","31441.0","31441.0","31441.0","31441.0","31441.0","31441.0","31441.0","31441.0","31441.0","31441.0","31441.0","31441.0","31441.0","31441.0","31441.0","31441.0","31441.0","31441.0","31441.0","31441.0","31441.0","31441.0","31441.0","31441.0","31441.0","31441.0","31441.0","31441.0","31441.0","31441.0","31441.0","31441.0","31441.0","31441.0","31441.0","31441.0","31441.0","31441.0","31441.0","31441.0","31441.0","31441.0","31441.0","31441.0","31441.0","31441.0","31441.0","31441.0","31441.0","31441.0"
"1940:02","31534.0","31534.0","31534.0","31534.0","31534.0","31534.0","31534.0","31534.0","31534.0","31534.0","31534.0","31534.0","31534.0","31534.0","31534.0","31534.0","31534.0","31534.0","31534.0","31534.0","31534.0","31534.0","31534.0","31534.0","31534.0","31534.0","31534.0","31534.0","31534.0","31534.0","31534.0","31534.0","31534.0","31534.0","31534.0","31534.0","31534.0","31534.0","31534.0","31534.0","31534.0","31534.0","31534.0","31534.0","31534.0","31534.0","31534.0","31534.0","31534.0","31534.0","31534.0","31534.0","31534.0","31534.0","31534.0","31534.0","31534.0","31534.0","31534.0","31534.0","31534.0"
"1940:03","31594.0","31594.0","31594.0","31594.0","31594.0","31594.0","31594.0","31594.0","31594.0","31594.0","31594.0","31594.0","31594.0","31594.0","31594.0","31594.0","31594.0","31594.0","31594.0","31594.0","31594.0","31594.0","31594.0","31594.0","31594.0","31594.0","31594.0","31594.0","31594.0","31594.0","31594.0","31594.0","31594.0","31594.0","31594.0","31594.0","31594.0","31594.0","31594.0","31594.0","31594.0","31594.0","31594.0","31594.0","31594.0","31594.0","31594.0","31594.0","31594.0","31594.0","31594.0","31594.0","31594.0","31594.0","31594.0","31594.0","31594.0","31594.0","31594.0","31594.0","31594.0"
"1940:04","31621.0","31621.0","31621.0","31621.0","31621.0","31621.0","31621.0","31621.0","31621.0","31621.0","31621.0","31621.0","31621.0","31621.0","31621.0","31621.0","31621.0","31621.0","31621.0","31621.0","31621.0","31621.0","31621.0","31621.0","31621.0","31621.0","31621.0","31621.0","31621.0","31621.0","31621.0","31621.0","31621.0","31621.0","31621.0","31621.0","31621.0","31621.0","31621.0","31621.0","31621.0","31621.0","31621.0","31621.0","31621.0","31621.0","31621.0","31621.0","31621.0","31621.0","31621.0","31621.0","31621.0","31621.0","31621.0","31621.0","31621.0","31621.0","31621.0","31621.0","31621.0"
"1940:05","31769.0","31769.0","31769.0","31769.0","31769.0","31769.0","31769.0","31769.0","31769.0","31769.0","31769.0","31769.0","31769.0","31769.0","31769.0","31769.0","31769.0","31769.0","31769.0","31769.0","31769.0","31769.0","31769.0","31769.0","31769.0","31769.0","31769.0","31769.0","31769.0","31769.0","31769.0","31769.0","31769.0","31769.0","31769.0","31769.0","31769.0","31769.0","31769.0","31769.0","31769.0","31769.0","31769.0","31769.0","31769.0","31769.0","31769.0","31769.0","31769.0","31769.0","31769.0","31769.0","31769.0","31769.0","31769.0","31769.0","31769.0","31769.0","31769.0","31769.0","31769.0"
"1940:06","31905.0","31905.0","31905.0","31905.0","31905.0","31905.0","31905.0","31905.0","31905.0","31905.0","31905.0","31905.0","31905.0","31905.0","31905.0","31905.0","31905.0","31905.0","31905.0","31905.0","31905.0","31905.0","31905.0","31905.0","31905.0","31905.0","31905.0","31905.0","31905.0","31905.0","31905.0","31905.0","31905.0","31905.0","31905.0","31905.0","31905.0","31905.0","31905.0","31905.0","31905.0","31905.0","31905.0","31905.0","31905.0","31905.0","31905.0","31905.0","31905.0","31905.0","31905.0","31905.0","31905.0","31905.0","31905.0","31905.0","31905.0","31905.0","31905.0","31905.0","31905.0"
"1940:07","31993.0","31993.0","31993.0","31993.0","31993.0","31993.0","31993.0","31993.0","31993.0","31993.0","31993.0","31993.0","31993.0","31993.0","31993.0","31993.0","31993.0","31993.0","31993.0","31993.0","31993.0","31993.0","31993.0","31993.0","31993.0","31993.0","31993.0","31993.0","31993.0","31993.0","31993.0","31993.0","31993.0","31993.0","31993.0","31993.0","31993.0","31993.0","31993.0","31993.0","31993.0","31993.0","31993.0","31993.0","31993.0","31993.0","31993.0","31993.0","31993.0","31993.0","31993.0","31993.0","31993.0","31993.0","31993.0","31993.0","31993.0","31993.0","31993.0","31993.0","31993.0"
"1940:08","32399.0","32399.0","32399.0","32399.0","32399.0","32399.0","32399.0","32399.0","32399.0","32399.0","32399.0","32399.0","32399.0","32399.0","32399.0","32399.0","32399.0","32399.0","32399.0","32399.0","32399.0","32399.0","32399.0","32399.0","32399.0","32399.0","32399.0","32399.0","32399.0","32399.0","32399.0","32399.0","32399.0","32399.0","32399.0","32399.0","32399.0","32399.0","32399.0","32399.0","32399.0","32399.0","32399.0","32399.0","32399.0","32399.0","32399.0","32399.0","32399.0","32399.0","32399.0","32399.0","32399.0","32399.0","32399.0","32399.0","32399.0","32399.0","32399.0","32399.0","32399.0"
"1940:09","32876.0","32876.0","32876.0","32876.0","32876.0","32876.0","32876.0","32876.0","32876.0","32876.0","32876.0","32876.0","32876.0","32876.0","32876.0","32876.0","32876.0","32876.0","32876.0","32876.0","32876.0","32876.0","32876.0","32876.0","32876.0","32876.0","32876.0","32876.0","32876.0","32876.0","32876.0","32876.0","32876.0","32876.0","32876.0","32876.0","32876.0","32876.0","32876.0","32876.0","32876.0","32876.0","32876.0","32876.0","32876.0","32876.0","32876.0","32876.0","32876.0","32876.0","32876.0","32876.0","32876.0","32876.0","32876.0","32876.0","32876.0","32876.0","32876.0","32876.0","32876.0"
"1940:10","33264.0","33264.0","33264.0","33264.0","33264.0","33264.0","33264.0","33264.0","33264.0","33264.0","33264.0","33264.0","33264.0","33264.0","33264.0","33264.0","33264.0","33264.0","33264.0","33264.0","33264.0","33264.0","33264.0","33264.0","33264.0","33264.0","33264.0","33264.0","33264.0","33264.0","33264.0","33264.0","33264.0","33264.0","33264.0","33264.0","33264.0","33264.0","33264.0","33264.0","33264.0","33264.0","33264.0","33264.0","33264.0","33264.0","33264.0","33264.0","33264.0","33264.0","33264.0","33264.0","33264.0","33264.0","33264.0","33264.0","33264.0","33264.0","33264.0","33264.0","33264.0"
"1940:11","33634.0","33634.0","33634.0","33634.0","33634.0","33634.0","33634.0","33634.0","33634.0","33634.0","33634.0","33634.0","33634.0","33634.0","33634.0","33634.0","33634.0","33634.0","33634.0","33634.0","33634.0","33634.0","33634.0","33634.0","33634.0","33634.0","33634.0","33634.0","33634.0","33634.0","33634.0","33634.0","33634.0","33634.0","33634.0","33634.0","33634.0","33634.0","33634.0","33634.0","33634.0","33634.0","33634.0","33634.0","33634.0","33634.0","33634.0","33634.0","33634.0","33634.0","33634.0","33634.0","33634.0","33634.0","33634.0","33634.0","33634.0","33634.0","33634.0","33634.0","33634.0"
"1940:12","34138.0","34138.0","34138.0","34138.0","34138.0","34138.0","34138.0","34138.0","34138.0","34138.0","34138.0","34138.0","34138.0","34138.0","34138.0","34138.0","34138.0","34138.0","34138.0","34138.0","34138.0","34138.0","34138.0","34138.0","34138.0","34138.0","34138.0","34138.0","34138.0","34138.0","34138.0","34138.0","34138.0","34138.0","34138.0","34138.0","34138.0","34138.0","34138.0","34138.0","34138.0","34138.0","34138.0","34138.0","34138.0","34138.0","34138.0","34138.0","34138.0","34138.0","34138.0","34138.0","34138.0","34138.0","34138.0","34138.0","34138.0","34138.0","34138.0","34138.0","34138.0"
"1941:01","34384.0","34384.0","34384.0","34384.0","34384.0","34384.0","34384.0","34384.0","34384.0","34384.0","34384.0","34384.0","34384.0","34384.0","34384.0","34384.0","34384.0","34384.0","34384.0","34384.0","34384.0","34384.0","34384.0","34384.0","34384.0","34384.0","34384.0","34384.0","34384.0","34384.0","34384.0","34384.0","34384.0","34384.0","34384.0","34384.0","34384.0","34384.0","34384.0","34384.0","34384.0","34384.0","34384.0","34384.0","34384.0","34384.0","34384.0","34384.0","34384.0","34384.0","34384.0","34384.0","34384.0","34384.0","34384.0","34384.0","34384.0","34384.0","34384.0","34384.0","34384.0"
"1941:02","34732.0","34732.0","34732.0","34732.0","34732.0","34732.0","34732.0","34732.0","34732.0","34732.0","34732.0","34732.0","34732.0","34732.0","34732.0","34732.0","34732.0","34732.0","34732.0","34732.0","34732.0","34732.0","34732.0","34732.0","34732.0","34732.0","34732.0","34732.0","34732.0","34732.0","34732.0","34732.0","34732.0","34732.0","34732.0","34732.0","34732.0","34732.0","34732.0","34732.0","34732.0","34732.0","34732.0","34732.0","34732.0","34732.0","34732.0","34732.0","34732.0","34732.0","34732.0","34732.0","34732.0","34732.0","34732.0","34732.0","34732.0","34732.0","34732.0","34732.0","34732.0"
"1941:03","34979.0","34979.0","34979.0","34979.0","34979.0","34979.0","34979.0","34979.0","34979.0","34979.0","34979.0","34979.0","34979.0","34979.0","34979.0","34979.0","34979.0","34979.0","34979.0","34979.0","34979.0","34979.0","34979.0","34979.0","34979.0","34979.0","34979.0","34979.0","34979.0","34979.0","34979.0","34979.0","34979.0","34979.0","34979.0","34979.0","34979.0","34979.0","34979.0","34979.0","34979.0","34979.0","34979.0","34979.0","34979.0","34979.0","34979.0","34979.0","34979.0","34979.0","34979.0","34979.0","34979.0","34979.0","34979.0","34979.0","34979.0","34979.0","34979.0","34979.0","34979.0"
"1941:04","35260.0","35260.0","35260.0","35260.0","35260.0","35260.0","35260.0","35260.0","35260.0","35260.0","35260.0","35260.0","35260.0","35260.0","35260.0","35260.0","35260.0","35260.0","35260.0","35260.0","35260.0","35260.0","35260.0","35260.0","35260.0","35260.0","35260.0","35260.0","35260.0","35260.0","35260.0","35260.0","35260.0","35260.0","35260.0","35260.0","35260.0","35260.0","35260.0","35260.0","35260.0","35260.0","35260.0","35260.0","35260.0","35260.0","35260.0","35260.0","35260.0","35260.0","35260.0","35260.0","35260.0","35260.0","35260.0","35260.0","35260.0","35260.0","35260.0","35260.0","35260.0"
"1941:05","36075.0","36075.0","36075.0","36075.0","36075.0","36075.0","36075.0","36075.0","36075.0","36075.0","36075.0","36075.0","36075.0","36075.0","36075.0","36075.0","36075.0","36075.0","36075.0","36075.0","36075.0","36075.0","36075.0","36075.0","36075.0","36075.0","36075.0","36075.0","36075.0","36075.0","36075.0","36075.0","36075.0","36075.0","36075.0","36075.0","36075.0","36075.0","36075.0","36075.0","36075.0","36075.0","36075.0","36075.0","36075.0","36075.0","36075.0","36075.0","36075.0","36075.0","36075.0","36075.0","36075.0","36075.0","36075.0","36075.0","36075.0","36075.0","36075.0","36075.0","36075.0"
"1941:06","36569.0","36569.0","36569.0","36569.0","36569.0","36569.0","36569.0","36569.0","36569.0","36569.0","36569.0","36569.0","36569.0","36569.0","36569.0","36569.0","36569.0","36569.0","36569.0","36569.0","36569.0","36569.0","36569.0","36569.0","36569.0","36569.0","36569.0","36569.0","36569.0","36569.0","36569.0","36569.0","36569.0","36569.0","36569.0","36569.0","36569.0","36569.0","36569.0","36569.0","36569.0","36569.0","36569.0","36569.0","36569.0","36569.0","36569.0","36569.0","36569.0","36569.0","36569.0","36569.0","36569.0","36569.0","36569.0","36569.0","36569.0","36569.0","36569.0","36569.0","36569.0"
"1941:07","37166.0","37166.0","37166.0","37166.0","37166.0","37166.0","37166.0","37166.0","37166.0","37166.0","37166.0","37166.0","37166.0","37166.0","37166.0","37166.0","37166.0","37166.0","37166.0","37166.0","37166.0","37166.0","37166.0","37166.0","37166.0","37166.0","37166.0","37166.0","37166.0","37166.0","37166.0","37166.0","37166.0","37166.0","37166.0","37166.0","37166.0","37166.0","37166.0","37166.0","37166.0","37166.0","37166.0","37166.0","37166.0","37166.0","37166.0","37166.0","37166.0","37166.0","37166.0","37166.0","37166.0","37166.0","37166.0","37166.0","37166.0","37166.0","37166.0","37166.0","37166.0"
"1941:08","37557.0","37557.0","37557.0","37557.0","37557.0","37557.0","37557.0","37557.0","37557.0","37557.0","37557.0","37557.0","37557.0","37557.0","37557.0","37557.0","37557.0","37557.0","37557.0","37557.0","37557.0","37557.0","37557.0","37557.0","37557.0","37557.0","37557.0","37557.0","37557.0","37557.0","37557.0","37557.0","37557.0","37557.0","37557.0","37557.0","37557.0","37557.0","37557.0","37557.0","37557.0","37557.0","37557.0","37557.0","37557.0","37557.0","37557.0","37557.0","37557.0","37557.0","37557.0","37557.0","37557.0","37557.0","37557.0","37557.0","37557.0","37557.0","37557.0","37557.0","37557.0"
"1941:09","37824.0","37824.0","37824.0","37824.0","37824.0","37824.0","37824.0","37824.0","37824.0","37824.0","37824.0","37824.0","37824.0","37824.0","37824.0","37824.0","37824.0","37824.0","37824.0","37824.0","37824.0","37824.0","37824.0","37824.0","37824.0","37824.0","37824.0","37824.0","37824.0","37824.0","37824.0","37824.0","37824.0","37824.0","37824.0","37824.0","37824.0","37824.0","37824.0","37824.0","37824.0","37824.0","37824.0","37824.0","37824.0","37824.0","37824.0","37824.0","37824.0","37824.0","37824.0","37824.0","37824.0","37824.0","37824.0","37824.0","37824.0","37824.0","37824.0","37824.0","37824.0"
"1941:10","37849.0","37849.0","37849.0","37849.0","37849.0","37849.0","37849.0","37849.0","37849.0","37849.0","37849.0","37849.0","37849.0","37849.0","37849.0","37849.0","37849.0","37849.0","37849.0","37849.0","37849.0","37849.0","37849.0","37849.0","37849.0","37849.0","37849.0","37849.0","37849.0","37849.0","37849.0","37849.0","37849.0","37849.0","37849.0","37849.0","37849.0","37849.0","37849.0","37849.0","37849.0","37849.0","37849.0","37849.0","37849.0","37849.0","37849.0","37849.0","37849.0","37849.0","37849.0","37849.0","37849.0","37849.0","37849.0","37849.0","37849.0","37849.0","37849.0","37849.0","37849.0"
"1941:11","37909.0","37909.0","37909.0","37909.0","37909.0","37909.0","37909.0","37909.0","37909.0","37909.0","37909.0","37909.0","37909.0","37909.0","37909.0","37909.0","37909.0","37909.0","37909.0","37909.0","37909.0","37909.0","37909.0","37909.0","37909.0","37909.0","37909.0","37909.0","37909.0","37909.0","37909.0","37909.0","37909.0","37909.0","37909.0","37909.0","37909.0","37909.0","37909.0","37909.0","37909.0","37909.0","37909.0","37909.0","37909.0","37909.0","37909.0","37909.0","37909.0","37909.0","37909.0","37909.0","37909.0","37909.0","37909.0","37909.0","37909.0","37909.0","37909.0","37909.0","37909.0"
"1941:12","38039.0","38039.0","38039.0","38039.0","38039.0","38039.0","38039.0","38039.0","38039.0","38039.0","38039.0","38039.0","38039.0","38039.0","38039.0","38039.0","38039.0","38039.0","38039.0","38039.0","38039.0","38039.0","38039.0","38039.0","38039.0","38039.0","38039.0","38039.0","38039.0","38039.0","38039.0","38039.0","38039.0","38039.0","38039.0","38039.0","38039.0","38039.0","38039.0","38039.0","38039.0","38039.0","38039.0","38039.0","38039.0","38039.0","38039.0","38039.0","38039.0","38039.0","38039.0","38039.0","38039.0","38039.0","38039.0","38039.0","38039.0","38039.0","38039.0","38039.0","38039.0"
"1942:01","38246.0","38246.0","38246.0","38246.0","38246.0","38246.0","38246.0","38246.0","38246.0","38246.0","38246.0","38246.0","38246.0","38246.0","38246.0","38246.0","38246.0","38246.0","38246.0","38246.0","38246.0","38246.0","38246.0","38246.0","38246.0","38246.0","38246.0","38246.0","38246.0","38246.0","38246.0","38246.0","38246.0","38246.0","38246.0","38246.0","38246.0","38246.0","38246.0","38246.0","38246.0","38246.0","38246.0","38246.0","38246.0","38246.0","38246.0","38246.0","38246.0","38246.0","38246.0","38246.0","38246.0","38246.0","38246.0","38246.0","38246.0","38246.0","38246.0","38246.0","38246.0"
"1942:02","38421.0","38421.0","38421.0","38421.0","38421.0","38421.0","38421.0","38421.0","38421.0","38421.0","38421.0","38421.0","38421.0","38421.0","38421.0","38421.0","38421.0","38421.0","38421.0","38421.0","38421.0","38421.0","38421.0","38421.0","38421.0","38421.0","38421.0","38421.0","38421.0","38421.0","38421.0","38421.0","38421.0","38421.0","38421.0","38421.0","38421.0","38421.0","38421.0","38421.0","38421.0","38421.0","38421.0","38421.0","38421.0","38421.0","38421.0","38421.0","38421.0","38421.0","38421.0","38421.0","38421.0","38421.0","38421.0","38421.0","38421.0","38421.0","38421.0","38421.0","38421.0"
"1942:03","38843.0","38843.0","38843.0","38843.0","38843.0","38843.0","38843.0","38843.0","38843.0","38843.0","38843.0","38843.0","38843.0","38843.0","38843.0","38843.0","38843.0","38843.0","38843.0","38843.0","38843.0","38843.0","38843.0","38843.0","38843.0","38843.0","38843.0","38843.0","38843.0","38843.0","38843.0","38843.0","38843.0","38843.0","38843.0","38843.0","38843.0","38843.0","38843.0","38843.0","38843.0","38843.0","38843.0","38843.0","38843.0","38843.0","38843.0","38843.0","38843.0","38843.0","38843.0","38843.0","38843.0","38843.0","38843.0","38843.0","38843.0","38843.0","38843.0","38843.0","38843.0"
"1942:04","39312.0","39312.0","39312.0","39312.0","39312.0","39312.0","39312.0","39312.0","39312.0","39312.0","39312.0","39312.0","39312.0","39312.0","39312.0","39312.0","39312.0","39312.0","39312.0","39312.0","39312.0","39312.0","39312.0","39312.0","39312.0","39312.0","39312.0","39312.0","39312.0","39312.0","39312.0","39312.0","39312.0","39312.0","39312.0","39312.0","39312.0","39312.0","39312.0","39312.0","39312.0","39312.0","39312.0","39312.0","39312.0","39312.0","39312.0","39312.0","39312.0","39312.0","39312.0","39312.0","39312.0","39312.0","39312.0","39312.0","39312.0","39312.0","39312.0","39312.0","39312.0"
