"DATE","RCON10M1","RCON10M2","RCON10M3","RCON10M4","RCON10M5","RCON10M6","RCON10M7","RCON10M8","RCON10M9","RCON10M10","RCON10M11","RCON10M12","RCON11M1","RCON11M2","RCON11M3","RCON11M4","RCON11M5","RCON11M6","RCON11M7","RCON11M8","RCON11M9","RCON11M10","RCON11M11","RCON11M12","RCON12M1","RCON12M2","RCON12M3","RCON12M4","RCON12M5","RCON12M6","RCON12M7","RCON12M8","RCON12M9","RCON12M10","RCON12M11","RCON12M12","RCON13M1","RCON13M2","RCON13M3","RCON13M4","RCON13M5","RCON13M6","RCON13M7","RCON13M8","RCON13M9","RCON13M10","RCON13M11","RCON13M12","RCON14M1","RCON14M2","RCON14M3","RCON14M4","RCON14M5","RCON14M6","RCON14M7","RCON14M8","RCON14M9","RCON14M10","RCON14M11","RCON14M12","RCON15M1","RCON15M2","RCON15M3","RCON15M4","RCON15M5"
"1994:Q4","5997.3","5997.3","5997.3","5997.3","5997.3","5997.3","5997.3","5997.3","5997.3","5997.3","5997.3","5997.3","5997.3","5997.3","5997.3","5997.3","5997.3","5997.3","5997.3","5994.6","5994.6","5994.6","5994.6","5994.6","5994.6","5994.6","5994.6","5994.6","5994.6","5994.6","5994.6","5994.6","5994.6","5994.6","5994.6","5994.6","5994.6","5994.6","5994.6","5994.6","5994.6","5994.6","5994.6","6426.0","6426.0","6426.0","6426.0","6426.0","6426.0","6426.0","6426.0","6426.0","6426.0","6426.0","6426.0","6425.9","6425.9","6425.9","6425.9","6425.9","6425.9","6425.9","6425.9","6425.9","6425.9"
"1995:Q1","6004.3","6004.3","6004.3","6004.3","6004.3","6004.3","6004.3","6004.3","6004.3","6004.3","6004.3","6004.3","6004.3","6004.3","6004.3","6004.3","6004.3","6004.3","6004.3","6001.6","6001.6","6001.6","6001.6","6001.6","6001.6","6001.6","6001.6","6001.6","6001.6","6001.6","6001.6","6001.6","6001.6","6001.6","6001.6","6001.6","6001.6","6001.6","6001.6","6001.6","6001.6","6001.6","6001.6","6443.0","6443.0","6443.0","6443.0","6443.0","6443.0","6443.0","6443.0","6443.0","6443.0","6443.0","6443.0","6442.9","6442.9","6442.9","6442.9","6442.9","6442.9","6442.9","6442.9","6442.9","6442.9"
"1995:Q2","6053.5","6053.5","6053.5","6053.5","6053.5","6053.5","6053.5","6053.5","6053.5","6053.5","6053.5","6053.5","6053.5","6053.5","6053.5","6053.5","6053.5","6053.5","6053.5","6050.8","6050.8","6050.8","6050.8","6050.8","6050.8","6050.8","6050.8","6050.8","6050.8","6050.8","6050.8","6050.8","6050.8","6050.8","6050.8","6050.8","6050.8","6050.8","6050.8","6050.8","6050.8","6050.8","6050.8","6500.8","6500.8","6500.8","6500.8","6500.8","6500.8","6500.8","6500.8","6500.8","6500.8","6500.8","6500.8","6500.7","6500.7","6500.7","6500.7","6500.7","6500.7","6500.7","6500.7","6500.7","6500.7"
"1995:Q3","6107.6","6107.6","6107.6","6107.6","6107.6","6107.6","6107.6","6107.6","6107.6","6107.6","6107.6","6107.6","6107.6","6107.6","6107.6","6107.6","6107.6","6107.6","6107.6","6104.9","6104.9","6104.9","6104.9","6104.9","6104.9","6104.9","6104.9","6104.9","6104.9","6104.9","6104.9","6104.9","6104.9","6104.9","6104.9","6104.9","6104.9","6104.9","6104.9","6104.9","6104.9","6104.9","6104.9","6560.4","6560.4","6560.4","6560.4","6560.4","6560.4","6560.4","6560.4","6560.4","6560.4","6560.4","6560.4","6560.3","6560.3","6560.3","6560.3","6560.3","6560.3","6560.3","6560.3","6560.3","6560.3"
"1995:Q4","6150.6","6150.6","6150.6","6150.6","6150.6","6150.6","6150.6","6150.6","6150.6","6150.6","6150.6","6150.6","6150.6","6150.6","6150.6","6150.6","6150.6","6150.6","6150.6","6147.8","6147.8","6147.8","6147.8","6147.8","6147.8","6147.8","6147.8","6147.8","6147.8","6147.8","6147.8","6147.8","6147.8","6147.8","6147.8","6147.8","6147.8","6147.8","6147.8","6147.8","6147.8","6147.8","6147.8","6606.5","6606.5","6606.5","6606.5","6606.5","6606.5","6606.5","6606.5","6606.5","6606.5","6606.5","6606.5","6606.4","6606.4","6606.4","6606.4","6606.4","6606.4","6606.4","6606.4","6606.4","6606.4"
"1996:Q1","6206.9","6206.9","6206.9","6206.9","6206.9","6206.9","6206.9","6206.9","6206.9","6206.9","6206.9","6206.9","6206.9","6206.9","6206.9","6206.9","6206.9","6206.9","6206.9","6204.0","6204.0","6204.0","6204.0","6204.0","6204.0","6204.0","6204.0","6204.0","6204.0","6204.0","6204.0","6204.0","6204.0","6204.0","6204.0","6204.0","6204.0","6204.0","6204.0","6204.0","6204.0","6204.0","6204.0","6667.8","6667.8","6667.8","6667.8","6667.8","6667.8","6667.8","6667.8","6667.8","6667.8","6667.8","6667.8","6667.7","6667.7","6667.7","6667.7","6667.7","6667.7","6667.7","6667.7","6667.7","6667.7"
"1996:Q2","6277.1","6277.1","6277.1","6277.1","6277.1","6277.1","6277.1","6277.1","6277.1","6277.1","6277.1","6277.1","6277.1","6277.1","6277.1","6277.1","6277.1","6277.1","6277.1","6274.2","6274.2","6274.2","6274.2","6274.2","6274.2","6274.2","6274.2","6274.2","6274.2","6274.2","6274.2","6274.2","6274.2","6274.2","6274.2","6274.2","6274.2","6274.2","6274.2","6274.2","6274.2","6274.2","6274.2","6740.2","6740.2","6740.2","6740.2","6740.2","6740.2","6740.2","6740.2","6740.2","6740.2","6740.2","6740.2","6740.1","6740.1","6740.1","6740.1","6740.1","6740.1","6740.1","6740.1","6740.1","6740.1"
"1996:Q3","6314.6","6314.6","6314.6","6314.6","6314.6","6314.6","6314.6","6314.6","6314.6","6314.6","6314.6","6314.6","6314.6","6314.6","6314.6","6314.6","6314.6","6314.6","6314.6","6311.8","6311.8","6311.8","6311.8","6311.8","6311.8","6311.8","6311.8","6311.8","6311.8","6311.8","6311.8","6311.8","6311.8","6311.8","6311.8","6311.8","6311.8","6311.8","6311.8","6311.8","6311.8","6311.8","6311.8","6780.8","6780.8","6780.8","6780.8","6780.8","6780.8","6780.8","6780.8","6780.8","6780.8","6780.8","6780.8","6780.7","6780.7","6780.7","6780.7","6780.7","6780.7","6780.7","6780.7","6780.7","6780.7"
"1996:Q4","6366.1","6366.1","6366.1","6366.1","6366.1","6366.1","6366.1","6366.1","6366.1","6366.1","6366.1","6366.1","6366.1","6366.1","6366.1","6366.1","6366.1","6366.1","6366.1","6363.2","6363.2","6363.2","6363.2","6363.2","6363.2","6363.2","6363.2","6363.2","6363.2","6363.2","6363.2","6363.2","6363.2","6363.2","6363.2","6363.2","6363.2","6363.2","6363.2","6363.2","6363.2","6363.2","6363.2","6834.1","6834.1","6834.1","6834.1","6834.1","6834.1","6834.1","6834.1","6834.1","6834.1","6834.1","6834.1","6834.0","6834.0","6834.0","6834.0","6834.0","6834.0","6834.0","6834.0","6834.0","6834.0"
"1997:Q1","6430.2","6430.2","6430.2","6430.2","6430.2","6430.2","6430.2","6430.2","6430.2","6430.2","6430.2","6430.2","6430.2","6430.2","6430.2","6430.2","6430.2","6430.2","6430.2","6427.3","6427.3","6427.3","6427.3","6427.3","6427.3","6427.3","6427.3","6427.3","6427.3","6427.3","6427.3","6427.3","6427.3","6427.3","6427.3","6427.3","6427.3","6427.3","6427.3","6427.3","6427.3","6427.3","6427.3","6906.2","6906.2","6906.2","6906.2","6906.2","6906.2","6906.2","6906.2","6906.2","6906.2","6906.2","6906.2","6906.1","6906.1","6906.1","6906.1","6906.1","6906.1","6906.1","6906.1","6906.1","6906.1"
"1997:Q2","6456.2","6456.2","6456.2","6456.2","6456.2","6456.2","6456.2","6456.2","6456.2","6456.2","6456.2","6456.2","6456.2","6456.2","6456.2","6456.2","6456.2","6456.2","6456.2","6453.3","6453.3","6453.3","6453.3","6453.3","6453.3","6453.3","6453.3","6453.3","6453.3","6453.3","6453.3","6453.3","6453.3","6453.3","6453.3","6453.3","6453.3","6453.3","6453.3","6453.3","6453.3","6453.3","6453.3","6937.5","6937.5","6937.5","6937.5","6937.5","6937.5","6937.5","6937.5","6937.5","6937.5","6937.5","6937.5","6937.4","6937.4","6937.4","6937.4","6937.4","6937.4","6937.4","6937.4","6937.4","6937.4"
"1997:Q3","6566.0","6566.0","6566.0","6566.0","6566.0","6566.0","6566.0","6566.0","6566.0","6566.0","6566.0","6566.0","6566.0","6566.0","6566.0","6566.0","6566.0","6566.0","6566.0","6563.0","6563.0","6563.0","6563.0","6563.0","6563.0","6563.0","6563.0","6563.0","6563.0","6563.0","6563.0","6563.0","6563.0","6563.0","6563.0","6563.0","6563.0","6563.0","6563.0","6563.0","6563.0","6563.0","6563.0","7056.2","7056.2","7056.2","7056.2","7056.2","7056.2","7056.2","7056.2","7056.2","7056.2","7056.2","7056.2","7056.1","7056.1","7056.1","7056.1","7056.1","7056.1","7056.1","7056.1","7056.1","7056.1"
"1997:Q4","6641.1","6641.1","6641.1","6641.1","6641.1","6641.1","6641.1","6641.1","6641.1","6641.1","6641.1","6641.1","6641.1","6641.1","6641.1","6641.1","6641.1","6641.1","6641.1","6638.1","6638.1","6638.1","6638.1","6638.1","6638.1","6638.1","6638.1","6638.1","6638.1","6638.1","6638.1","6638.1","6638.1","6638.1","6638.1","6638.1","6638.1","6638.1","6638.1","6638.1","6638.1","6638.1","6638.1","7140.0","7140.0","7140.0","7140.0","7140.0","7140.0","7140.0","7140.0","7140.0","7140.0","7140.0","7140.0","7139.9","7139.9","7139.9","7139.9","7139.9","7139.9","7139.9","7139.9","7139.9","7139.9"
"1998:Q1","6707.2","6707.2","6707.2","6707.2","6707.2","6707.2","6707.2","6707.2","6707.2","6707.2","6707.2","6707.2","6707.2","6707.2","6707.2","6707.2","6707.2","6707.2","6707.2","6704.1","6704.1","6704.1","6704.1","6704.1","6704.1","6704.1","6704.1","6704.1","6704.1","6704.1","6704.1","6704.1","6704.1","6704.1","6704.1","6704.1","6704.1","6704.1","6704.1","6704.1","6704.1","6704.1","6704.1","7213.7","7213.7","7213.7","7213.7","7213.7","7213.7","7213.7","7213.7","7213.7","7213.7","7213.7","7213.7","7213.6","7213.6","7213.6","7213.6","7213.6","7213.6","7213.6","7213.6","7213.6","7213.6"
"1998:Q2","6822.6","6822.6","6822.6","6822.6","6822.6","6822.6","6822.6","6822.6","6822.6","6822.6","6822.6","6822.6","6822.6","6822.6","6822.6","6822.6","6822.6","6822.6","6822.6","6819.5","6819.5","6819.5","6819.5","6819.5","6819.5","6819.5","6819.5","6819.5","6819.5","6819.5","6819.5","6819.5","6819.5","6819.5","6819.5","6819.5","6819.5","6819.5","6819.5","6819.5","6819.5","6819.5","6819.5","7341.1","7341.1","7341.1","7341.1","7341.1","7341.1","7341.1","7341.1","7341.1","7341.1","7341.1","7341.1","7341.0","7341.0","7341.0","7341.0","7341.0","7341.0","7341.0","7341.0","7341.0","7341.0"
"1998:Q3","6913.1","6913.1","6913.1","6913.1","6913.1","6913.1","6913.1","6913.1","6913.1","6913.1","6913.1","6913.1","6913.1","6913.1","6913.1","6913.1","6913.1","6913.1","6913.1","6909.9","6909.9","6909.9","6909.9","6909.9","6909.9","6909.9","6909.9","6909.9","6909.9","6909.9","6909.9","6909.9","6909.9","6909.9","6909.9","6909.9","6909.9","6909.9","6909.9","6909.9","6909.9","6909.9","6909.9","7437.7","7437.7","7437.7","7437.7","7437.7","7437.7","7437.7","7437.7","7437.7","7437.7","7437.7","7437.7","7437.5","7437.5","7437.5","7437.5","7437.5","7437.5","7437.5","7437.5","7437.5","7437.5"
"1998:Q4","7019.1","7019.1","7019.1","7019.1","7019.1","7019.1","7019.1","7019.1","7019.1","7019.1","7019.1","7019.1","7019.1","7019.1","7019.1","7019.1","7019.1","7019.1","7019.1","7015.9","7015.9","7015.9","7015.9","7015.9","7015.9","7015.9","7015.9","7015.9","7015.9","7015.9","7015.9","7015.9","7015.9","7015.9","7015.9","7015.9","7015.9","7015.9","7015.9","7015.9","7015.9","7015.9","7015.9","7546.9","7546.9","7546.9","7546.9","7546.9","7546.9","7546.9","7546.9","7546.9","7546.9","7546.9","7546.9","7546.8","7546.8","7546.8","7546.8","7546.8","7546.8","7546.8","7546.8","7546.8","7546.8"
"1999:Q1","7088.3","7088.3","7088.3","7088.3","7088.3","7088.3","7088.3","7088.3","7088.3","7088.3","7088.3","7088.3","7088.3","7088.3","7088.3","7088.3","7088.3","7088.3","7088.3","7085.1","7085.1","7085.1","7085.1","7085.1","7085.1","7085.1","7085.1","7085.1","7085.1","7085.1","7085.1","7085.1","7085.1","7085.1","7085.1","7085.1","7085.1","7085.1","7085.1","7085.1","7085.1","7085.1","7085.1","7625.8","7625.8","7625.8","7625.8","7625.8","7625.8","7625.8","7625.8","7625.8","7625.8","7625.8","7625.8","7618.7","7618.7","7618.7","7618.7","7618.7","7618.7","7618.7","7618.7","7618.7","7618.7"
"1999:Q2","7199.9","7199.9","7199.9","7199.9","7199.9","7199.9","7199.9","7199.9","7199.9","7199.9","7199.9","7199.9","7199.9","7199.9","7199.9","7199.9","7199.9","7199.9","7199.9","7196.6","7196.6","7196.6","7196.6","7196.6","7196.6","7196.6","7196.6","7196.6","7196.6","7196.6","7196.6","7196.6","7196.6","7196.6","7196.6","7196.6","7196.6","7196.6","7196.6","7196.6","7196.6","7196.6","7196.6","7744.1","7744.1","7744.1","7744.1","7744.1","7744.1","7744.1","7744.1","7744.1","7744.1","7744.1","7744.1","7731.5","7731.5","7731.5","7731.5","7731.5","7731.5","7731.5","7731.5","7731.5","7731.5"
"1999:Q3","7286.4","7286.4","7286.4","7286.4","7286.4","7286.4","7286.4","7286.4","7286.4","7286.4","7286.4","7286.4","7286.4","7286.4","7286.4","7286.4","7286.4","7286.4","7286.4","7283.1","7283.1","7283.1","7283.1","7283.1","7283.1","7283.1","7283.1","7283.1","7283.1","7283.1","7283.1","7283.1","7283.1","7283.1","7283.1","7283.1","7283.1","7283.1","7283.1","7283.1","7283.1","7283.1","7283.1","7836.8","7836.8","7836.8","7836.8","7836.8","7836.8","7836.8","7836.8","7836.8","7836.8","7836.8","7836.8","7819.3","7819.3","7819.3","7819.3","7819.3","7819.3","7819.3","7819.3","7819.3","7819.3"
"1999:Q4","7389.2","7389.2","7389.2","7389.2","7389.2","7389.2","7389.2","7389.2","7389.2","7389.2","7389.2","7389.2","7389.2","7389.2","7389.2","7389.2","7389.2","7389.2","7389.2","7385.8","7385.8","7385.8","7385.8","7385.8","7385.8","7385.8","7385.8","7385.8","7385.8","7385.8","7385.8","7385.8","7385.8","7385.8","7385.8","7385.8","7385.8","7385.8","7385.8","7385.8","7385.8","7385.8","7385.8","7945.9","7945.9","7945.9","7945.9","7945.9","7945.9","7945.9","7945.9","7945.9","7945.9","7945.9","7945.9","7934.1","7934.1","7934.1","7934.1","7934.1","7934.1","7934.1","7934.1","7934.1","7934.1"
"2000:Q1","7501.3","7501.3","7501.3","7501.3","7501.3","7501.3","7501.3","7501.3","7501.3","7501.3","7501.3","7501.3","7501.3","7501.3","7501.3","7501.3","7501.3","7501.3","7501.3","7497.8","7497.8","7497.8","7497.8","7497.8","7497.8","7497.8","7497.8","7497.8","7497.8","7497.8","7497.8","7497.8","7497.8","7497.8","7497.8","7497.8","7497.8","7497.8","7497.8","7497.8","7497.8","7497.8","7497.8","8067.1","8067.1","8067.1","8067.1","8067.1","8067.1","8067.1","8067.1","8067.1","8067.1","8067.1","8067.1","8054.9","8054.9","8054.9","8054.9","8054.9","8054.9","8054.9","8054.9","8054.9","8054.9"
"2000:Q2","7571.8","7571.8","7571.8","7571.8","7571.8","7571.8","7571.8","7571.8","7571.8","7571.8","7571.8","7571.8","7571.8","7571.8","7571.8","7571.8","7571.8","7571.8","7571.8","7568.3","7568.3","7568.3","7568.3","7568.3","7568.3","7568.3","7568.3","7568.3","7568.3","7568.3","7568.3","7568.3","7568.3","7568.3","7568.3","7568.3","7568.3","7568.3","7568.3","7568.3","7568.3","7568.3","7568.3","8142.1","8142.1","8142.1","8142.1","8142.1","8142.1","8142.1","8142.1","8142.1","8142.1","8142.1","8142.1","8132.2","8132.2","8132.2","8132.2","8132.2","8132.2","8132.2","8132.2","8132.2","8132.2"
"2000:Q3","7645.9","7645.9","7645.9","7645.9","7645.9","7645.9","7645.9","7645.9","7645.9","7645.9","7645.9","7645.9","7645.9","7645.9","7645.9","7645.9","7645.9","7645.9","7645.9","7642.4","7642.4","7642.4","7642.4","7642.4","7642.4","7642.4","7642.4","7642.4","7642.4","7642.4","7642.4","7642.4","7642.4","7642.4","7642.4","7642.4","7642.4","7642.4","7642.4","7642.4","7642.4","7642.4","7642.4","8223.1","8223.1","8223.1","8223.1","8223.1","8223.1","8223.1","8223.1","8223.1","8223.1","8223.1","8223.1","8211.3","8211.3","8211.3","8211.3","8211.3","8211.3","8211.3","8211.3","8211.3","8211.3"
"2000:Q4","7713.5","7713.5","7713.5","7713.5","7713.5","7713.5","7713.5","7713.5","7713.5","7713.5","7713.5","7713.5","7713.5","7713.5","7713.5","7713.5","7713.5","7713.5","7713.5","7710.0","7710.0","7710.0","7710.0","7710.0","7710.0","7710.0","7710.0","7710.0","7710.0","7710.0","7710.0","7710.0","7710.0","7710.0","7710.0","7710.0","7710.0","7710.0","7710.0","7710.0","7710.0","7710.0","7710.0","8296.1","8296.1","8296.1","8296.1","8296.1","8296.1","8296.1","8296.1","8296.1","8296.1","8296.1","8296.1","8284.4","8284.4","8284.4","8284.4","8284.4","8284.4","8284.4","8284.4","8284.4","8284.4"
"2001:Q1","7744.3","7744.3","7744.3","7744.3","7744.3","7744.3","7744.3","7744.3","7744.3","7744.3","7744.3","7744.3","7744.3","7744.3","7744.3","7744.3","7744.3","7744.3","7744.3","7740.8","7740.8","7740.8","7740.8","7740.8","7740.8","7740.8","7740.8","7740.8","7740.8","7740.8","7740.8","7740.8","7740.8","7740.8","7740.8","7740.8","7740.8","7740.8","7740.8","7740.8","7740.8","7740.8","7740.8","8325.7","8325.7","8325.7","8325.7","8325.7","8325.7","8325.7","8325.7","8325.7","8325.7","8325.7","8325.7","8319.4","8319.4","8319.4","8319.4","8319.4","8319.4","8319.4","8319.4","8319.4","8319.4"
"2001:Q2","7773.5","7773.5","7773.5","7773.5","7773.5","7773.5","7773.5","7773.5","7773.5","7773.5","7773.5","7773.5","7773.5","7773.5","7773.5","7773.5","7773.5","7773.5","7773.5","7770.0","7770.0","7770.0","7770.0","7770.0","7770.0","7770.0","7770.0","7770.0","7770.0","7770.0","7770.0","7770.0","7770.0","7770.0","7770.0","7770.0","7770.0","7770.0","7770.0","7770.0","7770.0","7770.0","7770.0","8348.3","8348.3","8348.3","8348.3","8348.3","8348.3","8348.3","8348.3","8348.3","8348.3","8348.3","8348.3","8340.8","8340.8","8340.8","8340.8","8340.8","8340.8","8340.8","8340.8","8340.8","8340.8"
"2001:Q3","7807.7","7807.7","7807.7","7807.7","7807.7","7807.7","7807.7","7807.7","7807.7","7807.7","7807.7","7807.7","7807.7","7807.7","7807.7","7807.7","7807.7","7807.7","7807.7","7804.2","7804.2","7804.2","7804.2","7804.2","7804.2","7804.2","7804.2","7804.2","7804.2","7804.2","7804.2","7804.2","7804.2","7804.2","7804.2","7804.2","7804.2","7804.2","7804.2","7804.2","7804.2","7804.2","7804.2","8376.3","8376.3","8376.3","8376.3","8376.3","8376.3","8376.3","8376.3","8376.3","8376.3","8376.3","8376.3","8371.2","8371.2","8371.2","8371.2","8371.2","8371.2","8371.2","8371.2","8371.2","8371.2"
"2001:Q4","7930.0","7930.0","7930.0","7930.0","7930.0","7930.0","7930.0","7930.0","7930.0","7930.0","7930.0","7930.0","7930.0","7930.0","7930.0","7930.0","7930.0","7930.0","7930.0","7926.4","7926.4","7926.4","7926.4","7926.4","7926.4","7926.4","7926.4","7926.4","7926.4","7926.4","7926.4","7926.4","7926.4","7926.4","7926.4","7926.4","7926.4","7926.4","7926.4","7926.4","7926.4","7926.4","7926.4","8499.8","8499.8","8499.8","8499.8","8499.8","8499.8","8499.8","8499.8","8499.8","8499.8","8499.8","8499.8","8499.1","8499.1","8499.1","8499.1","8499.1","8499.1","8499.1","8499.1","8499.1","8499.1"
"2002:Q1","7957.3","7957.3","7957.3","7957.3","7957.3","7957.3","7957.3","7957.3","7957.3","7957.3","7957.3","7957.3","7957.3","7957.3","7957.3","7957.3","7957.3","7957.3","7957.3","7953.7","7953.7","7953.7","7953.7","7953.7","7953.7","7953.7","7953.7","7953.7","7953.7","7953.7","7953.7","7953.7","7953.7","7953.7","7953.7","7953.7","7953.7","7953.7","7953.7","7953.7","7953.7","7953.7","7953.7","8527.0","8527.0","8527.0","8527.0","8527.0","8527.0","8527.0","8527.0","8527.0","8527.0","8527.0","8527.0","8524.6","8524.6","8524.6","8524.6","8524.6","8524.6","8524.6","8524.6","8524.6","8524.6"
"2002:Q2","7997.8","7997.8","7997.8","7997.8","7997.8","7997.8","7997.8","7997.8","7997.8","7997.8","7997.8","7997.8","7997.8","7997.8","7997.8","7997.8","7997.8","7997.8","7997.8","7994.1","7994.1","7994.1","7994.1","7994.1","7994.1","7994.1","7994.1","7994.1","7994.1","7994.1","7994.1","7994.1","7994.1","7994.1","7994.1","7994.1","7994.1","7994.1","7994.1","7994.1","7994.1","7994.1","7994.1","8572.2","8572.2","8572.2","8572.2","8572.2","8572.2","8572.2","8572.2","8572.2","8572.2","8572.2","8572.2","8568.1","8568.1","8568.1","8568.1","8568.1","8568.1","8568.1","8568.1","8568.1","8568.1"
"2002:Q3","8052.0","8052.0","8052.0","8052.0","8052.0","8052.0","8052.0","8052.0","8052.0","8052.0","8052.0","8052.0","8052.0","8052.0","8052.0","8052.0","8052.0","8052.0","8052.0","8048.3","8048.3","8048.3","8048.3","8048.3","8048.3","8048.3","8048.3","8048.3","8048.3","8048.3","8048.3","8048.3","8048.3","8048.3","8048.3","8048.3","8048.3","8048.3","8048.3","8048.3","8048.3","8048.3","8048.3","8633.0","8633.0","8633.0","8633.0","8633.0","8633.0","8633.0","8633.0","8633.0","8633.0","8633.0","8633.0","8628.0","8628.0","8628.0","8628.0","8628.0","8628.0","8628.0","8628.0","8628.0","8628.0"
"2002:Q4","8080.6","8080.6","8080.6","8080.6","8080.6","8080.6","8080.6","8080.6","8080.6","8080.6","8080.6","8080.6","8080.6","8080.6","8080.6","8080.6","8080.6","8080.6","8080.6","8076.9","8076.9","8076.9","8076.9","8076.9","8076.9","8076.9","8076.9","8076.9","8076.9","8076.9","8076.9","8076.9","8076.9","8076.9","8076.9","8076.9","8076.9","8076.9","8076.9","8076.9","8076.9","8076.9","8076.9","8669.1","8669.1","8669.1","8669.1","8669.1","8669.1","8669.1","8669.1","8669.1","8669.1","8669.1","8669.1","8674.4","8674.4","8674.4","8674.4","8674.4","8674.4","8674.4","8674.4","8674.4","8674.4"
"2003:Q1","8122.3","8122.3","8122.3","8122.3","8122.3","8122.3","8122.3","8122.3","8122.3","8122.3","8122.3","8122.3","8122.3","8122.3","8122.3","8122.3","8122.3","8122.3","8122.3","8117.7","8117.7","8117.7","8117.7","8117.7","8117.7","8117.7","8117.7","8117.7","8117.7","8117.7","8117.7","8117.7","8117.7","8117.7","8117.7","8117.7","8117.7","8117.7","8117.7","8117.7","8117.7","8117.7","8117.7","8712.2","8712.2","8712.2","8712.2","8712.2","8712.2","8712.2","8712.2","8712.2","8712.2","8712.2","8712.2","8712.5","8712.5","8712.5","8712.5","8712.5","8712.5","8712.5","8712.5","8712.5","8712.5"
"2003:Q2","8197.8","8197.8","8197.8","8197.8","8197.8","8197.8","8197.8","8197.8","8197.8","8197.8","8197.8","8197.8","8197.8","8197.8","8197.8","8197.8","8197.8","8197.8","8197.8","8198.1","8198.1","8198.1","8198.1","8198.1","8198.1","8198.1","8198.1","8198.1","8198.1","8198.1","8198.1","8198.1","8198.1","8198.1","8198.1","8198.1","8198.1","8198.1","8198.1","8198.1","8198.1","8198.1","8198.1","8810.1","8810.1","8810.1","8810.1","8810.1","8810.1","8810.1","8810.1","8810.1","8810.1","8810.1","8810.1","8809.5","8809.5","8809.5","8809.5","8809.5","8809.5","8809.5","8809.5","8809.5","8809.5"
"2003:Q3","8312.1","8312.1","8312.1","8312.1","8312.1","8312.1","8312.1","8312.1","8312.1","8312.1","8312.1","8312.1","8312.1","8312.1","8312.1","8312.1","8312.1","8312.1","8312.1","8308.5","8308.5","8308.5","8308.5","8308.5","8308.5","8308.5","8308.5","8308.5","8308.5","8308.5","8308.5","8308.5","8308.5","8308.5","8308.5","8308.5","8308.5","8308.5","8308.5","8308.5","8308.5","8308.5","8308.5","8938.2","8938.2","8938.2","8938.2","8938.2","8938.2","8938.2","8938.2","8938.2","8938.2","8938.2","8938.2","8939.4","8939.4","8939.4","8939.4","8939.4","8939.4","8939.4","8939.4","8939.4","8939.4"
"2003:Q4","8358.0","8358.0","8358.0","8358.0","8358.0","8358.0","8358.0","8358.0","8358.0","8358.0","8358.0","8358.0","8358.0","8358.0","8358.0","8358.0","8358.0","8358.0","8358.0","8353.7","8353.7","8353.7","8353.7","8353.7","8353.7","8353.7","8353.7","8353.7","8353.7","8353.7","8353.7","8353.7","8353.7","8353.7","8353.7","8353.7","8353.7","8353.7","8353.7","8353.7","8353.7","8353.7","8353.7","9004.3","9004.3","9004.3","9004.3","9004.3","9004.3","9004.3","9004.3","9004.3","9004.3","9004.3","9004.3","9008.8","9008.8","9008.8","9008.8","9008.8","9008.8","9008.8","9008.8","9008.8","9008.8"
"2004:Q1","8437.6","8437.6","8437.6","8437.6","8437.6","8437.6","8437.6","8437.6","8437.6","8437.6","8437.6","8437.6","8437.6","8437.6","8437.6","8437.6","8437.6","8437.6","8437.6","8427.6","8427.6","8427.6","8427.6","8427.6","8427.6","8427.6","8427.6","8427.6","8427.6","8427.6","8427.6","8427.6","8427.6","8427.6","8427.6","8427.6","8427.6","8427.6","8427.6","8427.6","8427.6","8427.6","8427.6","9096.3","9096.3","9096.3","9096.3","9096.3","9096.3","9096.3","9096.3","9096.3","9096.3","9096.3","9096.3","9096.4","9096.4","9096.4","9096.4","9096.4","9096.4","9096.4","9096.4","9096.4","9096.4"
"2004:Q2","8483.2","8483.2","8483.2","8483.2","8483.2","8483.2","8483.2","8483.2","8483.2","8483.2","8483.2","8483.2","8483.2","8483.2","8483.2","8483.2","8483.2","8483.2","8483.2","8465.1","8465.1","8465.1","8465.1","8465.1","8465.1","8465.1","8465.1","8465.1","8465.1","8465.1","8465.1","8465.1","8465.1","8465.1","8465.1","8465.1","8465.1","8465.1","8465.1","8465.1","8465.1","8465.1","8465.1","9152.4","9152.4","9152.4","9152.4","9152.4","9152.4","9152.4","9152.4","9152.4","9152.4","9152.4","9152.4","9155.5","9155.5","9155.5","9155.5","9155.5","9155.5","9155.5","9155.5","9155.5","9155.5"
"2004:Q3","8555.8","8555.8","8555.8","8555.8","8555.8","8555.8","8555.8","8555.8","8555.8","8555.8","8555.8","8555.8","8555.8","8555.8","8555.8","8555.8","8555.8","8555.8","8555.8","8539.1","8539.1","8539.1","8539.1","8539.1","8539.1","8539.1","8539.1","8539.1","8539.1","8539.1","8539.1","8539.1","8539.1","8539.1","8539.1","8539.1","8539.1","8539.1","8539.1","8539.1","8539.1","8539.1","8539.1","9239.3","9239.3","9239.3","9239.3","9239.3","9239.3","9239.3","9239.3","9239.3","9239.3","9239.3","9239.3","9243.0","9243.0","9243.0","9243.0","9243.0","9243.0","9243.0","9243.0","9243.0","9243.0"
