"DATE","RCON10M1","RCON10M2","RCON10M3","RCON10M4","RCON10M5","RCON10M6","RCON10M7","RCON10M8","RCON10M9","RCON10M10","RCON10M11","RCON10M12","RCON11M1","RCON11M2","RCON11M3","RCON11M4","RCON11M5","RCON11M6","RCON11M7","RCON11M8","RCON11M9","RCON11M10","RCON11M11","RCON11M12","RCON12M1","RCON12M2","RCON12M3","RCON12M4","RCON12M5","RCON12M6","RCON12M7","RCON12M8","RCON12M9","RCON12M10","RCON12M11","RCON12M12","RCON13M1","RCON13M2","RCON13M3","RCON13M4","RCON13M5","RCON13M6","RCON13M7","RCON13M8","RCON13M9","RCON13M10","RCON13M11","RCON13M12","RCON14M1","RCON14M2","RCON14M3","RCON14M4","RCON14M5","RCON14M6","RCON14M7","RCON14M8","RCON14M9","RCON14M10","RCON14M11","RCON14M12","RCON15M1","RCON15M2","RCON15M3","RCON15M4","RCON15M5"
"1990:Q1","5303.3","5303.3","5303.3","5303.3","5303.3","5303.3","5303.3","5303.3","5303.3","5303.3","5303.3","5303.3","5303.3","5303.3","5303.3","5303.3","5303.3","5303.3","5303.3","5300.9","5300.9","5300.9","5300.9","5300.9","5300.9","5300.9","5300.9","5300.9","5300.9","5300.9","5300.9","5300.9","5300.9","5300.9","5300.9","5300.9","5300.9","5300.9","5300.9","5300.9","5300.9","5300.9","5300.9","5658.8","5658.8","5658.8","5658.8","5658.8","5658.8","5658.8","5658.8","5658.8","5658.8","5658.8","5658.8","5658.7","5658.7","5658.7","5658.7","5658.7","5658.7","5658.7","5658.7","5658.7","5658.7"
"1990:Q2","5320.8","5320.8","5320.8","5320.8","5320.8","5320.8","5320.8","5320.8","5320.8","5320.8","5320.8","5320.8","5320.8","5320.8","5320.8","5320.8","5320.8","5320.8","5320.8","5318.4","5318.4","5318.4","5318.4","5318.4","5318.4","5318.4","5318.4","5318.4","5318.4","5318.4","5318.4","5318.4","5318.4","5318.4","5318.4","5318.4","5318.4","5318.4","5318.4","5318.4","5318.4","5318.4","5318.4","5676.5","5676.5","5676.5","5676.5","5676.5","5676.5","5676.5","5676.5","5676.5","5676.5","5676.5","5676.5","5676.4","5676.4","5676.4","5676.4","5676.4","5676.4","5676.4","5676.4","5676.4","5676.4"
"1990:Q3","5341.0","5341.0","5341.0","5341.0","5341.0","5341.0","5341.0","5341.0","5341.0","5341.0","5341.0","5341.0","5341.0","5341.0","5341.0","5341.0","5341.0","5341.0","5341.0","5338.6","5338.6","5338.6","5338.6","5338.6","5338.6","5338.6","5338.6","5338.6","5338.6","5338.6","5338.6","5338.6","5338.6","5338.6","5338.6","5338.6","5338.6","5338.6","5338.6","5338.6","5338.6","5338.6","5338.6","5699.4","5699.4","5699.4","5699.4","5699.4","5699.4","5699.4","5699.4","5699.4","5699.4","5699.4","5699.4","5699.3","5699.3","5699.3","5699.3","5699.3","5699.3","5699.3","5699.3","5699.3","5699.3"
"1990:Q4","5299.5","5299.5","5299.5","5299.5","5299.5","5299.5","5299.5","5299.5","5299.5","5299.5","5299.5","5299.5","5299.5","5299.5","5299.5","5299.5","5299.5","5299.5","5299.5","5297.0","5297.0","5297.0","5297.0","5297.0","5297.0","5297.0","5297.0","5297.0","5297.0","5297.0","5297.0","5297.0","5297.0","5297.0","5297.0","5297.0","5297.0","5297.0","5297.0","5297.0","5297.0","5297.0","5297.0","5656.3","5656.3","5656.3","5656.3","5656.3","5656.3","5656.3","5656.3","5656.3","5656.3","5656.3","5656.3","5656.2","5656.2","5656.2","5656.2","5656.2","5656.2","5656.2","5656.2","5656.2","5656.2"
"1991:Q1","5284.4","5284.4","5284.4","5284.4","5284.4","5284.4","5284.4","5284.4","5284.4","5284.4","5284.4","5284.4","5284.4","5284.4","5284.4","5284.4","5284.4","5284.4","5284.4","5282.0","5282.0","5282.0","5282.0","5282.0","5282.0","5282.0","5282.0","5282.0","5282.0","5282.0","5282.0","5282.0","5282.0","5282.0","5282.0","5282.0","5282.0","5282.0","5282.0","5282.0","5282.0","5282.0","5282.0","5636.8","5636.8","5636.8","5636.8","5636.8","5636.8","5636.8","5636.8","5636.8","5636.8","5636.8","5636.8","5636.7","5636.7","5636.7","5636.7","5636.7","5636.7","5636.7","5636.7","5636.7","5636.7"
"1991:Q2","5324.7","5324.7","5324.7","5324.7","5324.7","5324.7","5324.7","5324.7","5324.7","5324.7","5324.7","5324.7","5324.7","5324.7","5324.7","5324.7","5324.7","5324.7","5324.7","5322.2","5322.2","5322.2","5322.2","5322.2","5322.2","5322.2","5322.2","5322.2","5322.2","5322.2","5322.2","5322.2","5322.2","5322.2","5322.2","5322.2","5322.2","5322.2","5322.2","5322.2","5322.2","5322.2","5322.2","5684.1","5684.1","5684.1","5684.1","5684.1","5684.1","5684.1","5684.1","5684.1","5684.1","5684.1","5684.1","5684.0","5684.0","5684.0","5684.0","5684.0","5684.0","5684.0","5684.0","5684.0","5684.0"
"1991:Q3","5345.0","5345.0","5345.0","5345.0","5345.0","5345.0","5345.0","5345.0","5345.0","5345.0","5345.0","5345.0","5345.0","5345.0","5345.0","5345.0","5345.0","5345.0","5345.0","5342.6","5342.6","5342.6","5342.6","5342.6","5342.6","5342.6","5342.6","5342.6","5342.6","5342.6","5342.6","5342.6","5342.6","5342.6","5342.6","5342.6","5342.6","5342.6","5342.6","5342.6","5342.6","5342.6","5342.6","5711.7","5711.7","5711.7","5711.7","5711.7","5711.7","5711.7","5711.7","5711.7","5711.7","5711.7","5711.7","5711.6","5711.6","5711.6","5711.6","5711.6","5711.6","5711.6","5711.6","5711.6","5711.6"
"1991:Q4","5342.6","5342.6","5342.6","5342.6","5342.6","5342.6","5342.6","5342.6","5342.6","5342.6","5342.6","5342.6","5342.6","5342.6","5342.6","5342.6","5342.6","5342.6","5342.6","5340.2","5340.2","5340.2","5340.2","5340.2","5340.2","5340.2","5340.2","5340.2","5340.2","5340.2","5340.2","5340.2","5340.2","5340.2","5340.2","5340.2","5340.2","5340.2","5340.2","5340.2","5340.2","5340.2","5340.2","5710.1","5710.1","5710.1","5710.1","5710.1","5710.1","5710.1","5710.1","5710.1","5710.1","5710.1","5710.1","5710.1","5710.1","5710.1","5710.1","5710.1","5710.1","5710.1","5710.1","5710.1","5710.1"
"1992:Q1","5434.5","5434.5","5434.5","5434.5","5434.5","5434.5","5434.5","5434.5","5434.5","5434.5","5434.5","5434.5","5434.5","5434.5","5434.5","5434.5","5434.5","5434.5","5434.5","5432.0","5432.0","5432.0","5432.0","5432.0","5432.0","5432.0","5432.0","5432.0","5432.0","5432.0","5432.0","5432.0","5432.0","5432.0","5432.0","5432.0","5432.0","5432.0","5432.0","5432.0","5432.0","5432.0","5432.0","5817.4","5817.4","5817.4","5817.4","5817.4","5817.4","5817.4","5817.4","5817.4","5817.4","5817.4","5817.4","5817.3","5817.3","5817.3","5817.3","5817.3","5817.3","5817.3","5817.3","5817.3","5817.3"
"1992:Q2","5466.7","5466.7","5466.7","5466.7","5466.7","5466.7","5466.7","5466.7","5466.7","5466.7","5466.7","5466.7","5466.7","5466.7","5466.7","5466.7","5466.7","5466.7","5466.7","5464.2","5464.2","5464.2","5464.2","5464.2","5464.2","5464.2","5464.2","5464.2","5464.2","5464.2","5464.2","5464.2","5464.2","5464.2","5464.2","5464.2","5464.2","5464.2","5464.2","5464.2","5464.2","5464.2","5464.2","5857.3","5857.3","5857.3","5857.3","5857.3","5857.3","5857.3","5857.3","5857.3","5857.3","5857.3","5857.3","5857.2","5857.2","5857.2","5857.2","5857.2","5857.2","5857.2","5857.2","5857.2","5857.2"
"1992:Q3","5527.1","5527.1","5527.1","5527.1","5527.1","5527.1","5527.1","5527.1","5527.1","5527.1","5527.1","5527.1","5527.1","5527.1","5527.1","5527.1","5527.1","5527.1","5527.1","5524.6","5524.6","5524.6","5524.6","5524.6","5524.6","5524.6","5524.6","5524.6","5524.6","5524.6","5524.6","5524.6","5524.6","5524.6","5524.6","5524.6","5524.6","5524.6","5524.6","5524.6","5524.6","5524.6","5524.6","5920.7","5920.7","5920.7","5920.7","5920.7","5920.7","5920.7","5920.7","5920.7","5920.7","5920.7","5920.7","5920.6","5920.6","5920.6","5920.6","5920.6","5920.6","5920.6","5920.6","5920.6","5920.6"
"1992:Q4","5594.6","5594.6","5594.6","5594.6","5594.6","5594.6","5594.6","5594.6","5594.6","5594.6","5594.6","5594.6","5594.6","5594.6","5594.6","5594.6","5594.6","5594.6","5594.6","5592.0","5592.0","5592.0","5592.0","5592.0","5592.0","5592.0","5592.0","5592.0","5592.0","5592.0","5592.0","5592.0","5592.0","5592.0","5592.0","5592.0","5592.0","5592.0","5592.0","5592.0","5592.0","5592.0","5592.0","5991.1","5991.1","5991.1","5991.1","5991.1","5991.1","5991.1","5991.1","5991.1","5991.1","5991.1","5991.1","5991.1","5991.1","5991.1","5991.1","5991.1","5991.1","5991.1","5991.1","5991.1","5991.1"
"1993:Q1","5617.2","5617.2","5617.2","5617.2","5617.2","5617.2","5617.2","5617.2","5617.2","5617.2","5617.2","5617.2","5617.2","5617.2","5617.2","5617.2","5617.2","5617.2","5617.2","5614.7","5614.7","5614.7","5614.7","5614.7","5614.7","5614.7","5614.7","5614.7","5614.7","5614.7","5614.7","5614.7","5614.7","5614.7","5614.7","5614.7","5614.7","5614.7","5614.7","5614.7","5614.7","5614.7","5614.7","6013.9","6013.9","6013.9","6013.9","6013.9","6013.9","6013.9","6013.9","6013.9","6013.9","6013.9","6013.9","6013.8","6013.8","6013.8","6013.8","6013.8","6013.8","6013.8","6013.8","6013.8","6013.8"
"1993:Q2","5671.1","5671.1","5671.1","5671.1","5671.1","5671.1","5671.1","5671.1","5671.1","5671.1","5671.1","5671.1","5671.1","5671.1","5671.1","5671.1","5671.1","5671.1","5671.1","5668.6","5668.6","5668.6","5668.6","5668.6","5668.6","5668.6","5668.6","5668.6","5668.6","5668.6","5668.6","5668.6","5668.6","5668.6","5668.6","5668.6","5668.6","5668.6","5668.6","5668.6","5668.6","5668.6","5668.6","6067.9","6067.9","6067.9","6067.9","6067.9","6067.9","6067.9","6067.9","6067.9","6067.9","6067.9","6067.9","6067.8","6067.8","6067.8","6067.8","6067.8","6067.8","6067.8","6067.8","6067.8","6067.8"
"1993:Q3","5732.7","5732.7","5732.7","5732.7","5732.7","5732.7","5732.7","5732.7","5732.7","5732.7","5732.7","5732.7","5732.7","5732.7","5732.7","5732.7","5732.7","5732.7","5732.7","5730.1","5730.1","5730.1","5730.1","5730.1","5730.1","5730.1","5730.1","5730.1","5730.1","5730.1","5730.1","5730.1","5730.1","5730.1","5730.1","5730.1","5730.1","5730.1","5730.1","5730.1","5730.1","5730.1","5730.1","6134.8","6134.8","6134.8","6134.8","6134.8","6134.8","6134.8","6134.8","6134.8","6134.8","6134.8","6134.8","6134.8","6134.8","6134.8","6134.8","6134.8","6134.8","6134.8","6134.8","6134.8","6134.8"
"1993:Q4","5783.7","5783.7","5783.7","5783.7","5783.7","5783.7","5783.7","5783.7","5783.7","5783.7","5783.7","5783.7","5783.7","5783.7","5783.7","5783.7","5783.7","5783.7","5783.7","5781.1","5781.1","5781.1","5781.1","5781.1","5781.1","5781.1","5781.1","5781.1","5781.1","5781.1","5781.1","5781.1","5781.1","5781.1","5781.1","5781.1","5781.1","5781.1","5781.1","5781.1","5781.1","5781.1","5781.1","6189.2","6189.2","6189.2","6189.2","6189.2","6189.2","6189.2","6189.2","6189.2","6189.2","6189.2","6189.2","6189.1","6189.1","6189.1","6189.1","6189.1","6189.1","6189.1","6189.1","6189.1","6189.1"
"1994:Q1","5848.1","5848.1","5848.1","5848.1","5848.1","5848.1","5848.1","5848.1","5848.1","5848.1","5848.1","5848.1","5848.1","5848.1","5848.1","5848.1","5848.1","5848.1","5848.1","5845.5","5845.5","5845.5","5845.5","5845.5","5845.5","5845.5","5845.5","5845.5","5845.5","5845.5","5845.5","5845.5","5845.5","5845.5","5845.5","5845.5","5845.5","5845.5","5845.5","5845.5","5845.5","5845.5","5845.5","6260.1","6260.1","6260.1","6260.1","6260.1","6260.1","6260.1","6260.1","6260.1","6260.1","6260.1","6260.1","6260.1","6260.1","6260.1","6260.1","6260.1","6260.1","6260.1","6260.1","6260.1","6260.1"
"1994:Q2","5891.5","5891.5","5891.5","5891.5","5891.5","5891.5","5891.5","5891.5","5891.5","5891.5","5891.5","5891.5","5891.5","5891.5","5891.5","5891.5","5891.5","5891.5","5891.5","5888.8","5888.8","5888.8","5888.8","5888.8","5888.8","5888.8","5888.8","5888.8","5888.8","5888.8","5888.8","5888.8","5888.8","5888.8","5888.8","5888.8","5888.8","5888.8","5888.8","5888.8","5888.8","5888.8","5888.8","6308.7","6308.7","6308.7","6308.7","6308.7","6308.7","6308.7","6308.7","6308.7","6308.7","6308.7","6308.7","6308.6","6308.6","6308.6","6308.6","6308.6","6308.6","6308.6","6308.6","6308.6","6308.6"
"1994:Q3","5938.7","5938.7","5938.7","5938.7","5938.7","5938.7","5938.7","5938.7","5938.7","5938.7","5938.7","5938.7","5938.7","5938.7","5938.7","5938.7","5938.7","5938.7","5938.7","5936.0","5936.0","5936.0","5936.0","5936.0","5936.0","5936.0","5936.0","5936.0","5936.0","5936.0","5936.0","5936.0","5936.0","5936.0","5936.0","5936.0","5936.0","5936.0","5936.0","5936.0","5936.0","5936.0","5936.0","6357.6","6357.6","6357.6","6357.6","6357.6","6357.6","6357.6","6357.6","6357.6","6357.6","6357.6","6357.6","6357.5","6357.5","6357.5","6357.5","6357.5","6357.5","6357.5","6357.5","6357.5","6357.5"
