"DATE","NCPROFAT65Q4","NCPROFAT66Q1","NCPROFAT66Q2","NCPROFAT66Q3","NCPROFAT66Q4","NCPROFAT67Q1","NCPROFAT67Q2","NCPROFAT67Q3","NCPROFAT67Q4","NCPROFAT68Q1","NCPROFAT68Q2","NCPROFAT68Q3","NCPROFAT68Q4","NCPROFAT69Q1","NCPROFAT69Q2","NCPROFAT69Q3","NCPROFAT69Q4","NCPROFAT70Q1","NCPROFAT70Q2","NCPROFAT70Q3","NCPROFAT70Q4","NCPROFAT71Q1","NCPROFAT71Q2","NCPROFAT71Q3","NCPROFAT71Q4","NCPROFAT72Q1","NCPROFAT72Q2","NCPROFAT72Q3","NCPROFAT72Q4","NCPROFAT73Q1","NCPROFAT73Q2","NCPROFAT73Q3","NCPROFAT73Q4","NCPROFAT74Q1","NCPROFAT74Q2","NCPROFAT74Q3","NCPROFAT74Q4","NCPROFAT75Q1","NCPROFAT75Q2","NCPROFAT75Q3","NCPROFAT75Q4","NCPROFAT76Q1","NCPROFAT76Q2","NCPROFAT76Q3","NCPROFAT76Q4","NCPROFAT77Q1","NCPROFAT77Q2","NCPROFAT77Q3","NCPROFAT77Q4","NCPROFAT78Q1","NCPROFAT78Q2","NCPROFAT78Q3","NCPROFAT78Q4","NCPROFAT79Q1","NCPROFAT79Q2","NCPROFAT79Q3","NCPROFAT79Q4","NCPROFAT80Q1","NCPROFAT80Q2","NCPROFAT80Q3","NCPROFAT80Q4","NCPROFAT81Q1","NCPROFAT81Q2","NCPROFAT81Q3","NCPROFAT81Q4","NCPROFAT82Q1","NCPROFAT82Q2","NCPROFAT82Q3","NCPROFAT82Q4","NCPROFAT83Q1","NCPROFAT83Q2","NCPROFAT83Q3","NCPROFAT83Q4","NCPROFAT84Q1","NCPROFAT84Q2","NCPROFAT84Q3","NCPROFAT84Q4","NCPROFAT85Q1","NCPROFAT85Q2","NCPROFAT85Q3","NCPROFAT85Q4","NCPROFAT86Q1","NCPROFAT86Q2","NCPROFAT86Q3","NCPROFAT86Q4","NCPROFAT87Q1","NCPROFAT87Q2","NCPROFAT87Q3","NCPROFAT87Q4","NCPROFAT88Q1","NCPROFAT88Q2","NCPROFAT88Q3","NCPROFAT88Q4","NCPROFAT89Q1","NCPROFAT89Q2","NCPROFAT89Q3","NCPROFAT89Q4","NCPROFAT90Q1","NCPROFAT90Q2","NCPROFAT90Q3","NCPROFAT90Q4","NCPROFAT91Q1","NCPROFAT91Q2","NCPROFAT91Q3","NCPROFAT91Q4","NCPROFAT92Q1","NCPROFAT92Q2","NCPROFAT92Q3","NCPROFAT92Q4","NCPROFAT93Q1","NCPROFAT93Q2","NCPROFAT93Q3","NCPROFAT93Q4","NCPROFAT94Q1","NCPROFAT94Q2","NCPROFAT94Q3","NCPROFAT94Q4","NCPROFAT95Q1","NCPROFAT95Q2","NCPROFAT95Q3","NCPROFAT95Q4","NCPROFAT96Q1","NCPROFAT96Q2","NCPROFAT96Q3","NCPROFAT96Q4","NCPROFAT97Q1","NCPROFAT97Q2","NCPROFAT97Q3","NCPROFAT97Q4","NCPROFAT98Q1","NCPROFAT98Q2","NCPROFAT98Q3","NCPROFAT98Q4","NCPROFAT99Q1","NCPROFAT99Q2","NCPROFAT99Q3","NCPROFAT99Q4","NCPROFAT00Q1","NCPROFAT00Q2","NCPROFAT00Q3","NCPROFAT00Q4","NCPROFAT01Q1","NCPROFAT01Q2","NCPROFAT01Q3","NCPROFAT01Q4","NCPROFAT02Q1","NCPROFAT02Q2","NCPROFAT02Q3","NCPROFAT02Q4","NCPROFAT03Q1","NCPROFAT03Q2","NCPROFAT03Q3","NCPROFAT03Q4","NCPROFAT04Q1","NCPROFAT04Q2","NCPROFAT04Q3","NCPROFAT04Q4","NCPROFAT05Q1","NCPROFAT05Q2","NCPROFAT05Q3","NCPROFAT05Q4","NCPROFAT06Q1","NCPROFAT06Q2","NCPROFAT06Q3","NCPROFAT06Q4","NCPROFAT07Q1","NCPROFAT07Q2","NCPROFAT07Q3","NCPROFAT07Q4","NCPROFAT08Q1","NCPROFAT08Q2","NCPROFAT08Q3","NCPROFAT08Q4","NCPROFAT09Q1","NCPROFAT09Q2","NCPROFAT09Q3","NCPROFAT09Q4","NCPROFAT10Q1","NCPROFAT10Q2","NCPROFAT10Q3","NCPROFAT10Q4","NCPROFAT11Q1","NCPROFAT11Q2","NCPROFAT11Q3","NCPROFAT11Q4","NCPROFAT12Q1","NCPROFAT12Q2","NCPROFAT12Q3","NCPROFAT12Q4","NCPROFAT13Q1","NCPROFAT13Q2","NCPROFAT13Q3","NCPROFAT13Q4","NCPROFAT14Q1","NCPROFAT14Q2","NCPROFAT14Q3","NCPROFAT14Q4","NCPROFAT15Q1","NCPROFAT15Q2"
"1955:Q2","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","#N/A","#N/A","#N/A","#N/A","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","#N/A","#N/A","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","#N/A","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8"
"1955:Q3","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","#N/A","#N/A","#N/A","#N/A","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","#N/A","#N/A","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","#N/A","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","29.6","29.6","29.6","29.6","29.6","29.6","29.6","29.6"
"1955:Q4","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","#N/A","#N/A","#N/A","#N/A","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","#N/A","#N/A","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","#N/A","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8"
"1956:Q1","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","#N/A","#N/A","#N/A","#N/A","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","#N/A","#N/A","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","#N/A","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","30.2","30.2","30.2","30.2","30.2","30.2","30.2","30.2"
"1956:Q2","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","#N/A","#N/A","#N/A","#N/A","28.7","28.7","28.7","28.7","28.7","28.7","28.7","28.7","28.7","28.7","28.7","28.7","28.7","28.7","28.7","28.7","28.7","28.7","28.7","28.7","28.7","28.7","28.7","28.7","28.7","28.7","28.7","#N/A","#N/A","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","#N/A","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","31.1","31.1","31.1","31.1","31.1","31.1","31.1","31.1"
"1956:Q3","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","25.5","25.5","25.5","25.5","25.5","25.5","25.5","25.5","25.5","25.5","25.5","25.5","25.5","25.5","25.5","25.5","25.5","25.5","25.5","25.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","#N/A","#N/A","#N/A","#N/A","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","#N/A","#N/A","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","#N/A","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8"
"1956:Q4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","26.9","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","#N/A","#N/A","#N/A","#N/A","29.0","29.0","29.0","29.0","29.0","29.0","29.0","29.0","29.0","29.0","29.0","29.0","29.0","29.0","29.0","29.0","29.0","29.0","29.0","29.0","29.0","29.0","29.0","29.0","29.0","29.0","29.0","#N/A","#N/A","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","#N/A","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4"
"1957:Q1","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","28.4","28.4","28.4","28.4","28.4","28.4","28.4","28.4","28.4","28.4","28.4","28.4","28.4","28.4","28.4","28.4","28.4","28.4","28.4","28.4","28.4","28.4","28.4","28.4","28.4","28.4","28.4","28.4","28.4","28.4","28.4","28.4","28.4","28.4","28.4","28.4","28.4","28.4","28.4","28.4","28.4","28.4","28.4","28.4","#N/A","#N/A","#N/A","#N/A","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","#N/A","#N/A","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","#N/A","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7"
"1957:Q2","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","#N/A","#N/A","#N/A","#N/A","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","#N/A","#N/A","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","#N/A","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","30.4","30.4","30.4","30.4","30.4","30.4","30.4","30.4"
"1957:Q3","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","25.5","25.5","25.5","25.5","25.5","25.5","25.5","25.5","25.5","25.5","25.5","25.5","25.5","25.5","25.5","25.5","25.5","25.5","25.5","25.5","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","#N/A","#N/A","#N/A","#N/A","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","#N/A","#N/A","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","#N/A","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","29.7","29.7","29.7","29.7","29.7","29.7","29.7","29.7"
"1957:Q4","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.2","23.2","23.2","23.2","23.2","23.2","23.2","23.2","23.2","23.2","23.2","23.2","23.2","23.2","23.2","23.2","23.2","23.2","23.2","23.2","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","#N/A","#N/A","#N/A","#N/A","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","#N/A","#N/A","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","#N/A","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3"
"1958:Q1","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","20.5","20.5","20.5","20.5","20.5","20.5","20.5","20.5","20.5","20.5","20.5","20.5","20.5","20.5","20.5","20.5","20.5","20.5","20.5","20.5","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","#N/A","#N/A","#N/A","#N/A","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","#N/A","#N/A","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","#N/A","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6"
"1958:Q2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","#N/A","#N/A","#N/A","#N/A","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","#N/A","#N/A","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","#N/A","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0"
"1958:Q3","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","#N/A","#N/A","#N/A","#N/A","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","#N/A","#N/A","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","#N/A","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6"
