"DATE","RGSL10M1","RGSL10M2","RGSL10M3","RGSL10M4","RGSL10M5","RGSL10M6","RGSL10M7","RGSL10M8","RGSL10M9","RGSL10M10","RGSL10M11","RGSL10M12","RGSL11M1","RGSL11M2","RGSL11M3","RGSL11M4","RGSL11M5","RGSL11M6","RGSL11M7","RGSL11M8","RGSL11M9","RGSL11M10","RGSL11M11","RGSL11M12","RGSL12M1","RGSL12M2","RGSL12M3","RGSL12M4","RGSL12M5","RGSL12M6","RGSL12M7","RGSL12M8","RGSL12M9","RGSL12M10","RGSL12M11","RGSL12M12","RGSL13M1","RGSL13M2","RGSL13M3","RGSL13M4","RGSL13M5","RGSL13M6","RGSL13M7","RGSL13M8","RGSL13M9","RGSL13M10","RGSL13M11","RGSL13M12","RGSL14M1","RGSL14M2","RGSL14M3","RGSL14M4","RGSL14M5","RGSL14M6","RGSL14M7","RGSL14M8","RGSL14M9","RGSL14M10","RGSL14M11","RGSL14M12","RGSL15M1","RGSL15M2","RGSL15M3","RGSL15M4","RGSL15M5","RGSL15M6","RGSL15M7","RGSL15M8","RGSL15M9","RGSL15M10","RGSL15M11"
"1975:Q2","752.7","752.7","752.7","752.7","752.7","752.7","752.7","752.7","752.7","752.7","752.7","752.7","752.7","752.7","752.7","752.7","752.7","752.7","752.7","752.8","752.8","752.8","752.8","752.8","752.8","752.8","752.8","752.8","752.8","752.8","752.8","752.8","752.8","752.8","752.8","752.8","752.8","752.8","752.8","752.8","752.8","752.8","752.8","912.8","912.8","912.8","912.8","912.8","912.8","912.8","912.8","912.8","912.8","912.8","912.8","912.8","912.8","912.8","912.8","912.8","912.8","912.8","912.8","912.8","912.8","912.8","912.8","912.8","912.8","912.8","912.8"
"1975:Q3","762.0","762.0","762.0","762.0","762.0","762.0","762.0","762.0","762.0","762.0","762.0","762.0","762.0","762.0","762.0","762.0","762.0","762.0","762.0","762.1","762.1","762.1","762.1","762.1","762.1","762.1","762.1","762.1","762.1","762.1","762.1","762.1","762.1","762.1","762.1","762.1","762.1","762.1","762.1","762.1","762.1","762.1","762.1","924.2","924.2","924.2","924.2","924.2","924.2","924.2","924.2","924.2","924.2","924.2","924.2","924.2","924.2","924.2","924.2","924.2","924.2","924.2","924.2","924.2","924.2","924.2","924.2","924.2","924.2","924.2","924.2"
"1975:Q4","771.8","771.8","771.8","771.8","771.8","771.8","771.8","771.8","771.8","771.8","771.8","771.8","771.8","771.8","771.8","771.8","771.8","771.8","771.8","771.8","771.8","771.8","771.8","771.8","771.8","771.8","771.8","771.8","771.8","771.8","771.8","771.8","771.8","771.8","771.8","771.8","771.8","771.8","771.8","771.8","771.8","771.8","771.8","936.3","936.3","936.3","936.3","936.3","936.3","936.3","936.3","936.3","936.3","936.3","936.3","936.3","936.3","936.3","936.3","936.3","936.3","936.3","936.3","936.3","936.3","936.3","936.3","936.3","936.3","936.3","936.3"
"1976:Q1","780.4","780.4","780.4","780.4","780.4","780.4","780.4","780.4","780.4","780.4","780.4","780.4","780.4","780.4","780.4","780.4","780.4","780.4","780.4","780.2","780.2","780.2","780.2","780.2","780.2","780.2","780.2","780.2","780.2","780.2","780.2","780.2","780.2","780.2","780.2","780.2","780.2","780.2","780.2","780.2","780.2","780.2","780.2","946.6","946.6","946.6","946.6","946.6","946.6","946.6","946.6","946.6","946.6","946.6","946.6","946.6","946.6","946.6","946.6","946.6","946.6","946.6","946.6","946.6","946.6","946.6","946.6","946.6","946.6","946.6","946.6"
"1976:Q2","767.0","767.0","767.0","767.0","767.0","767.0","767.0","767.0","767.0","767.0","767.0","767.0","767.0","767.0","767.0","767.0","767.0","767.0","767.0","766.8","766.8","766.8","766.8","766.8","766.8","766.8","766.8","766.8","766.8","766.8","766.8","766.8","766.8","766.8","766.8","766.8","766.8","766.8","766.8","766.8","766.8","766.8","766.8","930.2","930.2","930.2","930.2","930.2","930.2","930.2","930.2","930.2","930.2","930.2","930.2","930.2","930.2","930.2","930.2","930.2","930.2","930.2","930.2","930.2","930.2","930.2","930.2","930.2","930.2","930.2","930.2"
"1976:Q3","761.7","761.7","761.7","761.7","761.7","761.7","761.7","761.7","761.7","761.7","761.7","761.7","761.7","761.7","761.7","761.7","761.7","761.7","761.7","761.5","761.5","761.5","761.5","761.5","761.5","761.5","761.5","761.5","761.5","761.5","761.5","761.5","761.5","761.5","761.5","761.5","761.5","761.5","761.5","761.5","761.5","761.5","761.5","924.1","924.1","924.1","924.1","924.1","924.1","924.1","924.1","924.1","924.1","924.1","924.1","924.1","924.1","924.1","924.1","924.1","924.1","924.1","924.1","924.1","924.1","924.1","924.1","924.1","924.1","924.1","924.1"
"1976:Q4","759.2","759.2","759.2","759.2","759.2","759.2","759.2","759.2","759.2","759.2","759.2","759.2","759.2","759.2","759.2","759.2","759.2","759.2","759.2","759.1","759.1","759.1","759.1","759.1","759.1","759.1","759.1","759.1","759.1","759.1","759.1","759.1","759.1","759.1","759.1","759.1","759.1","759.1","759.1","759.1","759.1","759.1","759.1","921.3","921.3","921.3","921.3","921.3","921.3","921.3","921.3","921.3","921.3","921.3","921.3","921.3","921.3","921.3","921.3","921.3","921.3","921.3","921.3","921.3","921.3","921.3","921.3","921.3","921.3","921.3","921.3"
"1977:Q1","766.5","766.5","766.5","766.5","766.5","766.5","766.5","766.5","766.5","766.5","766.5","766.5","766.5","766.5","766.5","766.5","766.5","766.5","766.5","766.4","766.4","766.4","766.4","766.4","766.4","766.4","766.4","766.4","766.4","766.4","766.4","766.4","766.4","766.4","766.4","766.4","766.4","766.4","766.4","766.4","766.4","766.4","766.4","929.9","929.9","929.9","929.9","929.9","929.9","929.9","929.9","929.9","929.9","929.9","929.9","929.9","929.9","929.9","929.9","929.9","929.9","929.9","929.9","929.9","929.9","929.9","929.9","929.9","929.9","929.9","929.9"
"1977:Q2","771.0","771.0","771.0","771.0","771.0","771.0","771.0","771.0","771.0","771.0","771.0","771.0","771.0","771.0","771.0","771.0","771.0","771.0","771.0","770.9","770.9","770.9","770.9","770.9","770.9","770.9","770.9","770.9","770.9","770.9","770.9","770.9","770.9","770.9","770.9","770.9","770.9","770.9","770.9","770.9","770.9","770.9","770.9","935.4","935.4","935.4","935.4","935.4","935.4","935.4","935.4","935.4","935.4","935.4","935.4","935.4","935.4","935.4","935.4","935.4","935.4","935.4","935.4","935.4","935.4","935.4","935.4","935.4","935.4","935.4","935.4"
"1977:Q3","770.1","770.1","770.1","770.1","770.1","770.1","770.1","770.1","770.1","770.1","770.1","770.1","770.1","770.1","770.1","770.1","770.1","770.1","770.1","770.1","770.1","770.1","770.1","770.1","770.1","770.1","770.1","770.1","770.1","770.1","770.1","770.1","770.1","770.1","770.1","770.1","770.1","770.1","770.1","770.1","770.1","770.1","770.1","934.5","934.5","934.5","934.5","934.5","934.5","934.5","934.5","934.5","934.5","934.5","934.5","934.5","934.5","934.5","934.5","934.5","934.5","934.5","934.5","934.5","934.5","934.5","934.5","934.5","934.5","934.5","934.5"
