"DATE","RGSL10M1","RGSL10M2","RGSL10M3","RGSL10M4","RGSL10M5","RGSL10M6","RGSL10M7","RGSL10M8","RGSL10M9","RGSL10M10","RGSL10M11","RGSL10M12","RGSL11M1","RGSL11M2","RGSL11M3","RGSL11M4","RGSL11M5","RGSL11M6","RGSL11M7","RGSL11M8","RGSL11M9","RGSL11M10","RGSL11M11","RGSL11M12","RGSL12M1","RGSL12M2","RGSL12M3","RGSL12M4","RGSL12M5","RGSL12M6","RGSL12M7","RGSL12M8","RGSL12M9","RGSL12M10","RGSL12M11","RGSL12M12","RGSL13M1","RGSL13M2","RGSL13M3","RGSL13M4","RGSL13M5","RGSL13M6","RGSL13M7","RGSL13M8","RGSL13M9","RGSL13M10","RGSL13M11","RGSL13M12","RGSL14M1","RGSL14M2","RGSL14M3","RGSL14M4","RGSL14M5","RGSL14M6","RGSL14M7","RGSL14M8","RGSL14M9","RGSL14M10","RGSL14M11","RGSL14M12","RGSL15M1","RGSL15M2","RGSL15M3","RGSL15M4","RGSL15M5","RGSL15M6","RGSL15M7","RGSL15M8","RGSL15M9","RGSL15M10","RGSL15M11"
"1980:Q2","810.2","810.2","810.2","810.2","810.2","810.2","810.2","810.2","810.2","810.2","810.2","810.2","810.2","810.2","810.2","810.2","810.2","810.2","810.2","809.8","809.8","809.8","809.8","809.8","809.8","809.8","809.8","809.8","809.8","809.8","809.8","809.8","809.8","809.8","809.8","809.8","809.8","809.8","809.8","809.8","809.8","809.8","809.8","982.9","982.9","982.9","982.9","982.9","982.9","982.9","982.9","982.9","982.9","982.9","982.9","982.9","982.9","982.9","982.9","982.9","982.9","982.9","982.9","982.9","982.9","982.9","982.9","982.9","982.9","982.9","982.9"
"1980:Q3","798.8","798.8","798.8","798.8","798.8","798.8","798.8","798.8","798.8","798.8","798.8","798.8","798.8","798.8","798.8","798.8","798.8","798.8","798.8","798.4","798.4","798.4","798.4","798.4","798.4","798.4","798.4","798.4","798.4","798.4","798.4","798.4","798.4","798.4","798.4","798.4","798.4","798.4","798.4","798.4","798.4","798.4","798.4","967.9","967.9","967.9","967.9","967.9","967.9","967.9","967.9","967.9","967.9","967.9","967.9","967.9","967.9","967.9","967.9","967.9","967.9","967.9","967.9","967.9","967.9","967.9","967.9","967.9","967.9","967.9","967.9"
"1980:Q4","795.3","795.3","795.3","795.3","795.3","795.3","795.3","795.3","795.3","795.3","795.3","795.3","795.3","795.3","795.3","795.3","795.3","795.3","795.3","794.9","794.9","794.9","794.9","794.9","794.9","794.9","794.9","794.9","794.9","794.9","794.9","794.9","794.9","794.9","794.9","794.9","794.9","794.9","794.9","794.9","794.9","794.9","794.9","963.2","963.2","963.2","963.2","963.2","963.2","963.2","963.2","963.2","963.2","963.2","963.2","963.2","963.2","963.2","963.2","963.2","963.2","963.2","963.2","963.2","963.2","963.2","963.2","963.2","963.2","963.2","963.2"
"1981:Q1","801.2","801.2","801.2","801.2","801.2","801.2","801.2","801.2","801.2","801.2","801.2","801.2","801.2","801.2","801.2","801.2","801.2","801.2","801.2","800.9","800.9","800.9","800.9","800.9","800.9","800.9","800.9","800.9","800.9","800.9","800.9","800.9","800.9","800.9","800.9","800.9","800.9","800.9","800.9","800.9","800.9","800.9","800.9","970.7","970.7","970.7","970.7","970.7","970.7","970.7","970.7","970.7","970.7","970.7","970.7","970.7","970.7","970.7","970.7","970.7","970.7","970.7","970.7","970.7","970.7","970.7","970.7","970.7","970.7","970.7","970.7"
"1981:Q2","785.7","785.7","785.7","785.7","785.7","785.7","785.7","785.7","785.7","785.7","785.7","785.7","785.7","785.7","785.7","785.7","785.7","785.7","785.7","785.6","785.6","785.6","785.6","785.6","785.6","785.6","785.6","785.6","785.6","785.6","785.6","785.6","785.6","785.6","785.6","785.6","785.6","785.6","785.6","785.6","785.6","785.6","785.6","952.4","952.4","952.4","952.4","952.4","952.4","952.4","952.4","952.4","952.4","952.4","952.4","952.4","952.4","952.4","952.4","952.4","952.4","952.4","952.4","952.4","952.4","952.4","952.4","952.4","952.4","952.4","952.4"
"1981:Q3","783.1","783.1","783.1","783.1","783.1","783.1","783.1","783.1","783.1","783.1","783.1","783.1","783.1","783.1","783.1","783.1","783.1","783.1","783.1","783.0","783.0","783.0","783.0","783.0","783.0","783.0","783.0","783.0","783.0","783.0","783.0","783.0","783.0","783.0","783.0","783.0","783.0","783.0","783.0","783.0","783.0","783.0","783.0","949.7","949.7","949.7","949.7","949.7","949.7","949.7","949.7","949.7","949.7","949.7","949.7","949.7","949.7","949.7","949.7","949.7","949.7","949.7","949.7","949.7","949.7","949.7","949.7","949.7","949.7","949.7","949.7"
"1981:Q4","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","957.1","957.1","957.1","957.1","957.1","957.1","957.1","957.1","957.1","957.1","957.1","957.1","957.1","957.1","957.1","957.1","957.1","957.1","957.1","957.1","957.1","957.1","957.1","957.1","957.1","957.1","957.1","957.1"
"1982:Q1","786.8","786.8","786.8","786.8","786.8","786.8","786.8","786.8","786.8","786.8","786.8","786.8","786.8","786.8","786.8","786.8","786.8","786.8","786.8","786.8","786.8","786.8","786.8","786.8","786.8","786.8","786.8","786.8","786.8","786.8","786.8","786.8","786.8","786.8","786.8","786.8","786.8","786.8","786.8","786.8","786.8","786.8","786.8","954.4","954.4","954.4","954.4","954.4","954.4","954.4","954.4","954.4","954.4","954.4","954.4","954.4","954.4","954.4","954.4","954.4","954.4","954.4","954.4","954.4","954.4","954.4","954.4","954.4","954.4","954.4","954.4"
"1982:Q2","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","789.3","957.7","957.7","957.7","957.7","957.7","957.7","957.7","957.7","957.7","957.7","957.7","957.7","957.7","957.7","957.7","957.7","957.7","957.7","957.7","957.7","957.7","957.7","957.7","957.7","957.7","957.7","957.7","957.7"
"1982:Q3","789.4","789.4","789.4","789.4","789.4","789.4","789.4","789.4","789.4","789.4","789.4","789.4","789.4","789.4","789.4","789.4","789.4","789.4","789.4","789.4","789.4","789.4","789.4","789.4","789.4","789.4","789.4","789.4","789.4","789.4","789.4","789.4","789.4","789.4","789.4","789.4","789.4","789.4","789.4","789.4","789.4","789.4","789.4","957.7","957.7","957.7","957.7","957.7","957.7","957.7","957.7","957.7","957.7","957.7","957.7","957.7","957.7","957.7","957.7","957.7","957.7","957.7","957.7","957.7","957.7","957.7","957.7","957.7","957.7","957.7","957.7"
"1982:Q4","794.9","794.9","794.9","794.9","794.9","794.9","794.9","794.9","794.9","794.9","794.9","794.9","794.9","794.9","794.9","794.9","794.9","794.9","794.9","794.8","794.8","794.8","794.8","794.8","794.8","794.8","794.8","794.8","794.8","794.8","794.8","794.8","794.8","794.8","794.8","794.8","794.8","794.8","794.8","794.8","794.8","794.8","794.8","964.9","964.9","964.9","964.9","964.9","964.9","964.9","964.9","964.9","964.9","964.9","964.9","964.9","964.9","964.9","964.9","964.9","964.9","964.9","964.9","964.9","964.9","964.9","964.9","964.9","964.9","964.9","964.9"
"1983:Q1","797.7","797.7","797.7","797.7","797.7","797.7","797.7","797.7","797.7","797.7","797.7","797.7","797.7","797.7","797.7","797.7","797.7","797.7","797.7","797.7","797.7","797.7","797.7","797.7","797.7","797.7","797.7","797.7","797.7","797.7","797.7","797.7","797.7","797.7","797.7","797.7","797.7","797.7","797.7","797.7","797.7","797.7","797.7","968.3","968.3","968.3","968.3","968.3","968.3","968.3","968.3","968.3","968.3","968.3","968.3","968.3","968.3","968.3","968.3","968.3","968.3","968.3","968.3","968.3","968.3","968.3","968.3","968.3","968.3","968.3","968.3"
"1983:Q2","795.8","795.8","795.8","795.8","795.8","795.8","795.8","795.8","795.8","795.8","795.8","795.8","795.8","795.8","795.8","795.8","795.8","795.8","795.8","795.8","795.8","795.8","795.8","795.8","795.8","795.8","795.8","795.8","795.8","795.8","795.8","795.8","795.8","795.8","795.8","795.8","795.8","795.8","795.8","795.8","795.8","795.8","795.8","966.4","966.4","966.4","966.4","966.4","966.4","966.4","966.4","966.4","966.4","966.4","966.4","966.4","966.4","966.4","966.4","966.4","966.4","966.4","966.4","966.4","966.4","966.4","966.4","966.4","966.4","966.4","966.4"
"1983:Q3","802.1","802.1","802.1","802.1","802.1","802.1","802.1","802.1","802.1","802.1","802.1","802.1","802.1","802.1","802.1","802.1","802.1","802.1","802.1","802.1","802.1","802.1","802.1","802.1","802.1","802.1","802.1","802.1","802.1","802.1","802.1","802.1","802.1","802.1","802.1","802.1","802.1","802.1","802.1","802.1","802.1","802.1","802.1","974.7","974.7","974.7","974.7","974.7","974.7","974.7","974.7","974.7","974.7","974.7","974.7","974.7","974.7","974.7","974.7","974.7","974.7","974.7","974.7","974.7","974.7","974.7","974.7","974.7","974.7","974.7","974.7"
"1983:Q4","801.6","801.6","801.6","801.6","801.6","801.6","801.6","801.6","801.6","801.6","801.6","801.6","801.6","801.6","801.6","801.6","801.6","801.6","801.6","801.6","801.6","801.6","801.6","801.6","801.6","801.6","801.6","801.6","801.6","801.6","801.6","801.6","801.6","801.6","801.6","801.6","801.6","801.6","801.6","801.6","801.6","801.6","801.6","975.3","975.3","975.3","975.3","975.3","975.3","975.3","975.3","975.3","975.3","975.3","975.3","975.3","975.3","975.3","975.3","975.3","975.3","975.3","975.3","975.3","975.3","975.3","975.3","975.3","975.3","975.3","975.3"
"1984:Q1","810.7","810.7","810.7","810.7","810.7","810.7","810.7","810.7","810.7","810.7","810.7","810.7","810.7","810.7","810.7","810.7","810.7","810.7","810.7","810.7","810.7","810.7","810.7","810.7","810.7","810.7","810.7","810.7","810.7","810.7","810.7","810.7","810.7","810.7","810.7","810.7","810.7","810.7","810.7","810.7","810.7","810.7","810.7","987.5","987.5","987.5","987.5","987.5","987.5","987.5","987.5","987.5","987.5","987.5","987.5","987.5","987.5","987.5","987.5","987.5","987.5","987.5","987.5","987.5","987.5","987.5","987.5","987.5","987.5","987.5","987.5"
"1984:Q2","821.2","821.2","821.2","821.2","821.2","821.2","821.2","821.2","821.2","821.2","821.2","821.2","821.2","821.2","821.2","821.2","821.2","821.2","821.2","821.2","821.2","821.2","821.2","821.2","821.2","821.2","821.2","821.2","821.2","821.2","821.2","821.2","821.2","821.2","821.2","821.2","821.2","821.2","821.2","821.2","821.2","821.2","821.2","1000.6","1000.6","1000.6","1000.6","1000.6","1000.6","1000.6","1000.6","1000.6","1000.6","1000.6","1000.6","1000.6","1000.6","1000.6","1000.6","1000.6","1000.6","1000.6","1000.6","1000.6","1000.6","1000.6","1000.6","1000.6","1000.6","1000.6","1000.6"
"1984:Q3","835.5","835.5","835.5","835.5","835.5","835.5","835.5","835.5","835.5","835.5","835.5","835.5","835.5","835.5","835.5","835.5","835.5","835.5","835.5","835.5","835.5","835.5","835.5","835.5","835.5","835.5","835.5","835.5","835.5","835.5","835.5","835.5","835.5","835.5","835.5","835.5","835.5","835.5","835.5","835.5","835.5","835.5","835.5","1017.6","1017.6","1017.6","1017.6","1017.6","1017.6","1017.6","1017.6","1017.6","1017.6","1017.6","1017.6","1017.6","1017.6","1017.6","1017.6","1017.6","1017.6","1017.6","1017.6","1017.6","1017.6","1017.6","1017.6","1017.6","1017.6","1017.6","1017.6"
"1984:Q4","844.8","844.8","844.8","844.8","844.8","844.8","844.8","844.8","844.8","844.8","844.8","844.8","844.8","844.8","844.8","844.8","844.8","844.8","844.8","844.9","844.9","844.9","844.9","844.9","844.9","844.9","844.9","844.9","844.9","844.9","844.9","844.9","844.9","844.9","844.9","844.9","844.9","844.9","844.9","844.9","844.9","844.9","844.9","1027.9","1027.9","1027.9","1027.9","1027.9","1027.9","1027.9","1027.9","1027.9","1027.9","1027.9","1027.9","1027.9","1027.9","1027.9","1027.9","1027.9","1027.9","1027.9","1027.9","1027.9","1027.9","1027.9","1027.9","1027.9","1027.9","1027.9","1027.9"
"1985:Q1","855.1","855.1","855.1","855.1","855.1","855.1","855.1","855.1","855.1","855.1","855.1","855.1","855.1","855.1","855.1","855.1","855.1","855.1","855.1","855.2","855.2","855.2","855.2","855.2","855.2","855.2","855.2","855.2","855.2","855.2","855.2","855.2","855.2","855.2","855.2","855.2","855.2","855.2","855.2","855.2","855.2","855.2","855.2","1040.9","1040.9","1040.9","1040.9","1040.9","1040.9","1040.9","1040.9","1040.9","1040.9","1040.9","1040.9","1040.9","1040.9","1040.9","1040.9","1040.9","1040.9","1040.9","1040.9","1040.9","1040.9","1040.9","1040.9","1040.9","1040.9","1040.9","1040.9"
"1985:Q2","872.7","872.7","872.7","872.7","872.7","872.7","872.7","872.7","872.7","872.7","872.7","872.7","872.7","872.7","872.7","872.7","872.7","872.7","872.7","872.8","872.8","872.8","872.8","872.8","872.8","872.8","872.8","872.8","872.8","872.8","872.8","872.8","872.8","872.8","872.8","872.8","872.8","872.8","872.8","872.8","872.8","872.8","872.8","1059.6","1059.6","1059.6","1059.6","1059.6","1059.6","1059.6","1059.6","1059.6","1059.6","1059.6","1059.6","1059.6","1059.6","1059.6","1059.6","1059.6","1059.6","1059.6","1059.6","1059.6","1059.6","1059.6","1059.6","1059.6","1059.6","1059.6","1059.6"
"1985:Q3","889.6","889.6","889.6","889.6","889.6","889.6","889.6","889.6","889.6","889.6","889.6","889.6","889.6","889.6","889.6","889.6","889.6","889.6","889.6","889.7","889.7","889.7","889.7","889.7","889.7","889.7","889.7","889.7","889.7","889.7","889.7","889.7","889.7","889.7","889.7","889.7","889.7","889.7","889.7","889.7","889.7","889.7","889.7","1076.4","1076.4","1076.4","1076.4","1076.4","1076.4","1076.4","1076.4","1076.4","1076.4","1076.4","1076.4","1076.4","1076.4","1076.4","1076.4","1076.4","1076.4","1076.4","1076.4","1076.4","1076.4","1076.4","1076.4","1076.4","1076.4","1076.4","1076.4"
"1985:Q4","899.9","899.9","899.9","899.9","899.9","899.9","899.9","899.9","899.9","899.9","899.9","899.9","899.9","899.9","899.9","899.9","899.9","899.9","899.9","900.0","900.0","900.0","900.0","900.0","900.0","900.0","900.0","900.0","900.0","900.0","900.0","900.0","900.0","900.0","900.0","900.0","900.0","900.0","900.0","900.0","900.0","900.0","900.0","1084.6","1084.6","1084.6","1084.6","1084.6","1084.6","1084.6","1084.6","1084.6","1084.6","1084.6","1084.6","1084.6","1084.6","1084.6","1084.6","1084.6","1084.6","1084.6","1084.6","1084.6","1084.6","1084.6","1084.6","1084.6","1084.6","1084.6","1084.6"
"1986:Q1","922.4","922.4","922.4","922.4","922.4","922.4","922.4","922.4","922.4","922.4","922.4","922.4","922.4","922.4","922.4","922.4","922.4","922.4","922.4","922.4","922.4","922.4","922.4","922.4","922.4","922.4","922.4","922.4","922.4","922.4","922.4","922.4","922.4","922.4","922.4","922.4","922.4","922.4","922.4","922.4","922.4","922.4","922.4","1104.6","1104.6","1104.6","1104.6","1104.6","1104.6","1104.6","1104.6","1104.6","1104.6","1104.6","1104.6","1104.6","1104.6","1104.6","1104.6","1104.6","1104.6","1104.6","1104.6","1104.6","1104.6","1104.6","1104.6","1104.6","1104.6","1104.6","1104.6"
"1986:Q2","933.7","933.7","933.7","933.7","933.7","933.7","933.7","933.7","933.7","933.7","933.7","933.7","933.7","933.7","933.7","933.7","933.7","933.7","933.7","933.7","933.7","933.7","933.7","933.7","933.7","933.7","933.7","933.7","933.7","933.7","933.7","933.7","933.7","933.7","933.7","933.7","933.7","933.7","933.7","933.7","933.7","933.7","933.7","1115.4","1115.4","1115.4","1115.4","1115.4","1115.4","1115.4","1115.4","1115.4","1115.4","1115.4","1115.4","1115.4","1115.4","1115.4","1115.4","1115.4","1115.4","1115.4","1115.4","1115.4","1115.4","1115.4","1115.4","1115.4","1115.4","1115.4","1115.4"
"1986:Q3","942.7","942.7","942.7","942.7","942.7","942.7","942.7","942.7","942.7","942.7","942.7","942.7","942.7","942.7","942.7","942.7","942.7","942.7","942.7","942.7","942.7","942.7","942.7","942.7","942.7","942.7","942.7","942.7","942.7","942.7","942.7","942.7","942.7","942.7","942.7","942.7","942.7","942.7","942.7","942.7","942.7","942.7","942.7","1125.7","1125.7","1125.7","1125.7","1125.7","1125.7","1125.7","1125.7","1125.7","1125.7","1125.7","1125.7","1125.7","1125.7","1125.7","1125.7","1125.7","1125.7","1125.7","1125.7","1125.7","1125.7","1125.7","1125.7","1125.7","1125.7","1125.7","1125.7"
"1986:Q4","945.3","945.3","945.3","945.3","945.3","945.3","945.3","945.3","945.3","945.3","945.3","945.3","945.3","945.3","945.3","945.3","945.3","945.3","945.3","945.3","945.3","945.3","945.3","945.3","945.3","945.3","945.3","945.3","945.3","945.3","945.3","945.3","945.3","945.3","945.3","945.3","945.3","945.3","945.3","945.3","945.3","945.3","945.3","1129.5","1129.5","1129.5","1129.5","1129.5","1129.5","1129.5","1129.5","1129.5","1129.5","1129.5","1129.5","1129.5","1129.5","1129.5","1129.5","1129.5","1129.5","1129.5","1129.5","1129.5","1129.5","1129.5","1129.5","1129.5","1129.5","1129.5","1129.5"
"1987:Q1","947.7","947.7","947.7","947.7","947.7","947.7","947.7","947.7","947.7","947.7","947.7","947.7","947.7","947.7","947.7","947.7","947.7","947.7","947.7","947.7","947.7","947.7","947.7","947.7","947.7","947.7","947.7","947.7","947.7","947.7","947.7","947.7","947.7","947.7","947.7","947.7","947.7","947.7","947.7","947.7","947.7","947.7","947.7","1135.4","1135.4","1135.4","1135.4","1135.4","1135.4","1135.4","1135.4","1135.4","1135.4","1135.4","1135.4","1135.4","1135.4","1135.4","1135.4","1135.4","1135.4","1135.4","1135.4","1135.4","1135.4","1135.4","1135.4","1135.4","1135.4","1135.4","1135.4"
"1987:Q2","947.7","947.7","947.7","947.7","947.7","947.7","947.7","947.7","947.7","947.7","947.7","947.7","947.7","947.7","947.7","947.7","947.7","947.7","947.7","947.6","947.6","947.6","947.6","947.6","947.6","947.6","947.6","947.6","947.6","947.6","947.6","947.6","947.6","947.6","947.6","947.6","947.6","947.6","947.6","947.6","947.6","947.6","947.6","1138.1","1138.1","1138.1","1138.1","1138.1","1138.1","1138.1","1138.1","1138.1","1138.1","1138.1","1138.1","1138.1","1138.1","1138.1","1138.1","1138.1","1138.1","1138.1","1138.1","1138.1","1138.1","1138.1","1138.1","1138.1","1138.1","1138.1","1138.1"
"1987:Q3","946.9","946.9","946.9","946.9","946.9","946.9","946.9","946.9","946.9","946.9","946.9","946.9","946.9","946.9","946.9","946.9","946.9","946.9","946.9","946.8","946.8","946.8","946.8","946.8","946.8","946.8","946.8","946.8","946.8","946.8","946.8","946.8","946.8","946.8","946.8","946.8","946.8","946.8","946.8","946.8","946.8","946.8","946.8","1141.9","1141.9","1141.9","1141.9","1141.9","1141.9","1141.9","1141.9","1141.9","1141.9","1141.9","1141.9","1141.9","1141.9","1141.9","1141.9","1141.9","1141.9","1141.9","1141.9","1141.9","1141.9","1141.9","1141.9","1141.9","1141.9","1141.9","1141.9"
"1987:Q4","956.1","956.1","956.1","956.1","956.1","956.1","956.1","956.1","956.1","956.1","956.1","956.1","956.1","956.1","956.1","956.1","956.1","956.1","956.1","956.1","956.1","956.1","956.1","956.1","956.1","956.1","956.1","956.1","956.1","956.1","956.1","956.1","956.1","956.1","956.1","956.1","956.1","956.1","956.1","956.1","956.1","956.1","956.1","1157.3","1157.3","1157.3","1157.3","1157.3","1157.3","1157.3","1157.3","1157.3","1157.3","1157.3","1157.3","1157.3","1157.3","1157.3","1157.3","1157.3","1157.3","1157.3","1157.3","1157.3","1157.3","1157.3","1157.3","1157.3","1157.3","1157.3","1157.3"
"1988:Q1","969.7","969.7","969.7","969.7","969.7","969.7","969.7","969.7","969.7","969.7","969.7","969.7","969.7","969.7","969.7","969.7","969.7","969.7","969.7","969.7","969.7","969.7","969.7","969.7","969.7","969.7","969.7","969.7","969.7","969.7","969.7","969.7","969.7","969.7","969.7","969.7","969.7","969.7","969.7","969.7","969.7","969.7","969.7","1169.8","1169.8","1169.8","1169.8","1169.8","1169.8","1169.8","1169.8","1169.8","1169.8","1169.8","1169.8","1169.8","1169.8","1169.8","1169.8","1169.8","1169.8","1169.8","1169.8","1169.8","1169.8","1169.8","1169.8","1169.8","1169.8","1169.8","1169.8"
"1988:Q2","982.4","982.4","982.4","982.4","982.4","982.4","982.4","982.4","982.4","982.4","982.4","982.4","982.4","982.4","982.4","982.4","982.4","982.4","982.4","982.4","982.4","982.4","982.4","982.4","982.4","982.4","982.4","982.4","982.4","982.4","982.4","982.4","982.4","982.4","982.4","982.4","982.4","982.4","982.4","982.4","982.4","982.4","982.4","1184.5","1184.5","1184.5","1184.5","1184.5","1184.5","1184.5","1184.5","1184.5","1184.5","1184.5","1184.5","1184.5","1184.5","1184.5","1184.5","1184.5","1184.5","1184.5","1184.5","1184.5","1184.5","1184.5","1184.5","1184.5","1184.5","1184.5","1184.5"
"1988:Q3","987.2","987.2","987.2","987.2","987.2","987.2","987.2","987.2","987.2","987.2","987.2","987.2","987.2","987.2","987.2","987.2","987.2","987.2","987.2","987.3","987.3","987.3","987.3","987.3","987.3","987.3","987.3","987.3","987.3","987.3","987.3","987.3","987.3","987.3","987.3","987.3","987.3","987.3","987.3","987.3","987.3","987.3","987.3","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0"
"1988:Q4","999.8","999.8","999.8","999.8","999.8","999.8","999.8","999.8","999.8","999.8","999.8","999.8","999.8","999.8","999.8","999.8","999.8","999.8","999.8","999.8","999.8","999.8","999.8","999.8","999.8","999.8","999.8","999.8","999.8","999.8","999.8","999.8","999.8","999.8","999.8","999.8","999.8","999.8","999.8","999.8","999.8","999.8","999.8","1204.5","1204.5","1204.5","1204.5","1204.5","1204.5","1204.5","1204.5","1204.5","1204.5","1204.5","1204.5","1204.5","1204.5","1204.5","1204.5","1204.5","1204.5","1204.5","1204.5","1204.5","1204.5","1204.5","1204.5","1204.5","1204.5","1204.5","1204.5"
"1989:Q1","1005.0","1005.0","1005.0","1005.0","1005.0","1005.0","1005.0","1005.0","1005.0","1005.0","1005.0","1005.0","1005.0","1005.0","1005.0","1005.0","1005.0","1005.0","1005.0","1005.0","1005.0","1005.0","1005.0","1005.0","1005.0","1005.0","1005.0","1005.0","1005.0","1005.0","1005.0","1005.0","1005.0","1005.0","1005.0","1005.0","1005.0","1005.0","1005.0","1005.0","1005.0","1005.0","1005.0","1214.1","1214.1","1214.1","1214.1","1214.1","1214.1","1214.1","1214.1","1214.1","1214.1","1214.1","1214.1","1214.1","1214.1","1214.1","1214.1","1214.1","1214.1","1214.1","1214.1","1214.1","1214.1","1214.1","1214.1","1214.1","1214.1","1214.1","1214.1"
"1989:Q2","1015.1","1015.1","1015.1","1015.1","1015.1","1015.1","1015.1","1015.1","1015.1","1015.1","1015.1","1015.1","1015.1","1015.1","1015.1","1015.1","1015.1","1015.1","1015.1","1015.1","1015.1","1015.1","1015.1","1015.1","1015.1","1015.1","1015.1","1015.1","1015.1","1015.1","1015.1","1015.1","1015.1","1015.1","1015.1","1015.1","1015.1","1015.1","1015.1","1015.1","1015.1","1015.1","1015.1","1227.5","1227.5","1227.5","1227.5","1227.5","1227.5","1227.5","1227.5","1227.5","1227.5","1227.5","1227.5","1227.5","1227.5","1227.5","1227.5","1227.5","1227.5","1227.5","1227.5","1227.5","1227.5","1227.5","1227.5","1227.5","1227.5","1227.5","1227.5"
"1989:Q3","1024.5","1024.5","1024.5","1024.5","1024.5","1024.5","1024.5","1024.5","1024.5","1024.5","1024.5","1024.5","1024.5","1024.5","1024.5","1024.5","1024.5","1024.5","1024.5","1024.5","1024.5","1024.5","1024.5","1024.5","1024.5","1024.5","1024.5","1024.5","1024.5","1024.5","1024.5","1024.5","1024.5","1024.5","1024.5","1024.5","1024.5","1024.5","1024.5","1024.5","1024.5","1024.5","1024.5","1239.3","1239.3","1239.3","1239.3","1239.3","1239.3","1239.3","1239.3","1239.3","1239.3","1239.3","1239.3","1239.3","1239.3","1239.3","1239.3","1239.3","1239.3","1239.3","1239.3","1239.3","1239.3","1239.3","1239.3","1239.3","1239.3","1239.3","1239.3"
"1989:Q4","1038.2","1038.2","1038.2","1038.2","1038.2","1038.2","1038.2","1038.2","1038.2","1038.2","1038.2","1038.2","1038.2","1038.2","1038.2","1038.2","1038.2","1038.2","1038.2","1038.2","1038.2","1038.2","1038.2","1038.2","1038.2","1038.2","1038.2","1038.2","1038.2","1038.2","1038.2","1038.2","1038.2","1038.2","1038.2","1038.2","1038.2","1038.2","1038.2","1038.2","1038.2","1038.2","1038.2","1256.0","1256.0","1256.0","1256.0","1256.0","1256.0","1256.0","1256.0","1256.0","1256.0","1256.0","1256.0","1256.0","1256.0","1256.0","1256.0","1256.0","1256.0","1256.0","1256.0","1256.0","1256.0","1256.0","1256.0","1256.0","1256.0","1256.0","1256.0"
"1990:Q1","1054.6","1054.6","1054.6","1054.6","1054.6","1054.6","1054.6","1054.6","1054.6","1054.6","1054.6","1054.6","1054.6","1054.6","1054.6","1054.6","1054.6","1054.6","1054.6","1054.6","1054.6","1054.6","1054.6","1054.6","1054.6","1054.6","1054.6","1054.6","1054.6","1054.6","1054.6","1054.6","1054.6","1054.6","1054.6","1054.6","1054.6","1054.6","1054.6","1054.6","1054.6","1054.6","1054.6","1275.2","1275.2","1275.2","1275.2","1275.2","1275.2","1275.2","1275.2","1275.2","1275.2","1275.2","1275.2","1275.2","1275.2","1275.2","1275.2","1275.2","1275.2","1275.2","1275.2","1275.2","1275.2","1275.2","1275.2","1275.2","1275.2","1275.2","1275.2"
"1990:Q2","1056.4","1056.4","1056.4","1056.4","1056.4","1056.4","1056.4","1056.4","1056.4","1056.4","1056.4","1056.4","1056.4","1056.4","1056.4","1056.4","1056.4","1056.4","1056.4","1056.4","1056.4","1056.4","1056.4","1056.4","1056.4","1056.4","1056.4","1056.4","1056.4","1056.4","1056.4","1056.4","1056.4","1056.4","1056.4","1056.4","1056.4","1056.4","1056.4","1056.4","1056.4","1056.4","1056.4","1277.7","1277.7","1277.7","1277.7","1277.7","1277.7","1277.7","1277.7","1277.7","1277.7","1277.7","1277.7","1277.7","1277.7","1277.7","1277.7","1277.7","1277.7","1277.7","1277.7","1277.7","1277.7","1277.7","1277.7","1277.7","1277.7","1277.7","1277.7"
"1990:Q3","1063.0","1063.0","1063.0","1063.0","1063.0","1063.0","1063.0","1063.0","1063.0","1063.0","1063.0","1063.0","1063.0","1063.0","1063.0","1063.0","1063.0","1063.0","1063.0","1063.0","1063.0","1063.0","1063.0","1063.0","1063.0","1063.0","1063.0","1063.0","1063.0","1063.0","1063.0","1063.0","1063.0","1063.0","1063.0","1063.0","1063.0","1063.0","1063.0","1063.0","1063.0","1063.0","1063.0","1286.4","1286.4","1286.4","1286.4","1286.4","1286.4","1286.4","1286.4","1286.4","1286.4","1286.4","1286.4","1286.4","1286.4","1286.4","1286.4","1286.4","1286.4","1286.4","1286.4","1286.4","1286.4","1286.4","1286.4","1286.4","1286.4","1286.4","1286.4"
