"DATE","HG10M1","HG10M2","HG10M3","HG10M4","HG10M5","HG10M6","HG10M7","HG10M8","HG10M9","HG10M10","HG10M11","HG10M12","HG11M1","HG11M2","HG11M3","HG11M4","HG11M5","HG11M6","HG11M7","HG11M8","HG11M9","HG11M10","HG11M11","HG11M12","HG12M1","HG12M2","HG12M3","HG12M4","HG12M5","HG12M6","HG12M7","HG12M8","HG12M9","HG12M10","HG12M11","HG12M12","HG13M1","HG13M2","HG13M3","HG13M4","HG13M5","HG13M6","HG13M7","HG13M8","HG13M9","HG13M10","HG13M11","HG13M12","HG14M1","HG14M2","HG14M3","HG14M4","HG14M5","HG14M6","HG14M7","HG14M8","HG14M9","HG14M10","HG14M11","HG14M12","HG15M1","HG15M2","HG15M3","HG15M4","HG15M5"
"1963:04","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7"
"1963:05","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9"
"1963:06","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2"
"1963:07","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3"
"1963:08","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3"
"1963:09","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5"
"1963:10","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2"
"1963:11","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2"
"1963:12","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6"
"1964:01","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4"
"1964:02","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3"
"1964:03","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1"
"1964:04","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5"
"1964:05","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8"
"1964:06","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2"
"1964:07","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3"
"1964:08","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9"
"1964:09","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7"
"1964:10","96.0","96.0","96.0","96.0","96.0","96.0","96.0","96.0","96.0","96.0","96.0","96.0","96.0","96.0","96.0","96.0","96.0","96.0","96.0","96.0","96.0","96.0","96.0","96.0","96.0","96.0","96.0","96.0","96.0","96.0","96.0","96.0","96.0","96.0","96.0","96.0","96.0","96.0","96.0","96.0","96.0","96.0","96.0","96.0","96.0","96.0","96.0","96.0","96.0","96.0","96.0","96.0","96.0","96.0","96.0","96.0","96.0","96.0","96.0","96.0","96.0","96.0","96.0","96.0","96.0"
"1964:11","98.5","98.5","98.5","98.5","98.5","98.5","98.5","98.5","98.5","98.5","98.5","98.5","98.5","98.5","98.5","98.5","98.5","98.5","98.5","98.5","98.5","98.5","98.5","98.5","98.5","98.5","98.5","98.5","98.5","98.5","98.5","98.5","98.5","98.5","98.5","98.5","98.5","98.5","98.5","98.5","98.5","98.5","98.5","98.5","98.5","98.5","98.5","98.5","98.5","98.5","98.5","98.5","98.5","98.5","98.5","98.5","98.5","98.5","98.5","98.5","98.5","98.5","98.5","98.5","98.5"
"1964:12","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1"
"1965:01","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8"
"1965:02","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7"
"1965:03","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3"
"1965:04","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9"
"1965:05","101.1","101.1","101.1","101.1","101.1","101.1","101.1","101.1","101.1","101.1","101.1","101.1","101.1","101.1","101.1","101.1","101.1","101.1","101.1","101.1","101.1","101.1","101.1","101.1","101.1","101.1","101.1","101.1","101.1","101.1","101.1","101.1","101.1","101.1","101.1","101.1","101.1","101.1","101.1","101.1","101.1","101.1","101.1","101.1","101.1","101.1","101.1","101.1","101.1","101.1","101.1","101.1","101.1","101.1","101.1","101.1","101.1","101.1","101.1","101.1","101.1","101.1","101.1","101.1","101.1"
"1965:06","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2"
"1965:07","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7"
"1965:08","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0"
"1965:09","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4"
"1965:10","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1"
"1965:11","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7"
"1965:12","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6"
"1966:01","105.4","105.4","105.4","105.4","105.4","105.4","105.4","105.4","105.4","105.4","105.4","105.4","105.4","105.4","105.4","105.4","105.4","105.4","105.4","105.4","105.4","105.4","105.4","105.4","105.4","105.4","105.4","105.4","105.4","105.4","105.4","105.4","105.4","105.4","105.4","105.4","105.4","105.4","105.4","105.4","105.4","105.4","105.4","105.4","105.4","105.4","105.4","105.4","105.4","105.4","105.4","105.4","105.4","105.4","105.4","105.4","105.4","105.4","105.4","105.4","105.4","105.4","105.4","105.4","105.4"
"1966:02","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3"
"1966:03","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4"
"1966:04","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6"
"1966:05","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0"
"1966:06","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1"
"1966:07","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9"
"1966:08","108.5","108.5","108.5","108.5","108.5","108.5","108.5","108.5","108.5","108.5","108.5","108.5","108.5","108.5","108.5","108.5","108.5","108.5","108.5","108.5","108.5","108.5","108.5","108.5","108.5","108.5","108.5","108.5","108.5","108.5","108.5","108.5","108.5","108.5","108.5","108.5","108.5","108.5","108.5","108.5","108.5","108.5","108.5","108.5","108.5","108.5","108.5","108.5","108.5","108.5","108.5","108.5","108.5","108.5","108.5","108.5","108.5","108.5","108.5","108.5","108.5","108.5","108.5","108.5","108.5"
"1966:09","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8"
"1966:10","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3"
"1966:11","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9"
"1966:12","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5"
"1967:01","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4"
"1967:02","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6"
"1967:03","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6"
"1967:04","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5"
"1967:05","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1"
