"DATE","pconshh09Q3","pconshh09Q4","pconshh10Q1","pconshh10Q2","pconshh10Q3","pconshh10Q4","pconshh11Q1","pconshh11Q2","pconshh11Q3","pconshh11Q4","pconshh12Q1","pconshh12Q2","pconshh12Q3","pconshh12Q4","pconshh13Q1","pconshh13Q2","pconshh13Q3","pconshh13Q4","pconshh14Q1","pconshh14Q2","pconshh14Q3","pconshh14Q4","pconshh15Q1","pconshh15Q2"
"2004:Q4","97.8","97.8","97.8","97.8","97.8","97.8","97.8","97.8","97.803","97.803","97.803","97.803","97.803","97.803","97.803","97.803","87.578","87.578","87.578","87.578","87.581","87.581","87.581","87.581"
"2005:Q1","98.726","98.726","98.726","98.726","98.726","98.726","98.726","98.726","98.728","98.728","98.728","98.728","98.728","98.728","98.728","98.728","88.359","88.359","88.359","88.359","88.36","88.36","88.36","88.36"
"2005:Q2","99.554","99.554","99.554","99.554","99.554","99.554","99.554","99.554","99.555","99.555","99.555","99.555","99.555","99.555","99.555","99.555","89.092","89.092","89.092","89.092","89.095","89.095","89.095","89.095"
"2005:Q3","100.282","100.282","100.282","100.282","100.282","100.282","100.282","100.282","100.28","100.28","100.28","100.28","100.28","100.28","100.28","100.28","89.792","89.792","89.792","89.792","89.798","89.798","89.798","89.798"
"2005:Q4","101.437","101.437","101.437","101.437","101.437","101.437","101.437","101.437","101.437","101.437","101.437","101.437","101.437","101.437","101.437","101.437","90.854","90.854","90.854","90.854","90.857","90.857","90.857","90.857"
"2006:Q1","102.177","102.177","102.177","102.177","102.177","102.177","102.177","102.177","102.18","102.18","102.18","102.18","102.18","102.18","102.18","102.18","91.554","91.554","91.554","91.554","91.557","91.557","91.557","91.557"
"2006:Q2","103.028","103.028","103.028","103.028","103.028","103.028","103.028","103.028","103.033","103.033","103.033","103.033","103.033","103.033","103.033","103.033","92.279","92.279","92.279","92.279","92.283","92.283","92.283","92.283"
"2006:Q3","103.916","103.916","103.916","103.916","103.916","103.916","103.916","103.916","103.922","103.922","103.922","103.922","103.922","103.922","103.922","103.922","93.05","93.05","93.05","93.05","93.055","93.055","93.055","93.055"
"2006:Q4","104.731","104.731","104.731","104.731","104.731","104.731","104.731","104.731","104.739","104.739","104.739","104.739","104.739","104.739","104.739","104.739","93.683","93.683","93.683","93.683","93.684","93.684","93.684","93.684"
"2007:Q1","105.772","105.772","105.772","105.772","105.847","105.847","105.847","105.847","105.853","105.853","105.853","105.853","105.853","105.853","105.853","105.853","94.655","94.655","94.655","94.655","94.656","94.656","94.656","94.656"
"2007:Q2","106.561","106.561","106.561","106.561","106.637","106.637","106.637","106.637","106.649","106.649","106.649","106.649","106.649","106.649","106.649","106.649","95.277","95.277","95.277","95.277","95.281","95.281","95.281","95.281"
"2007:Q3","107.455","107.455","107.455","107.455","107.46","107.46","107.46","107.46","107.473","107.473","107.473","107.473","107.473","107.473","107.473","107.473","95.991","95.991","95.991","95.991","95.996","95.996","95.996","95.996"
"2007:Q4","108.632","108.632","108.632","108.632","108.503","108.503","108.503","108.503","108.515","108.515","108.515","108.515","108.515","108.515","108.515","108.515","96.908","96.908","96.908","96.908","96.916","96.916","96.916","96.916"
"2008:Q1","109.44","109.44","109.44","109.44","109.411","109.411","109.411","109.411","109.503","109.503","109.503","109.503","109.503","109.503","109.503","109.503","97.661","97.661","97.661","97.661","97.669","97.669","97.669","97.669"
"2008:Q2","110.544","110.544","110.544","110.544","110.657","110.657","110.657","110.657","110.624","110.624","110.624","110.624","110.624","110.624","110.624","110.624","98.625","98.625","98.625","98.625","98.633","98.633","98.633","98.633"
"2008:Q3","111.528","111.528","111.528","111.528","111.498","111.498","111.498","111.498","111.413","111.413","111.413","111.413","111.413","111.413","111.413","111.413","99.313","99.313","99.313","99.313","99.318","99.318","99.318","99.318"
"2008:Q4","111.837","111.837","111.837","111.837","111.765","111.765","111.765","111.765","111.875","111.875","111.875","111.875","111.875","111.875","111.875","111.875","99.455","99.455","99.455","99.455","99.451","99.451","99.451","99.451"
"2009:Q1","112.113","112.113","112.113","112.113","112.013","112.013","112.013","112.013","112.163","112.163","112.163","112.163","112.055","112.055","112.055","112.055","99.514","99.514","99.514","99.514","99.51","99.51","99.51","99.51"
"2009:Q2","112.313","112.341","112.341","112.341","112.379","112.379","112.379","112.379","112.447","112.447","112.447","112.447","112.193","112.193","112.193","112.193","99.708","99.708","99.708","99.708","99.708","99.708","99.708","99.708"
"2009:Q3","#N/A","112.754","112.705","112.705","112.85","112.85","112.85","112.85","112.969","112.969","112.969","112.969","112.724","112.724","112.724","112.724","100.044","100.044","100.044","100.044","100.047","100.047","100.047","100.047"
"2009:Q4","#N/A","#N/A","113.281","113.412","113.631","113.631","113.631","113.631","113.856","113.856","113.856","113.856","113.646","113.646","113.646","113.646","100.735","100.735","100.735","100.735","100.734","100.734","100.734","100.734"
"2010:Q1","#N/A","#N/A","#N/A","113.826","114.205","114.205","114.205","114.205","114.397","114.397","114.397","114.397","114.271","114.271","114.271","114.271","101.135","101.135","101.135","101.135","101.134","101.134","101.134","101.134"
"2010:Q2","#N/A","#N/A","#N/A","#N/A","114.756","114.703","114.703","114.703","115.078","115.078","115.078","115.078","114.961","114.961","114.961","114.961","101.654","101.654","101.654","101.654","101.651","101.651","101.651","101.651"
"2010:Q3","#N/A","#N/A","#N/A","#N/A","#N/A","114.978","114.873","114.873","115.364","115.364","115.364","115.364","115.366","115.366","115.366","115.366","102.014","102.014","102.014","102.014","102.011","102.011","102.011","102.011"
"2010:Q4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","115.107","115.074","115.665","115.665","115.665","115.665","115.714","115.714","115.714","115.714","102.32","102.32","102.32","102.32","102.317","102.317","102.317","102.317"
"2011:Q1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","115.544","116.203","116.203","116.203","116.203","116.18","116.18","116.18","116.18","102.727","102.727","102.727","102.727","102.731","102.731","102.731","102.731"
"2011:Q2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","116.825","116.892","116.892","116.892","116.876","116.876","116.876","116.876","103.348","103.348","103.348","103.348","103.424","103.424","103.424","103.424"
"2011:Q3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","117.48","117.503","117.503","117.533","117.533","117.533","117.533","103.958","103.958","103.958","103.958","104.022","104.022","104.022","104.022"
"2011:Q4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","117.962","118.045","118.065","118.065","118.065","118.065","104.478","104.478","104.478","104.478","104.537","104.537","104.537","104.537"
"2012:Q1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","118.687","118.81","118.81","118.81","118.81","105.124","105.124","105.124","105.124","105.154","105.154","105.154","105.154"
"2012:Q2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","119.456","119.427","119.427","119.427","105.727","105.727","105.727","105.727","105.771","105.771","105.771","105.771"
"2012:Q3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","119.975","119.901","119.901","106.259","106.259","106.259","106.259","106.275","106.275","106.275","106.275"
"2012:Q4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","120.391","120.444","106.809","106.809","106.809","106.809","106.815","106.815","106.815","106.815"
"2013:Q1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","121.025","107.422","107.422","107.422","107.422","107.434","107.434","107.434","107.434"
"2013:Q2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","107.814","107.747","107.747","107.747","107.88","107.88","107.88","107.88"
"2013:Q3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","108.218","108.215","108.215","108.418","108.418","108.418","108.418"
"2013:Q4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","108.743","108.798","109.053","109.053","109.053","109.053"
"2014:Q1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","109.396","109.648","109.648","109.648","109.648"
"2014:Q2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","110.331","110.362","110.362","110.362"
"2014:Q3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","110.829","110.849","110.849"
"2014:Q4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","111.288","111.296"
"2015:Q1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","111.647"
