"DATE","RIMP00M1","RIMP00M2","RIMP00M3","RIMP00M4","RIMP00M5","RIMP00M6","RIMP00M7","RIMP00M8","RIMP00M9","RIMP00M10","RIMP00M11","RIMP00M12","RIMP01M1","RIMP01M2","RIMP01M3","RIMP01M4","RIMP01M5","RIMP01M6","RIMP01M7","RIMP01M8","RIMP01M9","RIMP01M10","RIMP01M11","RIMP01M12","RIMP02M1","RIMP02M2","RIMP02M3","RIMP02M4","RIMP02M5","RIMP02M6","RIMP02M7","RIMP02M8","RIMP02M9","RIMP02M10","RIMP02M11","RIMP02M12","RIMP03M1","RIMP03M2","RIMP03M3","RIMP03M4","RIMP03M5","RIMP03M6","RIMP03M7","RIMP03M8","RIMP03M9","RIMP03M10","RIMP03M11","RIMP03M12","RIMP04M1","RIMP04M2","RIMP04M3","RIMP04M4","RIMP04M5","RIMP04M6","RIMP04M7","RIMP04M8","RIMP04M9","RIMP04M10","RIMP04M11","RIMP04M12","RIMP05M1","RIMP05M2","RIMP05M3","RIMP05M4","RIMP05M5","RIMP05M6","RIMP05M7","RIMP05M8","RIMP05M9","RIMP05M10","RIMP05M11","RIMP05M12","RIMP06M1","RIMP06M2","RIMP06M3","RIMP06M4","RIMP06M5","RIMP06M6","RIMP06M7","RIMP06M8","RIMP06M9","RIMP06M10","RIMP06M11","RIMP06M12","RIMP07M1","RIMP07M2","RIMP07M3","RIMP07M4","RIMP07M5","RIMP07M6","RIMP07M7","RIMP07M8","RIMP07M9","RIMP07M10","RIMP07M11","RIMP07M12","RIMP08M1","RIMP08M2","RIMP08M3","RIMP08M4","RIMP08M5","RIMP08M6","RIMP08M7","RIMP08M8","RIMP08M9","RIMP08M10","RIMP08M11","RIMP08M12","RIMP09M1","RIMP09M2","RIMP09M3","RIMP09M4","RIMP09M5","RIMP09M6","RIMP09M7","RIMP09M8","RIMP09M9","RIMP09M10","RIMP09M11","RIMP09M12"
"1947:Q1","#N/A","#N/A","#N/A","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","51.0","51.0","51.0","51.0","51.0"
"1947:Q2","#N/A","#N/A","#N/A","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","52.0","52.0","52.0","52.0","52.0"
"1947:Q3","#N/A","#N/A","#N/A","43.5","43.5","43.5","43.5","43.5","43.5","43.5","43.5","43.5","43.5","43.5","43.5","43.5","43.5","43.5","43.5","43.5","43.5","43.5","43.5","43.5","43.5","43.5","43.5","43.5","43.5","43.5","43.5","43.5","43.5","43.5","43.5","43.5","43.5","43.5","43.5","43.5","43.5","43.5","43.5","43.5","43.5","43.5","43.5","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","46.1","46.1","46.1","46.1","46.1"
"1947:Q4","#N/A","#N/A","#N/A","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","48.6","48.6","48.6","48.6","48.6"
"1948:Q1","#N/A","#N/A","#N/A","51.7","51.7","51.7","51.7","51.7","51.7","51.7","51.7","51.7","51.7","51.7","51.7","51.7","51.7","51.7","51.7","51.7","51.7","51.7","51.7","51.7","51.7","51.7","51.7","51.7","51.7","51.7","51.7","51.7","51.7","51.7","51.7","51.7","51.7","51.7","51.7","51.7","51.7","51.7","51.7","51.7","51.7","51.7","51.7","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","54.8","54.8","54.8","54.8","54.8"
"1948:Q2","#N/A","#N/A","#N/A","53.7","53.7","53.7","53.7","53.7","53.7","53.7","53.7","53.7","53.7","53.7","53.7","53.7","53.7","53.7","53.7","53.7","53.7","53.7","53.7","53.7","53.7","53.7","53.7","53.7","53.7","53.7","53.7","53.7","53.7","53.7","53.7","53.7","53.7","53.7","53.7","53.7","53.7","53.7","53.7","53.7","53.7","53.7","53.7","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","57.0","57.0","57.0","57.0","57.0"
"1948:Q3","#N/A","#N/A","#N/A","56.5","56.5","56.5","56.5","56.5","56.5","56.5","56.5","56.5","56.5","56.5","56.5","56.5","56.5","56.5","56.5","56.5","56.5","56.5","56.5","56.5","56.5","56.5","56.5","56.5","56.5","56.5","56.5","56.5","56.5","56.5","56.5","56.5","56.5","56.5","56.5","56.5","56.5","56.5","56.5","56.5","56.5","56.5","56.5","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","60.0","60.0","60.0","60.0","60.0"
"1948:Q4","#N/A","#N/A","#N/A","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","59.0","59.0","59.0","59.0","59.0"
"1949:Q1","#N/A","#N/A","#N/A","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","57.2","57.2","57.2","57.2","57.2"
"1949:Q2","#N/A","#N/A","#N/A","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","56.4","56.4","56.4","56.4","56.4"
