"DATE","RG65Q4","RG66Q1","RG66Q2","RG66Q3","RG66Q4","RG67Q1","RG67Q2","RG67Q3","RG67Q4","RG68Q1","RG68Q2","RG68Q3","RG68Q4","RG69Q1","RG69Q2","RG69Q3","RG69Q4","RG70Q1","RG70Q2","RG70Q3","RG70Q4","RG71Q1","RG71Q2","RG71Q3","RG71Q4","RG72Q1","RG72Q2","RG72Q3","RG72Q4","RG73Q1","RG73Q2","RG73Q3","RG73Q4","RG74Q1","RG74Q2","RG74Q3","RG74Q4","RG75Q1","RG75Q2","RG75Q3","RG75Q4","RG76Q1","RG76Q2","RG76Q3","RG76Q4","RG77Q1","RG77Q2","RG77Q3","RG77Q4","RG78Q1","RG78Q2","RG78Q3","RG78Q4","RG79Q1","RG79Q2","RG79Q3","RG79Q4","RG80Q1","RG80Q2","RG80Q3","RG80Q4","RG81Q1","RG81Q2","RG81Q3","RG81Q4","RG82Q1","RG82Q2","RG82Q3","RG82Q4","RG83Q1","RG83Q2","RG83Q3","RG83Q4","RG84Q1","RG84Q2","RG84Q3","RG84Q4","RG85Q1","RG85Q2","RG85Q3","RG85Q4","RG86Q1","RG86Q2","RG86Q3","RG86Q4","RG87Q1","RG87Q2","RG87Q3","RG87Q4","RG88Q1","RG88Q2","RG88Q3","RG88Q4","RG89Q1","RG89Q2","RG89Q3","RG89Q4","RG90Q1","RG90Q2","RG90Q3","RG90Q4","RG91Q1","RG91Q2","RG91Q3","RG91Q4","RG92Q1","RG92Q2","RG92Q3","RG92Q4","RG93Q1","RG93Q2","RG93Q3","RG93Q4","RG94Q1","RG94Q2","RG94Q3","RG94Q4","RG95Q1","RG95Q2","RG95Q3","RG95Q4","RG96Q1","RG96Q2","RG96Q3","RG96Q4","RG97Q1","RG97Q2","RG97Q3","RG97Q4","RG98Q1","RG98Q2","RG98Q3","RG98Q4","RG99Q1","RG99Q2","RG99Q3","RG99Q4","RG00Q1","RG00Q2","RG00Q3","RG00Q4","RG01Q1","RG01Q2","RG01Q3","RG01Q4","RG02Q1","RG02Q2","RG02Q3","RG02Q4","RG03Q1","RG03Q2","RG03Q3","RG03Q4","RG04Q1","RG04Q2","RG04Q3","RG04Q4","RG05Q1","RG05Q2","RG05Q3","RG05Q4","RG06Q1","RG06Q2","RG06Q3","RG06Q4","RG07Q1","RG07Q2","RG07Q3","RG07Q4","RG08Q1","RG08Q2","RG08Q3","RG08Q4","RG09Q1","RG09Q2","RG09Q3","RG09Q4","RG10Q1","RG10Q2","RG10Q3","RG10Q4","RG11Q1","RG11Q2","RG11Q3","RG11Q4","RG12Q1","RG12Q2","RG12Q3","RG12Q4","RG13Q1","RG13Q2","RG13Q3","RG13Q4","RG14Q1","RG14Q2","RG14Q3","RG14Q4","RG15Q1","RG15Q2","RG15Q3","RG15Q4"
"1959:Q1","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","171.8","171.8","171.8","171.8","171.8","171.8","171.8","171.8","171.8","171.8","171.8","171.8","171.8","171.8","171.8","171.8","171.8","171.8","171.8","171.8","171.6","171.6","171.6","171.6","171.6","171.6","171.6","171.6","171.6","171.6","171.6","171.6","171.6","171.6","171.6","171.6","171.6","171.6","171.6","171.6","399.3","399.3","399.3","399.3","399.3","399.3","399.3","399.3","399.3","399.3","399.3","399.3","399.3","399.3","399.3","399.3","399.3","399.3","399.3","399.3","399.3","399.3","399.3","399.3","480.9","476.1","476.1","476.1","476.1","476.1","476.1","476.1","476.1","476.1","476.1","476.1","476.1","476.1","476.1","476.1","#N/A","#N/A","#N/A","#N/A","#N/A","610.2","610.2","610.2","610.2","610.2","610.2","610.2","610.2","610.2","610.2","649.5","649.5","651.5","651.5","651.5","651.5","651.5","651.5","651.5","651.5","651.5","651.5","651.5","651.5","651.5","651.5","651.5","703.7","703.7","703.7","703.7","703.7","703.7","703.7","703.7","703.7","703.7","703.7","703.7","703.7","703.7","703.7","703.7","703.7","703.7","703.7","703.7","703.7","703.7","856.6","856.6","856.6","856.6","856.6","856.6","856.6","856.6","856.6","856.6","856.6","856.6","856.6","856.6","856.6","856.6","989.4","989.4","989.4","989.4","989.4","989.4","989.4","989.4","989.4","989.4"
"1959:Q2","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","398.8","398.8","398.8","398.8","398.8","398.8","398.8","398.8","398.8","398.8","398.8","398.8","398.8","398.8","398.8","398.8","398.8","398.8","398.8","398.8","398.8","398.8","398.8","398.8","481.9","478.2","478.2","478.2","478.2","478.2","478.2","478.2","478.2","478.2","478.2","478.2","478.2","478.2","478.2","478.2","#N/A","#N/A","#N/A","#N/A","#N/A","621.1","621.1","621.1","621.1","621.1","621.1","621.1","621.1","621.1","621.1","662.1","662.1","663.9","663.9","663.9","663.9","663.9","663.9","663.9","663.9","663.9","663.9","663.9","663.9","663.9","663.9","663.9","714.4","714.4","714.4","714.4","714.4","714.4","714.4","714.4","714.4","714.4","714.4","714.4","714.4","714.4","714.4","714.4","714.4","714.4","714.4","714.4","714.4","714.4","869.7","869.7","869.7","869.7","869.7","869.7","869.7","869.7","869.7","869.7","869.7","869.7","869.7","869.7","869.7","869.7","1001.7","1001.7","1001.7","1001.7","1001.7","1001.7","1001.7","1001.7","1001.7","1001.7"
"1959:Q3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","170.3","170.3","170.3","170.3","170.3","170.3","170.3","170.3","170.3","170.3","170.3","170.3","170.3","170.3","170.3","170.3","170.3","170.3","170.3","170.3","170.2","170.2","170.2","170.2","170.2","170.2","170.2","170.2","170.2","170.2","170.2","170.2","170.2","170.2","170.2","170.2","170.2","170.2","170.2","170.2","397.1","397.1","397.1","397.1","397.1","397.1","397.1","397.1","397.1","397.1","397.1","397.1","397.1","397.1","397.1","397.1","397.1","397.1","397.1","397.1","397.1","397.1","397.1","397.1","475.9","474.9","474.9","474.9","474.9","474.9","474.9","474.9","474.9","474.9","474.9","474.9","474.9","474.9","474.9","474.9","624.2","624.2","624.2","624.2","624.2","624.2","624.2","624.2","624.2","624.2","624.2","624.2","624.2","624.2","624.2","666.5","666.5","668.1","668.1","668.1","668.1","668.1","668.1","668.1","668.1","668.1","668.1","668.1","668.1","668.1","668.1","668.1","723.4","723.4","723.4","723.4","723.4","723.4","723.4","723.4","723.4","723.4","723.4","723.4","723.4","723.4","723.4","723.4","723.4","723.4","723.4","723.4","723.4","723.4","880.6","880.6","880.6","880.6","880.6","880.6","880.6","880.6","880.6","880.6","880.6","880.6","880.6","880.6","880.6","880.6","1010.3","1010.3","1010.3","1010.3","1010.3","1010.3","1010.3","1010.3","1010.3","1010.3"
"1959:Q4","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","169.3","169.3","169.3","169.3","169.3","169.3","169.3","169.3","169.3","169.3","169.3","169.3","169.3","169.3","169.3","169.3","169.3","169.3","169.3","169.3","169.3","169.3","169.3","169.3","169.3","169.3","169.3","169.3","169.3","169.3","169.3","169.3","169.3","169.3","169.3","169.3","169.3","169.3","169.3","169.3","395.3","395.3","395.3","395.3","395.3","395.3","395.3","395.3","395.3","395.3","395.3","395.3","395.3","395.3","395.3","395.3","395.3","395.3","395.3","395.3","395.3","395.3","395.3","395.3","472.7","471.9","471.9","471.9","471.9","471.9","471.9","471.9","471.9","471.9","471.9","471.9","471.9","471.9","471.9","471.9","618.5","618.5","618.5","618.5","618.5","618.5","618.5","618.5","618.5","618.5","618.5","618.5","618.5","618.5","618.5","660.6","660.6","662.2","662.2","662.2","662.2","662.2","662.2","662.2","662.2","662.2","662.2","662.2","662.2","662.2","662.2","662.2","715.6","715.6","715.6","715.6","715.6","715.6","715.6","715.6","715.6","715.6","715.6","715.6","715.6","715.6","715.6","715.6","715.6","715.6","715.6","715.6","715.6","715.6","871.0","871.0","871.0","871.0","871.0","871.0","871.0","871.0","871.0","871.0","871.0","871.0","871.0","871.0","871.0","871.0","1002.1","1002.1","1002.1","1002.1","1002.1","1002.1","1002.1","1002.1","1002.1","1002.1"
"1960:Q1","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","169.2","169.2","169.2","169.2","169.2","169.2","169.2","169.2","169.2","169.2","169.2","169.2","169.2","169.2","169.2","169.2","169.2","169.2","169.2","169.2","169.2","169.2","169.2","169.2","169.2","169.2","169.2","169.2","169.2","169.2","169.2","169.2","169.2","169.2","169.2","169.2","169.2","169.2","169.2","169.2","395.2","395.2","395.2","395.2","395.2","395.2","395.2","395.2","395.2","395.2","395.2","395.2","395.2","395.2","395.2","395.2","395.2","395.2","395.2","395.2","395.2","395.2","395.2","395.2","467.7","466.8","466.8","466.8","466.8","466.8","466.8","466.8","466.8","466.8","466.8","466.8","466.8","466.8","466.8","466.8","605.5","605.5","605.5","605.5","605.5","605.5","605.5","605.5","605.5","605.5","605.5","605.5","605.5","605.5","605.5","647.1","647.1","648.8","648.8","648.8","648.8","648.8","648.8","648.8","648.8","648.8","648.8","648.8","648.8","648.8","648.8","648.8","701.3","701.3","701.3","701.3","701.3","701.3","701.3","701.3","701.3","701.3","701.3","701.3","701.3","701.3","701.3","701.3","701.3","701.3","701.3","701.3","701.3","701.3","853.9","853.9","853.9","853.9","853.9","853.9","853.9","853.9","853.9","853.9","853.9","853.9","853.9","853.9","853.9","853.9","985.2","985.2","985.2","985.2","985.2","985.2","985.2","985.2","985.2","985.2"
"1960:Q2","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","402.6","402.6","402.6","402.6","402.6","402.6","402.6","402.6","402.6","402.6","402.6","402.6","402.6","402.6","402.6","402.6","402.6","402.6","402.6","402.6","402.6","402.6","402.6","402.6","475.6","473.7","473.7","473.7","473.7","473.7","473.7","473.7","473.7","473.7","473.7","473.7","473.7","473.7","473.7","473.7","613.6","613.6","613.6","613.6","613.6","613.6","613.6","613.6","613.6","613.6","613.6","613.6","613.6","613.6","613.6","655.6","655.6","657.4","657.4","657.4","657.4","657.4","657.4","657.4","657.4","657.4","657.4","657.4","657.4","657.4","657.4","657.4","707.0","707.0","707.0","707.0","707.0","707.0","707.0","707.0","707.0","707.0","707.0","707.0","707.0","707.0","707.0","707.0","707.0","707.0","707.0","707.0","707.0","707.0","860.8","860.8","860.8","860.8","860.8","860.8","860.8","860.8","860.8","860.8","860.8","860.8","860.8","860.8","860.8","860.8","995.8","995.8","995.8","995.8","995.8","995.8","995.8","995.8","995.8","995.8"
"1960:Q3","95.4","95.4","95.4","95.4","95.4","95.4","95.4","95.4","95.4","95.4","95.4","95.4","95.4","95.4","95.4","95.4","95.4","95.4","95.4","95.4","95.4","95.4","95.4","95.4","95.4","95.4","95.4","95.4","95.4","95.4","95.4","95.4","95.4","95.4","95.4","95.4","95.4","95.4","95.4","95.4","95.4","174.4","174.4","174.4","174.4","174.4","174.4","174.4","174.4","174.4","174.4","174.4","174.4","174.4","174.4","174.4","174.4","174.4","174.4","174.4","174.4","174.4","174.4","174.4","174.4","174.4","174.4","174.4","174.4","174.4","174.4","174.4","174.4","174.4","174.4","174.4","174.4","174.4","174.4","174.4","174.4","406.8","406.8","406.8","406.8","406.8","406.8","406.8","406.8","406.8","406.8","406.8","406.8","406.8","406.8","406.8","406.8","406.8","406.8","406.8","406.8","406.8","406.8","406.8","406.8","482.4","479.9","479.9","479.9","479.9","479.9","479.9","479.9","479.9","479.9","479.9","479.9","479.9","479.9","479.9","479.9","621.6","621.6","621.6","621.6","621.6","621.6","621.6","621.6","621.6","621.6","621.6","621.6","621.6","621.6","621.6","664.1","664.1","665.9","665.9","665.9","665.9","665.9","665.9","665.9","665.9","665.9","665.9","665.9","665.9","665.9","665.9","665.9","724.1","724.1","724.1","724.1","724.1","724.1","724.1","724.1","724.1","724.1","724.1","724.1","724.1","724.1","724.1","724.1","724.1","724.1","724.1","724.1","724.1","724.1","881.5","881.5","881.5","881.5","881.5","881.5","881.5","881.5","881.5","881.5","881.5","881.5","881.5","881.5","881.5","881.5","1020.0","1020.0","1020.0","1020.0","1020.0","1020.0","1020.0","1020.0","1020.0","1020.0"
"1960:Q4","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","175.4","175.4","175.4","175.4","175.4","175.4","175.4","175.4","175.4","175.4","175.4","175.4","175.4","175.4","175.4","175.4","175.4","175.4","175.4","175.4","175.4","175.4","175.4","175.4","175.4","175.4","175.4","175.4","175.4","175.4","175.4","175.4","175.4","175.4","175.4","175.4","175.4","175.4","175.4","175.4","410.1","410.1","410.1","410.1","410.1","410.1","410.1","410.1","410.1","410.1","410.1","410.1","410.1","410.1","410.1","410.1","410.1","410.1","410.1","410.1","410.1","410.1","410.1","410.1","491.2","487.2","487.2","487.2","487.2","487.2","487.2","487.2","487.2","487.2","487.2","487.2","487.2","487.2","487.2","487.2","627.9","627.9","627.9","627.9","627.9","627.9","627.9","627.9","627.9","627.9","627.9","627.9","627.9","627.9","627.9","671.2","671.2","673.1","673.1","673.1","673.1","673.1","673.1","673.1","673.1","673.1","673.1","673.1","673.1","673.1","673.1","673.1","729.1","729.1","729.1","729.1","729.1","729.1","729.1","729.1","729.1","729.1","729.1","729.1","729.1","729.1","729.1","729.1","729.1","729.1","729.1","729.1","729.1","729.1","887.7","887.7","887.7","887.7","887.7","887.7","887.7","887.7","887.7","887.7","887.7","887.7","887.7","887.7","887.7","887.7","1026.8","1026.8","1026.8","1026.8","1026.8","1026.8","1026.8","1026.8","1026.8","1026.8"
"1961:Q1","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","419.7","419.7","419.7","419.7","419.7","419.7","419.7","419.7","419.7","419.7","419.7","419.7","419.7","419.7","419.7","419.7","419.7","419.7","419.7","419.7","419.7","419.7","419.7","419.7","496.0","493.7","493.7","493.7","493.7","493.7","493.7","493.7","493.7","493.7","493.7","493.7","493.7","493.7","493.7","493.7","635.6","635.6","635.6","635.6","635.6","635.6","635.6","635.6","635.6","635.6","635.6","635.6","635.6","635.6","635.6","678.5","678.5","680.4","680.4","680.4","680.4","680.4","680.4","680.4","680.4","680.4","680.4","680.4","680.4","680.4","680.4","680.4","738.6","738.6","738.6","738.6","738.6","738.6","738.6","738.6","738.6","738.6","738.6","738.6","738.6","738.6","738.6","738.6","738.6","738.6","738.6","738.6","738.6","738.6","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","1042.0","1042.0","1042.0","1042.0","1042.0","1042.0","1042.0","1042.0","1042.0","1042.0"
"1961:Q2","99.5","99.5","99.5","99.5","99.5","99.5","99.5","99.5","99.5","99.5","99.5","99.5","99.5","99.5","99.5","99.5","99.5","99.5","99.5","99.5","99.5","99.5","99.5","99.5","99.5","99.5","99.5","99.5","99.5","99.5","99.5","99.5","99.5","99.5","99.5","99.5","99.5","99.5","99.5","99.5","99.5","180.9","180.9","180.9","180.9","180.9","180.9","180.9","180.9","180.9","180.9","180.9","180.9","180.9","180.9","180.9","180.9","180.9","180.9","180.9","180.9","181.0","181.0","181.0","181.0","181.0","181.0","181.0","181.0","181.0","181.0","181.0","181.0","181.0","181.0","181.0","181.0","181.0","181.0","181.0","181.0","422.4","422.4","422.4","422.4","422.4","422.4","422.4","422.4","422.4","422.4","422.4","422.4","422.4","422.4","422.4","422.4","422.4","422.4","422.4","422.4","422.4","422.4","422.4","422.4","499.4","496.6","496.6","496.6","496.6","496.6","496.6","496.6","496.6","496.6","496.6","496.6","496.6","496.6","496.6","496.6","641.2","641.2","641.2","641.2","641.2","641.2","641.2","641.2","641.2","641.2","641.2","641.2","641.2","641.2","641.2","685.3","685.3","687.2","687.2","687.2","687.2","687.2","687.2","687.2","687.2","687.2","687.2","687.2","687.2","687.2","687.2","687.2","740.3","740.3","740.3","740.3","740.3","740.3","740.3","740.3","740.3","740.3","740.3","740.3","740.3","740.3","740.3","740.3","740.3","740.3","740.3","740.3","740.3","740.3","901.4","901.4","901.4","901.4","901.4","901.4","901.4","901.4","901.4","901.4","901.4","901.4","901.4","901.4","901.4","901.4","1044.4","1044.4","1044.4","1044.4","1044.4","1044.4","1044.4","1044.4","1044.4","1044.4"
"1961:Q3","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","102.0","182.6","182.6","182.6","182.6","182.6","182.6","182.6","182.6","182.6","182.6","182.6","182.6","182.6","182.6","182.6","182.6","182.6","182.6","182.6","182.6","182.7","182.7","182.7","182.7","182.7","182.7","182.7","182.7","182.7","182.7","182.7","182.7","182.7","182.7","182.7","182.7","182.7","182.7","182.7","182.7","426.7","426.7","426.7","426.7","426.7","426.7","426.7","426.7","426.7","426.7","426.7","426.7","426.7","426.7","426.7","426.7","426.7","426.7","426.7","426.7","426.7","426.7","426.7","426.7","501.9","500.7","500.7","500.7","500.7","500.7","500.7","500.7","500.7","500.7","500.7","500.7","500.7","500.7","500.7","500.7","648.0","648.0","648.0","648.0","648.0","648.0","648.0","648.0","648.0","648.0","648.0","648.0","648.0","648.0","648.0","692.0","692.0","694.0","694.0","694.0","694.0","694.0","694.0","694.0","694.0","694.0","694.0","694.0","694.0","694.0","694.0","694.0","754.9","754.9","754.9","754.9","754.9","754.9","754.9","754.9","754.9","754.9","754.9","754.9","754.9","754.9","754.9","754.9","754.9","754.9","754.9","754.9","754.9","754.9","919.1","919.1","919.1","919.1","919.1","919.1","919.1","919.1","919.1","919.1","919.1","919.1","919.1","919.1","919.1","919.1","1066.4","1066.4","1066.4","1066.4","1066.4","1066.4","1066.4","1066.4","1066.4","1066.4"
"1961:Q4","102.9","102.9","102.9","102.9","102.9","102.9","102.9","102.9","102.9","102.9","102.9","102.9","102.9","102.9","102.9","102.9","102.9","102.9","102.9","102.9","102.9","102.9","102.9","102.9","102.9","102.9","102.9","102.9","102.9","102.9","102.9","102.9","102.9","102.9","102.9","102.9","102.9","102.9","102.9","102.9","102.9","188.3","188.3","188.3","188.3","188.3","188.3","188.3","188.3","188.3","188.3","188.3","188.3","188.3","188.3","188.3","188.3","188.3","188.3","188.3","188.3","188.4","188.4","188.4","188.4","188.4","188.4","188.4","188.4","188.4","188.4","188.4","188.4","188.4","188.4","188.4","188.4","188.4","188.4","188.4","188.4","439.6","439.6","439.6","439.6","439.6","439.6","439.6","439.6","439.6","439.6","439.6","439.6","439.6","439.6","439.6","439.6","439.6","439.6","439.6","439.6","439.6","439.6","439.6","439.6","516.0","515.1","515.1","515.1","515.1","515.1","515.1","515.1","515.1","515.1","515.1","515.1","515.1","515.1","515.1","515.1","663.9","663.9","663.9","663.9","663.9","663.9","663.9","663.9","663.9","663.9","663.9","663.9","663.9","663.9","663.9","709.1","709.1","711.1","711.1","711.1","711.1","711.1","711.1","711.1","711.1","711.1","711.1","711.1","711.1","711.1","711.1","711.1","771.4","771.4","771.4","771.4","771.4","771.4","771.4","771.4","771.4","771.4","771.4","771.4","771.4","771.4","771.4","771.4","771.4","771.4","771.4","771.4","771.4","771.4","939.3","939.3","939.3","939.3","939.3","939.3","939.3","939.3","939.3","939.3","939.3","939.3","939.3","939.3","939.3","939.3","1089.7","1089.7","1089.7","1089.7","1089.7","1089.7","1089.7","1089.7","1089.7","1089.7"
"1962:Q1","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.3","191.3","191.3","191.3","191.3","191.3","191.3","191.3","191.3","191.3","191.3","191.3","191.3","191.3","191.3","191.3","191.3","191.3","191.3","191.3","446.0","446.0","446.0","446.0","446.0","446.0","446.0","446.0","446.0","446.0","446.0","446.0","446.0","446.0","446.0","446.0","446.0","446.0","446.0","446.0","446.0","446.0","446.0","446.0","522.9","520.8","520.8","520.8","520.8","520.8","520.8","520.8","520.8","520.8","520.8","520.8","520.8","520.8","520.8","520.8","674.8","674.8","674.8","674.8","674.8","674.8","674.8","674.8","674.8","674.8","674.8","674.8","674.8","674.8","674.8","721.3","721.3","723.4","723.4","723.4","723.4","723.4","723.4","723.4","723.4","723.4","723.4","723.4","723.4","723.4","723.4","723.4","785.2","785.2","785.2","785.2","785.2","785.2","785.2","785.2","785.2","785.2","785.2","785.2","785.2","785.2","785.2","785.2","785.2","785.2","785.2","785.2","785.2","785.2","955.9","955.9","955.9","955.9","955.9","955.9","955.9","955.9","955.9","955.9","955.9","955.9","955.9","955.9","955.9","955.9","1110.7","1110.7","1110.7","1110.7","1110.7","1110.7","1110.7","1110.7","1110.7","1110.7"
"1962:Q2","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","191.8","191.8","191.8","191.8","191.8","191.8","191.8","191.8","191.8","191.8","191.8","191.8","191.8","191.8","191.8","191.8","191.8","191.8","191.8","191.8","191.8","191.8","191.8","191.8","191.8","191.8","191.8","191.8","191.8","191.8","191.8","191.8","191.8","191.8","191.8","191.8","191.8","191.8","191.8","191.8","446.9","446.9","446.9","446.9","446.9","446.9","446.9","446.9","446.9","446.9","446.9","446.9","446.9","446.9","446.9","446.9","446.9","446.9","446.9","446.9","446.9","446.9","446.9","446.9","526.2","524.4","524.4","524.4","524.4","524.4","524.4","524.4","524.4","524.4","524.4","524.4","524.4","524.4","524.4","524.4","682.4","682.4","682.4","682.4","682.4","682.4","682.4","682.4","682.4","682.4","682.4","682.4","682.4","682.4","682.4","729.6","729.6","731.7","731.7","731.7","731.7","731.7","731.7","731.7","731.7","731.7","731.7","731.7","731.7","731.7","731.7","731.7","789.4","789.4","789.4","789.4","789.4","789.4","789.4","789.4","789.4","789.4","789.4","789.4","789.4","789.4","789.4","789.4","789.4","789.4","789.4","789.4","789.4","789.4","961.1","961.1","961.1","961.1","961.1","961.1","961.1","961.1","961.1","961.1","961.1","961.1","961.1","961.1","961.1","961.1","1116.0","1116.0","1116.0","1116.0","1116.0","1116.0","1116.0","1116.0","1116.0","1116.0"
"1962:Q3","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.6","194.6","194.6","194.6","194.6","194.6","194.6","194.6","194.6","194.6","194.6","194.6","194.6","194.6","194.6","194.6","194.6","194.6","194.6","194.6","452.1","452.1","452.1","452.1","452.1","452.1","452.1","452.1","452.1","452.1","452.1","452.1","452.1","452.1","452.1","452.1","452.1","452.1","452.1","452.1","452.1","452.1","452.1","452.1","527.3","526.0","526.0","526.0","526.0","526.0","526.0","526.0","526.0","526.0","526.0","526.0","526.0","526.0","526.0","526.0","691.4","691.4","691.4","691.4","691.4","691.4","691.4","691.4","691.4","691.4","691.4","691.4","691.4","691.4","691.4","738.6","738.6","740.8","740.8","740.8","740.8","740.8","740.8","740.8","740.8","740.8","740.8","740.8","740.8","740.8","740.8","740.8","807.3","807.3","807.3","807.3","807.3","807.3","807.3","807.3","807.3","807.3","807.3","807.3","807.3","807.3","807.3","807.3","807.3","807.3","807.3","807.3","807.3","807.3","983.0","983.0","983.0","983.0","983.0","983.0","983.0","983.0","983.0","983.0","983.0","983.0","983.0","983.0","983.0","983.0","1141.7","1141.7","1141.7","1141.7","1141.7","1141.7","1141.7","1141.7","1141.7","1141.7"
