"DATE","REX65Q4","REX66Q1","REX66Q2","REX66Q3","REX66Q4","REX67Q1","REX67Q2","REX67Q3","REX67Q4","REX68Q1","REX68Q2","REX68Q3","REX68Q4","REX69Q1","REX69Q2","REX69Q3","REX69Q4","REX70Q1","REX70Q2","REX70Q3","REX70Q4","REX71Q1","REX71Q2","REX71Q3","REX71Q4","REX72Q1","REX72Q2","REX72Q3","REX72Q4","REX73Q1","REX73Q2","REX73Q3","REX73Q4","REX74Q1","REX74Q2","REX74Q3","REX74Q4","REX75Q1","REX75Q2","REX75Q3","REX75Q4","REX76Q1","REX76Q2","REX76Q3","REX76Q4","REX77Q1","REX77Q2","REX77Q3","REX77Q4","REX78Q1","REX78Q2","REX78Q3","REX78Q4","REX79Q1","REX79Q2","REX79Q3","REX79Q4","REX80Q1","REX80Q2","REX80Q3","REX80Q4","REX81Q1","REX81Q2","REX81Q3","REX81Q4","REX82Q1","REX82Q2","REX82Q3","REX82Q4","REX83Q1","REX83Q2","REX83Q3","REX83Q4","REX84Q1","REX84Q2","REX84Q3","REX84Q4","REX85Q1","REX85Q2","REX85Q3","REX85Q4","REX86Q1","REX86Q2","REX86Q3","REX86Q4","REX87Q1","REX87Q2","REX87Q3","REX87Q4","REX88Q1","REX88Q2","REX88Q3","REX88Q4","REX89Q1","REX89Q2","REX89Q3","REX89Q4","REX90Q1","REX90Q2","REX90Q3","REX90Q4","REX91Q1","REX91Q2","REX91Q3","REX91Q4","REX92Q1","REX92Q2","REX92Q3","REX92Q4","REX93Q1","REX93Q2","REX93Q3","REX93Q4","REX94Q1","REX94Q2","REX94Q3","REX94Q4","REX95Q1","REX95Q2","REX95Q3","REX95Q4","REX96Q1","REX96Q2","REX96Q3","REX96Q4","REX97Q1","REX97Q2","REX97Q3","REX97Q4","REX98Q1","REX98Q2","REX98Q3","REX98Q4","REX99Q1","REX99Q2","REX99Q3","REX99Q4","REX00Q1","REX00Q2","REX00Q3","REX00Q4","REX01Q1","REX01Q2","REX01Q3","REX01Q4","REX02Q1","REX02Q2","REX02Q3","REX02Q4","REX03Q1","REX03Q2","REX03Q3","REX03Q4","REX04Q1","REX04Q2","REX04Q3","REX04Q4","REX05Q1","REX05Q2","REX05Q3","REX05Q4","REX06Q1","REX06Q2","REX06Q3","REX06Q4","REX07Q1","REX07Q2","REX07Q3","REX07Q4","REX08Q1","REX08Q2","REX08Q3","REX08Q4","REX09Q1","REX09Q2","REX09Q3","REX09Q4","REX10Q1","REX10Q2","REX10Q3","REX10Q4","REX11Q1","REX11Q2","REX11Q3","REX11Q4","REX12Q1","REX12Q2","REX12Q3","REX12Q4","REX13Q1","REX13Q2","REX13Q3","REX13Q4","REX14Q1","REX14Q2","REX14Q3","REX14Q4","REX15Q1","REX15Q2"
"1963:Q4","34.3","34.3","34.3","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","44.6","44.6","44.6","44.6","44.6","44.6","44.6","44.6","44.6","44.6","44.6","44.6","44.6","44.6","44.6","44.6","44.6","44.6","44.6","44.6","47.3","47.3","47.3","47.3","47.3","47.3","47.3","47.3","47.3","47.3","47.3","47.3","47.3","47.3","47.3","47.3","47.3","47.3","47.3","47.3","120.9","120.9","120.9","120.9","120.9","120.9","120.9","120.9","120.9","120.9","120.9","120.9","120.9","120.9","120.9","120.9","120.9","120.9","120.9","120.9","120.9","120.9","120.9","120.9","107.3","107.3","107.3","107.3","107.3","107.3","107.3","107.3","107.3","107.3","107.3","107.3","107.3","107.3","107.3","107.3","106.0","106.0","106.0","106.0","106.0","106.0","106.0","106.0","106.0","106.0","106.0","105.958","105.958","105.958","105.958","105.9","105.9","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","115.6","115.6","115.6","115.6","115.6","115.6","115.6","115.6","115.5","115.5","115.5","115.5","115.5","115.5","115.5","115.5","122.8","122.8","122.8","122.8","123.2","123.2","123.2","123.2"
"1964:Q1","36.0","36.0","36.0","36.1","36.1","36.1","36.1","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","47.4","47.4","47.4","47.4","47.4","47.4","47.4","47.4","47.4","47.4","47.4","47.4","47.4","47.4","47.4","47.4","47.4","47.4","47.4","47.4","50.0","50.0","50.0","50.0","50.0","50.0","50.0","50.0","50.0","50.0","50.0","50.0","50.0","50.0","50.0","50.0","50.0","50.0","50.0","50.0","128.0","128.0","128.0","128.0","128.0","128.0","128.0","128.0","128.0","128.0","128.0","128.0","128.0","128.0","128.0","128.0","128.0","128.0","128.0","128.0","128.0","128.0","128.0","128.0","113.6","113.6","113.6","113.6","113.6","113.6","113.6","113.6","113.6","113.6","113.6","113.6","113.6","113.6","113.6","113.6","111.7","111.7","111.7","111.7","111.7","111.7","111.7","111.7","111.7","111.7","111.7","111.738","111.738","111.738","111.738","111.7","111.7","112.6","112.6","112.6","112.6","112.6","112.6","112.6","112.6","112.6","112.6","112.6","112.6","112.6","112.6","112.6","112.8","112.8","112.8","112.8","112.8","112.8","112.8","112.8","112.8","112.8","112.8","112.8","112.8","112.8","112.8","112.8","112.8","112.8","112.8","112.8","112.8","112.8","122.6","122.6","122.6","122.6","122.6","122.6","122.6","122.6","122.5","122.5","122.5","122.5","122.5","122.5","122.5","122.5","130.3","130.3","130.3","130.3","130.8","130.8","130.8","130.8"
"1964:Q2","35.7","35.7","35.7","35.7","35.7","35.7","35.7","35.8","35.8","35.8","35.8","35.8","35.8","35.8","35.8","35.8","35.8","35.8","35.8","35.8","35.8","35.8","35.8","35.8","35.8","35.8","35.8","35.8","35.8","35.8","35.8","35.8","35.8","35.8","35.8","35.8","35.8","35.8","35.8","35.8","35.8","46.6","46.6","46.6","46.6","46.6","46.6","46.6","46.6","46.6","46.6","46.6","46.6","46.6","46.6","46.6","46.6","46.6","46.6","46.6","46.6","49.2","49.2","49.2","49.2","49.2","49.2","49.2","49.2","49.2","49.2","49.2","49.2","49.2","49.2","49.2","49.2","49.2","49.2","49.2","49.2","126.0","126.0","126.0","126.0","126.0","126.0","126.0","126.0","126.0","126.0","126.0","126.0","126.0","126.0","126.0","126.0","126.0","126.0","126.0","126.0","126.0","126.0","126.0","126.0","112.6","112.6","112.6","112.6","112.6","112.6","112.6","112.6","112.6","112.6","112.6","112.6","112.6","112.6","112.6","112.6","110.8","110.8","110.8","110.8","110.8","110.8","110.8","110.8","110.8","110.8","110.8","110.836","110.836","110.836","110.836","110.8","110.8","111.7","111.7","111.7","111.7","111.7","111.7","111.7","111.7","111.7","111.7","111.7","111.7","111.7","111.7","111.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","124.7","124.7","124.7","124.7","124.7","124.7","124.7","124.7","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","132.5","132.5","132.5","132.5","133.0","133.0","133.0","133.0"
"1964:Q3","36.8","36.8","36.8","36.7","36.7","36.7","36.7","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","129.6","129.6","129.6","129.6","129.6","129.6","129.6","129.6","129.6","129.6","129.6","129.6","129.6","129.6","129.6","129.6","129.6","129.6","129.6","129.6","129.6","129.6","129.6","129.6","116.8","116.8","116.8","116.8","116.8","116.8","116.8","116.8","116.8","116.8","116.8","116.8","116.8","116.8","116.8","116.8","114.2","114.2","114.2","114.2","114.2","114.2","114.2","114.2","114.2","114.2","114.2","114.181","114.181","114.181","114.181","114.1","114.1","115.0","115.0","115.0","115.0","115.0","115.0","115.0","115.0","115.0","115.0","115.0","115.0","115.0","115.0","115.0","113.8","113.8","113.8","113.8","113.8","113.8","113.8","113.8","113.8","113.8","113.8","113.8","113.8","113.8","113.8","113.8","113.8","113.8","113.8","113.8","113.8","113.8","123.7","123.7","123.7","123.7","123.7","123.7","123.7","123.7","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","131.5","131.5","131.5","131.5","131.9","131.9","131.9","131.9"
"1964:Q4","37.3","37.3","37.3","37.1","37.1","37.1","37.1","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","131.5","131.5","131.5","131.5","131.5","131.5","131.5","131.5","131.5","131.5","131.5","131.5","131.5","131.5","131.5","131.5","131.5","131.5","131.5","131.5","131.5","131.5","131.5","131.5","118.7","118.7","118.7","118.7","118.7","118.7","118.7","118.7","118.7","118.7","118.7","118.7","118.7","118.7","118.7","118.7","116.6","116.6","116.6","116.6","116.6","116.6","116.6","116.6","116.6","116.6","116.6","116.585","116.585","116.585","116.585","116.5","116.5","117.4","117.4","117.4","117.4","117.4","117.4","117.4","117.4","117.4","117.4","117.4","117.4","117.4","117.4","117.4","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","127.4","127.4","127.4","127.4","127.4","127.4","127.4","127.4","127.3","127.3","127.3","127.3","127.3","127.3","127.3","127.3","135.4","135.4","135.4","135.4","135.9","135.9","135.9","135.9"
"1965:Q1","33.8","32.9","32.9","33.4","33.4","33.4","33.4","33.5","33.5","33.5","33.5","33.7","33.7","33.7","33.7","33.7","33.7","33.7","33.7","33.7","33.7","33.7","33.7","33.7","33.7","33.7","33.7","33.7","33.7","33.7","33.7","33.7","33.7","33.7","33.7","33.7","33.7","33.7","33.7","33.7","33.7","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","46.7","46.7","46.7","46.7","46.7","46.7","46.7","46.7","46.7","46.7","46.7","46.7","46.7","46.7","46.7","46.7","46.7","46.7","46.7","46.7","120.1","120.1","120.1","120.1","120.1","120.1","120.1","120.1","120.1","120.1","120.1","120.1","120.1","120.1","120.1","120.1","120.1","120.1","120.1","120.1","120.1","120.1","120.1","120.1","105.2","105.2","105.2","105.2","105.2","105.2","105.2","105.2","105.2","105.2","105.2","105.2","105.2","105.2","105.2","105.2","102.5","102.5","102.5","102.5","102.5","102.5","102.5","102.5","102.5","102.5","102.5","102.53","102.53","102.53","102.53","102.5","102.5","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","104.5","113.6","113.6","113.6","113.6","113.6","113.6","113.6","113.6","113.6","113.6","113.6","113.6","113.6","113.6","113.6","113.6","120.8","120.8","120.8","120.8","121.2","121.2","121.2","121.2"
"1965:Q2","38.7","38.5","38.5","38.7","38.7","38.7","38.7","38.9","38.9","38.9","38.9","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","53.6","53.6","53.6","53.6","53.6","53.6","53.6","53.6","53.6","53.6","53.6","53.6","53.6","53.6","53.6","53.6","53.6","53.6","53.6","53.6","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","121.0","121.0","121.0","121.0","121.0","121.0","121.0","121.0","121.0","121.0","121.0","121.0","121.0","121.0","121.0","121.0","118.7","118.7","118.7","118.7","118.7","118.7","118.7","118.7","118.7","118.7","118.7","118.74","118.74","118.74","118.74","118.7","118.7","119.6","119.6","119.6","119.6","119.6","119.6","119.6","119.6","119.6","119.6","119.6","119.6","119.6","119.6","119.6","124.2","124.2","124.2","124.2","124.2","124.2","124.2","124.2","124.2","124.2","124.2","124.2","124.2","124.2","124.2","124.2","124.2","124.2","124.2","124.2","124.2","124.2","135.0","135.0","135.0","135.0","135.0","135.0","135.0","135.0","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","143.4","143.4","143.4","143.4","144.0","144.0","144.0","144.0"
"1965:Q3","#N/A","38.3","38.3","38.4","38.4","38.4","38.4","38.5","38.5","38.5","38.5","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","50.5","50.5","50.5","50.5","50.5","50.5","50.5","50.5","50.5","50.5","50.5","50.5","50.5","50.5","50.5","50.5","50.5","50.5","50.5","50.5","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","132.7","132.7","132.7","132.7","132.7","132.7","132.7","132.7","132.7","132.7","132.7","132.7","132.7","132.7","132.7","132.7","132.7","132.7","132.7","132.7","132.7","132.7","132.7","132.7","119.0","119.0","119.0","119.0","119.0","119.0","119.0","119.0","119.0","119.0","119.0","119.0","119.0","119.0","119.0","119.0","116.6","116.6","116.6","116.6","116.6","116.6","116.6","116.6","116.6","116.6","116.6","116.566","116.566","116.566","116.566","116.6","116.6","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.1","117.1","117.1","117.1","117.1","117.1","117.1","117.1","117.1","117.1","117.1","117.1","117.1","117.1","117.1","117.1","117.1","117.1","117.1","117.1","117.1","117.1","127.2","127.2","127.2","127.2","127.2","127.2","127.2","127.2","127.2","127.2","127.2","127.2","127.2","127.2","127.2","127.2","135.2","135.2","135.2","135.2","135.7","135.7","135.7","135.7"
"1965:Q4","#N/A","39.5","39.1","38.7","38.7","38.7","38.7","38.9","38.9","38.9","38.9","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","50.8","50.8","50.8","50.8","50.8","50.8","50.8","50.8","50.8","50.8","50.8","50.8","50.8","50.8","50.8","50.8","50.8","50.8","50.8","50.8","53.6","53.6","53.6","53.6","53.6","53.6","53.6","53.6","53.6","53.6","53.6","53.6","53.6","53.6","53.6","53.6","53.6","53.6","53.6","53.6","139.3","139.3","139.3","139.3","139.3","139.3","139.3","139.3","139.3","139.3","139.3","139.3","139.3","139.3","139.3","139.3","139.3","139.3","139.3","139.3","139.3","139.3","139.3","139.3","127.1","127.1","127.1","127.1","127.1","127.1","127.1","127.1","127.1","127.1","127.1","127.1","127.1","127.1","127.1","127.1","124.7","124.7","124.7","124.7","124.7","124.7","124.7","124.7","124.7","124.7","124.7","124.705","124.705","124.705","124.705","124.7","124.7","125.6","125.6","125.6","125.6","125.6","125.6","125.6","125.6","125.6","125.6","125.6","125.6","125.6","125.6","125.6","125.5","125.5","125.5","125.5","125.5","125.5","125.5","125.5","125.5","125.5","125.5","125.5","125.5","125.5","125.5","125.5","125.5","125.5","125.5","125.5","125.5","125.5","136.5","136.5","136.5","136.5","136.5","136.5","136.5","136.5","136.4","136.4","136.4","136.4","136.4","136.4","136.4","136.4","145.0","145.0","145.0","145.0","145.5","145.5","145.5","145.5"
"1966:Q1","#N/A","#N/A","#N/A","40.1","40.1","40.1","40.1","40.3","40.3","40.3","40.3","39.9","39.9","39.9","39.9","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","138.4","138.4","138.4","138.4","138.4","138.4","138.4","138.4","138.4","138.4","138.4","138.4","138.4","138.4","138.4","138.4","138.4","138.4","138.4","138.4","138.4","138.4","138.4","138.4","125.2","125.2","125.2","125.2","125.2","125.2","125.2","125.2","125.2","125.2","125.2","125.2","125.2","125.2","125.2","125.2","123.1","123.1","123.1","123.1","123.1","123.1","123.1","123.1","123.1","123.1","123.1","123.075","123.075","123.075","123.075","123.0","123.0","124.0","124.0","124.0","124.0","124.0","124.0","124.0","124.0","124.0","124.0","124.0","124.0","124.0","124.0","124.0","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","134.1","134.1","134.1","134.1","134.1","134.1","134.1","134.1","134.0","134.0","134.0","134.0","134.0","134.0","134.0","134.0","142.5","142.5","142.5","142.5","143.0","143.0","143.0","143.0"
"1966:Q2","#N/A","#N/A","#N/A","#N/A","40.3","40.3","40.3","40.4","40.4","40.4","40.4","39.7","39.7","39.7","39.7","39.9","39.9","39.9","39.9","39.9","39.9","39.9","39.9","39.9","39.9","39.9","39.9","39.9","39.9","39.9","39.9","39.9","39.9","39.9","39.9","39.9","39.9","39.9","39.9","39.9","39.9","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","124.3","124.3","124.3","124.3","124.3","124.3","124.3","124.3","124.3","124.3","124.3","124.3","124.3","124.3","124.3","124.3","122.2","122.2","122.2","122.2","122.2","122.2","122.2","122.2","122.2","122.2","122.2","122.244","122.244","122.244","122.244","122.2","122.2","123.1","123.1","123.1","123.1","123.1","123.1","123.1","123.1","123.1","123.1","123.1","123.1","123.1","123.1","123.1","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","139.9","139.9","139.9","139.9","139.9","139.9","139.9","139.9","139.8","139.8","139.8","139.8","139.8","139.8","139.8","139.8","148.7","148.7","148.7","148.7","149.2","149.2","149.2","149.2"
"1966:Q3","#N/A","#N/A","#N/A","#N/A","#N/A","41.8","41.8","41.4","41.4","41.4","41.4","40.4","40.4","40.4","40.4","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","54.6","54.6","54.6","54.6","54.6","54.6","54.6","54.6","54.6","54.6","54.6","54.6","54.6","54.6","54.6","54.6","54.6","54.6","54.6","54.6","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","125.5","125.5","125.5","125.5","125.5","125.5","125.5","125.5","125.5","125.5","125.5","125.5","125.5","125.5","125.5","125.5","123.0","123.0","123.0","123.0","123.0","123.0","123.0","123.0","123.0","123.0","123.0","123.036","123.036","123.036","123.036","123.0","123.0","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","134.7","134.7","134.7","134.7","134.7","134.7","134.7","134.7","134.6","134.6","134.6","134.6","134.6","134.6","134.6","134.6","143.1","143.1","143.1","143.1","143.6","143.6","143.6","143.6"
"1966:Q4","#N/A","#N/A","#N/A","#N/A","#N/A","42.9","42.0","41.2","41.2","41.2","41.2","40.4","40.4","40.4","40.4","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","52.4","52.4","52.4","52.4","52.4","52.4","52.4","52.4","52.4","52.4","52.4","52.4","52.4","52.4","52.4","52.4","52.4","52.4","52.4","52.4","55.1","55.1","55.1","55.1","55.1","55.1","55.1","55.1","55.1","55.1","55.1","55.1","55.1","55.1","55.1","55.1","55.1","55.1","55.1","55.1","140.5","140.5","140.5","140.5","140.5","140.5","140.5","140.5","140.5","140.5","140.5","140.5","140.5","140.5","140.5","140.5","140.5","140.5","140.5","140.5","140.5","140.5","140.5","140.5","127.9","127.9","127.9","127.9","127.9","127.9","127.9","127.9","127.9","127.9","127.9","127.9","127.9","127.9","127.9","127.9","125.1","125.1","125.1","125.1","125.1","125.1","125.1","125.1","125.1","125.1","125.1","125.146","125.146","125.146","125.146","125.1","125.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","128.0","128.0","128.0","128.0","128.0","128.0","128.0","128.0","128.0","128.0","128.0","128.0","128.0","128.0","128.0","128.0","128.0","128.0","128.0","128.0","128.0","128.0","139.1","139.1","139.1","139.1","139.1","139.1","139.1","139.1","139.0","139.0","139.0","139.0","139.0","139.0","139.0","139.0","147.9","147.9","147.9","147.9","148.3","148.3","148.3","148.3"
"1967:Q1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","42.4","42.4","42.4","42.4","41.4","41.4","41.4","41.4","41.8","41.8","41.8","41.8","41.7","41.7","41.7","41.7","41.7","41.7","41.7","41.7","41.7","41.7","41.7","41.7","41.7","41.7","41.7","41.7","41.7","41.7","41.7","41.7","41.7","41.7","53.9","53.9","53.9","53.9","53.9","53.9","53.9","53.9","53.9","53.9","53.9","53.9","53.9","53.9","53.9","53.9","53.9","53.9","53.9","53.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","144.0","144.0","144.0","144.0","144.0","144.0","144.0","144.0","144.0","144.0","144.0","144.0","144.0","144.0","144.0","144.0","144.0","144.0","144.0","144.0","144.0","144.0","144.0","144.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","127.0","127.0","127.0","127.0","127.0","127.0","127.0","127.0","127.0","127.0","127.0","126.982","126.982","126.982","126.982","126.9","126.9","127.9","127.9","127.9","127.9","127.9","127.9","127.9","127.9","127.9","127.9","127.9","127.9","127.9","127.9","127.9","130.4","130.4","130.4","130.4","130.4","130.4","130.4","130.4","130.4","130.4","130.4","130.4","130.4","130.4","130.4","130.4","130.4","130.4","130.4","130.4","130.4","130.4","141.8","141.8","141.8","141.8","141.8","141.8","141.8","141.8","141.7","141.7","141.7","141.7","141.7","141.7","141.7","141.7","150.7","150.7","150.7","150.7","151.2","151.2","151.2","151.2"
"1967:Q2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","42.3","42.3","42.3","41.7","41.7","41.7","41.7","41.9","41.9","41.9","41.9","42.0","42.0","42.0","42.0","42.0","42.0","42.0","42.0","42.0","42.0","42.0","42.0","42.0","42.0","42.0","42.0","42.0","42.0","42.0","42.0","42.0","42.0","53.6","53.6","53.6","53.6","53.6","53.6","53.6","53.6","53.6","53.6","53.6","53.6","53.6","53.6","53.6","53.6","53.6","53.6","53.6","53.6","56.1","56.1","56.1","56.1","56.1","56.1","56.1","56.1","56.1","56.1","56.1","56.1","56.1","56.1","56.1","56.1","56.1","56.1","56.1","56.1","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","129.5","129.5","129.5","129.5","129.5","129.5","129.5","129.5","129.5","129.5","129.5","129.5","129.5","129.5","129.5","129.5","125.6","125.6","125.6","125.6","125.6","125.6","125.6","125.6","125.6","125.6","125.6","125.62","125.62","125.62","125.62","125.6","125.6","126.6","126.6","126.6","126.6","126.6","126.6","126.6","126.6","126.6","126.6","126.6","126.6","126.6","126.6","126.6","129.3","129.3","129.3","129.3","129.3","129.3","129.3","129.3","129.3","129.3","129.3","129.3","129.3","129.3","129.3","129.3","129.3","129.3","129.3","129.3","129.3","129.3","140.5","140.5","140.5","140.5","140.5","140.5","140.5","140.5","140.4","140.4","140.4","140.4","140.4","140.4","140.4","140.4","149.3","149.3","149.3","149.3","149.8","149.8","149.8","149.8"
