"DATE","NOUTPUT90M1","NOUTPUT90M2","NOUTPUT90M3","NOUTPUT90M4","NOUTPUT90M5","NOUTPUT90M6","NOUTPUT90M7","NOUTPUT90M8","NOUTPUT90M9","NOUTPUT90M10","NOUTPUT90M11","NOUTPUT90M12","NOUTPUT91M1","NOUTPUT91M2","NOUTPUT91M3","NOUTPUT91M4","NOUTPUT91M5","NOUTPUT91M6","NOUTPUT91M7","NOUTPUT91M8","NOUTPUT91M9","NOUTPUT91M10","NOUTPUT91M11","NOUTPUT91M12","NOUTPUT92M1","NOUTPUT92M2","NOUTPUT92M3","NOUTPUT92M4","NOUTPUT92M5","NOUTPUT92M6","NOUTPUT92M7","NOUTPUT92M8","NOUTPUT92M9","NOUTPUT92M10","NOUTPUT92M11","NOUTPUT92M12","NOUTPUT93M1","NOUTPUT93M2","NOUTPUT93M3","NOUTPUT93M4","NOUTPUT93M5","NOUTPUT93M6","NOUTPUT93M7","NOUTPUT93M8","NOUTPUT93M9","NOUTPUT93M10","NOUTPUT93M11","NOUTPUT93M12","NOUTPUT94M1","NOUTPUT94M2","NOUTPUT94M3","NOUTPUT94M4","NOUTPUT94M5","NOUTPUT94M6","NOUTPUT94M7","NOUTPUT94M8","NOUTPUT94M9","NOUTPUT94M10","NOUTPUT94M11","NOUTPUT94M12","NOUTPUT95M1","NOUTPUT95M2","NOUTPUT95M3","NOUTPUT95M4","NOUTPUT95M5","NOUTPUT95M6","NOUTPUT95M7","NOUTPUT95M8","NOUTPUT95M9","NOUTPUT95M10","NOUTPUT95M11","NOUTPUT95M12","NOUTPUT96M1","NOUTPUT96M2","NOUTPUT96M3","NOUTPUT96M4","NOUTPUT96M5","NOUTPUT96M6","NOUTPUT96M7","NOUTPUT96M8","NOUTPUT96M9","NOUTPUT96M10","NOUTPUT96M11","NOUTPUT96M12","NOUTPUT97M1","NOUTPUT97M2","NOUTPUT97M3","NOUTPUT97M4","NOUTPUT97M5","NOUTPUT97M6","NOUTPUT97M7","NOUTPUT97M8","NOUTPUT97M9","NOUTPUT97M10","NOUTPUT97M11","NOUTPUT97M12","NOUTPUT98M1","NOUTPUT98M2","NOUTPUT98M3","NOUTPUT98M4","NOUTPUT98M5","NOUTPUT98M6","NOUTPUT98M7","NOUTPUT98M8","NOUTPUT98M9","NOUTPUT98M10","NOUTPUT98M11","NOUTPUT98M12","NOUTPUT99M1","NOUTPUT99M2","NOUTPUT99M3","NOUTPUT99M4","NOUTPUT99M5","NOUTPUT99M6","NOUTPUT99M7","NOUTPUT99M8","NOUTPUT99M9","NOUTPUT99M10","NOUTPUT99M11","NOUTPUT99M12"
"1947:Q1","227.5","227.5","227.5","227.5","227.5","227.5","227.5","227.5","227.5","227.5","227.5","227.5","227.5","227.5","227.5","227.5","227.5","227.5","227.5","227.5","227.5","227.5","227.5","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","226.7","226.7","226.7","226.7","226.7","226.7","226.7","226.7","226.7","226.7","226.7","226.7","226.7","226.7","226.7","226.7","226.7","226.7","226.7","226.7","226.7","226.7","226.7","226.7","226.7","226.7","226.7","226.7","226.7","226.7","226.7","226.7","226.7","226.7","226.7","226.7","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","237.4","237.4","237.4","237.4","237.4","237.4","237.4","237.4","237.4","237.4","237.4","237.4","237.4","237.4","237.4","237.4","237.4","237.4","237.4","237.4","237.4","237.4","237.4","237.4","237.4","237.4","237.4","237.4","237.4","237.4","#N/A","#N/A"
"1947:Q2","231.5","231.5","231.5","231.5","231.5","231.5","231.5","231.5","231.5","231.5","231.5","231.5","231.5","231.5","231.5","231.5","231.5","231.5","231.5","231.5","231.5","231.5","231.5","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","230.6","230.6","230.6","230.6","230.6","230.6","230.6","230.6","230.6","230.6","230.6","230.6","230.6","230.6","230.6","230.6","230.6","230.6","230.6","230.6","230.6","230.6","230.6","230.6","230.6","230.6","230.6","230.6","230.6","230.6","230.6","230.6","230.6","230.6","230.6","230.6","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","240.9","240.9","240.9","240.9","240.9","240.9","240.9","240.9","240.9","240.9","240.9","240.9","240.9","240.9","240.9","240.9","240.9","240.9","240.9","240.9","240.9","240.9","240.9","240.9","240.9","240.9","240.9","240.9","240.9","240.9","#N/A","#N/A"
"1947:Q3","235.9","235.9","235.9","235.9","235.9","235.9","235.9","235.9","235.9","235.9","235.9","235.9","235.9","235.9","235.9","235.9","235.9","235.9","235.9","235.9","235.9","235.9","235.9","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","234.9","234.9","234.9","234.9","234.9","234.9","234.9","234.9","234.9","234.9","234.9","234.9","234.9","234.9","234.9","234.9","234.9","234.9","234.9","234.9","234.9","234.9","234.9","234.9","234.9","234.9","234.9","234.9","234.9","234.9","234.9","234.9","234.9","234.9","234.9","234.9","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","245.1","245.1","245.1","245.1","245.1","245.1","245.1","245.1","245.1","245.1","245.1","245.1","245.1","245.1","245.1","245.1","245.1","245.1","245.1","245.1","245.1","245.1","245.1","245.1","245.1","245.1","245.1","245.1","245.1","245.1","#N/A","#N/A"
"1947:Q4","246.1","246.1","246.1","246.1","246.1","246.1","246.1","246.1","246.1","246.1","246.1","246.1","246.1","246.1","246.1","246.1","246.1","246.1","246.1","246.1","246.1","246.1","246.1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","245.0","245.0","245.0","245.0","245.0","245.0","245.0","245.0","245.0","245.0","245.0","245.0","245.0","245.0","245.0","245.0","245.0","245.0","245.0","245.0","245.0","245.0","245.0","245.0","245.0","245.0","245.0","245.0","245.0","245.0","245.0","245.0","245.0","245.0","245.0","245.0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","#N/A","#N/A"
"1948:Q1","252.4","252.4","252.4","252.4","252.4","252.4","252.4","252.4","252.4","252.4","252.4","252.4","252.4","252.4","252.4","252.4","252.4","252.4","252.4","252.4","252.4","252.4","252.4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","#N/A","#N/A"
"1948:Q2","259.7","259.7","259.7","259.7","259.7","259.7","259.7","259.7","259.7","259.7","259.7","259.7","259.7","259.7","259.7","259.7","259.7","259.7","259.7","259.7","259.7","259.7","259.7","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","258.3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","258.3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","267.9","267.9","267.9","267.9","267.9","267.9","267.9","267.9","267.9","267.9","267.9","267.9","267.9","267.9","267.9","267.9","267.9","267.9","267.9","267.9","267.9","267.9","267.9","267.9","267.9","267.9","267.9","267.9","267.9","267.9","#N/A","#N/A"
"1948:Q3","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","265.3","265.3","265.3","265.3","265.3","265.3","265.3","265.3","265.3","265.3","265.3","265.3","265.3","265.3","265.3","265.3","265.3","265.3","265.3","265.3","265.3","265.3","265.3","265.3","265.3","265.3","265.3","265.3","265.3","265.3","265.3","265.3","265.3","265.3","265.3","265.3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","274.4","274.4","274.4","274.4","274.4","274.4","274.4","274.4","274.4","274.4","274.4","274.4","274.4","274.4","274.4","274.4","274.4","274.4","274.4","274.4","274.4","274.4","274.4","274.4","274.4","274.4","274.4","274.4","274.4","274.4","#N/A","#N/A"
"1948:Q4","267.9","267.9","267.9","267.9","267.9","267.9","267.9","267.9","267.9","267.9","267.9","267.9","267.9","267.9","267.9","267.9","267.9","267.9","267.9","267.9","267.9","267.9","267.9","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","275.8","275.8","275.8","275.8","275.8","275.8","275.8","275.8","275.8","275.8","275.8","275.8","275.8","275.8","275.8","275.8","275.8","275.8","275.8","275.8","275.8","275.8","275.8","275.8","275.8","275.8","275.8","275.8","275.8","275.8","#N/A","#N/A"
"1949:Q1","262.7","262.7","262.7","262.7","262.7","262.7","262.7","262.7","262.7","262.7","262.7","262.7","262.7","262.7","262.7","262.7","262.7","262.7","262.7","262.7","262.7","262.7","262.7","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","261.6","261.6","261.6","261.6","261.6","261.6","261.6","261.6","261.6","261.6","261.6","261.6","261.6","261.6","261.6","261.6","261.6","261.6","261.6","261.6","261.6","261.6","261.6","261.6","261.6","261.6","261.6","261.6","261.6","261.6","261.6","261.6","261.6","261.6","261.6","261.6","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","270.6","270.6","270.6","270.6","270.6","270.6","270.6","270.6","270.6","270.6","270.6","270.6","270.6","270.6","270.6","270.6","270.6","270.6","270.6","270.6","270.6","270.6","270.6","270.6","270.6","270.6","270.6","270.6","270.6","270.6","#N/A","#N/A"
"1949:Q2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","258.1","258.1","258.1","258.1","258.1","258.1","258.1","258.1","258.1","258.1","258.1","258.1","258.1","258.1","258.1","258.1","258.1","258.1","258.1","258.1","258.1","258.1","258.1","258.1","258.1","258.1","258.1","258.1","258.1","258.1","258.1","258.1","258.1","258.1","258.1","258.1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","266.7","266.7","266.7","266.7","266.7","266.7","266.7","266.7","266.7","266.7","266.7","266.7","266.7","266.7","266.7","266.7","266.7","266.7","266.7","266.7","266.7","266.7","266.7","266.7","266.7","266.7","266.7","266.7","266.7","266.7","#N/A","#N/A"
