"DATE","RGSL80M1","RGSL80M2","RGSL80M3","RGSL80M4","RGSL80M5","RGSL80M6","RGSL80M7","RGSL80M8","RGSL80M9","RGSL80M10","RGSL80M11","RGSL80M12","RGSL81M1","RGSL81M2","RGSL81M3","RGSL81M4","RGSL81M5","RGSL81M6","RGSL81M7","RGSL81M8","RGSL81M9","RGSL81M10","RGSL81M11","RGSL81M12","RGSL82M1","RGSL82M2","RGSL82M3","RGSL82M4","RGSL82M5","RGSL82M6","RGSL82M7","RGSL82M8","RGSL82M9","RGSL82M10","RGSL82M11","RGSL82M12","RGSL83M1","RGSL83M2","RGSL83M3","RGSL83M4","RGSL83M5","RGSL83M6","RGSL83M7","RGSL83M8","RGSL83M9","RGSL83M10","RGSL83M11","RGSL83M12","RGSL84M1","RGSL84M2","RGSL84M3","RGSL84M4","RGSL84M5","RGSL84M6","RGSL84M7","RGSL84M8","RGSL84M9","RGSL84M10","RGSL84M11","RGSL84M12","RGSL85M1","RGSL85M2","RGSL85M3","RGSL85M4","RGSL85M5","RGSL85M6","RGSL85M7","RGSL85M8","RGSL85M9","RGSL85M10","RGSL85M11","RGSL85M12","RGSL86M1","RGSL86M2","RGSL86M3","RGSL86M4","RGSL86M5","RGSL86M6","RGSL86M7","RGSL86M8","RGSL86M9","RGSL86M10","RGSL86M11","RGSL86M12","RGSL87M1","RGSL87M2","RGSL87M3","RGSL87M4","RGSL87M5","RGSL87M6","RGSL87M7","RGSL87M8","RGSL87M9","RGSL87M10","RGSL87M11","RGSL87M12","RGSL88M1","RGSL88M2","RGSL88M3","RGSL88M4","RGSL88M5","RGSL88M6","RGSL88M7","RGSL88M8","RGSL88M9","RGSL88M10","RGSL88M11","RGSL88M12","RGSL89M1","RGSL89M2","RGSL89M3","RGSL89M4","RGSL89M5","RGSL89M6","RGSL89M7","RGSL89M8","RGSL89M9","RGSL89M10","RGSL89M11","RGSL89M12"
"1947:Q1","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2"
"1947:Q2","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0"
"1947:Q3","39.7","39.7","39.7","39.7","39.7","39.7","39.7","39.7","39.7","39.7","39.7","39.7","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0"
"1947:Q4","40.4","40.4","40.4","40.4","40.4","40.4","40.4","40.4","40.4","40.4","40.4","40.4","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5"
"1948:Q1","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","90.4","90.4","90.4","90.4","90.4","90.4","90.4","90.4","90.4","90.4","90.4","90.4","90.4","90.4","90.4","90.4","90.4","90.4","90.4","90.4","90.4","90.4","90.4","90.4","90.4","90.4","90.4","90.4","90.4","90.4","90.4","90.4","90.4","90.4","90.4","90.4","90.4","90.4","90.4","90.4","90.4","90.4","90.4","90.4","90.4","90.4","90.4","90.4"
"1948:Q2","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6"
"1948:Q3","42.0","42.0","42.0","42.0","42.0","42.0","42.0","42.0","42.0","42.0","42.0","42.0","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2"
"1948:Q4","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6"
"1949:Q1","44.6","44.6","44.6","44.6","44.6","44.6","44.6","44.6","44.6","44.6","44.6","44.6","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3"
"1949:Q2","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3"
