"DATE","RCONND10M1","RCONND10M2","RCONND10M3","RCONND10M4","RCONND10M5","RCONND10M6","RCONND10M7","RCONND10M8","RCONND10M9","RCONND10M10","RCONND10M11","RCONND10M12","RCONND11M1","RCONND11M2","RCONND11M3","RCONND11M4","RCONND11M5","RCONND11M6","RCONND11M7","RCONND11M8","RCONND11M9","RCONND11M10","RCONND11M11","RCONND11M12","RCONND12M1","RCONND12M2","RCONND12M3","RCONND12M4","RCONND12M5","RCONND12M6","RCONND12M7","RCONND12M8","RCONND12M9","RCONND12M10","RCONND12M11","RCONND12M12","RCONND13M1","RCONND13M2","RCONND13M3","RCONND13M4","RCONND13M5","RCONND13M6","RCONND13M7","RCONND13M8","RCONND13M9","RCONND13M10","RCONND13M11","RCONND13M12","RCONND14M1","RCONND14M2","RCONND14M3","RCONND14M4","RCONND14M5","RCONND14M6","RCONND14M7","RCONND14M8","RCONND14M9","RCONND14M10","RCONND14M11","RCONND14M12","RCONND15M1","RCONND15M2","RCONND15M3","RCONND15M4","RCONND15M5"
"1990:Q1","1296.8","1296.8","1296.8","1296.8","1296.8","1296.8","1296.8","1296.8","1296.8","1296.8","1296.8","1296.8","1296.8","1296.8","1296.8","1296.8","1296.8","1296.8","1296.8","1296.6","1296.6","1296.6","1296.6","1296.6","1296.6","1296.6","1296.6","1296.6","1296.6","1296.6","1296.6","1296.6","1296.6","1296.6","1296.6","1296.6","1296.6","1296.6","1296.6","1296.6","1296.6","1296.6","1296.6","1411.4","1411.4","1411.4","1411.4","1411.4","1411.4","1411.4","1411.4","1411.4","1411.4","1411.4","1411.4","1411.4","1411.4","1411.4","1411.4","1411.4","1411.4","1411.4","1411.4","1411.4","1411.4"
"1990:Q2","1298.3","1298.3","1298.3","1298.3","1298.3","1298.3","1298.3","1298.3","1298.3","1298.3","1298.3","1298.3","1298.3","1298.3","1298.3","1298.3","1298.3","1298.3","1298.3","1298.1","1298.1","1298.1","1298.1","1298.1","1298.1","1298.1","1298.1","1298.1","1298.1","1298.1","1298.1","1298.1","1298.1","1298.1","1298.1","1298.1","1298.1","1298.1","1298.1","1298.1","1298.1","1298.1","1298.1","1413.0","1413.0","1413.0","1413.0","1413.0","1413.0","1413.0","1413.0","1413.0","1413.0","1413.0","1413.0","1413.0","1413.0","1413.0","1413.0","1413.0","1413.0","1413.0","1413.0","1413.0","1413.0"
"1990:Q3","1300.4","1300.4","1300.4","1300.4","1300.4","1300.4","1300.4","1300.4","1300.4","1300.4","1300.4","1300.4","1300.4","1300.4","1300.4","1300.4","1300.4","1300.4","1300.4","1300.2","1300.2","1300.2","1300.2","1300.2","1300.2","1300.2","1300.2","1300.2","1300.2","1300.2","1300.2","1300.2","1300.2","1300.2","1300.2","1300.2","1300.2","1300.2","1300.2","1300.2","1300.2","1300.2","1300.2","1415.3","1415.3","1415.3","1415.3","1415.3","1415.3","1415.3","1415.3","1415.3","1415.3","1415.3","1415.3","1415.3","1415.3","1415.3","1415.3","1415.3","1415.3","1415.3","1415.3","1415.3","1415.3"
"1990:Q4","1287.3","1287.3","1287.3","1287.3","1287.3","1287.3","1287.3","1287.3","1287.3","1287.3","1287.3","1287.3","1287.3","1287.3","1287.3","1287.3","1287.3","1287.3","1287.3","1287.1","1287.1","1287.1","1287.1","1287.1","1287.1","1287.1","1287.1","1287.1","1287.1","1287.1","1287.1","1287.1","1287.1","1287.1","1287.1","1287.1","1287.1","1287.1","1287.1","1287.1","1287.1","1287.1","1287.1","1401.1","1401.1","1401.1","1401.1","1401.1","1401.1","1401.1","1401.1","1401.1","1401.1","1401.1","1401.1","1401.1","1401.1","1401.1","1401.1","1401.1","1401.1","1401.1","1401.1","1401.1","1401.1"
"1991:Q1","1287.9","1287.9","1287.9","1287.9","1287.9","1287.9","1287.9","1287.9","1287.9","1287.9","1287.9","1287.9","1287.9","1287.9","1287.9","1287.9","1287.9","1287.9","1287.9","1287.7","1287.7","1287.7","1287.7","1287.7","1287.7","1287.7","1287.7","1287.7","1287.7","1287.7","1287.7","1287.7","1287.7","1287.7","1287.7","1287.7","1287.7","1287.7","1287.7","1287.7","1287.7","1287.7","1287.7","1401.7","1401.7","1401.7","1401.7","1401.7","1401.7","1401.7","1401.7","1401.7","1401.7","1401.7","1401.7","1401.7","1401.7","1401.7","1401.7","1401.7","1401.7","1401.7","1401.7","1401.7","1401.7"
"1991:Q2","1295.4","1295.4","1295.4","1295.4","1295.4","1295.4","1295.4","1295.4","1295.4","1295.4","1295.4","1295.4","1295.4","1295.4","1295.4","1295.4","1295.4","1295.4","1295.4","1295.3","1295.3","1295.3","1295.3","1295.3","1295.3","1295.3","1295.3","1295.3","1295.3","1295.3","1295.3","1295.3","1295.3","1295.3","1295.3","1295.3","1295.3","1295.3","1295.3","1295.3","1295.3","1295.3","1295.3","1410.0","1410.0","1410.0","1410.0","1410.0","1410.0","1410.0","1410.0","1410.0","1410.0","1410.0","1410.0","1410.0","1410.0","1410.0","1410.0","1410.0","1410.0","1410.0","1410.0","1410.0","1410.0"
"1991:Q3","1297.6","1297.6","1297.6","1297.6","1297.6","1297.6","1297.6","1297.6","1297.6","1297.6","1297.6","1297.6","1297.6","1297.6","1297.6","1297.6","1297.6","1297.6","1297.6","1297.5","1297.5","1297.5","1297.5","1297.5","1297.5","1297.5","1297.5","1297.5","1297.5","1297.5","1297.5","1297.5","1297.5","1297.5","1297.5","1297.5","1297.5","1297.5","1297.5","1297.5","1297.5","1297.5","1297.5","1412.4","1412.4","1412.4","1412.4","1412.4","1412.4","1412.4","1412.4","1412.4","1412.4","1412.4","1412.4","1412.4","1412.4","1412.4","1412.4","1412.4","1412.4","1412.4","1412.4","1412.4","1412.4"
"1991:Q4","1286.4","1286.4","1286.4","1286.4","1286.4","1286.4","1286.4","1286.4","1286.4","1286.4","1286.4","1286.4","1286.4","1286.4","1286.4","1286.4","1286.4","1286.4","1286.4","1286.3","1286.3","1286.3","1286.3","1286.3","1286.3","1286.3","1286.3","1286.3","1286.3","1286.3","1286.3","1286.3","1286.3","1286.3","1286.3","1286.3","1286.3","1286.3","1286.3","1286.3","1286.3","1286.3","1286.3","1400.2","1400.2","1400.2","1400.2","1400.2","1400.2","1400.2","1400.2","1400.2","1400.2","1400.2","1400.2","1400.2","1400.2","1400.2","1400.2","1400.2","1400.2","1400.2","1400.2","1400.2","1400.2"
"1992:Q1","1305.5","1305.5","1305.5","1305.5","1305.5","1305.5","1305.5","1305.5","1305.5","1305.5","1305.5","1305.5","1305.5","1305.5","1305.5","1305.5","1305.5","1305.5","1305.5","1305.5","1305.5","1305.5","1305.5","1305.5","1305.5","1305.5","1305.5","1305.5","1305.5","1305.5","1305.5","1305.5","1305.5","1305.5","1305.5","1305.5","1305.5","1305.5","1305.5","1305.5","1305.5","1305.5","1305.5","1421.1","1421.1","1421.1","1421.1","1421.1","1421.1","1421.1","1421.1","1421.1","1421.1","1421.1","1421.1","1421.1","1421.1","1421.1","1421.1","1421.1","1421.1","1421.1","1421.1","1421.1","1421.1"
"1992:Q2","1311.0","1311.0","1311.0","1311.0","1311.0","1311.0","1311.0","1311.0","1311.0","1311.0","1311.0","1311.0","1311.0","1311.0","1311.0","1311.0","1311.0","1311.0","1311.0","1311.0","1311.0","1311.0","1311.0","1311.0","1311.0","1311.0","1311.0","1311.0","1311.0","1311.0","1311.0","1311.0","1311.0","1311.0","1311.0","1311.0","1311.0","1311.0","1311.0","1311.0","1311.0","1311.0","1311.0","1427.0","1427.0","1427.0","1427.0","1427.0","1427.0","1427.0","1427.0","1427.0","1427.0","1427.0","1427.0","1427.0","1427.0","1427.0","1427.0","1427.0","1427.0","1427.0","1427.0","1427.0","1427.0"
"1992:Q3","1318.8","1318.8","1318.8","1318.8","1318.8","1318.8","1318.8","1318.8","1318.8","1318.8","1318.8","1318.8","1318.8","1318.8","1318.8","1318.8","1318.8","1318.8","1318.8","1318.8","1318.8","1318.8","1318.8","1318.8","1318.8","1318.8","1318.8","1318.8","1318.8","1318.8","1318.8","1318.8","1318.8","1318.8","1318.8","1318.8","1318.8","1318.8","1318.8","1318.8","1318.8","1318.8","1318.8","1435.5","1435.5","1435.5","1435.5","1435.5","1435.5","1435.5","1435.5","1435.5","1435.5","1435.5","1435.5","1435.5","1435.5","1435.5","1435.5","1435.5","1435.5","1435.5","1435.5","1435.5","1435.5"
"1992:Q4","1332.1","1332.1","1332.1","1332.1","1332.1","1332.1","1332.1","1332.1","1332.1","1332.1","1332.1","1332.1","1332.1","1332.1","1332.1","1332.1","1332.1","1332.1","1332.1","1332.0","1332.0","1332.0","1332.0","1332.0","1332.0","1332.0","1332.0","1332.0","1332.0","1332.0","1332.0","1332.0","1332.0","1332.0","1332.0","1332.0","1332.0","1332.0","1332.0","1332.0","1332.0","1332.0","1332.0","1449.9","1449.9","1449.9","1449.9","1449.9","1449.9","1449.9","1449.9","1449.9","1449.9","1449.9","1449.9","1449.9","1449.9","1449.9","1449.9","1449.9","1449.9","1449.9","1449.9","1449.9","1449.9"
"1993:Q1","1333.5","1333.5","1333.5","1333.5","1333.5","1333.5","1333.5","1333.5","1333.5","1333.5","1333.5","1333.5","1333.5","1333.5","1333.5","1333.5","1333.5","1333.5","1333.5","1333.3","1333.3","1333.3","1333.3","1333.3","1333.3","1333.3","1333.3","1333.3","1333.3","1333.3","1333.3","1333.3","1333.3","1333.3","1333.3","1333.3","1333.3","1333.3","1333.3","1333.3","1333.3","1333.3","1333.3","1451.4","1451.4","1451.4","1451.4","1451.4","1451.4","1451.4","1451.4","1451.4","1451.4","1451.4","1451.4","1451.4","1451.4","1451.4","1451.4","1451.4","1451.4","1451.4","1451.4","1451.4","1451.4"
"1993:Q2","1344.1","1344.1","1344.1","1344.1","1344.1","1344.1","1344.1","1344.1","1344.1","1344.1","1344.1","1344.1","1344.1","1344.1","1344.1","1344.1","1344.1","1344.1","1344.1","1343.9","1343.9","1343.9","1343.9","1343.9","1343.9","1343.9","1343.9","1343.9","1343.9","1343.9","1343.9","1343.9","1343.9","1343.9","1343.9","1343.9","1343.9","1343.9","1343.9","1343.9","1343.9","1343.9","1343.9","1462.9","1462.9","1462.9","1462.9","1462.9","1462.9","1462.9","1462.9","1462.9","1462.9","1462.9","1462.9","1462.9","1462.9","1462.9","1462.9","1462.9","1462.9","1462.9","1462.9","1462.9","1462.9"
