"DATE","RCONND10M1","RCONND10M2","RCONND10M3","RCONND10M4","RCONND10M5","RCONND10M6","RCONND10M7","RCONND10M8","RCONND10M9","RCONND10M10","RCONND10M11","RCONND10M12","RCONND11M1","RCONND11M2","RCONND11M3","RCONND11M4","RCONND11M5","RCONND11M6","RCONND11M7","RCONND11M8","RCONND11M9","RCONND11M10","RCONND11M11","RCONND11M12","RCONND12M1","RCONND12M2","RCONND12M3","RCONND12M4","RCONND12M5","RCONND12M6","RCONND12M7","RCONND12M8","RCONND12M9","RCONND12M10","RCONND12M11","RCONND12M12","RCONND13M1","RCONND13M2","RCONND13M3","RCONND13M4","RCONND13M5","RCONND13M6","RCONND13M7","RCONND13M8","RCONND13M9","RCONND13M10","RCONND13M11","RCONND13M12","RCONND14M1","RCONND14M2","RCONND14M3","RCONND14M4","RCONND14M5","RCONND14M6","RCONND14M7","RCONND14M8","RCONND14M9","RCONND14M10","RCONND14M11","RCONND14M12","RCONND15M1","RCONND15M2","RCONND15M3","RCONND15M4","RCONND15M5"
"1996:Q1","1457.1","1457.1","1457.1","1457.1","1457.1","1457.1","1457.1","1457.1","1457.1","1457.1","1457.1","1457.1","1457.1","1457.1","1457.1","1457.1","1457.1","1457.1","1457.1","1456.9","1456.9","1456.9","1456.9","1456.9","1456.9","1456.9","1456.9","1456.9","1456.9","1456.9","1456.9","1456.9","1456.9","1456.9","1456.9","1456.9","1456.9","1456.9","1456.9","1456.9","1456.9","1456.9","1456.9","1585.9","1585.9","1585.9","1585.9","1585.9","1585.9","1585.9","1585.9","1585.9","1585.9","1585.9","1585.9","1585.9","1585.9","1585.9","1585.9","1585.9","1585.9","1585.9","1585.9","1585.9","1585.9"
"1996:Q2","1475.8","1475.8","1475.8","1475.8","1475.8","1475.8","1475.8","1475.8","1475.8","1475.8","1475.8","1475.8","1475.8","1475.8","1475.8","1475.8","1475.8","1475.8","1475.8","1475.6","1475.6","1475.6","1475.6","1475.6","1475.6","1475.6","1475.6","1475.6","1475.6","1475.6","1475.6","1475.6","1475.6","1475.6","1475.6","1475.6","1475.6","1475.6","1475.6","1475.6","1475.6","1475.6","1475.6","1606.3","1606.3","1606.3","1606.3","1606.3","1606.3","1606.3","1606.3","1606.3","1606.3","1606.3","1606.3","1606.3","1606.3","1606.3","1606.3","1606.3","1606.3","1606.3","1606.3","1606.3","1606.3"
"1996:Q3","1486.3","1486.3","1486.3","1486.3","1486.3","1486.3","1486.3","1486.3","1486.3","1486.3","1486.3","1486.3","1486.3","1486.3","1486.3","1486.3","1486.3","1486.3","1486.3","1486.1","1486.1","1486.1","1486.1","1486.1","1486.1","1486.1","1486.1","1486.1","1486.1","1486.1","1486.1","1486.1","1486.1","1486.1","1486.1","1486.1","1486.1","1486.1","1486.1","1486.1","1486.1","1486.1","1486.1","1617.7","1617.7","1617.7","1617.7","1617.7","1617.7","1617.7","1617.7","1617.7","1617.7","1617.7","1617.7","1617.7","1617.7","1617.7","1617.7","1617.7","1617.7","1617.7","1617.7","1617.7","1617.7"
"1996:Q4","1498.3","1498.3","1498.3","1498.3","1498.3","1498.3","1498.3","1498.3","1498.3","1498.3","1498.3","1498.3","1498.3","1498.3","1498.3","1498.3","1498.3","1498.3","1498.3","1498.2","1498.2","1498.2","1498.2","1498.2","1498.2","1498.2","1498.2","1498.2","1498.2","1498.2","1498.2","1498.2","1498.2","1498.2","1498.2","1498.2","1498.2","1498.2","1498.2","1498.2","1498.2","1498.2","1498.2","1630.8","1630.8","1630.8","1630.8","1630.8","1630.8","1630.8","1630.8","1630.8","1630.8","1630.8","1630.8","1630.8","1630.8","1630.8","1630.8","1630.8","1630.8","1630.8","1630.8","1630.8","1630.8"
"1997:Q1","1507.4","1507.4","1507.4","1507.4","1507.4","1507.4","1507.4","1507.4","1507.4","1507.4","1507.4","1507.4","1507.4","1507.4","1507.4","1507.4","1507.4","1507.4","1507.4","1507.3","1507.3","1507.3","1507.3","1507.3","1507.3","1507.3","1507.3","1507.3","1507.3","1507.3","1507.3","1507.3","1507.3","1507.3","1507.3","1507.3","1507.3","1507.3","1507.3","1507.3","1507.3","1507.3","1507.3","1640.7","1640.7","1640.7","1640.7","1640.7","1640.7","1640.7","1640.7","1640.7","1640.7","1640.7","1640.7","1640.7","1640.7","1640.7","1640.7","1640.7","1640.7","1640.7","1640.7","1640.7","1640.7"
"1997:Q2","1508.3","1508.3","1508.3","1508.3","1508.3","1508.3","1508.3","1508.3","1508.3","1508.3","1508.3","1508.3","1508.3","1508.3","1508.3","1508.3","1508.3","1508.3","1508.3","1508.1","1508.1","1508.1","1508.1","1508.1","1508.1","1508.1","1508.1","1508.1","1508.1","1508.1","1508.1","1508.1","1508.1","1508.1","1508.1","1508.1","1508.1","1508.1","1508.1","1508.1","1508.1","1508.1","1508.1","1641.7","1641.7","1641.7","1641.7","1641.7","1641.7","1641.7","1641.7","1641.7","1641.7","1641.7","1641.7","1641.7","1641.7","1641.7","1641.7","1641.7","1641.7","1641.7","1641.7","1641.7","1641.7"
"1997:Q3","1532.5","1532.5","1532.5","1532.5","1532.5","1532.5","1532.5","1532.5","1532.5","1532.5","1532.5","1532.5","1532.5","1532.5","1532.5","1532.5","1532.5","1532.5","1532.5","1532.4","1532.4","1532.4","1532.4","1532.4","1532.4","1532.4","1532.4","1532.4","1532.4","1532.4","1532.4","1532.4","1532.4","1532.4","1532.4","1532.4","1532.4","1532.4","1532.4","1532.4","1532.4","1532.4","1532.4","1668.1","1668.1","1668.1","1668.1","1668.1","1668.1","1668.1","1668.1","1668.1","1668.1","1668.1","1668.1","1668.1","1668.1","1668.1","1668.1","1668.1","1668.1","1668.1","1668.1","1668.1","1668.1"
"1997:Q4","1543.3","1543.3","1543.3","1543.3","1543.3","1543.3","1543.3","1543.3","1543.3","1543.3","1543.3","1543.3","1543.3","1543.3","1543.3","1543.3","1543.3","1543.3","1543.3","1543.1","1543.1","1543.1","1543.1","1543.1","1543.1","1543.1","1543.1","1543.1","1543.1","1543.1","1543.1","1543.1","1543.1","1543.1","1543.1","1543.1","1543.1","1543.1","1543.1","1543.1","1543.1","1543.1","1543.1","1679.8","1679.8","1679.8","1679.8","1679.8","1679.8","1679.8","1679.8","1679.8","1679.8","1679.8","1679.8","1679.8","1679.8","1679.8","1679.8","1679.8","1679.8","1679.8","1679.8","1679.8","1679.8"
"1998:Q1","1554.7","1554.7","1554.7","1554.7","1554.7","1554.7","1554.7","1554.7","1554.7","1554.7","1554.7","1554.7","1554.7","1554.7","1554.7","1554.7","1554.7","1554.7","1554.7","1554.6","1554.6","1554.6","1554.6","1554.6","1554.6","1554.6","1554.6","1554.6","1554.6","1554.6","1554.6","1554.6","1554.6","1554.6","1554.6","1554.6","1554.6","1554.6","1554.6","1554.6","1554.6","1554.6","1554.6","1691.9","1691.9","1691.9","1691.9","1691.9","1691.9","1691.9","1691.9","1691.9","1691.9","1691.9","1691.9","1691.9","1691.9","1691.9","1691.9","1691.9","1691.9","1691.9","1691.9","1691.9","1691.9"
"1998:Q2","1573.9","1573.9","1573.9","1573.9","1573.9","1573.9","1573.9","1573.9","1573.9","1573.9","1573.9","1573.9","1573.9","1573.9","1573.9","1573.9","1573.9","1573.9","1573.9","1573.8","1573.8","1573.8","1573.8","1573.8","1573.8","1573.8","1573.8","1573.8","1573.8","1573.8","1573.8","1573.8","1573.8","1573.8","1573.8","1573.8","1573.8","1573.8","1573.8","1573.8","1573.8","1573.8","1573.8","1712.3","1712.3","1712.3","1712.3","1712.3","1712.3","1712.3","1712.3","1712.3","1712.3","1712.3","1712.3","1712.3","1712.3","1712.3","1712.3","1712.3","1712.3","1712.3","1712.3","1712.3","1712.3"
"1998:Q3","1585.5","1585.5","1585.5","1585.5","1585.5","1585.5","1585.5","1585.5","1585.5","1585.5","1585.5","1585.5","1585.5","1585.5","1585.5","1585.5","1585.5","1585.5","1585.5","1585.4","1585.4","1585.4","1585.4","1585.4","1585.4","1585.4","1585.4","1585.4","1585.4","1585.4","1585.4","1585.4","1585.4","1585.4","1585.4","1585.4","1585.4","1585.4","1585.4","1585.4","1585.4","1585.4","1585.4","1724.7","1724.7","1724.7","1724.7","1724.7","1724.7","1724.7","1724.7","1724.7","1724.7","1724.7","1724.7","1724.7","1724.7","1724.7","1724.7","1724.7","1724.7","1724.7","1724.7","1724.7","1724.7"
"1998:Q4","1607.2","1607.2","1607.2","1607.2","1607.2","1607.2","1607.2","1607.2","1607.2","1607.2","1607.2","1607.2","1607.2","1607.2","1607.2","1607.2","1607.2","1607.2","1607.2","1607.0","1607.0","1607.0","1607.0","1607.0","1607.0","1607.0","1607.0","1607.0","1607.0","1607.0","1607.0","1607.0","1607.0","1607.0","1607.0","1607.0","1607.0","1607.0","1607.0","1607.0","1607.0","1607.0","1607.0","1748.0","1748.0","1748.0","1748.0","1748.0","1748.0","1748.0","1748.0","1748.0","1748.0","1748.0","1748.0","1748.0","1748.0","1748.0","1748.0","1748.0","1748.0","1748.0","1748.0","1748.0","1748.0"
"1999:Q1","1636.9","1636.9","1636.9","1636.9","1636.9","1636.9","1636.9","1636.9","1636.9","1636.9","1636.9","1636.9","1636.9","1636.9","1636.9","1636.9","1636.9","1636.9","1636.9","1636.7","1636.7","1636.7","1636.7","1636.7","1636.7","1636.7","1636.7","1636.7","1636.7","1636.7","1636.7","1636.7","1636.7","1636.7","1636.7","1636.7","1636.7","1636.7","1636.7","1636.7","1636.7","1636.7","1636.7","1780.2","1780.2","1780.2","1780.2","1780.2","1780.2","1780.2","1780.2","1780.2","1780.2","1780.2","1780.2","1780.2","1780.2","1780.2","1780.2","1780.2","1780.2","1780.2","1780.2","1780.2","1780.2"
"1999:Q2","1652.3","1652.3","1652.3","1652.3","1652.3","1652.3","1652.3","1652.3","1652.3","1652.3","1652.3","1652.3","1652.3","1652.3","1652.3","1652.3","1652.3","1652.3","1652.3","1652.1","1652.1","1652.1","1652.1","1652.1","1652.1","1652.1","1652.1","1652.1","1652.1","1652.1","1652.1","1652.1","1652.1","1652.1","1652.1","1652.1","1652.1","1652.1","1652.1","1652.1","1652.1","1652.1","1652.1","1796.8","1796.8","1796.8","1796.8","1796.8","1796.8","1796.8","1796.8","1796.8","1796.8","1796.8","1796.8","1796.8","1796.8","1796.8","1796.8","1796.8","1796.8","1796.8","1796.8","1796.8","1796.8"
"1999:Q3","1660.1","1660.1","1660.1","1660.1","1660.1","1660.1","1660.1","1660.1","1660.1","1660.1","1660.1","1660.1","1660.1","1660.1","1660.1","1660.1","1660.1","1660.1","1660.1","1660.0","1660.0","1660.0","1660.0","1660.0","1660.0","1660.0","1660.0","1660.0","1660.0","1660.0","1660.0","1660.0","1660.0","1660.0","1660.0","1660.0","1660.0","1660.0","1660.0","1660.0","1660.0","1660.0","1660.0","1805.1","1805.1","1805.1","1805.1","1805.1","1805.1","1805.1","1805.1","1805.1","1805.1","1805.1","1805.1","1805.1","1805.1","1805.1","1805.1","1805.1","1805.1","1805.1","1805.1","1805.1","1805.1"
"1999:Q4","1694.1","1694.1","1694.1","1694.1","1694.1","1694.1","1694.1","1694.1","1694.1","1694.1","1694.1","1694.1","1694.1","1694.1","1694.1","1694.1","1694.1","1694.1","1694.1","1694.0","1694.0","1694.0","1694.0","1694.0","1694.0","1694.0","1694.0","1694.0","1694.0","1694.0","1694.0","1694.0","1694.0","1694.0","1694.0","1694.0","1694.0","1694.0","1694.0","1694.0","1694.0","1694.0","1694.0","1841.8","1841.8","1841.8","1841.8","1841.8","1841.8","1841.8","1841.8","1841.8","1841.8","1841.8","1841.8","1841.8","1841.8","1841.8","1841.8","1841.8","1841.8","1841.8","1841.8","1841.8","1841.8"
"2000:Q1","1679.5","1679.5","1679.5","1679.5","1679.5","1679.5","1679.5","1679.5","1679.5","1679.5","1679.5","1679.5","1679.5","1679.5","1679.5","1679.5","1679.5","1679.5","1679.5","1679.3","1679.3","1679.3","1679.3","1679.3","1679.3","1679.3","1679.3","1679.3","1679.3","1679.3","1679.3","1679.3","1679.3","1679.3","1679.3","1679.3","1679.3","1679.3","1679.3","1679.3","1679.3","1679.3","1679.3","1825.7","1825.7","1825.7","1825.7","1825.7","1825.7","1825.7","1825.7","1825.7","1825.7","1825.7","1825.7","1825.7","1825.7","1825.7","1825.7","1825.7","1825.7","1825.7","1825.7","1825.7","1825.7"
"2000:Q2","1713.1","1713.1","1713.1","1713.1","1713.1","1713.1","1713.1","1713.1","1713.1","1713.1","1713.1","1713.1","1713.1","1713.1","1713.1","1713.1","1713.1","1713.1","1713.1","1712.9","1712.9","1712.9","1712.9","1712.9","1712.9","1712.9","1712.9","1712.9","1712.9","1712.9","1712.9","1712.9","1712.9","1712.9","1712.9","1712.9","1712.9","1712.9","1712.9","1712.9","1712.9","1712.9","1712.9","1862.0","1862.0","1862.0","1862.0","1862.0","1862.0","1862.0","1862.0","1862.0","1862.0","1862.0","1862.0","1862.0","1862.0","1862.0","1862.0","1862.0","1862.0","1862.0","1862.0","1862.0","1862.0"
"2000:Q3","1724.7","1724.7","1724.7","1724.7","1724.7","1724.7","1724.7","1724.7","1724.7","1724.7","1724.7","1724.7","1724.7","1724.7","1724.7","1724.7","1724.7","1724.7","1724.7","1724.5","1724.5","1724.5","1724.5","1724.5","1724.5","1724.5","1724.5","1724.5","1724.5","1724.5","1724.5","1724.5","1724.5","1724.5","1724.5","1724.5","1724.5","1724.5","1724.5","1724.5","1724.5","1724.5","1724.5","1874.3","1874.3","1874.3","1874.3","1874.3","1874.3","1874.3","1874.3","1874.3","1874.3","1874.3","1874.3","1874.3","1874.3","1874.3","1874.3","1874.3","1874.3","1874.3","1874.3","1874.3","1874.3"
"2000:Q4","1741.6","1741.6","1741.6","1741.6","1741.6","1741.6","1741.6","1741.6","1741.6","1741.6","1741.6","1741.6","1741.6","1741.6","1741.6","1741.6","1741.6","1741.6","1741.6","1741.4","1741.4","1741.4","1741.4","1741.4","1741.4","1741.4","1741.4","1741.4","1741.4","1741.4","1741.4","1741.4","1741.4","1741.4","1741.4","1741.4","1741.4","1741.4","1741.4","1741.4","1741.4","1741.4","1741.4","1892.3","1892.3","1892.3","1892.3","1892.3","1892.3","1892.3","1892.3","1892.3","1892.3","1892.3","1892.3","1892.3","1892.3","1892.3","1892.3","1892.3","1892.3","1892.3","1892.3","1892.3","1892.3"
"2001:Q1","1731.4","1731.4","1731.4","1731.4","1731.4","1731.4","1731.4","1731.4","1731.4","1731.4","1731.4","1731.4","1731.4","1731.4","1731.4","1731.4","1731.4","1731.4","1731.4","1731.2","1731.2","1731.2","1731.2","1731.2","1731.2","1731.2","1731.2","1731.2","1731.2","1731.2","1731.2","1731.2","1731.2","1731.2","1731.2","1731.2","1731.2","1731.2","1731.2","1731.2","1731.2","1731.2","1731.2","1881.0","1881.0","1881.0","1881.0","1881.0","1881.0","1881.0","1881.0","1881.0","1881.0","1881.0","1881.0","1881.0","1881.0","1881.0","1881.0","1881.0","1881.0","1881.0","1881.0","1881.0","1881.0"
"2001:Q2","1739.7","1739.7","1739.7","1739.7","1739.7","1739.7","1739.7","1739.7","1739.7","1739.7","1739.7","1739.7","1739.7","1739.7","1739.7","1739.7","1739.7","1739.7","1739.7","1739.5","1739.5","1739.5","1739.5","1739.5","1739.5","1739.5","1739.5","1739.5","1739.5","1739.5","1739.5","1739.5","1739.5","1739.5","1739.5","1739.5","1739.5","1739.5","1739.5","1739.5","1739.5","1739.5","1739.5","1889.8","1889.8","1889.8","1889.8","1889.8","1889.8","1889.8","1889.8","1889.8","1889.8","1889.8","1889.8","1889.8","1889.8","1889.8","1889.8","1889.8","1889.8","1889.8","1889.8","1889.8","1889.8"
"2001:Q3","1748.1","1748.1","1748.1","1748.1","1748.1","1748.1","1748.1","1748.1","1748.1","1748.1","1748.1","1748.1","1748.1","1748.1","1748.1","1748.1","1748.1","1748.1","1748.1","1747.9","1747.9","1747.9","1747.9","1747.9","1747.9","1747.9","1747.9","1747.9","1747.9","1747.9","1747.9","1747.9","1747.9","1747.9","1747.9","1747.9","1747.9","1747.9","1747.9","1747.9","1747.9","1747.9","1747.9","1898.6","1898.6","1898.6","1898.6","1898.6","1898.6","1898.6","1898.6","1898.6","1898.6","1898.6","1898.6","1898.6","1898.6","1898.6","1898.6","1898.6","1898.6","1898.6","1898.6","1898.6","1898.6"
"2001:Q4","1763.2","1763.2","1763.2","1763.2","1763.2","1763.2","1763.2","1763.2","1763.2","1763.2","1763.2","1763.2","1763.2","1763.2","1763.2","1763.2","1763.2","1763.2","1763.2","1763.0","1763.0","1763.0","1763.0","1763.0","1763.0","1763.0","1763.0","1763.0","1763.0","1763.0","1763.0","1763.0","1763.0","1763.0","1763.0","1763.0","1763.0","1763.0","1763.0","1763.0","1763.0","1763.0","1763.0","1914.7","1914.7","1914.7","1914.7","1914.7","1914.7","1914.7","1914.7","1914.7","1914.7","1914.7","1914.7","1914.7","1914.7","1914.7","1914.7","1914.7","1914.7","1914.7","1914.7","1914.7","1914.7"
"2002:Q1","1770.4","1770.4","1770.4","1770.4","1770.4","1770.4","1770.4","1770.4","1770.4","1770.4","1770.4","1770.4","1770.4","1770.4","1770.4","1770.4","1770.4","1770.4","1770.4","1770.2","1770.2","1770.2","1770.2","1770.2","1770.2","1770.2","1770.2","1770.2","1770.2","1770.2","1770.2","1770.2","1770.2","1770.2","1770.2","1770.2","1770.2","1770.2","1770.2","1770.2","1770.2","1770.2","1770.2","1921.7","1921.7","1921.7","1921.7","1921.7","1921.7","1921.7","1921.7","1921.7","1921.7","1921.7","1921.7","1921.7","1921.7","1921.7","1921.7","1921.7","1921.7","1921.7","1921.7","1921.7","1921.7"
"2002:Q2","1772.7","1772.7","1772.7","1772.7","1772.7","1772.7","1772.7","1772.7","1772.7","1772.7","1772.7","1772.7","1772.7","1772.7","1772.7","1772.7","1772.7","1772.7","1772.7","1772.5","1772.5","1772.5","1772.5","1772.5","1772.5","1772.5","1772.5","1772.5","1772.5","1772.5","1772.5","1772.5","1772.5","1772.5","1772.5","1772.5","1772.5","1772.5","1772.5","1772.5","1772.5","1772.5","1772.5","1922.7","1922.7","1922.7","1922.7","1922.7","1922.7","1922.7","1922.7","1922.7","1922.7","1922.7","1922.7","1922.7","1922.7","1922.7","1922.7","1922.7","1922.7","1922.7","1922.7","1922.7","1922.7"
"2002:Q3","1777.7","1777.7","1777.7","1777.7","1777.7","1777.7","1777.7","1777.7","1777.7","1777.7","1777.7","1777.7","1777.7","1777.7","1777.7","1777.7","1777.7","1777.7","1777.7","1777.5","1777.5","1777.5","1777.5","1777.5","1777.5","1777.5","1777.5","1777.5","1777.5","1777.5","1777.5","1777.5","1777.5","1777.5","1777.5","1777.5","1777.5","1777.5","1777.5","1777.5","1777.5","1777.5","1777.5","1927.4","1927.4","1927.4","1927.4","1927.4","1927.4","1927.4","1927.4","1927.4","1927.4","1927.4","1927.4","1927.4","1927.4","1927.4","1927.4","1927.4","1927.4","1927.4","1927.4","1927.4","1927.4"
"2002:Q4","1800.2","1800.2","1800.2","1800.2","1800.2","1800.2","1800.2","1800.2","1800.2","1800.2","1800.2","1800.2","1800.2","1800.2","1800.2","1800.2","1800.2","1800.2","1800.2","1800.0","1800.0","1800.0","1800.0","1800.0","1800.0","1800.0","1800.0","1800.0","1800.0","1800.0","1800.0","1800.0","1800.0","1800.0","1800.0","1800.0","1800.0","1800.0","1800.0","1800.0","1800.0","1800.0","1800.0","1952.6","1952.6","1952.6","1952.6","1952.6","1952.6","1952.6","1952.6","1952.6","1952.6","1952.6","1952.6","1952.6","1952.6","1952.6","1952.6","1952.6","1952.6","1952.6","1952.6","1952.6","1952.6"
"2003:Q1","1819.5","1819.5","1819.5","1819.5","1819.5","1819.5","1819.5","1819.5","1819.5","1819.5","1819.5","1819.5","1819.5","1819.5","1819.5","1819.5","1819.5","1819.5","1819.5","1816.0","1816.0","1816.0","1816.0","1816.0","1816.0","1816.0","1816.0","1816.0","1816.0","1816.0","1816.0","1816.0","1816.0","1816.0","1816.0","1816.0","1816.0","1816.0","1816.0","1816.0","1816.0","1816.0","1816.0","1966.0","1966.0","1966.0","1966.0","1966.0","1966.0","1966.0","1966.0","1966.0","1966.0","1966.0","1966.0","1966.0","1966.0","1966.0","1966.0","1966.0","1966.0","1966.0","1966.0","1966.0","1966.0"
"2003:Q2","1828.0","1828.0","1828.0","1828.0","1828.0","1828.0","1828.0","1828.0","1828.0","1828.0","1828.0","1828.0","1828.0","1828.0","1828.0","1828.0","1828.0","1828.0","1828.0","1825.2","1825.2","1825.2","1825.2","1825.2","1825.2","1825.2","1825.2","1825.2","1825.2","1825.2","1825.2","1825.2","1825.2","1825.2","1825.2","1825.2","1825.2","1825.2","1825.2","1825.2","1825.2","1825.2","1825.2","1980.3","1980.3","1980.3","1980.3","1980.3","1980.3","1980.3","1980.3","1980.3","1980.3","1980.3","1980.3","1980.3","1980.3","1980.3","1980.3","1980.3","1980.3","1980.3","1980.3","1980.3","1980.3"
"2003:Q3","1863.8","1863.8","1863.8","1863.8","1863.8","1863.8","1863.8","1863.8","1863.8","1863.8","1863.8","1863.8","1863.8","1863.8","1863.8","1863.8","1863.8","1863.8","1863.8","1856.9","1856.9","1856.9","1856.9","1856.9","1856.9","1856.9","1856.9","1856.9","1856.9","1856.9","1856.9","1856.9","1856.9","1856.9","1856.9","1856.9","1856.9","1856.9","1856.9","1856.9","1856.9","1856.9","1856.9","2017.0","2017.0","2017.0","2017.0","2017.0","2017.0","2017.0","2017.0","2017.0","2017.0","2017.0","2017.0","2017.0","2017.0","2017.0","2017.0","2017.0","2017.0","2017.0","2017.0","2017.0","2017.0"
"2003:Q4","1871.3","1871.3","1871.3","1871.3","1871.3","1871.3","1871.3","1871.3","1871.3","1871.3","1871.3","1871.3","1871.3","1871.3","1871.3","1871.3","1871.3","1871.3","1871.3","1864.8","1864.8","1864.8","1864.8","1864.8","1864.8","1864.8","1864.8","1864.8","1864.8","1864.8","1864.8","1864.8","1864.8","1864.8","1864.8","1864.8","1864.8","1864.8","1864.8","1864.8","1864.8","1864.8","1864.8","2030.9","2030.9","2030.9","2030.9","2030.9","2030.9","2030.9","2030.9","2030.9","2030.9","2030.9","2030.9","2030.9","2030.9","2030.9","2030.9","2030.9","2030.9","2030.9","2030.9","2030.9","2030.9"
"2004:Q1","1888.9","1888.9","1888.9","1888.9","1888.9","1888.9","1888.9","1888.9","1888.9","1888.9","1888.9","1888.9","1888.9","1888.9","1888.9","1888.9","1888.9","1888.9","1888.9","1880.4","1880.4","1880.4","1880.4","1880.4","1880.4","1880.4","1880.4","1880.4","1880.4","1880.4","1880.4","1880.4","1880.4","1880.4","1880.4","1880.4","1880.4","1880.4","1880.4","1880.4","1880.4","1880.4","1880.4","2046.3","2046.3","2046.3","2046.3","2046.3","2046.3","2046.3","2046.3","2046.3","2046.3","2046.3","2046.3","2046.3","2046.3","2046.3","2046.3","2046.3","2046.3","2046.3","2046.3","2046.3","2046.3"
"2004:Q2","1894.0","1894.0","1894.0","1894.0","1894.0","1894.0","1894.0","1894.0","1894.0","1894.0","1894.0","1894.0","1894.0","1894.0","1894.0","1894.0","1894.0","1894.0","1894.0","1880.3","1880.3","1880.3","1880.3","1880.3","1880.3","1880.3","1880.3","1880.3","1880.3","1880.3","1880.3","1880.3","1880.3","1880.3","1880.3","1880.3","1880.3","1880.3","1880.3","1880.3","1880.3","1880.3","1880.3","2052.6","2052.6","2052.6","2052.6","2052.6","2052.6","2052.6","2052.6","2052.6","2052.6","2052.6","2052.6","2052.6","2052.6","2052.6","2052.6","2052.6","2052.6","2052.6","2052.6","2052.6","2052.6"
"2004:Q3","1907.8","1907.8","1907.8","1907.8","1907.8","1907.8","1907.8","1907.8","1907.8","1907.8","1907.8","1907.8","1907.8","1907.8","1907.8","1907.8","1907.8","1907.8","1907.8","1895.1","1895.1","1895.1","1895.1","1895.1","1895.1","1895.1","1895.1","1895.1","1895.1","1895.1","1895.1","1895.1","1895.1","1895.1","1895.1","1895.1","1895.1","1895.1","1895.1","1895.1","1895.1","1895.1","1895.1","2068.5","2068.5","2068.5","2068.5","2068.5","2068.5","2068.5","2068.5","2068.5","2068.5","2068.5","2068.5","2068.5","2068.5","2068.5","2068.5","2068.5","2068.5","2068.5","2068.5","2068.5","2068.5"
"2004:Q4","1927.6","1927.6","1927.6","1927.6","1927.6","1927.6","1927.6","1927.6","1927.6","1927.6","1927.6","1927.6","1927.6","1927.6","1927.6","1927.6","1927.6","1927.6","1927.6","1915.4","1915.4","1915.4","1915.4","1915.4","1915.4","1915.4","1915.4","1915.4","1915.4","1915.4","1915.4","1915.4","1915.4","1915.4","1915.4","1915.4","1915.4","1915.4","1915.4","1915.4","1915.4","1915.4","1915.4","2087.2","2087.2","2087.2","2087.2","2087.2","2087.2","2087.2","2087.2","2087.2","2087.2","2087.2","2087.2","2087.2","2087.2","2087.2","2087.2","2087.2","2087.2","2087.2","2087.2","2087.2","2087.2"
"2005:Q1","1949.6","1949.6","1949.6","1949.6","1949.6","1949.6","1949.6","1949.6","1949.6","1949.6","1949.6","1949.6","1949.6","1949.6","1949.6","1949.6","1949.6","1949.6","1949.6","1937.0","1937.0","1937.0","1937.0","1937.0","1937.0","1937.0","1937.0","1937.0","1937.0","1937.0","1937.0","1937.0","1937.0","1937.0","1937.0","1937.0","1937.0","1937.0","1937.0","1937.0","1937.0","1937.0","1937.0","2114.0","2114.0","2114.0","2114.0","2114.0","2114.0","2114.0","2114.0","2114.0","2114.0","2114.0","2114.0","2114.0","2114.0","2114.0","2114.0","2114.0","2114.0","2114.0","2114.0","2114.0","2114.0"
"2005:Q2","1961.5","1961.5","1961.5","1961.5","1961.5","1961.5","1961.5","1961.5","1961.5","1961.5","1961.5","1961.5","1961.5","1961.5","1961.5","1961.5","1961.5","1961.5","1961.5","1946.7","1946.7","1946.7","1946.7","1946.7","1946.7","1946.7","1946.7","1946.7","1946.7","1946.7","1946.7","1946.7","1946.7","1946.7","1946.7","1946.7","1946.7","1946.7","1946.7","1946.7","1946.7","1946.7","1946.7","2123.2","2123.2","2123.2","2123.2","2123.2","2123.2","2123.2","2123.2","2123.2","2123.2","2123.2","2123.2","2123.2","2123.2","2123.2","2123.2","2123.2","2123.2","2123.2","2123.2","2123.2","2123.2"
"2005:Q3","1971.8","1971.8","1971.8","1971.8","1971.8","1971.8","1971.8","1971.8","1971.8","1971.8","1971.8","1971.8","1971.8","1971.8","1971.8","1971.8","1971.8","1971.8","1971.8","1954.4","1954.4","1954.4","1954.4","1954.4","1954.4","1954.4","1954.4","1954.4","1954.4","1954.4","1954.4","1954.4","1954.4","1954.4","1954.4","1954.4","1954.4","1954.4","1954.4","1954.4","1954.4","1954.4","1954.4","2127.9","2127.9","2127.9","2127.9","2127.9","2127.9","2127.9","2127.9","2127.9","2127.9","2127.9","2127.9","2127.9","2127.9","2127.9","2127.9","2127.9","2127.9","2127.9","2127.9","2127.9","2127.9"
"2005:Q4","1990.7","1990.7","1990.7","1990.7","1990.7","1990.7","1990.7","1990.7","1990.7","1990.7","1990.7","1990.7","1990.7","1990.7","1990.7","1990.7","1990.7","1990.7","1990.7","1975.4","1975.4","1975.4","1975.4","1975.4","1975.4","1975.4","1975.4","1975.4","1975.4","1975.4","1975.4","1975.4","1975.4","1975.4","1975.4","1975.4","1975.4","1975.4","1975.4","1975.4","1975.4","1975.4","1975.4","2164.2","2164.2","2164.2","2164.2","2164.2","2164.2","2164.2","2164.2","2164.2","2164.2","2164.2","2164.2","2164.2","2164.2","2164.2","2164.2","2164.2","2164.2","2164.2","2164.2","2164.2","2164.2"
