"DATE","P65Q4","P66Q1","P66Q2","P66Q3","P66Q4","P67Q1","P67Q2","P67Q3","P67Q4","P68Q1","P68Q2","P68Q3","P68Q4","P69Q1","P69Q2","P69Q3","P69Q4","P70Q1","P70Q2","P70Q3","P70Q4","P71Q1","P71Q2","P71Q3","P71Q4","P72Q1","P72Q2","P72Q3","P72Q4","P73Q1","P73Q2","P73Q3","P73Q4","P74Q1","P74Q2","P74Q3","P74Q4","P75Q1","P75Q2","P75Q3","P75Q4","P76Q1","P76Q2","P76Q3","P76Q4","P77Q1","P77Q2","P77Q3","P77Q4","P78Q1","P78Q2","P78Q3","P78Q4","P79Q1","P79Q2","P79Q3","P79Q4","P80Q1","P80Q2","P80Q3","P80Q4","P81Q1","P81Q2","P81Q3","P81Q4","P82Q1","P82Q2","P82Q3","P82Q4","P83Q1","P83Q2","P83Q3","P83Q4","P84Q1","P84Q2","P84Q3","P84Q4","P85Q1","P85Q2","P85Q3","P85Q4","P86Q1","P86Q2","P86Q3","P86Q4","P87Q1","P87Q2","P87Q3","P87Q4","P88Q1","P88Q2","P88Q3","P88Q4","P89Q1","P89Q2","P89Q3","P89Q4","P90Q1","P90Q2","P90Q3","P90Q4","P91Q1","P91Q2","P91Q3","P91Q4","P92Q1","P92Q2","P92Q3","P92Q4","P93Q1","P93Q2","P93Q3","P93Q4","P94Q1","P94Q2","P94Q3","P94Q4","P95Q1","P95Q2","P95Q3","P95Q4","P96Q1","P96Q2","P96Q3","P96Q4","P97Q1","P97Q2","P97Q3","P97Q4","P98Q1","P98Q2","P98Q3","P98Q4","P99Q1","P99Q2","P99Q3","P99Q4","P00Q1","P00Q2","P00Q3","P00Q4","P01Q1","P01Q2","P01Q3","P01Q4","P02Q1","P02Q2","P02Q3","P02Q4","P03Q1","P03Q2","P03Q3","P03Q4","P04Q1","P04Q2","P04Q3","P04Q4","P05Q1","P05Q2","P05Q3","P05Q4","P06Q1","P06Q2","P06Q3","P06Q4","P07Q1","P07Q2","P07Q3","P07Q4","P08Q1","P08Q2","P08Q3","P08Q4","P09Q1","P09Q2","P09Q3","P09Q4","P10Q1","P10Q2","P10Q3","P10Q4","P11Q1","P11Q2","P11Q3","P11Q4","P12Q1","P12Q2","P12Q3","P12Q4","P13Q1","P13Q2","P13Q3","P13Q4","P14Q1","P14Q2","P14Q3","P14Q4","P15Q1","P15Q2","P15Q3","P15Q4"
"1958:Q3","100.1553","100.1553","100.1553","100.1553","100.1553","100.1553","100.1553","100.1553","100.1553","100.1553","100.1553","100.1553","100.1553","100.1553","100.1553","100.1553","100.1553","100.1553","100.1553","100.1553","100.1553","100.1553","100.1553","100.1553","100.1553","100.1553","100.1553","100.1553","100.1553","100.1553","100.1553","100.1553","100.1553","100.1553","100.1553","100.1553","100.1553","100.1553","100.1553","100.1553","100.1553","66.204","66.204","66.204","66.204","66.204","66.204","66.204","66.204","66.204","66.204","66.204","66.204","66.204","66.204","66.204","66.204","66.204","66.204","66.204","66.204","66.1758","66.1758","66.1758","66.1758","66.1758","66.1758","66.1758","66.1758","66.1758","66.1758","66.1758","66.1758","66.1758","66.1758","66.1758","66.1758","66.1758","66.1758","66.1758","66.1758","29.7419","29.7419","29.7419","29.7419","29.7419","29.7419","29.7419","29.7419","29.7419","29.7419","29.7419","29.7419","29.7419","29.7419","29.7419","29.7419","29.7419","29.7419","29.7419","29.7419","29.7419","29.7419","29.7419","29.7419","#N/A","#N/A","#N/A","#N/A","24.9389","24.9389","24.9389","24.9389","24.9389","24.9389","24.9389","24.9389","24.9389","24.9389","24.9389","24.9389","#N/A","#N/A","#N/A","#N/A","#N/A","22.77","22.77","22.77","22.77","22.77","22.77","22.77","22.77","22.77","22.77","#N/A","#N/A","21.69","21.69","21.69","21.69","21.69","21.69","21.69","21.69","21.69","21.69","21.69","21.69","21.69","21.69","21.69","20.554","20.554","20.554","20.554","20.554","20.554","20.554","20.554","20.554","20.554","20.554","20.554","20.554","20.554","20.554","20.554","20.554","20.554","20.554","20.554","20.554","20.554","18.179","18.179","18.179","18.179","18.179","18.179","18.179","18.179","18.194","18.194","18.194","18.194","18.194","18.194","18.194","18.194","17.083","17.083","17.083","17.083","17.083","17.083","17.083","17.083","17.083","17.083"
"1958:Q4","100.6066","100.6066","100.6066","100.6066","100.6066","100.6066","100.6066","100.6066","100.6066","100.6066","100.6066","100.6066","100.6066","100.6066","100.6066","100.6066","100.6066","100.6066","100.6066","100.6066","100.6066","100.6066","100.6066","100.6066","100.6066","100.6066","100.6066","100.6066","100.6066","100.6066","100.6066","100.6066","100.6066","100.6066","100.6066","100.6066","100.6066","100.6066","100.6066","100.6066","100.6066","66.415","66.415","66.415","66.415","66.415","66.415","66.415","66.415","66.415","66.415","66.415","66.415","66.415","66.415","66.415","66.415","66.415","66.415","66.415","66.415","66.4769","66.4769","66.4769","66.4769","66.4769","66.4769","66.4769","66.4769","66.4769","66.4769","66.4769","66.4769","66.4769","66.4769","66.4769","66.4769","66.4769","66.4769","66.4769","66.4769","29.8859","29.8859","29.8859","29.8859","29.8859","29.8859","29.8859","29.8859","29.8859","29.8859","29.8859","29.8859","29.8859","29.8859","29.8859","29.8859","29.8859","29.8859","29.8859","29.8859","29.8859","29.8859","29.8859","29.8859","#N/A","#N/A","#N/A","#N/A","25.1103","25.1103","25.1103","25.1103","25.1103","25.1103","25.1103","25.1103","25.1103","25.1103","25.1103","25.1103","#N/A","#N/A","#N/A","#N/A","#N/A","22.82","22.82","22.82","22.82","22.82","22.82","22.82","22.82","22.82","22.82","#N/A","#N/A","21.74","21.74","21.74","21.74","21.74","21.74","21.74","21.74","21.74","21.74","21.74","21.74","21.74","21.74","21.74","20.588","20.588","20.588","20.588","20.588","20.588","20.588","20.588","20.588","20.588","20.588","20.588","20.588","20.588","20.588","20.588","20.588","20.588","20.588","20.588","20.588","20.588","18.199","18.199","18.199","18.199","18.199","18.199","18.199","18.199","18.214","18.214","18.214","18.214","18.214","18.214","18.214","18.214","17.104","17.104","17.104","17.104","17.104","17.104","17.104","17.104","17.104","17.104"
"1959:Q1","101.1524","101.1524","101.1524","101.1524","101.1524","101.1524","101.1524","101.1524","101.1524","101.1524","101.1524","101.1524","101.1524","101.1524","101.1524","101.1524","101.1524","101.1524","101.1524","101.1524","101.1524","101.1524","101.1524","101.1524","101.1524","101.1524","101.1524","101.1524","101.1524","101.1524","101.1524","101.1524","101.1524","101.1524","101.1524","101.1524","101.1524","101.1524","101.1524","101.1524","101.1524","66.9762","66.9762","66.9762","66.9762","66.9762","66.9762","66.9762","66.9762","66.9762","66.9762","66.9762","66.9762","66.9762","66.9762","66.9762","66.9762","66.9762","66.9762","66.9762","66.9762","67.0415","67.0415","67.0415","67.0415","67.0415","67.0415","67.0415","67.0415","67.0415","67.0415","67.0415","67.0415","67.0415","67.0415","67.0415","67.0415","67.0415","67.0415","67.0415","67.0415","30.198","30.198","30.198","30.198","30.198","30.198","30.198","30.198","30.198","30.198","30.198","30.198","30.198","30.198","30.198","30.198","30.198","30.198","30.198","30.198","30.198","30.198","30.198","30.198","25.3181","25.3819","25.3819","25.3819","25.3819","25.3819","25.3819","25.3819","25.3819","25.3819","25.3819","25.3819","25.3819","25.3819","25.3819","25.3819","#N/A","#N/A","#N/A","#N/A","#N/A","22.86","22.86","22.86","22.86","22.86","22.86","22.86","22.86","22.86","22.86","21.97","21.97","21.79","21.79","21.79","21.79","21.79","21.79","21.79","21.79","21.79","21.79","21.79","21.79","21.79","21.79","21.79","20.68","20.68","20.68","20.68","20.68","20.68","20.68","20.68","20.68","20.68","20.68","20.68","20.68","20.68","20.68","20.68","20.68","20.68","20.68","20.68","20.68","20.68","18.267","18.267","18.267","18.267","18.267","18.267","18.267","18.267","18.283","18.283","18.283","18.283","18.283","18.283","18.283","18.283","17.189","17.189","17.189","17.189","17.189","17.189","17.189","17.189","17.189","17.189"
"1959:Q2","101.4586","101.4586","101.4586","101.4586","101.4586","101.4586","101.4586","101.4586","101.4586","101.4586","101.4586","101.4586","101.4586","101.4586","101.4586","101.4586","101.4586","101.4586","101.4586","101.4586","101.4586","101.4586","101.4586","101.4586","101.4586","101.4586","101.4586","101.4586","101.4586","101.4586","101.4586","101.4586","101.4586","101.4586","101.4586","101.4586","101.4586","101.4586","101.4586","101.4586","101.4586","67.4515","67.4515","67.4515","67.4515","67.4515","67.4515","67.4515","67.4515","67.4515","67.4515","67.4515","67.4515","67.4515","67.4515","67.4515","67.4515","67.4515","67.4515","67.4515","67.4515","67.5571","67.5571","67.5571","67.5571","67.5571","67.5571","67.5571","67.5571","67.5571","67.5571","67.5571","67.5571","67.5571","67.5571","67.5571","67.5571","67.5571","67.5571","67.5571","67.5571","30.4093","30.4093","30.4093","30.4093","30.4093","30.4093","30.4093","30.4093","30.4093","30.4093","30.4093","30.4093","30.4093","30.4093","30.4093","30.4093","30.4093","30.4093","30.4093","30.4093","30.4093","30.4093","30.4093","30.4093","25.5615","25.6103","25.6103","25.6103","25.6103","25.6103","25.6103","25.6103","25.6103","25.6103","25.6103","25.6103","25.6103","25.6103","25.6103","25.6103","#N/A","#N/A","#N/A","#N/A","#N/A","22.92","22.92","22.92","22.92","22.92","22.92","22.92","22.92","22.92","22.92","22.02","22.02","21.84","21.84","21.84","21.84","21.84","21.84","21.84","21.84","21.84","21.84","21.84","21.84","21.84","21.84","21.84","20.711","20.711","20.711","20.711","20.711","20.711","20.711","20.711","20.711","20.711","20.711","20.711","20.711","20.711","20.711","20.711","20.711","20.711","20.711","20.711","20.711","20.711","18.309","18.309","18.309","18.309","18.309","18.309","18.309","18.309","18.325","18.325","18.325","18.325","18.325","18.325","18.325","18.325","17.236","17.236","17.236","17.236","17.237","17.237","17.237","17.237","17.237","17.237"
"1959:Q3","101.8947","101.8947","101.8947","101.8947","101.8947","101.8947","101.8947","101.8947","101.8947","101.8947","101.8947","101.8947","101.8947","101.8947","101.8947","101.8947","101.8947","101.8947","101.8947","101.8947","101.8947","101.8947","101.8947","101.8947","101.8947","101.8947","101.8947","101.8947","101.8947","101.8947","101.8947","101.8947","101.8947","101.8947","101.8947","101.8947","101.8947","101.8947","101.8947","101.8947","101.8947","67.7011","67.7011","67.7011","67.7011","67.7011","67.7011","67.7011","67.7011","67.7011","67.7011","67.7011","67.7011","67.7011","67.7011","67.7011","67.7011","67.7011","67.7011","67.7011","67.7011","67.8037","67.8037","67.8037","67.8037","67.8037","67.8037","67.8037","67.8037","67.8037","67.8037","67.8037","67.8037","67.8037","67.8037","67.8037","67.8037","67.8037","67.8037","67.8037","67.8037","30.5615","30.5615","30.5615","30.5615","30.5615","30.5615","30.5615","30.5615","30.5615","30.5615","30.5615","30.5615","30.5615","30.5615","30.5615","30.5615","30.5615","30.5615","30.5615","30.5615","30.5615","30.5615","30.5615","30.5615","25.6976","25.7096","25.7096","25.7096","25.7096","25.7096","25.7096","25.7096","25.7096","25.7096","25.7096","25.7096","25.7096","25.7096","25.7096","25.7096","23.0","23.0","23.0","23.0","23.0","22.96","22.96","22.96","22.96","22.96","22.96","22.96","22.96","22.96","22.96","22.08","22.08","21.9","21.9","21.9","21.9","21.9","21.9","21.9","21.9","21.9","21.9","21.9","21.9","21.9","21.9","21.9","20.77","20.77","20.77","20.77","20.77","20.77","20.77","20.77","20.77","20.77","20.77","20.77","20.77","20.77","20.77","20.77","20.77","20.77","20.77","20.77","20.77","20.77","18.369","18.369","18.369","18.369","18.369","18.369","18.369","18.369","18.385","18.385","18.385","18.385","18.385","18.385","18.385","18.385","17.308","17.308","17.308","17.308","17.308","17.308","17.308","17.308","17.308","17.308"
"1959:Q4","102.1024","102.1024","102.1024","102.1024","102.1024","102.1024","102.1024","102.1024","102.1024","102.1024","102.1024","102.1024","102.1024","102.1024","102.1024","102.1024","102.1024","102.1024","102.1024","102.1024","102.1024","102.1024","102.1024","102.1024","102.1024","102.1024","102.1024","102.1024","102.1024","102.1024","102.1024","102.1024","102.1024","102.1024","102.1024","102.1024","102.1024","102.1024","102.1024","102.1024","102.1024","67.9565","67.9565","67.9565","67.9565","67.9565","67.9565","67.9565","67.9565","67.9565","67.9565","67.9565","67.9565","67.9565","67.9565","67.9565","67.9565","67.9565","67.9565","67.9565","67.9565","68.0038","68.0038","68.0038","68.0038","68.0038","68.0038","68.0038","68.0038","68.0038","68.0038","68.0038","68.0038","68.0038","68.0038","68.0038","68.0038","68.0038","68.0038","68.0038","68.0038","30.5708","30.5708","30.5708","30.5708","30.5708","30.5708","30.5708","30.5708","30.5708","30.5708","30.5708","30.5708","30.5708","30.5708","30.5708","30.5708","30.5708","30.5708","30.5708","30.5708","30.5708","30.5708","30.5708","30.5708","25.7631","25.7737","25.7737","25.7737","25.7737","25.7737","25.7737","25.7737","25.7737","25.7737","25.7737","25.7737","25.7737","25.7737","25.7737","25.7737","23.1","23.1","23.1","23.1","23.1","23.05","23.05","23.05","23.05","23.05","23.05","23.05","23.05","23.05","23.05","22.17","22.17","21.99","21.99","21.99","21.99","21.99","21.99","21.99","21.99","21.99","21.99","21.99","21.99","21.99","21.99","21.99","20.853","20.853","20.853","20.853","20.853","20.853","20.853","20.853","20.853","20.853","20.853","20.853","20.853","20.853","20.853","20.853","20.853","20.853","20.853","20.853","20.853","20.853","18.446","18.446","18.446","18.446","18.446","18.446","18.446","18.446","18.461","18.461","18.461","18.461","18.461","18.461","18.461","18.461","17.375","17.375","17.375","17.375","17.375","17.375","17.375","17.375","17.375","17.375"
"1960:Q1","102.6112","102.6112","102.6112","102.6112","102.6112","102.6112","102.6112","102.6112","102.6112","102.6112","102.6112","102.6112","102.6112","102.6112","102.6112","102.6112","102.6112","102.6112","102.6112","102.6112","102.6112","102.6112","102.6112","102.6112","102.6112","102.6112","102.6112","102.6112","102.6112","102.6112","102.6112","102.6112","102.6112","102.6112","102.6112","102.6112","102.6112","102.6112","102.6112","102.6112","102.6112","68.3948","68.3948","68.3948","68.3948","68.3948","68.3948","68.3948","68.3948","68.3948","68.3948","68.3948","68.3948","68.3948","68.3948","68.3948","68.3948","68.3948","68.3948","68.3948","68.3948","68.4353","68.4353","68.4353","68.4353","68.4353","68.4353","68.4353","68.4353","68.4353","68.4353","68.4353","68.4353","68.4353","68.4353","68.4353","68.4353","68.4353","68.4353","68.4353","68.4353","30.8746","30.8746","30.8746","30.8746","30.8746","30.8746","30.8746","30.8746","30.8746","30.8746","30.8746","30.8746","30.8746","30.8746","30.8746","30.8746","30.8746","30.8746","30.8746","30.8746","30.8746","30.8746","30.8746","30.8746","25.9885","26.0003","26.0003","26.0003","26.0003","26.0003","26.0003","26.0003","26.0003","26.0003","26.0003","26.0003","26.0003","26.0003","26.0003","26.0003","23.2","23.2","23.2","23.2","23.2","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","22.22","22.22","22.04","22.04","22.04","22.04","22.04","22.04","22.04","22.04","22.04","22.04","22.04","22.04","22.04","22.04","22.04","20.903","20.903","20.903","20.903","20.903","20.903","20.903","20.903","20.903","20.903","20.903","20.903","20.903","20.903","20.903","20.903","20.903","20.903","20.903","20.903","20.903","20.903","18.483","18.483","18.483","18.483","18.483","18.483","18.483","18.483","18.499","18.499","18.499","18.499","18.499","18.499","18.499","18.499","17.409","17.409","17.409","17.409","17.41","17.41","17.41","17.41","17.41","17.41"
"1960:Q2","103.0421","103.0421","103.0421","103.0631","103.0631","103.0631","103.0631","103.0631","103.0631","103.0631","103.0631","103.0631","103.0631","103.0631","103.0631","103.0631","103.0631","103.0631","103.0631","103.0631","103.0631","103.0631","103.0631","103.0631","103.0631","103.0631","103.0631","103.0631","103.0631","103.0631","103.0631","103.0631","103.0631","103.0631","103.0631","103.0631","103.0631","103.0631","103.0631","103.0631","103.0631","68.5478","68.5478","68.5478","68.5478","68.5478","68.5478","68.5478","68.5478","68.5478","68.5478","68.5478","68.5478","68.5478","68.5478","68.5478","68.5478","68.5478","68.5478","68.5478","68.5478","68.5672","68.5672","68.5672","68.5672","68.5672","68.5672","68.5672","68.5672","68.5672","68.5672","68.5672","68.5672","68.5672","68.5672","68.5672","68.5672","68.5672","68.5672","68.5672","68.5672","30.8675","30.8675","30.8675","30.8675","30.8675","30.8675","30.8675","30.8675","30.8675","30.8675","30.8675","30.8675","30.8675","30.8675","30.8675","30.8675","30.8675","30.8675","30.8675","30.8675","30.8675","30.8675","30.8675","30.8675","25.9894","26.0131","26.0131","26.0131","26.0131","26.0131","26.0131","26.0131","26.0131","26.0131","26.0131","26.0131","26.0131","26.0131","26.0131","26.0131","23.3","23.3","23.3","23.3","23.3","23.21","23.21","23.21","23.21","23.21","23.21","23.21","23.21","23.21","23.21","22.32","22.32","22.14","22.14","22.14","22.14","22.14","22.14","22.14","22.14","22.14","22.14","22.14","22.14","22.14","22.14","22.14","20.995","20.995","20.995","20.995","20.995","20.995","20.995","20.995","20.995","20.995","20.995","20.995","20.995","20.995","20.995","20.995","20.995","20.995","20.995","20.995","20.995","20.995","18.561","18.561","18.561","18.561","18.561","18.561","18.561","18.561","18.577","18.577","18.577","18.577","18.577","18.577","18.577","18.577","17.473","17.473","17.473","17.473","17.473","17.473","17.473","17.473","17.473","17.473"
"1960:Q3","103.4469","103.4469","103.4469","103.4681","103.4681","103.4681","103.4681","103.4681","103.4681","103.4681","103.4681","103.4681","103.4681","103.4681","103.4681","103.4681","103.4681","103.4681","103.4681","103.4681","103.4681","103.4681","103.4681","103.4681","103.4681","103.4681","103.4681","103.4681","103.4681","103.4681","103.4681","103.4681","103.4681","103.4681","103.4681","103.4681","103.4681","103.4681","103.4681","103.4681","103.4681","68.8052","68.8052","68.8052","68.8052","68.8052","68.8052","68.8052","68.8052","68.8052","68.8052","68.8052","68.8052","68.8052","68.8052","68.8052","68.8052","68.8052","68.8052","68.8052","68.8052","68.8627","68.8627","68.8627","68.8627","68.8627","68.8627","68.8627","68.8627","68.8627","68.8627","68.8627","68.8627","68.8627","68.8627","68.8627","68.8627","68.8627","68.8627","68.8627","68.8627","31.0297","31.0297","31.0297","31.0297","31.0297","31.0297","31.0297","31.0297","31.0297","31.0297","31.0297","31.0297","31.0297","31.0297","31.0297","31.0297","31.0297","31.0297","31.0297","31.0297","31.0297","31.0297","31.0297","31.0297","26.1006","26.1337","26.1337","26.1337","26.1337","26.1337","26.1337","26.1337","26.1337","26.1337","26.1337","26.1337","26.1337","26.1337","26.1337","26.1337","23.4","23.4","23.4","23.4","23.4","23.32","23.32","23.32","23.32","23.32","23.32","23.32","23.32","23.32","23.32","22.42","22.42","22.23","22.23","22.23","22.23","22.23","22.23","22.23","22.23","22.23","22.23","22.23","22.23","22.23","22.23","22.23","21.093","21.093","21.093","21.093","21.093","21.093","21.093","21.093","21.093","21.093","21.093","21.093","21.093","21.093","21.093","21.093","21.093","21.093","21.093","21.093","21.093","21.093","18.646","18.646","18.646","18.646","18.646","18.646","18.646","18.646","18.662","18.662","18.662","18.662","18.662","18.662","18.662","18.662","17.551","17.551","17.551","17.551","17.552","17.552","17.552","17.552","17.552","17.552"
"1960:Q4","104.0306","104.0306","104.0306","104.0521","104.0521","104.0521","104.0521","104.0521","104.0521","104.0521","104.0521","104.0521","104.0521","104.0521","104.0521","104.0521","104.0521","104.0521","104.0521","104.0521","104.0521","104.0521","104.0521","104.0521","104.0521","104.0521","104.0521","104.0521","104.0521","104.0521","104.0521","104.0521","104.0521","104.0521","104.0521","104.0521","104.0521","104.0521","104.0521","104.0521","104.0521","68.9438","68.9438","68.9438","68.9438","68.9438","68.9438","68.9438","68.9438","68.9438","68.9438","68.9438","68.9438","68.9438","68.9438","68.9438","68.9438","68.9438","68.9438","68.9438","68.9438","68.9523","68.9523","68.9523","68.9523","68.9523","68.9523","68.9523","68.9523","68.9523","68.9523","68.9523","68.9523","68.9523","68.9523","68.9523","68.9523","68.9523","68.9523","68.9523","68.9523","31.0138","31.0138","31.0138","31.0138","31.0138","31.0138","31.0138","31.0138","31.0138","31.0138","31.0138","31.0138","31.0138","31.0138","31.0138","31.0138","31.0138","31.0138","31.0138","31.0138","31.0138","31.0138","31.0138","31.0138","25.9936","26.0466","26.0466","26.0466","26.0466","26.0466","26.0466","26.0466","26.0466","26.0466","26.0466","26.0466","26.0466","26.0466","26.0466","26.0466","23.5","23.5","23.5","23.5","23.5","23.44","23.44","23.44","23.44","23.44","23.44","23.44","23.44","23.44","23.44","22.52","22.52","22.33","22.33","22.33","22.33","22.33","22.33","22.33","22.33","22.33","22.33","22.33","22.33","22.33","22.33","22.33","21.186","21.186","21.186","21.186","21.186","21.186","21.186","21.186","21.186","21.186","21.186","21.186","21.186","21.186","21.186","21.186","21.186","21.186","21.186","21.186","21.186","21.186","18.726","18.726","18.726","18.726","18.726","18.726","18.726","18.726","18.742","18.742","18.742","18.742","18.742","18.742","18.742","18.742","17.63","17.63","17.63","17.63","17.631","17.631","17.631","17.631","17.631","17.631"
"1961:Q1","104.3298","104.3298","104.3298","104.3514","104.3514","104.3514","104.3514","104.3514","104.3514","104.3514","104.3514","104.3514","104.3514","104.3514","104.3514","104.3514","104.3514","104.3514","104.3514","104.3514","104.3514","104.3514","104.3514","104.3514","104.3514","104.3514","104.3514","104.3514","104.3514","104.3514","104.3514","104.3514","104.3514","104.3514","104.3514","104.3514","104.3514","104.3514","104.3514","104.3514","104.3514","68.8433","68.8433","68.8433","68.8433","68.8433","68.8433","68.8433","68.8433","68.8433","68.8433","68.8433","68.8433","68.8433","68.8433","68.8433","68.8433","68.8433","68.8433","68.8433","68.8433","68.8898","68.8898","68.8898","68.8898","68.8898","68.8898","68.8898","68.8898","68.8898","68.8898","68.8898","68.8898","68.8898","68.8898","68.8898","68.8898","68.8898","68.8898","68.8898","68.8898","30.9579","30.9579","30.9579","30.9579","30.9579","30.9579","30.9579","30.9579","30.9579","30.9579","30.9579","30.9579","30.9579","30.9579","30.9579","30.9579","30.9579","30.9579","30.9579","30.9579","30.9579","30.9579","30.9579","30.9579","26.0191","26.0494","26.0494","26.0494","26.0494","26.0494","26.0494","26.0494","26.0494","26.0494","26.0494","26.0494","26.0494","26.0494","26.0494","26.0494","23.6","23.6","23.6","23.6","23.6","23.48","23.48","23.48","23.48","23.48","23.48","23.48","23.48","23.48","23.48","22.55","22.55","22.36","22.36","22.36","22.36","22.36","22.36","22.36","22.36","22.36","22.36","22.36","22.36","22.36","22.36","22.36","21.21","21.21","21.21","21.21","21.21","21.21","21.21","21.21","21.21","21.21","21.21","21.21","21.21","21.21","21.21","21.21","21.21","21.21","21.21","21.21","21.21","21.21","18.75","18.75","18.75","18.75","18.75","18.75","18.75","18.75","18.766","18.766","18.766","18.766","18.766","18.766","18.766","18.766","17.651","17.651","17.651","17.651","17.651","17.651","17.651","17.651","17.651","17.651"
"1961:Q2","104.4634","104.4634","104.4634","104.4846","104.4846","104.4846","104.4846","104.4846","104.4846","104.4846","104.4846","104.4846","104.4846","104.4846","104.4846","104.4846","104.4846","104.4846","104.4846","104.4846","104.4846","104.4846","104.4846","104.4846","104.4846","104.4846","104.4846","104.4846","104.4846","104.4846","104.4846","104.4846","104.4846","104.4846","104.4846","104.4846","104.4846","104.4846","104.4846","104.4846","104.4846","69.1856","69.1856","69.1856","69.1856","69.1856","69.1856","69.1856","69.1856","69.1856","69.1856","69.1856","69.1856","69.1856","69.1856","69.1856","69.1856","69.1856","69.1856","69.1856","69.1856","69.2174","69.2174","69.2174","69.2174","69.2174","69.2174","69.2174","69.2174","69.2174","69.2174","69.2174","69.2174","69.2174","69.2174","69.2174","69.2174","69.2174","69.2174","69.2174","69.2174","31.1979","31.1979","31.1979","31.1979","31.1979","31.1979","31.1979","31.1979","31.1979","31.1979","31.1979","31.1979","31.1979","31.1979","31.1979","31.1979","31.1979","31.1979","31.1979","31.1979","31.1979","31.1979","31.1979","31.1979","26.1798","26.2164","26.2164","26.2164","26.2164","26.2164","26.2164","26.2164","26.2164","26.2164","26.2164","26.2164","26.2164","26.2164","26.2164","26.2164","23.6","23.6","23.6","23.6","23.6","23.51","23.51","23.51","23.51","23.51","23.51","23.51","23.51","23.51","23.51","22.59","22.59","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","21.249","21.249","21.249","21.249","21.249","21.249","21.249","21.249","21.249","21.249","21.249","21.249","21.249","21.249","21.249","21.249","21.249","21.249","21.249","21.249","21.249","21.249","18.786","18.786","18.786","18.786","18.786","18.786","18.786","18.786","18.802","18.802","18.802","18.802","18.802","18.802","18.802","18.802","17.688","17.688","17.688","17.688","17.688","17.688","17.688","17.688","17.688","17.688"
"1961:Q3","104.5056","104.5056","104.5056","104.5264","104.5264","104.5264","104.5264","104.5264","104.5264","104.5264","104.5264","104.5264","104.5264","104.5264","104.5264","104.5264","104.5264","104.5264","104.5264","104.5264","104.5264","104.5264","104.5264","104.5264","104.5264","104.5264","104.5264","104.5264","104.5264","104.5264","104.5264","104.5264","104.5264","104.5264","104.5264","104.5264","104.5264","104.5264","104.5264","104.5264","104.5264","69.4873","69.4873","69.4873","69.4873","69.4873","69.4873","69.4873","69.4873","69.4873","69.4873","69.4873","69.4873","69.4873","69.4873","69.4873","69.4873","69.4873","69.4873","69.4873","69.4873","69.5366","69.5366","69.5366","69.5366","69.5366","69.5366","69.5366","69.5366","69.5366","69.5366","69.5366","69.5366","69.5366","69.5366","69.5366","69.5366","69.5366","69.5366","69.5366","69.5366","31.3756","31.3756","31.3756","31.3756","31.3756","31.3756","31.3756","31.3756","31.3756","31.3756","31.3756","31.3756","31.3756","31.3756","31.3756","31.3756","31.3756","31.3756","31.3756","31.3756","31.3756","31.3756","31.3756","31.3756","26.3491","26.366","26.366","26.366","26.366","26.366","26.366","26.366","26.366","26.366","26.366","26.366","26.366","26.366","26.366","26.366","23.6","23.6","23.6","23.6","23.6","23.55","23.55","23.55","23.55","23.55","23.55","23.55","23.55","23.55","23.55","22.64","22.64","22.45","22.45","22.45","22.45","22.45","22.45","22.45","22.45","22.45","22.45","22.45","22.45","22.45","22.45","22.45","21.305","21.305","21.305","21.305","21.305","21.305","21.305","21.305","21.305","21.305","21.305","21.305","21.305","21.305","21.305","21.305","21.305","21.305","21.305","21.305","21.305","21.305","18.835","18.835","18.835","18.835","18.835","18.835","18.835","18.835","18.851","18.851","18.851","18.851","18.851","18.851","18.851","18.851","17.727","17.727","17.727","17.727","17.727","17.727","17.727","17.727","17.727","17.727"
