"DATE","RGF00M1","RGF00M2","RGF00M3","RGF00M4","RGF00M5","RGF00M6","RGF00M7","RGF00M8","RGF00M9","RGF00M10","RGF00M11","RGF00M12","RGF01M1","RGF01M2","RGF01M3","RGF01M4","RGF01M5","RGF01M6","RGF01M7","RGF01M8","RGF01M9","RGF01M10","RGF01M11","RGF01M12","RGF02M1","RGF02M2","RGF02M3","RGF02M4","RGF02M5","RGF02M6","RGF02M7","RGF02M8","RGF02M9","RGF02M10","RGF02M11","RGF02M12","RGF03M1","RGF03M2","RGF03M3","RGF03M4","RGF03M5","RGF03M6","RGF03M7","RGF03M8","RGF03M9","RGF03M10","RGF03M11","RGF03M12","RGF04M1","RGF04M2","RGF04M3","RGF04M4","RGF04M5","RGF04M6","RGF04M7","RGF04M8","RGF04M9","RGF04M10","RGF04M11","RGF04M12","RGF05M1","RGF05M2","RGF05M3","RGF05M4","RGF05M5","RGF05M6","RGF05M7","RGF05M8","RGF05M9","RGF05M10","RGF05M11","RGF05M12","RGF06M1","RGF06M2","RGF06M3","RGF06M4","RGF06M5","RGF06M6","RGF06M7","RGF06M8","RGF06M9","RGF06M10","RGF06M11","RGF06M12","RGF07M1","RGF07M2","RGF07M3","RGF07M4","RGF07M5","RGF07M6","RGF07M7","RGF07M8","RGF07M9","RGF07M10","RGF07M11","RGF07M12","RGF08M1","RGF08M2","RGF08M3","RGF08M4","RGF08M5","RGF08M6","RGF08M7","RGF08M8","RGF08M9","RGF08M10","RGF08M11","RGF08M12","RGF09M1","RGF09M2","RGF09M3","RGF09M4","RGF09M5","RGF09M6","RGF09M7","RGF09M8","RGF09M9","RGF09M10","RGF09M11","RGF09M12"
"1947:Q1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","185.3","223.7","223.7","223.7","223.7","223.7"
"1947:Q2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","185.6","224.1","224.1","224.1","224.1","224.1"
"1947:Q3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","170.6","170.6","170.6","170.6","170.6","170.6","170.6","170.6","170.6","170.6","170.6","170.6","170.6","170.6","170.6","170.6","170.6","170.6","170.6","170.6","170.6","170.6","170.6","170.6","170.6","170.6","170.6","170.6","170.6","170.6","170.6","170.6","170.6","170.6","170.6","170.6","170.6","170.6","170.6","170.6","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","224.3","224.3","224.3","224.3","224.3"
"1947:Q4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","164.6","164.6","164.6","164.6","164.6","164.6","164.6","164.6","164.6","164.6","164.6","164.6","164.6","164.6","164.6","164.6","164.6","164.6","164.6","164.6","164.6","164.6","164.6","164.6","164.6","164.6","164.6","164.6","164.6","164.6","164.6","164.6","164.6","164.6","164.6","164.6","164.6","164.6","164.6","164.6","179.2","179.2","179.2","179.2","179.2","179.2","179.2","179.2","179.2","179.2","179.2","179.2","179.2","179.2","179.2","179.2","179.2","179.2","179.2","179.2","179.2","179.2","179.2","179.2","179.2","179.2","179.2","179.2","179.2","179.2","179.2","179.2","179.2","179.2","179.2","179.2","179.2","179.2","179.2","179.2","179.2","179.2","179.2","179.2","179.2","179.2","179.2","179.2","179.2","179.2","179.2","179.2","179.2","179.2","179.2","179.2","179.2","179.2","179.2","179.2","179.2","179.2","179.2","179.2","179.2","179.2","179.2","179.2","216.4","216.4","216.4","216.4","216.4"
"1948:Q1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","170.4","170.4","170.4","170.4","170.4","170.4","170.4","170.4","170.4","170.4","170.4","170.4","170.4","170.4","170.4","170.4","170.4","170.4","170.4","170.4","170.4","170.4","170.4","170.4","170.4","170.4","170.4","170.4","170.4","170.4","170.4","170.4","170.4","170.4","170.4","170.4","170.4","170.4","170.4","170.4","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","223.8","223.8","223.8","223.8","223.8"
"1948:Q2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","237.4","237.4","237.4","237.4","237.4"
"1948:Q3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","184.0","184.0","184.0","184.0","184.0","184.0","184.0","184.0","184.0","184.0","184.0","184.0","184.0","184.0","184.0","184.0","184.0","184.0","184.0","184.0","184.0","184.0","184.0","184.0","184.0","184.0","184.0","184.0","184.0","184.0","184.0","184.0","184.0","184.0","184.0","184.0","184.0","184.0","184.0","184.0","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","200.5","242.2","242.2","242.2","242.2","242.2"
"1948:Q4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","211.5","255.4","255.4","255.4","255.4","255.4"
"1949:Q1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","215.6","215.6","215.6","215.6","215.6","215.6","215.6","215.6","215.6","215.6","215.6","215.6","215.6","215.6","215.6","215.6","215.6","215.6","215.6","215.6","215.6","215.6","215.6","215.6","215.6","215.6","215.6","215.6","215.6","215.6","215.6","215.6","215.6","215.6","215.6","215.6","215.6","215.6","215.6","215.6","215.6","215.6","215.6","215.6","215.6","215.6","215.6","215.6","215.6","215.6","215.6","215.6","215.6","215.6","215.6","215.6","215.6","215.6","215.6","215.6","215.6","215.6","215.6","215.6","215.6","215.6","215.6","215.6","260.6","260.6","260.6","260.6","260.6"
"1949:Q2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","204.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","270.4","270.4","270.4","270.4","270.4"
