"DATE","RCONS70M1","RCONS70M2","RCONS70M3","RCONS70M4","RCONS70M5","RCONS70M6","RCONS70M7","RCONS70M8","RCONS70M9","RCONS70M10","RCONS70M11","RCONS70M12","RCONS71M1","RCONS71M2","RCONS71M3","RCONS71M4","RCONS71M5","RCONS71M6","RCONS71M7","RCONS71M8","RCONS71M9","RCONS71M10","RCONS71M11","RCONS71M12","RCONS72M1","RCONS72M2","RCONS72M3","RCONS72M4","RCONS72M5","RCONS72M6","RCONS72M7","RCONS72M8","RCONS72M9","RCONS72M10","RCONS72M11","RCONS72M12","RCONS73M1","RCONS73M2","RCONS73M3","RCONS73M4","RCONS73M5","RCONS73M6","RCONS73M7","RCONS73M8","RCONS73M9","RCONS73M10","RCONS73M11","RCONS73M12","RCONS74M1","RCONS74M2","RCONS74M3","RCONS74M4","RCONS74M5","RCONS74M6","RCONS74M7","RCONS74M8","RCONS74M9","RCONS74M10","RCONS74M11","RCONS74M12","RCONS75M1","RCONS75M2","RCONS75M3","RCONS75M4","RCONS75M5","RCONS75M6","RCONS75M7","RCONS75M8","RCONS75M9","RCONS75M10","RCONS75M11","RCONS75M12","RCONS76M1","RCONS76M2","RCONS76M3","RCONS76M4","RCONS76M5","RCONS76M6","RCONS76M7","RCONS76M8","RCONS76M9","RCONS76M10","RCONS76M11","RCONS76M12","RCONS77M1","RCONS77M2","RCONS77M3","RCONS77M4","RCONS77M5","RCONS77M6","RCONS77M7","RCONS77M8","RCONS77M9","RCONS77M10","RCONS77M11","RCONS77M12","RCONS78M1","RCONS78M2","RCONS78M3","RCONS78M4","RCONS78M5","RCONS78M6","RCONS78M7","RCONS78M8","RCONS78M9","RCONS78M10","RCONS78M11","RCONS78M12","RCONS79M1","RCONS79M2","RCONS79M3","RCONS79M4","RCONS79M5","RCONS79M6","RCONS79M7","RCONS79M8","RCONS79M9","RCONS79M10","RCONS79M11","RCONS79M12"
"1947:Q1","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","72.8","120.3","120.3","120.3","120.3","120.3","120.3","120.3","120.3","120.3","120.3","120.3","120.3","120.3","120.3","120.3","120.3","120.3","120.3","120.3","120.3","120.3","120.3","120.3","120.3","120.3","120.3","120.3","120.3","120.3","120.3","120.3","120.3","120.3","120.3","120.3","120.3","120.3","120.3","120.3","120.3","120.3","120.3","120.3","120.3","120.3","120.3","120.3"
"1947:Q2","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","73.7","121.6","121.6","121.6","121.6","121.6","121.6","121.6","121.6","121.6","121.6","121.6","121.6","121.6","121.6","121.6","121.6","121.6","121.6","121.6","121.6","121.6","121.6","121.6","121.6","121.6","121.6","121.6","121.6","121.6","121.6","121.6","121.6","121.6","121.6","121.6","121.6","121.6","121.6","121.6","121.6","121.6","121.6","121.6","121.6","121.6","121.6","121.6"
"1947:Q3","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","73.6","121.0","121.0","121.0","121.0","121.0","121.0","121.0","121.0","121.0","121.0","121.0","121.0","121.0","121.0","121.0","121.0","121.0","121.0","121.0","121.0","121.0","121.0","121.0","121.0","121.0","121.0","121.0","121.0","121.0","121.0","121.0","121.0","121.0","121.0","121.0","121.0","121.0","121.0","121.0","121.0","121.0","121.0","121.0","121.0","121.0","121.0","121.0"
"1947:Q4","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","73.3","120.4","120.4","120.4","120.4","120.4","120.4","120.4","120.4","120.4","120.4","120.4","120.4","120.4","120.4","120.4","120.4","120.4","120.4","120.4","120.4","120.4","120.4","120.4","120.4","120.4","120.4","120.4","120.4","120.4","120.4","120.4","120.4","120.4","120.4","120.4","120.4","120.4","120.4","120.4","120.4","120.4","120.4","120.4","120.4","120.4","120.4","120.4"
"1948:Q1","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","122.6","122.6","122.6","122.6","122.6","122.6","122.6","122.6","122.6","122.6","122.6","122.6","122.6","122.6","122.6","122.6","122.6","122.6","122.6","122.6","122.6","122.6","122.6","122.6","122.6","122.6","122.6","122.6","122.6","122.6","122.6","122.6","122.6","122.6","122.6","122.6","122.6","122.6","122.6","122.6","122.6","122.6","122.6","122.6","122.6","122.6","122.6"
"1948:Q2","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","124.2","124.2","124.2","124.2","124.2","124.2","124.2","124.2","124.2","124.2","124.2","124.2","124.2","124.2","124.2","124.2","124.2","124.2","124.2","124.2","124.2","124.2","124.2","124.2","124.2","124.2","124.2","124.2","124.2","124.2","124.2","124.2","124.2","124.2","124.2","124.2","124.2","124.2","124.2","124.2","124.2","124.2","124.2","124.2","124.2","124.2","124.2"
"1948:Q3","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","125.5","125.5","125.5","125.5","125.5","125.5","125.5","125.5","125.5","125.5","125.5","125.5","125.5","125.5","125.5","125.5","125.5","125.5","125.5","125.5","125.5","125.5","125.5","125.5","125.5","125.5","125.5","125.5","125.5","125.5","125.5","125.5","125.5","125.5","125.5","125.5","125.5","125.5","125.5","125.5","125.5","125.5","125.5","125.5","125.5","125.5","125.5"
"1948:Q4","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","126.2","126.2","126.2","126.2","126.2","126.2","126.2","126.2","126.2","126.2","126.2","126.2","126.2","126.2","126.2","126.2","126.2","126.2","126.2","126.2","126.2","126.2","126.2","126.2","126.2","126.2","126.2","126.2","126.2","126.2","126.2","126.2","126.2","126.2","126.2","126.2","126.2","126.2","126.2","126.2","126.2","126.2","126.2","126.2","126.2","126.2","126.2"
"1949:Q1","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","126.3","126.3","126.3","126.3","126.3","126.3","126.3","126.3","126.3","126.3","126.3","126.3","126.3","126.3","126.3","126.3","126.3","126.3","126.3","126.3","126.3","126.3","126.3","126.3","126.3","126.3","126.3","126.3","126.3","126.3","126.3","126.3","126.3","126.3","126.3","126.3","126.3","126.3","126.3","126.3","126.3","126.3","126.3","126.3","126.3","126.3","126.3"
"1949:Q2","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","77.7","126.8","126.8","126.8","126.8","126.8","126.8","126.8","126.8","126.8","126.8","126.8","126.8","126.8","126.8","126.8","126.8","126.8","126.8","126.8","126.8","126.8","126.8","126.8","126.8","126.8","126.8","126.8","126.8","126.8","126.8","126.8","126.8","126.8","126.8","126.8","126.8","126.8","126.8","126.8","126.8","126.8","126.8","126.8","126.8","126.8","126.8","126.8"
