"DATE","RCONM98M11","RCONM98M12","RCONM99M1","RCONM99M2","RCONM99M3","RCONM99M4","RCONM99M5","RCONM99M6","RCONM99M7","RCONM99M8","RCONM99M9","RCONM99M10","RCONM99M11","RCONM99M12","RCONM00M1","RCONM00M2","RCONM00M3","RCONM00M4","RCONM00M5","RCONM00M6","RCONM00M7","RCONM00M8","RCONM00M9","RCONM00M10","RCONM00M11","RCONM00M12","RCONM01M1","RCONM01M2","RCONM01M3","RCONM01M4","RCONM01M5","RCONM01M6","RCONM01M7","RCONM01M8","RCONM01M9","RCONM01M10","RCONM01M11","RCONM01M12","RCONM02M1","RCONM02M2","RCONM02M3","RCONM02M4","RCONM02M5","RCONM02M6","RCONM02M7","RCONM02M8","RCONM02M9","RCONM02M10","RCONM02M11","RCONM02M12","RCONM03M1","RCONM03M2","RCONM03M3","RCONM03M4","RCONM03M5","RCONM03M6","RCONM03M7","RCONM03M8","RCONM03M9","RCONM03M10","RCONM03M11","RCONM03M12","RCONM04M1","RCONM04M2","RCONM04M3","RCONM04M4","RCONM04M5","RCONM04M6","RCONM04M7","RCONM04M8","RCONM04M9","RCONM04M10","RCONM04M11","RCONM04M12","RCONM05M1","RCONM05M2","RCONM05M3","RCONM05M4","RCONM05M5","RCONM05M6","RCONM05M7","RCONM05M8","RCONM05M9","RCONM05M10","RCONM05M11","RCONM05M12","RCONM06M1","RCONM06M2","RCONM06M3","RCONM06M4","RCONM06M5","RCONM06M6","RCONM06M7","RCONM06M8","RCONM06M9","RCONM06M10","RCONM06M11","RCONM06M12","RCONM07M1","RCONM07M2","RCONM07M3","RCONM07M4","RCONM07M5","RCONM07M6","RCONM07M7","RCONM07M8","RCONM07M9","RCONM07M10","RCONM07M11","RCONM07M12","RCONM08M1","RCONM08M2","RCONM08M3","RCONM08M4","RCONM08M5","RCONM08M6","RCONM08M7","RCONM08M8","RCONM08M9","RCONM08M10","RCONM08M11","RCONM08M12","RCONM09M1","RCONM09M2","RCONM09M3","RCONM09M4","RCONM09M5","RCONM09M6","RCONM09M7","RCONM09M8","RCONM09M9","RCONM09M10","RCONM09M11","RCONM09M12","RCONM10M1","RCONM10M2","RCONM10M3","RCONM10M4","RCONM10M5","RCONM10M6","RCONM10M7","RCONM10M8","RCONM10M9","RCONM10M10","RCONM10M11","RCONM10M12","RCONM11M1","RCONM11M2","RCONM11M3","RCONM11M4","RCONM11M5","RCONM11M6","RCONM11M7","RCONM11M8","RCONM11M9","RCONM11M10","RCONM11M11","RCONM11M12","RCONM12M1","RCONM12M2","RCONM12M3","RCONM12M4","RCONM12M5","RCONM12M6","RCONM12M7","RCONM12M8","RCONM12M9","RCONM12M10","RCONM12M11","RCONM12M12","RCONM13M1","RCONM13M2","RCONM13M3","RCONM13M4","RCONM13M5","RCONM13M6","RCONM13M7","RCONM13M8","RCONM13M9","RCONM13M10","RCONM13M11","RCONM13M12","RCONM14M1","RCONM14M2","RCONM14M3","RCONM14M4","RCONM14M5","RCONM14M6","RCONM14M7","RCONM14M8","RCONM14M9","RCONM14M10","RCONM14M11","RCONM14M12","RCONM15M1","RCONM15M2","RCONM15M3","RCONM15M4","RCONM15M5","RCONM15M6","RCONM15M7","RCONM15M8","RCONM15M9","RCONM15M10","RCONM15M11"
"1965:09","1830.421","1830.421","1830.421","1830.421","1830.421","1830.421","1830.421","1830.421","1830.421","1830.421","1830.421","1830.421","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","2043.4","2043.4","2043.4","2043.4","2043.4","2043.4","2043.4","2043.4","2043.4","2043.4","2043.4","2043.4","2043.4","2043.4","2043.4","2043.4","2043.4","2043.4","2043.4","2043.4","2043.4","2043.4","2043.4","2043.4","2043.4","2043.4","2043.4","2043.4","2043.4","2043.4","2043.4","2043.4","2043.4","2043.4","2043.4","2043.4","2043.4","2043.4","2043.4","2043.4","2043.4","2043.4","2043.4","2043.4","2043.4","2043.4","2043.4","2043.4","2043.4","2043.4","2043.4","2043.4","2043.4","2043.4","2043.4","2043.4","2043.4","2043.4","2043.4","2043.4","2043.4","2043.4","2043.4","2043.4","2043.4","2043.4","2279.867","2279.867","2279.867","2279.867","2279.867","2279.867","2279.867","2279.867","2279.867","2279.867","2279.867","2279.867","2279.867","2279.867","2279.867","2279.867","2279.867","2279.867","2279.867","2279.867","2279.867","2279.867","2279.867","2279.867","2280.465","2280.465","2280.465","2280.465","2280.465","2280.465","2280.465","2280.465","2280.465","2280.465","2280.465","2280.465","2280.465","2280.465","2280.465","2280.465","2280.465","2280.465","2280.465","2280.465","2280.465","2280.465","2280.465","2280.465","2418.213","2418.213","2418.213","2418.213","2418.213","2418.213","2418.213","2418.213","2418.213","2418.213","2418.213","2418.213","2418.218","2418.218","2418.218","2418.218","2418.218","2418.218","2418.218","2418.218","2418.218","2418.218","2418.218","2418.218","2418.218","2418.218","2418.218","2418.218"
"1965:10","1857.048","1857.048","1857.048","1857.048","1857.048","1857.048","1857.048","1857.048","1857.048","1857.048","1857.048","1857.048","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","2071.8","2071.8","2071.8","2071.8","2071.8","2071.8","2071.8","2071.8","2071.8","2071.8","2071.8","2071.8","2071.8","2071.8","2071.8","2071.8","2071.8","2071.8","2071.8","2071.8","2071.8","2071.8","2071.8","2071.8","2071.8","2071.8","2071.8","2071.8","2071.8","2071.8","2071.8","2071.8","2071.8","2071.8","2071.8","2071.8","2071.8","2071.8","2071.8","2071.8","2071.8","2071.8","2071.8","2071.8","2071.8","2071.8","2071.8","2071.8","2071.8","2071.8","2071.8","2071.8","2071.8","2071.8","2071.8","2071.8","2071.8","2071.8","2071.8","2071.8","2071.8","2071.8","2071.8","2071.8","2071.8","2071.8","2311.676","2311.676","2311.676","2311.676","2311.676","2311.676","2311.676","2311.676","2311.676","2311.676","2311.676","2311.676","2311.676","2311.676","2311.676","2311.676","2311.676","2311.676","2311.676","2311.676","2311.676","2311.676","2311.676","2311.676","2312.246","2312.246","2312.246","2312.246","2312.246","2312.246","2312.246","2312.246","2312.246","2312.246","2312.246","2312.246","2312.246","2312.246","2312.246","2312.246","2312.246","2312.246","2312.246","2312.246","2312.246","2312.246","2312.246","2312.246","2451.974","2451.974","2451.974","2451.974","2451.974","2451.974","2451.974","2451.974","2451.974","2451.974","2451.974","2451.974","2451.895","2451.895","2451.895","2451.895","2451.895","2451.895","2451.895","2451.895","2451.895","2451.895","2451.895","2451.895","2451.895","2451.895","2451.895","2451.895"
"1965:11","1856.415","1856.415","1856.415","1856.415","1856.415","1856.415","1856.415","1856.415","1856.415","1856.415","1856.415","1856.415","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","2071.1","2071.1","2071.1","2071.1","2071.1","2071.1","2071.1","2071.1","2071.1","2071.1","2071.1","2071.1","2071.1","2071.1","2071.1","2071.1","2071.1","2071.1","2071.1","2071.1","2071.1","2071.1","2071.1","2071.1","2071.1","2071.1","2071.1","2071.1","2071.1","2071.1","2071.1","2071.1","2071.1","2071.1","2071.1","2071.1","2071.1","2071.1","2071.1","2071.1","2071.1","2071.1","2071.1","2071.1","2071.1","2071.1","2071.1","2071.1","2071.1","2071.1","2071.1","2071.1","2071.1","2071.1","2071.1","2071.1","2071.1","2071.1","2071.1","2071.1","2071.1","2071.1","2071.1","2071.1","2071.1","2071.1","2310.661","2310.661","2310.661","2310.661","2310.661","2310.661","2310.661","2310.661","2310.661","2310.661","2310.661","2310.661","2310.661","2310.661","2310.661","2310.661","2310.661","2310.661","2310.661","2310.661","2310.661","2310.661","2310.661","2310.661","2311.366","2311.366","2311.366","2311.366","2311.366","2311.366","2311.366","2311.366","2311.366","2311.366","2311.366","2311.366","2311.366","2311.366","2311.366","2311.366","2311.366","2311.366","2311.366","2311.366","2311.366","2311.366","2311.366","2311.366","2450.99","2450.99","2450.99","2450.99","2450.99","2450.99","2450.99","2450.99","2450.99","2450.99","2450.99","2450.99","2450.91","2450.91","2450.91","2450.91","2450.91","2450.91","2450.91","2450.91","2450.91","2450.91","2450.91","2450.91","2450.91","2450.91","2450.91","2450.91"
"1965:12","1860.592","1860.592","1860.592","1860.592","1860.592","1860.592","1860.592","1860.592","1860.592","1860.592","1860.592","1860.592","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","2075.2","2075.2","2075.2","2075.2","2075.2","2075.2","2075.2","2075.2","2075.2","2075.2","2075.2","2075.2","2075.2","2075.2","2075.2","2075.2","2075.2","2075.2","2075.2","2075.2","2075.2","2075.2","2075.2","2075.2","2075.2","2075.2","2075.2","2075.2","2075.2","2075.2","2075.2","2075.2","2075.2","2075.2","2075.2","2075.2","2075.2","2075.2","2075.2","2075.2","2075.2","2075.2","2075.2","2075.2","2075.2","2075.2","2075.2","2075.2","2075.2","2075.2","2075.2","2075.2","2075.2","2075.2","2075.2","2075.2","2075.2","2075.2","2075.2","2075.2","2075.2","2075.2","2075.2","2075.2","2075.2","2075.2","2315.504","2315.504","2315.504","2315.504","2315.504","2315.504","2315.504","2315.504","2315.504","2315.504","2315.504","2315.504","2315.504","2315.504","2315.504","2315.504","2315.504","2315.504","2315.504","2315.504","2315.504","2315.504","2315.504","2315.504","2316.12","2316.12","2316.12","2316.12","2316.12","2316.12","2316.12","2316.12","2316.12","2316.12","2316.12","2316.12","2316.12","2316.12","2316.12","2316.12","2316.12","2316.12","2316.12","2316.12","2316.12","2316.12","2316.12","2316.12","2456.01","2456.01","2456.01","2456.01","2456.01","2456.01","2456.01","2456.01","2456.01","2456.01","2456.01","2456.01","2456.031","2456.031","2456.031","2456.031","2456.031","2456.031","2456.031","2456.031","2456.031","2456.031","2456.031","2456.031","2456.031","2456.031","2456.031","2456.031"
"1966:01","1872.45","1872.45","1872.45","1872.45","1872.45","1872.45","1872.45","1872.45","1872.45","1872.45","1872.45","1872.45","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","2088.5","2088.5","2088.5","2088.5","2088.5","2088.5","2088.5","2088.5","2088.5","2088.5","2088.5","2088.5","2088.5","2088.5","2088.5","2088.5","2088.5","2088.5","2088.5","2088.5","2088.5","2088.5","2088.5","2088.5","2088.5","2088.5","2088.5","2088.5","2088.5","2088.5","2088.5","2088.5","2088.5","2088.5","2088.5","2088.5","2088.5","2088.5","2088.5","2088.5","2088.5","2088.5","2088.5","2088.5","2088.5","2088.5","2088.5","2088.5","2088.5","2088.5","2088.5","2088.5","2088.5","2088.5","2088.5","2088.5","2088.5","2088.5","2088.5","2088.5","2088.5","2088.5","2088.5","2088.5","2088.5","2088.5","2330.215","2330.215","2330.215","2330.215","2330.215","2330.215","2330.215","2330.215","2330.215","2330.215","2330.215","2330.215","2330.215","2330.215","2330.215","2330.215","2330.215","2330.215","2330.215","2330.215","2330.215","2330.215","2330.215","2330.215","2330.91","2330.91","2330.91","2330.91","2330.91","2330.91","2330.91","2330.91","2330.91","2330.91","2330.91","2330.91","2330.91","2330.91","2330.91","2330.91","2330.91","2330.91","2330.91","2330.91","2330.91","2330.91","2330.91","2330.91","2471.66","2471.66","2471.66","2471.66","2471.66","2471.66","2471.66","2471.66","2471.66","2471.66","2471.66","2471.66","2471.589","2471.589","2471.589","2471.589","2471.589","2471.589","2471.589","2471.589","2471.589","2471.589","2471.589","2471.589","2471.589","2471.589","2471.589","2471.589"
"1966:02","1884.941","1884.941","1884.941","1884.941","1884.941","1884.941","1884.941","1884.941","1884.941","1884.941","1884.941","1884.941","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","2102.4","2102.4","2102.4","2102.4","2102.4","2102.4","2102.4","2102.4","2102.4","2102.4","2102.4","2102.4","2102.4","2102.4","2102.4","2102.4","2102.4","2102.4","2102.4","2102.4","2102.4","2102.4","2102.4","2102.4","2102.4","2102.4","2102.4","2102.4","2102.4","2102.4","2102.4","2102.4","2102.4","2102.4","2102.4","2102.4","2102.4","2102.4","2102.4","2102.4","2102.4","2102.4","2102.4","2102.4","2102.4","2102.4","2102.4","2102.4","2102.4","2102.4","2102.4","2102.4","2102.4","2102.4","2102.4","2102.4","2102.4","2102.4","2102.4","2102.4","2102.4","2102.4","2102.4","2102.4","2102.4","2102.4","2345.86","2345.86","2345.86","2345.86","2345.86","2345.86","2345.86","2345.86","2345.86","2345.86","2345.86","2345.86","2345.86","2345.86","2345.86","2345.86","2345.86","2345.86","2345.86","2345.86","2345.86","2345.86","2345.86","2345.86","2346.492","2346.492","2346.492","2346.492","2346.492","2346.492","2346.492","2346.492","2346.492","2346.492","2346.492","2346.492","2346.492","2346.492","2346.492","2346.492","2346.492","2346.492","2346.492","2346.492","2346.492","2346.492","2346.492","2346.492","2488.196","2488.196","2488.196","2488.196","2488.196","2488.196","2488.196","2488.196","2488.196","2488.196","2488.196","2488.196","2488.132","2488.132","2488.132","2488.132","2488.132","2488.132","2488.132","2488.132","2488.132","2488.132","2488.132","2488.132","2488.132","2488.132","2488.132","2488.132"
"1966:03","1899.33","1899.33","1899.33","1899.33","1899.33","1899.33","1899.33","1899.33","1899.33","1899.33","1899.33","1899.33","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","2118.7","2118.7","2118.7","2118.7","2118.7","2118.7","2118.7","2118.7","2118.7","2118.7","2118.7","2118.7","2118.7","2118.7","2118.7","2118.7","2118.7","2118.7","2118.7","2118.7","2118.7","2118.7","2118.7","2118.7","2118.7","2118.7","2118.7","2118.7","2118.7","2118.7","2118.7","2118.7","2118.7","2118.7","2118.7","2118.7","2118.7","2118.7","2118.7","2118.7","2118.7","2118.7","2118.7","2118.7","2118.7","2118.7","2118.7","2118.7","2118.7","2118.7","2118.7","2118.7","2118.7","2118.7","2118.7","2118.7","2118.7","2118.7","2118.7","2118.7","2118.7","2118.7","2118.7","2118.7","2118.7","2118.7","2364.132","2364.132","2364.132","2364.132","2364.132","2364.132","2364.132","2364.132","2364.132","2364.132","2364.132","2364.132","2364.132","2364.132","2364.132","2364.132","2364.132","2364.132","2364.132","2364.132","2364.132","2364.132","2364.132","2364.132","2364.715","2364.715","2364.715","2364.715","2364.715","2364.715","2364.715","2364.715","2364.715","2364.715","2364.715","2364.715","2364.715","2364.715","2364.715","2364.715","2364.715","2364.715","2364.715","2364.715","2364.715","2364.715","2364.715","2364.715","2507.488","2507.488","2507.488","2507.488","2507.488","2507.488","2507.488","2507.488","2507.488","2507.488","2507.488","2507.488","2507.432","2507.432","2507.432","2507.432","2507.432","2507.432","2507.432","2507.432","2507.432","2507.432","2507.432","2507.432","2507.432","2507.432","2507.432","2507.432"
"1966:04","1901.06","1901.06","1901.06","1901.06","1901.06","1901.06","1901.06","1901.06","1901.06","1901.06","1901.06","1901.06","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","2120.2","2120.2","2120.2","2120.2","2120.2","2120.2","2120.2","2120.2","2120.2","2120.2","2120.2","2120.2","2120.2","2120.2","2120.2","2120.2","2120.2","2120.2","2120.2","2120.2","2120.2","2120.2","2120.2","2120.2","2120.2","2120.2","2120.2","2120.2","2120.2","2120.2","2120.2","2120.2","2120.2","2120.2","2120.2","2120.2","2120.2","2120.2","2120.2","2120.2","2120.2","2120.2","2120.2","2120.2","2120.2","2120.2","2120.2","2120.2","2120.2","2120.2","2120.2","2120.2","2120.2","2120.2","2120.2","2120.2","2120.2","2120.2","2120.2","2120.2","2120.2","2120.2","2120.2","2120.2","2120.2","2120.2","2365.391","2365.391","2365.391","2365.391","2365.391","2365.391","2365.391","2365.391","2365.391","2365.391","2365.391","2365.391","2365.391","2365.391","2365.391","2365.391","2365.391","2365.391","2365.391","2365.391","2365.391","2365.391","2365.391","2365.391","2366.036","2366.036","2366.036","2366.036","2366.036","2366.036","2366.036","2366.036","2366.036","2366.036","2366.036","2366.036","2366.036","2366.036","2366.036","2366.036","2366.036","2366.036","2366.036","2366.036","2366.036","2366.036","2366.036","2366.036","2508.768","2508.768","2508.768","2508.768","2508.768","2508.768","2508.768","2508.768","2508.768","2508.768","2508.768","2508.768","2508.712","2508.712","2508.712","2508.712","2508.712","2508.712","2508.712","2508.712","2508.712","2508.712","2508.712","2508.712","2508.712","2508.712","2508.712","2508.712"
"1966:05","1883.168","1883.168","1883.168","1883.168","1883.168","1883.168","1883.168","1883.168","1883.168","1883.168","1883.168","1883.168","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","2100.6","2100.6","2100.6","2100.6","2100.6","2100.6","2100.6","2100.6","2100.6","2100.6","2100.6","2100.6","2100.6","2100.6","2100.6","2100.6","2100.6","2100.6","2100.6","2100.6","2100.6","2100.6","2100.6","2100.6","2100.6","2100.6","2100.6","2100.6","2100.6","2100.6","2100.6","2100.6","2100.6","2100.6","2100.6","2100.6","2100.6","2100.6","2100.6","2100.6","2100.6","2100.6","2100.6","2100.6","2100.6","2100.6","2100.6","2100.6","2100.6","2100.6","2100.6","2100.6","2100.6","2100.6","2100.6","2100.6","2100.6","2100.6","2100.6","2100.6","2100.6","2100.6","2100.6","2100.6","2100.6","2100.6","2343.504","2343.504","2343.504","2343.504","2343.504","2343.504","2343.504","2343.504","2343.504","2343.504","2343.504","2343.504","2343.504","2343.504","2343.504","2343.504","2343.504","2343.504","2343.504","2343.504","2343.504","2343.504","2343.504","2343.504","2344.027","2344.027","2344.027","2344.027","2344.027","2344.027","2344.027","2344.027","2344.027","2344.027","2344.027","2344.027","2344.027","2344.027","2344.027","2344.027","2344.027","2344.027","2344.027","2344.027","2344.027","2344.027","2344.027","2344.027","2485.44","2485.44","2485.44","2485.44","2485.44","2485.44","2485.44","2485.44","2485.44","2485.44","2485.44","2485.44","2485.375","2485.375","2485.375","2485.375","2485.375","2485.375","2485.375","2485.375","2485.375","2485.375","2485.375","2485.375","2485.375","2485.375","2485.375","2485.375"
"1966:06","1888.57","1888.57","1888.57","1888.57","1888.57","1888.57","1888.57","1888.57","1888.57","1888.57","1888.57","1888.57","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","2106.3","2106.3","2106.3","2106.3","2106.3","2106.3","2106.3","2106.3","2106.3","2106.3","2106.3","2106.3","2106.3","2106.3","2106.3","2106.3","2106.3","2106.3","2106.3","2106.3","2106.3","2106.3","2106.3","2106.3","2106.3","2106.3","2106.3","2106.3","2106.3","2106.3","2106.3","2106.3","2106.3","2106.3","2106.3","2106.3","2106.3","2106.3","2106.3","2106.3","2106.3","2106.3","2106.3","2106.3","2106.3","2106.3","2106.3","2106.3","2106.3","2106.3","2106.3","2106.3","2106.3","2106.3","2106.3","2106.3","2106.3","2106.3","2106.3","2106.3","2106.3","2106.3","2106.3","2106.3","2106.3","2106.3","2349.677","2349.677","2349.677","2349.677","2349.677","2349.677","2349.677","2349.677","2349.677","2349.677","2349.677","2349.677","2349.677","2349.677","2349.677","2349.677","2349.677","2349.677","2349.677","2349.677","2349.677","2349.677","2349.677","2349.677","2350.277","2350.277","2350.277","2350.277","2350.277","2350.277","2350.277","2350.277","2350.277","2350.277","2350.277","2350.277","2350.277","2350.277","2350.277","2350.277","2350.277","2350.277","2350.277","2350.277","2350.277","2350.277","2350.277","2350.277","2491.937","2491.937","2491.937","2491.937","2491.937","2491.937","2491.937","2491.937","2491.937","2491.937","2491.937","2491.937","2491.972","2491.972","2491.972","2491.972","2491.972","2491.972","2491.972","2491.972","2491.972","2491.972","2491.972","2491.972","2491.972","2491.972","2491.972","2491.972"
"1966:07","1904.394","1904.394","1904.394","1904.394","1904.394","1904.394","1904.394","1904.394","1904.394","1904.394","1904.394","1904.394","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","2124.5","2124.5","2124.5","2124.5","2124.5","2124.5","2124.5","2124.5","2124.5","2124.5","2124.5","2124.5","2124.5","2124.5","2124.5","2124.5","2124.5","2124.5","2124.5","2124.5","2124.5","2124.5","2124.5","2124.5","2124.5","2124.5","2124.5","2124.5","2124.5","2124.5","2124.5","2124.5","2124.5","2124.5","2124.5","2124.5","2124.5","2124.5","2124.5","2124.5","2124.5","2124.5","2124.5","2124.5","2124.5","2124.5","2124.5","2124.5","2124.5","2124.5","2124.5","2124.5","2124.5","2124.5","2124.5","2124.5","2124.5","2124.5","2124.5","2124.5","2124.5","2124.5","2124.5","2124.5","2124.5","2124.5","2370.056","2370.056","2370.056","2370.056","2370.056","2370.056","2370.056","2370.056","2370.056","2370.056","2370.056","2370.056","2370.056","2370.056","2370.056","2370.056","2370.056","2370.056","2370.056","2370.056","2370.056","2370.056","2370.056","2370.056","2370.613","2370.613","2370.613","2370.613","2370.613","2370.613","2370.613","2370.613","2370.613","2370.613","2370.613","2370.613","2370.613","2370.613","2370.613","2370.613","2370.613","2370.613","2370.613","2370.613","2370.613","2370.613","2370.613","2370.613","2513.493","2513.493","2513.493","2513.493","2513.493","2513.493","2513.493","2513.493","2513.493","2513.493","2513.493","2513.493","2513.439","2513.439","2513.439","2513.439","2513.439","2513.439","2513.439","2513.439","2513.439","2513.439","2513.439","2513.439","2513.439","2513.439","2513.439","2513.439"
