"DATE","RCONS00M1","RCONS00M2","RCONS00M3","RCONS00M4","RCONS00M5","RCONS00M6","RCONS00M7","RCONS00M8","RCONS00M9","RCONS00M10","RCONS00M11","RCONS00M12","RCONS01M1","RCONS01M2","RCONS01M3","RCONS01M4","RCONS01M5","RCONS01M6","RCONS01M7","RCONS01M8","RCONS01M9","RCONS01M10","RCONS01M11","RCONS01M12","RCONS02M1","RCONS02M2","RCONS02M3","RCONS02M4","RCONS02M5","RCONS02M6","RCONS02M7","RCONS02M8","RCONS02M9","RCONS02M10","RCONS02M11","RCONS02M12","RCONS03M1","RCONS03M2","RCONS03M3","RCONS03M4","RCONS03M5","RCONS03M6","RCONS03M7","RCONS03M8","RCONS03M9","RCONS03M10","RCONS03M11","RCONS03M12","RCONS04M1","RCONS04M2","RCONS04M3","RCONS04M4","RCONS04M5","RCONS04M6","RCONS04M7","RCONS04M8","RCONS04M9","RCONS04M10","RCONS04M11","RCONS04M12","RCONS05M1","RCONS05M2","RCONS05M3","RCONS05M4","RCONS05M5","RCONS05M6","RCONS05M7","RCONS05M8","RCONS05M9","RCONS05M10","RCONS05M11","RCONS05M12","RCONS06M1","RCONS06M2","RCONS06M3","RCONS06M4","RCONS06M5","RCONS06M6","RCONS06M7","RCONS06M8","RCONS06M9","RCONS06M10","RCONS06M11","RCONS06M12","RCONS07M1","RCONS07M2","RCONS07M3","RCONS07M4","RCONS07M5","RCONS07M6","RCONS07M7","RCONS07M8","RCONS07M9","RCONS07M10","RCONS07M11","RCONS07M12","RCONS08M1","RCONS08M2","RCONS08M3","RCONS08M4","RCONS08M5","RCONS08M6","RCONS08M7","RCONS08M8","RCONS08M9","RCONS08M10","RCONS08M11","RCONS08M12","RCONS09M1","RCONS09M2","RCONS09M3","RCONS09M4","RCONS09M5","RCONS09M6","RCONS09M7","RCONS09M8","RCONS09M9","RCONS09M10","RCONS09M11","RCONS09M12"
"1947:Q1","#N/A","#N/A","#N/A","451.6","451.6","451.6","451.6","451.6","451.6","451.6","451.6","451.6","451.6","451.6","451.6","451.6","451.6","451.6","451.6","451.6","451.6","451.6","451.6","451.6","451.6","451.6","451.6","451.6","451.6","451.6","451.6","451.6","451.6","451.6","451.6","451.6","451.6","451.6","451.6","451.6","451.6","451.6","451.6","451.6","451.6","451.6","451.6","485.2","485.2","485.2","485.2","485.2","485.2","485.2","485.2","485.2","485.2","485.2","485.2","485.2","485.2","485.2","485.2","485.2","485.2","485.2","485.2","485.2","485.2","485.2","485.2","485.2","485.2","485.2","485.2","485.2","485.2","485.2","485.2","485.2","485.2","485.2","485.2","485.2","485.2","485.2","485.2","485.2","485.2","485.2","485.2","485.2","485.2","485.2","485.2","485.2","485.2","485.2","485.2","485.2","485.2","485.2","485.2","485.2","485.2","485.2","485.2","485.2","485.2","485.2","485.2","485.2","485.2","485.2","485.2","672.8","672.8","672.8","672.8","672.8"
"1947:Q2","#N/A","#N/A","#N/A","457.4","457.4","457.4","457.4","457.4","457.4","457.4","457.4","457.4","457.4","457.4","457.4","457.4","457.4","457.4","457.4","457.4","457.4","457.4","457.4","457.4","457.4","457.4","457.4","457.4","457.4","457.4","457.4","457.4","457.4","457.4","457.4","457.4","457.4","457.4","457.4","457.4","457.4","457.4","457.4","457.4","457.4","457.4","457.4","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","491.5","682.5","682.5","682.5","682.5","682.5"
"1947:Q3","#N/A","#N/A","#N/A","456.7","456.7","456.7","456.7","456.7","456.7","456.7","456.7","456.7","456.7","456.7","456.7","456.7","456.7","456.7","456.7","456.7","456.7","456.7","456.7","456.7","456.7","456.7","456.7","456.7","456.7","456.7","456.7","456.7","456.7","456.7","456.7","456.7","456.7","456.7","456.7","456.7","456.7","456.7","456.7","456.7","456.7","456.7","456.7","490.9","490.9","490.9","490.9","490.9","490.9","490.9","490.9","490.9","490.9","490.9","490.9","490.9","490.9","490.9","490.9","490.9","490.9","490.9","490.9","490.9","490.9","490.9","490.9","490.9","490.9","490.9","490.9","490.9","490.9","490.9","490.9","490.9","490.9","490.9","490.9","490.9","490.9","490.9","490.9","490.9","490.9","490.9","490.9","490.9","490.9","490.9","490.9","490.9","490.9","490.9","490.9","490.9","490.9","490.9","490.9","490.9","490.9","490.9","490.9","490.9","490.9","490.9","490.9","490.9","490.8","490.8","490.8","681.0","681.0","681.0","681.0","681.0"
"1947:Q4","#N/A","#N/A","#N/A","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","489.3","489.3","489.3","489.3","489.3","489.3","489.3","489.3","489.3","489.3","489.3","489.3","489.3","489.3","489.3","489.3","489.3","489.3","489.3","489.3","489.3","489.3","489.3","489.3","489.3","489.3","489.3","489.3","489.3","489.3","489.3","489.3","489.3","489.3","489.3","489.3","489.3","489.3","489.3","489.3","489.3","489.3","489.3","489.3","489.3","489.3","489.3","489.3","489.3","489.3","489.3","489.3","489.3","489.3","489.3","489.3","489.3","489.3","489.3","489.3","489.3","489.3","489.3","489.3","489.3","489.2","489.2","489.2","677.5","677.5","677.5","677.5","677.5"
"1948:Q1","#N/A","#N/A","#N/A","463.8","463.8","463.8","463.8","463.8","463.8","463.8","463.8","463.8","463.8","463.8","463.8","463.8","463.8","463.8","463.8","463.8","463.8","463.8","463.8","463.8","463.8","463.8","463.8","463.8","463.8","463.8","463.8","463.8","463.8","463.8","463.8","463.8","463.8","463.8","463.8","463.8","463.8","463.8","463.8","463.8","463.8","463.8","463.8","498.3","498.3","498.3","498.3","498.3","498.3","498.3","498.3","498.3","498.3","498.3","498.3","498.3","498.3","498.3","498.3","498.3","498.3","498.3","498.3","498.3","498.3","498.3","498.3","498.3","498.3","498.3","498.3","498.3","498.3","498.3","498.3","498.3","498.3","498.3","498.3","498.3","498.3","498.3","498.3","498.3","498.3","498.3","498.3","498.3","498.3","498.3","498.3","498.3","498.3","498.3","498.3","498.3","498.3","498.3","498.3","498.3","498.3","498.3","498.3","498.3","498.3","498.3","498.3","498.3","498.2","498.2","498.2","684.7","684.7","684.7","684.7","684.7"
"1948:Q2","#N/A","#N/A","#N/A","470.5","470.5","470.5","470.5","470.5","470.5","470.5","470.5","470.5","470.5","470.5","470.5","470.5","470.5","470.5","470.5","470.5","470.5","470.5","470.5","470.5","470.5","470.5","470.5","470.5","470.5","470.5","470.5","470.5","470.5","470.5","470.5","470.5","470.5","470.5","470.5","470.5","470.5","470.5","470.5","470.5","470.5","470.5","470.5","505.4","505.4","505.4","505.4","505.4","505.4","505.4","505.4","505.4","505.4","505.4","505.4","505.4","505.4","505.4","505.4","505.4","505.4","505.4","505.4","505.4","505.4","505.4","505.4","505.4","505.4","505.4","505.4","505.4","505.4","505.4","505.4","505.4","505.4","505.4","505.4","505.4","505.4","505.4","505.4","505.4","505.4","505.4","505.4","505.4","505.4","505.4","505.4","505.4","505.4","505.4","505.4","505.4","505.4","505.4","505.4","505.4","505.4","505.4","505.4","505.4","505.4","505.4","505.4","505.4","505.3","505.3","505.3","695.4","695.4","695.4","695.4","695.4"
"1948:Q3","#N/A","#N/A","#N/A","476.6","476.6","476.6","476.6","476.6","476.6","476.6","476.6","476.6","476.6","476.6","476.6","476.6","476.6","476.6","476.6","476.6","476.6","476.6","476.6","476.6","476.6","476.6","476.6","476.6","476.6","476.6","476.6","476.6","476.6","476.6","476.6","476.6","476.6","476.6","476.6","476.6","476.6","476.6","476.6","476.6","476.6","476.6","476.6","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.8","511.8","511.8","699.2","699.2","699.2","699.2","699.2"
"1948:Q4","#N/A","#N/A","#N/A","480.2","480.2","480.2","480.2","480.2","480.2","480.2","480.2","480.2","480.2","480.2","480.2","480.2","480.2","480.2","480.2","480.2","480.2","480.2","480.2","480.2","480.2","480.2","480.2","480.2","480.2","480.2","480.2","480.2","480.2","480.2","480.2","480.2","480.2","480.2","480.2","480.2","480.2","480.2","480.2","480.2","480.2","480.2","480.2","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.8","515.8","515.8","706.2","706.2","706.2","706.2","706.2"
"1949:Q1","#N/A","#N/A","#N/A","482.6","482.6","482.6","482.6","482.6","482.6","482.6","482.6","482.6","482.6","482.6","482.6","482.6","482.6","482.6","482.6","482.6","482.6","482.6","482.6","482.6","482.6","482.6","482.6","482.6","482.6","482.6","482.6","482.6","482.6","482.6","482.6","482.6","482.6","482.6","482.6","482.6","482.6","482.6","482.6","482.6","482.6","482.6","482.6","518.6","518.6","518.6","518.6","518.6","518.6","518.6","518.6","518.6","518.6","518.6","518.6","518.6","518.6","518.6","518.6","518.6","518.6","518.6","518.6","518.6","518.6","518.6","518.6","518.6","518.6","518.6","518.6","518.6","518.6","518.6","518.6","518.6","518.6","518.6","518.6","518.6","518.6","518.6","518.6","518.6","518.6","518.6","518.6","518.6","518.6","518.6","518.6","518.6","518.6","518.6","518.6","518.6","518.6","518.6","518.6","518.6","518.6","518.6","518.6","518.6","518.6","518.6","518.6","518.6","518.6","518.6","518.6","710.8","710.8","710.8","710.8","710.8"
"1949:Q2","#N/A","#N/A","#N/A","485.7","485.7","485.7","485.7","485.7","485.7","485.7","485.7","485.7","485.7","485.7","485.7","485.7","485.7","485.7","485.7","485.7","485.7","485.7","485.7","485.7","485.7","485.7","485.7","485.7","485.7","485.7","485.7","485.7","485.7","485.7","485.7","485.7","485.7","485.7","485.7","485.7","485.7","485.7","485.7","485.7","485.7","485.7","485.7","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","522.0","714.4","714.4","714.4","714.4","714.4"
