"DATE","RCON80M1","RCON80M2","RCON80M3","RCON80M4","RCON80M5","RCON80M6","RCON80M7","RCON80M8","RCON80M9","RCON80M10","RCON80M11","RCON80M12","RCON81M1","RCON81M2","RCON81M3","RCON81M4","RCON81M5","RCON81M6","RCON81M7","RCON81M8","RCON81M9","RCON81M10","RCON81M11","RCON81M12","RCON82M1","RCON82M2","RCON82M3","RCON82M4","RCON82M5","RCON82M6","RCON82M7","RCON82M8","RCON82M9","RCON82M10","RCON82M11","RCON82M12","RCON83M1","RCON83M2","RCON83M3","RCON83M4","RCON83M5","RCON83M6","RCON83M7","RCON83M8","RCON83M9","RCON83M10","RCON83M11","RCON83M12","RCON84M1","RCON84M2","RCON84M3","RCON84M4","RCON84M5","RCON84M6","RCON84M7","RCON84M8","RCON84M9","RCON84M10","RCON84M11","RCON84M12","RCON85M1","RCON85M2","RCON85M3","RCON85M4","RCON85M5","RCON85M6","RCON85M7","RCON85M8","RCON85M9","RCON85M10","RCON85M11","RCON85M12","RCON86M1","RCON86M2","RCON86M3","RCON86M4","RCON86M5","RCON86M6","RCON86M7","RCON86M8","RCON86M9","RCON86M10","RCON86M11","RCON86M12","RCON87M1","RCON87M2","RCON87M3","RCON87M4","RCON87M5","RCON87M6","RCON87M7","RCON87M8","RCON87M9","RCON87M10","RCON87M11","RCON87M12","RCON88M1","RCON88M2","RCON88M3","RCON88M4","RCON88M5","RCON88M6","RCON88M7","RCON88M8","RCON88M9","RCON88M10","RCON88M11","RCON88M12","RCON89M1","RCON89M2","RCON89M3","RCON89M4","RCON89M5","RCON89M6","RCON89M7","RCON89M8","RCON89M9","RCON89M10","RCON89M11","RCON89M12"
"1983:Q4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1032.2","1030.2","1032.2","1032.2","1032.2","1032.2","1032.4","1032.4","1032.4","1032.4","1032.4","1032.4","1032.4","1032.4","1032.4","1032.4","1032.4","1032.4","1032.4","1032.4","1032.4","1032.4","1032.4","2188.1","2188.1","2188.1","2188.1","2188.1","2188.1","2188.1","2191.9","2191.9","2191.9","2191.9","2191.9","2191.9","2191.9","2191.9","2191.9","2191.9","2191.9","2191.9","2191.9","2191.9","2191.9","2191.9","2191.9","2191.9","2191.9","2191.9","2191.9","2191.9","2191.9","2191.9","2191.9","2191.9","2191.9","2191.9","2191.9","2191.9","2191.9","2191.9","2191.9","2191.9","2191.9","2191.9","2191.9","2191.9","2191.9","2191.9","2191.9"
"1984:Q1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1046.8","1049.6","1048.3","1044.1","1044.1","1044.1","1044.1","1044.1","1044.1","1044.1","1044.1","1044.1","1044.1","1044.1","1044.1","1044.1","1044.1","1044.1","1044.1","1044.1","2210.9","2210.9","2210.9","2210.9","2210.9","2210.9","2210.9","2213.8","2213.8","2213.8","2213.8","2213.8","2213.8","2213.8","2213.8","2213.8","2213.8","2213.8","2213.8","2212.1","2212.1","2212.1","2212.1","2212.1","2212.1","2212.1","2212.1","2212.1","2212.1","2212.1","2212.1","2212.1","2212.1","2212.1","2212.1","2212.1","2212.1","2212.1","2212.1","2212.1","2212.1","2212.1","2212.1","2212.1","2212.1","2212.1","2212.1","2212.1"
"1984:Q2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1061.7","1063.1","1064.2","1064.2","1064.2","1064.2","1064.2","1064.2","1064.2","1064.2","1064.2","1064.2","1064.2","1064.2","1064.2","1064.2","1064.2","2243.0","2243.0","2243.0","2243.0","2243.0","2243.0","2243.0","2246.3","2246.3","2246.3","2246.3","2246.3","2246.3","2246.3","2246.3","2246.3","2246.3","2246.3","2246.3","2246.7","2246.7","2246.7","2246.7","2246.7","2246.7","2246.7","2246.7","2246.7","2246.7","2246.7","2246.7","2246.7","2246.7","2246.7","2246.7","2246.7","2246.7","2246.7","2246.7","2246.7","2246.7","2246.7","2246.7","2246.7","2246.7","2246.7","2246.7","2246.7"
"1984:Q3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1064.6","1065.6","1065.9","1065.9","1065.9","1065.9","1065.9","1065.9","1065.9","1065.9","1065.9","1065.9","1065.9","1065.9","2243.4","2243.4","2243.4","2243.4","2243.4","2243.4","2243.4","2253.3","2253.3","2253.3","2253.3","2253.3","2253.3","2253.3","2253.3","2253.3","2253.3","2253.3","2253.3","2257.3","2257.3","2257.3","2257.3","2257.3","2257.3","2257.3","2257.3","2257.3","2257.3","2257.3","2257.3","2257.3","2257.3","2257.3","2257.3","2257.3","2257.3","2257.3","2257.3","2257.3","2257.3","2257.3","2257.3","2257.3","2257.3","2257.3","2257.3","2257.3"
"1984:Q4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1076.2","1075.4","1075.4","1075.4","1075.4","1075.4","1075.4","1075.4","1075.4","1075.4","1075.4","2262.0","2262.0","2262.0","2262.0","2262.0","2262.0","2262.0","2271.7","2271.7","2271.7","2271.7","2271.7","2271.7","2271.7","2271.7","2271.7","2271.7","2271.7","2271.7","2281.1","2281.1","2281.1","2281.1","2281.1","2281.1","2281.1","2281.1","2281.1","2281.1","2281.1","2281.1","2281.1","2281.1","2281.1","2281.1","2281.1","2281.1","2281.1","2281.1","2281.1","2281.1","2281.1","2281.1","2281.1","2281.1","2281.1","2281.1","2281.1"
"1985:Q1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1087.9","1089.2","1089.1","1089.1","1089.1","1089.1","1089.1","1089.1","2288.6","2288.6","2288.6","2288.6","2288.6","2288.6","2288.6","2292.3","2292.3","2292.3","2292.3","2292.3","2292.3","2292.3","2292.3","2292.3","2292.3","2292.3","2292.3","2314.1","2314.1","2314.1","2314.1","2314.1","2314.1","2314.1","2314.1","2314.1","2314.1","2314.1","2314.1","2319.1","2319.1","2319.1","2319.1","2319.1","2319.1","2319.1","2319.1","2319.1","2319.1","2319.1","2319.1","2319.1","2319.1","2319.1","2319.1","2319.1"
"1985:Q2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1103.1","1103.4","1102.1","1102.1","1102.1","2303.5","2303.5","2303.5","2303.5","2303.5","2303.5","2303.5","2311.9","2311.9","2311.9","2311.9","2311.9","2311.9","2311.9","2311.9","2311.9","2311.9","2311.9","2311.9","2337.0","2337.0","2337.0","2337.0","2337.0","2337.0","2337.0","2337.0","2337.0","2337.0","2337.0","2337.0","2337.4","2337.4","2337.4","2337.4","2337.4","2337.4","2337.4","2337.4","2337.4","2337.4","2337.4","2337.4","2337.4","2337.4","2337.4","2337.4","2337.4"
"1985:Q3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1115.2","1116.5","2329.6","2329.6","2329.6","2329.6","2329.6","2329.6","2329.6","2342.0","2342.0","2342.0","2342.0","2342.0","2342.0","2342.0","2342.0","2342.0","2342.0","2342.0","2342.0","2376.1","2376.1","2376.1","2376.1","2376.1","2376.1","2376.1","2376.1","2376.1","2376.1","2376.1","2376.1","2375.9","2375.9","2375.9","2375.9","2375.9","2375.9","2375.9","2375.9","2375.9","2375.9","2375.9","2375.9","2375.9","2375.9","2375.9","2375.9","2375.9"
"1985:Q4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","2328.7","2330.3","2330.4","2330.4","2330.4","2330.4","2351.7","2351.7","2351.7","2351.7","2351.7","2351.7","2351.7","2351.7","2351.7","2351.7","2351.7","2351.7","2383.2","2383.2","2383.2","2383.2","2383.2","2383.2","2383.2","2383.2","2383.2","2383.2","2383.2","2383.2","2386.9","2386.9","2386.9","2386.9","2386.9","2386.9","2386.9","2386.9","2386.9","2386.9","2386.9","2386.9","2386.9","2386.9","2386.9","2386.9","2386.9"
"1986:Q1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","2354.8","2354.3","2352.3","2372.7","2372.7","2372.7","2372.7","2372.7","2372.7","2372.7","2372.7","2372.7","2372.7","2372.7","2372.7","2409.7","2409.7","2409.7","2409.7","2409.7","2409.7","2409.7","2409.7","2409.7","2409.7","2409.7","2409.7","2415.1","2415.1","2415.1","2415.1","2415.1","2415.1","2415.1","2415.1","2415.1","2415.1","2415.1","2415.1","2410.9","2410.9","2410.9","2410.9","2410.9"
