"DATE","RCONND65M11","RCONND65M12","RCONND66M1","RCONND66M2","RCONND66M3","RCONND66M4","RCONND66M5","RCONND66M6","RCONND66M7","RCONND66M8","RCONND66M9","RCONND66M10","RCONND66M11","RCONND66M12","RCONND67M1","RCONND67M2","RCONND67M3","RCONND67M4","RCONND67M5","RCONND67M6","RCONND67M7","RCONND67M8","RCONND67M9","RCONND67M10","RCONND67M11","RCONND67M12","RCONND68M1","RCONND68M2","RCONND68M3","RCONND68M4","RCONND68M5","RCONND68M6","RCONND68M7","RCONND68M8","RCONND68M9","RCONND68M10","RCONND68M11","RCONND68M12","RCONND69M1","RCONND69M2","RCONND69M3","RCONND69M4","RCONND69M5","RCONND69M6","RCONND69M7","RCONND69M8","RCONND69M9","RCONND69M10","RCONND69M11","RCONND69M12"
"1950:Q2","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9"
"1950:Q3","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0"
"1950:Q4","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5"
"1951:Q1","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2"
"1951:Q2","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7"
"1951:Q3","117.0","117.0","117.0","117.0","117.0","117.0","117.0","117.0","117.0","117.0","117.0","117.0","117.0","117.0","117.0","117.0","117.0","117.0","117.0","117.0","117.0","117.0","117.0","117.0","117.0","117.0","117.0","117.0","117.0","117.0","117.0","117.0","117.0","117.0","117.0","117.0","117.0","117.0","117.0","117.0","117.0","117.0","117.0","117.0","117.0","117.0","117.0","117.0","117.0","117.0"
"1951:Q4","118.3","118.3","118.3","118.3","118.3","118.3","118.3","118.3","118.3","118.3","118.3","118.3","118.3","118.3","118.3","118.3","118.3","118.3","118.3","118.3","118.3","118.3","118.3","118.3","118.3","118.3","118.3","118.3","118.3","118.3","118.3","118.3","118.3","118.3","118.3","118.3","118.3","118.3","118.3","118.3","118.3","118.3","118.3","118.3","118.3","118.3","118.3","118.3","118.3","118.3"
"1952:Q1","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5"
"1952:Q2","120.2","120.2","120.2","120.2","120.2","120.2","120.2","120.2","120.2","120.2","120.2","120.2","120.2","120.2","120.2","120.2","120.2","120.2","120.2","120.2","120.2","120.2","120.2","120.2","120.2","120.2","120.2","120.2","120.2","120.2","120.2","120.2","120.2","120.2","120.2","120.2","120.2","120.2","120.2","120.2","120.2","120.2","120.2","120.2","120.2","120.2","120.2","120.2","120.2","120.2"
"1952:Q3","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0"
