"DATE","RINVBF80M1","RINVBF80M2","RINVBF80M3","RINVBF80M4","RINVBF80M5","RINVBF80M6","RINVBF80M7","RINVBF80M8","RINVBF80M9","RINVBF80M10","RINVBF80M11","RINVBF80M12","RINVBF81M1","RINVBF81M2","RINVBF81M3","RINVBF81M4","RINVBF81M5","RINVBF81M6","RINVBF81M7","RINVBF81M8","RINVBF81M9","RINVBF81M10","RINVBF81M11","RINVBF81M12","RINVBF82M1","RINVBF82M2","RINVBF82M3","RINVBF82M4","RINVBF82M5","RINVBF82M6","RINVBF82M7","RINVBF82M8","RINVBF82M9","RINVBF82M10","RINVBF82M11","RINVBF82M12","RINVBF83M1","RINVBF83M2","RINVBF83M3","RINVBF83M4","RINVBF83M5","RINVBF83M6","RINVBF83M7","RINVBF83M8","RINVBF83M9","RINVBF83M10","RINVBF83M11","RINVBF83M12","RINVBF84M1","RINVBF84M2","RINVBF84M3","RINVBF84M4","RINVBF84M5","RINVBF84M6","RINVBF84M7","RINVBF84M8","RINVBF84M9","RINVBF84M10","RINVBF84M11","RINVBF84M12","RINVBF85M1","RINVBF85M2","RINVBF85M3","RINVBF85M4","RINVBF85M5","RINVBF85M6","RINVBF85M7","RINVBF85M8","RINVBF85M9","RINVBF85M10","RINVBF85M11","RINVBF85M12","RINVBF86M1","RINVBF86M2","RINVBF86M3","RINVBF86M4","RINVBF86M5","RINVBF86M6","RINVBF86M7","RINVBF86M8","RINVBF86M9","RINVBF86M10","RINVBF86M11","RINVBF86M12","RINVBF87M1","RINVBF87M2","RINVBF87M3","RINVBF87M4","RINVBF87M5","RINVBF87M6","RINVBF87M7","RINVBF87M8","RINVBF87M9","RINVBF87M10","RINVBF87M11","RINVBF87M12","RINVBF88M1","RINVBF88M2","RINVBF88M3","RINVBF88M4","RINVBF88M5","RINVBF88M6","RINVBF88M7","RINVBF88M8","RINVBF88M9","RINVBF88M10","RINVBF88M11","RINVBF88M12","RINVBF89M1","RINVBF89M2","RINVBF89M3","RINVBF89M4","RINVBF89M5","RINVBF89M6","RINVBF89M7","RINVBF89M8","RINVBF89M9","RINVBF89M10","RINVBF89M11","RINVBF89M12"
"1947:Q1","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","123.2","123.2","123.2","123.2","123.2","123.2","123.2","123.2","123.2","123.2","123.2","123.2","123.2","123.2","123.2","123.2","123.2","123.2","123.2","123.2","123.2","123.2","123.2","123.2","123.2","123.2","123.2","123.2","123.2","123.2","123.2","123.2","123.2","123.2","123.2","123.2","123.2","123.2","123.2","123.2","123.2","123.2","123.2","123.2","123.2","123.2","123.2","123.2"
"1947:Q2","48.8","48.8","48.8","48.8","48.8","48.8","48.8","48.8","48.8","48.8","48.8","48.8","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","121.1","121.1","121.1","121.1","121.1","121.1","121.1","121.1","121.1","121.1","121.1","121.1","121.1","121.1","121.1","121.1","121.1","121.1","121.1","121.1","121.1","121.1","121.1","121.1","121.1","121.1","121.1","121.1","121.1","121.1","121.1","121.1","121.1","121.1","121.1","121.1","121.1","121.1","121.1","121.1","121.1","121.1","121.1","121.1","121.1","121.1","121.1","121.1"
"1947:Q3","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","119.9","119.9","119.9","119.9","119.9","119.9","119.9","119.9","119.9","119.9","119.9","119.9","119.9","119.9","119.9","119.9","119.9","119.9","119.9","119.9","119.9","119.9","119.9","119.9","119.9","119.9","119.9","119.9","119.9","119.9","119.9","119.9","119.9","119.9","119.9","119.9","119.9","119.9","119.9","119.9","119.9","119.9","119.9","119.9","119.9","119.9","119.9","119.9"
"1947:Q4","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","122.2","122.2","122.2","122.2","122.2","122.2","122.2","122.2","122.2","122.2","122.2","122.2","122.2","122.2","122.2","122.2","122.2","122.2","122.2","122.2","122.2","122.2","122.2","122.2","122.2","122.2","122.2","122.2","122.2","122.2","122.2","122.2","122.2","122.2","122.2","122.2","122.2","122.2","122.2","122.2","122.2","122.2","122.2","122.2","122.2","122.2","122.2","122.2"
"1948:Q1","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","128.3","128.3","128.3","128.3","128.3","128.3","128.3","128.3","128.3","128.3","128.3","128.3","128.3","128.3","128.3","128.3","128.3","128.3","128.3","128.3","128.3","128.3","128.3","128.3","128.3","128.3","128.3","128.3","128.3","128.3","128.3","128.3","128.3","128.3","128.3","128.3","128.3","128.3","128.3","128.3","128.3","128.3","128.3","128.3","128.3","128.3","128.3","128.3"
"1948:Q2","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","125.6","125.6","125.6","125.6","125.6","125.6","125.6","125.6","125.6","125.6","125.6","125.6","125.6","125.6","125.6","125.6","125.6","125.6","125.6","125.6","125.6","125.6","125.6","125.6","125.6","125.6","125.6","125.6","125.6","125.6","125.6","125.6","125.6","125.6","125.6","125.6","125.6","125.6","125.6","125.6","125.6","125.6","125.6","125.6","125.6","125.6","125.6","125.6"
"1948:Q3","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","125.9","125.9","125.9","125.9","125.9","125.9","125.9","125.9","125.9","125.9","125.9","125.9","125.9","125.9","125.9","125.9","125.9","125.9","125.9","125.9","125.9","125.9","125.9","125.9","125.9","125.9","125.9","125.9","125.9","125.9","125.9","125.9","125.9","125.9","125.9","125.9","125.9","125.9","125.9","125.9","125.9","125.9","125.9","125.9","125.9","125.9","125.9","125.9"
"1948:Q4","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.8","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","129.8","129.8","129.8","129.8","129.8","129.8","129.8","129.8","129.8","129.8","129.8","129.8","129.8","129.8","129.8","129.8","129.8","129.8","129.8","129.8","129.8","129.8","129.8","129.8","129.8","129.8","129.8","129.8","129.8","129.8","129.8","129.8","129.8","129.8","129.8","129.8","129.8","129.8","129.8","129.8","129.8","129.8","129.8","129.8","129.8","129.8","129.8","129.8"
"1949:Q1","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8"
"1949:Q2","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","116.9","116.9","116.9","116.9","116.9","116.9","116.9","116.9","116.9","116.9","116.9","116.9","116.9","116.9","116.9","116.9","116.9","116.9","116.9","116.9","116.9","116.9","116.9","116.9","116.9","116.9","116.9","116.9","116.9","116.9","116.9","116.9","116.9","116.9","116.9","116.9","116.9","116.9","116.9","116.9","116.9","116.9","116.9","116.9","116.9","116.9","116.9","116.9"
